한국정밀기계(101680),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-09-04,56912,58385,56107,56444,85357,322026.0,7640000.0
2009-09-07,55973,57246,55638,56243,81143,320880.0,7640000.0
2009-09-08,57046,59188,57046,58252,135839,332340.0,7640000.0
2009-09-09,58921,59187,57313,57582,71001,328520.0,7640000.0
2009-09-10,57848,60326,57848,60059,121086,342654.0,7640000.0
2009-09-11,60058,60259,58652,59189,71035,337688.0,7640000.0
2009-09-14,58921,58987,56912,57046,70104,325464.0,7640000.0
2009-09-15,57180,58251,56041,56912,61011,324700.0,7640000.0
2009-09-16,57448,58787,56376,58386,116145,333104.0,7640000.0
2009-09-17,57983,59389,56912,58653,188415,334632.0,7640000.0
2009-09-18,58051,58653,57046,57046,113753,325464.0,7640000.0
2009-09-21,57714,58250,56375,56511,107615,322408.0,7640000.0
2009-09-22,56376,56844,55439,55573,169593,317060.0,7640000.0
2009-09-23,55572,55841,49212,51556,429665,294140.0,7640000.0
2009-09-24,50885,51421,47269,48610,378485,277332.0,7640000.0
2009-09-25,47605,49546,47605,48476,154063,276568.0,7640000.0
2009-09-28,48944,51422,48742,51422,214571,293376.0,7640000.0
2009-09-29,52090,53228,50215,52828,244604,301398.0,7640000.0
2009-09-30,52894,53765,51153,51556,164239,294140.0,7640000.0
2009-10-01,52090,53161,51487,51824,102606,295668.0,7640000.0
2009-10-05,51487,52826,51019,51958,65133,296432.0,7640000.0
2009-10-06,52091,52693,50417,50552,61940,288410.0,7640000.0
2009-10-07,50952,51086,49010,49079,61421,280006.0,7640000.0
2009-10-08,49144,49949,48207,49949,39396,284972.0,7640000.0
2009-10-09,49747,50349,49010,50217,48429,286500.0,7640000.0
2009-10-12,50617,51822,50015,51556,66615,294140.0,7640000.0
2009-10-13,51019,52090,50885,51355,39601,292994.0,7640000.0
2009-10-14,51757,53364,50484,53096,156641,302926.0,7640000.0
2009-10-15,54233,56375,54099,54435,302090,310566.0,7640000.0
2009-10-16,55305,57849,54368,54971,379782,313622.0,7640000.0
2009-10-19,54768,56041,53898,54971,98520,313622.0,7640000.0
2009-10-20,55170,55906,54633,55172,56011,314768.0,7640000.0
2009-10-21,54567,55304,54099,54167,51897,309038.0,7640000.0
2009-10-22,53429,54768,52627,52895,70053,301780.0,7640000.0
2009-10-23,54368,56107,53832,55707,116475,317824.0,7640000.0
2009-10-26,55639,56510,55037,55306,74492,315532.0,7640000.0
2009-10-27,54903,54971,53832,53966,55136,307892.0,7640000.0
2009-10-28,53965,54165,51153,51355,127140,292994.0,7640000.0
2009-10-29,50551,52225,50083,52025,78145,296814.0,7640000.0
2009-10-30,52761,52761,51354,51422,44274,293376.0,7640000.0
2009-11-02,49815,51154,49815,50418,39884,287646.0,7640000.0
2009-11-03,51020,51556,49547,51154,49347,291848.0,7640000.0
2009-11-04,51688,53363,51288,53364,54114,304454.0,7640000.0
2009-11-05,53295,53295,51688,51690,46187,294904.0,7640000.0
2009-11-06,52761,54032,52225,53833,87143,307128.0,7640000.0
2009-11-09,54100,55171,53832,53833,64239,307128.0,7640000.0
2009-11-10,54501,54501,52626,52694,72188,300634.0,7640000.0
2009-11-11,52894,54099,52224,53431,56314,304836.0,7640000.0
2009-11-12,54032,54836,53698,54234,75409,309420.0,7640000.0
2009-11-13,53697,54299,51956,52694,81027,300634.0,7640000.0
2009-11-16,53028,53028,51019,51489,45019,293758.0,7640000.0
2009-11-17,51822,52424,50215,50217,57784,286500.0,7640000.0
2009-11-18,50483,51220,49948,50217,45506,286500.0,7640000.0
2009-11-19,49814,51085,49814,51087,46808,291466.0,7640000.0
2009-11-20,50483,51956,50483,51556,25548,294140.0,7640000.0
2009-11-23,51154,51556,50886,50886,31008,290320.0,7640000.0
2009-11-24,51153,51354,49948,50083,45217,285736.0,7640000.0
2009-11-25,50215,50751,49881,50686,32084,289174.0,7640000.0
2009-11-26,50886,53162,50417,52627,166103,300252.0,7640000.0
2009-11-27,52159,52895,47940,47940,131231,273512.0,7640000.0
2009-11-30,49145,50015,48877,49547,53559,282680.0,7640000.0
2009-12-01,49078,50886,48876,50552,58062,288410.0,7640000.0
2009-12-02,50618,51154,49347,49547,80378,282680.0,7640000.0
2009-12-03,49412,50282,49345,50016,58343,285354.0,7640000.0
2009-12-04,49815,50885,49747,49949,49499,284972.0,7640000.0
2009-12-07,50215,51555,50082,51355,77297,292994.0,7640000.0
2009-12-08,51153,52224,51019,52226,62450,297960.0,7640000.0
2009-12-09,51556,55104,51556,55105,304992,314386.0,7640000.0
2009-12-10,55907,56241,54501,54770,147434,312476.0,7640000.0
2009-12-11,55505,57046,55037,56042,191546,319734.0,7640000.0
2009-12-14,56643,56643,55104,55841,94100,318588.0,7640000.0
2009-12-15,55907,56509,54634,55105,117274,314386.0,7640000.0
2009-12-16,55104,57246,54634,57180,154514,326228.0,7640000.0
2009-12-17,57848,57848,56643,56979,119158,325082.0,7640000.0
2009-12-18,56241,59254,56241,58118,182900,331576.0,7640000.0
2009-12-21,58518,60728,58518,60528,178222,345328.0,7640000.0
2009-12-22,61396,61464,59053,59323,114441,338452.0,7640000.0
2009-12-23,59321,59657,57180,57314,105006,326992.0,7640000.0
2009-12-24,57982,59187,57580,58452,75718,333486.0,7640000.0
2009-12-28,59121,59455,57982,58921,79680,336160.0,7640000.0
2009-12-29,60320,61351,58773,60394,55087,313240.0,7640000.0
2009-12-30,60394,60983,58847,60983,39741,316296.0,7640000.0
2010-01-04,60983,60983,58921,59363,83971,307892.0,7640000.0
2010-01-05,59215,59878,57153,57374,133260,297578.0,7640000.0
2010-01-06,57890,58037,57006,57522,60637,298342.0,7640000.0
2010-01-07,57300,60320,56196,57816,155489,299870.0,7640000.0
2010-01-08,58184,59510,58184,59142,83516,306746.0,7640000.0
2010-01-11,60320,60836,58626,58627,89760,304072.0,7640000.0
2010-01-12,59142,59363,57153,57816,55942,299870.0,7640000.0
2010-01-13,57227,57963,56858,57301,48476,297196.0,7640000.0
2010-01-14,57374,58479,56858,57080,76386,296050.0,7640000.0
2010-01-15,57448,62603,56858,61867,309722,320880.0,7640000.0
2010-01-18,63340,65255,62309,64813,266677,336160.0,7640000.0
2010-01-19,65476,65549,63634,65550,132973,339980.0,7640000.0
2010-01-20,65697,66286,63413,65697,100216,340744.0,7640000.0
2010-01-21,64224,65402,63929,64592,69248,335014.0,7640000.0
2010-01-22,63340,63634,60541,62162,112248,322408.0,7640000.0
2010-01-25,60688,61057,58184,58185,144030,301780.0,7640000.0
2010-01-26,58258,58552,57079,57301,86934,297196.0,7640000.0
2010-01-27,57300,57890,54796,54797,149699,284208.0,7640000.0
2010-01-28,54943,56490,54943,55901,84802,289938.0,7640000.0
2010-01-29,54796,54796,52218,52293,106611,271220.0,7640000.0
2010-02-01,51850,53470,51703,52366,60358,271602.0,7640000.0
2010-02-02,53102,53618,52071,52513,58720,272366.0,7640000.0
2010-02-03,53470,53986,52660,53397,60547,276950.0,7640000.0
2010-02-04,53470,53470,52439,52882,42860,274276.0,7640000.0
2010-02-05,49935,50672,48683,49494,122781,256704.0,7640000.0
2010-02-08,49935,50082,48241,48242,43110,250210.0,7640000.0
2010-02-09,47357,48904,47357,47947,69944,248682.0,7640000.0
2010-02-10,48904,49493,48609,49494,43602,256704.0,7640000.0
2010-02-11,49346,51261,49346,50525,56340,262052.0,7640000.0
2010-02-12,50819,50819,50009,50525,30956,262052.0,7640000.0
2010-02-16,49935,50672,49714,49936,25879,258996.0,7640000.0
2010-02-17,50156,51850,50156,50893,60082,263962.0,7640000.0
2010-02-18,50893,51040,49788,49862,53575,258614.0,7640000.0
2010-02-19,49420,49493,48020,48315,89128,250592.0,7640000.0
2010-02-22,48683,49051,48389,48978,46009,254030.0,7640000.0
2010-02-23,48978,49051,48168,48610,30978,252120.0,7640000.0
2010-02-24,48315,50966,48315,50525,95789,262052.0,7640000.0
2010-02-25,50598,51850,49420,50083,70388,259760.0,7640000.0
2010-02-26,50966,51261,49714,50746,31211,263198.0,7640000.0
2010-03-02,51408,51408,49935,50083,49785,259760.0,7640000.0
2010-03-03,50009,50303,49125,49567,43684,257086.0,7640000.0
2010-03-04,49346,49935,49051,49862,37480,258614.0,7640000.0
2010-03-05,50230,51408,49862,51114,84939,265108.0,7640000.0
2010-03-08,51408,52071,50819,51998,59061,269692.0,7640000.0
2010-03-09,51850,51850,50966,51114,52696,265108.0,7640000.0
2010-03-10,51261,51776,50598,51703,38493,268164.0,7640000.0
2010-03-11,51850,52218,50893,51188,45091,265490.0,7640000.0
2010-03-12,51187,51556,50819,51188,33951,265490.0,7640000.0
2010-03-15,51408,51924,49567,49788,77894,258232.0,7640000.0
2010-03-16,50524,52292,50377,51703,163670,268164.0,7640000.0
2010-03-17,52292,52881,51408,51703,122246,268164.0,7640000.0
2010-03-18,51556,55975,51556,55386,335325,287264.0,7640000.0
2010-03-19,55975,57669,55385,55680,209779,288792.0,7640000.0
2010-03-22,55533,56564,54649,56564,116364,293376.0,7640000.0
2010-03-23,56932,57669,55827,55901,109628,289938.0,7640000.0
2010-03-24,56122,56490,54060,54281,89361,281534.0,7640000.0
2010-03-25,54943,56122,53839,55607,69298,288410.0,7640000.0
2010-03-26,55754,56490,54796,56270,67991,291848.0,7640000.0
2010-03-29,55680,56711,54870,55460,102787,287646.0,7640000.0
2010-03-30,55312,56564,54575,54576,123795,311368.0,8404000.0
2010-03-31,54502,54649,52292,52440,156188,299182.0,8404000.0
2010-04-01,52439,53176,51703,51998,82148,296661.0,8404000.0
2010-04-02,52292,52734,51776,51998,53310,296661.0,8404000.0
2010-04-05,52071,52660,50156,50893,77289,290358.0,8404000.0
2010-04-06,51850,52366,51187,51998,45731,296661.0,8404000.0
2010-04-07,52439,52955,51924,51924,40074,296241.0,8404000.0
2010-04-08,51776,52513,51482,52440,29146,299182.0,8404000.0
2010-04-09,52439,52881,51703,52440,35252,299182.0,8404000.0
2010-04-12,52881,52881,51261,51261,60237,292459.0,8404000.0
2010-04-13,51556,51556,50230,50746,34376,289518.0,8404000.0
2010-04-14,51261,51335,50598,50672,30630,289098.0,8404000.0
2010-04-15,50745,51924,50156,50378,73099,287417.0,8404000.0
2010-04-16,50524,51187,50156,50378,31276,287417.0,8404000.0
2010-04-19,49935,50082,49051,49126,47006,280273.0,8404000.0
2010-04-20,49641,50303,49346,50157,42369,286156.0,8404000.0
2010-04-21,50672,51335,50082,50746,58366,289518.0,8404000.0
2010-04-22,50672,50672,49567,49641,39725,283215.0,8404000.0
2010-04-23,49641,49935,48757,48757,73118,278172.0,8404000.0
2010-04-26,48978,49346,48609,48757,48115,278172.0,8404000.0
2010-04-27,48830,49567,48462,48463,56924,276492.0,8404000.0
2010-04-28,47873,48094,47136,47358,92434,270189.0,8404000.0
2010-04-29,47726,48020,45590,45811,112398,261364.0,8404000.0
2010-04-30,46400,46842,45737,46695,58638,266407.0,8404000.0
2010-05-03,46695,48020,45442,46106,87566,263045.0,8404000.0
2010-05-04,45737,46621,43233,43233,110040,246657.0,8404000.0
2010-05-06,42349,42349,40950,41024,133916,234051.0,8404000.0
2010-05-07,39035,40508,38814,40214,163459,229429.0,8404000.0
2010-05-10,40655,41686,40213,41392,83396,236152.0,8404000.0
2010-05-11,41834,42128,40508,40508,81479,231110.0,8404000.0
2010-05-12,40655,41613,40213,40361,45622,230270.0,8404000.0
2010-05-13,41023,41834,40360,41760,54415,238253.0,8404000.0
2010-05-14,41760,41760,40876,41245,42409,235312.0,8404000.0
2010-05-17,40950,41023,39035,39330,81895,224387.0,8404000.0
2010-05-18,39698,39698,38298,38667,61771,220605.0,8404000.0
2010-05-19,38593,38814,36973,37636,60281,214722.0,8404000.0
2010-05-20,37341,38446,35058,35868,62483,204637.0,8404000.0
2010-05-24,34984,36973,34984,36237,50172,206738.0,8404000.0
2010-05-25,36089,36236,33143,35132,79541,200435.0,8404000.0
2010-05-26,35794,37488,35205,36752,70582,209680.0,8404000.0
2010-05-27,36604,38740,36531,38593,60954,220185.0,8404000.0
2010-05-28,39329,39403,37856,38446,50559,219344.0,8404000.0
2010-05-31,38077,38887,37783,38446,28197,219344.0,8404000.0
2010-06-01,38519,40287,38151,40287,52521,229849.0,8404000.0
2010-06-03,40950,41171,39919,40582,42413,231530.0,8404000.0
2010-06-04,40508,40508,39550,39993,28527,228169.0,8404000.0
2010-06-07,37709,38519,37414,37562,44112,214302.0,8404000.0
2010-06-08,37193,38298,37046,37783,30495,215563.0,8404000.0
2010-06-09,37783,37783,36604,36826,33291,210100.0,8404000.0
2010-06-10,36531,37488,36531,36899,23476,210520.0,8404000.0
2010-06-11,37562,40434,37562,39035,106375,222706.0,8404000.0
2010-06-14,39624,40434,39035,39551,43110,225647.0,8404000.0
2010-06-15,39771,39771,38593,39330,22754,224387.0,8404000.0
2010-06-16,39698,40287,39035,40140,54266,229009.0,8404000.0
2010-06-17,40434,40434,38740,38741,39169,221025.0,8404000.0
2010-06-18,38961,38961,38004,38004,36112,216823.0,8404000.0
2010-06-21,38077,38740,37856,38741,45597,221025.0,8404000.0
2010-06-22,38814,38814,37930,37930,37205,216403.0,8404000.0
2010-06-23,37414,38298,37414,38299,38201,218504.0,8404000.0
2010-06-24,38077,38593,37856,38078,43038,217243.0,8404000.0
2010-06-25,38298,38814,37635,38004,64021,216823.0,8404000.0
2010-06-28,38004,38519,37488,37857,40096,215983.0,8404000.0
2010-06-29,37709,38077,36089,36826,68396,210100.0,8404000.0
2010-06-30,36236,36531,35794,36089,32661,205898.0,8404000.0
2010-07-01,35941,36678,35794,36089,44402,205898.0,8404000.0
2010-07-02,36089,37267,36089,36310,34474,207159.0,8404000.0
2010-07-05,36383,38004,36383,37710,57971,215142.0,8404000.0
2010-07-06,37709,37930,36899,37120,26204,211781.0,8404000.0
2010-07-07,37562,37562,36089,36163,37831,206318.0,8404000.0
2010-07-08,36752,36752,36015,36163,25052,206318.0,8404000.0
2010-07-09,36310,36531,36089,36163,31661,206318.0,8404000.0
2010-07-12,36162,36531,35352,35647,61257,203377.0,8404000.0
2010-07-13,35647,36383,35647,35942,28678,205058.0,8404000.0
2010-07-14,36089,37193,35794,36826,64102,210100.0,8404000.0
2010-07-15,36973,40287,36825,39330,220416,224387.0,8404000.0
2010-07-16,39550,40434,39108,40287,121408,229849.0,8404000.0
2010-07-19,39698,41613,39182,40877,78406,233211.0,8404000.0
2010-07-20,40950,41097,39919,40140,64718,229009.0,8404000.0
2010-07-21,40508,40802,39624,40066,56282,228589.0,8404000.0
2010-07-22,40360,41539,39919,41245,102070,235312.0,8404000.0
2010-07-23,41834,42349,40729,41171,79601,234892.0,8404000.0
2010-07-26,41392,41392,39698,39772,77330,226908.0,8404000.0
2010-07-27,39771,40213,39182,39477,50501,225227.0,8404000.0
2010-07-28,39771,40434,39403,39772,41069,226908.0,8404000.0
2010-07-29,39919,40287,39329,39330,30410,224387.0,8404000.0
2010-07-30,39919,39919,38961,39035,23621,222706.0,8404000.0
2010-08-02,39035,39624,38593,38962,33934,222286.0,8404000.0
2010-08-03,39035,39403,38446,38667,40530,220605.0,8404000.0
2010-08-04,38667,38740,37341,37636,43108,214722.0,8404000.0
2010-08-05,37635,38446,37562,38151,19273,217664.0,8404000.0
2010-08-06,38593,38593,37414,38004,23359,216823.0,8404000.0
2010-08-09,38077,38519,37193,37489,50301,213882.0,8404000.0
2010-08-10,37488,38004,36825,37194,39381,212201.0,8404000.0
2010-08-11,37120,37120,36015,36310,49424,207159.0,8404000.0
2010-08-12,35647,36310,35352,35647,42460,203377.0,8404000.0
2010-08-13,35500,36457,35426,36016,38486,205478.0,8404000.0
2010-08-16,35647,36015,34542,34984,59107,199595.0,8404000.0
2010-08-17,34984,35647,34984,35500,31335,202536.0,8404000.0
2010-08-18,35500,35794,34247,34248,54893,195393.0,8404000.0
2010-08-19,34395,34616,33806,34322,33769,195813.0,8404000.0
2010-08-20,33953,34763,33585,34690,36289,197914.0,8404000.0
2010-08-23,34542,35058,34542,34543,23718,197074.0,8404000.0
2010-08-24,34763,34763,34174,34174,18893,194973.0,8404000.0
2010-08-25,33585,33879,33364,33806,16436,192872.0,8404000.0
2010-08-26,33658,35352,33658,34322,25669,195813.0,8404000.0
2010-08-27,34026,34468,33585,33806,21618,192872.0,8404000.0
2010-08-30,34026,35131,34026,34690,20709,197914.0,8404000.0
2010-08-31,34395,34837,33953,34469,18254,196654.0,8404000.0
2010-09-01,34910,35131,34763,34984,19370,199595.0,8404000.0
2010-09-02,35352,35352,34542,34837,23769,198755.0,8404000.0
2010-09-03,35131,35279,34689,34911,21636,199175.0,8404000.0
2010-09-06,35058,36752,35058,36384,56020,207579.0,8404000.0
2010-09-07,36752,36752,35794,36163,17207,206318.0,8404000.0
2010-09-08,36089,36089,35058,35279,23102,201276.0,8404000.0
2010-09-09,35352,36457,35205,35942,30763,205058.0,8404000.0
2010-09-10,36236,36236,35426,35868,29117,204637.0,8404000.0
2010-09-13,35868,36236,35352,35574,39629,202957.0,8404000.0
2010-09-14,35647,38961,35352,38962,257084,222286.0,8404000.0
2010-09-15,38740,39182,37709,38667,100804,220605.0,8404000.0
2010-09-16,38961,41539,38814,39993,243968,228169.0,8404000.0
2010-09-17,39992,40066,38814,39404,68827,224807.0,8404000.0
2010-09-20,40140,41318,40066,41024,153797,234051.0,8404000.0
2010-09-24,41171,41465,40360,41392,85305,236152.0,8404000.0
2010-09-27,41613,41907,40655,41318,118050,235732.0,8404000.0
2010-09-28,41392,42275,40729,40877,88443,233211.0,8404000.0
2010-09-29,40950,40950,39403,39404,130407,224807.0,8404000.0
2010-09-30,39329,39845,38593,39772,102798,226908.0,8404000.0
2010-10-01,40213,40213,39403,39772,55912,226908.0,8404000.0
2010-10-04,39919,41465,39771,40361,153173,230270.0,8404000.0
2010-10-05,40066,40950,39624,40361,62110,230270.0,8404000.0
2010-10-06,40802,43675,40655,43454,357873,247918.0,8404000.0
2010-10-07,44117,46400,43528,45959,442652,262205.0,8404000.0
2010-10-08,46253,48389,46253,47358,440940,270189.0,8404000.0
2010-10-11,47799,48094,46253,47284,202467,269768.0,8404000.0
2010-10-12,47284,48536,46621,47137,202723,268928.0,8404000.0
2010-10-13,47873,49714,47136,48757,251721,278172.0,8404000.0
2010-10-14,49199,50451,47578,48757,323476,278172.0,8404000.0
2010-10-15,49199,50819,48757,50157,215024,286156.0,8404000.0
2010-10-18,50524,51408,50009,50672,156086,289098.0,8404000.0
2010-10-19,50672,52145,50230,51335,215536,292879.0,8404000.0
2010-10-20,51040,53323,50377,53176,192315,303384.0,8404000.0
2010-10-21,53470,54354,51850,52145,182344,297502.0,8404000.0
2010-10-22,53323,56637,52808,56564,342234,322714.0,8404000.0
2010-10-25,56858,57227,55238,56417,212399,321873.0,8404000.0
2010-10-26,58037,58037,52513,54428,311668,310528.0,8404000.0
2010-10-27,53839,55459,52881,54207,261847,309267.0,8404000.0
2010-10-28,53986,56711,53912,55165,228169,314730.0,8404000.0
2010-10-29,54796,55533,52218,53766,147574,306746.0,8404000.0
2010-11-01,53765,53765,51114,51924,306338,296241.0,8404000.0
2010-11-02,52513,55385,51776,55239,253905,315150.0,8404000.0
2010-11-03,55827,56196,54502,55091,146729,314310.0,8404000.0
2010-11-04,54796,55459,53397,54428,88989,310528.0,8404000.0
2010-11-05,54943,55091,52734,53176,77197,303384.0,8404000.0
2010-11-08,53618,53618,50377,52587,156568,300023.0,8404000.0
2010-11-09,52587,54207,51408,51409,99156,293300.0,8404000.0
2010-11-10,50966,52513,49935,50304,121827,286997.0,8404000.0
2010-11-11,50745,52513,50377,51703,158201,294980.0,8404000.0
2010-11-12,51556,52145,46400,50009,198046,285316.0,8404000.0
2010-11-15,49862,49862,45442,45885,250759,261785.0,8404000.0
2010-11-16,45663,47947,45516,46253,169004,263886.0,8404000.0
2010-11-17,44485,47357,44485,47284,113721,269768.0,8404000.0
2010-11-18,47578,48462,46768,48315,78796,275651.0,8404000.0
2010-11-19,48609,49051,47799,49052,85584,279853.0,8404000.0
2010-11-22,49788,49862,47431,48315,75845,275651.0,8404000.0
2010-11-23,47947,49125,46842,46916,56450,267667.0,8404000.0
2010-11-24,44927,46253,44927,45885,94592,261785.0,8404000.0
2010-11-25,46547,46547,45001,45001,119954,256742.0,8404000.0
2010-11-26,44927,45074,42865,43233,119442,246657.0,8404000.0
2010-11-29,43454,44117,43012,44044,57977,251280.0,8404000.0
2010-11-30,44043,45148,43969,45148,67650,257583.0,8404000.0
2010-12-01,45295,47357,44485,47358,75115,270189.0,8404000.0
2010-12-02,47357,47578,46326,46842,91006,267247.0,8404000.0
2010-12-03,46842,47505,46474,46769,53080,266827.0,8404000.0
2010-12-06,46474,47357,45001,45148,53931,257583.0,8404000.0
2010-12-07,45221,45884,44485,45369,35158,258843.0,8404000.0
2010-12-08,45295,46253,44411,45296,57463,258423.0,8404000.0
2010-12-09,45369,45811,45001,45811,29816,261364.0,8404000.0
2010-12-10,45811,46768,45663,46400,43852,264726.0,8404000.0
2010-12-13,47136,47136,46253,46990,40081,268088.0,8404000.0
2010-12-14,46842,48241,46400,48168,78828,274811.0,8404000.0
2010-12-15,47873,48315,46989,47652,64033,271869.0,8404000.0
2010-12-16,46842,46989,46400,46400,63022,264726.0,8404000.0
2010-12-17,46400,47136,45516,45885,87307,261785.0,8404000.0
2010-12-20,44927,45148,43601,44117,68696,251700.0,8404000.0
2010-12-21,44485,45369,43086,43749,93106,249599.0,8404000.0
2010-12-22,44485,44780,43601,43896,61709,250439.0,8404000.0
2010-12-23,44190,44485,42938,42939,68658,244977.0,8404000.0
2010-12-24,42865,43233,41392,42718,94214,243716.0,8404000.0
2010-12-27,42202,43159,41613,41760,47322,238253.0,8404000.0
2010-12-28,41686,42202,40950,40950,76898,233631.0,8404000.0
2010-12-29,41244,43380,40950,43381,95855,247498.0,8404000.0
2010-12-30,43822,43822,42938,43307,43960,247078.0,8404000.0
2011-01-03,43748,44117,43159,43970,43872,250859.0,8404000.0
2011-01-04,44338,45148,43601,44559,93642,254221.0,8404000.0
2011-01-05,44338,44927,43896,44854,42848,255902.0,8404000.0
2011-01-06,45001,46179,44338,46106,106273,263045.0,8404000.0
2011-01-07,46400,46768,45663,46106,60562,263045.0,8404000.0
2011-01-10,45663,46105,44706,44854,63497,255902.0,8404000.0
2011-01-11,44927,45074,43601,44338,42045,252960.0,8404000.0
2011-01-12,44411,45811,44411,45148,62605,257583.0,8404000.0
2011-01-13,45148,45516,44043,44559,48552,254221.0,8404000.0
2011-01-14,44632,45811,44190,45664,74670,260524.0,8404000.0
