셀리버리(268600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-05-10,57400,61400,56300,58500,396764,457476.0,7820107.0
2019-05-13,58700,59700,53500,53500,298783,418376.0,7820107.0
2019-05-14,52000,55200,50600,51700,408216,404300.0,7820107.0
2019-05-15,52100,53300,49900,49900,288439,390223.0,7820107.0
2019-05-16,49900,52500,49250,50300,386755,393351.0,7820107.0
2019-05-17,51300,52600,49750,49850,289856,389832.0,7820107.0
2019-05-20,49750,50500,45450,45850,374241,358552.0,7820107.0
2019-05-21,46350,49100,46200,47400,360060,370673.0,7820107.0
2019-05-22,48000,50800,47500,49400,405534,386313.0,7820107.0
2019-05-23,49400,49800,46650,46650,227081,364808.0,7820107.0
2019-05-24,46050,47100,45500,46100,159013,360507.0,7820107.0
2019-05-27,46150,49800,46150,49500,346635,387095.0,7820107.0
2019-05-28,48700,49450,47800,48500,175555,379275.0,7820107.0
2019-05-29,48100,48100,45800,45900,199702,358943.0,7820107.0
2019-05-30,45800,46450,41200,41850,458022,327271.0,7820107.0
2019-05-31,42250,45450,42150,44950,334478,351514.0,7820107.0
2019-06-03,43700,52600,43700,48600,720543,380057.0,7820107.0
2019-06-04,48600,49800,46850,47900,239074,374583.0,7820107.0
2019-06-05,48450,48950,47200,47200,129468,369109.0,7820107.0
2019-06-07,47500,50400,47300,50000,329222,391005.0,7820107.0
2019-06-10,51500,51700,49150,49250,209460,385140.0,7820107.0
2019-06-11,49250,52300,48250,49500,420584,387095.0,7820107.0
2019-06-12,49700,50300,48000,48000,192271,375365.0,7820107.0
2019-06-13,48350,49000,47450,48200,132808,376929.0,7820107.0
2019-06-14,48300,52700,48200,51200,584740,400389.0,7820107.0
2019-06-17,51900,52200,49300,49300,185104,385531.0,7820107.0
2019-06-18,48750,49950,43900,45150,524277,353078.0,7820107.0
2019-06-19,45950,49400,43850,45950,505810,359334.0,7820107.0
2019-06-20,46150,46550,44900,45150,180208,353078.0,7820107.0
2019-06-21,45300,46950,45050,45100,164550,352687.0,7820107.0
2019-06-24,45200,45700,44000,44150,146751,345258.0,7820107.0
2019-06-25,43900,44450,40850,41100,285059,321406.0,7820107.0
2019-06-26,40700,42650,39800,40100,226376,313586.0,7820107.0
2019-06-27,40400,41100,34850,35400,682032,276832.0,7820107.0
2019-06-28,35200,37300,35100,36850,359366,288171.0,7820107.0
2019-07-01,36850,38550,36550,37750,215226,295209.0,7820107.0
2019-07-02,37500,38200,36950,37750,129428,295209.0,7820107.0
2019-07-03,38450,39750,38000,38800,192808,303420.0,7820107.0
2019-07-04,39200,39400,37100,37700,121569,294818.0,7820107.0
2019-07-05,37500,38700,36800,38350,111489,299901.0,7820107.0
2019-07-08,38300,38650,36250,36250,123892,283479.0,7820107.0
2019-07-09,36500,38200,36250,37600,165522,294036.0,7820107.0
2019-07-10,37450,38350,36650,37350,96375,292081.0,7820107.0
2019-07-11,37800,38500,36750,37200,115794,290908.0,7820107.0
2019-07-12,37200,37700,35600,36200,169029,283088.0,7820107.0
2019-07-15,37400,47050,37150,47050,659682,367936.0,7820107.0
2019-07-16,53500,54200,44450,45250,1252534,353860.0,7820107.0
2019-07-17,45150,45200,42250,42550,397062,332746.0,7820107.0
2019-07-18,41850,42000,39400,39750,445631,310849.0,7820107.0
2019-07-19,39900,41200,39600,39900,271283,312022.0,7820107.0
2019-07-22,39700,40950,39500,39600,170171,309676.0,7820107.0
2019-07-23,39100,39650,37600,38100,273626,297946.0,7820107.0
2019-07-24,38100,38900,36400,36400,203443,284652.0,7820107.0
2019-07-25,36500,37400,33950,35200,315462,275268.0,7820107.0
2019-07-26,35200,35500,33350,33550,225038,262365.0,7820107.0
2019-07-29,33050,37650,32800,33500,625029,261974.0,7820107.0
2019-07-30,33250,35500,33150,33550,306397,262365.0,7820107.0
2019-07-31,33550,35200,32000,34000,305911,265884.0,7820107.0
2019-08-01,34800,34800,33600,33600,221321,262756.0,7820107.0
2019-08-02,32000,33200,30500,32350,216158,252980.0,7820107.0
2019-08-05,32000,32450,27600,27600,356440,215835.0,7820107.0
2019-08-06,26500,29800,25200,27650,446905,216226.0,7820107.0
2019-08-07,27900,29250,27750,28050,208771,219354.0,7820107.0
2019-08-08,28600,29750,28100,29500,195602,230693.0,7820107.0
2019-08-09,30250,30250,29300,29700,135897,232257.0,7820107.0
2019-08-12,29750,34950,29700,31200,519119,243987.0,7820107.0
2019-08-13,31000,31400,29600,29700,205565,232257.0,7820107.0
2019-08-14,30800,35200,30050,33250,487487,260019.0,7820107.0
2019-08-16,32050,36000,32000,33300,441606,260410.0,7820107.0
2019-08-19,34050,34350,32900,33450,127449,261583.0,7820107.0
2019-08-20,33500,34550,33250,34100,116085,266666.0,7820107.0
2019-08-21,33800,35000,33700,34150,136471,267057.0,7820107.0
2019-08-22,34500,35900,33950,35900,234897,280742.0,7820107.0
2019-08-23,35100,43500,34750,37700,1539610,294818.0,7820107.0
2019-08-26,36800,38550,35750,35800,323620,279960.0,7820107.0
2019-08-27,36250,40300,36250,39000,723829,304984.0,7820107.0
2019-08-28,38950,44350,38900,43450,897896,339784.0,7820107.0
2019-08-29,44000,45950,41350,44500,738875,347995.0,7820107.0
2019-08-30,45400,46400,44350,44350,331683,346822.0,7820107.0
2019-09-02,43850,45700,43500,43800,238333,342521.0,7820107.0
2019-09-03,43500,44500,41100,41400,324269,323752.0,7820107.0
2019-09-04,41600,45300,41600,45200,450261,353469.0,7820107.0
2019-09-05,46400,47000,43950,44750,390911,349950.0,7820107.0
2019-09-06,45650,45850,43750,44500,183987,347995.0,7820107.0
2019-09-09,45100,45350,42050,43200,292069,337829.0,7820107.0
2019-09-10,44000,44050,41200,41800,185519,326880.0,7820107.0
2019-09-11,42100,42800,41550,41750,128859,326489.0,7820107.0
2019-09-16,42150,42450,40200,41650,172837,325707.0,7820107.0
2019-09-17,41050,43650,41000,42350,205838,331182.0,7820107.0
2019-09-18,42450,42850,41450,41500,143868,324534.0,7820107.0
2019-09-19,41900,42250,39700,39800,206132,311240.0,7820107.0
2019-09-20,39750,40500,38200,38550,227209,301465.0,7820107.0
2019-09-23,38550,40250,37250,38100,285923,297946.0,7820107.0
2019-09-24,37000,42600,36900,40550,495084,317105.0,7820107.0
2019-09-25,40300,42950,40250,41550,294814,324925.0,7820107.0
2019-09-26,42100,43100,41100,42400,245413,331573.0,7820107.0
2019-09-27,44250,45200,42500,42500,288196,332355.0,7820107.0
2019-09-30,43150,43400,41700,41700,144497,326098.0,7820107.0
2019-10-01,41500,42950,40550,42200,220190,330009.0,7820107.0
2019-10-02,41600,42850,41100,41100,157596,321406.0,7820107.0
2019-10-04,41150,42350,40800,40950,154509,320233.0,7820107.0
2019-10-07,41500,47400,41150,46700,901764,365199.0,7820107.0
