동국제약(086450),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-12-21,15653,16116,15191,16116,14440,142956.0,6840000.0
2007-12-24,16154,16309,15807,15885,5935,140904.0,6840000.0
2007-12-26,16076,16500,15729,15808,6595,140220.0,6840000.0
2007-12-27,15807,15807,15345,15345,9431,136116.0,6840000.0
2007-12-28,15498,15691,15267,15654,7919,138852.0,6840000.0
2008-01-02,15652,15652,15228,15230,4705,135090.0,6840000.0
2008-01-03,14728,15538,14728,15422,10388,136800.0,6840000.0
2008-01-04,15422,15499,15268,15422,4317,136800.0,6840000.0
2008-01-07,15345,15499,14998,15422,7886,136800.0,6840000.0
2008-01-08,15344,15344,14650,15230,5503,135090.0,6840000.0
2008-01-09,15228,15267,15190,15230,12989,135090.0,6840000.0
2008-01-10,15382,15537,15267,15461,9811,137142.0,6840000.0
2008-01-11,15305,15652,15112,15461,22905,137142.0,6840000.0
2008-01-14,15499,15653,15113,15422,15033,136800.0,6840000.0
2008-01-15,15729,15729,15112,15461,7809,137142.0,6840000.0
2008-01-16,15112,15151,14303,14883,25413,132012.0,6840000.0
2008-01-17,14650,15382,14496,15037,9488,133380.0,6840000.0
2008-01-18,14882,15152,14689,15075,6496,133722.0,6840000.0
2008-01-21,14881,15190,14650,14883,3783,132012.0,6840000.0
2008-01-22,14034,14535,13880,14111,16430,125172.0,6840000.0
2008-01-23,14303,14650,14264,14343,8630,127224.0,6840000.0
2008-01-24,14650,14650,14380,14613,6464,129618.0,6840000.0
2008-01-25,14612,15191,14419,14805,16564,131328.0,6840000.0
2008-01-28,15190,15190,14226,14536,5301,128934.0,6840000.0
2008-01-29,14303,14958,14264,14266,11615,126540.0,6840000.0
2008-01-30,14457,14457,13801,14266,12738,126540.0,6840000.0
2008-01-31,13879,14187,13879,13919,4410,123462.0,6840000.0
2008-02-01,13994,14226,13879,13919,2785,123462.0,6840000.0
2008-02-04,14303,14303,13339,14266,6568,126540.0,6840000.0
2008-02-05,14419,14882,13957,14574,3718,129276.0,6840000.0
2008-02-11,14071,14496,13994,13996,3271,124146.0,6840000.0
2008-02-12,14149,14226,13956,13996,3596,124146.0,6840000.0
2008-02-13,14380,15806,14226,15307,17916,135774.0,6840000.0
2008-02-14,15538,15538,14844,14998,5398,133038.0,6840000.0
2008-02-15,14997,14997,14688,14960,6058,132696.0,6840000.0
2008-02-18,14651,15152,14651,14998,6370,133038.0,6840000.0
2008-02-19,15191,15345,14921,15345,9539,136116.0,6840000.0
2008-02-20,15267,15344,14958,15114,4377,134064.0,6840000.0
2008-02-21,15112,15267,14920,15037,6441,133380.0,6840000.0
2008-02-22,15036,15036,14574,14574,5914,129276.0,6840000.0
2008-02-25,14804,14958,14496,14960,5239,132696.0,6840000.0
2008-02-26,15229,15268,14728,15191,6404,134748.0,6840000.0
2008-02-27,15190,15922,14727,15114,9121,134064.0,6840000.0
2008-02-28,15035,15498,14920,15114,4136,134064.0,6840000.0
2008-02-29,15113,15383,15113,15191,2571,134748.0,6840000.0
2008-03-03,14998,15152,14574,15152,6236,134406.0,6840000.0
2008-03-04,15421,15421,14958,14960,3885,132696.0,6840000.0
2008-03-05,14958,15652,14958,15230,1760,135090.0,6840000.0
2008-03-06,15422,15499,14959,15268,2484,135432.0,6840000.0
2008-03-07,15074,15267,14958,15037,3480,133380.0,6840000.0
2008-03-10,14920,15112,14457,14690,5033,130302.0,6840000.0
2008-03-11,14497,14651,14265,14651,7197,129960.0,6840000.0
2008-03-12,14574,14921,14419,14497,5958,128592.0,6840000.0
2008-03-13,14882,14921,14265,14497,5071,128592.0,6840000.0
2008-03-14,14650,14650,14264,14266,4995,126540.0,6840000.0
2008-03-17,14187,14342,13725,14150,4892,125514.0,6840000.0
2008-03-18,14034,15113,14034,14651,12988,129960.0,6840000.0
2008-03-19,14727,15035,14534,14690,6796,130302.0,6840000.0
2008-03-20,14497,15075,14458,15075,4475,133722.0,6840000.0
2008-03-21,15112,15228,14765,15114,5240,134064.0,6840000.0
2008-03-24,15112,15228,14843,15037,739,133380.0,6840000.0
2008-03-25,15267,15267,14804,15037,6318,133380.0,6840000.0
2008-03-26,14805,15036,14651,14728,5721,130644.0,6840000.0
2008-03-27,15036,15036,14651,14921,1212,132354.0,6840000.0
2008-03-28,14920,15035,14496,15037,5251,133380.0,6840000.0
2008-03-31,15036,15191,14882,15191,10228,134748.0,6840000.0
2008-04-01,15152,15923,15113,15538,12394,137826.0,6840000.0
2008-04-02,15306,15807,15306,15345,7219,136116.0,6840000.0
2008-04-03,15383,15576,15113,15422,8287,136800.0,6840000.0
2008-04-04,15499,15538,15075,15268,5570,135432.0,6840000.0
2008-04-07,15267,15267,15035,15037,2357,133380.0,6840000.0
2008-04-08,15036,15152,14844,14921,5934,132354.0,6840000.0
2008-04-10,14920,14920,14611,14690,3310,130302.0,6840000.0
2008-04-11,14689,15036,14651,14844,4676,131670.0,6840000.0
2008-04-14,14805,14959,14728,14728,3584,130644.0,6840000.0
2008-04-15,14535,14882,14535,14574,5120,129276.0,6840000.0
2008-04-16,14959,14959,14381,14574,8482,129276.0,6840000.0
2008-04-17,14920,14958,14650,14883,4932,132012.0,6840000.0
2008-04-18,14881,14958,14573,14883,2194,132012.0,6840000.0
2008-04-21,14689,14959,14689,14844,3633,131670.0,6840000.0
2008-04-22,14805,14959,14574,14574,3313,129276.0,6840000.0
2008-04-23,14650,14765,14573,14613,4138,129618.0,6840000.0
2008-04-24,14766,15229,14612,14921,13802,132354.0,6840000.0
2008-04-25,14921,15422,14921,15422,15228,136800.0,6840000.0
2008-04-28,15459,15575,15112,15114,7745,134064.0,6840000.0
2008-04-29,15383,15383,15036,15268,2231,135432.0,6840000.0
2008-04-30,15268,15499,15152,15422,7397,136800.0,6840000.0
2008-05-02,15422,15460,15191,15191,7777,134748.0,6840000.0
2008-05-06,15036,15345,15036,15191,5534,134748.0,6840000.0
2008-05-07,15190,15421,15151,15307,10220,135774.0,6840000.0
2008-05-08,15305,15691,15305,15577,14819,138168.0,6840000.0
2008-05-09,15653,15807,15268,15268,11322,135432.0,6840000.0
2008-05-13,15382,15382,14920,15037,11459,133380.0,6840000.0
2008-05-14,14959,15460,14844,15422,14987,136800.0,6840000.0
2008-05-15,15576,17350,15345,16926,59438,150138.0,6840000.0
2008-05-16,16926,17504,16347,16579,29204,147060.0,6840000.0
2008-05-19,16809,17040,16423,16772,27454,148770.0,6840000.0
2008-05-20,16770,17580,16616,17119,28081,151848.0,6840000.0
2008-05-21,17234,17234,16540,16540,12637,146718.0,6840000.0
2008-05-22,16347,17003,16193,16887,17530,149796.0,6840000.0
2008-05-23,17194,17194,16269,17042,22207,151164.0,6840000.0
2008-05-26,17079,17117,16423,16849,18950,149454.0,6840000.0
2008-05-27,16809,17040,16578,16772,18029,148770.0,6840000.0
2008-05-28,16771,17273,16193,16579,28285,147060.0,6840000.0
2008-05-29,16732,16732,16308,16348,20189,145008.0,6840000.0
2008-05-30,16347,16501,16039,16039,32237,142272.0,6840000.0
2008-06-02,16076,16192,15537,15924,7825,141246.0,6840000.0
2008-06-03,16076,16076,15652,15731,11846,139536.0,6840000.0
2008-06-04,15962,15962,15538,15885,8524,140904.0,6840000.0
2008-06-05,15769,16039,15653,15846,6805,140562.0,6840000.0
2008-06-09,15537,16153,15267,16155,14738,143298.0,6840000.0
2008-06-10,16154,16579,16039,16039,13460,142272.0,6840000.0
2008-06-11,16038,16269,15729,15808,4173,140220.0,6840000.0
2008-06-12,15498,16076,15421,15924,9579,141246.0,6840000.0
2008-06-13,15922,16423,15845,16271,15185,144324.0,6840000.0
2008-06-16,16386,16540,16000,16463,13765,146034.0,6840000.0
2008-06-17,16579,16579,16000,16463,13763,146034.0,6840000.0
2008-06-18,16463,16617,16193,16193,5939,143640.0,6840000.0
2008-06-19,16038,16385,15884,16155,3675,143298.0,6840000.0
2008-06-20,16347,16347,15885,16039,1180,142272.0,6840000.0
2008-06-23,16038,16038,15537,15808,7801,140220.0,6840000.0
2008-06-24,15807,15962,15653,15885,7420,140904.0,6840000.0
2008-06-25,15884,16038,15498,15654,5056,138852.0,6840000.0
2008-06-26,15652,15884,15305,15654,12625,138852.0,6840000.0
2008-06-27,15499,15499,14805,14844,9876,131670.0,6840000.0
2008-06-30,14573,15190,14573,15037,8445,133380.0,6840000.0
2008-07-01,14728,15113,14458,14651,2393,129960.0,6840000.0
2008-07-02,14418,14727,13763,13919,15809,123462.0,6840000.0
2008-07-03,13377,14341,13377,14189,4938,125856.0,6840000.0
2008-07-04,14728,14728,13880,13880,1275,123120.0,6840000.0
2008-07-07,14380,14380,13339,13996,1610,124146.0,6840000.0
2008-07-08,13802,14111,13147,14111,9080,125172.0,6840000.0
2008-07-09,14111,14111,13802,14111,367,125172.0,6840000.0
2008-07-10,14187,14187,13493,14073,5592,124830.0,6840000.0
2008-07-11,14111,14381,13880,14111,3738,125172.0,6840000.0
2008-07-14,14881,14881,13493,13919,13924,123462.0,6840000.0
2008-07-15,13532,14071,13532,13803,3409,122436.0,6840000.0
2008-07-16,13417,13957,13263,13957,7261,123804.0,6840000.0
2008-07-17,13764,14034,13648,13687,3420,121410.0,6840000.0
2008-07-18,13647,13956,13647,13803,3526,122436.0,6840000.0
2008-07-21,14111,14111,13417,13957,1007,123804.0,6840000.0
2008-07-22,14110,14110,13493,13996,1866,124146.0,6840000.0
2008-07-23,14111,14111,13725,13880,3827,123120.0,6840000.0
2008-07-24,13879,13956,13801,13919,5513,123462.0,6840000.0
2008-07-25,13880,14034,13571,13957,4237,123804.0,6840000.0
2008-07-28,13647,14341,13647,14266,3841,126540.0,6840000.0
2008-07-29,13880,14342,13725,14150,2930,125514.0,6840000.0
2008-07-30,13918,14265,13764,13764,1278,122094.0,6840000.0
2008-07-31,13802,14227,13764,14034,4088,124488.0,6840000.0
2008-08-01,13763,14149,13763,13803,1380,122436.0,6840000.0
2008-08-04,13801,13917,13493,13842,2034,122778.0,6840000.0
2008-08-05,13917,13917,13454,13803,2789,122436.0,6840000.0
2008-08-06,14071,14071,13647,13649,1548,121068.0,6840000.0
2008-08-07,13648,13918,13648,13764,597,122094.0,6840000.0
2008-08-08,13570,13879,13570,13842,1010,122778.0,6840000.0
2008-08-11,13879,13956,13609,13726,1431,121752.0,6840000.0
2008-08-12,14111,14111,13533,13764,2431,122094.0,6840000.0
2008-08-13,13957,13957,13648,13687,1553,121410.0,6840000.0
2008-08-14,13686,13724,13493,13495,2629,119700.0,6840000.0
2008-08-18,13416,13840,13377,13379,920,118674.0,6840000.0
2008-08-19,13724,13724,13107,13495,773,119700.0,6840000.0
2008-08-20,13185,13724,12606,13495,6817,119700.0,6840000.0
2008-08-21,13570,13570,12799,12955,1864,114912.0,6840000.0
2008-08-22,12953,13146,12182,13109,7219,116280.0,6840000.0
2008-08-25,13146,13146,12722,13032,1078,115596.0,6840000.0
2008-08-26,12722,13030,12375,13032,4418,115596.0,6840000.0
2008-08-27,13186,13186,12492,12492,566,110808.0,6840000.0
2008-08-28,12723,12723,12067,12492,3520,110808.0,6840000.0
2008-08-29,12182,13107,12105,12261,5711,108756.0,6840000.0
2008-09-01,11951,12259,11334,11644,5033,103284.0,6840000.0
2008-09-02,11642,11951,10871,11914,7795,105678.0,6840000.0
2008-09-03,11219,12067,11026,12029,3237,106704.0,6840000.0
2008-09-04,12145,12414,11451,12145,1477,107730.0,6840000.0
2008-09-05,12144,12259,11411,12261,1568,108756.0,6840000.0
2008-09-08,12684,12684,12183,12646,3941,112176.0,6840000.0
2008-09-09,12336,12683,12259,12261,893,108756.0,6840000.0
2008-09-10,11951,12336,11835,12261,1985,108756.0,6840000.0
2008-09-11,12260,12530,11952,12492,335,110808.0,6840000.0
2008-09-12,13070,13070,11952,12492,950,110808.0,6840000.0
2008-09-16,11912,12182,11450,11644,3404,103284.0,6840000.0
2008-09-17,12414,12414,11720,12145,2428,107730.0,6840000.0
2008-09-18,11411,12336,11411,11760,759,104310.0,6840000.0
