아이큐어(175250),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-08-23,39550,39600,37950,38200,144624,233918.0,6123518.0
2018-08-24,38550,40300,38150,39250,206544,240348.0,6123518.0
2018-08-27,39500,41500,39250,40750,200678,249533.0,6123518.0
2018-08-28,41500,43500,40300,42000,470275,257188.0,6123518.0
2018-08-29,42000,42400,41000,41350,164958,253207.0,6123518.0
2018-08-30,41600,42100,41000,41100,104208,251677.0,6123518.0
2018-08-31,40650,42500,40650,42500,172071,260250.0,6123518.0
2018-09-03,42800,44550,42650,43750,315161,267904.0,6123518.0
2018-09-04,43950,44000,42850,43600,158681,266985.0,6123518.0
2018-09-05,43400,44300,42850,43400,165956,265761.0,6123518.0
2018-09-06,43400,43600,42150,42200,141193,258412.0,6123518.0
2018-09-07,42350,42850,41050,41500,125623,254126.0,6123518.0
2018-09-10,41550,42000,40900,41100,58956,251677.0,6123518.0
2018-09-11,41600,44450,41150,44400,403736,271884.0,6123518.0
2018-09-12,45500,47450,44400,45000,532492,275558.0,6123518.0
2018-09-13,44900,46200,44500,44850,159472,274640.0,6123518.0
2018-09-14,45950,46100,44250,44550,197890,272803.0,6123518.0
2018-09-17,44350,44500,43500,43600,115761,266985.0,6123518.0
2018-09-18,44000,56600,43700,56600,2088697,346591.0,6123518.0
2018-09-19,60900,61800,54100,57200,2594610,350265.0,6123518.0
2018-09-20,56400,60900,55500,57500,1277656,352102.0,6123518.0
2018-09-21,58700,60100,57100,60000,533073,367411.0,6123518.0
2018-09-27,62100,65400,60000,60700,862263,371698.0,6123518.0
2018-09-28,61000,63700,58300,62300,499632,381495.0,6123518.0
2018-10-01,61200,62300,58600,59000,317619,361288.0,6123518.0
2018-10-02,58400,59300,54400,54800,297222,335569.0,6123518.0
2018-10-04,54400,55400,51500,53700,312984,328833.0,6123518.0
2018-10-05,53100,55400,52100,53800,212304,329445.0,6123518.0
2018-10-08,53300,55100,50400,50400,195978,308625.0,6123518.0
2018-10-10,50500,51400,47950,49350,233317,302196.0,6123518.0
2018-10-11,46700,47800,43900,43900,347661,268822.0,6123518.0
2018-10-12,43900,46050,42550,45400,276599,278008.0,6123518.0
2018-10-15,45400,45500,43550,43700,160554,267598.0,6123518.0
2018-10-16,46650,49750,46300,46550,650097,285050.0,6123518.0
2018-10-17,47400,47650,44300,46550,223746,285050.0,6123518.0
2018-10-18,46750,47950,45650,47800,161100,292704.0,6123518.0
2018-10-19,46950,50000,46000,49750,196352,304645.0,6123518.0
2018-10-22,49200,49400,48400,48750,114101,298522.0,6123518.0
2018-10-23,48400,48600,45200,45450,136355,278314.0,6123518.0
2018-10-24,46100,46700,41850,42250,194976,258719.0,6123518.0
2018-10-25,40100,40800,38850,39500,303252,241879.0,6123518.0
2018-10-26,40300,40500,36800,37600,170928,230244.0,6123518.0
2018-10-29,38200,39350,37000,37200,175063,227795.0,6123518.0
2018-10-30,37150,40100,36500,39600,150053,242491.0,6123518.0
2018-10-31,40000,41650,38500,40400,129286,247390.0,6123518.0
2018-11-01,41300,43050,41050,41300,129955,252901.0,6123518.0
2018-11-02,42450,43700,42250,43200,115462,264536.0,6123518.0
2018-11-05,42950,44500,42350,43600,130433,266985.0,6123518.0
2018-11-06,44000,44050,41800,42450,140028,259943.0,6123518.0
2018-11-07,43000,43650,41100,41900,142238,256575.0,6123518.0
2018-11-08,42950,42950,41450,41900,98585,256575.0,6123518.0
2018-11-09,41800,41850,39800,40050,99784,245247.0,6123518.0
2018-11-12,39000,39650,38300,38450,97673,235449.0,6123518.0
2018-11-13,37600,40200,37550,40200,85182,246165.0,6123518.0
2018-11-14,39750,40500,39150,39550,90583,242185.0,6123518.0
2018-11-15,39000,39900,38550,39400,75624,241267.0,6123518.0
2018-11-16,39850,40300,39400,40150,70952,245859.0,6123518.0
2018-11-19,40450,40550,39500,40100,87128,245553.0,6123518.0
2018-11-20,39500,40050,38400,38550,120104,236062.0,6123518.0
2018-11-21,38150,40850,37050,38900,117662,238205.0,6123518.0
2018-11-22,39000,39300,37700,37850,75504,231775.0,6123518.0
2018-11-23,37900,38500,36850,36850,98447,225652.0,6123518.0
2018-11-26,36700,38000,36500,37300,64286,228407.0,6123518.0
2018-11-27,37800,39600,37450,39450,134756,241573.0,6123518.0
2018-11-28,39650,39650,38150,38350,78044,234837.0,6123518.0
2018-11-29,39450,39450,37350,37400,78089,229020.0,6123518.0
2018-11-30,37350,38250,37150,37200,41539,227795.0,6123518.0
2018-12-03,38100,38250,37300,38000,54565,232694.0,6123518.0
2018-12-04,38000,38600,37750,38000,41157,232694.0,6123518.0
2018-12-05,37100,37650,36950,37050,57725,226876.0,6123518.0
2018-12-06,37900,39500,36850,36900,149514,225958.0,6123518.0
2018-12-07,37300,37900,35200,35800,120478,219222.0,6123518.0
2018-12-10,35000,35250,32750,33450,131027,204832.0,6123518.0
2018-12-11,34200,34400,32750,33000,66893,202076.0,6123518.0
2018-12-12,32850,35000,32850,34450,77604,210955.0,6123518.0
2018-12-13,34850,35000,34100,34550,39069,211568.0,6123518.0
2018-12-14,34400,34850,33000,33300,40406,203913.0,6123518.0
2018-12-17,33000,33300,31000,31300,85470,191666.0,6123518.0
2018-12-18,30700,32750,30150,31850,79510,195034.0,6123518.0
2018-12-19,31700,32300,31200,31850,53240,195034.0,6123518.0
2018-12-20,31400,32600,30800,31250,76547,191360.0,6123518.0
2018-12-21,30950,33700,30900,32900,129624,201464.0,6123518.0
2018-12-24,32500,32650,30950,31550,73848,193197.0,6123518.0
2018-12-26,30350,31600,30350,31600,56930,193503.0,6123518.0
2018-12-27,32500,32500,31450,31850,47718,195034.0,6123518.0
2018-12-28,32000,33050,31800,33050,61542,202382.0,6123518.0
2019-01-02,33100,34450,32500,32950,72104,201770.0,6123518.0
2019-01-03,32950,33250,30900,31200,68238,191054.0,6123518.0
2019-01-04,31050,32950,30400,32750,81499,200545.0,6123518.0
2019-01-07,32900,33250,32400,32750,41061,200545.0,6123518.0
2019-01-08,33100,33100,32050,32250,28343,197483.0,6123518.0
2019-01-09,32550,33200,32000,32650,50059,199933.0,6123518.0
2019-01-10,32900,38350,32650,35300,450804,216160.0,6123518.0
2019-01-11,35650,37050,34450,35900,151064,219834.0,6123518.0
2019-01-14,35700,35700,33550,33700,130319,206363.0,6123518.0
2019-01-15,34000,34550,33350,33350,72510,204219.0,6123518.0
2019-01-16,33800,33800,32550,32600,71659,199627.0,6123518.0
2019-01-17,32550,33400,31450,31650,96940,193809.0,6123518.0
2019-01-18,31650,34050,31250,33700,102136,206363.0,6123518.0
2019-01-21,33700,34900,33350,34400,103056,210649.0,6123518.0
2019-01-22,34950,38250,34500,37150,445296,227489.0,6123518.0
2019-01-23,36900,38050,35100,37300,227743,228407.0,6123518.0
2019-01-24,37300,38800,36900,37600,124412,230244.0,6123518.0
2019-01-25,38100,38700,37100,37600,75914,230244.0,6123518.0
2019-01-28,37450,37850,36500,36500,83814,223508.0,6123518.0
2019-01-29,36500,37950,35200,37950,120947,232388.0,6123518.0
2019-01-30,38300,38350,37200,37500,72586,229632.0,6123518.0
2019-01-31,37550,37850,37150,37350,48815,228713.0,6123518.0
2019-02-01,37350,37400,36550,37150,55097,227489.0,6123518.0
2019-02-07,37500,39100,36800,38400,91437,235143.0,6123518.0
2019-02-08,38000,38550,37500,37800,51046,231469.0,6123518.0
2019-02-11,37900,38400,37800,37800,54404,231469.0,6123518.0
2019-02-12,37800,38100,37200,37700,35407,230857.0,6123518.0
2019-02-13,37700,38200,37400,37700,53670,230857.0,6123518.0
2019-02-14,37650,39400,37650,38050,122264,233000.0,6123518.0
2019-02-15,38400,39500,37650,39400,97379,241267.0,6123518.0
2019-02-18,40000,43250,40000,42000,370109,257188.0,6123518.0
2019-02-19,42050,43000,41150,42400,119775,259637.0,6123518.0
2019-02-20,42350,42350,41300,41700,71276,255351.0,6123518.0
2019-02-21,41400,42000,40150,40200,67118,246165.0,6123518.0
2019-02-22,39100,40800,38950,39450,76540,241573.0,6123518.0
2019-02-25,39550,39900,38600,38750,74854,237286.0,6123518.0
2019-02-26,39350,39400,38150,38450,46712,235449.0,6123518.0
2019-02-27,38500,39700,38400,39300,37944,240654.0,6123518.0
2019-02-28,39450,42250,38950,39900,156329,244328.0,6123518.0
2019-03-04,41200,42200,40750,41300,77022,252901.0,6123518.0
2019-03-05,41000,42850,40750,41450,100978,253820.0,6123518.0
2019-03-06,41750,41900,40650,41000,59212,251064.0,6123518.0
2019-03-07,40600,41300,39800,40000,65812,244941.0,6123518.0
2019-03-08,39450,40350,39200,39600,48829,242491.0,6123518.0
2019-03-11,39450,40200,38550,40000,57200,244941.0,6123518.0
2019-03-12,40200,43000,40150,42700,222424,261474.0,6123518.0
2019-03-13,43000,45150,42850,43650,315626,267292.0,6123518.0
2019-03-14,44750,45300,42900,44500,167604,272497.0,6123518.0
2019-03-15,44600,45350,43100,44850,182403,274640.0,6123518.0
2019-03-18,45000,46000,44300,45200,152814,276783.0,6123518.0
2019-03-19,45200,45600,42500,42600,148918,260862.0,6123518.0
2019-03-20,42650,42900,41350,42550,86961,260556.0,6123518.0
2019-03-21,42200,42850,41350,41550,50960,254432.0,6123518.0
2019-03-22,41600,42700,40650,41050,65634,251370.0,6123518.0
2019-03-25,39950,40150,36500,36600,329803,224121.0,6123518.0
2019-03-26,37000,38100,36600,37900,120310,232081.0,6123518.0
2019-03-27,38000,43750,37500,40700,386263,249227.0,6123518.0
2019-03-28,40200,40800,39100,39250,102857,240348.0,6123518.0
2019-03-29,39300,39850,37450,39350,80076,240960.0,6123518.0
2019-04-01,39000,41450,38650,40550,104553,248309.0,6123518.0
2019-04-02,41500,43450,40900,42800,172740,262087.0,6123518.0
2019-04-03,43200,43300,41550,42600,114977,260862.0,6123518.0
2019-04-04,41700,42800,41350,42150,82142,258106.0,6123518.0
2019-04-05,42150,43200,41700,42650,90444,261168.0,6123518.0
2019-04-08,43250,43700,42650,43050,101243,276116.0,6413839.0
2019-04-09,43800,43800,42300,42750,95072,274192.0,6413839.0
2019-04-10,43100,45150,42700,43850,247909,281247.0,6413839.0
2019-04-11,43700,43850,42750,43600,95328,279643.0,6413839.0
2019-04-12,44350,44350,43300,43300,77926,277719.0,6413839.0
2019-04-15,42800,43450,41800,42200,91103,270664.0,6413839.0
2019-04-16,42650,42850,41950,42800,39559,274512.0,6413839.0
2019-04-17,42800,43950,42200,42250,76810,270985.0,6413839.0
2019-04-18,42200,42550,40400,40500,93576,259760.0,6413839.0
2019-04-19,41250,41750,40800,40850,33538,262005.0,6413839.0
2019-04-22,40950,42250,40600,41650,44687,267136.0,6413839.0
2019-04-23,41700,41800,40850,40900,33214,262326.0,6413839.0
2019-04-24,40900,41350,39500,39800,45531,255271.0,6413839.0
2019-04-25,39650,39850,38600,38800,70832,248857.0,6413839.0
2019-04-26,38950,39350,37500,38250,52295,245329.0,6413839.0
2019-04-29,38500,39300,38500,39100,29029,250781.0,6413839.0
2019-04-30,38800,39750,38700,39750,29347,254950.0,6413839.0
2019-05-02,39400,39800,38950,39200,28833,251422.0,6413839.0
2019-05-03,39200,40500,39000,39100,33620,250781.0,6413839.0
2019-05-07,38100,38350,37500,37750,69149,242122.0,6413839.0
2019-05-08,37100,37800,36900,36900,53769,236671.0,6413839.0
2019-05-09,36900,37200,34100,34800,94177,223202.0,6413839.0
2019-05-10,34700,38000,34700,37200,115627,238595.0,6413839.0
2019-05-13,36900,38250,35950,35950,45950,230578.0,6413839.0
2019-05-14,35100,36900,34850,36350,48244,233143.0,6413839.0
2019-05-15,36900,38250,36100,37500,59698,240519.0,6413839.0
2019-05-16,38100,38100,36300,36400,32312,233464.0,6413839.0
2019-05-17,36550,38650,36550,37050,104276,237633.0,6413839.0
2019-05-20,36800,37650,35600,35700,37227,228974.0,6413839.0
2019-05-21,35650,36900,35400,35500,23031,227691.0,6413839.0
2019-05-22,35650,37250,35450,36350,37677,233143.0,6413839.0
2019-05-23,36350,37350,36300,36450,27467,233784.0,6413839.0
2019-05-24,36800,36800,35300,35400,29880,227050.0,6413839.0
2019-05-27,35950,36250,34500,34800,28114,223202.0,6413839.0
2019-05-28,34850,37750,34850,37750,60814,242122.0,6413839.0
2019-05-29,37500,37500,35850,36400,49562,233464.0,6413839.0
2019-05-30,36650,36750,35600,35800,21254,229615.0,6413839.0
2019-05-31,35900,36700,35800,36300,13636,232822.0,6413839.0
2019-06-03,36250,36500,35500,36500,26165,234105.0,6413839.0
2019-06-04,36050,36550,35300,36000,43916,230898.0,6413839.0
2019-06-05,37050,37400,36550,36750,50440,235709.0,6413839.0
2019-06-07,37300,38400,36900,37850,49247,242764.0,6413839.0
2019-06-10,37900,38450,37300,37400,28522,239878.0,6413839.0
2019-06-11,37800,38450,37200,38400,60866,246291.0,6413839.0
2019-06-12,38700,38700,37300,37350,33896,239557.0,6413839.0
2019-06-13,37250,37750,37100,37650,20230,241481.0,6413839.0
2019-06-14,37700,37700,36600,37000,26163,237312.0,6413839.0
2019-06-17,36850,37100,36000,36000,28349,230898.0,6413839.0
2019-06-18,36050,36550,34900,35100,45844,225126.0,6413839.0
2019-06-19,35400,35900,34750,35100,54859,225126.0,6413839.0
2019-06-20,35000,36200,34900,35750,26491,229295.0,6413839.0
2019-06-21,36600,37800,35900,36700,43607,235388.0,6413839.0
2019-06-24,36700,36750,35550,35950,20885,230578.0,6413839.0
2019-06-25,35600,36000,34800,34800,43310,223202.0,6413839.0
2019-06-26,34600,35600,34550,34950,35961,224164.0,6413839.0
2019-06-27,35250,35250,32450,32850,81881,210695.0,6413839.0
2019-06-28,32850,33600,31850,32150,73656,206205.0,6413839.0
2019-07-01,31750,32750,31750,32000,59460,205243.0,6413839.0
2019-07-02,31700,32450,31700,31700,36836,203319.0,6413839.0
2019-07-03,31800,32150,31500,31500,30564,202036.0,6413839.0
2019-07-04,31500,31500,29900,30450,75536,195301.0,6413839.0
2019-07-05,30450,31400,30450,31050,23075,199150.0,6413839.0
2019-07-08,30650,30800,29650,29700,51783,190491.0,6413839.0
2019-07-09,29100,30050,28650,28650,57879,183756.0,6413839.0
2019-07-10,28650,29400,28550,29000,31200,186001.0,6413839.0
2019-07-11,29150,29650,28950,29150,26506,186963.0,6413839.0
2019-07-12,29550,29550,29050,29150,12957,186963.0,6413839.0
2019-07-15,29000,29300,28200,28500,34584,182794.0,6413839.0
2019-07-16,28500,29100,28350,29000,20461,186001.0,6413839.0
2019-07-17,28900,29300,28400,29300,30830,187925.0,6413839.0
2019-07-18,29500,29500,28900,29050,20876,186322.0,6413839.0
2019-07-19,29050,30650,29050,30400,38450,194981.0,6413839.0
2019-07-22,30200,30500,29900,30450,19014,195301.0,6413839.0
2019-07-23,30400,30950,30000,30450,24193,195301.0,6413839.0
2019-07-24,30450,30950,29650,29900,24377,191774.0,6413839.0
2019-07-25,29600,29900,28800,29000,24917,186001.0,6413839.0
2019-07-26,28500,28850,27250,27500,70221,176381.0,6413839.0
2019-07-29,27500,27750,25300,25400,66435,162912.0,6413839.0
2019-07-30,24950,26700,24950,26100,38236,167401.0,6413839.0
2019-07-31,25550,27500,25050,27300,37418,175098.0,6413839.0
2019-08-01,27000,28100,26700,27350,39719,175418.0,6413839.0
2019-08-02,26400,28400,26000,26550,43963,170287.0,6413839.0
2019-08-05,26200,26600,21750,21800,142582,139822.0,6413839.0
2019-08-06,20050,22200,18700,18750,222761,120259.0,6413839.0
2019-08-07,18700,20200,18700,19600,156316,125711.0,6413839.0
2019-08-08,19800,22100,19800,21850,141644,140142.0,6413839.0
2019-08-09,21900,24850,21900,23300,150398,149442.0,6413839.0
2019-08-12,22700,23650,22200,23000,44061,147518.0,6413839.0
2019-08-13,22600,22700,22150,22200,30308,142387.0,6413839.0
2019-08-14,22700,24000,22150,22150,63425,142067.0,6413839.0
2019-08-16,21900,22450,20600,21300,76889,136615.0,6413839.0
2019-08-19,21850,22550,21600,22200,35905,142387.0,6413839.0
2019-08-20,22250,23750,22250,23550,55346,151046.0,6413839.0
2019-08-21,23350,25400,23350,25150,60679,161308.0,6413839.0
2019-08-22,25050,25400,24350,25200,48155,161629.0,6413839.0
2019-08-23,24550,25100,24250,24650,38758,158101.0,6413839.0
2019-08-26,23600,24000,23000,23500,32935,150725.0,6413839.0
2019-08-27,23600,24200,23300,23400,25326,150084.0,6413839.0
2019-08-28,23400,23850,22300,23650,56179,151687.0,6413839.0
2019-08-29,23700,25100,23650,23700,59965,152008.0,6413839.0
2019-08-30,23850,24500,23650,23800,28334,152649.0,6413839.0
2019-09-02,23800,24500,23250,24500,27633,157139.0,6413839.0
2019-09-03,24550,24700,23500,23800,18703,152649.0,6413839.0
2019-09-04,23350,24050,23350,24000,12468,153932.0,6413839.0
2019-09-05,24100,24350,23600,23650,21211,151687.0,6413839.0
2019-09-06,24000,24650,23650,24100,31228,154574.0,6413839.0
2019-09-09,24050,24350,23350,23550,16164,151046.0,6413839.0
2019-09-10,23150,23600,22650,22700,20485,145594.0,6413839.0
2019-09-11,22600,24000,22600,23450,18479,150405.0,6413839.0
2019-09-16,23700,23900,23300,23800,16749,152649.0,6413839.0
2019-09-17,23600,24800,23450,24550,33743,157460.0,6413839.0
2019-09-18,24600,24800,23800,24050,21003,154253.0,6413839.0
2019-09-19,23900,24750,23800,23900,17361,153291.0,6413839.0
2019-09-20,24200,24300,23400,23650,27296,151687.0,6413839.0
2019-09-23,23700,23800,22950,23000,21380,147518.0,6413839.0
2019-09-24,22500,23250,22450,23000,17738,147518.0,6413839.0
2019-09-25,23250,23250,22100,22150,32484,142067.0,6413839.0
2019-09-26,22050,23000,22000,22100,25298,141746.0,6413839.0
2019-09-27,21900,22400,21650,21900,19409,140463.0,6413839.0
2019-09-30,22100,22250,21000,21050,30207,135011.0,6413839.0
2019-10-01,21150,23450,21150,22800,69902,146236.0,6413839.0
2019-10-02,22400,22700,21750,21750,21412,139501.0,6413839.0
2019-10-04,21750,22000,21200,21350,28055,136935.0,6413839.0
2019-10-07,21250,22750,21250,22450,48240,143991.0,6413839.0
