차바이오텍(085660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-10-16,8307,8575,8307,8447,18131,39908.0,5032500.0
2006-10-17,8562,8562,8148,8404,16660,39706.0,5032500.0
2006-10-18,8468,8468,8202,8308,13550,39254.0,5032500.0
2006-10-19,8382,8382,8201,8202,12329,38750.0,5032500.0
2006-10-20,8203,8405,8203,8277,4468,39103.0,5032500.0
2006-10-23,8362,8404,8171,8256,14632,39002.0,5032500.0
2006-10-24,8256,8372,8202,8298,13827,39203.0,5032500.0
2006-10-25,8319,8341,8223,8234,9634,38901.0,5032500.0
2006-10-26,8319,8425,8213,8234,15023,38901.0,5032500.0
2006-10-27,8245,8298,8053,8096,13352,38247.0,5032500.0
2006-10-30,8117,8298,8043,8096,33025,38247.0,5032500.0
2006-10-31,8097,8331,8043,8171,35671,38599.0,5032500.0
2006-11-01,8203,8736,8203,8735,53183,41266.0,5032500.0
2006-11-02,8948,9001,8639,8799,44486,41568.0,5032500.0
2006-11-03,8714,8937,8681,8682,18574,41015.0,5032500.0
2006-11-06,8883,9043,8638,8863,85893,41870.0,5032500.0
2006-11-07,8830,8927,8607,8820,70145,41669.0,5032500.0
2006-11-08,8810,8810,8576,8597,13861,40612.0,5032500.0
2006-11-09,8575,8627,8181,8308,45336,39254.0,5032500.0
2006-11-10,8138,8308,8075,8223,48315,38851.0,5032500.0
2006-11-13,8224,8319,7937,8256,43089,39002.0,5032500.0
2006-11-14,8373,8373,8053,8096,52733,38247.0,5032500.0
2006-11-15,8042,8150,8011,8053,18962,38046.0,5032500.0
2006-11-16,8053,8053,7798,7936,29626,37492.0,5032500.0
2006-11-17,7883,7968,7777,7915,36179,37391.0,5032500.0
2006-11-20,7829,7914,7722,7722,37708,36486.0,5032500.0
2006-11-21,7786,8182,7786,7990,75360,37744.0,5032500.0
2006-11-22,7989,8010,7785,7840,44029,37039.0,5032500.0
2006-11-23,7798,7851,7648,7649,61271,36133.0,5032500.0
2006-11-24,7584,7637,7403,7468,28485,35278.0,5032500.0
2006-11-27,7457,7563,7137,7190,73113,33969.0,5032500.0
2006-11-28,7136,7136,6923,7019,54652,33164.0,5032500.0
2006-11-29,6965,7083,6837,6913,74794,32661.0,5032500.0
2006-11-30,6945,7242,6945,7200,104822,34020.0,5032500.0
2006-12-01,7349,7349,7009,7094,103497,33516.0,5032500.0
2006-12-04,7093,7104,6976,7094,30115,33516.0,5032500.0
2006-12-05,7115,7542,7115,7414,127264,35026.0,5032500.0
2006-12-06,7308,7436,7223,7350,53713,34724.0,5032500.0
2006-12-07,7445,7552,7296,7456,71191,35228.0,5032500.0
2006-12-08,7381,7445,7093,7275,36374,34372.0,5032500.0
2006-12-11,7338,7402,7147,7243,53707,34221.0,5032500.0
2006-12-12,7307,7616,7158,7158,100719,33818.0,5032500.0
2006-12-13,7339,7360,7190,7287,28497,34422.0,5032500.0
2006-12-14,7243,7392,7243,7308,47053,34523.0,5032500.0
2006-12-15,7350,7498,7296,7382,39528,34875.0,5032500.0
2006-12-18,7318,7554,7318,7435,50184,35127.0,5032500.0
2006-12-19,7456,7552,7371,7424,20068,35077.0,5032500.0
2006-12-20,7423,7423,7146,7339,51975,34674.0,5032500.0
2006-12-21,7308,7425,7127,7265,40858,34322.0,5032500.0
2006-12-22,7266,7266,7039,7084,32207,33466.0,5032500.0
2006-12-26,7031,7126,6699,7127,66226,33667.0,5032500.0
2006-12-27,7137,7223,6925,7190,14443,33969.0,5032500.0
2006-12-28,7190,7296,7136,7297,21231,34473.0,5032500.0
2007-01-02,7402,7829,7349,7659,121119,36184.0,5032500.0
2007-01-03,7860,7860,7551,7659,67374,36184.0,5032500.0
2007-01-04,7722,7722,7265,7563,108392,35731.0,5032500.0
2007-01-05,7468,7553,7266,7350,48176,34724.0,5032500.0
2007-01-08,7242,7413,6966,7116,43596,33617.0,5032500.0
2007-01-09,7115,7350,7039,7243,27117,34221.0,5032500.0
2007-01-10,7242,7402,7092,7179,17246,33919.0,5032500.0
2007-01-11,7063,8256,7063,8256,764348,39002.0,5032500.0
2007-01-12,8257,9162,7883,8437,877654,39857.0,5032500.0
2007-01-15,8489,9650,8341,8874,582422,41921.0,5032500.0
2007-01-16,9267,9267,8638,8788,252280,41518.0,5032500.0
2007-01-17,8617,8638,8041,8287,208057,39153.0,5032500.0
2007-01-18,8682,9353,8682,8874,468643,41921.0,5032500.0
2007-01-19,8703,8809,8331,8735,153754,41266.0,5032500.0
2007-01-22,8904,9140,8521,8682,222769,41015.0,5032500.0
2007-01-23,8512,8736,8257,8277,174334,39103.0,5032500.0
2007-01-24,8266,8502,8160,8331,121986,39354.0,5032500.0
2007-01-25,8372,8522,8032,8032,139344,37945.0,5032500.0
2007-01-26,7937,8204,7723,7776,206142,36737.0,5032500.0
2007-01-29,8937,8937,8937,8937,246696,42223.0,5032500.0
2007-01-30,9693,10257,8937,9107,1590701,43028.0,5032500.0
2007-01-31,9149,9927,8798,9097,1311493,42978.0,5032500.0
2007-02-01,9011,9193,8544,8597,397401,40612.0,5032500.0
2007-02-02,8713,9192,8457,9171,756502,43330.0,5032500.0
2007-02-05,9065,9215,8736,8735,396488,41266.0,5032500.0
2007-02-06,8734,9000,8606,8607,242773,40663.0,5032500.0
