비아트론(141000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-05-10,20200,21000,19950,20100,335316,208191.0,10357770.0
2013-05-13,20150,20200,19500,19750,247216,204566.0,10357770.0
2013-05-14,20000,20250,18800,19400,397694,200941.0,10357770.0
2013-05-15,19400,20050,19200,19950,288757,206638.0,10357770.0
2013-05-16,20350,20400,19500,19650,242918,203530.0,10357770.0
2013-05-20,19600,19950,19250,19850,205171,205602.0,10357770.0
2013-05-21,19950,20250,19650,20100,180774,208191.0,10357770.0
2013-05-22,20100,20350,19850,19850,153255,205602.0,10357770.0
2013-05-23,19900,20200,19350,19350,194484,200423.0,10357770.0
2013-05-24,19400,19550,18750,19100,246580,197833.0,10357770.0
2013-05-27,19150,19500,18950,19400,136389,200941.0,10357770.0
2013-05-28,19650,20300,19600,19950,308042,206638.0,10357770.0
2013-05-29,20150,20200,19750,20050,206024,207673.0,10357770.0
2013-05-30,19950,20050,19750,19850,127912,205602.0,10357770.0
2013-05-31,20100,20100,18950,19550,236794,206279.0,10551370.0
2013-06-03,19500,19500,18900,18950,165084,199948.0,10551370.0
2013-06-04,19100,19200,17700,17950,407745,189397.0,10551370.0
2013-06-05,17750,17950,16750,16900,395821,178318.0,10551370.0
2013-06-07,17100,17200,15600,16450,462310,173570.0,10551370.0
2013-06-10,16400,17900,16400,17900,290943,188870.0,10551370.0
2013-06-11,17700,18000,17450,17900,143243,188870.0,10551370.0
2013-06-12,17600,18800,17600,18150,291816,191507.0,10551370.0
2013-06-13,18450,18650,17900,18250,166847,192563.0,10551370.0
2013-06-14,18500,18650,18000,18250,123737,192563.0,10551370.0
2013-06-17,18300,18550,17200,17800,154869,187814.0,10551370.0
2013-06-18,18000,18450,17550,18400,143080,194145.0,10551370.0
2013-06-19,18400,18600,18000,18000,91872,189925.0,10551370.0
2013-06-20,17500,18150,17250,17400,224008,183594.0,10551370.0
2013-06-21,17000,17550,16650,17550,146261,185177.0,10551370.0
2013-06-24,17500,17650,16600,16650,198693,175680.0,10551370.0
2013-06-25,16500,16800,14600,14800,528728,156160.0,10551370.0
2013-06-26,15300,15500,14700,15250,310922,160908.0,10551370.0
2013-06-27,15650,16450,15550,16250,318854,171460.0,10551370.0
2013-06-28,16350,16500,15950,16100,230977,169877.0,10551370.0
2013-07-01,16000,16800,16000,16650,174151,175680.0,10551370.0
2013-07-02,17000,17150,16650,16900,218801,178318.0,10551370.0
2013-07-03,16750,17050,15750,15850,476814,167239.0,10551370.0
2013-07-04,16050,16150,15100,15800,307535,166712.0,10551370.0
2013-07-05,16000,16150,15400,15450,175104,163019.0,10551370.0
2013-07-08,15400,15800,14900,14900,249447,157215.0,10551370.0
2013-07-09,15200,15900,15000,15900,229546,167767.0,10551370.0
2013-07-10,15950,16300,15750,15750,184915,166184.0,10551370.0
2013-07-11,16100,16350,16000,16300,151452,171987.0,10551370.0
2013-07-12,16450,16750,16050,16750,225926,176735.0,10551370.0
2013-07-15,17000,17100,16650,16850,179832,177791.0,10551370.0
2013-07-16,16800,16950,16600,16700,166429,176208.0,10551370.0
2013-07-17,16800,17000,16500,16900,134157,178318.0,10551370.0
2013-07-18,16900,17050,16500,16500,169258,174098.0,10551370.0
2013-07-19,16600,16600,15700,15900,267096,167767.0,10551370.0
2013-07-22,15900,16100,15300,15400,318455,162491.0,10551370.0
2013-07-23,15450,15650,15400,15500,206177,163546.0,10551370.0
2013-07-24,15700,15700,15350,15600,145305,164601.0,10551370.0
2013-07-25,15400,15450,14900,15000,402404,158271.0,10551370.0
2013-07-26,15200,15700,14950,15500,286154,163546.0,10551370.0
2013-07-29,15500,15650,15100,15200,157841,160381.0,10551370.0
2013-07-30,15350,15600,15150,15450,188793,163019.0,10551370.0
2013-07-31,15400,15550,15100,15250,169369,160908.0,10551370.0
2013-08-01,15350,16200,15350,16050,457353,169349.0,10551370.0
2013-08-02,16150,16200,15700,15800,178686,166712.0,10551370.0
2013-08-05,15850,16050,15600,15900,102729,167767.0,10551370.0
2013-08-06,15850,16100,15800,15950,203508,168294.0,10551370.0
2013-08-07,15900,16250,15300,15350,462002,161964.0,10551370.0
2013-08-08,15400,15550,15100,15200,345693,160381.0,10551370.0
2013-08-09,15300,15500,15150,15400,387693,162491.0,10551370.0
2013-08-12,15800,16550,15750,16450,951221,173570.0,10551370.0
2013-08-13,16300,16450,15700,15950,556447,168294.0,10551370.0
2013-08-14,15900,16150,15650,15950,314401,168294.0,10551370.0
2013-08-16,15550,15850,15400,15650,262064,165129.0,10551370.0
2013-08-19,15550,15800,15400,15400,185068,162491.0,10551370.0
2013-08-20,15450,16200,15300,15450,392662,163019.0,10551370.0
2013-08-21,15600,15700,14200,14650,595982,154578.0,10551370.0
2013-08-22,14250,14450,13400,13650,515333,144026.0,10551370.0
2013-08-23,13900,14200,13800,13950,260417,147192.0,10551370.0
2013-08-26,14000,14250,13950,14150,130397,149302.0,10551370.0
2013-08-27,14000,14300,13250,13450,223968,141916.0,10551370.0
2013-08-28,13050,13350,12950,13250,266424,139806.0,10551370.0
2013-08-29,13350,13650,13300,13350,136947,140861.0,10551370.0
2013-08-30,13400,13450,13000,13100,132006,138223.0,10551370.0
2013-09-02,13150,14050,13150,13800,359710,145609.0,10551370.0
2013-09-03,14000,14250,13950,14000,241990,147719.0,10551370.0
2013-09-04,14050,14050,13350,13400,261651,141388.0,10551370.0
2013-09-05,13500,13750,13300,13650,208353,144026.0,10551370.0
2013-09-06,13750,13800,13450,13500,161573,142443.0,10551370.0
2013-09-09,13650,13650,13400,13500,110839,142443.0,10551370.0
2013-09-10,13600,13700,13450,13550,126197,142971.0,10551370.0
2013-09-11,13650,14050,13650,13900,206320,146664.0,10551370.0
2013-09-12,14000,14050,13250,13350,365212,140861.0,10551370.0
2013-09-13,13350,13350,13050,13100,209388,138223.0,10551370.0
2013-09-16,13150,13250,12650,12700,230355,134002.0,10551370.0
2013-09-17,12700,13050,12650,12700,221316,134002.0,10551370.0
2013-09-23,12700,12800,12050,12100,399464,127672.0,10551370.0
2013-09-24,12000,12500,12000,12150,264323,128199.0,10551370.0
2013-09-25,12200,12250,11600,11800,312972,124506.0,10551370.0
2013-09-26,11800,12350,11700,12350,264295,130309.0,10551370.0
2013-09-27,12600,12650,12300,12550,179705,132420.0,10551370.0
2013-09-30,12450,12700,12350,12450,151848,131365.0,10551370.0
2013-10-01,12350,12400,11900,12100,200761,127672.0,10551370.0
2013-10-02,12200,12400,12100,12350,99191,130309.0,10551370.0
2013-10-04,12250,12500,12100,12250,127796,129254.0,10551370.0
2013-10-07,12450,13250,12400,13000,735524,137168.0,10551370.0
2013-10-08,12950,13150,12600,13100,336308,138223.0,10551370.0
2013-10-10,13300,13500,13000,13000,311293,137168.0,10551370.0
2013-10-11,13200,13300,12950,13050,168273,137695.0,10551370.0
2013-10-14,13150,13350,12800,12900,181434,136184.0,10556870.0
2013-10-15,13000,13050,12750,12950,119420,136711.0,10556870.0
2013-10-16,12850,13300,12650,12700,250233,134072.0,10556870.0
2013-10-17,12800,12950,12050,12200,220391,128794.0,10556870.0
2013-10-18,12200,12550,12050,12350,138267,130377.0,10556870.0
2013-10-21,12550,12800,12350,12600,159473,133017.0,10556870.0
2013-10-22,12500,12800,12500,12800,75530,135128.0,10556870.0
2013-10-23,12800,12950,12500,12500,120141,131961.0,10556870.0
2013-10-24,12500,12850,12450,12850,83089,135656.0,10556870.0
2013-10-25,12900,12900,12500,12650,119906,133544.0,10556870.0
2013-10-28,12750,13150,12750,13150,239887,138823.0,10556870.0
2013-10-29,13100,13200,12850,13000,152033,137239.0,10556870.0
2013-10-30,13100,13100,12700,13000,156598,137239.0,10556870.0
2013-10-31,12900,13000,12700,12700,123732,134072.0,10556870.0
2013-11-01,12700,13050,12650,13000,140804,137239.0,10556870.0
2013-11-04,13100,13800,13100,13550,578833,143046.0,10556870.0
2013-11-05,13550,13650,13200,13500,277412,142518.0,10556870.0
2013-11-06,13550,13800,13450,13550,249928,143046.0,10556870.0
2013-11-07,13650,13900,13300,13450,282677,141990.0,10556870.0
2013-11-08,13300,13650,12900,12950,245563,136711.0,10556870.0
2013-11-11,13050,13150,11900,11950,385693,126155.0,10556870.0
2013-11-12,11950,12350,11950,12250,121678,129322.0,10556870.0
2013-11-13,12100,12200,11700,11700,253729,123515.0,10556870.0
2013-11-14,11900,12150,11800,12150,145999,128266.0,10556870.0
2013-11-15,12100,12150,11700,11850,254706,125099.0,10556870.0
2013-11-18,11900,11900,10950,11050,366979,116653.0,10556870.0
2013-11-19,11000,11350,11000,11250,148596,118765.0,10556870.0
2013-11-20,11250,11350,10800,10800,141063,114014.0,10556870.0
2013-11-21,10800,10900,10350,10450,229628,110319.0,10556870.0
2013-11-22,10550,10700,10450,10500,119542,110847.0,10556870.0
2013-11-25,10550,11100,10500,11050,157550,116653.0,10556870.0
2013-11-26,10950,11350,10800,11200,140688,118237.0,10556870.0
2013-11-27,11300,11300,11000,11100,85495,117181.0,10556870.0
2013-11-28,11150,11350,11050,11300,120315,119293.0,10556870.0
2013-11-29,11350,11350,11050,11150,93498,117709.0,10556870.0
2013-12-02,11100,11150,10600,10600,167093,111903.0,10556870.0
2013-12-03,10550,10850,10500,10650,115401,112431.0,10556870.0
2013-12-04,10550,10800,10500,10750,96512,113486.0,10556870.0
2013-12-05,10650,11000,10650,10900,107549,115070.0,10556870.0
2013-12-06,10900,11500,10800,11350,348514,119820.0,10556870.0
2013-12-09,11350,11450,11050,11100,96687,117181.0,10556870.0
2013-12-10,11300,11500,11000,11150,172476,117709.0,10556870.0
2013-12-11,11150,11250,10750,10800,135500,114014.0,10556870.0
2013-12-12,10700,11100,10650,10950,88865,115598.0,10556870.0
2013-12-13,10950,11050,10600,10900,76142,115070.0,10556870.0
2013-12-16,10950,10950,10400,10500,117963,110847.0,10556870.0
2013-12-17,10550,10750,10350,10450,95851,110319.0,10556870.0
2013-12-18,10350,10450,9610,9820,353976,103668.0,10556870.0
2013-12-19,9900,10250,9850,10100,192849,106624.0,10556870.0
2013-12-20,10100,10400,9990,10400,102138,109791.0,10556870.0
2013-12-23,10350,10600,10350,10350,86839,109264.0,10556870.0
2013-12-24,10450,10450,9980,10200,142271,107680.0,10556870.0
2013-12-26,10300,10400,10200,10250,67909,108208.0,10556870.0
2013-12-27,10350,10850,10300,10800,175206,114014.0,10556870.0
2013-12-30,10900,11300,10850,11300,211771,119293.0,10556870.0
2014-01-02,11250,11250,10700,10900,213690,115070.0,10556870.0
2014-01-03,10850,11100,10750,11000,96198,116126.0,10556870.0
2014-01-06,11100,11200,10850,10950,114074,115598.0,10556870.0
2014-01-07,10900,11050,10700,11050,97554,116653.0,10556870.0
2014-01-08,11100,11100,10650,10750,194734,113486.0,10556870.0
2014-01-09,10750,10900,10500,10600,142044,111903.0,10556870.0
2014-01-10,10600,10850,10550,10750,89279,113486.0,10556870.0
2014-01-13,10750,10800,10400,10400,152198,109791.0,10556870.0
2014-01-14,10300,10350,10050,10200,187403,107680.0,10556870.0
2014-01-15,10300,10300,10050,10200,116174,107680.0,10556870.0
