네오셈(253590),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-07-04,2155,2160,2135,2135,18156,11764.0,5510000.0
2018-07-05,2125,2170,2100,2145,29071,11819.0,5510000.0
2018-07-06,2145,2160,2105,2160,31255,11902.0,5510000.0
2018-07-09,2190,2195,2170,2170,6274,11957.0,5510000.0
2018-07-10,2185,2195,2125,2190,12503,12067.0,5510000.0
2018-07-11,2195,2215,2140,2180,34422,12012.0,5510000.0
2018-07-12,2160,2235,2160,2180,7083,12012.0,5510000.0
2018-07-13,2200,2220,2195,2195,8961,12094.0,5510000.0
2018-07-16,2170,2225,2170,2190,1030,12067.0,5510000.0
2018-07-17,2125,2260,2125,2170,19571,11957.0,5510000.0
2018-07-18,2190,2200,2190,2190,7093,12067.0,5510000.0
2018-07-19,2180,2180,2140,2150,21425,11846.0,5510000.0
2018-07-20,2150,2155,2125,2125,7451,11709.0,5510000.0
2018-07-23,2105,2105,2070,2100,47840,11571.0,5510000.0
2018-07-24,2135,2135,2075,2120,505,11681.0,5510000.0
2018-07-25,2070,2085,2040,2085,84037,11488.0,5510000.0
2018-07-26,2075,2090,2045,2090,16771,11516.0,5510000.0
2018-07-27,2070,2100,2055,2070,8741,11406.0,5510000.0
2018-07-30,2070,2070,2060,2060,2961,11351.0,5510000.0
2018-07-31,2055,2065,2040,2055,23293,11323.0,5510000.0
2018-08-01,2060,2060,2045,2055,23675,11323.0,5510000.0
2018-08-02,2045,2060,2040,2055,22366,11323.0,5510000.0
2018-08-03,2055,2075,2045,2075,9373,11433.0,5510000.0
2018-08-06,2090,2120,2090,2115,5193,11654.0,5510000.0
2018-08-07,2080,2130,2080,2125,28124,11709.0,5510000.0
2018-08-08,2135,2135,2080,2085,26666,11488.0,5510000.0
2018-08-09,2115,2210,2100,2150,138522,11846.0,5510000.0
2018-08-10,2155,2255,2155,2250,100910,12398.0,5510000.0
2018-08-13,2275,2275,2230,2240,23065,12342.0,5510000.0
2018-08-14,2255,2255,2200,2225,19369,12260.0,5510000.0
2018-08-16,2200,2255,2200,2250,53528,12398.0,5510000.0
2018-08-17,2265,2265,2240,2240,28462,12342.0,5510000.0
2018-08-20,2205,2290,2205,2240,60993,12342.0,5510000.0
2018-08-21,2285,2290,2245,2280,16010,12563.0,5510000.0
2018-08-22,2290,2290,2215,2245,46254,12370.0,5510000.0
2018-08-23,2245,2290,2240,2240,45118,12342.0,5510000.0
2018-08-24,2240,2290,2235,2235,73875,12315.0,5510000.0
2018-08-27,2235,2280,2195,2195,98910,12094.0,5510000.0
2018-08-28,2270,2340,2165,2245,109973,12370.0,5510000.0
2018-08-29,2245,2245,2245,2245,0,12370.0,5510000.0
2018-08-30,0,0,0,2245,0,,
2018-08-31,0,0,0,2245,0,,
2018-09-03,0,0,0,2245,0,,
2018-09-04,0,0,0,2245,0,,
2018-09-05,0,0,0,2245,0,,
2018-09-06,0,0,0,2245,0,,
2018-09-07,0,0,0,2245,0,,
2018-09-10,0,0,0,2245,0,,
2018-09-11,0,0,0,2245,0,,
2018-09-12,0,0,0,2245,0,,
2018-09-13,0,0,0,2245,0,,
2018-09-14,0,0,0,2245,0,,
2018-09-17,0,0,0,2245,0,,
2018-09-18,0,0,0,2245,0,,
2018-09-19,0,0,0,2245,0,,
2018-09-20,0,0,0,2245,0,,
2018-09-21,0,0,0,2245,0,,
2018-09-27,0,0,0,2245,0,,
2018-09-28,0,0,0,2245,0,,
2018-10-01,0,0,0,2245,0,,
2018-10-02,0,0,0,2245,0,,
2018-10-04,0,0,0,2245,0,,
2018-10-05,0,0,0,2245,0,,
2018-10-08,0,0,0,2245,0,,
2018-10-10,0,0,0,2245,0,,
2018-10-11,0,0,0,2245,0,,
2018-10-12,0,0,0,2245,0,,
2018-10-15,0,0,0,2245,0,,
2018-10-16,0,0,0,2245,0,,
2018-10-17,0,0,0,2245,0,,
2018-10-18,0,0,0,2245,0,,
2018-10-19,0,0,0,2245,0,,
2018-10-22,0,0,0,2245,0,,
2018-10-23,0,0,0,2245,0,,
2018-10-24,0,0,0,2245,0,,
2018-10-25,0,0,0,2245,0,,
2018-10-26,0,0,0,2245,0,,
2018-10-29,0,0,0,2245,0,,
2018-10-30,0,0,0,2245,0,,
2018-10-31,0,0,0,2245,0,,
2018-11-01,0,0,0,2245,0,,
2018-11-02,2245,2290,2110,2205,605963,12150.0,5510000.0
2018-11-05,2200,2230,2050,2065,214032,11378.0,5510000.0
2018-11-06,2060,2180,2045,2060,180992,11351.0,5510000.0
2018-11-07,2070,2150,2070,2100,46292,11571.0,5510000.0
2018-11-08,2145,2155,2080,2150,51577,11846.0,5510000.0
2018-11-09,2095,2300,2085,2180,131907,12012.0,5510000.0
2018-11-12,2190,2270,2185,2235,60301,12315.0,5510000.0
2018-11-13,2230,2230,2170,2230,75255,12287.0,5510000.0
2018-11-14,2230,2230,2140,2155,27328,11874.0,5510000.0
2018-11-15,2145,2190,2110,2125,48233,11709.0,5510000.0
2018-11-16,2140,2175,2100,2110,84100,11626.0,5510000.0
2018-11-19,2195,2195,2065,2080,70741,11461.0,5510000.0
2018-11-20,2065,2100,2065,2100,38133,11571.0,5510000.0
2018-11-21,2080,2120,2080,2115,22590,11654.0,5510000.0
2018-11-22,2070,2120,2070,2080,69068,11461.0,5510000.0
2018-11-23,2055,2105,2055,2085,24832,11488.0,5510000.0
2018-11-26,2075,2125,2075,2095,14127,11543.0,5510000.0
2018-11-27,2075,2125,2075,2100,3383,11571.0,5510000.0
2018-11-28,2105,2105,2075,2080,23676,11461.0,5510000.0
2018-11-29,2080,2115,2070,2100,26579,11571.0,5510000.0
2018-11-30,2075,2100,2050,2070,21574,11406.0,5510000.0
2018-12-03,2090,2090,2035,2065,45097,11378.0,5510000.0
2018-12-04,2050,2090,2045,2070,10179,11406.0,5510000.0
2018-12-05,2050,2050,1960,1960,63652,10800.0,5510000.0
2018-12-06,2025,2025,1940,1965,41199,10827.0,5510000.0
2018-12-07,1995,2040,1930,2040,37410,11240.0,5510000.0
2018-12-10,2015,2065,2000,2045,20033,11268.0,5510000.0
2018-12-11,2045,2045,1980,2010,12786,11075.0,5510000.0
2018-12-12,2035,2040,1970,1975,56526,10882.0,5510000.0
2018-12-13,1995,1995,1900,1905,79585,10497.0,5510000.0
2018-12-14,1905,1995,1835,1905,177550,10497.0,5510000.0
2018-12-17,1965,1965,1735,1735,98199,9560.0,5510000.0
2018-12-18,1695,1800,1690,1740,15885,9587.0,5510000.0
2018-12-19,1785,1785,1655,1700,25000,9367.0,5510000.0
2018-12-20,1705,1820,1660,1700,10708,9367.0,5510000.0
2018-12-21,1765,1890,1695,1820,16467,10028.0,5510000.0
2018-12-24,1875,1875,1795,1825,13010,10056.0,5510000.0
2018-12-26,1800,1845,1730,1825,6430,10056.0,5510000.0
2018-12-27,1890,1890,1760,1805,27468,9946.0,5510000.0
2018-12-28,1815,1815,1770,1770,9047,9753.0,5510000.0
2019-01-02,1720,1795,1695,1720,10951,9477.0,5510000.0
2019-01-03,1670,1785,1670,1700,16974,9367.0,5510000.0
2019-01-04,1735,1735,1685,1735,2310,9560.0,5510000.0
2019-01-07,1740,1780,1740,1775,3890,9780.0,5510000.0
2019-01-08,1775,1810,1735,1810,15498,9973.0,5510000.0
2019-01-09,1780,1810,1780,1805,10640,9946.0,5510000.0
2019-01-10,1805,1820,1775,1810,6521,9973.0,5510000.0
2019-01-11,1835,1835,1765,1820,19193,10028.0,5510000.0
2019-01-14,1820,1845,1770,1815,12698,10001.0,5510000.0
2019-01-15,1815,1890,1810,1890,13736,10414.0,5510000.0
2019-01-16,1890,1945,1800,1920,36652,10579.0,5510000.0
2019-01-17,1945,1945,1910,1915,993,10552.0,5510000.0
2019-01-18,1875,1910,1815,1870,36187,10304.0,5510000.0
2019-01-21,1875,1910,1835,1910,10267,10524.0,5510000.0
2019-01-22,1910,1910,1890,1905,2746,10497.0,5510000.0
2019-01-23,1910,1910,1870,1905,4308,10497.0,5510000.0
2019-01-24,1900,1990,1900,1975,138623,10882.0,5510000.0
2019-01-25,1980,2315,1955,2030,329181,11185.0,5510000.0
2019-01-28,2030,2055,1980,2055,40691,11323.0,5510000.0
2019-01-29,2060,2060,2040,2040,13627,11240.0,5510000.0
2019-01-30,1975,2080,1975,2065,105211,11378.0,5510000.0
2019-01-31,2070,2185,1950,1995,181892,66117.0,33141514.0
2019-02-01,1930,2040,1860,1870,170760,61975.0,33141514.0
2019-02-07,1825,1870,1750,1785,109189,59158.0,33141514.0
2019-02-08,1825,1910,1785,1800,38652,59655.0,33141514.0
2019-02-11,1830,1870,1790,1810,36856,59986.0,33141514.0
2019-02-12,1800,1810,1700,1740,922551,57666.0,33141514.0
2019-02-13,1720,1755,1710,1735,132474,57501.0,33141514.0
2019-02-14,1735,1780,1710,1740,189304,57666.0,33141514.0
2019-02-15,1730,1750,1710,1745,95668,57832.0,33141514.0
2019-02-18,1755,1755,1700,1735,152710,57501.0,33141514.0
2019-02-19,1700,1730,1665,1675,351519,60143.0,35906480.0
2019-02-20,1680,1735,1675,1700,287823,61041.0,35906480.0
2019-02-21,1720,1735,1670,1735,202510,62298.0,35906480.0
2019-02-22,1735,1740,1700,1720,135247,61759.0,35906480.0
2019-02-25,1725,1725,1700,1720,95934,61759.0,35906480.0
2019-02-26,1725,1725,1660,1675,311114,60143.0,35906480.0
2019-02-27,1680,1720,1675,1690,93583,60682.0,35906480.0
2019-02-28,1700,1715,1675,1685,136129,60502.0,35906480.0
2019-03-04,1710,1790,1690,1725,292369,61939.0,35906480.0
2019-03-05,1730,1730,1685,1720,195297,61759.0,35906480.0
2019-03-06,1720,1720,1660,1670,177476,59964.0,35906480.0
2019-03-07,1660,1690,1620,1640,266250,58887.0,35906480.0
2019-03-08,1610,1635,1555,1600,235110,57450.0,35906480.0
2019-03-11,1670,1870,1630,1650,2128120,59246.0,35906480.0
2019-03-12,1650,1750,1620,1695,629422,60861.0,35906480.0
2019-03-13,1705,1710,1635,1635,289978,58707.0,35906480.0
2019-03-14,1635,1700,1635,1690,183928,60682.0,35906480.0
2019-03-15,1685,1750,1675,1710,322451,61400.0,35906480.0
2019-03-18,1700,1730,1690,1720,113502,61759.0,35906480.0
2019-03-19,1730,1735,1700,1720,118523,61759.0,35906480.0
2019-03-20,1720,1770,1700,1760,285614,63195.0,35906480.0
2019-03-21,1800,1850,1710,1720,500438,61759.0,35906480.0
2019-03-22,1725,1750,1680,1685,139221,60502.0,35906480.0
2019-03-25,1660,1730,1660,1680,114863,60323.0,35906480.0
2019-03-26,1690,1705,1650,1705,37930,61221.0,35906480.0
2019-03-27,1680,1740,1670,1680,122517,60323.0,35906480.0
2019-03-28,1695,1710,1675,1685,83220,60502.0,35906480.0
2019-03-29,1695,1695,1635,1665,99985,59784.0,35906480.0
2019-04-01,1670,1670,1640,1670,31751,59964.0,35906480.0
2019-04-02,1675,1710,1655,1710,83376,61400.0,35906480.0
2019-04-03,1710,1730,1690,1725,43258,61939.0,35906480.0
2019-04-04,1725,1730,1690,1720,107862,61759.0,35906480.0
2019-04-05,1720,1830,1700,1785,548407,64093.0,35906480.0
2019-04-08,1820,1885,1765,1780,390309,63914.0,35906480.0
2019-04-09,1790,1800,1725,1755,244713,63016.0,35906480.0
2019-04-10,1745,1785,1735,1785,74970,64093.0,35906480.0
2019-04-11,1785,1795,1745,1775,86910,63734.0,35906480.0
2019-04-12,1795,1795,1740,1785,136673,64093.0,35906480.0
2019-04-15,1810,1810,1750,1770,68321,63554.0,35906480.0
2019-04-16,1795,1795,1745,1775,127614,63734.0,35906480.0
2019-04-17,1770,1840,1770,1810,355027,64991.0,35906480.0
2019-04-18,1820,1865,1790,1850,398029,66427.0,35906480.0
2019-04-19,1870,1880,1810,1845,227433,66247.0,35906480.0
2019-04-22,1845,1855,1825,1835,104731,65888.0,35906480.0
2019-04-23,1835,1850,1805,1835,88162,65888.0,35906480.0
2019-04-24,1840,1850,1790,1815,96281,65170.0,35906480.0
2019-04-25,1815,2220,1790,2025,15312749,72711.0,35906480.0
2019-04-26,1990,2035,1880,1935,1653028,69479.0,35906480.0
2019-04-29,1945,2300,1940,2055,11657093,73788.0,35906480.0
2019-04-30,2055,2115,1990,2115,2176840,75942.0,35906480.0
2019-05-02,2100,2175,2050,2050,1955290,73608.0,35906480.0
2019-05-03,2045,2050,1970,2000,789833,71813.0,35906480.0
2019-05-07,1960,2000,1945,1995,449532,71633.0,35906480.0
2019-05-08,1965,2020,1945,1980,443500,71095.0,35906480.0
2019-05-09,1970,2000,1845,1900,608729,68222.0,35906480.0
2019-05-10,1855,1930,1790,1815,574064,65170.0,35906480.0
2019-05-13,1815,1825,1780,1795,250609,64452.0,35906480.0
2019-05-14,1740,1815,1705,1770,439080,63554.0,35906480.0
2019-05-15,1800,1820,1675,1710,953780,61400.0,35906480.0
2019-05-16,1720,1725,1640,1660,481494,59605.0,35906480.0
2019-05-17,1675,1690,1605,1615,394485,57989.0,35906480.0
2019-05-20,1610,1650,1555,1570,502657,56373.0,35906480.0
2019-05-21,1565,1605,1550,1580,333236,56732.0,35906480.0
2019-05-22,1650,1660,1575,1625,675232,58348.0,35906480.0
2019-05-23,1625,1630,1560,1570,259892,56373.0,35906480.0
2019-05-24,1540,1565,1465,1500,392295,53860.0,35906480.0
2019-05-27,1510,1515,1470,1515,241002,54398.0,35906480.0
2019-05-28,1545,1680,1515,1590,1109055,57091.0,35906480.0
2019-05-29,1580,1600,1530,1595,122549,57271.0,35906480.0
2019-05-30,1605,1615,1560,1595,152271,57271.0,35906480.0
2019-05-31,1575,1600,1550,1580,79832,56732.0,35906480.0
2019-06-03,1595,1600,1540,1575,96873,56553.0,35906480.0
2019-06-04,1590,1595,1530,1550,77912,55655.0,35906480.0
2019-06-05,1550,1580,1545,1560,97593,56014.0,35906480.0
2019-06-07,1555,1575,1535,1560,143213,56014.0,35906480.0
2019-06-10,1565,1600,1555,1590,163189,57091.0,35906480.0
2019-06-11,1595,1630,1590,1625,173901,58348.0,35906480.0
2019-06-12,1635,1645,1600,1640,125095,58887.0,35906480.0
2019-06-13,1635,1690,1605,1680,233625,60323.0,35906480.0
2019-06-14,1690,1690,1610,1640,169997,58887.0,35906480.0
2019-06-17,1660,1660,1600,1640,95602,58887.0,35906480.0
2019-06-18,1655,1700,1605,1640,256923,58887.0,35906480.0
2019-06-19,1655,1660,1610,1630,125804,58528.0,35906480.0
2019-06-20,1640,1645,1605,1610,120958,57809.0,35906480.0
2019-06-21,1605,1650,1605,1610,66054,57809.0,35906480.0
2019-06-24,1610,1625,1570,1605,72886,57859.0,36049183.0
2019-06-25,1610,1625,1560,1570,100540,56597.0,36049183.0
2019-06-26,1555,1585,1540,1545,85534,55696.0,36049183.0
2019-06-27,1575,1575,1505,1520,137865,54795.0,36049183.0
2019-06-28,1520,1540,1490,1505,123033,54254.0,36049183.0
2019-07-01,1545,1545,1495,1520,74644,54795.0,36049183.0
2019-07-02,1510,1570,1510,1555,107346,56056.0,36049183.0
2019-07-03,1555,1600,1540,1600,113227,57679.0,36049183.0
2019-07-04,1640,1665,1550,1585,257591,57138.0,36049183.0
2019-07-05,1595,1625,1570,1600,54115,57679.0,36049183.0
2019-07-08,1600,1620,1485,1515,147024,54615.0,36049183.0
2019-07-09,1495,1550,1495,1515,111468,54615.0,36049183.0
2019-07-10,1515,1560,1510,1545,102916,55696.0,36049183.0
2019-07-11,1540,1590,1535,1545,72952,55696.0,36049183.0
2019-07-12,1525,1565,1525,1550,74949,55876.0,36049183.0
2019-07-15,1570,1650,1550,1575,252225,56777.0,36049183.0
2019-07-16,1585,1585,1515,1540,75672,55516.0,36049183.0
2019-07-17,1530,1565,1510,1555,73716,56056.0,36049183.0
2019-07-18,1585,1610,1535,1605,193616,57859.0,36049183.0
2019-07-19,1595,1620,1575,1600,81924,57679.0,36049183.0
2019-07-22,1615,1620,1590,1600,88772,57679.0,36049183.0
2019-07-23,1605,1615,1580,1595,148763,57498.0,36049183.0
2019-07-24,1595,1660,1565,1620,334970,58400.0,36049183.0
2019-07-25,1600,1630,1570,1595,71502,57498.0,36049183.0
2019-07-26,1580,1620,1475,1550,182121,55876.0,36049183.0
2019-07-29,1510,1565,1415,1445,200338,52091.0,36049183.0
2019-07-30,1405,1500,1390,1435,265109,51731.0,36049183.0
2019-07-31,1405,1480,1370,1425,105790,51370.0,36049183.0
2019-08-01,1420,1525,1395,1445,277138,52091.0,36049183.0
2019-08-02,1450,1450,1365,1415,106096,51010.0,36049183.0
2019-08-05,1415,1495,1195,1200,425237,43259.0,36049183.0
2019-08-06,1185,1230,1115,1175,242342,42358.0,36049183.0
2019-08-07,1175,1230,1175,1220,104858,43980.0,36049183.0
2019-08-08,1270,1395,1245,1370,510840,49387.0,36049183.0
2019-08-09,1370,1390,1300,1365,124282,49207.0,36049183.0
2019-08-12,1360,1390,1320,1325,56110,47765.0,36049183.0
2019-08-13,1325,1350,1295,1340,28987,48306.0,36049183.0
2019-08-14,1400,1400,1310,1365,86897,49207.0,36049183.0
2019-08-16,1355,1355,1265,1310,166190,47224.0,36049183.0
2019-08-19,1340,1340,1285,1315,88408,48444.0,36839183.0
2019-08-20,1315,1540,1300,1360,2189856,50101.0,36839183.0
2019-08-21,1370,1415,1355,1400,524481,51575.0,36839183.0
2019-08-22,1400,1400,1365,1365,257964,50285.0,36839183.0
2019-08-23,1385,1575,1360,1370,2988266,50470.0,36839183.0
2019-08-26,1305,1345,1260,1270,501262,46786.0,36839183.0
2019-08-27,1285,1330,1270,1280,148006,47154.0,36839183.0
2019-08-28,1270,1330,1260,1330,251941,48996.0,36839183.0
2019-08-29,1340,1340,1285,1310,104760,48259.0,36839183.0
2019-08-30,1310,1370,1300,1360,164038,50101.0,36839183.0
2019-09-02,1360,1385,1335,1365,56722,50285.0,36839183.0
2019-09-03,1360,1375,1325,1345,120354,49549.0,36839183.0
2019-09-04,1340,1385,1315,1375,172113,50654.0,36839183.0
2019-09-05,1365,1385,1360,1370,76319,50470.0,36839183.0
2019-09-06,1400,1415,1330,1350,367422,49733.0,36839183.0
2019-09-09,1350,1360,1310,1330,107051,48996.0,36839183.0
2019-09-10,1330,1345,1305,1330,102690,48996.0,36839183.0
2019-09-11,1325,1350,1310,1345,156714,49549.0,36839183.0
2019-09-16,1340,1390,1335,1355,446919,49917.0,36839183.0
2019-09-17,1375,1390,1330,1390,381598,51206.0,36839183.0
2019-09-18,1400,1400,1370,1385,178467,51022.0,36839183.0
2019-09-19,1390,1420,1370,1410,182571,51943.0,36839183.0
2019-09-20,1415,1425,1375,1400,85364,51575.0,36839183.0
2019-09-23,1405,1405,1355,1375,91632,50654.0,36839183.0
2019-09-24,1370,1410,1370,1400,120667,51575.0,36839183.0
2019-09-25,1390,1405,1330,1330,138609,48996.0,36839183.0
2019-09-26,1365,1370,1315,1360,115098,50101.0,36839183.0
2019-09-27,1360,1360,1280,1285,252325,47338.0,36839183.0
2019-09-30,1285,1310,1270,1290,111615,47523.0,36839183.0
2019-10-01,1290,1350,1290,1340,139308,49365.0,36839183.0
2019-10-02,1315,1345,1300,1325,84798,48812.0,36839183.0
2019-10-04,1320,1340,1290,1305,145608,48075.0,36839183.0
2019-10-07,1335,1340,1290,1310,55612,48259.0,36839183.0
