이에스에이(052190),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-05-06,7529,7529,7171,7219,25497,36240.0,6000000.0
2002-05-07,7063,7194,6991,7135,33921,35820.0,6000000.0
2002-05-08,7290,7290,7159,7243,38266,36360.0,6000000.0
2002-05-09,8103,8103,7756,7781,246117,39060.0,6000000.0
2002-05-10,7768,7768,7290,7398,61663,37140.0,6000000.0
2002-05-13,7003,7398,7003,7171,41720,36000.0,6000000.0
2002-05-14,7171,7398,7111,7171,50883,36000.0,6000000.0
2002-05-15,7433,7433,7123,7195,49678,36120.0,6000000.0
2002-05-16,7194,7517,7123,7195,92964,36120.0,6000000.0
2002-05-17,7230,7302,7194,7291,55060,36600.0,6000000.0
2002-05-20,7182,7529,7147,7267,77031,36480.0,6000000.0
2002-05-21,7182,7230,7039,7171,53942,36000.0,6000000.0
2002-05-22,6955,7171,6955,7028,23581,35280.0,6000000.0
2002-05-23,6991,7159,6573,6597,79187,33120.0,6000000.0
2002-05-24,6525,6896,6525,6633,33924,33300.0,6000000.0
2002-05-27,6489,6573,6238,6275,55984,31500.0,6000000.0
2002-05-28,5999,6190,5880,5964,84220,29940.0,6000000.0
2002-05-29,5844,6071,5808,5809,31356,29160.0,6000000.0
2002-05-30,5808,5928,5772,5785,27486,29040.0,6000000.0
2002-05-31,5688,5951,5688,5785,43641,29040.0,6000000.0
2002-06-03,5593,5963,5581,5737,27583,28800.0,6000000.0
2002-06-04,5581,5856,5581,5665,29840,28440.0,6000000.0
2002-06-05,5772,5916,5748,5856,32983,29400.0,6000000.0
2002-06-07,5856,5856,5617,5737,24768,28800.0,6000000.0
2002-06-10,5497,5880,5497,5820,35145,29220.0,6000000.0
2002-06-11,5700,5916,5700,5832,14990,29280.0,6000000.0
2002-06-12,5677,5916,5677,5832,17216,29280.0,6000000.0
2002-06-14,5856,6131,5856,6036,25551,30300.0,6000000.0
2002-06-17,6095,6453,6095,6394,38355,32100.0,6000000.0
2002-06-18,6453,6752,6286,6406,31043,32160.0,6000000.0
2002-06-19,6513,6561,5760,5761,16879,28920.0,6000000.0
2002-06-20,5509,6035,5509,5785,26271,29040.0,6000000.0
2002-06-21,5665,5892,5641,5856,13848,29400.0,6000000.0
2002-06-24,5557,5844,5438,5510,24030,27660.0,6000000.0
2002-06-25,5473,5975,5461,5522,21210,27720.0,6000000.0
2002-06-26,5318,5557,4864,4864,19245,24420.0,6000000.0
2002-06-27,4900,5127,4756,4936,49482,24780.0,6000000.0
2002-06-28,4852,5378,4852,5127,31527,25740.0,6000000.0
2002-07-02,4971,5318,4768,5115,38784,25680.0,6000000.0
2002-07-03,5724,5724,5330,5725,79376,28740.0,6000000.0
2002-07-04,5856,6298,5688,5832,122955,29280.0,6000000.0
2002-07-05,5975,6155,5617,5832,122621,29280.0,6000000.0
2002-07-08,5916,6083,5784,5856,40546,29400.0,6000000.0
2002-07-09,5736,5975,5677,5785,42372,29040.0,6000000.0
2002-07-10,5748,5928,5688,5749,21901,28860.0,6000000.0
2002-07-11,5712,5712,5378,5450,37820,27360.0,6000000.0
2002-07-12,5509,5545,5414,5450,29813,27360.0,6000000.0
2002-07-15,5473,5641,5258,5259,33555,26400.0,6000000.0
2002-07-16,5258,5378,5043,5044,21723,25320.0,6000000.0
2002-07-18,5139,5258,5103,5139,12720,25800.0,6000000.0
2002-07-19,4924,5139,4780,4900,42430,24600.0,6000000.0
2002-07-22,4434,4661,4422,4458,28965,22380.0,6000000.0
2002-07-23,4183,4828,4183,4685,14304,23520.0,6000000.0
2002-07-24,4685,4685,4410,4434,19866,22260.0,6000000.0
2002-07-25,4541,4756,4541,4542,15890,22800.0,6000000.0
2002-07-26,4422,4708,4183,4362,13073,21900.0,6000000.0
2002-07-29,4326,4601,4326,4494,8132,22560.0,6000000.0
2002-07-30,4541,4685,4541,4661,21852,23400.0,6000000.0
2002-07-31,4780,4780,4398,4637,42513,23280.0,6000000.0
2002-08-01,4685,4685,4505,4530,9523,22740.0,6000000.0
2002-08-02,4410,4661,4410,4530,11718,22740.0,6000000.0
2002-08-05,4350,4505,4171,4506,21318,22620.0,6000000.0
2002-08-06,4302,4410,4242,4350,5444,21840.0,6000000.0
2002-08-07,4481,4864,4422,4649,30817,23340.0,6000000.0
2002-08-08,4673,4780,4601,4661,4130,23400.0,6000000.0
2002-08-09,4697,5115,4601,4745,34475,23820.0,6000000.0
2002-08-12,4673,4995,4673,4781,19246,24000.0,6000000.0
2002-08-13,4864,4947,4792,4828,20938,24240.0,6000000.0
2002-08-14,4888,5019,4780,4817,24932,24180.0,6000000.0
2002-08-16,4840,4900,4756,4817,25124,24180.0,6000000.0
2002-08-19,4816,4840,4732,4769,6887,23940.0,6000000.0
2002-08-20,4959,4959,4756,4840,30119,24300.0,6000000.0
2002-08-21,4804,4912,4697,4781,5770,24000.0,6000000.0
2002-08-22,4840,5043,4780,4876,46143,24480.0,6000000.0
2002-08-23,4900,4995,4804,4948,7510,24840.0,6000000.0
2002-08-26,4947,5067,4792,4817,19901,24180.0,6000000.0
2002-08-27,4816,4900,4744,4900,14497,24600.0,6000000.0
2002-08-28,5043,5175,4924,4984,58793,25020.0,6000000.0
2002-08-29,4912,5079,4804,4984,13019,25020.0,6000000.0
2002-08-30,5091,5198,4900,5079,30968,25500.0,6000000.0
2002-09-02,4995,5198,4912,4984,10722,25020.0,6000000.0
2002-09-03,5019,5127,4900,4996,22339,25080.0,6000000.0
2002-09-04,4900,4936,4780,4817,12897,24180.0,6000000.0
2002-09-05,4900,4971,4816,4828,16877,24240.0,6000000.0
2002-09-06,4852,4852,4541,4781,21925,24000.0,6000000.0
2002-09-09,4780,4780,4410,4458,18407,22380.0,6000000.0
2002-09-10,4493,4601,4326,4506,5428,22620.0,6000000.0
2002-09-11,4338,4601,4338,4518,10865,22680.0,6000000.0
2002-09-12,4601,4601,4410,4530,1276,22740.0,6000000.0
2002-09-13,4541,4553,4410,4542,9922,22800.0,6000000.0
2002-09-16,4541,4553,4422,4542,6103,22800.0,6000000.0
2002-09-17,4553,4780,4493,4625,31974,23220.0,6000000.0
2002-09-18,4541,4732,4326,4542,12325,22800.0,6000000.0
2002-09-19,4541,4541,4374,4518,18648,22680.0,6000000.0
2002-09-23,4422,4541,4410,4434,14268,22260.0,6000000.0
2002-09-24,4434,4493,4195,4303,15877,21600.0,6000000.0
2002-09-25,4242,4338,3824,4076,22803,20460.0,6000000.0
2002-09-26,4171,4266,3991,4099,2324,20580.0,6000000.0
2002-09-27,3836,4087,3824,3944,13835,19800.0,6000000.0
2002-09-30,3513,3920,3477,3586,30429,18000.0,6000000.0
2002-10-01,3537,3920,3537,3753,26823,18840.0,6000000.0
2002-10-02,3728,4063,3728,3896,17762,19560.0,6000000.0
2002-10-04,4063,4063,3824,3920,6437,19680.0,6000000.0
2002-10-07,3824,4183,3585,3992,27567,20040.0,6000000.0
2002-10-08,3860,4469,3824,4028,73073,20220.0,6000000.0
2002-10-09,4290,4290,4015,4123,15293,20700.0,6000000.0
2002-10-10,3944,4183,3932,4064,15562,20400.0,6000000.0
2002-10-11,4063,4266,3967,4111,12563,20640.0,6000000.0
2002-10-14,4123,4302,4123,4207,13625,21120.0,6000000.0
2002-10-15,4338,4481,4338,4482,11234,22500.0,6000000.0
2002-10-16,4768,4768,4410,4542,12657,22800.0,6000000.0
2002-10-17,4541,4780,4410,4577,32000,22980.0,6000000.0
2002-10-18,4697,4756,4589,4673,20117,23460.0,6000000.0
2002-10-21,4673,4697,4553,4661,12971,23400.0,6000000.0
2002-10-22,4673,4816,4541,4625,21410,23220.0,6000000.0
2002-10-23,4661,4780,4541,4733,20024,23760.0,6000000.0
2002-10-24,4828,4828,4637,4769,24776,23940.0,6000000.0
2002-10-25,4959,5282,4959,5199,43725,26100.0,6000000.0
2002-10-28,5617,5617,4959,5068,14819,25440.0,6000000.0
2002-10-29,5198,5210,4959,5068,26172,25440.0,6000000.0
2002-10-30,5067,5067,4900,4972,12950,24960.0,6000000.0
2002-10-31,4971,5210,4780,5044,18128,25320.0,6000000.0
2002-11-01,5043,5043,4840,4972,10524,24960.0,6000000.0
2002-11-04,4971,5019,4912,4996,11222,25080.0,6000000.0
2002-11-05,4995,5103,4959,5008,13342,25140.0,6000000.0
2002-11-06,5043,5043,4864,4996,12967,25080.0,6000000.0
2002-11-07,5019,5175,4900,5044,15443,25320.0,6000000.0
2002-11-08,4983,5139,4959,5020,2266,25200.0,6000000.0
2002-11-11,5019,5151,4936,4996,8629,25080.0,6000000.0
2002-11-12,4983,4983,4840,4852,15496,24360.0,6000000.0
2002-11-13,4864,4947,4780,4781,16228,24000.0,6000000.0
2002-11-14,4780,4888,4768,4769,14002,23940.0,6000000.0
2002-11-15,4780,4995,4780,4876,16891,24480.0,6000000.0
2002-11-18,4888,4888,4685,4876,13467,24480.0,6000000.0
2002-11-19,4876,4876,4661,4876,12747,24480.0,6000000.0
2002-11-20,4840,4876,4697,4876,8459,24480.0,6000000.0
2002-11-21,4804,4924,4780,4900,9088,24600.0,6000000.0
2002-11-22,4912,4924,4780,4781,9677,24000.0,6000000.0
2002-11-25,4780,4840,4720,4781,6835,24000.0,6000000.0
2002-11-26,4780,4900,4744,4876,19942,24480.0,6000000.0
2002-11-27,4876,4876,4780,4876,21878,24480.0,6000000.0
2002-11-28,4876,5330,4876,5056,18269,25380.0,6000000.0
2002-11-29,5055,5163,4959,5103,15378,25620.0,6000000.0
2002-12-02,5103,5414,5103,5378,18306,27000.0,6000000.0
2002-12-03,5605,5724,5402,5713,16935,28680.0,6000000.0
2002-12-04,5700,5736,5449,5713,16619,28680.0,6000000.0
2002-12-05,5712,5796,5653,5749,15234,28860.0,6000000.0
2002-12-06,5748,6406,5748,6215,59009,31200.0,6000000.0
2002-12-09,6394,6573,6238,6394,39226,32100.0,6000000.0
2002-12-10,6394,6645,6179,6454,35037,32400.0,6000000.0
2002-12-11,6453,6884,6453,6681,71311,33540.0,6000000.0
2002-12-12,6680,6931,6441,6621,58708,33240.0,6000000.0
2002-12-13,6609,6609,6334,6502,36213,32640.0,6000000.0
2002-12-16,6453,6453,6214,6215,37560,31200.0,6000000.0
2002-12-17,6310,6441,6214,6275,36785,31500.0,6000000.0
2002-12-18,6274,7027,6274,7028,68949,35280.0,6000000.0
2002-12-20,7768,7864,7171,7506,125381,37680.0,6000000.0
2002-12-23,7505,8402,7242,8402,239451,42180.0,6000000.0
2002-12-24,9035,9214,8461,8904,287144,44700.0,6000000.0
2002-12-26,8903,9035,7923,8020,149250,40260.0,6000000.0
2002-12-27,8019,8294,7302,7530,90610,37800.0,6000000.0
2002-12-30,7529,7756,6860,7649,143386,38400.0,6000000.0
2003-01-02,7768,8557,7768,8557,71887,42960.0,6000000.0
2003-01-03,9573,9573,9238,9573,146013,48060.0,6000000.0
2003-01-06,10027,10230,9322,9729,505491,48840.0,6000000.0
2003-01-07,9848,9860,8569,8569,278405,43020.0,6000000.0
2003-01-08,8569,9597,8569,9442,419517,47400.0,6000000.0
2003-01-09,9394,9501,8700,9502,272580,47700.0,6000000.0
2003-01-10,9812,9907,8366,8605,351989,43200.0,6000000.0
2003-01-13,8617,8892,8485,8844,197338,44400.0,6000000.0
2003-01-14,8963,9059,8270,8271,173101,41520.0,6000000.0
2003-01-15,8306,8653,7529,7530,173720,37800.0,6000000.0
2003-01-16,7290,7696,7063,7565,117429,37980.0,6000000.0
2003-01-17,7290,7589,7123,7350,107613,36900.0,6000000.0
2003-01-20,7015,7362,6955,7326,65720,36780.0,6000000.0
2003-01-21,7350,8007,7350,7649,139796,38400.0,6000000.0
2003-01-22,7445,7649,7123,7470,69358,37500.0,6000000.0
2003-01-23,7529,7625,7242,7422,76116,37260.0,6000000.0
2003-01-24,7421,7529,6645,6812,91171,34200.0,6000000.0
2003-01-27,6322,6513,6095,6107,106429,30660.0,6000000.0
2003-01-28,5987,6322,5987,6107,33236,30660.0,6000000.0
2003-01-29,6167,6262,5617,5701,53333,28620.0,6000000.0
2003-01-30,5748,6083,5617,6059,50679,30420.0,6000000.0
2003-02-03,6418,6740,6047,6478,120234,32520.0,6000000.0
2003-02-04,6465,6597,6262,6310,35794,31680.0,6000000.0
2003-02-05,6190,6418,6059,6167,42801,30960.0,6000000.0
2003-02-06,6167,6453,6131,6442,57634,32340.0,6000000.0
2003-02-07,6310,6453,5987,6358,54813,31920.0,6000000.0
2003-02-10,6226,7015,6226,6717,139358,33720.0,6000000.0
2003-02-11,6967,7027,6358,6729,159879,33780.0,6000000.0
2003-02-12,6943,7350,6513,7350,130345,36900.0,6000000.0
2003-02-13,7194,7756,6991,7350,214737,36900.0,6000000.0
2003-02-14,7302,7410,6812,7051,116811,35400.0,6000000.0
2003-02-17,7278,7469,7147,7470,142730,37500.0,6000000.0
2003-02-18,7445,7529,7063,7195,86988,36120.0,6000000.0
2003-02-19,7302,7410,6991,6992,80640,35100.0,6000000.0
2003-02-20,6931,7099,6848,6908,36799,34680.0,6000000.0
2003-02-21,6788,6931,6645,6693,63204,33600.0,6000000.0
2003-02-24,6621,6800,6609,6633,46180,33300.0,6000000.0
2003-02-25,6597,6680,6382,6442,51054,32340.0,6000000.0
2003-02-26,6370,6633,6334,6370,59150,31980.0,6000000.0
2003-02-27,6370,6370,6119,6215,19085,31200.0,6000000.0
2003-02-28,6286,6453,6250,6394,21995,32100.0,6000000.0
2003-03-03,5987,6298,5987,6167,39026,30960.0,6000000.0
2003-03-04,6059,6059,5712,5856,36383,29400.0,6000000.0
2003-03-05,5629,5808,5163,5259,86776,26400.0,6000000.0
2003-03-06,5139,5139,4708,4852,61354,24360.0,6000000.0
2003-03-07,4924,4924,4541,4781,27061,24000.0,6000000.0
