마이크로텍(227950),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-02-17,1927,1937,1922,1927,33393,15100.0,7550000.0
2016-02-18,1922,1937,1922,1937,14682,15176.0,7550000.0
2016-02-19,1937,1937,1932,1937,1641,15176.0,7550000.0
2016-02-22,1927,1937,1922,1927,32079,15100.0,7550000.0
2016-02-23,1932,1937,1927,1927,19298,15100.0,7550000.0
2016-02-24,1927,1937,1922,1927,12226,15100.0,7550000.0
2016-02-25,1927,1937,1927,1932,31785,15138.0,7550000.0
2016-02-26,1932,1941,1932,1937,13048,15176.0,7550000.0
2016-02-29,1922,1937,1922,1937,21283,15176.0,7550000.0
2016-03-02,1937,1941,1927,1942,31749,15213.0,7550000.0
2016-03-03,1927,1941,1927,1937,37391,15176.0,7550000.0
2016-03-04,1937,1937,1937,1937,6614,15176.0,7550000.0
2016-03-07,1937,1941,1932,1942,11500,15213.0,7550000.0
2016-03-08,1937,1937,1922,1927,35129,15100.0,7550000.0
2016-03-09,1927,1941,1927,1927,22760,15100.0,7550000.0
2016-03-10,1937,1937,1932,1937,14009,15176.0,7550000.0
2016-03-11,1937,1941,1927,1937,30758,15176.0,7550000.0
2016-03-14,1937,1941,1932,1937,64578,15176.0,7550000.0
2016-03-15,1937,1941,1932,1942,50837,15213.0,7550000.0
2016-03-16,1946,1975,1937,1956,245655,15326.0,7550000.0
2016-03-17,1975,2062,1956,1995,203615,15628.0,7550000.0
2016-03-18,1994,2023,1985,1995,72048,15628.0,7550000.0
2016-03-21,2043,2043,1975,1985,80544,15553.0,7550000.0
2016-03-22,1985,2043,1985,2014,91307,15780.0,7550000.0
2016-03-23,2023,2023,1994,2014,94228,15780.0,7550000.0
2016-03-24,2014,2014,1994,2014,46129,15780.0,7550000.0
2016-03-25,2014,2014,1985,1990,36512,15591.0,7550000.0
2016-03-28,2014,2043,2004,2024,118976,15855.0,7550000.0
2016-03-29,2067,2211,2062,2168,207251,16988.0,7550000.0
2016-03-30,2168,2168,2076,2120,57186,16610.0,7550000.0
2016-03-31,2120,2192,2081,2111,40617,16534.0,7550000.0
2016-04-01,2081,2120,2038,2096,60729,16421.0,7550000.0
2016-04-04,2100,2100,2019,2058,42052,16119.0,7550000.0
2016-04-05,2057,2091,2019,2019,46545,15817.0,7550000.0
2016-04-06,2014,2038,1917,1942,167356,15213.0,7550000.0
2016-04-07,1956,1975,1903,1947,56070,15251.0,7550000.0
2016-04-08,1975,2019,1927,1932,41698,15138.0,7550000.0
2016-04-11,1970,1975,1922,1956,75037,15326.0,7550000.0
2016-04-12,1956,1975,1922,1927,91872,15100.0,7550000.0
2016-04-14,1956,1966,1927,1961,61238,15364.0,7550000.0
2016-04-15,1951,2014,1941,1995,41320,15628.0,7550000.0
2016-04-18,2072,2182,2004,2005,39773,15704.0,7550000.0
2016-04-19,2004,2038,1999,2024,29927,15855.0,7550000.0
2016-04-20,2023,2134,2009,2062,49903,16157.0,7550000.0
2016-04-21,2081,2081,2019,2062,73223,16157.0,7550000.0
2016-04-22,2072,2072,2033,2048,34338,16044.0,7550000.0
2016-04-25,2052,2139,2052,2135,161660,16723.0,7550000.0
2016-04-26,2144,2361,2144,2217,302466,17365.0,7550000.0
2016-04-27,2202,2284,2168,2192,141400,17176.0,7550000.0
2016-04-28,2308,2308,2115,2144,104637,16799.0,7550000.0
2016-04-29,2100,2259,2100,2212,60429,17327.0,7550000.0
2016-05-02,2149,2284,2149,2284,67118,17894.0,7550000.0
2016-05-03,2312,2351,2197,2260,112756,17705.0,7550000.0
2016-05-04,2303,2303,2182,2250,73650,17629.0,7550000.0
2016-05-09,2173,2361,2091,2197,94241,17214.0,7550000.0
2016-05-10,2168,2182,2096,2120,81731,16610.0,7550000.0
2016-05-11,2100,2115,2038,2062,84362,16157.0,7550000.0
2016-05-12,2023,2047,1999,2043,53609,16006.0,7550000.0
2016-05-13,2072,2120,2019,2053,21073,16082.0,7550000.0
2016-05-16,1999,2115,1999,2115,38700,16572.0,7550000.0
2016-05-17,2110,2125,2067,2106,12164,16497.0,7550000.0
2016-05-18,2144,2144,2043,2082,30059,16308.0,7550000.0
2016-05-19,2072,2081,2028,2072,7298,16232.0,7550000.0
2016-05-20,2072,2091,2038,2091,22504,16384.0,7550000.0
2016-05-23,2033,2115,2033,2038,42839,15968.0,7550000.0
2016-05-24,2062,2062,1946,2009,61090,15742.0,7550000.0
2016-05-25,1990,2072,1990,2053,41659,16082.0,7550000.0
2016-05-26,2052,2072,1970,1971,29324,15440.0,7550000.0
2016-05-27,2081,2081,1917,1966,145995,15402.0,7550000.0
2016-05-30,1994,2019,1961,1985,50900,15553.0,7550000.0
2016-05-31,2019,2019,1975,2009,15588,15742.0,7550000.0
2016-06-01,2004,2009,1927,1966,36952,15402.0,7550000.0
2016-06-02,1990,2019,1879,1971,197494,15440.0,7550000.0
2016-06-03,1980,1999,1879,1952,127499,15289.0,7550000.0
2016-06-07,2467,2467,1966,2005,45003,15704.0,7550000.0
2016-06-08,2009,2023,1937,2000,27148,15666.0,7550000.0
2016-06-09,1999,2067,1975,1990,20703,15591.0,7550000.0
2016-06-10,0,0,0,1990,0,15591.0,7550000.0
2016-06-13,0,0,0,1990,0,,
2016-06-14,0,0,0,1990,0,,
2016-06-15,0,0,0,1990,0,,
2016-06-16,0,0,0,1990,0,,
2016-06-17,0,0,0,1990,0,,
2016-06-20,0,0,0,1990,0,,
2016-06-21,0,0,0,1990,0,,
2016-06-22,0,0,0,1990,0,,
2016-06-23,0,0,0,1990,0,,
2016-06-24,0,0,0,1990,0,,
2016-06-27,0,0,0,1990,0,,
2016-06-28,0,0,0,1990,0,,
2016-06-29,0,0,0,1990,0,,
2016-06-30,0,0,0,1990,0,,
2016-07-01,0,0,0,1990,0,,
2016-07-04,0,0,0,1990,0,,
2016-07-05,0,0,0,1990,0,,
2016-07-06,0,0,0,1990,0,,
2016-07-07,0,0,0,1990,0,,
2016-07-08,0,0,0,1990,0,,
2016-07-11,0,0,0,1990,0,,
2016-07-12,0,0,0,1990,0,,
2016-07-13,0,0,0,1990,0,,
2016-07-14,0,0,0,1990,0,,
2016-07-15,0,0,0,1990,0,,
2016-07-18,0,0,0,1990,0,,
2016-07-19,0,0,0,1990,0,,
2016-07-20,0,0,0,1990,0,,
2016-07-21,0,0,0,1990,0,,
2016-07-22,0,0,0,1990,0,,
2016-07-25,1990,2021,1974,2011,951450,14685.0,7550000.0
2016-07-26,2021,2031,2005,2016,218396,14722.0,7550000.0
2016-07-27,2021,2031,2005,2026,190447,14798.0,7550000.0
2016-07-28,2026,2031,2010,2011,160851,14685.0,7550000.0
2016-07-29,2010,2021,2005,2016,150743,14722.0,7550000.0
2016-08-01,2021,2021,2005,2016,129411,14722.0,7550000.0
2016-08-02,2015,2021,2005,2011,153054,14685.0,7550000.0
2016-08-03,2010,2015,2005,2016,86685,14722.0,7550000.0
2016-08-04,2015,2021,2010,2021,106941,14760.0,7550000.0
2016-08-05,2015,2021,2010,2016,43868,14722.0,7550000.0
2016-08-08,2015,2015,2010,2011,44532,14685.0,7550000.0
2016-08-09,2021,2021,2005,2011,62273,14685.0,7550000.0
2016-08-10,2005,2015,2005,2016,102715,14722.0,7550000.0
2016-08-11,2021,2031,2021,2026,80958,14798.0,7550000.0
2016-08-12,2031,2031,2021,2021,71477,14760.0,7550000.0
2016-08-16,2026,2031,2010,2021,104905,14760.0,7550000.0
2016-08-17,2015,2021,2010,2011,12978,14685.0,7550000.0
2016-08-18,2015,2015,2005,2011,73192,14685.0,7550000.0
2016-08-19,2010,2015,2005,2011,39146,14685.0,7550000.0
2016-08-22,2005,2010,2005,2006,29777,14647.0,7550000.0
2016-08-23,2005,2021,2005,2016,33168,14722.0,7550000.0
2016-08-24,2015,2021,2010,2011,38350,14685.0,7550000.0
2016-08-25,2015,2026,2010,2021,82874,14760.0,7550000.0
2016-08-26,2021,2031,2015,2026,73158,14798.0,7550000.0
2016-08-29,2031,2031,2010,2011,64569,14685.0,7550000.0
2016-08-30,2021,2031,2021,2026,43385,14798.0,7550000.0
2016-08-31,2031,2031,2015,2026,23130,14798.0,7550000.0
2016-09-01,2026,2031,2021,2026,91140,14798.0,7550000.0
2016-09-02,2031,2036,2026,2026,66031,14798.0,7550000.0
2016-09-05,2036,2036,2015,2026,35537,14798.0,7550000.0
2016-09-06,2026,2026,2021,2021,19921,14760.0,7550000.0
2016-09-07,2021,2021,2015,2016,18188,14722.0,7550000.0
2016-09-08,2015,2021,2015,2016,38695,14722.0,7550000.0
2016-09-09,2021,2031,2015,2021,163686,14760.0,7550000.0
2016-09-12,2026,2031,2021,2026,12903,14798.0,7550000.0
2016-09-13,2026,2031,2015,2026,25518,14798.0,7550000.0
2016-09-19,2026,2026,2015,2021,22127,14760.0,7550000.0
2016-09-20,2021,2026,2015,2021,31117,14760.0,7550000.0
2016-09-21,2021,2021,2015,2016,56960,14722.0,7550000.0
2016-09-22,2021,2021,2010,2021,90079,14760.0,7550000.0
2016-09-23,2021,2021,2010,2021,25793,14760.0,7550000.0
2016-09-26,2015,2015,2010,2016,17869,14722.0,7550000.0
2016-09-27,2010,2021,2010,2016,13189,14722.0,7550000.0
2016-09-28,2015,2015,2010,2016,7549,14722.0,7550000.0
2016-09-29,2010,2015,2005,2011,42989,14685.0,7550000.0
2016-09-30,2005,2015,2005,2016,29564,14722.0,7550000.0
2016-10-04,2010,2015,2010,2016,6302,14722.0,7550000.0
2016-10-05,2005,2015,2005,2016,10651,14722.0,7550000.0
2016-10-06,2015,2015,2010,2011,4102,14685.0,7550000.0
2016-10-07,2010,2015,2000,2000,60719,14609.0,7550000.0
2016-10-10,2005,2010,2000,2011,14835,14685.0,7550000.0
2016-10-11,2010,2010,2005,2011,5798,14685.0,7550000.0
2016-10-12,2010,2015,2005,2016,20621,14722.0,7550000.0
2016-10-13,2015,2015,2000,2011,39974,14685.0,7550000.0
2016-10-14,2005,2015,2005,2011,36803,14685.0,7550000.0
2016-10-17,2010,2010,2000,2011,50485,14685.0,7550000.0
2016-10-18,2005,2005,2000,2000,74146,14609.0,7550000.0
2016-10-19,2005,2005,2000,2006,7569,14647.0,7550000.0
2016-10-20,2005,2005,2000,2006,14994,14647.0,7550000.0
2016-10-21,2005,2010,2000,2006,4643,14647.0,7550000.0
2016-10-24,2010,2010,2000,2006,36943,14647.0,7550000.0
2016-10-25,2010,2010,2005,2006,18636,14647.0,7550000.0
2016-10-26,2005,2010,2005,2011,32728,14685.0,7550000.0
2016-10-27,2010,2015,2010,2011,10081,14685.0,7550000.0
2016-10-28,2010,2010,2005,2011,3249,14685.0,7550000.0
2016-10-31,2010,2010,1995,2011,18221,14685.0,7550000.0
2016-11-01,2005,2015,2005,2016,45254,14722.0,7550000.0
2016-11-02,2005,2010,2000,2011,3702,14685.0,7550000.0
2016-11-03,2005,2010,2000,2006,5355,14647.0,7550000.0
2016-11-04,2005,2010,2005,2006,11368,14647.0,7550000.0
2016-11-07,2005,2005,2000,2006,21650,14647.0,7550000.0
2016-11-08,2005,2010,1995,2011,84598,14685.0,7550000.0
2016-11-09,2005,2010,1995,2011,30286,14685.0,7550000.0
2016-11-10,2005,2005,2000,2006,1017,14647.0,7550000.0
2016-11-11,2000,2005,2000,2006,10567,14647.0,7550000.0
2016-11-14,2000,2010,2000,2006,44742,14647.0,7550000.0
2016-11-15,2000,2005,1990,2000,29387,14609.0,7550000.0
2016-11-16,2000,2005,2000,2006,760,14647.0,7550000.0
2016-11-17,2005,2010,2000,2011,25950,14685.0,7550000.0
2016-11-18,2010,2010,2005,2011,3806,14685.0,7550000.0
2016-11-21,2000,2010,2000,2011,31125,14685.0,7550000.0
2016-11-22,2010,2010,2000,2011,3183,14685.0,7550000.0
2016-11-23,2005,2010,2005,2011,7634,14685.0,7550000.0
2016-11-24,2000,2010,2000,2006,16804,14647.0,7550000.0
2016-11-25,2010,2010,2000,2011,12732,14685.0,7550000.0
2016-11-28,2000,2010,2000,2011,10202,14685.0,7550000.0
2016-11-29,2010,2010,2005,2011,687,14685.0,7550000.0
2016-11-30,2010,2010,2005,2011,6093,14685.0,7550000.0
2016-12-01,2010,2010,2000,2006,591,14647.0,7550000.0
2016-12-02,2005,2010,2000,2000,5525,14609.0,7550000.0
2016-12-05,2000,2005,2000,2006,5565,14647.0,7550000.0
2016-12-06,2005,2005,2000,2006,30123,14647.0,7550000.0
2016-12-07,2000,2005,2000,2006,9806,14647.0,7550000.0
2016-12-08,2005,2005,2000,2006,6600,14647.0,7550000.0
2016-12-09,2005,2010,2005,2011,1060,14685.0,7550000.0
2016-12-12,2010,2010,2010,2011,230,14685.0,7550000.0
2016-12-13,2005,2010,2005,2011,1592,14685.0,7550000.0
2016-12-14,2005,2010,2005,2011,3151,14685.0,7550000.0
2016-12-15,2005,2005,2005,2006,98,14647.0,7550000.0
2016-12-16,2010,2010,2010,2011,24509,14685.0,7550000.0
2016-12-19,2010,2010,2005,2006,40171,14647.0,7550000.0
2016-12-20,2005,2010,2000,2006,20872,14647.0,7550000.0
2016-12-21,2005,2010,2005,2011,1502,14685.0,7550000.0
2016-12-22,2005,2010,2005,2011,4112,14685.0,7550000.0
2016-12-23,2005,2010,2005,2011,4192,14685.0,7550000.0
2016-12-26,2005,2005,2000,2006,6968,14647.0,7550000.0
2016-12-27,2000,2005,2000,2000,6560,14609.0,7550000.0
2016-12-28,2005,2010,2000,2011,593,14685.0,7550000.0
2016-12-29,2000,2005,2000,2006,8137,14647.0,7550000.0
2017-01-02,2000,2010,2000,2011,3030,14685.0,7550000.0
2017-01-03,2000,2010,2000,2011,12683,14685.0,7550000.0
2017-01-04,2010,2010,2000,2006,34463,14647.0,7550000.0
2017-01-05,2000,2005,2000,2000,6426,14609.0,7550000.0
2017-01-06,2010,2010,2000,2011,14613,14685.0,7550000.0
2017-01-09,2010,2010,2000,2000,12655,14609.0,7550000.0
2017-01-10,2000,2005,2000,2000,8978,14609.0,7550000.0
2017-01-11,2000,2005,1995,2006,2354,14647.0,7550000.0
2017-01-12,2010,2010,2000,2006,6143,14647.0,7550000.0
2017-01-13,2005,2005,2000,2006,567,14647.0,7550000.0
2017-01-16,2000,2005,1995,2006,21906,14647.0,7550000.0
2017-01-17,2010,2010,2000,2006,11775,14647.0,7550000.0
2017-01-18,2000,2005,2000,2006,16881,14647.0,7550000.0
2017-01-19,2000,2005,2000,2006,401,14647.0,7550000.0
2017-01-20,2000,2010,2000,2006,8615,14647.0,7550000.0
2017-01-23,2005,2005,2000,2006,15913,14647.0,7550000.0
2017-01-24,2000,2005,1990,2000,59167,14609.0,7550000.0
2017-01-25,2005,2005,2000,2006,32389,14647.0,7550000.0
2017-01-26,2000,2010,1990,2006,26575,14647.0,7550000.0
2017-01-31,2000,2005,1995,2006,10720,14647.0,7550000.0
2017-02-01,2005,2005,1990,2000,5706,14609.0,7550000.0
2017-02-02,1990,2005,1990,2000,28401,14609.0,7550000.0
2017-02-03,2005,2005,1990,2006,4253,14647.0,7550000.0
2017-02-06,2000,2005,1990,1995,18891,14572.0,7550000.0
2017-02-07,1995,1995,1990,1995,4026,14572.0,7550000.0
2017-02-08,1990,1995,1990,1995,19804,14572.0,7550000.0
2017-02-09,1995,1995,1990,1990,5858,14534.0,7550000.0
2017-02-10,1990,1995,1984,1985,11419,14496.0,7550000.0
2017-02-13,1990,1995,1979,1995,13536,14572.0,7550000.0
2017-02-14,1984,1995,1984,1995,6866,14572.0,7550000.0
2017-02-15,1990,1995,1984,1990,4188,14534.0,7550000.0
2017-02-16,1990,1995,1984,1995,6316,14572.0,7550000.0
2017-02-17,1990,1995,1979,1995,37828,14572.0,7550000.0
2017-02-20,2000,2000,2000,2000,15000,14609.0,7550000.0
2017-02-21,1990,1995,1990,1990,1017,14534.0,7550000.0
2017-02-22,2000,2000,2000,2000,1,14609.0,7550000.0
2017-02-23,2000,2000,2000,2000,10,14609.0,7550000.0
2017-02-24,2000,2000,1984,1995,4543,14572.0,7550000.0
2017-02-27,1990,2005,1990,1995,41115,14572.0,7550000.0
2017-02-28,1990,2000,1990,1995,4045,14572.0,7550000.0
2017-03-02,2000,2005,1995,2000,4981,14609.0,7550000.0
2017-03-03,2005,2005,1990,2000,6836,14609.0,7550000.0
2017-03-06,2005,2010,1990,2000,15720,14609.0,7550000.0
2017-03-07,2000,2010,1995,2000,32056,14609.0,7550000.0
2017-03-08,2000,2000,1990,2000,26677,14609.0,7550000.0
2017-03-09,1995,2000,1995,1995,10277,14572.0,7550000.0
2017-03-10,2000,2005,1990,1995,17448,14572.0,7550000.0
2017-03-13,1990,2000,1974,1985,30618,14496.0,7550000.0
2017-03-14,1984,2000,1984,1995,12222,14572.0,7550000.0
2017-03-15,1995,2000,1984,1995,19221,14572.0,7550000.0
2017-03-16,2000,2000,1990,1995,5124,14572.0,7550000.0
2017-03-17,2000,2031,1995,2011,73282,14685.0,7550000.0
2017-03-20,2015,2093,2000,2037,231606,14874.0,7550000.0
2017-03-21,2036,2108,2021,2021,168870,14760.0,7550000.0
2017-03-22,2031,2031,2021,2021,22910,14760.0,7550000.0
2017-03-23,2021,2031,2015,2031,24036,14836.0,7550000.0
2017-03-24,2031,2036,2015,2026,13499,14798.0,7550000.0
2017-03-27,2015,2031,2015,2026,27340,14798.0,7550000.0
2017-03-28,2031,2031,2015,2031,5512,14836.0,7550000.0
2017-03-29,2031,2052,2015,2021,102842,14760.0,7550000.0
2017-03-30,2036,2041,2026,2031,13980,14836.0,7550000.0
2017-03-31,2041,2041,2015,2037,7979,14874.0,7550000.0
2017-04-03,2031,2036,2005,2016,37987,14722.0,7550000.0
2017-04-04,2015,2021,2010,2016,19459,14722.0,7550000.0
2017-04-05,2021,2026,2015,2021,9298,14760.0,7550000.0
2017-04-06,2026,2052,2021,2026,51933,14798.0,7550000.0
2017-04-07,2021,2031,2021,2031,10566,14836.0,7550000.0
2017-04-10,2021,2031,2015,2021,8834,14760.0,7550000.0
2017-04-11,2026,2026,2010,2021,37132,14760.0,7550000.0
2017-04-12,2021,2031,2015,2021,10049,14760.0,7550000.0
2017-04-13,2026,2031,2015,2026,6912,14798.0,7550000.0
2017-04-14,2031,2031,2015,2026,15548,14798.0,7550000.0
2017-04-17,2015,2031,2015,2031,3988,14836.0,7550000.0
2017-04-18,2031,2031,2015,2031,7724,14836.0,7550000.0
2017-04-19,2026,2036,2021,2037,32063,14874.0,7550000.0
2017-04-20,2036,2046,2015,2047,59768,14949.0,7550000.0
2017-04-21,2036,2046,2031,2042,12326,14911.0,7550000.0
2017-04-24,2026,2041,2015,2021,114785,14760.0,7550000.0
2017-04-25,2036,2036,2021,2031,16216,14836.0,7550000.0
2017-04-26,2031,2041,2026,2042,3183,14911.0,7550000.0
2017-04-27,2026,2046,2026,2047,9730,14949.0,7550000.0
2017-04-28,2031,2041,2026,2026,8180,14798.0,7550000.0
2017-05-02,2026,2036,2026,2037,1709,14874.0,7550000.0
2017-05-04,2031,2036,2031,2037,919,14874.0,7550000.0
2017-05-08,2031,2036,2031,2037,6715,14874.0,7550000.0
2017-05-10,2036,2041,2031,2042,4907,14911.0,7550000.0
2017-05-11,2031,2041,2026,2037,2133,14874.0,7550000.0
2017-05-12,2031,2036,2031,2031,3879,14836.0,7550000.0
2017-05-15,2041,2041,2031,2042,4241,14911.0,7550000.0
2017-05-16,2036,2041,2036,2042,16217,14911.0,7550000.0
2017-05-17,2041,2046,2031,2042,9666,14911.0,7550000.0
2017-05-18,2041,2041,2031,2042,9170,14911.0,7550000.0
2017-05-19,2041,2041,2031,2042,27431,14911.0,7550000.0
2017-05-22,2031,2041,2031,2042,2446,14911.0,7550000.0
2017-05-23,2031,2041,2031,2042,13837,14911.0,7550000.0
2017-05-24,2031,2041,2031,2037,6537,14874.0,7550000.0
2017-05-25,2036,2041,2031,2042,29831,14911.0,7550000.0
2017-05-26,2031,2036,2031,2037,6478,14874.0,7550000.0
2017-05-29,2041,2041,2031,2037,3856,14874.0,7550000.0
2017-05-30,2041,2041,2031,2037,484,14874.0,7550000.0
2017-05-31,2031,2036,2026,2026,10063,14798.0,7550000.0
2017-06-01,2036,2036,2026,2037,2625,14874.0,7550000.0
2017-06-02,2026,2036,2021,2037,3420,14874.0,7550000.0
2017-06-05,2026,2041,2026,2037,5461,14874.0,7550000.0
2017-06-07,2041,2041,2036,2042,10933,14911.0,7550000.0
2017-06-08,2031,2041,2026,2037,2781,14874.0,7550000.0
2017-06-09,2026,2036,2026,2037,1405,14874.0,7550000.0
2017-06-12,2031,2036,2026,2031,13453,14836.0,7550000.0
2017-06-13,2031,2036,2026,2031,6865,14836.0,7550000.0
2017-06-14,2031,2036,2031,2037,9211,14874.0,7550000.0
2017-06-15,2026,2036,2026,2037,6847,14874.0,7550000.0
2017-06-16,2026,2036,2026,2031,39522,14836.0,7550000.0
2017-06-19,2031,2041,2026,2031,17429,14836.0,7550000.0
2017-06-20,2026,2036,2026,2026,11180,14798.0,7550000.0
2017-06-21,2036,2036,2026,2031,17270,14836.0,7550000.0
2017-06-22,2026,2036,2026,2037,20002,14874.0,7550000.0
2017-06-23,2026,2036,2026,2037,10940,14874.0,7550000.0
2017-06-26,2036,2036,2031,2037,6995,14874.0,7550000.0
2017-06-27,2031,2036,2031,2037,5761,14874.0,7550000.0
2017-06-28,2031,2036,2031,2037,4929,14874.0,7550000.0
2017-06-29,2036,2041,2031,2042,3911,14911.0,7550000.0
2017-06-30,2041,2046,2041,2042,9512,14911.0,7550000.0
2017-07-03,2046,2057,2046,2047,18885,14949.0,7550000.0
2017-07-04,2052,2062,2052,2052,15198,14987.0,7550000.0
2017-07-05,2057,2057,2041,2052,16171,14987.0,7550000.0
2017-07-06,2036,2052,2036,2052,4955,14987.0,7550000.0
2017-07-07,2067,2077,2052,2078,39052,15176.0,7550000.0
2017-07-10,2046,2077,2046,2078,12999,15176.0,7550000.0
2017-07-11,2077,2077,2052,2078,8340,15176.0,7550000.0
2017-07-12,2077,2077,2062,2078,12741,15176.0,7550000.0
2017-07-13,2072,2077,2067,2073,24235,15138.0,7550000.0
2017-07-14,2093,2093,2067,2083,12326,15213.0,7550000.0
2017-07-17,2093,2093,2067,2083,1144,15213.0,7550000.0
2017-07-18,2067,2077,2067,2078,1331,15176.0,7550000.0
2017-07-19,2093,2093,2062,2073,3290,15138.0,7550000.0
2017-07-20,2077,2077,2062,2073,2096,15138.0,7550000.0
2017-07-21,2067,2067,2067,2068,1,15100.0,7550000.0
2017-07-24,2072,2077,2067,2073,11214,15138.0,7550000.0
2017-07-25,2072,2072,2067,2073,30814,15138.0,7550000.0
2017-07-26,2062,2083,2062,2078,11344,15176.0,7550000.0
2017-07-27,2072,2077,2072,2078,55,15176.0,7550000.0
2017-07-28,2062,2077,2062,2078,12225,15176.0,7550000.0
2017-07-31,2062,2077,2062,2068,1016,15100.0,7550000.0
2017-08-01,2062,2067,2062,2068,4671,15100.0,7550000.0
2017-08-02,2067,2077,2067,2078,2505,15176.0,7550000.0
2017-08-03,2062,2077,2062,2068,10429,15100.0,7550000.0
2017-08-04,2067,2083,2062,2083,3576,15213.0,7550000.0
2017-08-07,2083,2083,2062,2083,11506,15213.0,7550000.0
2017-08-08,2088,2088,2067,2078,11673,15176.0,7550000.0
2017-08-09,2062,2077,2062,2068,2075,15100.0,7550000.0
2017-08-10,2072,2072,2067,2073,2272,15138.0,7550000.0
2017-08-11,2072,2077,2067,2068,4145,15100.0,7550000.0
2017-08-14,2067,2083,2067,2073,2436,15138.0,7550000.0
2017-08-16,2067,2072,2062,2068,5334,15100.0,7550000.0
2017-08-17,2072,2072,2067,2068,1825,15100.0,7550000.0
2017-08-18,2072,2077,2067,2073,6350,15138.0,7550000.0
2017-08-21,2083,2083,2067,2078,5089,15176.0,7550000.0
2017-08-22,2067,2083,2062,2083,5226,15213.0,7550000.0
