하나머스트제6호스팩(307160),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-02-07,2055,2075,2055,2075,103,9524.0,4590000.0
2019-02-08,2070,2070,2065,2065,997,9478.0,4590000.0
2019-02-11,2060,2060,2060,2060,0,9455.0,4590000.0
2019-02-12,2045,2060,2045,2060,1716,9455.0,4590000.0
2019-02-13,2050,2070,2050,2070,5003,9501.0,4590000.0
2019-02-14,2065,2065,2065,2065,0,9478.0,4590000.0
2019-02-15,2035,2065,2035,2065,16502,9478.0,4590000.0
2019-02-18,2060,2060,2060,2060,0,,
2019-02-19,2060,2060,2060,2060,0,9455.0,4590000.0
2019-02-20,2040,2060,2040,2060,858,9455.0,4590000.0
2019-02-21,2060,2060,2045,2060,3,9455.0,4590000.0
2019-02-22,2060,2060,2060,2060,0,,
2019-02-25,2060,2090,2060,2090,1100,9593.0,4590000.0
2019-02-26,2090,2090,2090,2090,0,9593.0,4590000.0
2019-02-27,2040,2080,2040,2070,310,9501.0,4590000.0
2019-02-28,2080,2080,2030,2045,10629,9387.0,4590000.0
2019-03-04,2040,2070,2040,2070,10677,9501.0,4590000.0
2019-03-05,2070,2070,2045,2070,210,9501.0,4590000.0
2019-03-06,2045,2070,2040,2070,2710,9501.0,4590000.0
2019-03-07,2030,2065,2030,2065,401,9478.0,4590000.0
2019-03-08,2070,2070,2030,2050,8041,9410.0,4590000.0
2019-03-11,2065,2065,2060,2065,602,9478.0,4590000.0
2019-03-12,2070,2070,2060,2060,4972,9455.0,4590000.0
2019-03-13,2070,2070,2060,2060,1242,9455.0,4590000.0
2019-03-14,2070,2070,2060,2070,4285,9501.0,4590000.0
2019-03-15,2080,2100,2055,2080,10354,9547.0,4590000.0
2019-03-18,2095,2095,2060,2090,38,9593.0,4590000.0
2019-03-19,2070,2100,2070,2090,704,9593.0,4590000.0
2019-03-20,2095,2095,2055,2090,778,9593.0,4590000.0
2019-03-21,2095,2095,2095,2095,1,9616.0,4590000.0
2019-03-22,2050,2085,2050,2085,1191,9570.0,4590000.0
2019-03-25,2085,2085,2085,2085,2,9570.0,4590000.0
2019-03-26,2080,2080,2080,2080,0,9547.0,4590000.0
2019-03-27,2050,2070,2050,2050,716,9410.0,4590000.0
2019-03-28,2080,2080,2070,2070,106,9501.0,4590000.0
2019-03-29,2080,2080,2055,2055,968,9432.0,4590000.0
2019-04-01,2075,2075,2075,2075,1,9524.0,4590000.0
2019-04-02,2070,2070,2055,2070,988,9501.0,4590000.0
2019-04-03,2055,2065,2055,2065,336,9478.0,4590000.0
2019-04-04,2055,2065,2045,2060,14516,9455.0,4590000.0
2019-04-05,2060,2075,2050,2075,2476,9524.0,4590000.0
2019-04-08,2075,2100,2075,2095,147,9616.0,4590000.0
2019-04-09,2145,2145,2055,2060,5532,9455.0,4590000.0
2019-04-10,2090,2115,2050,2050,8968,9410.0,4590000.0
2019-04-11,2080,2130,2060,2085,6058,9570.0,4590000.0
2019-04-12,2060,2085,2060,2065,11489,9478.0,4590000.0
2019-04-15,2065,2085,2060,2085,18748,9570.0,4590000.0
2019-04-16,2085,2085,2085,2085,11,9570.0,4590000.0
2019-04-17,2085,2085,2085,2085,1932,9570.0,4590000.0
2019-04-18,2080,2115,2080,2095,10405,9616.0,4590000.0
2019-04-19,2100,2110,2100,2100,14727,9639.0,4590000.0
2019-04-22,2105,2110,2105,2110,2156,9685.0,4590000.0
2019-04-23,2110,2115,2110,2110,12979,9685.0,4590000.0
2019-04-24,2120,2120,2095,2110,184,9685.0,4590000.0
2019-04-25,2110,2125,2085,2125,2088,9754.0,4590000.0
2019-04-26,2120,2125,2105,2125,9963,9754.0,4590000.0
2019-04-29,2145,2145,2080,2125,3503,9754.0,4590000.0
2019-04-30,2125,2125,2085,2120,1505,9731.0,4590000.0
2019-05-02,2120,2125,2120,2120,12582,9731.0,4590000.0
2019-05-03,2085,2125,2085,2120,6887,9731.0,4590000.0
2019-05-07,2125,2125,2090,2120,13542,9731.0,4590000.0
2019-05-08,2125,2125,2080,2080,2837,9547.0,4590000.0
2019-05-09,2120,2135,2090,2135,5681,9800.0,4590000.0
2019-05-10,2145,2145,2145,2145,2867,9846.0,4590000.0
2019-05-13,2120,2140,2120,2140,2001,9823.0,4590000.0
2019-05-14,2140,2190,2115,2120,16946,9731.0,4590000.0
2019-05-15,2175,2175,2095,2100,7863,9639.0,4590000.0
2019-05-16,2175,2175,2095,2170,31003,9960.0,4590000.0
2019-05-17,2170,2170,2095,2135,14806,9800.0,4590000.0
2019-05-20,2090,2130,2090,2120,242,9731.0,4590000.0
2019-05-21,2120,2125,2120,2125,2041,9754.0,4590000.0
2019-05-22,2140,2140,2100,2130,17030,9777.0,4590000.0
2019-05-23,2170,2170,2160,2160,11,9914.0,4590000.0
2019-05-24,2120,2140,2120,2140,1510,9823.0,4590000.0
2019-05-27,2115,2125,2115,2115,11429,9708.0,4590000.0
2019-05-28,2100,2125,2100,2120,1950,9731.0,4590000.0
2019-05-29,2120,2120,2120,2120,10964,9731.0,4590000.0
2019-05-30,2120,2120,2120,2120,40,9731.0,4590000.0
2019-05-31,2140,2140,2140,2140,2,9823.0,4590000.0
2019-06-03,2140,2140,2140,2140,100,9823.0,4590000.0
2019-06-04,2150,2190,2150,2150,2143,9868.0,4590000.0
2019-06-05,2185,2185,2100,2110,205272,9685.0,4590000.0
2019-06-07,2155,2155,2145,2145,184,9846.0,4590000.0
2019-06-10,2160,2160,2120,2120,100,9731.0,4590000.0
2019-06-11,2160,2160,2155,2155,110,9891.0,4590000.0
2019-06-12,2150,2150,2150,2150,1,9868.0,4590000.0
2019-06-13,2160,2160,2160,2160,58,9914.0,4590000.0
2019-06-14,2160,2160,2160,2160,0,9914.0,4590000.0
2019-06-17,2125,2160,2125,2160,3458,9914.0,4590000.0
2019-06-18,2160,2160,2150,2155,782,9891.0,4590000.0
2019-06-19,2190,2190,2175,2175,11,9983.0,4590000.0
2019-06-20,2135,2165,2135,2165,355,9937.0,4590000.0
2019-06-21,2180,2180,2180,2180,10,10006.0,4590000.0
2019-06-24,2190,2190,2190,2190,41,10052.0,4590000.0
2019-06-25,2155,2155,2125,2155,10318,9891.0,4590000.0
2019-06-26,2170,2170,2155,2160,9574,9914.0,4590000.0
2019-06-27,2185,2185,2150,2170,4498,9960.0,4590000.0
2019-06-28,2185,2200,2170,2190,8140,10052.0,4590000.0
2019-07-01,2150,2190,2150,2180,14562,10006.0,4590000.0
2019-07-02,2155,2225,2155,2165,8576,9937.0,4590000.0
2019-07-03,2185,2185,2150,2180,11179,10006.0,4590000.0
2019-07-04,2195,2200,2140,2165,19821,9937.0,4590000.0
2019-07-05,2195,2195,2165,2190,9520,10052.0,4590000.0
2019-07-08,2160,2195,2155,2195,211,10075.0,4590000.0
2019-07-09,2195,2195,2165,2195,1147,10075.0,4590000.0
2019-07-10,2195,2195,2195,2195,150,10075.0,4590000.0
2019-07-11,2190,2190,2165,2190,3195,10052.0,4590000.0
2019-07-12,2160,2190,2160,2190,3142,10052.0,4590000.0
2019-07-15,2200,2200,2145,2180,17683,10006.0,4590000.0
2019-07-16,2195,2195,2195,2195,10,10075.0,4590000.0
2019-07-17,2155,2180,2140,2180,110,10006.0,4590000.0
2019-07-18,2195,2195,2145,2195,70,10075.0,4590000.0
2019-07-19,2195,2195,2145,2195,52,10075.0,4590000.0
2019-07-22,2170,2195,2170,2195,7697,10075.0,4590000.0
2019-07-23,2190,2190,2190,2190,1,10052.0,4590000.0
2019-07-24,2190,2215,2190,2205,6400,10121.0,4590000.0
2019-07-25,2200,2200,2200,2200,4,10098.0,4590000.0
2019-07-26,2200,2200,2200,2200,0,10098.0,4590000.0
2019-07-29,2200,2220,2170,2220,3700,10190.0,4590000.0
2019-07-30,2195,2225,2195,2220,6951,10190.0,4590000.0
2019-07-31,2235,2250,2165,2250,30629,10328.0,4590000.0
2019-08-01,2250,2255,2240,2245,4684,10305.0,4590000.0
2019-08-02,2230,2250,2230,2245,7168,10305.0,4590000.0
2019-08-05,2220,2220,2140,2140,6446,9823.0,4590000.0
2019-08-06,2225,2225,2125,2160,4245,9914.0,4590000.0
2019-08-07,2135,2160,2120,2160,21757,9914.0,4590000.0
2019-08-08,2155,2155,2155,2155,0,9891.0,4590000.0
2019-08-09,2140,2140,2140,2140,0,9823.0,4590000.0
2019-08-12,2140,2160,2140,2160,1390,9914.0,4590000.0
2019-08-13,2130,2160,2130,2155,2468,9891.0,4590000.0
2019-08-14,2160,2160,2120,2160,685,9914.0,4590000.0
2019-08-16,2140,2145,2130,2145,203,9846.0,4590000.0
2019-08-19,2160,2160,2145,2145,136,9846.0,4590000.0
2019-08-20,2160,2160,2130,2140,4221,9823.0,4590000.0
2019-08-21,2160,2160,2135,2140,50,9823.0,4590000.0
2019-08-22,2140,2140,2140,2140,444,9823.0,4590000.0
2019-08-23,2135,2185,2130,2185,1200,10029.0,4590000.0
2019-08-26,2210,2210,2135,2195,22,10075.0,4590000.0
2019-08-27,2205,2210,2115,2180,3560,10006.0,4590000.0
2019-08-28,2135,2175,2135,2145,2185,9846.0,4590000.0
2019-08-29,2175,2175,2125,2140,270,9823.0,4590000.0
2019-08-30,2165,2190,2130,2145,20116,9846.0,4590000.0
2019-09-02,2185,2185,2115,2115,3120,9708.0,4590000.0
2019-09-03,2185,2185,2115,2165,27754,9937.0,4590000.0
2019-09-04,2170,2170,2140,2170,5343,9960.0,4590000.0
2019-09-05,2160,2185,2130,2130,86,9777.0,4590000.0
2019-09-06,2125,2160,2125,2160,383,9914.0,4590000.0
2019-09-09,2175,2180,2175,2175,26,9983.0,4590000.0
2019-09-10,2175,2825,2175,2430,9009933,11154.0,4590000.0
2019-09-11,2390,2450,2255,2340,2062338,10741.0,4590000.0
2019-09-16,2465,2500,2290,2320,1032732,10649.0,4590000.0
2019-09-17,2290,2305,2235,2280,612232,10465.0,4590000.0
2019-09-18,2260,2300,2215,2270,277807,10419.0,4590000.0
2019-09-19,2285,2360,2185,2225,545072,10213.0,4590000.0
2019-09-20,2215,2250,2170,2190,319630,10052.0,4590000.0
2019-09-23,2200,2220,2160,2170,192848,9960.0,4590000.0
2019-09-24,2155,2210,2155,2170,141189,9960.0,4590000.0
2019-09-25,2170,2185,2150,2160,156903,9914.0,4590000.0
2019-09-26,2160,2190,2150,2175,69905,9983.0,4590000.0
2019-09-27,2175,2215,2155,2165,67512,9937.0,4590000.0
2019-09-30,2165,2195,2145,2155,75508,9891.0,4590000.0
2019-10-01,2165,2165,2145,2160,56220,9914.0,4590000.0
2019-10-02,2145,2165,2140,2165,75648,9937.0,4590000.0
2019-10-04,2165,2170,2135,2150,38763,9868.0,4590000.0
2019-10-07,2140,2160,2130,2130,34269,9777.0,4590000.0
