에이테크솔루션(071670),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-09-28,16450,17300,16050,16450,253202,164500.0,10000000.0
2009-09-29,16600,16850,15950,16100,191744,161000.0,10000000.0
2009-09-30,16250,16300,14300,14550,295962,145500.0,10000000.0
2009-10-01,14600,14800,13250,14150,274921,141500.0,10000000.0
2009-10-05,13800,14500,13750,14200,122536,142000.0,10000000.0
2009-10-06,14500,15650,14200,14800,241381,148000.0,10000000.0
2009-10-07,15000,15400,14350,14350,108026,143500.0,10000000.0
2009-10-08,14400,15000,14050,14900,113340,149000.0,10000000.0
2009-10-09,15200,15800,14900,15800,166022,158000.0,10000000.0
2009-10-12,15800,16450,15650,16450,169891,164500.0,10000000.0
2009-10-13,16200,16800,16100,16450,214520,164500.0,10000000.0
2009-10-14,16500,16850,16200,16600,127551,166000.0,10000000.0
2009-10-15,16700,16900,15950,16500,123924,165000.0,10000000.0
2009-10-16,16500,16600,16150,16400,97443,164000.0,10000000.0
2009-10-19,16400,17500,16000,17200,354139,172000.0,10000000.0
2009-10-20,17450,17800,17000,17300,224172,173000.0,10000000.0
2009-10-21,17050,17400,16750,17400,135299,174000.0,10000000.0
2009-10-22,17400,18050,17000,17500,211985,175000.0,10000000.0
2009-10-23,17850,17850,17200,17500,148329,175000.0,10000000.0
2009-10-26,17500,17500,16700,16950,83888,169500.0,10000000.0
2009-10-27,16950,17150,16250,16600,125720,166000.0,10000000.0
2009-10-28,16450,16650,15650,16200,140602,162000.0,10000000.0
2009-10-29,15850,16700,15700,16500,101783,165000.0,10000000.0
2009-10-30,16500,16750,16300,16550,89231,165500.0,10000000.0
2009-11-02,16450,16500,15700,16000,97719,160000.0,10000000.0
2009-11-03,17200,17450,16150,16250,787040,162500.0,10000000.0
2009-11-04,16250,16500,15750,16100,163591,161000.0,10000000.0
2009-11-05,16100,16250,15700,15900,72794,159000.0,10000000.0
2009-11-06,16150,18250,15500,16350,1488367,163500.0,10000000.0
2009-11-09,16300,16600,15650,15650,370669,156500.0,10000000.0
2009-11-10,15800,16350,15500,16050,234686,160500.0,10000000.0
2009-11-11,16600,17050,16350,16800,478956,168000.0,10000000.0
2009-11-12,16750,17200,16650,17000,265160,170000.0,10000000.0
2009-11-13,16800,17050,16600,16750,117479,167500.0,10000000.0
2009-11-16,16500,16800,16050,16050,138346,160500.0,10000000.0
2009-11-17,16050,16700,16000,16600,145299,166000.0,10000000.0
2009-11-18,16650,16800,16350,16650,93514,166500.0,10000000.0
2009-11-19,16550,17050,16400,16850,143983,168500.0,10000000.0
2009-11-20,16800,16900,16600,16750,75755,167500.0,10000000.0
2009-11-23,16950,18400,16800,18300,772502,183000.0,10000000.0
2009-11-24,18400,18450,17800,18400,323645,184000.0,10000000.0
2009-11-25,18700,19450,18550,18750,669311,187500.0,10000000.0
2009-11-26,18550,19300,18450,19000,314522,190000.0,10000000.0
2009-11-27,18600,20050,17200,18000,1413696,180000.0,10000000.0
2009-11-30,18500,19200,17950,19200,499150,192000.0,10000000.0
2009-12-01,19150,19650,18700,19100,311980,191000.0,10000000.0
2009-12-02,19200,19650,18900,19050,345855,190500.0,10000000.0
2009-12-03,19200,19200,18250,18950,281694,189500.0,10000000.0
2009-12-04,18750,19050,18550,18750,122721,187500.0,10000000.0
2009-12-07,18900,19650,18400,19400,306083,194000.0,10000000.0
2009-12-08,19700,21550,19650,20600,946964,206000.0,10000000.0
2009-12-09,20550,21050,20350,20600,238578,206000.0,10000000.0
2009-12-10,20700,20950,20150,20800,264501,208000.0,10000000.0
2009-12-11,21100,21550,20750,21000,290693,210000.0,10000000.0
2009-12-14,20700,21400,20600,20900,257811,209000.0,10000000.0
2009-12-15,21200,21200,19950,20150,281881,201500.0,10000000.0
2009-12-16,20150,20800,20150,20300,228130,203000.0,10000000.0
2009-12-17,20300,21950,20200,21200,407645,212000.0,10000000.0
2009-12-18,20800,21750,20800,21350,188800,213500.0,10000000.0
2009-12-21,21350,21950,21050,21050,216498,210500.0,10000000.0
2009-12-22,21150,21400,20100,20350,264126,203500.0,10000000.0
2009-12-23,20450,20750,19300,20750,490097,207500.0,10000000.0
2009-12-24,20750,21050,20350,20750,376837,207500.0,10000000.0
2009-12-28,20600,20650,19700,19700,278261,197000.0,10000000.0
2009-12-29,20000,20200,19450,20150,159155,201500.0,10000000.0
2009-12-30,20150,20650,20000,20500,230479,205000.0,10000000.0
2010-01-04,20700,21400,20350,21400,301508,214000.0,10000000.0
2010-01-05,21300,21950,20950,21200,358797,212000.0,10000000.0
2010-01-06,21400,21700,20800,20900,161306,209000.0,10000000.0
2010-01-07,21200,22500,20950,21400,559243,214000.0,10000000.0
2010-01-08,22000,22750,21350,21700,362424,217000.0,10000000.0
2010-01-11,21700,22250,21400,21550,157513,215500.0,10000000.0
2010-01-12,22050,22300,21350,21400,246604,214000.0,10000000.0
2010-01-13,21000,21300,20700,21200,200869,212000.0,10000000.0
2010-01-14,21300,21400,20900,21250,142488,212500.0,10000000.0
2010-01-15,21350,21350,20700,20750,207183,207500.0,10000000.0
2010-01-18,20900,21000,20400,20750,132507,207500.0,10000000.0
2010-01-19,21100,21750,20850,21300,169488,213000.0,10000000.0
2010-01-20,21700,22300,21550,21600,322427,216000.0,10000000.0
2010-01-21,21300,21900,21200,21200,109754,212000.0,10000000.0
2010-01-22,20900,21100,19900,20300,253748,203000.0,10000000.0
2010-01-25,19650,20050,19250,19500,257267,195000.0,10000000.0
2010-01-26,19400,19650,18600,18700,159397,187000.0,10000000.0
2010-01-27,19000,19050,18250,18350,138667,183500.0,10000000.0
2010-01-28,18500,19050,18250,18600,81661,186000.0,10000000.0
2010-01-29,18500,18650,17650,18000,141722,180000.0,10000000.0
2010-02-01,18050,18450,17500,18350,115573,183500.0,10000000.0
2010-02-02,18600,18600,17750,17750,75464,177500.0,10000000.0
2010-02-03,18050,18150,17650,18000,78688,180000.0,10000000.0
2010-02-04,18350,19300,18300,19050,231253,190500.0,10000000.0
2010-02-05,18000,18350,17900,18000,83582,180000.0,10000000.0
2010-02-08,18150,18200,17000,17000,134442,170000.0,10000000.0
2010-02-09,16500,16900,15800,16900,229729,169000.0,10000000.0
2010-02-10,17150,17200,16500,16600,127171,166000.0,10000000.0
2010-02-11,16150,17050,16150,17050,108975,170500.0,10000000.0
2010-02-12,17100,17350,16850,17300,78921,173000.0,10000000.0
2010-02-16,17050,17200,16850,16950,92404,169500.0,10000000.0
2010-02-17,17100,17350,17100,17250,70711,172500.0,10000000.0
2010-02-18,17500,17500,16700,17000,81314,170000.0,10000000.0
2010-02-19,16700,17000,16200,16200,115018,162000.0,10000000.0
2010-02-22,16900,17050,16450,16550,123510,165500.0,10000000.0
2010-02-23,16900,17150,16650,17000,77424,170000.0,10000000.0
2010-02-24,16700,18100,16700,17900,211704,179000.0,10000000.0
2010-02-25,18300,18300,16900,16900,190828,169000.0,10000000.0
2010-02-26,17000,18000,16850,17900,190363,179000.0,10000000.0
2010-03-02,17700,18150,17600,17900,172400,179000.0,10000000.0
2010-03-03,17050,17800,17050,17550,157018,175500.0,10000000.0
2010-03-04,17800,18500,17600,17850,355888,178500.0,10000000.0
2010-03-05,18500,19150,18500,19050,424978,190500.0,10000000.0
2010-03-08,19250,20500,18750,20150,440186,201500.0,10000000.0
2010-03-09,20150,20300,19650,20150,168646,201500.0,10000000.0
2010-03-10,20150,20650,19900,20600,156425,206000.0,10000000.0
2010-03-11,20600,21400,20500,20800,242606,208000.0,10000000.0
2010-03-12,20850,20950,20350,20750,119202,207500.0,10000000.0
2010-03-15,20650,20900,19850,19900,123322,199000.0,10000000.0
2010-03-16,20200,20400,19850,20400,112009,204000.0,10000000.0
2010-03-17,20300,20700,20100,20700,79643,207000.0,10000000.0
2010-03-18,20350,21350,20350,20700,109575,207000.0,10000000.0
2010-03-19,21200,21350,20850,21000,99764,210000.0,10000000.0
2010-03-22,20900,21250,20350,20550,98082,205500.0,10000000.0
2010-03-23,20750,20900,20450,20700,70876,207000.0,10000000.0
2010-03-24,20800,21300,20650,20700,113382,207000.0,10000000.0
2010-03-25,20600,21700,20400,21700,238016,217000.0,10000000.0
2010-03-26,21650,22950,21450,22850,420422,228500.0,10000000.0
2010-03-29,22500,23100,22200,22650,224715,226500.0,10000000.0
2010-03-30,22750,23000,22100,22850,127514,228500.0,10000000.0
2010-03-31,22750,23050,22000,22550,128930,225500.0,10000000.0
2010-04-01,22850,22850,21650,22650,187507,226500.0,10000000.0
2010-04-02,22700,22700,21850,22300,100990,223000.0,10000000.0
2010-04-05,22300,22300,20050,20850,270624,208500.0,10000000.0
2010-04-06,20800,21950,20800,21500,163910,215000.0,10000000.0
2010-04-07,22100,22100,21500,21950,93307,219500.0,10000000.0
2010-04-08,22000,24650,21950,24000,488250,240000.0,10000000.0
2010-04-09,24200,24800,23800,24350,309806,243500.0,10000000.0
2010-04-12,24650,24800,23850,24100,176676,241000.0,10000000.0
2010-04-13,24400,24400,23650,24200,112731,242000.0,10000000.0
2010-04-14,24100,25450,24100,24950,230277,249500.0,10000000.0
2010-04-15,25300,25300,24000,24500,123956,245000.0,10000000.0
2010-04-16,24500,24700,23450,24200,202642,242000.0,10000000.0
2010-04-19,23800,23900,23250,23850,94695,238500.0,10000000.0
2010-04-20,23600,24300,23600,24150,90715,241500.0,10000000.0
2010-04-21,24150,24550,23950,24350,107232,243500.0,10000000.0
2010-04-22,24800,24800,23650,23850,145510,238500.0,10000000.0
2010-04-23,24200,25150,23900,24700,266730,247000.0,10000000.0
2010-04-26,25250,25250,24100,24600,224763,246000.0,10000000.0
2010-04-27,24550,24700,24050,24350,105862,243500.0,10000000.0
2010-04-28,23650,25450,23450,25150,379914,251500.0,10000000.0
2010-04-29,25550,26000,24850,25150,449766,251500.0,10000000.0
2010-04-30,25600,25600,24600,25300,227977,253000.0,10000000.0
2010-05-03,24400,25050,24300,24750,185051,247500.0,10000000.0
2010-05-04,25400,26050,24800,26000,309846,260000.0,10000000.0
2010-05-06,25350,26200,25000,25650,231311,256500.0,10000000.0
2010-05-07,24350,25450,24200,24900,209324,249000.0,10000000.0
2010-05-10,25200,26050,24900,26050,263752,260500.0,10000000.0
2010-05-11,26750,27600,26100,26500,340948,265000.0,10000000.0
2010-05-12,26550,27700,26200,27550,275695,275500.0,10000000.0
2010-05-13,27750,28350,27400,28000,226136,280000.0,10000000.0
2010-05-14,27800,28950,27300,28600,227280,286000.0,10000000.0
2010-05-17,28600,29200,27850,28000,230271,280000.0,10000000.0
2010-05-18,28500,28500,26000,27100,234812,271000.0,10000000.0
2010-05-19,26300,28000,25950,27700,158698,277000.0,10000000.0
2010-05-20,27700,28050,25550,26500,138301,265000.0,10000000.0
2010-05-24,26000,26400,25150,25700,132949,257000.0,10000000.0
2010-05-25,25000,25100,22100,23700,249571,237000.0,10000000.0
2010-05-26,23750,25000,23600,25000,81681,250000.0,10000000.0
2010-05-27,24650,25750,24500,25650,112121,256500.0,10000000.0
2010-05-28,26500,26500,24650,25650,125861,256500.0,10000000.0
2010-05-31,25600,25700,25200,25650,67986,256500.0,10000000.0
2010-06-01,25900,26100,24650,25400,111518,254000.0,10000000.0
2010-06-03,25700,26200,25500,26000,131994,260000.0,10000000.0
2010-06-04,25950,25950,24000,24000,567309,240000.0,10000000.0
2010-06-07,23000,23350,21950,22650,550504,226500.0,10000000.0
2010-06-08,22700,23450,22000,22300,353905,223000.0,10000000.0
2010-06-09,22500,23100,22200,22550,265757,225500.0,10000000.0
2010-06-10,22900,24000,22650,23850,527991,238500.0,10000000.0
2010-06-11,24400,24950,23600,24000,338430,240000.0,10000000.0
2010-06-14,24000,24350,23450,23800,139936,238000.0,10000000.0
2010-06-15,23800,24200,23500,23900,154813,239000.0,10000000.0
2010-06-16,24650,24850,24300,24450,210122,244500.0,10000000.0
2010-06-17,24300,25700,24300,25400,428866,254000.0,10000000.0
2010-06-18,25800,25850,25100,25400,136083,254000.0,10000000.0
2010-06-21,25800,25800,25000,25550,130570,255500.0,10000000.0
2010-06-22,25550,25650,25000,25600,95176,256000.0,10000000.0
2010-06-23,25300,25400,24800,25250,132509,252500.0,10000000.0
2010-06-24,25200,25200,24300,25200,206850,252000.0,10000000.0
2010-06-25,24700,25150,24600,24700,64809,247000.0,10000000.0
2010-06-28,25050,25050,24400,24700,68580,247000.0,10000000.0
2010-06-29,25000,25000,23550,24000,144082,240000.0,10000000.0
2010-06-30,23250,24050,23200,24000,84560,240000.0,10000000.0
2010-07-01,23800,24600,23300,24500,113063,245000.0,10000000.0
2010-07-02,24500,25500,24350,25200,356128,252000.0,10000000.0
2010-07-05,25300,26000,25050,25700,353042,257000.0,10000000.0
2010-07-06,25950,26450,25350,26200,320280,262000.0,10000000.0
2010-07-07,26400,26450,25650,26150,159376,261500.0,10000000.0
2010-07-08,26300,26500,25700,25950,161418,259500.0,10000000.0
2010-07-09,26100,26150,25200,25650,189554,256500.0,10000000.0
2010-07-12,25550,25850,25300,25750,124847,257500.0,10000000.0
2010-07-13,25750,26150,25350,25450,149011,254500.0,10000000.0
2010-07-14,25950,27200,25800,25950,562776,259500.0,10000000.0
2010-07-15,25950,25950,24550,25250,322924,252500.0,10000000.0
2010-07-16,25500,25500,24250,24250,189086,242500.0,10000000.0
2010-07-19,23600,24150,23600,23800,143901,238000.0,10000000.0
2010-07-20,24000,24500,23850,23850,127871,238500.0,10000000.0
2010-07-21,23850,24150,23250,23400,175842,234000.0,10000000.0
2010-07-22,23200,23550,21400,22200,360383,222000.0,10000000.0
2010-07-23,22200,22550,20700,21400,322692,214000.0,10000000.0
2010-07-26,21550,22400,21550,22150,132224,221500.0,10000000.0
2010-07-27,22550,22550,21650,22300,123731,223000.0,10000000.0
2010-07-28,22450,22450,21750,21850,58608,218500.0,10000000.0
2010-07-29,21750,22150,20700,21100,208256,211000.0,10000000.0
2010-07-30,21000,21300,20200,20700,151308,207000.0,10000000.0
2010-08-02,20750,21150,20750,21000,75250,210000.0,10000000.0
2010-08-03,21050,21250,20400,20950,160867,209500.0,10000000.0
2010-08-04,20950,21550,20500,20850,164428,208500.0,10000000.0
2010-08-05,21500,21650,20950,21150,167564,211500.0,10000000.0
2010-08-06,21100,21300,20500,21300,79154,213000.0,10000000.0
2010-08-09,21200,21650,21000,21400,75732,214000.0,10000000.0
2010-08-10,21350,21700,21350,21450,69674,214500.0,10000000.0
2010-08-11,21450,21450,20600,20650,73009,206500.0,10000000.0
2010-08-12,20200,20350,19500,20350,132045,203500.0,10000000.0
2010-08-13,20100,20650,19500,20450,79284,204500.0,10000000.0
2010-08-16,20350,21050,20200,20900,63971,209000.0,10000000.0
2010-08-17,20600,21450,20600,21300,69342,213000.0,10000000.0
2010-08-18,21500,21900,21000,21000,134564,210000.0,10000000.0
2010-08-19,21000,21450,20950,21150,66868,211500.0,10000000.0
2010-08-20,20500,20900,20500,20650,73879,206500.0,10000000.0
2010-08-23,20600,20600,19500,19600,236419,196000.0,10000000.0
2010-08-24,19500,19900,18650,19050,148131,190500.0,10000000.0
2010-08-25,18700,18900,18300,18500,127023,185000.0,10000000.0
2010-08-26,18450,18800,18000,18000,132885,180000.0,10000000.0
2010-08-27,17700,17950,17200,17450,150680,174500.0,10000000.0
2010-08-30,17750,18450,17650,18100,171690,181000.0,10000000.0
2010-08-31,18050,18300,17700,18300,152065,183000.0,10000000.0
2010-09-01,18750,18950,18500,18600,214991,186000.0,10000000.0
2010-09-02,18800,19050,18450,18450,103775,184500.0,10000000.0
2010-09-03,18550,19200,18550,19200,136155,192000.0,10000000.0
2010-09-06,19550,19550,18900,19150,150811,191500.0,10000000.0
2010-09-07,19050,19250,18750,18800,81912,188000.0,10000000.0
2010-09-08,18700,18900,18350,18450,52880,184500.0,10000000.0
2010-09-09,18550,18600,18200,18450,65675,184500.0,10000000.0
2010-09-10,18550,19900,18500,19750,272978,197500.0,10000000.0
2010-09-13,20000,20700,19700,20550,263183,205500.0,10000000.0
2010-09-14,20400,20500,19900,20100,121473,201000.0,10000000.0
2010-09-15,19900,20400,19800,20100,111064,201000.0,10000000.0
2010-09-16,20100,20500,20050,20050,85378,200500.0,10000000.0
2010-09-17,20150,20300,19850,20050,61720,200500.0,10000000.0
2010-09-20,19750,20400,19750,20150,40628,201500.0,10000000.0
2010-09-24,20300,20300,19750,20000,42803,200000.0,10000000.0
2010-09-27,20150,20300,19350,19600,118525,196000.0,10000000.0
2010-09-28,19400,19600,19150,19200,75729,192000.0,10000000.0
2010-09-29,19100,19800,19100,19800,74363,198000.0,10000000.0
2010-09-30,19800,19950,19400,19450,51363,194500.0,10000000.0
2010-10-01,19500,20500,19500,20300,157048,203000.0,10000000.0
2010-10-04,20700,21200,20450,20550,173026,205500.0,10000000.0
2010-10-05,20500,20550,20000,20500,74333,205000.0,10000000.0
2010-10-06,20700,21650,20600,21600,344938,216000.0,10000000.0
2010-10-07,21750,22150,21500,21950,258641,219500.0,10000000.0
2010-10-08,21650,21650,21200,21200,129483,212000.0,10000000.0
2010-10-11,21300,21300,20600,20650,128403,206500.0,10000000.0
2010-10-12,21150,21550,20750,21000,125407,210000.0,10000000.0
2010-10-13,21300,21550,20700,20800,78806,208000.0,10000000.0
2010-10-14,20900,21150,20600,20800,92536,208000.0,10000000.0
2010-10-15,20800,22400,20800,22350,447764,223500.0,10000000.0
2010-10-18,22700,23600,22400,23250,496090,232500.0,10000000.0
2010-10-19,23050,23550,22550,22850,294355,228500.0,10000000.0
2010-10-20,22450,23500,22350,23400,262526,234000.0,10000000.0
2010-10-21,23850,23850,23150,23150,213153,231500.0,10000000.0
2010-10-22,23050,23100,22300,22550,181154,225500.0,10000000.0
2010-10-25,22550,22800,21950,22600,127546,226000.0,10000000.0
2010-10-26,22800,23200,22550,22600,149212,226000.0,10000000.0
2010-10-27,22850,22850,21750,22000,217665,220000.0,10000000.0
2010-10-28,21950,22150,20950,21100,212527,211000.0,10000000.0
2010-10-29,21100,21700,20900,21600,164567,216000.0,10000000.0
2010-11-01,21850,22350,21500,21700,256399,217000.0,10000000.0
2010-11-02,21850,22150,21150,21250,117004,212500.0,10000000.0
2010-11-03,21300,21600,21200,21500,103175,215000.0,10000000.0
2010-11-04,21650,22450,21600,22200,272140,222000.0,10000000.0
2010-11-05,22500,22500,21400,21550,161358,215500.0,10000000.0
2010-11-08,21500,21750,21100,21200,80569,212000.0,10000000.0
2010-11-09,21100,21300,20850,21200,78036,212000.0,10000000.0
2010-11-10,21150,21900,21000,21850,156894,218500.0,10000000.0
2010-11-11,21750,21800,21400,21500,74891,215000.0,10000000.0
2010-11-12,21450,21450,19800,20200,287940,202000.0,10000000.0
2010-11-15,20200,20200,18650,19400,245626,194000.0,10000000.0
2010-11-16,19800,19850,19100,19150,160878,191500.0,10000000.0
2010-11-17,18600,19300,18500,19100,96230,191000.0,10000000.0
2010-11-18,19200,19600,19200,19550,46453,195500.0,10000000.0
2010-11-19,19800,19800,19350,19400,51793,194000.0,10000000.0
2010-11-22,19500,19800,19300,19600,80682,196000.0,10000000.0
2010-11-23,20400,21000,20200,20450,308717,204500.0,10000000.0
2010-11-24,19700,20850,19300,20850,209012,208500.0,10000000.0
2010-11-25,21050,21050,20300,20650,95101,206500.0,10000000.0
2010-11-26,20550,20600,19200,19700,139130,197000.0,10000000.0
2010-11-29,19450,19850,18850,19100,79033,191000.0,10000000.0
2010-11-30,19050,19800,19050,19450,73521,194500.0,10000000.0
2010-12-01,19450,19900,19250,19800,44340,198000.0,10000000.0
2010-12-02,20100,20200,19150,19300,116289,193000.0,10000000.0
2010-12-03,19500,19550,19200,19350,45265,193500.0,10000000.0
2010-12-06,19400,19700,19150,19300,109150,193000.0,10000000.0
2010-12-07,19500,19500,19000,19200,79730,192000.0,10000000.0
2010-12-08,19250,19300,18900,19000,83209,190000.0,10000000.0
2010-12-09,19050,19200,18900,19000,85701,190000.0,10000000.0
2010-12-10,19400,20200,19200,20000,254511,200000.0,10000000.0
2010-12-13,20100,20100,19600,19900,119120,199000.0,10000000.0
2010-12-14,19950,20750,19950,20750,300636,207500.0,10000000.0
2010-12-15,20550,20750,20250,20500,174267,205000.0,10000000.0
