디바이스이엔지(187870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-02-27,12000,12100,11650,11650,47669,79010.0,6782000.0
2018-02-28,11550,11700,11400,11550,46957,78332.0,6782000.0
2018-03-02,11350,11700,10950,11000,61422,74602.0,6782000.0
2018-03-05,11050,11100,10750,10800,40984,73246.0,6782000.0
2018-03-06,11000,12300,10800,11600,220503,78671.0,6782000.0
2018-03-07,11550,12000,11250,11550,74284,78332.0,6782000.0
2018-03-08,11550,11900,11450,11750,55906,79688.0,6782000.0
2018-03-09,11750,12100,11700,11900,69924,80706.0,6782000.0
2018-03-12,12050,12150,11750,11850,33095,80367.0,6782000.0
2018-03-13,11850,12000,11550,11650,34917,79010.0,6782000.0
2018-03-14,11800,11800,11400,11600,36682,78671.0,6782000.0
2018-03-15,11650,12000,11500,11900,74845,80706.0,6782000.0
2018-03-16,12000,12050,11750,11850,54278,80367.0,6782000.0
2018-03-19,11950,12150,11800,11950,84538,81045.0,6782000.0
2018-03-20,11850,11900,11600,11900,50921,80706.0,6782000.0
2018-03-21,12050,12050,11400,11700,69180,79349.0,6782000.0
2018-03-22,11550,11750,11300,11500,50248,77993.0,6782000.0
2018-03-23,11300,11400,10900,10950,48550,74263.0,6782000.0
2018-03-26,10750,11050,10600,11050,55030,74941.0,6782000.0
2018-03-27,11400,11400,11000,11150,15398,75619.0,6782000.0
2018-03-28,11150,11150,10750,10950,22173,74263.0,6782000.0
2018-03-29,10900,11000,10550,10800,28070,73246.0,6782000.0
2018-03-30,10800,11000,10650,10850,24666,73585.0,6782000.0
2018-04-02,10900,10900,9910,10200,105969,69176.0,6782000.0
2018-04-03,10100,10200,9960,10050,56256,68159.0,6782000.0
2018-04-04,10200,10200,9930,10000,44341,67820.0,6782000.0
2018-04-05,10000,10050,9890,10050,44180,68159.0,6782000.0
2018-04-06,9940,10200,9900,10000,39422,67820.0,6782000.0
2018-04-09,9900,9920,9570,9620,64190,65243.0,6782000.0
2018-04-10,9620,9690,9320,9480,92879,64293.0,6782000.0
2018-04-11,9450,9820,9450,9690,65696,65718.0,6782000.0
2018-04-12,9700,9960,9670,9680,58810,65650.0,6782000.0
2018-04-13,9690,10100,9690,10050,56260,68159.0,6782000.0
2018-04-16,10150,10250,9870,10000,66445,67820.0,6782000.0
2018-04-17,10050,10150,9920,10050,30679,68159.0,6782000.0
2018-04-18,10050,10350,9980,10050,71519,68159.0,6782000.0
2018-04-19,10050,10200,9820,9820,42665,66599.0,6782000.0
2018-04-20,9700,10000,9700,9930,39319,67345.0,6782000.0
2018-04-23,9990,9990,9630,9700,54662,65785.0,6782000.0
2018-04-24,9780,9900,9450,9460,94153,64158.0,6782000.0
2018-04-25,9410,9500,9000,9150,43431,62055.0,6782000.0
2018-04-26,9150,9460,9150,9340,35840,63344.0,6782000.0
2018-04-27,9400,9420,9150,9210,28650,62462.0,6782000.0
2018-04-30,9200,9320,9010,9010,44609,61106.0,6782000.0
2018-05-02,9250,9250,8990,9090,33052,61648.0,6782000.0
2018-05-03,9090,9270,9060,9190,30401,62327.0,6782000.0
2018-05-04,9130,9230,8950,9000,46866,61038.0,6782000.0
2018-05-08,8970,9080,8760,8870,51023,60156.0,6782000.0
2018-05-09,8930,8980,8700,8860,38633,60089.0,6782000.0
2018-05-10,8860,9400,8860,9330,58946,63276.0,6782000.0
2018-05-11,9330,9700,9200,9430,80517,63954.0,6782000.0
2018-05-14,9460,9460,9200,9270,17047,62869.0,6782000.0
2018-05-15,9380,9390,9170,9300,32900,63073.0,6782000.0
2018-05-16,9180,9270,9000,9130,24404,61920.0,6782000.0
2018-05-17,9130,9240,8880,8990,44975,60970.0,6782000.0
2018-05-18,8960,8990,8820,8850,30753,60021.0,6782000.0
2018-05-21,8900,8900,8760,8880,17220,60224.0,6782000.0
2018-05-23,8850,8890,8680,8850,33417,60021.0,6782000.0
2018-05-24,8790,8790,8600,8740,33089,59275.0,6782000.0
2018-05-25,8740,8760,8370,8400,75977,56969.0,6782000.0
2018-05-28,8500,8500,8050,8200,101545,55612.0,6782000.0
2018-05-29,8150,8400,8120,8350,29370,56630.0,6782000.0
2018-05-30,8400,8420,8170,8330,10863,56494.0,6782000.0
2018-05-31,8470,8470,8290,8390,13127,56901.0,6782000.0
2018-06-01,8420,8420,8010,8180,46972,55477.0,6782000.0
2018-06-04,8150,8170,8000,8010,42874,54324.0,6782000.0
2018-06-05,8010,8090,7790,7940,75530,53849.0,6782000.0
2018-06-07,7940,8250,7940,8110,46444,55002.0,6782000.0
2018-06-08,8140,8170,8030,8070,19408,54731.0,6782000.0
2018-06-11,8160,8210,8010,8070,10253,54731.0,6782000.0
2018-06-12,8190,8270,8030,8150,19477,55273.0,6782000.0
2018-06-14,8230,8230,7930,8120,13479,55070.0,6782000.0
2018-06-15,8130,8130,7840,7910,34640,53646.0,6782000.0
2018-06-18,7980,7980,7320,7950,97475,53917.0,6782000.0
2018-06-19,8050,8050,7460,7880,58466,53442.0,6782000.0
2018-06-20,7880,7880,7550,7850,32385,53239.0,6782000.0
2018-06-21,7850,8390,7520,8240,128586,55884.0,6782000.0
2018-06-22,8290,8540,8230,8460,80925,57376.0,6782000.0
2018-06-25,8350,8450,8180,8350,10312,56630.0,6782000.0
2018-06-26,8340,8340,7800,8330,22639,56494.0,6782000.0
2018-06-27,8330,8400,8120,8130,19909,55138.0,6782000.0
2018-06-28,8170,8350,8110,8290,16726,56223.0,6782000.0
2018-06-29,8720,10300,8260,8260,1944305,56019.0,6782000.0
2018-07-02,8300,8300,7700,7910,231028,53646.0,6782000.0
2018-07-03,7820,8060,7630,8010,100155,54324.0,6782000.0
2018-07-04,7940,8080,7830,8080,46593,54799.0,6782000.0
2018-07-05,7920,8100,7900,8000,62057,54256.0,6782000.0
2018-07-06,7970,8120,7780,7880,43089,53442.0,6782000.0
2018-07-09,7970,7970,7780,7780,22947,52764.0,6782000.0
2018-07-10,7770,8010,7750,7920,42978,53713.0,6782000.0
2018-07-11,7960,8660,7850,8380,152416,56833.0,6782000.0
2018-07-12,8430,8720,8380,8530,82733,57850.0,6782000.0
2018-07-13,8500,8810,8500,8650,67564,58664.0,6782000.0
2018-07-16,8740,9290,8730,9130,168456,61920.0,6782000.0
2018-07-17,9250,9260,8940,9110,114152,61784.0,6782000.0
2018-07-18,9130,9240,8900,8930,34646,60563.0,6782000.0
2018-07-19,8990,9060,8540,8580,33667,58190.0,6782000.0
2018-07-20,8580,9020,8500,8970,43013,60835.0,6782000.0
2018-07-23,8970,9120,8520,8720,31756,59139.0,6782000.0
2018-07-24,8620,8940,8530,8740,27182,59275.0,6782000.0
2018-07-25,8730,8850,8500,8690,16402,58936.0,6782000.0
2018-07-26,8670,8670,8490,8620,33142,58461.0,6782000.0
2018-07-27,8700,9300,8640,9140,143144,61987.0,6782000.0
2018-07-30,9600,9600,9100,9440,148131,64022.0,6782000.0
2018-07-31,9590,9640,9300,9640,115128,65378.0,6782000.0
2018-08-01,9620,10300,9580,9900,185872,67142.0,6782000.0
2018-08-02,9990,10550,9930,10200,284709,69176.0,6782000.0
2018-08-03,10300,10300,9910,10150,61867,68837.0,6782000.0
2018-08-06,10150,10500,9960,9970,100156,67617.0,6782000.0
2018-08-07,9960,10050,9820,10000,62583,67820.0,6782000.0
2018-08-08,10000,10150,9850,9980,20514,67684.0,6782000.0
2018-08-09,9980,10450,9870,10200,97877,69176.0,6782000.0
2018-08-10,10350,10400,9870,9980,48889,67684.0,6782000.0
2018-08-13,9980,10150,9520,9600,54995,65107.0,6782000.0
2018-08-14,9600,9940,9240,9840,96495,66735.0,6782000.0
2018-08-16,10000,10000,9520,9900,35594,67142.0,6782000.0
2018-08-17,9980,10200,9880,10100,70384,68498.0,6782000.0
2018-08-20,10050,10100,9860,9890,35175,67074.0,6782000.0
2018-08-21,9890,10150,9870,10150,38192,68837.0,6782000.0
2018-08-22,10200,11500,10100,10850,884255,73585.0,6782000.0
2018-08-23,10750,10800,10600,10650,79935,72228.0,6782000.0
2018-08-24,10550,10700,10400,10600,47303,71889.0,6782000.0
2018-08-27,10550,11100,10400,10700,120091,72567.0,6782000.0
2018-08-28,10750,10800,10450,10650,100873,72228.0,6782000.0
2018-08-29,10650,11150,10450,10450,153390,70872.0,6782000.0
2018-08-30,10550,10550,10300,10400,42196,70533.0,6782000.0
2018-08-31,10400,10900,10300,10650,71973,72228.0,6782000.0
2018-09-03,10650,10850,10450,10650,31504,72228.0,6782000.0
2018-09-04,10700,10850,10450,10550,44808,71550.0,6782000.0
2018-09-05,10700,11200,10400,10850,86382,73585.0,6782000.0
2018-09-06,11050,11700,10600,11550,178295,78332.0,6782000.0
2018-09-07,11550,11600,10800,10800,137701,73246.0,6782000.0
2018-09-10,10800,10800,10350,10400,81031,70533.0,6782000.0
2018-09-11,10400,10700,10250,10450,38934,70872.0,6782000.0
2018-09-12,10650,10650,10150,10300,36738,69855.0,6782000.0
2018-09-13,10250,10700,10250,10600,46545,71889.0,6782000.0
2018-09-14,10700,10700,10450,10550,28198,71550.0,6782000.0
2018-09-17,10550,10600,9920,9920,75187,67277.0,6782000.0
2018-09-18,10000,10000,9650,9770,50764,66260.0,6782000.0
2018-09-19,9770,10150,9720,9880,43075,67006.0,6782000.0
2018-09-20,9740,9940,9260,9400,102810,63751.0,6782000.0
2018-09-21,9400,9800,9400,9510,21665,64497.0,6782000.0
2018-09-27,9490,9600,9390,9400,8409,63751.0,6782000.0
2018-09-28,9550,9550,9350,9480,8726,64293.0,6782000.0
2018-10-01,9490,9510,9210,9360,13873,63480.0,6782000.0
2018-10-02,9540,9600,9010,9050,23282,61377.0,6782000.0
2018-10-04,9050,9300,8860,9130,12779,61920.0,6782000.0
2018-10-05,9130,9330,8860,9080,9940,61581.0,6782000.0
2018-10-08,8950,9110,8860,8860,9004,60089.0,6782000.0
2018-10-10,8800,8900,8200,8300,29402,56291.0,6782000.0
2018-10-11,7860,8200,7520,7610,66089,51611.0,6782000.0
2018-10-12,7660,8050,7660,7970,19743,54053.0,6782000.0
2018-10-15,8440,8440,8000,8050,26226,54595.0,6782000.0
2018-10-16,7850,8090,7810,8090,61736,54866.0,6782000.0
2018-10-17,8180,8410,8050,8190,6359,55545.0,6782000.0
2018-10-18,8300,8300,7980,8150,9180,55273.0,6782000.0
2018-10-19,8010,8240,7960,8130,5195,55138.0,6782000.0
2018-10-22,8130,8200,7900,8110,8212,55002.0,6782000.0
2018-10-23,8110,8320,7790,7990,12976,54188.0,6782000.0
2018-10-24,8130,8140,7590,7590,26793,51475.0,6782000.0
2018-10-25,7500,7580,7020,7410,75520,50255.0,6782000.0
2018-10-26,7430,7530,7030,7500,16326,50865.0,6782000.0
2018-10-29,7320,8050,7050,7380,54748,50051.0,6782000.0
2018-10-30,7100,7600,7100,7540,27355,51136.0,6782000.0
2018-10-31,7520,8190,7400,8130,21900,55138.0,6782000.0
2018-11-01,8130,8500,8030,8350,20071,56630.0,6782000.0
2018-11-02,8530,8700,8300,8590,18780,58257.0,6782000.0
2018-11-05,8590,8590,8280,8450,5502,57308.0,6782000.0
2018-11-06,8500,9340,8400,9090,139220,61648.0,6782000.0
2018-11-07,9300,9300,8830,8840,40749,59953.0,6782000.0
2018-11-08,8800,8950,8630,8840,16684,59953.0,6782000.0
2018-11-09,8790,9040,8780,8900,13165,60360.0,6782000.0
2018-11-12,9000,9000,8700,8730,10068,59207.0,6782000.0
2018-11-13,8410,9050,8340,8660,36093,58732.0,6782000.0
2018-11-14,8740,8900,8630,8670,6741,58800.0,6782000.0
2018-11-15,8640,9000,8640,8900,17608,60360.0,6782000.0
2018-11-16,9000,9100,8740,8900,11062,60360.0,6782000.0
2018-11-19,8880,8930,8680,8740,7805,59275.0,6782000.0
2018-11-20,8500,8740,8480,8730,10840,59207.0,6782000.0
2018-11-21,8700,8740,8580,8730,9249,59207.0,6782000.0
2018-11-22,8730,8850,8470,8580,10854,58190.0,6782000.0
2018-11-23,8500,8550,8370,8530,13919,57850.0,6782000.0
2018-11-26,8530,8680,8510,8650,10809,58664.0,6782000.0
2018-11-27,8650,8660,8400,8560,7157,58054.0,6782000.0
2018-11-28,8550,8590,8460,8490,8666,57579.0,6782000.0
2018-11-29,8460,8790,8450,8740,13476,59275.0,6782000.0
2018-11-30,8750,8800,8460,8700,8941,59003.0,6782000.0
2018-12-03,8750,8960,8690,8740,8748,59275.0,6782000.0
2018-12-04,8460,9050,8460,8840,22050,59953.0,6782000.0
2018-12-05,8790,9200,8790,9060,11755,61445.0,6782000.0
2018-12-06,9200,9200,8700,8940,11400,60631.0,6782000.0
2018-12-07,9100,9100,8870,8950,8387,60699.0,6782000.0
2018-12-10,8950,8950,8090,8210,49085,55680.0,6782000.0
2018-12-11,8200,8500,8010,8290,16090,56223.0,6782000.0
2018-12-12,8400,8400,7570,7700,55103,52221.0,6782000.0
2018-12-13,7770,7950,7430,7950,48314,53917.0,6782000.0
2018-12-14,7950,7950,7740,7830,6034,53103.0,6782000.0
2018-12-17,7830,8080,7720,7800,10449,52900.0,6782000.0
2018-12-18,7800,7850,7630,7790,4744,52832.0,6782000.0
2018-12-19,7790,7920,7460,7690,22901,52154.0,6782000.0
2018-12-20,7680,7710,7550,7650,6402,51882.0,6782000.0
2018-12-21,7650,7720,7500,7630,14478,51747.0,6782000.0
2018-12-24,7730,7730,7450,7500,14646,50865.0,6782000.0
2018-12-26,7460,7720,7310,7600,13450,51543.0,6782000.0
2018-12-27,7890,7890,7490,7700,12839,52221.0,6782000.0
2018-12-28,7730,8000,7700,8000,9166,54256.0,6782000.0
2019-01-02,7900,8260,7900,8250,12295,55952.0,6782000.0
2019-01-03,8300,8300,8020,8070,5885,54731.0,6782000.0
2019-01-04,8000,8050,7770,7920,6998,53713.0,6782000.0
2019-01-07,7920,8270,7910,8050,1638,54595.0,6782000.0
2019-01-08,8050,8090,7830,7930,3187,53781.0,6782000.0
2019-01-09,7930,8230,7850,8140,13164,55205.0,6782000.0
2019-01-10,8290,8600,8140,8590,25011,58257.0,6782000.0
2019-01-11,8580,8850,8580,8800,22557,59682.0,6782000.0
2019-01-14,8800,8860,8660,8790,17608,59614.0,6782000.0
2019-01-15,8790,9110,8780,9100,83171,61716.0,6782000.0
2019-01-16,9100,9840,9090,9680,126176,65650.0,6782000.0
2019-01-17,9680,9740,9480,9560,21774,64836.0,6782000.0
2019-01-18,9610,9980,9610,9900,31855,67142.0,6782000.0
2019-01-21,10100,10100,9740,9930,14257,67345.0,6782000.0
2019-01-22,9900,10050,9830,9940,16526,67413.0,6782000.0
2019-01-23,9810,9970,9800,9930,10766,67345.0,6782000.0
2019-01-24,9810,10050,9810,10050,41161,68159.0,6782000.0
2019-01-25,10050,10150,9850,10000,16760,67820.0,6782000.0
2019-01-28,10000,10300,9910,10150,45027,68837.0,6782000.0
2019-01-29,10150,10300,9990,10200,28444,69176.0,6782000.0
2019-01-30,10050,11000,10050,10700,91523,72567.0,6782000.0
2019-01-31,10750,10800,10250,10450,29914,70872.0,6782000.0
2019-02-01,10500,10600,10250,10500,27625,71211.0,6782000.0
2019-02-07,10650,10650,10300,10500,41263,71211.0,6782000.0
2019-02-08,10700,10700,10400,10600,66514,71889.0,6782000.0
2019-02-11,11200,11350,10650,10850,93505,73585.0,6782000.0
2019-02-12,10850,10950,10600,10700,28698,72567.0,6782000.0
2019-02-13,11000,11700,10750,11700,189980,79349.0,6782000.0
2019-02-14,11600,11750,11350,11500,76329,77993.0,6782000.0
2019-02-15,11450,11900,11050,11400,33053,77315.0,6782000.0
2019-02-18,11400,11600,11200,11450,40475,77654.0,6782000.0
2019-02-19,11500,11500,11250,11300,16621,76637.0,6782000.0
2019-02-20,11200,12050,11150,12050,113364,81723.0,6782000.0
2019-02-21,12050,12400,11800,12000,92999,81384.0,6782000.0
2019-02-22,11950,12000,11100,11750,35186,79688.0,6782000.0
2019-02-25,11750,12400,11750,12050,107113,81723.0,6782000.0
2019-02-26,11950,12000,11550,11600,53545,78671.0,6782000.0
2019-02-27,11600,11850,11300,11550,46678,78332.0,6782000.0
2019-02-28,11900,11900,11050,11050,44629,74941.0,6782000.0
2019-03-04,11050,11700,11050,11400,24313,77315.0,6782000.0
2019-03-05,11300,11500,11200,11250,22942,76298.0,6782000.0
2019-03-06,11150,11650,11150,11500,33743,77993.0,6782000.0
2019-03-07,11500,12000,11500,11900,56333,80706.0,6782000.0
2019-03-08,12000,12000,11550,11600,10860,78671.0,6782000.0
2019-03-11,11450,11800,11200,11800,20612,80028.0,6782000.0
2019-03-12,11850,12150,11500,12050,35903,81723.0,6782000.0
2019-03-13,12050,13300,11800,13200,405263,89522.0,6782000.0
2019-03-14,13200,13450,12650,12950,102059,87827.0,6782000.0
2019-03-15,12750,13000,12450,12750,50244,86470.0,6782000.0
2019-03-18,12750,12900,12450,12650,48219,85792.0,6782000.0
2019-03-19,12650,12950,12500,12850,43037,87149.0,6782000.0
2019-03-20,13100,13200,12600,12650,44053,85792.0,6782000.0
2019-03-21,12750,13550,12700,12800,141564,86810.0,6782000.0
2019-03-22,12900,12900,12400,12550,75589,85114.0,6782000.0
2019-03-25,12200,12250,11500,11700,115715,79349.0,6782000.0
2019-03-26,11850,12900,11650,12850,119070,87149.0,6782000.0
2019-03-27,12800,13850,12800,12900,284158,87488.0,6782000.0
2019-03-28,13100,13200,12500,12800,66546,86810.0,6782000.0
2019-03-29,13000,13050,12400,13000,41688,88166.0,6782000.0
2019-04-01,13000,13450,12750,13300,61424,90201.0,6782000.0
2019-04-02,13300,13900,13300,13400,91597,90879.0,6782000.0
2019-04-03,13400,13700,13250,13500,33574,91557.0,6782000.0
2019-04-04,13400,14200,13300,14000,123797,94948.0,6782000.0
2019-04-05,14300,16500,14150,16050,960131,108851.0,6782000.0
2019-04-08,16050,16200,15700,16000,259282,108512.0,6782000.0
2019-04-09,15950,16000,15300,15500,189883,105121.0,6782000.0
2019-04-10,15350,15550,15100,15550,98444,105460.0,6782000.0
2019-04-11,15550,15550,14900,15050,114063,102069.0,6782000.0
2019-04-12,15050,15350,14800,15050,63558,102069.0,6782000.0
2019-04-15,15000,15950,15000,15350,203125,104104.0,6782000.0
2019-04-16,15250,15250,14550,14700,74098,99695.0,6782000.0
2019-04-17,14850,15100,14250,14500,71772,98339.0,6782000.0
2019-04-18,14500,14500,13850,14000,82048,94948.0,6782000.0
2019-04-19,13950,14200,13950,14150,27798,95965.0,6782000.0
2019-04-22,14100,14300,13700,13900,56537,94270.0,6782000.0
2019-04-23,13900,13950,13450,13950,70564,94609.0,6782000.0
2019-04-24,13900,14150,13650,13750,22709,93252.0,6782000.0
2019-04-25,13650,14400,13600,14100,39856,95626.0,6782000.0
2019-04-26,13850,14000,13250,13400,49945,90879.0,6782000.0
2019-04-29,13200,13650,13150,13600,18297,92235.0,6782000.0
2019-04-30,13750,13850,13250,13750,31573,93252.0,6782000.0
2019-05-02,13800,13800,13400,13700,16823,92913.0,6782000.0
2019-05-03,13700,14250,13650,13950,33694,94609.0,6782000.0
2019-05-07,13550,13850,13450,13750,13172,93252.0,6782000.0
2019-05-08,13400,13550,12550,12650,120456,85792.0,6782000.0
2019-05-09,12650,12900,11550,11550,170339,78332.0,6782000.0
2019-05-10,11650,12400,11500,12250,187734,83080.0,6782000.0
2019-05-13,12000,12250,11350,11350,64687,76976.0,6782000.0
2019-05-14,11000,12050,10850,11700,258313,79349.0,6782000.0
2019-05-15,11600,12100,11550,11700,89461,79349.0,6782000.0
2019-05-16,11700,11700,10700,10800,109926,73246.0,6782000.0
2019-05-17,10800,12050,10800,11750,162941,79688.0,6782000.0
2019-05-20,11550,11950,11400,11550,50312,78332.0,6782000.0
2019-05-21,11350,11550,10900,11350,69622,76976.0,6782000.0
2019-05-22,11050,11750,11050,11600,40835,78671.0,6782000.0
2019-05-23,11700,11700,10550,10950,70352,74263.0,6782000.0
2019-05-24,10950,11000,10450,11000,33047,74602.0,6782000.0
2019-05-27,11100,11150,10850,10900,40209,73924.0,6782000.0
2019-05-28,10900,11450,10900,11200,29591,75958.0,6782000.0
2019-05-29,11500,11500,10850,11300,22738,76637.0,6782000.0
2019-05-30,11300,11600,11100,11600,25844,78671.0,6782000.0
2019-05-31,11750,11750,10950,11200,72924,75958.0,6782000.0
2019-06-03,11200,11400,10950,11350,24255,76976.0,6782000.0
2019-06-04,11350,11400,11100,11250,22459,76298.0,6782000.0
2019-06-05,11300,11500,11200,11400,22642,77315.0,6782000.0
2019-06-07,11650,11650,11250,11600,23789,78671.0,6782000.0
2019-06-10,11500,11750,11450,11600,15255,78671.0,6782000.0
2019-06-11,11650,11900,11450,11850,46273,80367.0,6782000.0
2019-06-12,11900,12150,11450,11450,24447,77654.0,6782000.0
2019-06-13,11550,11800,11400,11500,23141,77993.0,6782000.0
2019-06-14,11500,11650,11100,11600,31196,78671.0,6782000.0
2019-06-17,11600,11650,11300,11450,24758,77654.0,6782000.0
2019-06-18,11850,11850,11300,11450,23191,77654.0,6782000.0
2019-06-19,11450,11650,11400,11550,48153,78332.0,6782000.0
2019-06-20,11600,12450,11550,12350,187549,83758.0,6782000.0
2019-06-21,12450,13650,12250,12700,468677,86131.0,6782000.0
2019-06-24,12700,13000,12400,12650,94726,85792.0,6782000.0
2019-06-25,12800,13400,12500,12950,342007,87827.0,6782000.0
2019-06-26,12950,13150,12700,12850,99160,87149.0,6782000.0
2019-06-27,12850,12950,11800,12250,175170,83080.0,6782000.0
2019-06-28,12100,12550,11750,11850,71563,80367.0,6782000.0
2019-07-01,12100,12100,11500,11850,35918,80367.0,6782000.0
2019-07-02,11850,12600,11500,12500,83752,84775.0,6782000.0
2019-07-03,12650,12950,12300,12350,47584,83758.0,6782000.0
2019-07-04,13100,13100,12250,12450,85395,84436.0,6782000.0
2019-07-05,12450,12500,11850,12000,58488,81384.0,6782000.0
2019-07-08,11950,12100,10750,10950,117968,74263.0,6782000.0
2019-07-09,10950,11750,10950,11250,81006,76298.0,6782000.0
2019-07-10,11750,12000,11600,11800,61228,80028.0,6782000.0
2019-07-11,11700,12000,11650,11800,48017,80028.0,6782000.0
2019-07-12,11800,12700,11700,12100,356079,82062.0,6782000.0
2019-07-15,12250,12450,11900,12450,107157,84436.0,6782000.0
2019-07-16,12600,13100,12450,12900,406459,87488.0,6782000.0
2019-07-17,12950,12950,11850,12350,131910,83758.0,6782000.0
2019-07-18,12400,12500,11750,12000,125294,81384.0,6782000.0
2019-07-19,12050,12200,11850,11950,74997,81045.0,6782000.0
2019-07-22,11950,11950,11600,11700,45652,79349.0,6782000.0
2019-07-23,11800,12200,11400,11650,60562,79010.0,6782000.0
2019-07-24,11550,11750,11150,11300,58292,76637.0,6782000.0
2019-07-25,11300,11750,11100,11500,73795,77993.0,6782000.0
2019-07-26,11250,11800,10950,11700,60153,79349.0,6782000.0
2019-07-29,11500,11650,10750,10850,78297,73585.0,6782000.0
2019-07-30,10700,11350,10700,11000,30355,74602.0,6782000.0
2019-07-31,10950,11050,10300,11000,75063,74602.0,6782000.0
2019-08-01,10950,11000,10500,10750,32485,72906.0,6782000.0
2019-08-02,10500,10800,10300,10750,31345,72906.0,6782000.0
2019-08-05,10650,10700,9680,9850,100944,66803.0,6782000.0
2019-08-06,9530,10000,8910,9170,146591,62191.0,6782000.0
2019-08-07,8990,9550,8990,9210,115468,62462.0,6782000.0
2019-08-08,9430,9510,9150,9250,82029,62734.0,6782000.0
2019-08-09,9300,9360,9050,9140,41856,61987.0,6782000.0
2019-08-12,9200,9240,8980,9000,29548,61038.0,6782000.0
2019-08-13,8950,9190,8890,8990,34145,60970.0,6782000.0
2019-08-14,9170,9200,8900,9000,49976,61038.0,6782000.0
2019-08-16,8990,9050,8610,8710,31184,59071.0,6782000.0
2019-08-19,8760,9090,8690,8900,31528,60360.0,6782000.0
2019-08-20,8850,9350,8850,9350,38635,63412.0,6782000.0
2019-08-21,9530,9530,9330,9350,27462,63412.0,6782000.0
2019-08-22,9350,9400,9050,9120,27072,61852.0,6782000.0
2019-08-23,9100,9200,8970,9080,30716,61581.0,6782000.0
2019-08-26,8800,8920,8400,8550,25166,57986.0,6782000.0
2019-08-27,8610,8870,8230,8610,24157,58393.0,6782000.0
2019-08-28,8510,8780,8510,8730,21084,59207.0,6782000.0
2019-08-29,8710,8790,8530,8640,11596,58596.0,6782000.0
2019-08-30,8680,9050,8680,9000,15730,61038.0,6782000.0
2019-09-02,9160,9250,9000,9250,22066,62734.0,6782000.0
2019-09-03,9250,9260,9120,9260,21017,62801.0,6782000.0
2019-09-04,9260,9470,9160,9370,13484,63547.0,6782000.0
2019-09-05,9380,9570,9290,9560,32502,64836.0,6782000.0
2019-09-06,9590,9710,9430,9570,20044,64904.0,6782000.0
2019-09-09,9570,10500,9520,9540,126522,64700.0,6782000.0
