이노메트리(302430),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-02-08,29700,30550,29150,29150,62634,140652.0,4825108.0
2019-02-11,29200,29700,28600,29150,82053,140652.0,4825108.0
2019-02-12,30550,30800,29100,29250,138674,141134.0,4825108.0
2019-02-13,29050,30000,28500,29850,105093,144029.0,4825108.0
2019-02-14,30100,30100,29550,29800,69834,143788.0,4825108.0
2019-02-15,29500,30050,29300,29300,42049,141376.0,4825108.0
2019-02-18,29750,30450,29500,29650,74825,143064.0,4825108.0
2019-02-19,29650,29850,29050,29250,49823,141134.0,4825108.0
2019-02-20,29100,29600,28800,29200,55288,140893.0,4825108.0
2019-02-21,29150,29350,27000,27800,106048,134138.0,4825108.0
2019-02-22,27800,28150,26600,26700,79198,128830.0,4825108.0
2019-02-25,26700,27350,26500,27200,58403,131243.0,4825108.0
2019-02-26,26800,27150,26800,26850,32786,129554.0,4825108.0
2019-02-27,27250,27250,26000,26350,70089,127142.0,4825108.0
2019-02-28,26950,27350,25300,25300,94786,122075.0,4825108.0
2019-03-04,25700,26200,25300,25650,67209,123764.0,4825108.0
2019-03-05,25650,25900,24850,25650,60975,123764.0,4825108.0
2019-03-06,25900,26350,25550,26100,40092,125935.0,4825108.0
2019-03-07,26550,27800,26400,27500,172373,132690.0,4825108.0
2019-03-08,27550,28500,27200,28400,114345,137033.0,4825108.0
2019-03-11,28700,29250,28100,28650,125204,138239.0,4825108.0
2019-03-12,29200,29250,28300,28750,73583,138722.0,4825108.0
2019-03-13,28750,29250,28450,29250,66218,141134.0,4825108.0
2019-03-14,29250,32450,29000,32000,389276,154403.0,4825108.0
2019-03-15,32000,34200,31550,34200,292759,165019.0,4825108.0
2019-03-18,34200,34800,32650,33600,186772,162124.0,4825108.0
2019-03-19,33750,34100,32600,32650,86852,157540.0,4825108.0
2019-03-20,32650,33600,31350,33150,107219,159952.0,4825108.0
2019-03-21,33300,34700,32500,32850,112817,158505.0,4825108.0
2019-03-22,33200,33200,31300,31300,80437,151026.0,4825108.0
2019-03-25,30550,31100,29650,30100,79563,145236.0,4825108.0
2019-03-26,30050,33550,30050,33400,164035,161159.0,4825108.0
2019-03-27,33400,33400,31850,31900,108782,153921.0,4825108.0
2019-03-28,31850,31850,30100,30500,98993,147166.0,4825108.0
2019-03-29,30700,30950,28100,29100,148857,140411.0,4825108.0
2019-04-01,29600,30000,29100,29150,36643,140652.0,4825108.0
2019-04-02,29900,30800,29350,30750,58482,148372.0,4825108.0
2019-04-03,31050,31800,30250,31500,79341,151991.0,4825108.0
2019-04-04,31900,32000,30800,31150,44718,150302.0,4825108.0
2019-04-05,31150,31900,30700,31900,37028,153921.0,4825108.0
2019-04-08,31850,31850,30750,31400,59128,151508.0,4825108.0
2019-04-09,31650,31650,30750,31450,36204,151750.0,4825108.0
2019-04-10,31600,33500,31500,33500,172215,161641.0,4825108.0
2019-04-11,33500,33600,32550,33350,98277,160917.0,4825108.0
2019-04-12,33850,34800,33200,33200,168823,160194.0,4825108.0
2019-04-15,33200,33200,31550,32250,95934,155610.0,4825108.0
2019-04-16,32500,32500,31350,31400,38233,151508.0,4825108.0
2019-04-17,31400,31950,31050,31400,30017,151508.0,4825108.0
2019-04-18,31750,31950,30200,30200,55538,145718.0,4825108.0
2019-04-19,30350,31800,30350,31400,38724,151508.0,4825108.0
2019-04-22,31150,31600,30450,30850,30242,148855.0,4825108.0
2019-04-23,31200,31250,30500,30850,16618,148855.0,4825108.0
2019-04-24,31000,31000,29750,29800,49752,143788.0,4825108.0
2019-04-25,29700,29700,28600,29200,59693,140893.0,4825108.0
2019-04-26,28850,29150,27700,27750,69993,133897.0,4825108.0
2019-04-29,28000,29050,27700,28650,42103,138239.0,4825108.0
2019-04-30,28950,28950,28000,28550,29688,137757.0,4825108.0
2019-05-02,28550,29000,28200,28850,19723,139204.0,4825108.0
2019-05-03,28750,29150,28550,28700,16778,138481.0,4825108.0
2019-05-07,28150,28750,27300,28700,50923,138481.0,4825108.0
2019-05-08,28150,28950,27650,28600,41146,137998.0,4825108.0
2019-05-09,28200,28750,26850,27250,45006,131484.0,4825108.0
2019-05-10,26800,27800,26300,26900,35420,129795.0,4825108.0
2019-05-13,27000,27300,26000,26650,22383,128589.0,4825108.0
2019-05-14,26000,26700,25850,26350,27086,127142.0,4825108.0
2019-05-15,26300,27650,26250,27400,25999,132208.0,4825108.0
2019-05-16,27700,28000,26700,26700,22340,128830.0,4825108.0
2019-05-17,27000,27200,26450,26600,25731,128348.0,4825108.0
2019-05-20,26600,26750,25400,25850,26259,124729.0,4825108.0
2019-05-21,25600,26350,25450,26300,17060,126900.0,4825108.0
2019-05-22,26300,26800,25700,26700,17323,128830.0,4825108.0
2019-05-23,26450,26550,26200,26200,20683,126418.0,4825108.0
2019-05-24,25800,26350,25100,26000,27605,125453.0,4825108.0
2019-05-27,25800,26800,25600,26400,18726,127383.0,4825108.0
2019-05-28,26200,27300,26200,27300,16307,131725.0,4825108.0
2019-05-29,27400,27400,26550,27000,14872,130278.0,4825108.0
2019-05-30,27050,28250,26700,27950,46485,134862.0,4825108.0
2019-05-31,27900,28700,27500,28650,45735,138239.0,4825108.0
2019-06-03,28600,28600,26350,27850,21329,134379.0,4825108.0
2019-06-04,28200,29800,28100,29200,50293,140893.0,4825108.0
2019-06-05,29650,30500,29200,30050,108265,144994.0,4825108.0
2019-06-07,30050,31800,29500,31400,77698,151508.0,4825108.0
2019-06-10,31450,32550,31450,32000,91521,154403.0,4825108.0
2019-06-11,32500,34750,31450,34700,227451,167431.0,4825108.0
2019-06-12,34500,34600,32050,33000,185219,159229.0,4825108.0
2019-06-13,33700,39300,33500,37050,385058,178770.0,4825108.0
2019-06-14,35000,36250,34150,35650,416120,172015.0,4825108.0
2019-06-17,35900,36300,35100,35700,78695,172256.0,4825108.0
2019-06-18,35650,36000,34100,34550,74122,166707.0,4825108.0
2019-06-19,34450,35800,34200,35500,61793,171291.0,4825108.0
2019-06-20,35900,36350,34350,34900,57543,168396.0,4825108.0
2019-06-21,34900,35900,34900,35600,60650,171774.0,4825108.0
2019-06-24,35800,35800,34000,34650,48122,167190.0,4825108.0
2019-06-25,34700,35550,33200,33650,44236,162365.0,4825108.0
2019-06-26,33100,34100,32600,32650,52042,157540.0,4825108.0
2019-06-27,33200,34200,32700,33650,49230,162365.0,4825108.0
2019-06-28,33400,33800,32700,33300,24751,160676.0,4825108.0
2019-07-01,33500,34300,32000,34050,37658,164295.0,4825108.0
2019-07-02,34050,34050,33400,34000,21631,164054.0,4825108.0
2019-07-03,34400,34950,32900,33900,59479,163571.0,4825108.0
2019-07-04,34100,34300,32450,32550,46835,157057.0,4825108.0
2019-07-05,32550,32750,31250,32700,44810,157781.0,4825108.0
2019-07-08,32000,32350,29850,30400,88349,146683.0,4825108.0
2019-07-09,29650,30700,29600,30300,29708,146201.0,4825108.0
2019-07-10,30100,31300,30000,31200,28207,150543.0,4825108.0
2019-07-11,31250,33600,30950,33300,89195,160676.0,4825108.0
2019-07-12,33300,35150,32550,34700,78213,167431.0,4825108.0
2019-07-15,34900,35050,33700,34400,40991,165984.0,4825108.0
2019-07-16,33900,35700,33900,35250,62437,170085.0,4825108.0
2019-07-17,34600,35600,34250,34450,32044,166225.0,4825108.0
2019-07-18,34350,36050,34200,35000,79208,168879.0,4825108.0
2019-07-19,34550,36500,33500,35000,61937,168879.0,4825108.0
2019-07-22,34600,36300,34600,36000,43722,173704.0,4825108.0
2019-07-23,35750,36800,35000,35100,51969,169361.0,4825108.0
2019-07-24,35250,36250,34000,34850,62003,168155.0,4825108.0
2019-07-25,34850,35550,32700,33600,57832,162124.0,4825108.0
2019-07-26,33600,35500,33400,35100,58647,169361.0,4825108.0
2019-07-29,36000,36900,35200,36200,118747,174669.0,4825108.0
2019-07-30,36550,37300,33650,35950,74642,173463.0,4825108.0
2019-07-31,35950,35950,34150,34950,50695,168638.0,4825108.0
2019-08-01,34850,34900,32500,32500,55247,156816.0,4825108.0
2019-08-02,32450,32800,31100,32750,28774,158022.0,4825108.0
2019-08-05,32100,32600,30350,30600,49901,147648.0,4825108.0
2019-08-06,28100,31450,28100,29400,98077,141858.0,4825108.0
2019-08-07,29150,30150,29150,30000,24225,144753.0,4825108.0
2019-08-08,30750,31500,29650,30700,25378,148131.0,4825108.0
2019-08-09,31200,31200,30350,30650,15798,147890.0,4825108.0
2019-08-12,30650,30850,30000,30750,10421,148372.0,4825108.0
2019-08-13,30900,30900,29750,30200,20984,145718.0,4825108.0
2019-08-14,30450,31300,30200,31050,28497,149820.0,4825108.0
2019-08-16,30650,30650,29650,29700,44035,143306.0,4825108.0
2019-08-19,30450,30450,28350,28450,36771,137274.0,4825108.0
2019-08-20,28850,29400,28300,29100,12376,140411.0,4825108.0
2019-08-21,29200,30800,29200,30650,42390,147890.0,4825108.0
2019-08-22,31250,31250,30250,30500,13167,147166.0,4825108.0
2019-08-23,29900,30350,29550,30050,16560,144994.0,4825108.0
2019-08-26,29000,29750,28400,28800,29461,138963.0,4825108.0
2019-08-27,29700,30000,28650,29850,22692,144029.0,4825108.0
2019-08-28,29450,30700,29450,30550,18339,147407.0,4825108.0
2019-08-29,30800,30800,29650,29700,13970,143306.0,4825108.0
2019-08-30,30450,30450,29850,30300,15617,146201.0,4825108.0
2019-09-02,30500,30850,28850,30850,22454,148855.0,4825108.0
2019-09-03,30300,30950,30300,30900,12476,149096.0,4825108.0
2019-09-04,30900,32550,30700,32400,53971,156333.0,4825108.0
2019-09-05,33200,33200,31000,31000,51964,149578.0,4825108.0
2019-09-06,31300,31400,29650,30750,67948,148372.0,4825108.0
2019-09-09,30750,30900,30000,30200,23520,145718.0,4825108.0
2019-09-10,30450,30950,30250,30750,14676,148372.0,4825108.0
2019-09-11,30950,32500,30800,31800,56447,153438.0,4825108.0
2019-09-16,32400,32400,31150,31900,31188,153921.0,4825108.0
2019-09-17,31600,32700,31600,32450,33096,156575.0,4825108.0
2019-09-18,32650,32650,31850,32250,18657,155610.0,4825108.0
2019-09-19,32300,32700,31600,32500,39979,156816.0,4825108.0
2019-09-20,32700,33200,31800,32600,32363,157299.0,4825108.0
2019-09-23,32600,32600,31700,32150,35685,155127.0,4825108.0
2019-09-24,32150,32350,31100,31200,29233,150543.0,4825108.0
2019-09-25,31700,31700,29550,30100,68122,145236.0,4825108.0
2019-09-26,30300,30700,29850,30550,23180,147407.0,4825108.0
2019-09-27,30900,31050,30000,30550,19257,147407.0,4825108.0
2019-09-30,30050,30750,29500,30500,13401,147166.0,4825108.0
2019-10-01,30600,30650,29950,30600,10635,147648.0,4825108.0
2019-10-02,30800,30800,29650,30000,16141,144753.0,4825108.0
2019-10-04,29700,29850,29400,29500,12366,142341.0,4825108.0
2019-10-07,29500,29500,28450,28600,17683,137998.0,4825108.0
