제룡산업(147830),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-03-27,2316,2364,2269,2301,86959,23004.0,7932320.0
2012-03-28,2300,2300,2253,2301,68452,23004.0,7932320.0
2012-03-29,2300,2300,2189,2261,120357,22607.0,7932320.0
2012-03-30,2229,2277,2229,2273,48933,22726.0,7932320.0
2012-04-02,2253,2312,2237,2273,53977,22726.0,7932320.0
2012-04-03,2241,2281,2229,2241,71521,22409.0,7932320.0
2012-04-04,2229,2245,2197,2241,78671,22409.0,7932320.0
2012-04-05,2181,2249,2181,2249,62926,22488.0,7932320.0
2012-04-06,2249,2273,2213,2237,62074,22369.0,7932320.0
2012-04-09,2225,2273,2134,2170,109332,21695.0,7932320.0
2012-04-10,2173,2245,2146,2245,66505,22448.0,7932320.0
2012-04-12,2221,2261,2221,2253,62289,22528.0,7932320.0
2012-04-13,2340,2376,2233,2261,127764,22607.0,7932320.0
2012-04-16,2257,2324,2197,2297,232478,22964.0,7932320.0
2012-04-17,2277,2281,2229,2261,80525,22607.0,7932320.0
2012-04-18,2253,2289,2237,2253,48474,22528.0,7932320.0
2012-04-19,2221,2245,2173,2210,42939,22092.0,7932320.0
2012-04-20,2189,2237,2173,2198,50711,21973.0,7932320.0
2012-04-23,2173,2221,2106,2122,81971,21219.0,7932320.0
2012-04-24,2078,2118,2011,2063,102389,20624.0,7932320.0
2012-04-25,2066,2066,1999,2047,49498,20465.0,7932320.0
2012-04-26,2047,2066,1924,1984,79475,19831.0,7932320.0
2012-04-27,1991,2031,1931,1932,54518,19315.0,7932320.0
2012-04-30,1931,1939,1864,1932,59693,19315.0,7932320.0
2012-05-02,1928,1955,1908,1944,48933,19434.0,7932320.0
2012-05-03,1943,2007,1920,2003,47634,20029.0,7932320.0
2012-05-04,1983,2031,1947,1999,49888,19989.0,7932320.0
2012-05-07,1983,1983,1939,1976,23404,19751.0,7932320.0
2012-05-08,1943,1991,1943,1980,34019,19791.0,7932320.0
2012-05-09,1979,2007,1939,1972,17273,19712.0,7932320.0
2012-05-10,1967,2007,1955,2007,21007,20069.0,7932320.0
2012-05-11,2031,2031,1935,1936,53061,19355.0,7932320.0
2012-05-14,1959,1959,1864,1904,47077,19038.0,7932320.0
2012-05-15,1880,1888,1721,1793,128485,17927.0,7932320.0
2012-05-16,1765,1812,1690,1690,119105,16896.0,7932320.0
2012-05-17,1674,1717,1674,1698,94721,16975.0,7932320.0
2012-05-18,1666,1705,1618,1698,58366,16975.0,7932320.0
2012-05-21,1634,1697,1634,1682,29008,16817.0,7932320.0
2012-05-22,1690,1737,1690,1738,67219,17372.0,7932320.0
2012-05-23,1860,1884,1713,1757,68898,17570.0,7932320.0
2012-05-24,1697,1761,1678,1718,32434,17173.0,7932320.0
2012-05-25,1717,1729,1697,1718,29965,17173.0,7932320.0
2012-05-29,1721,1737,1682,1734,20361,17332.0,7932320.0
2012-05-30,1753,1753,1725,1730,6099,17292.0,7932320.0
2012-05-31,1729,1729,1626,1686,31227,16856.0,7932320.0
2012-06-01,1705,1709,1658,1658,16813,16579.0,7932320.0
2012-06-04,1602,1662,1483,1595,91767,15944.0,7932320.0
2012-06-05,1551,1594,1551,1575,25413,15746.0,7932320.0
2012-06-07,1602,1610,1574,1587,47169,15865.0,7932320.0
2012-06-08,1586,1602,1563,1587,24469,15865.0,7932320.0
2012-06-11,1614,1650,1614,1638,33192,16380.0,7932320.0
2012-06-12,1622,1650,1618,1650,20457,16499.0,7932320.0
2012-06-13,1650,1674,1626,1627,25665,16261.0,7932320.0
2012-06-14,1642,1650,1622,1650,17555,16499.0,7932320.0
2012-06-15,1654,1682,1594,1638,33267,16380.0,7932320.0
2012-06-18,1650,1670,1634,1658,22311,16579.0,7932320.0
2012-06-19,1654,1662,1650,1658,7184,16579.0,7932320.0
2012-06-20,1670,1860,1670,1718,288300,17173.0,7932320.0
2012-06-21,1737,1785,1721,1769,43883,17689.0,7932320.0
2012-06-22,1721,1812,1721,1789,55696,17887.0,7932320.0
2012-06-25,1809,1824,1745,1765,20366,17649.0,7932320.0
2012-06-26,1729,1769,1721,1738,85591,17372.0,7932320.0
2012-06-27,1721,1737,1701,1702,78765,17015.0,7932320.0
2012-06-28,1717,1725,1697,1726,27043,17253.0,7932320.0
2012-06-29,1725,1733,1705,1734,23844,17332.0,7932320.0
2012-07-02,1741,1773,1737,1753,47616,17530.0,7932320.0
2012-07-03,1757,1777,1741,1757,22273,17570.0,7932320.0
2012-07-04,1757,1947,1745,1825,492444,18244.0,7932320.0
2012-07-05,1824,1832,1785,1809,90160,18086.0,7932320.0
2012-07-06,1824,1828,1793,1821,58801,18205.0,7932320.0
2012-07-09,1832,1896,1816,1841,110599,18403.0,7932320.0
2012-07-10,1852,1860,1797,1805,59637,18046.0,7932320.0
2012-07-11,1824,1824,1765,1789,52191,17887.0,7932320.0
2012-07-12,1769,1812,1753,1777,94932,17768.0,7932320.0
2012-07-13,1765,1816,1713,1813,90083,18125.0,7932320.0
2012-07-16,1801,1820,1793,1801,37526,18006.0,7932320.0
2012-07-17,1801,1868,1797,1833,115980,18324.0,7932320.0
2012-07-18,1844,1963,1781,1793,447287,17927.0,7932320.0
2012-07-19,1812,1812,1773,1797,48441,17967.0,7932320.0
2012-07-20,1801,1900,1801,1872,177359,18720.0,7932320.0
2012-07-23,1872,1880,1824,1865,46238,18641.0,7932320.0
2012-07-24,1852,1860,1828,1857,48872,18562.0,7932320.0
2012-07-25,1844,1983,1824,1904,270072,19038.0,7932320.0
2012-07-26,1904,1924,1836,1849,136935,18482.0,7932320.0
2012-07-27,1872,2122,1868,2122,914418,21219.0,7932320.0
2012-07-30,2285,2439,2237,2440,2801410,24392.0,7932320.0
2012-07-31,2634,2701,2511,2555,2560987,25542.0,7932320.0
2012-08-01,2578,2737,2475,2634,4504442,26335.0,7932320.0
2012-08-02,2864,2955,2503,2595,4389464,25939.0,7932320.0
2012-08-03,2602,2622,2439,2511,1625735,25106.0,7932320.0
2012-08-06,2503,2884,2439,2884,4022688,28834.0,7932320.0
2012-08-07,2963,3272,2915,3059,4651730,30579.0,7932320.0
2012-08-08,3102,3153,2884,3035,2654385,30341.0,7932320.0
2012-08-09,3038,3487,2899,3487,4333131,34863.0,7932320.0
2012-08-10,3431,3689,3332,3372,5655898,33712.0,7932320.0
2012-08-13,3316,3518,3312,3317,2282098,33157.0,7932320.0
2012-08-14,3411,3602,3213,3293,3644520,32919.0,7932320.0
2012-08-16,3411,3427,3260,3301,1458501,32998.0,7932320.0
2012-08-17,3264,3625,3110,3166,4977817,31650.0,7932320.0
2012-08-20,3141,3169,3034,3110,1085398,31095.0,7932320.0
2012-08-21,3134,3169,2995,3051,2000576,30500.0,7932320.0
2012-08-22,3015,3094,2975,3031,922905,30301.0,7932320.0
2012-08-23,3030,3217,3015,3078,2304937,30777.0,7932320.0
2012-08-24,3070,3118,2808,2936,1195176,29350.0,7932320.0
2012-08-27,2947,3062,2860,2944,1474255,29429.0,7932320.0
2012-08-28,2975,3078,2903,3051,1223969,30500.0,7932320.0
2012-08-29,3018,3114,2911,2912,1361045,29112.0,7932320.0
2012-08-30,2923,2955,2665,2674,792751,26732.0,7932320.0
2012-08-31,2681,2812,2665,2666,661327,26653.0,7932320.0
2012-09-03,2697,2792,2650,2789,506216,27882.0,7932320.0
2012-09-04,2788,2844,2713,2765,352459,27644.0,7932320.0
2012-09-05,2792,2919,2745,2745,727215,27446.0,7932320.0
2012-09-06,2776,3145,2765,2959,2962850,29588.0,7932320.0
2012-09-07,2903,3102,2844,2987,1505335,29865.0,7932320.0
2012-09-10,3022,3074,2669,2773,810038,27723.0,7932320.0
2012-09-11,2911,3078,2769,2773,1094879,27723.0,7932320.0
2012-09-12,2788,2820,2701,2737,400600,27367.0,7932320.0
2012-09-13,2630,2677,2550,2579,543776,25780.0,7932320.0
2012-09-14,2657,2749,2578,2587,511229,25859.0,7932320.0
2012-09-17,2618,2773,2618,2729,471805,27287.0,7932320.0
2012-09-18,2721,3138,2697,3094,3075799,30936.0,7932320.0
2012-09-19,3280,3292,3074,3150,1234127,31491.0,7932320.0
2012-09-20,3106,3213,3030,3146,651683,31452.0,7932320.0
2012-09-21,3173,3276,2749,3019,1066045,30182.0,7932320.0
2012-09-24,3007,3471,2919,3471,1698403,34704.0,7932320.0
2012-09-25,3506,3860,3094,3376,3590979,33752.0,7932320.0
2012-09-26,3257,3471,3249,3324,918755,33236.0,7932320.0
2012-09-27,3320,3387,3094,3150,660512,31491.0,7932320.0
2012-09-28,3078,3443,3078,3281,1059416,32800.0,7932320.0
2012-10-02,3280,3538,3245,3436,685340,34347.0,7932320.0
2012-10-04,3467,3578,3348,3412,531147,34109.0,7932320.0
2012-10-05,3491,3923,3471,3923,2134264,39225.0,7932320.0
2012-10-08,4046,4419,4022,4165,2507268,41645.0,7932320.0
2012-10-09,4109,4784,4102,4784,3005837,47832.0,7932320.0
2012-10-10,4855,5395,4586,4602,3720120,46007.0,7932320.0
2012-10-11,4546,4887,4213,4507,2271047,45056.0,7932320.0
2012-10-12,4681,5181,4562,5181,2541475,51798.0,7932320.0
2012-10-15,5157,5704,4443,4602,2876919,46007.0,7932320.0
2012-10-16,4593,4839,4046,4165,1590175,41645.0,7932320.0
2012-10-17,4300,4514,4117,4340,1837340,43390.0,7932320.0
2012-10-18,4387,4641,4181,4285,1670536,42835.0,7932320.0
2012-10-19,4165,4236,3641,3642,1458232,36409.0,7932320.0
2012-10-22,3455,3772,3391,3642,1045225,36409.0,7932320.0
2012-10-23,3729,3824,3471,3471,694540,34704.0,7932320.0
2012-10-24,3475,3863,3340,3547,1118417,35457.0,7932320.0
2012-10-25,3558,3673,3459,3467,382366,34664.0,7932320.0
2012-10-26,3499,3530,3173,3253,591283,32523.0,7932320.0
2012-10-29,3249,3554,3221,3360,848384,33593.0,7932320.0
2012-10-30,3364,3586,3356,3491,423487,34902.0,7932320.0
2012-10-31,3562,3697,3447,3543,478019,35418.0,7932320.0
2012-11-01,3546,3927,3542,3745,1142413,37441.0,7932320.0
2012-11-02,3768,3836,3693,3781,412233,37798.0,7932320.0
2012-11-05,3927,4340,3887,4340,1988073,43390.0,7932320.0
2012-11-06,4403,4427,4173,4340,1285321,43390.0,7932320.0
2012-11-07,4443,4451,3895,3896,1621989,38948.0,7932320.0
2012-11-08,3756,3967,3665,3781,1137208,37798.0,7932320.0
2012-11-09,3796,3990,3717,3900,690491,38987.0,7932320.0
2012-11-12,3899,3911,3800,3812,236170,38115.0,7932320.0
2012-11-13,3812,3832,3427,3531,831623,35299.0,7932320.0
2012-11-14,3483,3598,3280,3416,642911,34149.0,7932320.0
2012-11-15,3320,3725,3268,3479,810974,34783.0,7932320.0
2012-11-16,3447,3554,3209,3348,343670,33474.0,7932320.0
2012-11-19,3324,3657,3253,3511,533332,35101.0,7932320.0
2012-11-20,3526,3621,3471,3598,293302,35973.0,7932320.0
2012-11-21,3625,3931,3625,3801,720878,37996.0,7932320.0
2012-11-22,3808,3967,3733,3920,494900,39186.0,7932320.0
2012-11-23,3927,4094,3816,3880,533827,38789.0,7932320.0
2012-11-26,4046,4332,3975,4046,732742,40455.0,7932320.0
2012-11-27,4014,4046,3768,3769,445493,37679.0,7932320.0
2012-11-28,3713,3725,3506,3586,364433,35854.0,7932320.0
2012-11-29,3590,3840,3582,3753,450040,37520.0,7932320.0
2012-11-30,3752,4038,3705,3812,424204,38115.0,7932320.0
2012-12-03,3649,3741,3538,3562,440937,35616.0,7932320.0
2012-12-04,3514,3677,3439,3642,282394,36409.0,7932320.0
2012-12-05,3641,3649,3272,3281,623179,32800.0,7932320.0
2012-12-06,3233,3328,3181,3182,270449,31809.0,7932320.0
2012-12-07,3308,3360,3145,3277,313861,32760.0,7932320.0
2012-12-10,3491,3546,3364,3416,375008,34149.0,7932320.0
2012-12-11,3316,3364,3260,3261,216143,32602.0,7932320.0
2012-12-12,3372,3522,3292,3440,439510,34387.0,7932320.0
2012-12-13,3403,3558,3348,3503,232635,35021.0,7932320.0
2012-12-14,3502,3594,3435,3547,232891,35457.0,7932320.0
2012-12-17,3566,4078,3562,4078,1023802,40772.0,7932320.0
2012-12-18,4165,4197,3943,4150,1514304,41486.0,7932320.0
2012-12-20,3534,3721,3530,3531,2300179,35299.0,7932320.0
2012-12-21,3483,3697,3380,3380,1560770,33792.0,7932320.0
2012-12-24,3380,3411,3268,3352,425331,33514.0,7932320.0
2012-12-26,3340,3455,3340,3440,358572,34387.0,7932320.0
2012-12-27,3427,3475,3395,3451,160194,34506.0,7932320.0
2012-12-28,3574,3776,3546,3598,1146718,35973.0,7932320.0
2013-01-02,3919,3935,3673,3674,812251,36727.0,7932320.0
2013-01-03,3729,3927,3594,3832,595265,38313.0,7932320.0
2013-01-04,4006,4038,3808,3856,671477,38551.0,7932320.0
2013-01-07,3967,4133,3891,3892,1059907,38908.0,7932320.0
2013-01-08,3943,4141,3871,4126,684839,41248.0,7932320.0
2013-01-09,4062,4292,4014,4150,697741,41486.0,7932320.0
2013-01-10,4189,4252,4094,4150,356597,41486.0,7932320.0
2013-01-11,4181,4181,3939,3991,464804,39900.0,7932320.0
2013-01-14,3998,4014,3848,3991,341823,39900.0,7932320.0
2013-01-15,3983,4133,3919,3999,534072,39979.0,7932320.0
2013-01-16,3998,4593,3887,4245,2589942,42438.0,7932320.0
2013-01-17,4221,4268,3967,3967,1081113,39662.0,7932320.0
2013-01-18,4006,4173,3998,4126,494447,41248.0,7932320.0
2013-01-21,4276,4522,4197,4348,2120051,43469.0,7932320.0
2013-01-22,4340,4538,4268,4538,630380,45373.0,7932320.0
2013-01-23,4395,4466,4205,4229,846681,42279.0,7932320.0
2013-01-24,4205,4236,3951,3955,742298,39543.0,7932320.0
2013-01-25,3983,4022,3768,3884,488240,38829.0,7932320.0
2013-01-28,3780,3844,3606,3836,425346,38353.0,7932320.0
2013-01-29,3959,4094,3895,3920,487827,39186.0,7932320.0
2013-01-30,3891,4086,3808,3955,399552,39543.0,7932320.0
2013-01-31,3967,4046,3927,3935,211723,39344.0,7932320.0
2013-02-01,3887,3931,3796,3812,274677,38115.0,7932320.0
2013-02-04,3824,3852,3709,3852,284773,38511.0,7932320.0
2013-02-05,3828,4022,3824,4015,410790,40138.0,7932320.0
2013-02-06,4014,4125,3927,4031,331599,40296.0,7932320.0
2013-02-07,4030,4617,3963,4308,2901815,43072.0,7932320.0
2013-02-08,4371,4720,4284,4364,2980232,43628.0,7932320.0
2013-02-12,4601,4903,4062,4078,3998163,40772.0,7932320.0
2013-02-13,4078,4586,4054,4507,3159455,45056.0,7932320.0
2013-02-14,4435,4506,4332,4443,1118209,44421.0,7932320.0
2013-02-15,4403,4593,4332,4483,1308831,44818.0,7932320.0
2013-02-18,4514,4641,4451,4618,812434,46166.0,7932320.0
2013-02-19,4665,4705,4355,4364,714857,43628.0,7932320.0
2013-02-20,4363,4466,4205,4372,703343,43707.0,7932320.0
2013-02-21,4347,4371,4244,4261,399976,42597.0,7932320.0
2013-02-22,4284,4578,4260,4475,846333,44738.0,7932320.0
2013-02-25,4459,4570,4252,4253,743599,42517.0,7932320.0
2013-02-26,4213,4316,4109,4126,424258,41248.0,7932320.0
2013-02-27,4157,4284,4125,4285,294636,42835.0,7932320.0
2013-02-28,4347,4522,4284,4380,558875,43786.0,7932320.0
2013-03-04,4379,4403,4205,4285,329077,42835.0,7932320.0
2013-03-05,4292,4379,4236,4245,284498,42438.0,7932320.0
2013-03-06,4149,4173,4086,4134,524233,41327.0,7932320.0
2013-03-07,4181,4236,4117,4205,366095,42041.0,7932320.0
2013-03-08,4236,4363,4165,4292,515618,42914.0,7932320.0
2013-03-11,4228,4466,4173,4372,804046,43707.0,7932320.0
2013-03-12,4443,4522,4316,4348,643047,43469.0,7932320.0
2013-03-13,4371,4451,4332,4388,444658,43866.0,7932320.0
2013-03-14,4379,4403,4300,4340,248233,43390.0,7932320.0
2013-03-15,4371,4427,4308,4388,291275,43866.0,7932320.0
2013-03-18,4363,4395,4244,4245,253678,42438.0,7932320.0
2013-03-19,4252,4347,4236,4269,210653,42676.0,7932320.0
2013-03-20,4443,4514,4308,4356,973339,43548.0,7932320.0
2013-03-21,4340,4459,4332,4348,289930,43469.0,7932320.0
2013-03-22,4332,4538,4332,4507,573135,45056.0,7932320.0
2013-03-25,4514,4633,4443,4459,424962,44580.0,7932320.0
2013-03-26,4443,4617,4427,4562,384386,45611.0,7932320.0
2013-03-27,4498,5244,4451,5245,2253042,52433.0,7932320.0
2013-03-28,5220,5474,5062,5324,2477089,53226.0,7932320.0
2013-03-29,5268,5403,5196,5197,758967,51957.0,7932320.0
2013-04-01,5196,5323,5093,5213,598031,52115.0,7932320.0
2013-04-02,5284,5792,5181,5364,2977285,53622.0,7932320.0
2013-04-03,5427,5458,5133,5276,959164,52750.0,7932320.0
2013-04-04,5189,5228,4784,4999,1248235,49974.0,7932320.0
2013-04-05,5062,5490,5014,5340,1986135,53385.0,7932320.0
2013-04-08,5339,6014,5196,5729,3260043,57271.0,7932320.0
2013-04-09,5363,5704,5331,5332,1973904,53305.0,7932320.0
2013-04-10,5538,5926,5514,5911,2503754,59096.0,7932320.0
2013-04-11,5831,6093,5768,5911,1877891,59096.0,7932320.0
2013-04-12,6490,6688,6156,6427,3341156,64252.0,7932320.0
2013-04-15,6236,6514,6156,6276,1902487,62745.0,7932320.0
2013-04-16,6260,6410,6180,6339,777834,63379.0,7932320.0
2013-04-17,6180,6299,5911,5959,1159650,59572.0,7932320.0
2013-04-18,5887,6045,5530,5562,899168,55606.0,7932320.0
2013-04-19,5601,5673,5339,5451,917716,54495.0,7932320.0
2013-04-22,5553,5720,5530,5657,678791,56557.0,7932320.0
2013-04-23,5601,5911,5593,5871,753598,58699.0,7932320.0
2013-04-24,5926,6022,5815,5832,476611,58303.0,7932320.0
2013-04-25,5887,6212,5673,5673,1850235,56716.0,7932320.0
2013-04-26,5641,5974,5474,5546,1130478,55447.0,7932320.0
2013-04-29,5434,5482,5268,5332,683124,53305.0,7932320.0
2013-04-30,5395,5712,5387,5475,1198049,54733.0,7932320.0
2013-05-02,5657,5728,5530,5617,604277,56161.0,7932320.0
2013-05-03,5609,5768,5474,5689,797948,56875.0,7932320.0
2013-05-06,5601,5617,5403,5459,413140,54574.0,7932320.0
2013-05-07,5514,5903,5387,5602,1551587,56002.0,7932320.0
2013-05-08,5538,5641,5498,5498,338560,54971.0,7932320.0
2013-05-09,5577,5728,5395,5395,548493,53940.0,7932320.0
2013-05-10,5458,5458,5276,5308,281985,53067.0,7932320.0
2013-05-13,5308,5379,5220,5340,164622,53385.0,7932320.0
2013-05-14,5315,5792,5315,5713,1690348,57113.0,7932320.0
2013-05-15,5696,5752,5553,5673,655766,56716.0,7932320.0
2013-05-16,5482,5585,5300,5372,738113,53702.0,7932320.0
2013-05-20,5292,5514,5260,5483,366161,54812.0,7932320.0
2013-05-21,5450,5561,5434,5530,290817,55288.0,7932320.0
2013-05-22,5553,5776,5522,5633,1092855,56319.0,7932320.0
2013-05-23,5665,6474,5641,6474,4085301,64728.0,7932320.0
2013-05-24,6418,6569,6196,6570,2464646,65680.0,7932320.0
2013-05-27,6371,6442,5966,5975,1298395,59730.0,7932320.0
2013-05-28,5958,6680,5903,6466,4263988,64648.0,7932320.0
2013-05-29,6387,6744,6260,6308,2138966,63062.0,7932320.0
2013-05-30,6307,6379,6077,6181,736017,61793.0,7932320.0
2013-05-31,6180,6498,6149,6474,1008108,64728.0,7932320.0
2013-06-03,6379,6434,5863,6078,740561,60762.0,7932320.0
2013-06-04,6069,6141,5950,5967,321727,59651.0,7932320.0
2013-06-05,5887,5903,5196,5276,675863,52750.0,7932320.0
2013-06-07,6061,6061,6061,6062,89827,60603.0,7932320.0
2013-06-10,6664,6886,6521,6681,2096657,66790.0,7932320.0
2013-06-11,6426,6498,6156,6379,1215819,63776.0,7932320.0
2013-06-12,5641,5815,5458,5475,1131525,54733.0,7932320.0
2013-06-13,5355,5546,5276,5475,586379,54733.0,7932320.0
2013-06-14,5442,5768,5442,5673,918835,56716.0,7932320.0
2013-06-17,5799,6006,5609,5610,1181158,56082.0,7932320.0
2013-06-18,5490,5649,5427,5633,413812,56319.0,7932320.0
2013-06-19,5633,5680,5450,5451,426941,54495.0,7932320.0
2013-06-20,5403,5569,5284,5475,356591,54733.0,7932320.0
2013-06-21,5395,5792,5395,5649,810995,56478.0,7932320.0
2013-06-24,5482,5585,5434,5435,249938,54336.0,7932320.0
2013-06-25,5308,5379,4625,4768,860912,47673.0,7932320.0
2013-06-26,4768,5085,4673,5022,1086420,50212.0,7932320.0
2013-06-27,5022,5149,4911,4975,732223,49736.0,7932320.0
2013-06-28,5038,5062,4911,4983,349940,49815.0,7932320.0
2013-07-01,4982,5046,4958,4959,165033,49577.0,7932320.0
2013-07-02,4919,4958,4800,4808,267628,48070.0,7932320.0
2013-07-03,4792,4855,4570,4570,295564,45690.0,7932320.0
2013-07-04,5141,5252,4990,5252,1221519,52512.0,7932320.0
2013-07-05,5379,5665,5315,5435,1756705,54336.0,7932320.0
2013-07-08,5807,5871,5300,5324,853981,53226.0,7932320.0
2013-07-09,5268,5863,5077,5697,1222962,56954.0,7932320.0
2013-07-10,5593,5831,5276,5514,1098535,55130.0,7932320.0
2013-07-11,5673,5712,5466,5498,655054,54971.0,7932320.0
2013-07-12,5339,5514,5308,5443,450387,54416.0,7932320.0
2013-07-15,5490,5577,5315,5348,429817,53464.0,7932320.0
2013-07-16,5284,5522,5276,5498,396710,54971.0,7932320.0
2013-07-17,5498,5641,5355,5459,580194,54574.0,7932320.0
2013-07-18,5347,5379,5308,5316,272295,53147.0,7932320.0
2013-07-19,5347,5569,5315,5570,347019,55685.0,7932320.0
2013-07-22,5514,5799,5395,5514,1500059,55130.0,7932320.0
2013-07-23,5569,5665,5506,5665,528255,56637.0,7932320.0
2013-07-24,5641,5823,5609,5736,674206,57351.0,7932320.0
2013-07-25,5776,5792,5292,5411,848942,54098.0,7932320.0
2013-07-26,4911,4982,4792,4888,1036562,48863.0,7932320.0
2013-07-29,5006,5212,4966,5014,937153,50132.0,7932320.0
2013-07-30,4958,5109,4919,4999,294667,49974.0,7932320.0
2013-07-31,4950,5133,4943,5030,291077,50291.0,7932320.0
2013-08-01,5038,5125,4950,5007,256402,50053.0,7932320.0
2013-08-02,5046,5133,4998,5133,250737,51322.0,7932320.0
2013-08-05,5062,5077,4966,5007,303500,50053.0,7932320.0
2013-08-06,4974,5054,4935,5038,211202,50370.0,7932320.0
2013-08-07,4974,5022,4720,4800,299306,47991.0,7932320.0
2013-08-08,5514,5514,5514,5514,161843,55130.0,7932320.0
2013-08-09,5474,5784,5308,5427,1899357,54257.0,7932320.0
2013-08-12,5466,5538,5347,5443,493828,54416.0,7932320.0
2013-08-13,5442,5728,5371,5514,1475403,55130.0,7932320.0
2013-08-14,5482,5577,5014,5356,922844,53543.0,7932320.0
2013-08-16,5514,5553,4816,4903,1183935,49022.0,7932320.0
2013-08-19,4998,5006,4601,4665,770267,46642.0,7932320.0
2013-08-20,4641,4705,4324,4324,418084,43231.0,7932320.0
2013-08-21,4355,4435,4236,4308,389284,43072.0,7932320.0
2013-08-22,4252,4554,4086,4245,599847,42438.0,7932320.0
2013-08-23,4244,4355,4244,4324,221779,43231.0,7932320.0
2013-08-26,4395,4395,4244,4253,229917,42517.0,7932320.0
2013-08-27,4284,4451,4197,4205,222215,42041.0,7932320.0
2013-08-28,4125,4157,3975,3991,238919,39900.0,7932320.0
2013-08-29,4022,4125,4006,4046,163931,40455.0,7932320.0
2013-08-30,4086,4125,4014,4046,132104,40455.0,7932320.0
2013-09-02,4070,4332,4062,4189,277318,41883.0,7932320.0
2013-09-03,4157,4213,4125,4150,144964,41486.0,7932320.0
2013-09-04,4165,4300,4141,4253,168895,42517.0,7932320.0
2013-09-05,4276,4300,4197,4221,101197,42200.0,7932320.0
2013-09-06,4284,4395,4165,4165,310853,41645.0,7932320.0
2013-09-09,4244,4244,4078,4086,164229,40851.0,7932320.0
2013-09-10,4141,4221,4070,4078,155825,40772.0,7932320.0
2013-09-11,4189,4221,4086,4181,226265,41803.0,7932320.0
2013-09-12,4165,4189,4006,4046,139331,40455.0,7932320.0
2013-09-13,4014,4117,4006,4015,111676,40138.0,7932320.0
2013-09-16,4070,4102,3975,3983,108161,39820.0,7932320.0
2013-09-17,4030,4030,3927,3927,97117,39265.0,7932320.0
2013-09-23,3824,3824,3689,3705,198095,37044.0,7932320.0
2013-09-24,3649,3744,3649,3709,95575,37084.0,7932320.0
2013-09-25,3697,3729,3673,3701,78280,37004.0,7932320.0
2013-09-26,3685,3832,3673,3745,148718,37441.0,7932320.0
2013-09-27,3748,3931,3748,3880,231062,38789.0,7932320.0
2013-09-30,3856,3903,3744,3761,142162,37599.0,7932320.0
2013-10-01,3729,3800,3633,3701,119868,37004.0,7932320.0
2013-10-02,3701,3776,3677,3697,108869,36965.0,7932320.0
2013-10-04,3685,3697,3586,3658,90208,36568.0,7932320.0
2013-10-07,3586,3681,3566,3586,67283,35854.0,7932320.0
2013-10-08,3578,3602,3491,3519,86057,35180.0,7932320.0
2013-10-10,3526,3542,3447,3483,78763,34823.0,7932320.0
2013-10-11,3491,3510,3455,3483,96662,34823.0,7932320.0
2013-10-14,3451,3487,3411,3424,92508,34228.0,7932320.0
2013-10-15,3411,3467,3372,3392,89801,33911.0,7932320.0
2013-10-16,3360,3554,3360,3400,411300,33990.0,7932320.0
2013-10-17,3391,3427,3272,3277,163708,32760.0,7932320.0
2013-10-18,3260,3324,3237,3269,101958,32681.0,7932320.0
2013-10-21,3276,3316,3260,3281,64221,32800.0,7932320.0
