아모그린텍(125210),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-05-15,10650,10950,10350,10750,1122288,177340.0,16496790.0
2019-05-16,10600,10650,10200,10250,648248,169092.0,16496790.0
2019-05-17,10750,11300,10550,10700,1428859,176516.0,16496790.0
2019-05-20,11150,11150,10650,10900,657300,179815.0,16496790.0
2019-05-21,10700,11150,10200,11050,835159,182290.0,16496790.0
2019-05-22,11300,11450,10850,11350,1090233,187239.0,16496790.0
2019-05-23,11300,13250,11150,12250,5254483,202086.0,16496790.0
2019-05-24,12050,12750,11800,12450,1965787,205385.0,16496790.0
2019-05-27,12450,12850,12250,12750,1195608,210334.0,16496790.0
2019-05-28,13100,13450,12700,12850,1075571,211984.0,16496790.0
2019-05-29,12550,13200,12150,13000,1189928,214458.0,16496790.0
2019-05-30,12950,13100,12450,12500,547435,206210.0,16496790.0
2019-05-31,12500,12850,12250,12500,367893,206210.0,16496790.0
2019-06-03,12550,13050,12350,12500,508636,206210.0,16496790.0
2019-06-04,12750,12950,12500,12600,405809,207860.0,16496790.0
2019-06-05,12850,13350,12600,13300,927402,219407.0,16496790.0
2019-06-07,13250,13350,12900,13300,538963,219407.0,16496790.0
2019-06-10,13650,13800,13250,13350,669506,220232.0,16496790.0
2019-06-11,13700,13900,12700,12700,701721,209509.0,16496790.0
2019-06-12,12800,12950,12250,12450,685894,205385.0,16496790.0
2019-06-13,12450,12750,12450,12600,323214,207860.0,16496790.0
2019-06-14,12650,13200,12600,13050,446544,215283.0,16496790.0
2019-06-17,13050,13150,11750,12050,935752,198786.0,16496790.0
2019-06-18,12200,12350,11350,11700,598273,193012.0,16496790.0
2019-06-19,11850,11900,11500,11650,260244,192188.0,16496790.0
2019-06-20,11700,12250,11650,12200,277439,201261.0,16496790.0
2019-06-21,12300,12350,11800,12000,200360,197961.0,16496790.0
2019-06-24,11950,11950,11350,11500,222595,189713.0,16496790.0
2019-06-25,11500,11650,10450,10650,673214,175691.0,16496790.0
2019-06-26,10700,11200,10200,10950,506256,180640.0,16496790.0
2019-06-27,11000,11500,10850,11300,354402,186414.0,16496790.0
2019-06-28,11400,11600,11000,11500,208319,189713.0,16496790.0
2019-07-01,11600,11800,11050,11200,139876,184764.0,16496790.0
2019-07-02,11100,11100,10450,10850,310459,178990.0,16496790.0
2019-07-03,10900,11000,10450,10900,212879,179815.0,16496790.0
2019-07-04,10850,10850,10000,10200,393767,168267.0,16496790.0
2019-07-05,10150,10400,9680,10350,548147,170742.0,16496790.0
2019-07-08,10400,10400,9800,9800,198019,161669.0,16496790.0
2019-07-09,9940,10200,9100,9900,217908,163318.0,16496790.0
2019-07-10,9930,10550,9930,10450,376905,172391.0,16496790.0
2019-07-11,10550,10600,10100,10300,176528,169917.0,16496790.0
2019-07-12,10400,10500,10150,10450,138266,172391.0,16496790.0
2019-07-15,10550,10550,10050,10050,133293,165793.0,16496790.0
2019-07-16,10100,10550,9990,10150,163227,167442.0,16496790.0
2019-07-17,10350,10550,10100,10450,142760,172391.0,16496790.0
2019-07-18,10450,10500,10150,10250,90378,169092.0,16496790.0
2019-07-19,10250,10900,10250,10800,238466,178165.0,16496790.0
2019-07-22,10800,10950,10600,10800,108295,178165.0,16496790.0
2019-07-23,10950,11200,10750,10900,256524,179815.0,16496790.0
2019-07-24,11000,11250,10550,10600,230218,174866.0,16496790.0
2019-07-25,10850,11050,10600,10900,142204,179815.0,16496790.0
2019-07-26,10900,11300,10500,10700,294346,176516.0,16496790.0
2019-07-29,10650,10750,9920,9920,287636,163648.0,16496790.0
2019-07-30,10000,10350,9940,10150,119480,167442.0,16496790.0
2019-07-31,10200,10250,9190,10150,191147,167442.0,16496790.0
2019-08-01,10200,10250,9800,9930,97780,163813.0,16496790.0
2019-08-02,9930,10000,9200,9660,199988,159359.0,16496790.0
2019-08-05,9480,9670,8160,8170,490981,134779.0,16496790.0
2019-08-06,7950,8140,7510,7580,303986,125046.0,16496790.0
2019-08-07,7580,8710,7580,8310,287837,137088.0,16496790.0
2019-08-08,8330,8780,8090,8570,160006,141377.0,16496790.0
2019-08-09,8610,8740,8500,8500,109391,140223.0,16496790.0
2019-08-12,8500,8640,8250,8400,67988,138573.0,16496790.0
2019-08-13,8390,9070,8290,8790,158237,145007.0,16496790.0
2019-08-14,8910,9030,8760,8850,92115,145997.0,16496790.0
2019-08-16,8660,8890,8540,8770,65903,144677.0,16496790.0
2019-08-19,8820,8870,8530,8650,72543,142697.0,16496790.0
2019-08-20,8680,8960,8630,8910,100169,146986.0,16496790.0
2019-08-21,8900,8990,8760,8970,68796,147976.0,16496790.0
2019-08-22,9000,9060,8740,8740,68553,144182.0,16496790.0
2019-08-23,8700,8710,8500,8570,58314,141377.0,16496790.0
2019-08-26,8240,8390,8110,8150,92794,134449.0,16496790.0
2019-08-27,8380,8530,8200,8340,79906,137583.0,16496790.0
2019-08-28,8530,8680,8370,8670,52501,143027.0,16496790.0
2019-08-29,8610,8670,8390,8470,42219,139728.0,16496790.0
2019-08-30,8670,8690,8560,8590,31565,141707.0,16496790.0
2019-09-02,8590,8880,8300,8880,82954,146491.0,16496790.0
2019-09-03,8910,8980,8800,8880,41215,146491.0,16496790.0
2019-09-04,8890,8890,8700,8890,49046,146656.0,16496790.0
2019-09-05,8970,9580,8870,9520,159723,157049.0,16496790.0
2019-09-06,9540,9540,9230,9270,80531,152925.0,16496790.0
2019-09-09,9480,9480,8970,9010,47926,148636.0,16496790.0
2019-09-10,8910,9090,8810,9070,36374,149626.0,16496790.0
2019-09-11,9110,9300,9000,9160,39421,151111.0,16496790.0
2019-09-16,9150,9380,9050,9320,58965,153750.0,16496790.0
2019-09-17,9210,9380,9160,9360,45945,154410.0,16496790.0
2019-09-18,9340,9400,9220,9280,35081,153090.0,16496790.0
2019-09-19,9280,9380,9260,9290,30923,153255.0,16496790.0
2019-09-20,9390,9390,9220,9250,35389,152595.0,16496790.0
2019-09-23,9310,9310,9050,9060,29925,149461.0,16496790.0
2019-09-24,9020,9200,9000,9060,38586,149461.0,16496790.0
2019-09-25,8950,9150,8900,9040,42195,149131.0,16496790.0
2019-09-26,9040,9230,9030,9100,49327,150121.0,16496790.0
2019-09-27,9120,9170,9020,9160,36996,151111.0,16496790.0
2019-09-30,9230,9230,8580,8980,131128,148141.0,16496790.0
2019-10-01,9000,9000,8820,8850,49255,145997.0,16496790.0
2019-10-02,8890,8890,8490,8620,87102,142202.0,16496790.0
2019-10-04,8530,8620,8280,8280,110416,136593.0,16496790.0
2019-10-07,8280,8370,7950,8170,84061,134779.0,16496790.0
