한국유니온제약(080720),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-09-17,12350,12900,12350,12750,35305,75273.0,5903728.0
2019-09-18,12800,12800,12500,12650,24386,74682.0,5903728.0
2019-09-19,12750,12750,12350,12600,13564,74387.0,5903728.0
2019-09-20,12700,12700,12450,12600,10570,74387.0,5903728.0
2019-09-23,12500,12500,12250,12400,18512,73206.0,5903728.0
2019-09-24,12150,12550,12150,12500,18250,73797.0,5903728.0
2019-09-25,12400,12500,11850,12200,17492,72025.0,5903728.0
2019-09-26,12200,12400,12100,12250,18458,72321.0,5903728.0
2019-09-27,12050,12200,11950,12050,12551,71140.0,5903728.0
2019-09-30,12150,12450,12050,12200,28435,,
2019-10-01,12200,12600,12150,12550,47053,,
2019-10-02,12550,13100,12400,12900,43680,,
2019-10-04,12800,12900,12350,12400,37871,,
2019-10-07,12400,13100,12400,12800,66472,,
