엑세스바이오(950130),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-01-23,9250,9300,8990,9060,345308,,
2014-01-24,9040,9090,8900,9000,168732,,
2014-01-27,8790,8790,8350,8700,270571,,
2014-01-28,8780,9110,8660,8990,345295,,
2014-01-29,9050,9280,9040,9280,210264,,
2014-02-03,9190,9330,9170,9280,121166,,
2014-02-04,9100,9250,8950,9180,222297,,
2014-02-05,9290,9610,9250,9410,397207,,
2014-02-06,9510,9750,9500,9630,490409,,
2014-02-07,9750,9880,9600,9770,440212,,
2014-02-10,9800,9830,9580,9680,236357,,
2014-02-11,9680,9980,9490,9770,405455,,
2014-02-12,9850,9880,9330,9600,253699,,
2014-02-13,9540,9870,9540,9690,280914,,
2014-02-14,9690,9830,9620,9750,158701,,
2014-02-17,9830,9950,9750,9790,201421,,
2014-02-18,9800,9940,9620,9750,166839,,
2014-02-19,9750,9880,9660,9770,107126,,
2014-02-20,9770,9810,9540,9730,197510,,
2014-02-21,9660,9820,9480,9790,240799,,
2014-02-24,9860,10900,9830,10400,1973962,,
2014-02-25,10500,10800,10400,10750,747691,,
2014-02-26,10950,11400,10850,11200,1228145,,
2014-02-27,11200,11350,10850,11350,845519,,
2014-02-28,11150,11200,10800,10850,877129,,
2014-03-03,10850,11100,10650,11100,504118,,
2014-03-04,10900,11300,10900,11200,568427,,
2014-03-05,11250,11300,10850,11100,437930,,
2014-03-06,11100,11300,10750,11300,620893,,
2014-03-07,11300,11750,11150,11500,729788,,
2014-03-10,11500,11550,11200,11300,275702,,
2014-03-11,11350,11450,11100,11300,220036,,
2014-03-12,11300,11300,10900,11200,360295,,
2014-03-13,11250,11950,11250,11900,1015125,,
2014-03-14,11900,12300,11750,11750,913288,,
2014-03-17,11650,11800,10200,10750,1247690,,
2014-03-18,10900,11150,10550,11150,629237,,
2014-03-19,11200,11250,10800,11250,378713,,
2014-03-20,11050,11350,10900,11350,312212,,
2014-03-21,11350,11950,11200,11800,497491,,
2014-03-24,12100,12350,11400,11750,773384,,
2014-03-25,11600,11950,10950,11300,705220,,
2014-03-26,11250,11550,11100,11450,258380,,
2014-03-27,11350,11500,11000,11200,259231,,
2014-03-28,11350,11400,10700,11250,530191,,
2014-03-31,11200,11250,10700,10700,447549,,
2014-04-01,10750,11000,10700,10750,260910,,
2014-04-02,10850,11250,10750,11150,457244,,
2014-04-03,11250,11250,10900,10900,333397,,
2014-04-04,11000,11050,10750,10850,329570,,
2014-04-07,10700,10750,10100,10300,751088,,
2014-04-08,10300,10600,9990,10550,632374,,
2014-04-09,10550,10600,10250,10250,390988,,
2014-04-10,10600,11100,10600,11050,1026651,,
2014-04-11,10650,10950,10550,10850,784542,,
2014-04-14,10850,11250,10750,11100,622078,,
2014-04-15,11150,11200,10850,10850,332750,,
2014-04-16,11100,11450,11050,11050,1192670,,
2014-04-17,11200,11300,10750,11300,811355,,
2014-04-18,11250,11400,11050,11250,334651,,
2014-04-21,11250,11250,10950,11250,277834,,
2014-04-22,11300,11500,11050,11350,352096,,
2014-04-23,11400,11550,11250,11250,420335,,
2014-04-24,11350,11350,10800,11100,431736,,
2014-04-25,11050,11150,10800,11100,231116,,
2014-04-28,11050,11350,10950,11350,344652,,
2014-04-29,11350,11450,11050,11250,438857,,
2014-04-30,11250,11400,10950,11000,383417,,
2014-05-02,11050,11100,10550,10600,428478,,
2014-05-07,10650,10650,10350,10400,248585,,
2014-05-08,10550,10800,10450,10700,354376,,
2014-05-09,10700,10950,10550,10900,306748,,
2014-05-12,11000,11100,10750,10800,214461,,
2014-05-13,10850,10850,10450,10450,358591,,
2014-05-14,10650,10750,10350,10600,265932,,
2014-05-15,10650,11000,10550,10700,317049,,
2014-05-16,10650,10700,10400,10500,282028,,
2014-05-19,10600,11350,10500,11350,965807,,
2014-05-20,11550,11550,11150,11400,802400,,
2014-05-21,11500,11950,11450,11750,1326980,,
2014-05-22,11850,11900,11600,11750,623314,,
2014-05-23,11900,11950,11650,11850,672244,,
2014-05-26,11850,12150,11700,12000,978082,,
2014-05-27,12100,12450,11900,11900,1326313,,
2014-05-28,11900,12300,11600,12150,1382681,,
2014-05-29,12050,12800,11850,12600,980560,,
2014-05-30,12500,12800,12300,12550,661216,,
2014-06-02,12600,12750,12300,12700,690890,,
2014-06-03,12850,12950,11950,12100,920999,,
2014-06-05,12200,12200,11800,12000,531289,,
2014-06-09,12150,12300,11900,12250,498436,,
2014-06-10,12200,12350,12000,12150,352542,,
2014-06-11,12200,12200,11800,11800,559235,,
2014-06-12,11750,11900,11350,11850,968098,,
2014-06-13,11900,12250,11850,11900,803996,,
2014-06-16,11750,11900,11500,11750,330409,,
2014-06-17,11650,11800,11550,11800,282405,,
2014-06-18,11750,12200,11700,11750,632019,,
2014-06-19,11850,11850,11400,11600,428786,,
2014-06-20,11700,12150,11700,12050,683933,,
2014-06-23,12150,12300,11750,11750,791159,,
2014-06-24,11700,11700,11050,11150,930589,,
2014-06-25,11200,11400,10850,11000,569928,,
2014-06-26,11050,11250,10900,11050,484724,,
2014-06-27,11000,11300,10750,11300,834133,,
2014-06-30,11350,11800,11250,11700,767701,,
2014-07-01,11750,12000,11600,11900,407559,,
2014-07-02,11950,12000,11750,11850,359850,,
2014-07-03,11850,12400,11800,12400,781598,,
2014-07-04,12400,12500,12150,12400,452106,,
2014-07-07,12400,12650,12200,12250,485794,,
2014-07-08,12300,12700,12100,12650,589539,,
2014-07-09,12600,12900,12550,12700,455334,,
2014-07-10,12800,13100,12250,12500,763160,,
2014-07-11,12450,13000,12300,12900,635034,,
2014-07-14,13100,13700,13000,13400,1069706,,
2014-07-15,13450,13500,13050,13050,470161,,
2014-07-16,13000,13000,12400,12650,650347,,
2014-07-17,12700,12950,12650,12800,361459,,
2014-07-18,12550,12850,12500,12600,386420,,
2014-07-21,13000,13400,12800,13000,947540,,
2014-07-22,13050,13350,12850,13300,641123,,
2014-07-23,13350,13650,13150,13250,656708,,
2014-07-24,13350,13700,13200,13700,1002859,,
2014-07-25,13700,13700,13100,13250,600241,,
2014-07-28,13100,13100,12100,12600,1213215,,
2014-07-29,12700,12800,12050,12650,672443,,
2014-07-30,12750,12950,12500,12550,499957,,
2014-07-31,12550,12800,12150,12700,382840,,
2014-08-01,12450,12700,12400,12550,152661,,
2014-08-04,12550,12550,11850,12000,651867,,
2014-08-05,12050,12200,11800,11900,425167,,
2014-08-06,11900,12100,11650,12000,349059,,
2014-08-07,11950,12450,11850,11950,511460,,
2014-08-08,12050,12250,11700,11750,479042,,
2014-08-11,11850,12250,11750,12150,362339,,
2014-08-12,12250,12950,12250,12850,835243,,
2014-08-13,12900,13000,12750,12900,422170,,
2014-08-14,12950,12950,12500,12800,581120,,
2014-08-18,12850,12850,12350,12450,368416,,
2014-08-19,12450,12600,12200,12350,447654,,
2014-08-20,12350,12500,12050,12200,302348,,
2014-08-21,12250,12450,12200,12200,261738,,
2014-08-22,12300,12650,12250,12600,383199,,
2014-08-25,12500,12500,11350,11700,912440,,
2014-08-26,11950,12100,11900,12000,389119,,
2014-08-27,12100,12100,11300,11400,620161,,
2014-08-28,11350,11700,11050,11500,649565,,
2014-08-29,11500,11700,11350,11600,204294,,
2014-09-01,11650,11850,11500,11600,134943,,
2014-09-02,11550,11650,11100,11200,263447,,
2014-09-03,11200,11450,10600,10650,586756,,
2014-09-04,10700,11050,10450,11000,702894,,
2014-09-05,11100,11700,11000,11500,411554,,
2014-09-11,11850,12150,11650,11850,411857,,
2014-09-12,11850,12050,11650,11900,226626,,
2014-09-15,11900,12400,11700,12300,333853,,
2014-09-16,12400,12500,12100,12250,292536,,
2014-09-17,12450,12650,12250,12450,235464,,
2014-09-18,12550,12550,12000,12050,206690,,
2014-09-19,11950,12100,11800,12000,226721,,
2014-09-22,12000,12350,11900,11900,173112,,
2014-09-23,11900,12000,11550,11650,235563,,
2014-09-24,11650,12500,11650,12400,480588,,
2014-09-25,12550,12700,12350,12700,459743,,
2014-09-26,12650,12750,12500,12550,269299,,
2014-09-29,12600,12850,12500,12700,324606,,
2014-09-30,12700,12950,12600,12950,319387,,
2014-10-01,12900,13000,12550,12800,291094,,
2014-10-02,12650,12900,12300,12900,340049,,
2014-10-06,12950,13100,12600,12900,384524,,
2014-10-07,12900,12950,12600,12850,218269,,
2014-10-08,12650,12800,12300,12300,281346,,
2014-10-10,12200,12200,11450,11900,463104,,
2014-10-13,11850,11950,11400,11500,185700,,
2014-10-14,11500,12150,11350,12150,205984,,
2014-10-15,12050,12450,11750,12050,251706,,
2014-10-16,12000,12750,11700,12650,377771,,
2014-10-17,12800,13900,12700,13900,2110709,,
2014-10-20,14150,14600,14000,14400,2011935,,
2014-10-21,14300,14600,13950,14600,1056630,,
2014-10-22,14750,15200,14500,15150,1023610,,
2014-10-23,15300,15800,15000,15300,877264,,
2014-10-24,15550,15800,15100,15150,658317,,
2014-10-27,15300,15650,15050,15100,435750,,
2014-10-28,15150,15250,14450,14750,875918,,
2014-10-29,14750,14900,14200,14750,914374,,
2014-10-30,14550,14800,14150,14600,426022,,
2014-10-31,14650,15350,14400,14800,800866,,
2014-11-03,14800,14850,14250,14700,485333,,
2014-11-04,14550,14600,14200,14400,579628,,
2014-11-05,14250,14500,13300,13350,963520,,
2014-11-06,13550,13650,12950,13250,868155,,
2014-11-07,13250,13450,12900,13400,546187,,
2014-11-10,13300,13350,12550,12700,822267,,
2014-11-11,12600,12900,12550,12850,465859,,
2014-11-12,12750,12850,12100,12350,658127,,
2014-11-13,12300,12450,12000,12050,489503,,
2014-11-14,12200,12300,11650,11650,623324,,
2014-11-17,11650,12050,11400,11950,769429,,
2014-11-18,11850,12100,11500,12050,610291,,
2014-11-19,12100,12350,11500,11550,718915,,
2014-11-20,11650,11950,11600,11650,419972,,
2014-11-21,11700,11800,10800,11150,1080812,,
2014-11-24,11250,11250,10700,10950,698478,,
2014-11-25,11000,11300,10800,11050,540533,,
2014-11-26,11100,11700,10950,11550,1002749,,
2014-11-27,11750,11900,11600,11700,524874,,
2014-11-28,11800,11950,11500,11750,284334,,
2014-12-01,11650,11800,11500,11600,200631,,
2014-12-02,11450,11600,11050,11100,386593,,
2014-12-03,11100,11500,10950,11350,273964,,
2014-12-04,11400,12100,11300,11900,712699,,
2014-12-05,11800,12050,11750,11900,376800,,
2014-12-08,11850,11950,11300,11350,381938,,
2014-12-09,11450,11600,11300,11400,279066,,
2014-12-10,11350,11550,11150,11200,228877,,
2014-12-11,11150,11300,10600,10700,390282,,
2014-12-12,10750,10800,10000,10650,473003,,
2014-12-15,10400,10500,10100,10200,371196,,
2014-12-16,10100,10350,9690,9720,569192,,
2014-12-17,9720,10100,9700,9930,469517,,
2014-12-18,10100,10700,9970,10650,618336,,
2014-12-19,10800,10950,10550,10750,314596,,
2014-12-22,10850,11050,10600,10900,331885,,
2014-12-23,10800,10850,10300,10450,311351,,
2014-12-24,10450,10450,10150,10300,226025,,
2014-12-26,10400,10900,10300,10850,299550,,
2014-12-29,10900,11250,10850,11200,271344,,
2014-12-30,11100,11350,11000,11300,198837,,
2015-01-02,11300,11400,11100,11250,115773,,
2015-01-05,11200,11700,11150,11650,403407,,
2015-01-06,11700,11950,11550,11850,543132,,
2015-01-07,11850,12000,11600,12000,286535,,
2015-01-08,12000,12250,11850,12150,413622,,
2015-01-09,12250,12600,12150,12200,708767,,
2015-01-12,12100,12250,11700,11900,416093,,
2015-01-13,11800,11900,11350,11500,486851,,
2015-01-14,11500,11750,11250,11550,335984,,
2015-01-15,11650,12050,11600,12000,477489,,
2015-01-16,11900,12000,11650,11700,220907,,
2015-01-19,11700,11750,11000,11500,716472,,
2015-01-20,11500,11500,11200,11400,195781,,
2015-01-21,11500,11900,11300,11550,446168,,
2015-01-22,11650,13150,11600,12700,2879970,,
2015-01-23,13150,13450,12800,12900,1710009,,
2015-01-26,12900,13300,12700,13200,914580,,
2015-01-27,13550,13650,13050,13100,1049327,,
2015-01-28,12800,13500,12650,13450,718624,,
2015-01-29,13400,13550,13150,13300,569922,,
2015-01-30,13500,13500,12950,12950,589792,,
2015-02-02,12950,13500,12750,13350,696966,,
2015-02-03,13700,14100,13500,13600,1208982,,
2015-02-04,13650,13850,13400,13600,409070,,
2015-02-05,13600,13800,13400,13700,368677,,
2015-02-06,13700,14050,13200,13200,592646,,
2015-02-09,13200,13400,12650,12800,531773,,
2015-02-10,12850,13150,12600,12700,328492,,
2015-02-11,12800,13300,12750,13200,450294,,
2015-02-12,13400,13750,13050,13050,1626752,,
2015-02-13,13400,13800,13000,13750,857367,,
2015-02-16,13750,13900,13350,13450,589530,,
2015-02-17,13350,13350,12400,12500,966481,,
2015-02-23,12450,13050,12400,13000,576532,,
2015-02-24,13000,13000,12600,12600,310312,,
2015-02-25,12700,12800,12000,12100,804829,,
2015-02-26,12100,12350,12000,12150,294185,,
2015-02-27,12100,12300,12000,12000,381929,,
2015-03-02,11650,12250,11600,12150,612562,,
2015-03-03,12300,12850,12150,12250,595651,,
2015-03-04,12350,12600,12200,12300,280359,,
2015-03-05,12200,12350,12050,12300,189444,,
2015-03-06,12300,12500,12100,12200,203504,,
2015-03-09,12200,12200,11350,11500,495842,,
2015-03-10,11750,11950,11450,11600,273323,,
2015-03-11,11350,11550,11100,11400,247045,,
2015-03-12,11550,11700,11250,11500,256865,,
2015-03-13,11650,13200,11650,13200,1903709,,
2015-03-16,13650,13800,13100,13250,1411902,,
2015-03-17,13350,13400,12750,13100,633719,,
2015-03-18,13050,13350,12550,12550,796295,,
2015-03-19,12750,12850,12300,12850,482725,,
2015-03-20,12750,13250,12650,13000,465419,,
2015-03-23,13050,13350,12950,13200,609102,,
2015-03-24,13300,13550,12800,12850,518462,,
2015-03-25,13000,13500,12800,13500,610589,,
2015-03-26,13250,13500,13000,13350,663080,,
2015-03-27,13300,13350,12650,12900,534330,,
2015-03-30,12800,13100,12650,12850,265317,,
2015-03-31,12900,12950,12200,12300,481469,,
2015-04-01,12300,12500,12100,12100,378932,,
2015-04-02,12100,12500,12000,12350,383156,,
2015-04-03,12400,12900,12200,12900,550132,,
2015-04-06,12900,12900,12550,12800,311972,,
2015-04-07,12950,13200,12650,12700,440587,,
2015-04-08,12850,13250,12850,13100,461123,,
2015-04-09,13200,13400,12900,13000,500537,,
2015-04-10,13150,13350,12550,12600,652486,,
2015-04-13,12600,12850,12400,12500,521670,,
2015-04-14,12450,12600,11850,12000,727482,,
2015-04-15,12000,12400,12000,12300,349915,,
2015-04-16,12250,12300,11800,11950,518014,,
2015-04-17,12000,12400,11800,12300,451240,,
2015-04-20,12200,12650,12150,12300,397956,,
2015-04-21,12300,12550,12250,12500,302723,,
2015-04-22,12550,13300,11800,12250,1806001,,
2015-04-23,12350,12400,11200,11250,1262034,,
2015-04-24,11250,11500,10950,11200,675530,,
2015-04-27,11050,11300,10650,11200,893567,,
2015-04-28,11350,11450,10850,11200,461230,,
2015-04-29,11150,11200,10800,11050,362605,,
2015-04-30,11050,11300,10900,10900,332071,,
2015-05-04,10900,11000,10300,10400,480178,,
2015-05-06,10250,10900,10050,10650,569838,,
2015-05-07,10650,10700,10100,10700,306219,,
2015-05-08,10700,10900,10450,10500,274296,,
2015-05-11,10700,10800,10400,10450,328996,,
2015-05-12,10450,10600,10300,10400,299702,,
2015-05-13,10400,10750,10200,10750,437950,,
2015-05-14,10800,10800,10350,10400,439535,,
2015-05-15,10450,11100,10300,11000,887023,,
2015-05-18,10650,10650,9350,9370,2893687,,
2015-05-19,9390,9670,8840,8910,1535205,,
2015-05-20,8800,9120,8800,9040,753235,,
2015-05-21,9040,9640,9040,9240,831341,,
2015-05-22,9290,9610,9290,9500,398651,,
2015-05-26,9460,9620,9100,9150,302884,,
2015-05-27,9170,9340,9110,9160,189279,,
2015-05-28,9230,9300,9100,9200,234561,,
2015-05-29,9210,9570,9170,9400,368409,,
2015-06-01,9500,10100,9170,9650,1076439,,
2015-06-02,9870,10400,9840,10000,1605246,,
2015-06-03,10300,10450,9790,9830,731685,,
2015-06-04,9780,9840,9400,9410,473314,,
2015-06-05,9400,9850,9390,9610,305088,,
2015-06-08,9600,9610,8990,9110,552145,,
2015-06-09,9100,9410,9030,9330,250758,,
2015-06-10,9400,9440,9210,9260,178542,,
2015-06-11,9280,9360,9000,9100,188721,,
2015-06-12,9100,9350,9020,9210,232125,,
2015-06-15,9220,9270,8970,8990,218000,,
2015-06-16,9030,9270,8950,8970,271312,,
2015-06-17,9100,9730,8990,9700,583263,,
2015-06-18,9730,9840,9430,9500,354187,,
2015-06-19,9650,9980,9440,9750,381244,,
2015-06-22,9650,9730,9350,9620,296357,,
2015-06-23,9790,10050,9670,9980,642176,,
2015-06-24,9980,10550,9830,10450,981452,,
2015-06-25,10700,11400,10650,11200,1953087,,
2015-06-26,11200,11350,10800,10900,926114,,
2015-06-29,10550,11150,10350,10600,864858,,
2015-06-30,10750,10900,10400,10600,759885,,
2015-07-01,10750,11150,10450,10950,872191,,
2015-07-02,11100,11350,10850,11100,822524,,
2015-07-03,11150,11300,10750,10850,515734,,
2015-07-06,10850,11050,10600,10650,648150,,
2015-07-07,10950,11150,10100,10350,1080515,,
2015-07-08,10600,11050,10250,10650,947849,,
2015-07-09,10450,10600,10100,10500,414912,,
2015-07-10,10600,11000,10450,10600,712958,,
2015-07-13,10500,11050,10500,10800,525454,,
2015-07-14,10950,11000,10600,10700,356824,,
2015-07-15,10800,11050,10700,10850,444000,,
2015-07-16,10750,10800,10200,10300,803178,,
2015-07-17,10300,10300,9520,9700,990912,,
2015-07-20,9520,9840,9520,9720,351206,,
2015-07-21,9750,10150,9610,10150,421765,,
2015-07-22,9800,9960,9610,9800,467502,,
2015-07-23,9720,9920,9670,9890,200958,,
2015-07-24,9900,9900,9740,9760,123021,,
2015-07-27,9670,9740,9080,9130,455364,,
2015-07-28,9060,9130,8920,9020,351773,,
2015-07-29,9080,9460,9080,9130,316273,,
2015-07-30,9260,9380,8900,8910,287745,,
2015-07-31,8920,9140,8800,9130,168722,,
2015-08-03,9130,9210,8980,9000,120726,,
2015-08-04,9000,9200,8990,9200,113826,,
2015-08-05,9190,9460,9110,9430,165039,,
2015-08-06,10100,11050,9900,10050,1710135,,
2015-08-07,10000,10550,9850,10450,654287,,
2015-08-10,10350,10400,10050,10050,245820,,
2015-08-11,10400,10600,9960,9960,591975,,
2015-08-12,9990,10350,9850,10250,621130,,
2015-08-13,10200,10900,10100,10800,1206715,,
2015-08-17,11050,11600,10850,11100,2240117,,
2015-08-18,11400,11700,11150,11650,1493000,,
2015-08-19,11500,11700,10900,11500,1223717,,
2015-08-20,11300,12200,11300,11750,1962552,,
2015-08-21,11200,11600,11000,11000,1395787,,
2015-08-24,11100,11600,11050,11050,1489319,,
2015-08-25,11450,11750,11100,11200,1827987,,
2015-08-26,11050,11650,10800,11600,1781823,,
2015-08-27,11800,11850,11350,11750,1356771,,
2015-08-28,12000,12050,11600,11600,966214,,
2015-08-31,11600,11750,11100,11100,797539,,
2015-09-01,11150,11500,10900,11100,807021,,
2015-09-02,10800,10900,10350,10600,901990,,
2015-09-03,10800,10900,10400,10450,524669,,
2015-09-04,10500,10700,9970,10000,682266,,
2015-09-07,10050,10250,9910,10100,392785,,
2015-09-08,10050,10150,9360,9500,592133,,
2015-09-09,9700,9800,9570,9570,334097,,
2015-09-10,9420,10100,9420,10100,319265,,
2015-09-11,10100,10100,9590,9710,414754,,
2015-09-14,9770,9860,9440,9470,310030,,
2015-09-15,9460,10050,9460,9930,693258,,
2015-09-16,10100,10100,9900,10000,338073,,
2015-09-17,10000,10050,9750,9820,301659,,
2015-09-18,9990,10200,9870,10150,443289,,
2015-09-21,10050,10200,9880,9970,242936,,
2015-09-22,9990,9990,9740,9770,258752,,
2015-09-23,9700,9810,9510,9550,218446,,
2015-09-24,9570,9690,9470,9580,198147,,
2015-09-25,9560,9600,9460,9600,125682,,
2015-09-30,9470,9530,9230,9350,223671,,
2015-10-01,9320,9470,9320,9390,124328,,
