대유에이피(290120),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-03-28,5280,5390,5170,5190,270701,56488.0,10884000.0
2019-03-29,5190,5240,5050,5110,122098,55617.0,10884000.0
2019-04-01,5070,5220,5070,5160,92518,56161.0,10884000.0
2019-04-02,5240,5460,5160,5400,431918,58774.0,10884000.0
2019-04-03,5430,5430,5290,5330,138323,58012.0,10884000.0
2019-04-04,5330,5360,5190,5240,201229,57032.0,10884000.0
2019-04-05,5240,5270,5150,5200,180941,56597.0,10884000.0
2019-04-08,5220,5320,5200,5280,148610,57468.0,10884000.0
2019-04-09,5330,5340,5200,5200,127115,56597.0,10884000.0
2019-04-10,5200,5200,5110,5180,107284,56379.0,10884000.0
2019-04-11,5180,5360,5170,5270,191831,57359.0,10884000.0
2019-04-12,5280,5290,5200,5230,77349,56923.0,10884000.0
2019-04-15,5270,5270,5150,5220,130534,56814.0,10884000.0
2019-04-16,5170,5250,5070,5190,135198,56488.0,10884000.0
2019-04-17,5130,5200,5080,5140,66220,55944.0,10884000.0
2019-04-18,5250,5900,5250,5520,2540821,60080.0,10884000.0
2019-04-19,5460,5680,5400,5670,594641,61712.0,10884000.0
2019-04-22,5610,5710,5510,5620,325756,61168.0,10884000.0
2019-04-23,5560,5640,5520,5610,148675,61059.0,10884000.0
2019-04-24,5640,5680,5400,5400,235515,58774.0,10884000.0
2019-04-25,5370,5400,5130,5140,182308,55944.0,10884000.0
2019-04-26,5180,5260,5120,5190,97501,56488.0,10884000.0
2019-04-29,5190,5290,5140,5210,60439,56706.0,10884000.0
2019-04-30,5190,5280,5130,5240,69748,57032.0,10884000.0
2019-05-02,5260,5310,5140,5200,78731,56597.0,10884000.0
2019-05-03,5330,5590,5290,5530,266995,60189.0,10884000.0
2019-05-07,5410,5650,5350,5650,169434,61495.0,10884000.0
2019-05-08,5590,5600,5450,5450,221534,59318.0,10884000.0
2019-05-09,5450,5530,5140,5200,216708,56597.0,10884000.0
2019-05-10,5170,6760,5040,6760,7622624,73576.0,10884000.0
2019-05-13,6800,7120,6020,6180,3503056,67263.0,10884000.0
2019-05-14,5930,6320,5720,6060,2081620,65957.0,10884000.0
2019-05-15,6080,6260,5940,6100,1223406,66392.0,10884000.0
2019-05-16,6000,6200,5820,6200,856968,67481.0,10884000.0
2019-05-17,6220,6420,5890,5890,858865,64107.0,10884000.0
2019-05-20,5870,6000,5730,5770,277746,62801.0,10884000.0
2019-05-21,5770,6070,5770,5930,417164,64542.0,10884000.0
2019-05-22,5900,6400,5730,5760,1141927,62692.0,10884000.0
2019-05-23,5750,5850,5400,5460,312252,59427.0,10884000.0
2019-05-24,5460,5590,5140,5160,294281,56161.0,10884000.0
2019-05-27,5180,5330,5170,5230,158905,56923.0,10884000.0
2019-05-28,5230,5290,5140,5240,119010,57032.0,10884000.0
2019-05-29,5290,5520,5240,5440,309972,59209.0,10884000.0
2019-05-30,5410,5540,5360,5440,190703,59209.0,10884000.0
2019-05-31,5580,6190,5510,6030,2029105,65631.0,10884000.0
2019-06-03,6070,6430,6070,6250,743109,68025.0,10884000.0
2019-06-04,6220,6420,6150,6360,249014,69222.0,10884000.0
2019-06-05,6320,6620,6310,6560,246359,71399.0,10884000.0
2019-06-07,6570,6950,6560,6900,256418,75100.0,10884000.0
2019-06-10,6940,7410,6710,7300,364690,79453.0,10884000.0
2019-06-11,7400,8000,7400,7700,576496,83807.0,10884000.0
2019-06-12,7700,8950,7700,8580,1370065,93385.0,10884000.0
2019-06-13,8610,8940,8450,8810,449049,95888.0,10884000.0
2019-06-14,8830,9390,7950,8290,612285,90228.0,10884000.0
2019-06-17,8310,9380,8310,9170,442816,99806.0,10884000.0
2019-06-18,8980,9050,8630,8850,243925,96323.0,10884000.0
2019-06-19,8940,11000,8940,9620,1514577,104704.0,10884000.0
2019-06-20,9620,10400,9480,9830,620326,106990.0,10884000.0
2019-06-21,9810,9920,9550,9830,163795,106990.0,10884000.0
2019-06-24,9830,10500,9600,10350,243399,112649.0,10884000.0
2019-06-25,10400,12400,10400,11900,843634,129520.0,10884000.0
2019-06-26,11850,12900,11550,12600,546919,137138.0,10884000.0
2019-06-27,12600,13550,12500,13100,345771,142580.0,10884000.0
2019-06-28,13350,13750,12850,13050,198590,142036.0,10884000.0
2019-07-01,12800,13350,12500,13000,153492,141492.0,10884000.0
2019-07-02,13100,13100,11550,12300,366778,133873.0,10884000.0
2019-07-03,12300,13200,12150,12900,163871,140404.0,10884000.0
2019-07-04,12850,14600,12850,13800,401552,150199.0,10884000.0
2019-07-05,13850,14150,13500,14000,117096,152376.0,10884000.0
2019-07-08,14000,14550,13950,14350,117578,156185.0,10884000.0
2019-07-09,14600,16050,14600,15300,550086,166525.0,10884000.0
2019-07-10,15300,15700,13800,14700,335207,159995.0,10884000.0
2019-07-11,14750,15500,14600,15500,143654,168702.0,10884000.0
2019-07-12,15900,15900,14900,15300,161815,166525.0,10884000.0
2019-07-15,15500,15500,13250,13500,379633,146934.0,10884000.0
2019-07-16,13450,13450,10100,10300,1783120,112105.0,10884000.0
2019-07-17,10650,11450,10300,11200,860294,121901.0,10884000.0
2019-07-18,10950,12000,10900,11650,304938,126799.0,10884000.0
2019-07-19,11700,13350,11700,13050,596953,142036.0,10884000.0
2019-07-22,13050,13650,13000,13150,176349,143125.0,10884000.0
2019-07-23,13150,13350,12300,13050,203589,142036.0,10884000.0
2019-07-24,13050,14050,13000,13950,196887,151832.0,10884000.0
2019-07-25,14200,15200,14050,15100,256596,164348.0,10884000.0
2019-07-26,15100,15300,10600,10600,1332287,115370.0,10884000.0
2019-07-29,10300,10600,8340,8620,1459372,93820.0,10884000.0
2019-07-30,8600,9010,8400,8760,488982,95344.0,10884000.0
2019-07-31,8530,8900,8230,8900,411797,96868.0,10884000.0
2019-08-01,8650,9200,8650,9190,293120,100024.0,10884000.0
2019-08-02,8960,9060,8500,8500,324533,92514.0,10884000.0
2019-08-05,8390,8390,5950,6030,1916392,65631.0,10884000.0
2019-08-06,5780,6870,5430,6400,1180825,69658.0,10884000.0
2019-08-07,6400,7140,6360,6880,467102,74882.0,10884000.0
2019-08-08,6850,7300,6450,7120,322068,77494.0,10884000.0
2019-08-09,7150,7500,7090,7420,227133,80759.0,10884000.0
2019-08-12,7380,8640,7380,7950,629469,86528.0,10884000.0
2019-08-13,7950,8740,7830,8550,445948,93058.0,10884000.0
2019-08-14,8550,8990,7450,7540,813426,82065.0,10884000.0
2019-08-16,7390,8100,7270,7920,252887,86201.0,10884000.0
2019-08-19,7930,8390,7520,7650,163283,83263.0,10884000.0
2019-08-20,7620,7950,7600,7650,92554,83263.0,10884000.0
2019-08-21,7740,8690,7600,8650,440799,94147.0,10884000.0
2019-08-22,8650,8750,8200,8570,187332,93276.0,10884000.0
2019-08-23,8440,8440,8000,8300,147218,90337.0,10884000.0
2019-08-26,8110,8320,7880,7980,105498,86854.0,10884000.0
2019-08-27,8280,8420,8060,8210,80237,89358.0,10884000.0
2019-08-28,8120,8650,8120,8360,110477,90990.0,10884000.0
2019-08-29,8360,8490,8050,8140,67283,88596.0,10884000.0
2019-08-30,8140,8380,8140,8300,81178,90337.0,10884000.0
2019-09-02,8300,8670,8200,8570,121311,93276.0,10884000.0
2019-09-03,8700,9000,8580,8890,97965,96759.0,10884000.0
2019-09-04,8990,9040,8720,8830,76126,96106.0,10884000.0
2019-09-05,8940,8940,8560,8680,93724,94473.0,10884000.0
2019-09-06,8680,8680,8340,8530,92337,92841.0,10884000.0
2019-09-09,8450,8720,8400,8700,46896,94691.0,10884000.0
2019-09-10,8790,8790,8510,8550,40438,93058.0,10884000.0
2019-09-11,8500,8750,8500,8740,36796,95126.0,10884000.0
2019-09-16,8740,9600,8650,9470,194063,103071.0,10884000.0
2019-09-17,9460,9960,9300,9650,252490,105031.0,10884000.0
2019-09-18,9650,9740,9210,9400,158551,102310.0,10884000.0
2019-09-19,8500,9100,8500,8790,220139,95670.0,10884000.0
2019-09-20,8790,8880,8330,8360,201131,90990.0,10884000.0
2019-09-23,8250,8470,8220,8450,58014,91970.0,10884000.0
2019-09-24,8390,8550,8360,8470,32462,92187.0,10884000.0
2019-09-25,8180,8440,7960,8130,84265,88487.0,10884000.0
2019-09-26,8030,8420,7790,7940,91488,86419.0,10884000.0
2019-09-27,7940,8010,7440,7600,105975,82718.0,10884000.0
2019-09-30,7600,7790,7220,7780,94117,84678.0,10884000.0
2019-10-01,7700,7940,7640,7890,70763,85875.0,10884000.0
2019-10-02,7740,8400,7500,8400,133093,91426.0,10884000.0
2019-10-04,8380,8520,8250,8380,102255,91208.0,10884000.0
2019-10-07,8370,8740,8150,8520,186822,,
