휴맥스홀딩스(028080),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-03-04,1468,1468,1461,1467,4610,25521.0,1063372.0
1999-03-05,1467,1497,1467,1498,2010,26053.0,1063372.0
1999-03-08,1437,1468,1406,1467,520,25521.0,1063372.0
1999-03-09,1413,1468,1406,1467,6850,25521.0,1063372.0
1999-03-10,1413,1413,1413,1412,100,24564.0,1063372.0
1999-03-11,1529,1529,1375,1467,4000,25521.0,1063372.0
1999-03-12,1405,1435,1405,1437,5110,24989.0,1063372.0
1999-03-15,1406,1436,1406,1406,30,24458.0,1063372.0
1999-03-16,1406,1406,1284,1406,1320,24458.0,1063372.0
1999-03-17,1313,1466,1313,1437,3110,24989.0,1063372.0
1999-03-18,1436,1436,1406,1406,180,24458.0,1063372.0
1999-03-19,1565,1571,1314,1406,610,24458.0,1063372.0
1999-03-22,1436,1436,1320,1406,4480,24458.0,1063372.0
1999-03-23,1345,1406,1345,1406,4360,24458.0,1063372.0
1999-03-24,1406,1529,1351,1467,6740,25521.0,1063372.0
1999-03-25,1467,1467,1363,1406,26830,24458.0,1063372.0
1999-03-26,1467,1497,1405,1498,21930,26053.0,1063372.0
1999-03-29,1523,1638,1498,1528,21720,26584.0,1063372.0
1999-03-30,1529,1529,1437,1522,3370,26478.0,1063372.0
1999-03-31,1529,1529,1419,1528,7560,26584.0,1063372.0
1999-04-01,1529,1583,1467,1559,10050,27116.0,1063372.0
1999-04-02,1552,1650,1552,1651,17820,28711.0,1063372.0
1999-04-06,1681,1681,1498,1669,75810,29030.0,1063372.0
1999-04-07,1657,1682,1608,1681,10470,29243.0,1063372.0
1999-04-08,1682,1682,1647,1681,5500,29243.0,1063372.0
1999-04-09,1680,1820,1478,1822,7980,31688.0,1063372.0
1999-04-12,1808,1808,1711,1804,7820,31369.0,1063372.0
1999-04-13,1772,2017,1772,2018,21500,35091.0,1063372.0
1999-04-14,2078,2258,1955,2232,37510,38813.0,1063372.0
1999-04-15,2231,2231,2231,2232,0,38813.0,1063372.0
1999-04-16,2231,2231,2231,2232,0,,
1999-04-19,2384,2495,2262,2445,84678,42535.0,10633720.0
1999-04-20,2567,2737,2450,2739,153411,47639.0,10633720.0
1999-04-21,2873,3056,2738,2873,218943,49978.0,10633720.0
1999-04-22,2751,2751,2531,2531,50541,44024.0,10633720.0
1999-04-23,2232,2599,2232,2445,100333,42535.0,10633720.0
1999-04-26,2261,2475,2261,2323,36063,40408.0,10633720.0
1999-04-27,2322,2444,2053,2415,51623,42003.0,10633720.0
1999-04-28,2470,2476,2323,2445,60656,42535.0,10633720.0
1999-04-29,2445,2476,2262,2262,30957,39345.0,10633720.0
1999-04-30,2322,2505,2322,2501,57075,43492.0,10633720.0
1999-05-03,2800,2800,2690,2800,134235,48702.0,10633720.0
1999-05-04,3130,3130,3130,3130,85492,54445.0,10633720.0
1999-05-06,3503,3503,3503,3503,21839,60931.0,10633720.0
1999-05-07,3917,3917,3917,3919,89303,68162.0,10633720.0
1999-05-10,4383,4383,3943,4218,542920,73373.0,10633720.0
1999-05-11,4156,4278,3973,4280,189294,74436.0,10633720.0
1999-05-12,4279,4794,4102,4585,260522,79753.0,10633720.0
1999-05-13,4585,4707,4462,4701,567874,81773.0,10633720.0
1999-05-14,4585,4695,4518,4646,211861,80816.0,10633720.0
1999-05-17,4646,4646,4279,4585,97566,79753.0,10633720.0
1999-05-18,4035,4035,4035,4035,27969,70183.0,10633720.0
1999-05-19,3552,4035,3552,4035,273655,70183.0,10633720.0
1999-05-20,4156,4517,4156,4506,355838,78371.0,10633720.0
1999-05-21,4371,4371,4157,4341,213886,75499.0,10633720.0
1999-05-24,4462,4523,4278,4402,224095,76563.0,10633720.0
1999-05-25,4927,4927,4707,4928,461681,85708.0,10633720.0
1999-05-26,5471,5513,5232,5515,463602,95916.0,10633720.0
1999-05-27,5870,5992,5564,5808,462888,101020.0,10633720.0
1999-05-28,5686,5686,5196,5502,106600,95703.0,10633720.0
1999-05-31,5196,5196,4842,5013,82793,87197.0,10633720.0
1999-06-01,4798,4890,4462,4769,101910,82943.0,10633720.0
1999-06-02,4586,4708,4280,4524,159420,78690.0,10633720.0
1999-06-03,4585,4818,4524,4646,112325,80816.0,10633720.0
1999-06-04,4768,4952,4707,4891,104158,85070.0,10633720.0
1999-06-07,4303,5196,4303,5105,318610,88792.0,10633720.0
1999-06-08,5104,5165,4718,4769,202528,82943.0,10633720.0
1999-06-09,4890,4921,4615,4891,302392,85070.0,10633720.0
1999-06-10,4951,5055,4706,4830,218539,84006.0,10633720.0
1999-06-11,4896,5403,4896,5405,766073,94002.0,10633720.0
1999-06-14,5808,5991,5569,5594,833792,97299.0,10633720.0
1999-06-15,5503,5503,4928,5013,440600,87197.0,10633720.0
1999-06-16,5221,5612,5196,5612,712419,97618.0,10633720.0
1999-06-17,6174,6265,6021,6267,657172,108996.0,10633720.0
1999-06-18,7000,7000,7000,7000,270426,121756.0,10633720.0
1999-06-21,7825,7825,7825,7826,102244,136112.0,10633720.0
1999-06-22,8742,8742,6908,7826,547690,136112.0,10633720.0
1999-06-23,6908,6908,6908,6909,263372,120161.0,10633720.0
1999-06-24,6725,7733,6541,7214,880826,125478.0,10633720.0
1999-06-25,6846,7029,6357,6664,355347,115908.0,10633720.0
1999-06-28,6664,6969,5870,5869,481608,102084.0,10633720.0
1999-06-29,5870,6419,5289,6358,535092,110591.0,10633720.0
1999-06-30,6419,7030,6113,7000,532843,121756.0,10633720.0
1999-07-01,7030,7335,6755,6970,590311,121224.0,10633720.0
1999-07-02,6724,6724,6265,6603,370036,114844.0,10633720.0
1999-07-05,6418,6908,6357,6450,326662,112186.0,10633720.0
1999-07-06,6542,6756,6237,6358,308309,110591.0,10633720.0
1999-07-07,6418,6602,6174,6389,380896,132858.0,12713720.0
1999-07-08,6510,6541,5990,6114,328436,127137.0,12713720.0
1999-07-09,6053,6480,5716,6236,366659,129680.0,12713720.0
1999-07-12,6113,6206,5839,5875,313949,126763.0,13190720.0
1999-07-13,5899,6541,5899,6542,400222,141141.0,13190720.0
1999-07-14,6602,6908,6297,6633,609141,143119.0,13190720.0
1999-07-15,6480,6602,6297,6297,297103,135864.0,13190720.0
1999-07-16,6602,6602,6297,6419,228883,138503.0,13190720.0
1999-07-19,6297,6389,6175,6358,276880,137183.0,13190720.0
1999-07-20,6419,7031,6297,6786,572029,146417.0,13190720.0
1999-07-21,7152,7275,6725,6847,570602,147736.0,13190720.0
1999-07-22,7336,7643,7306,7642,1185887,164884.0,13190720.0
1999-07-23,8560,8560,8560,8559,164527,184670.0,13190720.0
1999-07-26,8560,9110,7550,8345,1530979,180053.0,13190720.0
1999-07-27,8559,8834,7397,8131,676698,175437.0,13190720.0
1999-07-28,8254,9079,7948,9048,843534,195223.0,13190720.0
1999-07-29,9048,9477,8560,8926,690992,192585.0,13190720.0
1999-07-30,9171,9538,8315,8681,576778,187308.0,13190720.0
1999-08-02,8314,8528,7641,7887,375236,170160.0,13190720.0
1999-08-03,7641,8558,7335,7948,653529,171479.0,13190720.0
1999-08-04,8008,8466,7885,8040,444558,173458.0,13190720.0
1999-08-05,8039,8345,7642,7826,342240,168841.0,13190720.0
1999-08-06,7948,8070,7643,7795,234179,168182.0,13190720.0
1999-08-09,8068,8711,7885,8651,533578,186649.0,13190720.0
1999-08-10,8498,9660,8132,9048,1006347,195223.0,13190720.0
1999-08-11,9169,9231,8069,8254,586440,178075.0,13190720.0
1999-08-12,8253,8681,7825,8131,319153,175437.0,13190720.0
1999-08-13,7885,8100,7580,7673,225201,165544.0,13190720.0
1999-08-16,6968,7732,6907,7398,162372,159608.0,13190720.0
1999-08-17,7519,7611,6846,6909,219257,149055.0,13190720.0
1999-08-18,7091,7335,6082,6970,289141,150374.0,13190720.0
1999-08-19,7091,7427,6724,7184,319865,154991.0,13190720.0
1999-08-20,7153,7520,6909,7122,223681,153672.0,13190720.0
1999-08-23,7459,7519,7214,7367,255895,158948.0,13190720.0
1999-08-24,7641,7732,7458,7734,380290,166863.0,13190720.0
1999-08-25,7794,7947,7580,7734,226628,166863.0,13190720.0
1999-08-26,7733,7733,7397,7550,182736,162905.0,13190720.0
1999-08-27,7458,7702,7335,7459,285954,160927.0,13190720.0
1999-08-30,7826,8009,7581,7642,202181,164884.0,13190720.0
1999-08-31,7642,7642,7366,7459,106366,160927.0,13190720.0
1999-09-01,7396,7396,6784,7031,176581,151693.0,13190720.0
1999-09-02,6725,7122,6419,6847,298293,147736.0,13190720.0
1999-09-03,7105,7105,6459,6912,181933,141141.0,13190720.0
1999-09-06,6911,7137,6846,7106,123822,145098.0,13190720.0
1999-09-07,7008,7072,6782,6977,69161,142460.0,13190720.0
1999-09-08,6653,7428,6653,7429,188697,151693.0,13190720.0
1999-09-09,7104,7847,6813,7106,1250958,145098.0,13190720.0
1999-09-10,7138,7235,6783,6815,166595,139162.0,13190720.0
1999-09-13,6782,6782,6459,6654,186743,135864.0,13190720.0
1999-09-14,6717,6943,6394,6557,257199,133886.0,13190720.0
1999-09-15,6459,6879,6420,6654,245615,135864.0,13190720.0
1999-09-16,6782,6879,6395,6402,235854,130720.0,13190720.0
1999-09-17,6331,6654,5949,6524,312573,133226.0,13190720.0
1999-09-20,6653,6782,6335,6460,189678,131907.0,13190720.0
1999-09-21,6396,6492,6267,6492,160474,132567.0,13190720.0
1999-09-22,6491,6523,6232,6460,170072,131907.0,13190720.0
1999-09-27,6427,6459,6201,6453,116303,131775.0,13190720.0
1999-09-28,6395,6395,6065,6072,148722,123993.0,13190720.0
1999-09-29,5975,5975,5491,5523,197618,112781.0,13190720.0
1999-09-30,4979,5974,4979,5769,248861,117793.0,13190720.0
1999-10-01,5975,5975,5265,5555,241367,113440.0,13190720.0
1999-10-04,5457,5793,5457,5717,96250,116738.0,13190720.0
1999-10-05,5749,6401,5684,5846,487130,119376.0,13190720.0
1999-10-06,5692,6099,5421,5647,245966,82442.0,13190720.0
1999-10-07,5872,6278,5700,6235,301247,91016.0,13190720.0
1999-10-08,6325,6415,5882,6126,213116,89433.0,13190720.0
1999-10-11,6324,6858,6324,6858,339192,100118.0,13190720.0
1999-10-12,7590,7680,7499,7680,121916,112121.0,13190720.0
1999-10-13,8132,8267,6885,7861,1050347,114759.0,13190720.0
1999-10-14,7589,7769,6920,6967,452987,101700.0,13190720.0
1999-10-15,7228,7635,7002,7391,388197,107900.0,13190720.0
1999-10-18,7317,7317,6775,6967,270389,101700.0,13190720.0
1999-10-19,6966,7228,6623,7138,311115,104207.0,13190720.0
1999-10-20,7228,7228,6957,7156,141714,104471.0,13190720.0
1999-10-21,7227,7408,6956,6958,137077,101569.0,13190720.0
1999-10-22,6957,7056,6776,6948,128655,101437.0,13190720.0
1999-10-25,6867,7309,6686,6903,335200,100777.0,13190720.0
1999-10-26,6867,7635,6550,7409,1552131,181715.0,22160409.0
1999-10-27,7516,8266,7155,7274,2142304,178391.0,22160409.0
1999-10-28,7364,7590,7056,7445,623759,182602.0,22160409.0
1999-10-29,7544,7942,7517,7644,961335,187477.0,22160409.0
1999-11-01,8555,8555,8555,8557,364525,209859.0,22160409.0
1999-11-02,9486,9576,8854,9578,3023200,234900.0,22160409.0
1999-11-03,9939,10707,9939,10481,2992048,257061.0,22160409.0
1999-11-04,10751,11022,9757,10301,3419979,252629.0,22160409.0
1999-11-05,10706,11519,10164,11521,3225775,282545.0,22160409.0
1999-11-08,11474,12874,11293,12289,3578792,301382.0,22160409.0
1999-11-09,12016,12829,10841,11611,2777112,284761.0,22160409.0
1999-11-10,11112,12829,11112,12108,3184500,296949.0,22160409.0
1999-11-11,12016,13010,11926,12605,3862369,309138.0,22160409.0
1999-11-12,12830,13463,11113,11385,3045503,279221.0,22160409.0
1999-11-15,12198,12424,11430,11972,1829507,293625.0,22160409.0
1999-11-16,12198,12875,11881,11972,1698708,293625.0,22160409.0
1999-11-17,11835,12061,10570,10572,1607031,259277.0,22160409.0
1999-11-18,9983,10028,9305,9533,1269062,233792.0,22160409.0
1999-11-19,9848,10662,9803,10662,1466994,261493.0,22160409.0
1999-11-22,11112,11112,10209,10798,1767868,264817.0,22160409.0
1999-11-23,10390,11067,9938,10572,1430544,259277.0,22160409.0
1999-11-24,10751,11745,10706,11340,2091238,278113.0,22160409.0
1999-11-25,11746,12695,11746,12695,2050204,311354.0,22160409.0
1999-11-26,14186,14186,14186,14186,2314987,347918.0,22160409.0
1999-11-29,15856,15856,15359,15858,1900871,388915.0,22160409.0
1999-11-30,17755,17755,17755,17755,400036,435452.0,22160409.0
1999-12-01,19877,19877,18070,19879,3450441,487529.0,22160409.0
1999-12-02,19426,20646,17529,17529,2719728,429912.0,22160409.0
1999-12-03,15811,17618,15450,16852,2888894,413292.0,22160409.0
1999-12-06,17348,18839,17348,18839,1920938,462045.0,22160409.0
1999-12-07,18974,20781,18115,19427,1832218,476449.0,22160409.0
1999-12-08,19425,21729,19154,21731,3505971,532958.0,22160409.0
1999-12-09,21684,24214,21007,21957,2944835,538498.0,22160409.0
1999-12-10,22137,23221,19878,20511,2579527,503041.0,22160409.0
1999-12-13,18975,21956,18523,20601,1862165,505257.0,22160409.0
1999-12-14,21684,22768,20238,21234,2108482,520770.0,22160409.0
1999-12-15,20329,21955,18883,19608,1315030,480881.0,22160409.0
1999-12-16,19833,21233,17529,18252,1055488,447640.0,22160409.0
1999-12-17,17166,17618,16082,16084,892067,394455.0,22160409.0
1999-12-20,15360,17981,15360,17981,1001302,440992.0,22160409.0
1999-12-21,19426,20104,18929,20104,868170,493069.0,22160409.0
1999-12-22,20645,22497,20510,22499,970132,551794.0,22160409.0
1999-12-23,22588,25163,21775,22409,2141897,549578.0,22160409.0
1999-12-24,21685,21685,19743,19788,1158037,485313.0,22160409.0
1999-12-27,20419,21323,17709,19608,1507683,480881.0,22160409.0
1999-12-28,18070,19154,17257,17349,1160327,425480.0,22160409.0
2000-01-04,17799,19425,17799,19427,683895,476449.0,22160409.0
2000-01-05,18070,18883,17121,18207,713747,446532.0,22160409.0
2000-01-06,18974,19290,16127,17168,685641,421048.0,22160409.0
2000-01-07,15993,16716,15134,15993,757009,392239.0,22160409.0
2000-01-10,17348,17438,15360,16264,562220,398887.0,22160409.0
2000-01-11,17167,17710,16625,16987,729882,416616.0,22160409.0
2000-01-12,15360,15812,14954,14999,578098,367863.0,22160409.0
2000-01-13,14095,14276,13237,13237,495751,324650.0,22160409.0
2000-01-14,13463,13869,11656,11701,910278,286977.0,22160409.0
2000-01-17,12198,12650,10571,11972,1072914,293625.0,22160409.0
2000-01-18,11474,12829,11474,12560,654998,308030.0,22160409.0
2000-01-19,12649,13100,11067,11069,678761,271465.0,22160409.0
2000-01-20,10391,12378,9758,11927,2094291,292517.0,22160409.0
2000-01-21,12017,12650,11113,11430,1275246,280329.0,22160409.0
2000-01-24,11746,12650,11656,12514,878481,306922.0,22160409.0
2000-01-25,11745,13100,11293,11882,1035236,291409.0,22160409.0
2000-01-26,12604,12604,11294,11927,667375,292517.0,22160409.0
2000-01-27,11746,12017,11113,11385,440635,279221.0,22160409.0
2000-01-28,11385,11927,11204,11656,529521,285869.0,22160409.0
2000-01-31,11293,12468,10977,11792,935178,289193.0,22160409.0
2000-02-01,12197,13055,11835,12560,1331214,308030.0,22160409.0
2000-02-02,13281,14049,13100,14051,1406147,344594.0,22160409.0
2000-02-03,14818,15541,14321,14999,1566476,367863.0,22160409.0
2000-02-07,15812,16761,15541,16761,1148591,411076.0,22160409.0
2000-02-08,16805,17166,14772,15090,1726959,370079.0,22160409.0
2000-02-09,15811,16172,15359,15813,1098669,387807.0,22160409.0
2000-02-10,14275,16218,14275,15090,1167160,370079.0,22160409.0
2000-02-11,15992,16895,15811,16897,1555509,414400.0,22160409.0
2000-02-14,16896,18523,15586,16987,2551606,416616.0,22160409.0
2000-02-15,17077,17619,14954,14999,985929,367863.0,22160409.0
2000-02-16,14592,15586,13824,15044,1042312,368971.0,22160409.0
2000-02-17,15134,16535,14728,16264,1483076,398887.0,22160409.0
2000-02-18,17257,18205,16624,18207,1798707,446532.0,22160409.0
2000-02-21,19154,20374,18341,20376,3706351,499717.0,22160409.0
2000-02-22,21188,22363,17935,18071,3618375,443208.0,22160409.0
2000-02-23,17844,17844,15901,17620,1428355,432128.0,22160409.0
2000-02-24,18612,19335,18251,18433,1508486,452072.0,22160409.0
2000-02-25,18071,18794,16716,16987,1300292,416616.0,22160409.0
2000-02-28,16263,17528,15901,16174,1084974,396671.0,22160409.0
2000-02-29,16715,17166,15992,16852,1050437,413292.0,22160409.0
2000-03-02,17709,18838,17528,18614,1925579,456504.0,22160409.0
2000-03-03,17213,17619,16535,16987,873278,416616.0,22160409.0
2000-03-06,17800,18523,16716,16987,1777634,416616.0,22160409.0
2000-03-07,17166,17437,16263,17078,935758,418832.0,22160409.0
2000-03-08,16896,17529,16445,17258,1010907,423264.0,22160409.0
2000-03-09,17167,18839,16987,17484,1350163,428804.0,22160409.0
2000-03-10,18071,19562,17935,19562,1511766,479773.0,22160409.0
2000-03-13,21865,21865,19561,20150,4726273,494177.0,22160409.0
2000-03-14,19425,21232,18522,19879,2201302,487529.0,22160409.0
2000-03-15,19154,19606,18070,18614,1285078,456504.0,22160409.0
2000-03-16,17889,20329,17166,18614,3055846,456504.0,22160409.0
2000-03-17,18974,19154,16398,16400,1305516,402211.0,22160409.0
2000-03-20,15360,15812,14457,14457,729202,354567.0,22160409.0
2000-03-21,12920,15540,12920,14638,2188842,358999.0,22160409.0
2000-03-22,15269,16353,15179,15903,1372824,390023.0,22160409.0
2000-03-23,16172,16534,14094,14909,1134958,365647.0,22160409.0
2000-03-24,15224,15811,14591,15361,1074863,376727.0,22160409.0
2000-03-27,16037,16534,15540,16084,871940,394455.0,22160409.0
2000-03-28,16083,17348,15857,16806,1526630,412184.0,22160409.0
2000-03-29,16625,18432,15225,15270,1284245,374511.0,22160409.0
2000-03-30,15314,16037,14636,15632,832122,383375.0,22160409.0
2000-03-31,14636,15540,14636,14819,307099,363431.0,22160409.0
2000-04-03,14907,15359,13055,13057,553418,320218.0,22160409.0
2000-04-04,11836,13237,11656,13011,610288,319110.0,22160409.0
2000-04-06,13418,13734,12740,12740,636731,312462.0,22160409.0
2000-04-07,13192,14231,13192,14231,888492,349026.0,22160409.0
2000-04-10,15856,15901,15179,15903,673579,390023.0,22160409.0
2000-04-11,14998,15495,14275,14819,616894,363431.0,22160409.0
2000-04-12,14818,16083,14366,15948,885907,391131.0,22160409.0
2000-04-14,16128,16716,14231,14728,1847331,361215.0,22160409.0
2000-04-17,12966,12966,12966,12966,43077,318002.0,22160409.0
2000-04-18,14365,14365,12649,13328,1196671,326866.0,22160409.0
2000-04-19,14094,14546,13552,14051,879371,344594.0,22160409.0
2000-04-20,14005,14863,13734,14457,885603,354567.0,22160409.0
2000-04-21,14862,15811,14456,15587,1165635,382267.0,22160409.0
2000-04-24,15586,15857,14231,14773,677917,362323.0,22160409.0
2000-04-25,14457,15180,14005,14999,575783,367863.0,22160409.0
2000-04-26,15901,16263,14727,14864,864831,364539.0,22160409.0
2000-04-27,14862,15585,14365,15090,612981,370079.0,22160409.0
2000-04-28,15811,16172,15088,16129,732894,395563.0,22160409.0
2000-05-02,16896,17077,16445,16490,703011,404427.0,22160409.0
2000-05-03,16128,17167,15993,16761,622574,411076.0,22160409.0
2000-05-04,16716,17438,16399,16716,643039,409968.0,22160409.0
2000-05-08,17257,17437,16805,17078,827666,418832.0,22160409.0
2000-05-09,16716,16851,16083,16761,334644,411076.0,22160409.0
2000-05-10,16670,17348,16173,16987,654899,416616.0,22160409.0
2000-05-12,17257,18522,16986,17846,1853656,437668.0,22160409.0
2000-05-15,17619,17800,15722,15722,684151,385591.0,22160409.0
2000-05-16,15992,17076,14998,16897,791327,414400.0,22160409.0
2000-05-17,16761,17529,15541,16445,1371253,403319.0,22160409.0
2000-05-18,15811,16444,14817,15135,858505,371187.0,22160409.0
2000-05-19,15314,16082,13733,15813,910069,387807.0,22160409.0
2000-05-22,15270,15767,13915,14999,664688,367863.0,22160409.0
2000-05-23,15315,16580,14231,15180,1106656,372295.0,22160409.0
2000-05-24,14546,14907,13371,13554,873217,332406.0,22160409.0
2000-05-25,14365,14998,13823,14864,978601,364539.0,22160409.0
2000-05-26,14139,14862,13100,13147,756058,322434.0,22160409.0
2000-05-29,11610,13418,11610,13011,867763,319110.0,22160409.0
2000-05-30,13372,14095,13282,14005,854139,343486.0,22160409.0
2000-05-31,14907,15630,14591,15406,838091,377835.0,22160409.0
2000-06-01,14907,15630,14185,15090,885106,370079.0,22160409.0
2000-06-02,15811,16444,14907,15361,1007846,385227.0,22660409.0
2000-06-05,16264,16535,15767,16038,739044,402222.0,22660409.0
2000-06-07,15540,16263,15359,15903,1031515,398823.0,22660409.0
2000-06-08,16172,16444,14365,14909,779511,373897.0,22660409.0
2000-06-09,14546,14727,14185,14638,347525,367099.0,22660409.0
2000-06-12,14908,15541,14457,15180,559064,380695.0,22660409.0
2000-06-13,14908,15044,14005,14186,306632,355768.0,22660409.0
2000-06-14,14547,15089,14321,14457,375665,362567.0,22660409.0
2000-06-15,14276,14366,13282,13463,349209,337640.0,22660409.0
2000-06-16,13553,14005,13282,13734,389958,344438.0,22660409.0
2000-06-19,13733,15133,13417,14051,548501,352369.0,22660409.0
2000-06-20,14457,14637,13643,14005,363314,351236.0,22660409.0
2000-06-21,14186,14728,13779,13960,361224,350103.0,22660409.0
2000-06-22,13734,15270,13734,14683,1310888,368232.0,22660409.0
2000-06-23,14094,14682,14094,14412,273028,361434.0,22660409.0
2000-06-26,14276,15089,14140,14728,488191,369365.0,22660409.0
2000-06-27,14908,15134,14321,14457,477859,362567.0,22660409.0
2000-06-28,14636,15133,14501,14638,506731,367099.0,22660409.0
2000-06-29,14637,15180,13915,14186,547987,355768.0,22660409.0
2000-06-30,14140,14276,13734,13960,339665,350103.0,22660409.0
2000-07-03,13779,14683,13734,14276,549159,358034.0,22660409.0
2000-07-04,14276,14592,13824,13960,506034,350103.0,22660409.0
2000-07-05,13734,14005,12559,13463,429284,337640.0,22660409.0
2000-07-06,13191,13959,12965,13644,686321,342172.0,22660409.0
2000-07-07,13642,13823,13191,13373,494441,335374.0,22660409.0
2000-07-10,13372,14276,13011,13508,773174,338773.0,22660409.0
2000-07-11,13642,13778,12874,13102,518559,328576.0,22660409.0
2000-07-12,12785,13282,12378,13011,762944,326310.0,22660409.0
2000-07-13,12920,13281,12513,12786,685699,320645.0,22660409.0
2000-07-14,12830,13824,12469,13192,1228381,330842.0,22660409.0
2000-07-18,13778,13913,13010,13825,999548,346704.0,22660409.0
2000-07-19,13823,14185,13371,13644,1492178,342172.0,22660409.0
2000-07-20,13371,13597,12016,13057,802888,327443.0,22660409.0
2000-07-21,13191,13462,12694,12786,443958,320645.0,22660409.0
2000-07-24,12469,12695,11746,11927,433866,299117.0,22660409.0
2000-07-25,11609,12152,11248,12063,372148,302516.0,22660409.0
2000-07-26,11927,12198,11565,11927,350133,299117.0,22660409.0
2000-07-27,11745,11926,11564,11611,215710,291186.0,22660409.0
2000-07-28,11293,11474,10525,10798,328220,270792.0,22660409.0
2000-07-31,10299,11112,10073,10798,470531,270792.0,22660409.0
2000-08-01,10978,11475,10797,11204,599916,280989.0,22660409.0
2000-08-02,11203,11519,10887,11114,356065,278723.0,22660409.0
2000-08-03,11294,12107,11294,11972,690246,300250.0,22660409.0
2000-08-04,12197,12197,11293,11566,365181,290053.0,22660409.0
2000-08-07,11474,11564,10751,10798,248917,270792.0,22660409.0
2000-08-08,10933,11113,10662,10888,301199,273058.0,22660409.0
2000-08-09,10751,11203,10751,11114,285109,278723.0,22660409.0
2000-08-10,11294,11294,10933,10978,171030,275324.0,22660409.0
2000-08-11,10841,11112,10841,11024,165101,276457.0,22660409.0
2000-08-14,11248,11519,11112,11295,394408,283255.0,22660409.0
2000-08-16,11475,11927,11385,11656,442174,292319.0,22660409.0
2000-08-17,12152,12648,11835,11882,793244,297984.0,22660409.0
2000-08-18,11880,12061,11293,11611,280184,291186.0,22660409.0
2000-08-21,11294,11746,10842,10978,652845,275324.0,22660409.0
2000-08-22,11112,12287,11112,11882,1349311,297984.0,22660409.0
2000-08-23,11836,12333,11520,11746,801287,294585.0,22660409.0
2000-08-24,11836,12107,11204,11746,667929,294585.0,22660409.0
2000-08-25,11835,12061,11338,11521,461665,288920.0,22660409.0
2000-08-28,11384,12152,11384,12018,621135,301383.0,22660409.0
2000-08-29,12197,12468,11745,11882,604270,297984.0,22660409.0
2000-08-30,11880,12016,11745,11837,160515,296851.0,22660409.0
2000-08-31,11656,11836,10933,11430,236438,286654.0,22660409.0
2000-09-01,11429,11835,11203,11611,298150,291186.0,22660409.0
2000-09-04,11746,12333,11701,11972,535078,300250.0,22660409.0
2000-09-05,12197,13371,12106,13373,1854685,335374.0,22660409.0
2000-09-06,13282,13508,12740,12966,1233013,325177.0,22660409.0
2000-09-07,12921,13824,12333,12469,1425802,312714.0,22660409.0
2000-09-08,12694,12829,11880,12289,613879,308182.0,22660409.0
2000-09-14,11880,12423,11429,12289,341402,308182.0,22660409.0
2000-09-15,11927,12514,11656,11656,353238,292319.0,22660409.0
