에스제이케이(080440),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-07-04,201934,219344,200958,212128,977597,23902.0,7400000.0
2005-07-05,211780,216705,206522,210162,352915,23680.0,7400000.0
2005-07-06,214733,214733,207517,210162,270256,23680.0,7400000.0
2005-07-07,210146,229199,208179,224608,884441,25308.0,7400000.0
2005-07-08,224588,248884,219997,237745,1229911,26788.0,7400000.0
2005-07-11,242993,249232,234129,241026,481077,27158.0,7400000.0
2005-07-12,241683,250218,220011,223293,786059,25160.0,7400000.0
2005-07-13,217698,232812,215397,227563,892844,25641.0,7400000.0
2005-07-14,223281,241013,222295,228221,675624,25715.0,7400000.0
2005-07-15,230507,235422,226563,230193,588148,25937.0,7400000.0
2005-07-18,233129,235758,226889,233149,326203,26270.0,7400000.0
2005-07-19,234771,250542,231489,246280,717035,27750.0,7400000.0
2005-07-20,246260,273519,243960,260732,989804,29378.0,7400000.0
2005-07-21,260053,269913,252838,258102,431903,29082.0,7400000.0
2005-07-22,251519,296506,244951,282404,761451,31820.0,7400000.0
2005-07-25,276482,297163,275163,292911,437104,33004.0,7400000.0
2005-07-26,295529,297825,277139,287000,325678,32338.0,7400000.0
2005-07-27,287649,292235,270563,278133,405175,31339.0,7400000.0
2005-07-28,280421,286655,274505,275835,487358,31080.0,7400000.0
2005-07-29,275820,281392,259402,260074,419165,29304.0,7400000.0
2005-08-01,261368,264660,250204,259417,267791,29230.0,7400000.0
2005-08-02,257751,265310,252174,252523,580620,28453.0,7400000.0
2005-08-03,253490,253824,216053,225923,1189264,25456.0,7400000.0
2005-08-04,226243,235760,224600,232817,383960,26233.0,7400000.0
2005-08-05,228529,235755,219989,229536,394812,25863.0,7400000.0
2005-08-08,225265,232481,220006,225265,153928,25382.0,7400000.0
2005-08-09,220006,233472,219015,225265,419776,25382.0,7400000.0
2005-08-10,225251,238053,225251,237745,280879,26788.0,7400000.0
2005-08-11,236084,244624,231159,241358,234117,27195.0,7400000.0
2005-08-12,241992,247246,231809,231834,188512,26122.0,7400000.0
2005-08-16,233131,233454,226558,229536,199402,25863.0,7400000.0
2005-08-17,225912,231156,220644,231176,116807,26048.0,7400000.0
2005-08-18,228858,234764,228858,230851,233238,26011.0,7400000.0
2005-08-19,229199,246937,229199,246937,160401,27824.0,7400000.0
2005-08-22,247592,254160,242338,251208,217123,28305.0,7400000.0
2005-08-23,251514,252823,245598,249567,280581,28120.0,7400000.0
2005-08-24,254802,254802,239703,243324,150534,27417.0,7400000.0
2005-08-25,239701,244626,235757,237088,141344,26714.0,7400000.0
2005-08-26,237075,240033,229849,230193,146104,25937.0,7400000.0
2005-08-29,229849,232468,223933,229536,87811,25863.0,7400000.0
2005-08-30,231475,237720,228532,232491,99495,26196.0,7400000.0
2005-08-31,232471,236086,226555,231834,55950,26122.0,7400000.0
2005-09-01,235091,235091,229513,233806,125916,26344.0,7400000.0
2005-09-02,230825,236413,230825,235447,108906,26529.0,7400000.0
2005-09-05,238056,251193,238056,241358,300048,27195.0,7400000.0
2005-09-06,241325,252166,241325,248910,188596,28046.0,7400000.0
2005-09-07,250216,252835,243648,249235,116313,28083.0,7400000.0
2005-09-08,251852,251852,236096,236430,230010,26640.0,7400000.0
2005-09-09,232475,239039,226564,235773,321112,26566.0,7400000.0
2005-09-12,231809,236420,226560,226580,227152,25530.0,7400000.0
2005-09-13,226550,228532,220639,220669,109214,24864.0,7400000.0
2005-09-14,217369,228205,217369,220337,127857,24827.0,7400000.0
2005-09-15,233136,233136,219013,219029,120377,24679.0,7400000.0
2005-09-16,219335,222945,216700,217388,114462,24494.0,7400000.0
2005-09-20,218696,227227,218696,223293,181995,25160.0,7400000.0
2005-09-21,221973,223293,206536,208190,237618,23458.0,7400000.0
2005-09-22,206865,209828,199315,208190,146203,23458.0,7400000.0
2005-09-23,209489,210141,177967,206875,178107,23310.0,7400000.0
2005-09-26,203576,207844,202585,207207,139665,23347.0,7400000.0
2005-09-27,206205,209820,197017,205234,95042,23125.0,7400000.0
2005-09-28,205217,207189,200620,203594,63225,22940.0,7400000.0
2005-09-29,203583,204564,198658,202279,98474,22792.0,7400000.0
2005-09-30,199958,203569,196353,200312,153632,22570.0,7400000.0
2005-10-04,197663,201268,197663,200312,68815,22570.0,7400000.0
2005-10-05,199310,210803,195037,206875,108949,23310.0,7400000.0
2005-10-06,206857,213430,202923,204577,86757,23051.0,7400000.0
2005-10-07,200292,205879,199630,204909,89254,23088.0,7400000.0
2005-10-10,207848,219346,205224,215084,159309,24235.0,7400000.0
2005-10-11,212776,221655,212776,219354,95754,24716.0,7400000.0
2005-10-12,217691,228532,217372,225923,180298,25456.0,7400000.0
2005-10-13,225902,225902,213418,220669,94009,24864.0,7400000.0
2005-10-14,217037,222624,213431,219686,66751,24753.0,7400000.0
2005-10-17,219011,224588,216048,216073,98562,24346.0,7400000.0
2005-10-18,215397,217041,203576,211145,82467,23791.0,7400000.0
2005-10-19,208182,215397,197675,205892,66156,23199.0,7400000.0
2005-10-20,203576,209158,200623,200638,39316,22607.0,7400000.0
2005-10-21,198972,205541,198972,205566,56565,23162.0,7400000.0
2005-10-24,201927,208824,201927,206549,37996,23273.0,7400000.0
2005-10-25,206521,207841,201601,203594,35947,22940.0,7400000.0
2005-10-26,202273,205555,198986,201621,107377,22718.0,7400000.0
2005-10-27,200944,205535,198967,198998,79847,22422.0,7400000.0
2005-10-28,197670,201609,197012,200638,35242,22607.0,7400000.0
2005-10-31,202590,202914,198970,202611,42140,22829.0,7400000.0
2005-11-01,206865,213433,199978,208190,210736,23458.0,7400000.0
2005-11-02,207846,216705,206855,216731,124958,24420.0,7400000.0
2005-11-03,219992,226889,214081,221984,219364,25012.0,7400000.0
2005-11-04,219337,223281,216384,219686,72400,24753.0,7400000.0
2005-11-07,223283,227874,223283,225923,220315,25456.0,7400000.0
2005-11-08,227870,244288,224589,244314,342542,27528.0,7400000.0
2005-11-09,249549,250212,233126,236104,323578,26603.0,7400000.0
2005-11-10,235096,244627,229518,243656,189833,27454.0,7400000.0
2005-11-11,262029,280085,244943,280106,661892,31561.0,7400000.0
2005-11-14,321803,321803,306690,321809,2887031,36260.0,7400000.0
2005-11-15,321803,348070,308332,308672,1441081,34780.0,7400000.0
2005-11-16,337559,354635,325075,354645,1974588,39960.0,7400000.0
2005-11-17,367766,407823,354635,355960,1775639,40108.0,7400000.0
2005-11-18,364480,407828,364480,371721,1198017,41884.0,7400000.0
2005-11-21,370386,380236,353315,361871,671137,40774.0,7400000.0
2005-11-22,359227,383523,341489,379604,746423,42772.0,7400000.0
2005-11-23,384181,435402,384181,397995,1161734,44844.0,7400000.0
2005-11-24,394035,420299,388777,402591,615201,45362.0,7400000.0
2005-11-25,405200,420304,384838,397338,447918,44770.0,7400000.0
2005-11-28,387476,407171,382218,387482,419199,43660.0,7400000.0
2005-11-29,376954,386809,338212,346768,413503,39072.0,7400000.0
2005-11-30,355292,398631,355292,398646,1043253,44918.0,7400000.0
2005-12-01,445915,458394,420956,458414,1328309,51652.0,7400000.0
2005-12-02,479423,482704,434102,450531,1040892,50764.0,7400000.0
2005-12-05,459708,478755,449858,460381,857050,51874.0,7400000.0
2005-12-06,459707,462342,414392,421633,686682,71262.0,11100000.0
2005-12-07,413735,430153,367110,369097,602216,62382.0,11100000.0
2005-12-08,366448,390749,339522,380919,399700,64380.0,11100000.0
2005-12-09,371054,437389,371054,423605,786003,71595.0,11100000.0
2005-12-12,420299,482695,417018,459729,631871,77700.0,11100000.0
2005-12-13,462995,466939,428186,440024,268792,74370.0,11100000.0
2005-12-14,434102,455773,407834,432140,325788,73038.0,11100000.0
2005-12-15,427533,436726,403890,410468,253751,69375.0,11100000.0
2005-12-16,361861,430158,361861,394708,363138,66711.0,11100000.0
2005-12-19,393382,410458,387466,393393,166975,66489.0,11100000.0
2005-12-20,387467,400608,379584,380262,192000,64269.0,11100000.0
2005-12-21,382218,406519,382218,392735,210716,66378.0,11100000.0
2005-12-22,411768,422938,390754,397338,265567,67155.0,11100000.0
2005-12-23,386819,401923,374987,389454,134109,65823.0,11100000.0
2005-12-26,389439,390743,373006,373693,119598,63159.0,11100000.0
2005-12-27,362508,374320,357907,357933,234199,60495.0,11100000.0
2005-12-28,355293,397321,353316,384200,265952,64935.0,11100000.0
2005-12-29,399284,399284,367762,385515,145161,65157.0,11100000.0
2006-01-02,424894,439345,409138,438051,314415,74037.0,11100000.0
2006-01-03,436070,443957,419651,419667,261661,70929.0,11100000.0
2006-01-04,420956,440008,417017,430174,222918,72705.0,11100000.0
2006-01-05,430806,432778,406510,413756,203414,69930.0,11100000.0
2006-01-06,407162,425553,407162,420324,153739,71040.0,11100000.0
2006-01-09,413730,419646,401251,401276,199827,67821.0,11100000.0
2006-01-10,401251,407167,371044,380919,201086,71887.0,12394320.0
2006-01-11,380908,394702,368434,387482,163958,73126.0,12394320.0
2006-01-12,382866,399941,377617,380919,177765,71887.0,12394320.0
2006-01-13,377617,384180,325081,380262,154305,71763.0,12394320.0
2006-01-16,381551,390091,371044,378947,235181,71515.0,12394320.0
2006-01-17,371700,378931,361203,361214,164492,68169.0,12394320.0
2006-01-18,354630,367761,322446,333631,150253,62963.0,12394320.0
2006-01-19,333611,348062,329015,341514,126668,64450.0,12394320.0
2006-01-20,334929,344778,295519,296849,154582,56022.0,12394320.0
2006-01-23,275822,298152,252502,252523,183389,47656.0,12394320.0
2006-01-24,229842,261697,216706,249567,156340,47098.0,12394320.0
2006-01-25,244619,267272,242319,253180,133194,47780.0,12394320.0
2006-01-26,255787,259402,244946,256793,129319,48462.0,12394320.0
2006-01-27,260044,281726,260044,265985,124987,50197.0,12394320.0
2006-01-31,295522,305701,279109,305716,182981,57696.0,12394320.0
2006-02-01,308004,321803,279764,293568,212331,55403.0,12394320.0
2006-02-02,293558,305374,279107,287657,81262,54287.0,12394320.0
2006-02-03,270567,286985,257754,272554,103272,51436.0,12394320.0
2006-02-06,259404,274507,259404,271565,42078,51251.0,12394320.0
2006-02-07,267610,287649,267610,271565,41435,51251.0,12394320.0
2006-02-08,269251,281730,263007,264013,50827,49825.0,12394320.0
2006-02-09,265967,270892,251521,256461,77751,48400.0,12394320.0
2006-02-10,250862,262021,250862,256793,74387,48462.0,12394320.0
2006-02-13,256120,265969,246270,248252,105341,46851.0,12394320.0
2006-02-14,244288,253809,236410,248910,107837,46974.0,12394320.0
2006-02-15,250864,252836,237728,242673,87700,45797.0,12394320.0
2006-02-16,236429,236429,223283,229204,121324,43256.0,12394320.0
2006-02-17,239701,239701,223602,226580,71879,42760.0,12394320.0
2006-02-20,222621,252828,218025,237745,222836,44867.0,12394320.0
2006-02-21,236420,242645,229847,233149,39714,44000.0,12394320.0
2006-02-22,236410,249541,224917,232491,109766,43876.0,12394320.0
2006-02-23,233790,237077,230185,235115,77357,44372.0,12394320.0
2006-02-24,230494,236734,223926,227238,76178,42884.0,12394320.0
2006-02-27,227227,248251,227227,229862,137243,43380.0,12394320.0
2006-02-28,231166,233790,220006,220012,97993,41521.0,12394320.0
2006-03-02,220644,229847,214738,216073,187592,40777.0,12394320.0
2006-03-03,216712,219665,206862,209830,125806,39600.0,12394320.0
2006-03-06,206862,208182,201614,205892,214304,38856.0,12394320.0
2006-03-07,201932,206200,197341,200638,114389,37865.0,12394320.0
2006-03-08,199965,208505,199965,199981,90150,37741.0,12394320.0
2006-03-09,199970,204895,199970,204577,77478,38608.0,12394320.0
2006-03-10,203573,206855,199301,199655,65273,37679.0,12394320.0
2006-03-13,200963,206874,200963,201621,69421,38051.0,12394320.0
2006-03-14,201611,202925,194056,195710,106170,36935.0,12394320.0
2006-03-15,194066,200301,184540,189799,109501,35820.0,12394320.0
2006-03-16,189789,189789,174023,174038,128993,32845.0,12394320.0
2006-03-17,174023,178620,162201,165504,156523,31234.0,12394320.0
2006-03-20,165492,171398,165492,168127,120414,31729.0,12394320.0
2006-03-21,171065,193071,171065,193086,413557,36439.0,12394320.0
2006-03-22,195705,203583,180920,185860,700917,35076.0,12394320.0
2006-03-23,178615,183206,173356,177326,336983,33465.0,12394320.0
2006-03-24,181246,203914,181246,203919,476873,38484.0,12394320.0
2006-03-27,216057,229194,206207,206875,1271847,39042.0,12394320.0
2006-03-28,204231,237720,197011,237745,561211,44867.0,12394320.0
2006-03-29,233131,260714,220980,241358,749019,45549.0,12394320.0
2006-03-30,237720,258745,233781,250882,331786,47346.0,12394320.0
2006-03-31,242340,253833,223292,223293,278532,42141.0,12394320.0
2006-04-03,223283,223283,207198,207532,598218,39166.0,12394320.0
2006-04-04,213749,219008,211458,216399,362745,40839.0,12394320.0
2006-04-05,221973,221973,207527,207532,321719,39166.0,12394320.0
2006-04-06,207517,221306,203569,215416,377277,40653.0,12394320.0
2006-04-07,215396,232152,212771,221984,485893,41893.0,12394320.0
2006-04-10,219670,221966,205881,205892,225559,38856.0,12394320.0
2006-04-11,203900,207181,188134,191446,274853,36129.0,12394320.0
2006-04-12,191432,200301,188479,190457,201180,35944.0,12394320.0
2006-04-13,191101,194711,187152,188158,190682,35510.0,12394320.0
2006-04-14,197011,216048,195691,216073,289165,40777.0,12394320.0
2006-04-17,221316,239377,217048,229862,971615,43380.0,12394320.0
2006-04-18,221303,221961,195359,195384,824081,36873.0,12394320.0
2006-04-19,200301,200958,188474,196368,308592,37059.0,12394320.0
2006-04-20,196347,197981,177295,177326,232394,33465.0,12394320.0
2006-04-21,177967,200296,177967,197025,260938,37183.0,12394320.0
2006-04-24,192413,197015,184530,186518,121752,35200.0,12394320.0
2006-04-25,183211,191752,181239,188490,98140,35572.0,12394320.0
2006-04-26,184212,186846,177972,179949,145758,33960.0,12394320.0
2006-04-27,186495,186495,177302,177651,78398,33527.0,12394320.0
2006-04-28,172713,176647,172056,173381,77048,32721.0,12394320.0
2006-05-02,170736,187155,166797,180607,117356,34084.0,12394320.0
2006-05-03,180589,183209,174011,174370,87060,32907.0,12394320.0
2006-05-04,175342,177967,172723,172723,46148,32597.0,12394320.0
2006-05-08,169427,176648,169427,171415,71089,32349.0,12394320.0
2006-05-09,171397,172054,168120,169117,41765,31915.0,12394320.0
2006-05-10,167781,173039,167781,170425,19923,32163.0,12394320.0
2006-05-11,168772,182556,168444,168459,44490,31791.0,12394320.0
2006-05-12,168444,168444,168444,168459,0,31791.0,12394320.0
2006-05-15,164173,168779,145135,157620,129361,29746.0,12394320.0
2006-05-16,154980,158919,152685,158278,94346,29870.0,12394320.0
2006-05-17,157605,158591,153004,153024,42567,28879.0,12394320.0
2006-05-18,146440,157615,144478,151709,58453,28631.0,12394320.0
2006-05-19,145783,150708,145125,147113,62148,27763.0,12394320.0
2006-05-22,150389,156953,147426,147770,64049,27887.0,12394320.0
2006-05-23,147102,150388,144477,149737,55417,28259.0,12394320.0
2006-05-24,152682,164176,147748,150726,76708,28445.0,12394320.0
2006-05-25,148736,152999,144792,149085,33498,28135.0,12394320.0
2006-05-26,153008,153337,138885,145798,42608,27515.0,12394320.0
2006-05-29,143487,147745,137242,147113,42004,27763.0,12394320.0
2006-05-30,147097,147754,139548,145798,41999,27515.0,12394320.0
2006-06-01,151039,151039,141836,144157,22765,27206.0,12394320.0
2006-06-02,146445,146445,139219,139229,23429,26276.0,12394320.0
2006-06-05,139877,142497,128384,132667,39844,25037.0,12394320.0
2006-06-07,126735,132651,118200,130037,23782,24541.0,12394320.0
2006-06-08,123451,131324,120164,122486,52648,23115.0,12394320.0
2006-06-09,124427,133296,122465,127739,60379,24107.0,12394320.0
2006-06-12,133959,146772,133959,146787,79915,27701.0,12394320.0
2006-06-13,149062,162208,144799,148753,480763,28073.0,12394320.0
2006-06-14,152351,156290,139872,148428,240465,28011.0,12394320.0
2006-06-15,151042,157615,145783,147770,234385,27887.0,12394320.0
2006-06-16,151039,154660,147753,152041,156111,28693.0,12394320.0
2006-06-19,154332,154332,143163,144483,65975,27268.0,12394320.0
2006-06-20,141177,148403,131327,132010,67264,24913.0,12394320.0
2006-06-21,133304,134942,129365,131352,28460,24789.0,12394320.0
2006-06-22,133304,134618,130012,131352,64979,24789.0,12394320.0
2006-06-23,131331,137247,128050,135291,101767,25532.0,12394320.0
2006-06-26,145133,155312,141846,155322,658819,29313.0,12394320.0
2006-06-27,164177,164177,142839,144483,459792,27268.0,12394320.0
2006-06-28,144478,146445,135285,140544,249237,26524.0,12394320.0
2006-06-29,141179,144137,139536,139561,103790,26338.0,12394320.0
2006-06-30,140536,144142,137578,137589,125639,25966.0,12394320.0
2006-07-03,136262,139544,134285,137921,97366,26028.0,12394320.0
2006-07-04,138883,143813,135273,142842,178382,26958.0,12394320.0
2006-07-05,137902,141189,133306,133650,172871,25222.0,12394320.0
2006-07-06,143816,153666,137900,137921,1453881,26028.0,12394320.0
2006-07-07,137900,144139,132651,135948,228917,25656.0,12394320.0
2006-07-10,134290,141192,134290,137263,107442,25904.0,12394320.0
2006-07-11,139555,140536,135606,136931,84156,25842.0,12394320.0
2006-07-12,136590,138552,133308,135948,88367,25656.0,12394320.0
2006-07-13,134285,140529,134285,136606,124695,25780.0,12394320.0
2006-07-14,134628,135937,127721,128065,100409,24169.0,12394320.0
2006-07-18,124763,126730,117204,120187,122788,22682.0,12394320.0
2006-07-19,118854,121155,108342,119856,107067,22620.0,12394320.0
2006-07-20,120824,122806,116228,118215,51095,22310.0,12394320.0
2006-07-21,114920,122146,114592,119856,79410,22620.0,12394320.0
2006-07-24,124766,126733,115897,117232,161158,22124.0,12394320.0
2006-07-25,118859,124118,117550,120513,117236,22744.0,12394320.0
2006-07-26,128055,138557,124116,124126,1184837,23425.0,12394320.0
2006-07-27,123123,124109,115250,118547,225899,22372.0,12394320.0
2006-07-28,121491,121491,115575,117558,87149,22186.0,12394320.0
2006-07-31,116889,118861,116232,116243,74043,21938.0,12394320.0
2006-08-01,114253,117869,111958,115917,104419,21876.0,12394320.0
2006-08-02,112287,114916,111634,111978,48681,21132.0,12394320.0
2006-08-03,112610,115563,109986,110663,102893,20884.0,12394320.0
2006-08-04,108345,111303,107359,108365,73523,20451.0,12394320.0
2006-08-07,107042,108023,102765,104752,127757,19769.0,12394320.0
2006-08-08,102768,105721,102429,103769,100631,19583.0,12394320.0
2006-08-09,104087,109998,104087,107050,145959,20203.0,12394320.0
2006-08-10,106378,109660,105721,109680,107033,20699.0,12394320.0
2006-08-11,109662,110976,107690,110006,63024,20760.0,12394320.0
2006-08-14,108025,112950,107368,110332,96987,20822.0,12394320.0
2006-08-16,108683,110979,107692,107708,115286,20327.0,12394320.0
2006-08-17,107690,109995,107033,110006,65180,20760.0,12394320.0
2006-08-18,109331,110646,107688,109680,99946,20699.0,12394320.0
2006-08-21,109333,115891,109333,109348,286973,20637.0,12394320.0
2006-08-22,108340,110975,106045,109680,183026,20699.0,12394320.0
2006-08-23,112287,126080,111306,111978,2322985,21132.0,12394320.0
2006-08-24,111637,113599,106702,109023,242533,20575.0,12394320.0
2006-08-25,109011,109011,104744,105078,249435,19831.0,12394320.0
2006-08-28,103422,105389,102759,102780,127133,19397.0,12394320.0
2006-08-29,103087,104401,97176,98516,223657,18591.0,12394320.0
2006-08-30,98497,104089,98173,98841,164921,18653.0,12394320.0
2006-08-31,101448,102434,99471,102454,92667,19335.0,12394320.0
2006-09-01,101139,104420,100805,101139,53717,19087.0,12394320.0
2006-09-04,101129,107035,101129,105735,185790,19955.0,12394320.0
2006-09-05,106044,108997,105063,108365,168026,20451.0,12394320.0
2006-09-06,112948,118854,109333,110006,385333,20760.0,12394320.0
2006-09-07,107694,109338,103088,108033,113132,20389.0,12394320.0
2006-09-08,108031,116238,108031,112304,144312,21194.0,12394320.0
2006-09-11,112944,116226,110648,112636,153821,21256.0,12394320.0
2006-09-12,111637,113275,109003,109680,141840,20699.0,12394320.0
2006-09-13,110653,116892,110653,115260,278521,21752.0,12394320.0
2006-09-14,119843,132327,115899,118215,1305075,22310.0,12394320.0
2006-09-15,116883,123451,114587,122486,299151,23115.0,12394320.0
2006-09-18,127070,127070,119188,119198,211935,22496.0,12394320.0
2006-09-19,118212,121155,118212,120513,186247,22744.0,12394320.0
2006-09-20,118856,122143,118204,121496,197626,22929.0,12394320.0
2006-09-21,121810,125425,121491,123469,205534,23301.0,12394320.0
2006-09-22,121815,135609,121815,124784,609423,23549.0,12394320.0
2006-09-25,124766,126075,115573,117232,269999,22124.0,12394320.0
2006-09-26,117535,120159,115887,116574,92537,22000.0,12394320.0
2006-09-27,116227,123781,114917,121496,306554,22929.0,12394320.0
2006-09-28,124437,128052,120169,120513,271080,22744.0,12394320.0
2006-09-29,120501,121158,114914,115591,177669,21814.0,12394320.0
2006-10-02,113586,115563,110304,110663,140871,20884.0,12394320.0
2006-10-04,109664,113598,105063,105735,151489,19955.0,12394320.0
2006-10-09,105725,108683,89964,89975,220951,16980.0,12394320.0
2006-10-10,87330,94228,87330,92605,156715,17476.0,12394320.0
2006-10-11,92586,94882,89962,93588,98883,17662.0,12394320.0
2006-10-12,93249,107371,93249,103437,415637,19521.0,12394320.0
2006-10-13,103420,105058,101124,102454,162947,19335.0,12394320.0
2006-10-16,102434,107692,102105,107708,181547,20327.0,12394320.0
2006-10-17,107697,107697,102772,105078,121299,19831.0,12394320.0
2006-10-18,103424,105725,102114,105078,68678,19831.0,12394320.0
2006-10-19,105066,105066,100141,100156,104558,18901.0,12394320.0
2006-10-20,100143,103424,99152,99824,100528,18839.0,12394320.0
2006-10-23,99807,104080,99145,100814,113975,19025.0,12394320.0
2006-10-24,101453,101776,97185,101797,161626,19211.0,12394320.0
2006-10-25,101781,108683,101781,105078,313311,19831.0,12394320.0
2006-10-26,105065,108023,100140,102122,130825,19273.0,12394320.0
2006-10-27,102429,103425,95213,96543,163878,18220.0,12394320.0
2006-10-30,95217,97184,87992,93256,98394,17600.0,12394320.0
2006-10-31,92589,98176,91926,95886,80254,18096.0,12394320.0
2006-11-01,95871,99820,95871,97858,38928,18468.0,12394320.0
2006-11-02,96533,98505,95223,95886,49676,18096.0,12394320.0
2006-11-03,95537,100138,95537,97201,164892,18344.0,12394320.0
2006-11-06,97185,103091,96866,100482,186392,18963.0,12394320.0
2006-11-07,101455,115254,100479,115260,1080178,21752.0,12394320.0
2006-11-08,122797,131989,113270,114934,3170768,21690.0,12394320.0
2006-11-09,117543,131989,117204,132010,4645410,24913.0,12394320.0
2006-11-10,135280,151699,134628,151709,3277665,28631.0,12394320.0
2006-11-13,156614,160887,133961,137921,3515814,26028.0,12394320.0
2006-11-14,141189,148414,136264,143500,2068107,27082.0,12394320.0
2006-11-15,144470,145451,125423,131020,1690558,24727.0,12394320.0
2006-11-16,131324,145780,128042,132993,2029396,25098.0,12394320.0
2006-11-17,132968,137240,129034,134965,976645,25470.0,12394320.0
2006-11-20,139881,151703,136595,139229,3040783,26276.0,12394320.0
2006-11-21,139219,139219,129036,130037,872437,24541.0,12394320.0
2006-11-22,129040,131670,122472,128722,950062,24293.0,12394320.0
2006-11-23,128712,136919,126078,136606,1117633,25780.0,12394320.0
2006-11-24,133961,135276,124764,126756,786492,23921.0,12394320.0
2006-11-27,124760,126742,108028,108033,1014521,20389.0,12394320.0
2006-11-28,101774,108023,100136,104752,602490,19769.0,12394320.0
2006-11-29,101781,119190,101781,111646,1048140,21070.0,12394320.0
2006-11-30,108340,112942,98485,98516,905704,18591.0,12394320.0
2006-12-01,98485,104401,97504,98516,443508,18591.0,12394320.0
2006-12-04,106373,109003,101129,103769,341996,19583.0,12394320.0
2006-12-05,102429,105063,98828,101797,461358,21953.0,14163312.0
2006-12-06,103420,103420,97833,98516,276713,21245.0,14163312.0
2006-12-07,97523,99485,92927,94571,342084,20395.0,14163312.0
2006-12-08,93239,93239,88309,89649,394151,19333.0,14163312.0
2006-12-11,89302,91603,87992,89975,372614,19404.0,14163312.0
2006-12-12,91919,96196,88309,88334,548043,19050.0,14163312.0
2006-12-13,88316,89631,82071,84721,494259,18271.0,14163312.0
2006-12-14,85355,87008,79125,85047,288169,18341.0,14163312.0
2006-12-15,84703,89305,84703,88334,341445,19050.0,14163312.0
2006-12-18,88645,90617,87335,90632,329109,19852.0,14385196.0
2006-12-19,90616,90616,87992,89317,180316,19564.0,14385196.0
2006-12-20,88311,89960,85687,86694,420725,18988.0,14385196.0
2006-12-21,85691,86682,80109,82091,357105,17981.0,14385196.0
2006-12-22,80443,83067,79452,79468,297112,17406.0,14385196.0
2006-12-26,78795,83058,78461,80782,285628,17694.0,14385196.0
2006-12-27,80766,83400,79785,82749,269147,18125.0,14385196.0
2006-12-28,83058,85354,81410,81440,211080,17838.0,14385196.0
2007-01-02,81748,84710,81748,84064,199285,18413.0,14385196.0
2007-01-03,84703,87984,83393,85704,555263,18773.0,14385196.0
2007-01-04,86673,98485,86011,98516,2369679,21578.0,14385196.0
2007-01-05,100800,106382,92588,100482,2187140,22009.0,14385196.0
2007-01-08,103086,108997,96523,96543,1536868,21146.0,14385196.0
2007-01-09,99157,110989,96866,110989,2605605,24311.0,14385196.0
2007-01-10,114261,114261,104082,109023,1375708,23879.0,14385196.0
2007-01-11,109338,110314,92915,92930,1718521,20355.0,14385196.0
2007-01-12,93899,94880,90283,91947,505841,20139.0,14385196.0
2007-01-15,93899,97514,92589,92605,841020,20283.0,14385196.0
2007-01-16,93572,96863,93248,96211,908467,21074.0,14385196.0
2007-01-17,97178,97840,91924,93588,719288,20499.0,14385196.0
