씨젠(096530),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-12-07,18716,18877,18286,18529,42359,223682.0,6483550.0
2010-12-08,18716,18742,17991,17991,56323,217199.0,6483550.0
2010-12-09,17991,18528,17481,17911,69554,216226.0,6483550.0
2010-12-10,17910,18044,17481,17696,38936,213633.0,6483550.0
2010-12-13,17964,17964,17319,17427,38007,210391.0,6483550.0
2010-12-14,17427,17803,16916,16917,46667,204232.0,6483550.0
2010-12-15,17078,17158,16379,16488,52916,199045.0,6483550.0
2010-12-16,16514,16567,15789,16112,80786,194506.0,6483550.0
2010-12-17,16111,18071,15842,17294,161156,208770.0,6483550.0
2010-12-20,17078,17884,16970,17562,98346,212012.0,6483550.0
2010-12-21,18232,18232,17292,17830,82267,215254.0,6483550.0
2010-12-22,17266,18662,17212,17991,219611,434398.0,12967100.0
2010-12-23,18125,18125,16944,17024,104935,411057.0,12967100.0
2010-12-24,16916,17024,15950,16112,117292,389013.0,12967100.0
2010-12-27,16245,16541,15816,16031,68918,387068.0,12967100.0
2010-12-28,16031,16702,15923,16649,85887,401980.0,12967100.0
2010-12-29,16863,16889,16111,16891,68797,407815.0,12967100.0
2010-12-30,16809,17104,16594,17079,145104,412354.0,12967100.0
2011-01-03,17185,17373,16863,16891,55509,407815.0,12967100.0
2011-01-04,17024,17024,15198,16514,90572,398738.0,12967100.0
2011-01-05,16621,16648,16219,16461,65698,397442.0,12967100.0
2011-01-06,16460,17829,16406,17454,132566,421431.0,12967100.0
2011-01-07,17427,18206,16836,16917,277835,408464.0,12967100.0
2011-01-10,17050,17130,16352,16568,131099,400035.0,12967100.0
2011-01-11,16379,16997,16031,16192,149711,390958.0,12967100.0
2011-01-12,16379,16379,15117,15306,210319,369562.0,12967100.0
2011-01-13,15466,15574,14285,14554,250876,351408.0,12967100.0
2011-01-14,14500,14795,14124,14313,188056,345573.0,12967100.0
2011-01-17,14204,14929,14070,14124,114318,341035.0,12967100.0
2011-01-18,14366,15144,14070,14581,242265,352057.0,12967100.0
2011-01-19,14581,14768,14204,14554,81031,351408.0,12967100.0
2011-01-20,14661,15144,14607,14608,113813,352705.0,12967100.0
2011-01-21,14607,14607,13721,13749,119766,331958.0,12967100.0
2011-01-24,13829,13829,12996,13239,118018,319639.0,12967100.0
2011-01-25,13345,13936,13345,13722,80714,331309.0,12967100.0
2011-01-26,13614,14500,13614,14420,76258,348167.0,12967100.0
2011-01-27,14446,14500,13801,13964,91287,337145.0,12967100.0
2011-01-28,14124,14124,13318,13856,54957,334551.0,12967100.0
2011-01-31,13533,14016,13533,13776,30833,332606.0,12967100.0
2011-02-01,13560,13909,13157,13158,78848,317694.0,12967100.0
2011-02-07,13291,13533,12728,12755,75058,307969.0,12967100.0
2011-02-08,13050,13050,12083,12513,110121,302133.0,12967100.0
2011-02-09,12781,12781,12083,12326,63728,297595.0,12967100.0
2011-02-10,12083,12593,11922,12460,101457,300837.0,12967100.0
2011-02-11,12351,12942,12351,12379,88264,298892.0,12967100.0
2011-02-14,12432,12754,12056,12326,94445,297595.0,12967100.0
2011-02-15,12325,13050,12325,12728,95299,307320.0,12967100.0
2011-02-16,12781,14634,12566,14474,319623,349463.0,12967100.0
2011-02-17,14312,15306,13856,14554,207357,351408.0,12967100.0
2011-02-18,14903,16702,14581,16514,314391,398738.0,12967100.0
2011-02-21,16514,16916,15816,16058,145788,387716.0,12967100.0
2011-02-22,15896,17078,15547,15897,208636,383826.0,12967100.0
2011-02-23,15816,16138,14714,14876,120219,359189.0,12967100.0
2011-02-24,14903,15762,14795,14849,84084,358540.0,12967100.0
2011-02-25,15010,16191,14929,16112,150284,389013.0,12967100.0
2011-02-28,16326,16648,16084,16166,107000,390310.0,12967100.0
2011-03-02,16164,16541,15896,16273,75104,392903.0,12967100.0
2011-03-03,16541,16541,16057,16246,80463,392255.0,12967100.0
2011-03-04,16299,16916,16272,16488,139352,398090.0,12967100.0
2011-03-07,16514,17024,16191,16219,108466,391606.0,12967100.0
2011-03-08,16138,16353,15708,15789,94805,381233.0,12967100.0
2011-03-09,16084,16138,15251,15252,83876,368266.0,12967100.0
2011-03-10,15171,15789,14849,15736,88477,379936.0,12967100.0
2011-03-11,15574,16111,15413,16112,53196,389013.0,12967100.0
2011-03-14,16164,16191,15091,15763,71860,380584.0,12967100.0
2011-03-15,15842,16406,14231,15601,132598,376694.0,12967100.0
2011-03-16,15493,15896,15037,15306,62919,369562.0,12967100.0
2011-03-17,14768,15037,14204,14769,114022,356595.0,12967100.0
2011-03-18,14876,15520,14849,15333,59478,370211.0,12967100.0
2011-03-21,15816,15869,15466,15521,78844,374749.0,12967100.0
2011-03-22,15681,16272,15091,15924,122633,384475.0,12967100.0
2011-03-23,16031,18206,15923,17911,434729,432453.0,12967100.0
2011-03-24,18206,18796,17749,18797,327302,453848.0,12967100.0
2011-03-25,18528,18904,17937,18099,237635,436991.0,12967100.0
2011-03-28,18259,18528,17319,18367,218389,443475.0,12967100.0
2011-03-29,18259,19709,17964,19414,446613,468761.0,12967100.0
2011-03-30,19548,21132,19414,19469,481466,470057.0,12967100.0
2011-03-31,19763,20676,19656,20409,277273,492750.0,12967100.0
2011-04-01,20649,20676,20139,20301,122526,490156.0,12967100.0
2011-04-04,20729,22985,20595,22288,506868,538135.0,12967100.0
2011-04-05,22770,23307,21750,22046,338334,532299.0,12967100.0
2011-04-06,22207,22905,21857,22449,178578,542025.0,12967100.0
2011-04-07,22448,23066,21589,22019,241848,531651.0,12967100.0
2011-04-08,22099,22529,21052,21241,205820,512849.0,12967100.0
2011-04-11,21401,23092,21374,23094,471076,557585.0,12967100.0
2011-04-12,23254,23254,22153,22557,237781,544618.0,12967100.0
2011-04-13,22126,22529,21213,22073,278201,532948.0,12967100.0
2011-04-14,22314,22770,21777,22637,189879,546563.0,12967100.0
2011-04-15,22770,23012,21616,21697,200034,523871.0,12967100.0
2011-04-18,21509,21535,18850,19388,473470,468112.0,12967100.0
2011-04-19,19548,20622,19467,19791,314072,477838.0,12967100.0
2011-04-20,19870,20166,18850,19254,210744,464871.0,12967100.0
2011-04-21,19253,20381,18635,19844,181741,479134.0,12967100.0
2011-04-22,20032,20166,19011,19684,134370,479111.0,13072600.0
2011-04-25,19870,20676,19844,20328,135984,494798.0,13072600.0
2011-04-26,21482,22985,21374,22717,553157,552971.0,13072600.0
2011-04-27,22985,23092,21482,21966,258614,534669.0,13072600.0
2011-04-28,22556,24140,22502,23497,466206,571926.0,13072600.0
2011-04-29,23898,24677,22744,23765,489832,578463.0,13072600.0
2011-05-02,24328,24542,23361,24329,215742,592189.0,13072600.0
2011-05-03,24597,26315,24542,25242,419275,614412.0,13072600.0
2011-05-04,25348,25670,24274,24866,170337,605261.0,13072600.0
2011-05-06,24167,25080,23737,23872,144576,581077.0,13072600.0
2011-05-09,23576,24167,22502,23282,270560,566697.0,13072600.0
2011-05-11,23200,24435,22985,24275,201961,590882.0,13072600.0
2011-05-12,23845,24650,23657,24437,92173,594803.0,13072600.0
2011-05-13,24435,26207,24382,25322,318518,616373.0,13072600.0
2011-05-16,25510,26369,25456,25994,224498,632714.0,13072600.0
2011-05-17,25778,26181,25322,25967,103573,632060.0,13072600.0
2011-05-18,25939,26315,24542,24705,147858,601340.0,13072600.0
2011-05-19,24704,25322,24140,24678,74575,600686.0,13072600.0
2011-05-20,24597,25885,24597,25054,74510,609837.0,13072600.0
2011-05-23,24731,25107,23630,23631,94970,575194.0,13072600.0
2011-05-24,23495,24516,23495,24437,41343,594803.0,13072600.0
2011-05-25,24220,25187,23952,24544,56544,597418.0,13072600.0
2011-05-26,24919,24919,24382,24705,47154,601340.0,13072600.0
2011-05-27,24704,25134,24462,24839,48700,604608.0,13072600.0
2011-05-30,25107,25670,24542,24839,68387,604608.0,13072600.0
2011-05-31,25026,25160,23630,24597,117440,598725.0,13072600.0
2011-06-01,24489,24489,23361,23362,145299,568658.0,13072600.0
2011-06-02,22663,23092,22019,22369,82156,544474.0,13072600.0
2011-06-03,22663,23603,22394,23255,92261,566044.0,13072600.0
2011-06-07,23415,23898,23254,23845,50742,580423.0,13072600.0
2011-06-08,23791,24059,23281,23631,30201,575194.0,13072600.0
2011-06-09,23469,23952,23362,23497,33158,571926.0,13072600.0
2011-06-10,23764,23845,22878,23147,40974,563429.0,13072600.0
2011-06-13,23092,23092,22234,22234,32236,541206.0,13072600.0
2011-06-14,22180,23039,22180,22610,33860,550356.0,13072600.0
2011-06-15,22770,23092,22770,22986,19788,559507.0,13072600.0
2011-06-16,22556,23200,22422,22986,24584,559507.0,13072600.0
2011-06-17,23522,23737,22797,23147,35180,563429.0,13072600.0
2011-06-20,23012,23334,22824,22825,33679,555586.0,13072600.0
2011-06-21,22878,23227,22287,22557,28093,549049.0,13072600.0
2011-06-22,22744,22985,22072,22932,29654,558200.0,13072600.0
2011-06-23,22932,23147,22582,22584,11858,549703.0,13072600.0
2011-06-24,22744,25241,22180,24114,96074,586960.0,13072600.0
2011-06-27,24167,25617,23630,23980,247337,583692.0,13072600.0
2011-06-28,24032,24435,23254,23469,50712,571273.0,13072600.0
2011-06-29,23469,23952,23147,23550,43842,573234.0,13072600.0
2011-06-30,23254,23898,23254,23765,42817,578463.0,13072600.0
2011-07-01,23898,23979,23227,23684,68094,576502.0,13072600.0
2011-07-04,23845,23845,23307,23604,65415,574541.0,13072600.0
2011-07-05,23469,24382,23469,24034,110475,584999.0,13072600.0
2011-07-06,24140,25241,23657,25242,201335,614412.0,13072600.0
2011-07-07,25832,27228,25832,26772,437860,651669.0,13072600.0
2011-07-08,27013,27013,26047,26235,284175,638597.0,13072600.0
2011-07-11,26825,27980,26584,26853,294936,653630.0,13072600.0
2011-07-12,26422,28410,26127,28303,323484,688926.0,13072600.0
2011-07-13,28625,30290,27980,28572,450162,695462.0,13072600.0
2011-07-14,28893,29698,28732,29270,204697,712457.0,13072600.0
2011-07-15,29591,29698,28570,29216,113214,711149.0,13072600.0
2011-07-18,29698,32760,29591,31150,398373,758211.0,13072600.0
2011-07-19,31740,32652,31148,32438,310899,789585.0,13072600.0
2011-07-20,32921,33297,31148,31633,228087,769976.0,13072600.0
2011-07-21,31954,33297,30343,33298,293209,810501.0,13072600.0
2011-07-22,33297,34371,32652,33244,154768,809194.0,13072600.0
2011-07-25,33458,33458,31900,32331,163008,786971.0,13072600.0
2011-07-26,31954,34048,31685,33513,205860,815730.0,13072600.0
2011-07-27,33941,34586,33136,33513,108730,815730.0,13072600.0
2011-07-28,32760,33190,32169,32707,210446,796121.0,13072600.0
2011-07-29,32438,33780,32438,32815,129816,798736.0,13072600.0
2011-08-01,33028,33565,32598,32760,62712,797429.0,13072600.0
2011-08-02,32975,33190,31095,31955,108131,777820.0,13072600.0
2011-08-03,30987,32760,30450,32170,131803,783049.0,13072600.0
2011-08-04,33136,33190,32062,32116,105457,781741.0,13072600.0
2011-08-05,30558,31900,29537,30559,141701,743831.0,13072600.0
2011-08-08,30128,31363,26906,29323,131608,713764.0,13072600.0
2011-08-09,26315,28195,25241,27122,182866,660166.0,13072600.0
2011-08-10,28410,29162,27926,28464,126973,692848.0,13072600.0
2011-08-11,26852,32706,26637,32707,306797,796121.0,13072600.0
2011-08-12,33834,37056,32975,35178,645796,856255.0,13072600.0
2011-08-16,37003,37056,35391,35500,197732,864099.0,13072600.0
2011-08-17,35928,38506,35445,36520,282646,888937.0,13072600.0
2011-08-18,37755,37862,35498,37057,251883,902009.0,13072600.0
2011-08-19,35498,38238,33888,34909,283637,849719.0,13072600.0
2011-08-22,34908,35982,32921,35123,150839,854948.0,13072600.0
2011-08-23,36465,37271,34210,35875,301028,873250.0,13072600.0
2011-08-24,36519,41246,35445,41246,769424,1003976.0,13072600.0
2011-08-25,40708,42212,37593,38883,608733,946456.0,13072600.0
2011-08-26,38883,42373,38130,41353,658709,1006590.0,13072600.0
2011-08-29,41783,42856,40816,41407,287460,1007897.0,13072600.0
2011-08-30,42105,42105,38291,39151,401931,952993.0,13072600.0
2011-08-31,39258,40655,37862,39688,263106,966065.0,13072600.0
2011-09-01,39688,39688,36734,36843,314404,896780.0,13072600.0
2011-09-02,36841,38883,35875,38507,298390,937305.0,13072600.0
2011-09-05,37808,39741,37003,37111,174691,903317.0,13072600.0
2011-09-06,36305,37969,34371,37540,224015,913775.0,13072600.0
2011-09-07,38130,38291,36358,36735,177074,894166.0,13072600.0
2011-09-08,37110,37433,35284,35661,167831,868021.0,13072600.0
2011-09-09,35338,36305,34693,34909,91667,849719.0,13072600.0
2011-09-14,34908,35660,32652,32815,125632,798736.0,13072600.0
2011-09-15,33565,37701,32975,37594,338298,915082.0,13072600.0
2011-09-16,37808,38668,36841,37863,150591,921618.0,13072600.0
2011-09-19,38668,39956,38130,38346,206447,933384.0,13072600.0
2011-09-20,38291,40171,38077,39366,206661,958222.0,13072600.0
2011-09-21,39527,44844,39366,43233,543314,1052344.0,13072600.0
2011-09-22,42266,47421,41890,45221,578280,1100713.0,13072600.0
2011-09-23,44146,46562,43071,43233,273287,1052344.0,13072600.0
2011-09-26,44414,44790,37593,39044,338219,950378.0,13072600.0
2011-09-27,40655,43501,40118,42965,239396,1045808.0,13072600.0
2011-09-28,43555,45488,41084,41085,141223,1000054.0,13072600.0
2011-09-29,40547,42481,40547,41729,79708,1015741.0,13072600.0
2011-09-30,42051,43071,41299,42213,92131,1027506.0,13072600.0
2011-10-04,40010,41084,39473,40441,118368,984367.0,13072600.0
2011-10-05,41353,43394,40977,41891,202741,1019663.0,13072600.0
2011-10-06,43018,44575,41406,41729,135786,1015741.0,13072600.0
2011-10-07,42749,42803,40386,41407,156372,1007897.0,13072600.0
2011-10-10,41621,43608,41568,42159,128098,1026199.0,13072600.0
2011-10-11,43179,43233,41890,42106,131837,1024892.0,13072600.0
2011-10-12,42427,44468,42212,43394,322826,1056266.0,13072600.0
2011-10-13,43931,44253,42105,42535,159435,1035350.0,13072600.0
2011-10-14,43018,43018,40601,42213,170223,1027506.0,13072600.0
2011-10-17,42803,45381,42427,44254,268395,1077182.0,13072600.0
2011-10-18,43823,45811,42803,42911,333071,1044501.0,13072600.0
2011-10-19,43071,44199,43071,43501,106962,1058881.0,13072600.0
2011-10-20,43555,43662,40547,40816,192484,993518.0,13072600.0
2011-10-21,41568,42105,39581,41085,110438,1000054.0,13072600.0
2011-10-24,41890,41890,39634,40387,167514,983060.0,13072600.0
2011-10-25,40708,42641,40440,40709,128427,990903.0,13072600.0
2011-10-26,40386,41514,40386,40494,52459,985674.0,13072600.0
2011-10-27,40816,41138,38828,39366,98158,958222.0,13072600.0
2011-10-28,39849,40333,36626,38131,169532,928155.0,13072600.0
2011-10-31,38345,39366,36841,38937,119544,947764.0,13072600.0
2011-11-01,38560,41568,38238,41085,167614,1000054.0,13072600.0
2011-11-02,40278,40977,39312,40226,113488,979138.0,13072600.0
2011-11-03,40923,41031,39258,39259,53501,955607.0,13072600.0
2011-11-04,39956,42696,39956,41353,183773,1006590.0,13072600.0
2011-11-07,41943,42427,41353,41568,75133,1011819.0,13072600.0
2011-11-08,41568,42266,40923,40924,62217,996132.0,13072600.0
2011-11-09,40493,41729,40493,41729,58314,1015741.0,13072600.0
2011-11-10,40816,41299,39741,39796,64679,968680.0,13072600.0
2011-11-11,41138,41514,39741,41515,58766,1010512.0,13072600.0
2011-11-14,42158,42427,40493,40709,93718,990903.0,13072600.0
2011-11-15,41246,41246,40171,40172,50421,977830.0,13072600.0
2011-11-16,40708,41138,38775,38776,70383,943842.0,13072600.0
2011-11-17,37969,38828,37701,38238,79941,930769.0,13072600.0
2011-11-18,38238,39366,37486,37863,103482,921618.0,13072600.0
2011-11-21,37808,38077,35982,35983,89920,875864.0,13072600.0
2011-11-22,34532,37378,34532,36251,83247,882400.0,13072600.0
2011-11-23,36412,36949,34908,34909,64568,849719.0,13072600.0
2011-11-24,34532,35821,32760,35446,60576,862792.0,13072600.0
2011-11-25,35445,35660,33082,33083,70330,805272.0,13072600.0
2011-11-28,33565,33565,31417,32116,92839,781741.0,13072600.0
2011-11-29,32598,32867,31095,31955,185713,777820.0,13072600.0
2011-11-30,33458,36734,33297,34963,467051,851026.0,13072600.0
2011-12-01,36036,36090,33512,34801,238821,847104.0,13072600.0
2011-12-02,34800,36090,34210,34909,150236,849719.0,13072600.0
2011-12-05,35015,35553,34263,35338,148920,860177.0,13072600.0
2011-12-06,35015,35606,33780,34372,128550,836646.0,13072600.0
2011-12-07,34048,34263,33028,33298,123744,810501.0,13072600.0
2011-12-08,33404,36573,33404,36144,311909,879786.0,13072600.0
2011-12-09,35821,38613,35768,36144,200844,879786.0,13072600.0
2011-12-12,37056,39312,36627,38937,218874,947764.0,13072600.0
2011-12-13,38936,41353,37916,38722,264159,942534.0,13072600.0
2011-12-14,39634,39956,36305,37487,256007,912467.0,13072600.0
2011-12-15,36788,37486,35982,37003,96718,900702.0,13072600.0
2011-12-16,37969,38506,36519,37433,76789,911160.0,13072600.0
2011-12-19,37056,37701,34103,35661,110351,868021.0,13072600.0
2011-12-20,35928,38023,35660,37326,84063,908546.0,13072600.0
2011-12-21,38613,39312,38130,38668,92911,941227.0,13072600.0
2011-12-22,38775,40547,38775,40172,129179,977830.0,13072600.0
2011-12-23,40440,40493,39205,39743,63904,967372.0,13072600.0
2011-12-26,39741,39849,38721,39688,46689,966065.0,13072600.0
2011-12-27,39849,40064,37647,37916,77369,922926.0,13072600.0
2011-12-28,37325,39043,37271,38883,77547,946456.0,13072600.0
2011-12-29,38775,40547,38291,40172,85659,977830.0,13072600.0
2012-01-02,40225,40493,39741,40172,34502,977830.0,13072600.0
2012-01-03,40278,40601,39741,39743,58812,967372.0,13072600.0
2012-01-04,40278,40333,38883,38937,97036,947764.0,13072600.0
2012-01-05,39205,39419,38077,38185,73593,929462.0,13072600.0
2012-01-06,38453,38990,38130,38185,41161,929462.0,13072600.0
2012-01-09,38668,39312,38238,38883,54284,946456.0,13072600.0
2012-01-10,39473,40816,39097,40118,152806,976523.0,13072600.0
2012-01-11,40816,40869,39527,39528,111767,962143.0,13072600.0
2012-01-12,40064,40440,39527,39850,69742,969987.0,13072600.0
2012-01-13,40171,40333,39634,40279,64176,980445.0,13072600.0
2012-01-16,39849,40386,39205,39850,41683,969987.0,13072600.0
2012-01-17,39741,40010,37056,37326,213830,908546.0,13072600.0
2012-01-18,37486,37593,35498,35768,146230,870635.0,13072600.0
2012-01-19,36143,36841,36090,36359,66107,885015.0,13072600.0
2012-01-20,36788,36788,34532,34694,127508,844490.0,13072600.0
2012-01-25,34371,35230,33404,33673,102683,819652.0,13072600.0
2012-01-26,33888,35713,33834,35715,86875,869328.0,13072600.0
2012-01-27,35821,36251,35338,35338,42752,860177.0,13072600.0
2012-01-30,35875,35875,34371,34479,46031,839261.0,13072600.0
2012-01-31,34371,35660,34103,34479,72018,839261.0,13072600.0
2012-02-01,34478,35230,33941,34855,71742,848412.0,13072600.0
2012-02-02,35176,35230,34263,34533,43999,840568.0,13072600.0
2012-02-03,34747,36358,34586,36251,102062,882400.0,13072600.0
2012-02-06,36519,36788,35338,35661,51793,868021.0,13072600.0
2012-02-07,35069,36465,35069,35715,45034,869328.0,13072600.0
2012-02-08,35445,36948,35445,36950,80886,899395.0,13072600.0
2012-02-09,36895,36895,35445,35607,78580,866713.0,13072600.0
2012-02-10,35606,35982,34532,35178,73344,856255.0,13072600.0
2012-02-13,34908,35391,34640,34748,35816,845797.0,13072600.0
2012-02-14,34693,35176,34532,35123,39279,854948.0,13072600.0
2012-02-15,35069,35338,34317,34694,49424,844490.0,13072600.0
2012-02-16,34693,36788,34371,35929,135304,874557.0,13072600.0
2012-02-17,36519,36519,35768,36359,45338,885015.0,13072600.0
2012-02-20,36197,36197,35498,35929,31055,874557.0,13072600.0
2012-02-21,35928,36573,35713,36520,41268,888937.0,13072600.0
2012-02-22,36519,37110,36412,36520,43315,888937.0,13072600.0
2012-02-23,36680,36680,35713,36251,30434,882400.0,13072600.0
2012-02-24,36519,36519,34800,34963,58933,851026.0,13072600.0
2012-02-27,35015,35713,34640,35446,56671,862792.0,13072600.0
2012-02-28,35498,36734,35498,36466,89621,887630.0,13072600.0
2012-02-29,37433,38291,36949,37272,115536,907238.0,13072600.0
2012-03-02,38130,38130,36412,38078,78868,926847.0,13072600.0
2012-03-05,37593,38453,37378,37809,35783,920311.0,13072600.0
2012-03-06,37808,38345,37540,37540,38642,913775.0,13072600.0
2012-03-07,36949,37593,36788,37165,20640,904624.0,13072600.0
2012-03-08,37163,37540,36841,37218,24038,905931.0,13072600.0
2012-03-09,37486,38291,37218,38078,34539,926847.0,13072600.0
2012-03-12,38560,38560,37378,37594,16449,915082.0,13072600.0
2012-03-13,37593,37862,37271,37701,19178,917697.0,13072600.0
2012-03-14,38291,38506,37271,37326,41118,908546.0,13072600.0
2012-03-15,37110,38130,37110,37648,35097,916389.0,13072600.0
2012-03-16,37701,39097,37486,39098,49957,951685.0,13072600.0
2012-03-19,38936,39634,38560,38668,47547,941227.0,13072600.0
2012-03-20,38668,38936,37540,38078,31036,926847.0,13072600.0
2012-03-21,37916,37916,36251,36251,68177,882400.0,13072600.0
2012-03-22,35875,36251,34747,34909,80475,849719.0,13072600.0
2012-03-23,34908,35553,33619,34157,94977,831417.0,13072600.0
2012-03-26,34048,34747,33673,33673,50699,819652.0,13072600.0
2012-03-27,33834,35982,33834,35661,107777,868021.0,13072600.0
2012-03-28,35982,36519,35498,36520,54187,888937.0,13072600.0
2012-03-29,36412,36626,35445,35983,25385,875864.0,13072600.0
2012-03-30,36090,37593,36090,37540,96025,913775.0,13072600.0
2012-04-02,37433,37593,36734,37218,24667,905931.0,13072600.0
2012-04-03,37593,38399,36841,37218,56367,905931.0,13072600.0
2012-04-04,37218,37271,35445,36305,53373,883708.0,13072600.0
2012-04-05,35713,36519,35069,35607,38012,866713.0,13072600.0
2012-04-06,36305,36305,34908,35446,37773,862792.0,13072600.0
2012-04-09,35768,36143,34908,35178,38340,856255.0,13072600.0
2012-04-10,35015,35553,34640,35178,36455,856255.0,13072600.0
2012-04-12,35928,35928,34425,34748,40899,845797.0,13072600.0
2012-04-13,34908,35982,34693,35446,60029,862792.0,13072600.0
2012-04-16,35176,35606,34210,34479,75594,839261.0,13072600.0
2012-04-17,34478,35713,33995,35123,74218,854948.0,13072600.0
2012-04-18,34800,35606,34800,35231,25440,857563.0,13072600.0
2012-04-19,34425,35445,34425,35392,28800,861484.0,13072600.0
2012-04-20,35606,35606,34908,35392,21836,861484.0,13072600.0
2012-04-23,35445,35553,34800,35070,19681,853641.0,13072600.0
2012-04-24,35284,35284,34425,34963,18121,851026.0,13072600.0
2012-04-25,34478,35015,33888,33942,31353,826188.0,13072600.0
2012-04-26,34263,34640,29967,32223,103813,784356.0,13072600.0
2012-04-27,32276,33780,31471,32223,60587,785766.0,13096100.0
2012-04-30,32384,32598,29591,30075,103310,733382.0,13096100.0
2012-05-02,29860,30880,29806,30559,91596,745168.0,13096100.0
2012-05-03,30665,31685,30612,31310,130550,763503.0,13096100.0
2012-05-04,31041,32921,31041,32492,130828,792314.0,13096100.0
2012-05-07,32330,33834,31954,32975,85030,804101.0,13096100.0
2012-05-08,33243,33512,32545,32868,43163,801481.0,13096100.0
2012-05-09,32867,33404,32598,32815,47708,800172.0,13096100.0
2012-05-10,32491,33028,32223,32492,34058,792314.0,13096100.0
2012-05-11,32867,32921,32169,32277,36599,787076.0,13096100.0
2012-05-14,31954,32491,31954,32331,30063,788385.0,13096100.0
2012-05-15,31847,32438,30128,31095,56282,758264.0,13096100.0
2012-05-16,30665,31095,28839,29001,60970,707189.0,13096100.0
2012-05-17,29269,29430,26825,28142,112551,686236.0,13096100.0
2012-05-18,27604,27604,24757,26020,125706,634506.0,13096100.0
