아이원스(114810),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-04-16,5790,6065,5771,5999,582100,57301.0,9066666.0
2013-04-17,6056,6455,5999,6408,706168,61200.0,9066666.0
2013-04-18,6445,6445,6094,6094,542563,58208.0,9066666.0
2013-04-19,5961,6198,5819,6151,371260,58752.0,9066666.0
2013-04-22,6075,6227,6046,6151,309590,58752.0,9066666.0
2013-04-23,6122,6236,6046,6227,242988,59477.0,9066666.0
2013-04-24,6322,6398,6122,6208,240555,59296.0,9066666.0
2013-04-25,6208,6208,5951,5971,297868,57029.0,9066666.0
2013-04-26,5895,6056,5885,5933,272848,56667.0,9066666.0
2013-04-29,5932,6160,5894,6142,326731,58661.0,9066666.0
2013-04-30,6198,6198,5942,6009,165231,57392.0,9066666.0
2013-05-02,6027,6027,5866,5999,104889,57301.0,9066666.0
2013-05-03,5989,6312,5989,6256,320284,63044.0,9566666.0
2013-05-06,6360,6673,6303,6626,693280,66775.0,9566666.0
2013-05-07,6720,6777,6502,6626,292963,66775.0,9566666.0
2013-05-08,6654,6663,6502,6616,256673,66680.0,9566666.0
2013-05-09,6644,6891,6597,6825,521701,68784.0,9566666.0
2013-05-10,6749,6929,6739,6854,271408,69071.0,9566666.0
2013-05-13,6910,7034,6825,7034,364272,70889.0,9566666.0
2013-05-14,7034,7043,6749,6949,415785,70028.0,9566666.0
2013-05-15,6939,6939,6739,6740,167632,67923.0,9566666.0
2013-05-16,6834,7091,6815,6996,369519,70506.0,9566666.0
2013-05-20,7034,7167,6986,7139,262414,71941.0,9566666.0
2013-05-21,7195,7508,7081,7471,444546,75290.0,9566666.0
2013-05-22,7432,7708,7309,7594,335121,76533.0,9566666.0
2013-05-23,7594,7632,7432,7594,227642,76533.0,9566666.0
2013-05-24,7499,7632,7394,7547,231933,76055.0,9566666.0
2013-05-27,7546,7584,7394,7480,147728,75385.0,9566666.0
2013-05-28,7404,7480,7233,7471,286336,75290.0,9566666.0
2013-05-29,7537,7869,7423,7746,325564,78064.0,9566666.0
2013-05-30,7803,7812,7499,7642,204982,77012.0,9566666.0
2013-05-31,7679,7679,7261,7499,259809,75577.0,9566666.0
2013-06-03,7394,7499,7252,7376,164942,74333.0,9566666.0
2013-06-04,7309,7375,6977,7196,269424,72515.0,9566666.0
2013-06-05,7138,7195,6815,6835,93776,68880.0,9566666.0
2013-06-07,6882,6977,6236,6825,242824,68784.0,9566666.0
2013-06-10,6825,6901,6663,6825,178894,68784.0,9566666.0
2013-06-11,6834,6872,6578,6816,150460,68689.0,9566666.0
2013-06-12,6806,7043,6692,6977,152353,70315.0,9566666.0
2013-06-13,6958,7148,6901,7034,191484,70889.0,9566666.0
2013-06-14,7034,7072,6796,7025,89240,70793.0,9566666.0
2013-06-17,6939,6977,6455,6683,238979,67349.0,9566666.0
2013-06-18,6682,6806,6559,6797,84516,68497.0,9566666.0
2013-06-19,6758,6796,6606,6740,71559,67923.0,9566666.0
2013-06-20,6512,6701,6255,6455,370282,65053.0,9566666.0
2013-06-21,6227,6274,5885,6047,346042,60940.0,9566666.0
2013-06-24,6122,6122,5743,5743,142995,57878.0,9566666.0
2013-06-25,5629,5714,5183,5344,288090,53860.0,9566666.0
2013-06-26,5534,5676,5363,5677,199311,57209.0,9566666.0
2013-06-27,5714,5980,5714,5961,199505,60079.0,9566666.0
2013-06-28,6141,6160,5942,6037,210860,60844.0,9566666.0
2013-07-01,6027,6027,5857,5933,146083,59792.0,9566666.0
2013-07-02,5932,5961,5733,5867,165921,59122.0,9566666.0
2013-07-03,5857,5857,5486,5629,208897,56730.0,9566666.0
2013-07-04,5629,5733,5477,5639,160198,56826.0,9566666.0
2013-07-05,5695,5885,5657,5772,207794,58165.0,9566666.0
2013-07-08,5771,5771,5458,5477,113002,55200.0,9566666.0
2013-07-09,5572,5572,5315,5506,112159,55487.0,9566666.0
2013-07-10,5505,5553,5268,5325,99830,53669.0,9566666.0
2013-07-11,5363,5762,5363,5762,187462,58070.0,9566666.0
2013-07-12,5752,5847,5686,5810,111139,58548.0,9566666.0
2013-07-15,5809,5932,5695,5791,94691,58357.0,9566666.0
2013-07-16,5809,6018,5686,5952,153678,59983.0,9566666.0
2013-07-17,5980,6445,5857,6009,316660,60557.0,9566666.0
2013-07-18,6046,6065,5895,5904,96176,59505.0,9566666.0
2013-07-19,5895,6084,5819,5980,239574,60270.0,9566666.0
2013-07-22,6018,6094,5932,5952,89851,59983.0,9566666.0
2013-07-23,5923,6018,5838,5857,159626,59026.0,9566666.0
2013-07-24,5885,5970,5828,5923,76289,59696.0,9566666.0
2013-07-25,5942,5970,5857,5886,90001,59313.0,9566666.0
2013-07-26,5932,6208,5932,6123,330269,61705.0,9566666.0
2013-07-29,6122,6455,6094,6265,352761,63140.0,9566666.0
2013-07-30,6331,6730,6265,6578,861639,66297.0,9566666.0
2013-07-31,6587,6644,6464,6522,177432,65723.0,9566666.0
2013-08-01,6654,6787,6606,6635,341488,66871.0,9566666.0
2013-08-02,6739,6739,6578,6626,194864,66775.0,9566666.0
2013-08-05,6616,6644,6531,6550,84700,66010.0,9566666.0
2013-08-06,6550,6616,6265,6370,192552,64192.0,9566666.0
2013-08-07,6227,6369,6208,6265,184693,63140.0,9566666.0
2013-08-08,6265,6417,6236,6360,144727,64097.0,9566666.0
2013-08-09,6369,6426,6236,6398,121351,64479.0,9566666.0
2013-08-12,6417,6426,6274,6389,148433,64384.0,9566666.0
2013-08-13,6407,6464,6293,6446,112606,64958.0,9566666.0
2013-08-14,6455,6711,6445,6645,346353,66967.0,9566666.0
2013-08-16,6550,6739,6502,6503,280773,65532.0,9566666.0
2013-08-19,6502,6550,6331,6474,97328,65245.0,9566666.0
2013-08-20,6474,6559,6056,6104,289681,61514.0,9566666.0
2013-08-21,6160,6198,5733,5753,331640,57974.0,9566666.0
2013-08-22,5667,5724,5553,5563,125463,56061.0,9566666.0
2013-08-23,5790,6037,5676,6028,163257,60748.0,9566666.0
2013-08-26,5942,6008,5923,5961,57261,60079.0,9566666.0
2013-08-27,5923,5989,5705,5743,133088,57878.0,9566666.0
2013-08-28,5562,5752,5515,5753,86896,57974.0,9566666.0
2013-08-29,5743,5970,5733,5923,102694,59696.0,9566666.0
2013-08-30,5895,5932,5771,5791,67480,58357.0,9566666.0
2013-09-02,5857,5904,5800,5857,44134,59026.0,9566666.0
2013-09-03,5885,5942,5838,5895,56077,59409.0,9566666.0
2013-09-04,5961,5961,5714,5724,100810,57687.0,9566666.0
2013-09-05,5752,5885,5724,5791,125750,58357.0,9566666.0
2013-09-06,5800,5847,5724,5724,93216,57687.0,9566666.0
2013-09-09,5714,5857,5667,5848,111703,58931.0,9566666.0
2013-09-10,5847,5932,5743,5743,98136,57878.0,9566666.0
2013-09-11,5809,5838,5762,5800,61542,58452.0,9566666.0
2013-09-12,5819,5961,5781,5838,95146,58835.0,9566666.0
2013-09-13,5828,5932,5800,5800,57854,58452.0,9566666.0
2013-09-16,5895,5895,5771,5772,29800,58165.0,9566666.0
2013-09-17,5828,5828,5743,5753,43932,57974.0,9566666.0
2013-09-23,5752,5828,5705,5715,79970,57591.0,9566666.0
2013-09-24,5657,5743,5619,5620,74084,56635.0,9566666.0
2013-09-25,5733,5733,5477,5648,95787,56922.0,9566666.0
2013-09-26,5648,5667,5553,5601,82190,56443.0,9566666.0
2013-09-27,5600,5714,5600,5648,55741,56922.0,9566666.0
2013-09-30,5657,5686,5600,5629,40852,56730.0,9566666.0
2013-10-01,5657,5657,5467,5487,113571,55295.0,9566666.0
2013-10-02,5496,5591,5458,5458,73476,55008.0,9566666.0
2013-10-04,5439,5467,5230,5240,203380,52808.0,9566666.0
2013-10-07,5344,5410,5240,5344,157814,53860.0,9566666.0
2013-10-08,5344,5420,5240,5401,58720,54434.0,9566666.0
2013-10-10,5401,5562,5306,5563,62378,56061.0,9566666.0
2013-10-11,5600,5705,5553,5658,122212,57017.0,9566666.0
2013-10-14,5657,5932,5553,5810,297437,58548.0,9566666.0
2013-10-15,5838,5857,5714,5781,87260,58261.0,9566666.0
2013-10-16,5743,5885,5714,5762,90919,58070.0,9566666.0
2013-10-17,5733,5876,5562,5648,124273,56922.0,9566666.0
2013-10-18,5591,5743,5591,5743,78407,57878.0,9566666.0
2013-10-21,5705,5733,5562,5563,75657,56061.0,9566666.0
2013-10-22,5562,5657,5553,5563,46518,56061.0,9566666.0
2013-10-23,5600,5638,5505,5572,59825,56156.0,9566666.0
2013-10-24,5572,5667,5505,5667,50766,57113.0,9566666.0
2013-10-25,5657,5733,5619,5686,38521,57304.0,9566666.0
2013-10-28,5800,5800,5667,5686,59904,57304.0,9566666.0
2013-10-29,5648,5904,5648,5876,225198,59218.0,9566666.0
2013-10-30,5895,6151,5847,6075,330564,61227.0,9566666.0
2013-10-31,6122,6132,6018,6066,87564,61131.0,9566666.0
2013-11-01,6037,6284,6027,6275,236238,63236.0,9566666.0
2013-11-04,6379,6493,6208,6265,213447,63140.0,9566666.0
2013-11-05,6341,6341,6217,6256,195461,63044.0,9566666.0
2013-11-06,6265,6322,6027,6123,161583,61705.0,9566666.0
2013-11-07,6122,6151,6027,6075,87281,61227.0,9566666.0
2013-11-08,6027,6151,5942,6047,86511,60940.0,9566666.0
2013-11-11,6075,6122,5714,5800,208410,58452.0,9566666.0
2013-11-12,5932,6255,5932,6028,451125,60748.0,9566666.0
2013-11-13,6046,6246,6037,6075,143920,61227.0,9566666.0
2013-11-14,6122,6132,5904,6085,128145,61322.0,9566666.0
2013-11-15,6122,6322,6046,6265,287769,63140.0,9566666.0
2013-11-18,6341,6417,6170,6275,173436,63236.0,9566666.0
2013-11-19,6265,6265,6046,6066,144379,61131.0,9566666.0
2013-11-20,6075,6141,5923,6028,156962,60748.0,9566666.0
2013-11-21,6027,6056,5838,5848,99189,58931.0,9566666.0
2013-11-22,5866,6103,5866,6028,83191,60748.0,9566666.0
2013-11-25,6075,6141,5961,6142,60501,61896.0,9566666.0
2013-11-26,6170,6587,6122,6588,770561,66393.0,9566666.0
2013-11-27,6606,6720,6531,6664,457014,67158.0,9566666.0
2013-11-28,6711,6739,6606,6730,272042,67828.0,9566666.0
2013-11-29,6806,6806,6635,6645,287147,66967.0,9566666.0
2013-12-02,6644,6692,6474,6588,266987,66393.0,9566666.0
2013-12-03,6502,6739,6502,6645,203824,66967.0,9566666.0
2013-12-04,6654,6692,6521,6692,134920,67445.0,9566666.0
2013-12-05,6711,6815,6616,6702,168929,67541.0,9566666.0
2013-12-06,6673,6758,6512,6635,148365,66871.0,9566666.0
2013-12-09,6654,6749,6464,6522,200790,65723.0,9566666.0
2013-12-10,6559,6559,6217,6265,235421,63140.0,9566666.0
2013-12-11,6246,6379,6179,6275,146656,63236.0,9566666.0
2013-12-12,6189,6369,6189,6265,92744,63140.0,9566666.0
2013-12-13,6236,6350,6179,6303,87056,63523.0,9566666.0
2013-12-16,6341,6502,6312,6313,103629,63618.0,9566666.0
2013-12-17,6360,6587,6360,6503,188361,65532.0,9566666.0
2013-12-18,6502,6531,6312,6465,82097,65149.0,9566666.0
2013-12-19,6502,6540,6265,6265,96516,63140.0,9566666.0
2013-12-20,6322,6398,6217,6303,83646,63523.0,9566666.0
2013-12-23,6398,6426,6303,6303,64447,63523.0,9566666.0
2013-12-24,6379,6407,6255,6303,69290,63523.0,9566666.0
2013-12-26,6284,6360,6217,6360,103812,64097.0,9566666.0
2013-12-27,6436,6597,6350,6597,133983,66488.0,9566666.0
2013-12-30,6587,6768,6568,6578,140512,66297.0,9566666.0
2014-01-02,6578,6587,6360,6370,102837,64192.0,9566666.0
2014-01-03,6369,6483,6274,6455,65353,65053.0,9566666.0
2014-01-06,6455,6531,6369,6455,60754,65053.0,9566666.0
2014-01-07,6455,6521,6227,6465,120108,65149.0,9566666.0
2014-01-08,6474,6531,6388,6417,81787,64671.0,9566666.0
2014-01-09,6388,6644,6388,6626,186422,66775.0,9566666.0
2014-01-10,6597,6711,6550,6645,143623,66967.0,9566666.0
2014-01-13,6663,6806,6635,6721,214135,67732.0,9566666.0
2014-01-14,6701,6796,6625,6692,136302,67445.0,9566666.0
2014-01-15,6673,6730,6606,6607,70837,66584.0,9566666.0
2014-01-16,6663,6692,6540,6588,112922,66393.0,9566666.0
2014-01-17,6644,6711,6587,6654,89822,67062.0,9566666.0
2014-01-20,6616,6644,6502,6531,97284,65819.0,9566666.0
2014-01-21,6578,6578,6360,6398,112431,64479.0,9566666.0
2014-01-22,6426,6531,6388,6493,91152,65436.0,9566666.0
2014-01-23,6531,6550,6312,6370,69893,64192.0,9566666.0
2014-01-24,6331,6426,6236,6360,86397,64097.0,9566666.0
2014-01-27,6227,6236,6122,6132,83152,61801.0,9566666.0
2014-01-28,6132,6274,6075,6218,43627,62662.0,9566666.0
2014-01-29,6189,6360,6189,6275,54759,63236.0,9566666.0
2014-02-03,6265,6265,5800,5971,163598,60174.0,9566666.0
2014-02-04,5942,5942,5686,5734,102207,57783.0,9566666.0
2014-02-05,5762,5904,5714,5829,81532,58739.0,9566666.0
2014-02-06,5876,5999,5828,5886,41156,59313.0,9566666.0
2014-02-07,5904,6170,5894,6161,99666,62088.0,9566666.0
2014-02-10,6122,6293,6122,6142,83440,61896.0,9566666.0
2014-02-11,6151,6208,6056,6113,51119,61609.0,9566666.0
2014-02-12,6141,6227,6046,6161,45860,62088.0,9566666.0
2014-02-13,6160,6170,6056,6056,29042,61035.0,9566666.0
2014-02-14,6065,6597,6065,6569,479728,66201.0,9566666.0
2014-02-17,6635,6777,6568,6759,326440,68115.0,9566666.0
2014-02-18,6815,6853,6635,6759,328032,68115.0,9566666.0
2014-02-19,6825,7499,6749,7347,809084,74046.0,9566666.0
2014-02-20,7394,7784,7347,7756,923000,78160.0,9566666.0
2014-02-21,7765,7850,7603,7727,212215,77873.0,9566666.0
2014-02-24,7736,7850,7575,7756,191771,78160.0,9566666.0
2014-02-25,7803,7822,7603,7642,113807,77012.0,9566666.0
2014-02-26,7641,7641,7404,7575,267590,76342.0,9566666.0
2014-02-27,7461,7765,7461,7699,222453,77586.0,9566666.0
2014-02-28,7689,7736,7470,7613,185911,76725.0,9566666.0
2014-03-03,7480,7613,7423,7547,86227,76055.0,9566666.0
2014-03-04,7689,7689,7385,7385,173412,74429.0,9566666.0
2014-03-05,7499,7850,7404,7832,292775,78925.0,9566666.0
2014-03-06,7812,8192,7812,8059,299148,81221.0,9566666.0
2014-03-07,8116,8116,7812,7926,108434,79882.0,9566666.0
2014-03-10,7945,7945,7736,7737,79130,77968.0,9566666.0
2014-03-11,7717,7812,7499,7575,297944,76342.0,9566666.0
2014-03-12,7594,7679,7442,7566,212298,76246.0,9566666.0
2014-03-13,7679,7755,7527,7566,148034,76246.0,9566666.0
2014-03-14,7565,7784,7480,7566,166966,76246.0,9566666.0
2014-03-17,7565,7622,7138,7139,158725,71941.0,9566666.0
2014-03-18,7309,7518,7242,7480,108512,75385.0,9566666.0
2014-03-19,7480,7584,7356,7414,80490,74716.0,9566666.0
2014-03-20,7442,7527,7214,7300,59450,73568.0,9566666.0
2014-03-21,7337,7394,7214,7385,65688,74429.0,9566666.0
2014-03-24,7318,7755,7318,7623,152973,76820.0,9566666.0
2014-03-25,7717,7765,7489,7537,108058,75959.0,9566666.0
2014-03-26,7679,7765,7556,7651,109199,77107.0,9566666.0
2014-03-27,7651,7736,7385,7518,90085,75768.0,9566666.0
2014-03-28,7518,7622,7413,7452,44854,75098.0,9566666.0
2014-03-31,7594,7632,7328,7395,41381,74524.0,9566666.0
2014-04-01,7565,7565,7366,7395,56320,74524.0,9566666.0
2014-04-02,7461,7784,7413,7661,145629,77203.0,9566666.0
2014-04-03,7660,7765,7442,7442,78268,75003.0,9566666.0
2014-04-04,7575,7575,7347,7480,72108,75385.0,9566666.0
2014-04-07,7499,7499,7337,7347,40939,74046.0,9566666.0
2014-04-08,7546,7546,7347,7547,104006,76055.0,9566666.0
2014-04-09,7546,7973,7375,7794,319068,78542.0,9566666.0
2014-04-10,7869,8154,7793,8031,341484,80934.0,9566666.0
2014-04-11,7916,8410,7878,8173,256325,82369.0,9566666.0
2014-04-14,8306,8543,8192,8449,283310,85143.0,9566666.0
2014-04-15,8410,8524,8249,8278,85753,83421.0,9566666.0
2014-04-16,8363,8533,8135,8259,165470,83230.0,9566666.0
2014-04-17,8325,8429,8125,8126,100211,81891.0,9566666.0
2014-04-18,8230,8315,8087,8116,66071,81795.0,9566666.0
2014-04-21,8097,8192,7983,8107,53212,81699.0,9566666.0
2014-04-22,8182,8249,8059,8154,48474,82178.0,9566666.0
2014-04-23,8135,8201,7954,8002,75263,80647.0,9566666.0
2014-04-24,8068,8068,7651,7737,129169,77968.0,9566666.0
2014-04-25,7689,7746,7489,7499,103720,75577.0,9566666.0
2014-04-28,7499,7594,7404,7547,35158,76055.0,9566666.0
2014-04-29,7603,7641,7480,7547,25150,76055.0,9566666.0
2014-04-30,7575,7641,7518,7585,25374,76438.0,9566666.0
2014-05-02,7594,7803,7594,7737,37811,77968.0,9566666.0
2014-05-07,7632,7774,7594,7594,40927,76533.0,9566666.0
2014-05-08,7594,7679,7309,7480,76851,75385.0,9566666.0
2014-05-09,7404,7451,7271,7452,82798,75098.0,9566666.0
2014-05-12,7461,7546,7252,7423,73707,74811.0,9566666.0
2014-05-13,7451,7451,7261,7433,88759,74907.0,9566666.0
2014-05-14,7432,7926,7366,7860,230688,79212.0,9566666.0
2014-05-15,7793,7964,7689,7803,107076,78638.0,9566666.0
2014-05-16,7717,7831,7613,7708,77649,77681.0,9566666.0
2014-05-19,7717,7822,7375,7442,95682,75003.0,9566666.0
2014-05-20,7451,7594,7252,7338,128435,73950.0,9566666.0
2014-05-21,7299,7499,7299,7328,79788,73855.0,9566666.0
2014-05-22,7337,7470,7337,7461,35749,75194.0,9566666.0
2014-05-23,7499,7594,7337,7404,42081,74620.0,9566666.0
2014-05-26,7404,7480,7347,7442,21472,75003.0,9566666.0
2014-05-27,7527,7556,7347,7404,29768,74620.0,9566666.0
2014-05-28,7480,7508,7299,7404,62044,74620.0,9566666.0
2014-05-29,7575,7812,7537,7775,247244,78351.0,9566666.0
2014-05-30,7774,7850,7641,7651,152725,77107.0,9566666.0
2014-06-02,7651,7736,7404,7518,73777,75768.0,9566666.0
2014-06-03,7518,7689,7442,7528,54697,75864.0,9566666.0
2014-06-05,7660,7679,7404,7547,68561,76055.0,9566666.0
2014-06-09,7670,7670,7451,7547,39079,76055.0,9566666.0
2014-06-10,7480,7613,7480,7509,39172,75672.0,9566666.0
2014-06-11,7537,7708,7537,7708,59243,77681.0,9566666.0
2014-06-12,7774,8609,7774,8439,644040,85048.0,9566666.0
2014-06-13,8496,8533,8325,8506,236088,85717.0,9566666.0
2014-06-16,8552,8809,8420,8667,226935,87344.0,9566666.0
2014-06-17,8676,8799,8600,8638,118198,87057.0,9566666.0
2014-06-18,8771,8771,8467,8496,100681,85622.0,9566666.0
2014-06-19,8448,8515,8258,8259,117200,83230.0,9566666.0
2014-06-20,8334,8619,8239,8543,162403,86100.0,9566666.0
2014-06-23,8524,8685,8429,8506,92921,85717.0,9566666.0
2014-06-24,8590,8590,8239,8335,103283,83995.0,9566666.0
2014-06-25,8410,8410,8106,8145,88896,82082.0,9566666.0
2014-06-26,8163,8344,8135,8278,77649,83421.0,9566666.0
2014-06-27,8268,8268,8154,8202,32615,82656.0,9566666.0
2014-06-30,8334,8334,8154,8211,35812,82752.0,9566666.0
2014-07-01,8173,8647,8135,8572,134940,86387.0,9566666.0
2014-07-02,8733,8752,8543,8676,120961,87439.0,9566666.0
2014-07-03,8676,9730,8666,9445,854358,95188.0,9566666.0
2014-07-04,9454,9587,9321,9455,229845,95284.0,9566666.0
2014-07-07,9464,9587,9255,9407,156457,94806.0,9566666.0
2014-07-08,9540,9872,9473,9474,476982,95475.0,9566666.0
2014-07-09,9464,9635,9160,9407,254456,94806.0,9566666.0
2014-07-10,9416,9777,9369,9426,160277,94997.0,9566666.0
2014-07-11,9445,9635,9264,9483,128925,95571.0,9566666.0
2014-07-14,9492,10062,9492,9778,264403,98537.0,9566666.0
2014-07-15,9872,9967,9454,9464,135802,95380.0,9566666.0
2014-07-16,9492,9635,9283,9540,122114,96145.0,9566666.0
2014-07-17,9777,10157,9492,9872,275805,99493.0,9566666.0
2014-07-18,9730,10014,9635,9730,79312,98058.0,9566666.0
2014-07-21,9730,9872,9340,9407,146272,94806.0,9566666.0
2014-07-22,9369,9825,9274,9825,189125,99015.0,9566666.0
2014-07-23,9919,10299,9825,9967,282272,100450.0,9566666.0
2014-07-24,9967,10014,9730,9778,86172,98537.0,9566666.0
2014-07-25,9635,9919,9492,9730,88626,98058.0,9566666.0
2014-07-28,9730,9825,9388,9426,114773,94997.0,9566666.0
2014-07-29,9473,9635,8932,9113,132670,91840.0,9566666.0
2014-07-30,9141,9635,8923,9493,120632,95667.0,9566666.0
2014-07-31,9435,9730,9217,9540,58184,96145.0,9566666.0
2014-08-01,9350,9872,9312,9730,113518,98058.0,9566666.0
2014-08-04,9777,10347,9635,10157,199631,102363.0,9566666.0
2014-08-05,10204,10299,9967,10110,55530,101885.0,9566666.0
2014-08-06,10062,10394,9825,10015,59030,100928.0,9566666.0
2014-08-07,10062,10109,9777,9872,35001,99493.0,9566666.0
2014-08-08,9919,11343,9872,10917,636862,110017.0,9566666.0
2014-08-11,10964,11248,10774,11012,216920,110973.0,9566666.0
2014-08-12,10964,11248,10774,11249,114881,113365.0,9566666.0
2014-08-13,11011,11391,11011,11059,149832,111452.0,9566666.0
2014-08-14,11059,11628,10774,11201,309753,112887.0,9566666.0
2014-08-18,11391,11438,10964,11012,77506,110973.0,9566666.0
2014-08-19,11059,12103,10821,11724,322943,118148.0,9566666.0
2014-08-20,11818,12008,11486,11866,131153,119583.0,9566666.0
2014-08-21,11865,12008,11486,11486,104813,115757.0,9566666.0
2014-08-22,11486,11818,11391,11581,77927,116713.0,9566666.0
2014-08-25,11676,11676,11248,11249,67019,113365.0,9566666.0
2014-08-26,11248,11391,11011,11201,49506,112887.0,9566666.0
2014-08-27,11201,11296,10916,11249,43367,113365.0,9566666.0
2014-08-28,11248,11296,10964,11249,63305,113365.0,9566666.0
2014-08-29,11296,12055,11106,11676,231885,117670.0,9566666.0
2014-09-01,11723,11771,11343,11344,55499,114322.0,9566666.0
2014-09-02,11391,11865,11011,11534,119997,116235.0,9566666.0
2014-09-03,11533,11581,11201,11344,84305,114322.0,9566666.0
2014-09-04,11343,11391,10869,11154,81087,112408.0,9566666.0
2014-09-05,10964,11676,10869,11629,150301,117192.0,9566666.0
2014-09-11,11865,13337,11865,13337,495541,134412.0,9566666.0
2014-09-12,13527,13527,12862,13147,273897,132498.0,9566666.0
2014-09-15,13100,13147,12577,12910,156604,130107.0,9566666.0
2014-09-16,12957,13052,12672,12815,152159,129150.0,9566666.0
2014-09-17,12862,13147,12672,13100,180486,132020.0,9566666.0
2014-09-18,13194,13384,12815,13147,215894,132498.0,9566666.0
2014-09-19,13100,13479,12957,13147,111410,132498.0,9566666.0
2014-09-22,13432,13954,13100,13622,289814,137282.0,9566666.0
2014-09-23,13622,13859,13100,13195,119512,132977.0,9566666.0
2014-09-24,13194,13384,13052,13195,114396,132977.0,9566666.0
2014-09-25,13337,13337,12910,13290,129783,133933.0,9566666.0
2014-09-26,13099,13622,13099,13432,135470,135368.0,9566666.0
2014-09-29,13432,14428,13432,14192,398678,143022.0,9566666.0
2014-09-30,14191,14571,14049,14192,156098,143022.0,9566666.0
2014-10-01,14191,14381,13764,14144,146761,142543.0,9566666.0
2014-10-02,14049,14523,13954,14429,137083,145413.0,9566666.0
2014-10-06,14476,14571,14049,14049,103904,141587.0,9566666.0
2014-10-07,13954,14571,13622,14239,155282,143500.0,9566666.0
2014-10-08,14239,14334,13954,14192,83190,143022.0,9566666.0
2014-10-10,14144,14239,13242,13622,165952,137282.0,9566666.0
2014-10-13,13479,13527,12340,12958,241603,130585.0,9566666.0
2014-10-14,12815,13147,12388,12388,213918,124845.0,9566666.0
2014-10-15,12293,12672,12008,12341,279604,124367.0,9566666.0
2014-10-16,12150,12435,11771,12388,204036,124845.0,9566666.0
2014-10-17,12340,12815,12103,12341,169151,124367.0,9566666.0
2014-10-20,12482,13242,12435,13147,192801,132498.0,9566666.0
2014-10-21,13147,13384,12767,12863,166577,129628.0,9566666.0
2014-10-22,12957,13574,12957,13575,98602,136803.0,9566666.0
2014-10-23,13479,14001,13384,13717,104542,138238.0,9566666.0
2014-10-24,13954,14001,13289,13859,96673,139673.0,9566666.0
2014-10-27,13859,13859,13242,13527,88177,136325.0,9566666.0
