코미팜(041960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-12-18,1299,1312,1181,1189,251336,67596.0,7860000.0
2001-12-19,1104,1174,1104,1119,194377,63666.0,7860000.0
2001-12-20,1094,1185,1090,1099,151977,62487.0,7860000.0
2001-12-21,1067,1101,980,1024,188848,58243.0,7860000.0
2001-12-24,1021,1048,942,945,172062,53684.0,7860000.0
2001-12-26,942,1033,918,1023,269194,58164.0,7860000.0
2001-12-27,994,1062,980,981,165141,55806.0,7860000.0
2001-12-28,969,1097,969,1099,172431,62487.0,7860000.0
2002-01-02,1099,1144,1050,1112,214617,63273.0,7860000.0
2002-01-03,1111,1128,1083,1093,185720,62173.0,7860000.0
2002-01-04,1093,1113,1078,1101,129413,62644.0,7860000.0
2002-01-07,1101,1139,1075,1078,213480,61308.0,7860000.0
2002-01-08,1062,1076,1021,1027,152170,58400.0,7860000.0
2002-01-09,1008,1035,994,998,115709,56749.0,7860000.0
2002-01-10,975,1070,975,1039,245903,59107.0,7860000.0
2002-01-11,1038,1051,1001,1004,91456,57064.0,7860000.0
2002-01-14,1005,1083,1001,1064,175976,60522.0,7860000.0
2002-01-15,1056,1174,1056,1099,387522,62487.0,7860000.0
2002-01-16,1118,1225,1077,1177,729388,66967.0,7860000.0
2002-01-17,1197,1202,1120,1132,204993,64373.0,7860000.0
2002-01-18,1132,1166,1093,1105,185298,62880.0,7860000.0
2002-01-21,1113,1142,1084,1095,167299,62251.0,7860000.0
2002-01-22,1084,1110,1071,1078,165952,61308.0,7860000.0
2002-01-23,1076,1133,1059,1120,278483,63745.0,7860000.0
2002-01-24,1118,1129,1094,1112,200882,63273.0,7860000.0
2002-01-25,1111,1126,1085,1105,186851,62880.0,7860000.0
2002-01-28,1118,1224,1107,1223,539454,69561.0,7860000.0
2002-01-29,1236,1263,1203,1205,318738,68539.0,7860000.0
2002-01-30,1176,1190,1163,1189,160710,67596.0,7860000.0
2002-01-31,1215,1329,1207,1331,848936,75692.0,7860000.0
2002-02-01,1380,1484,1331,1424,1026463,80958.0,7860000.0
2002-02-04,1380,1422,1350,1382,272681,78600.0,7860000.0
2002-02-05,1409,1471,1369,1458,491822,82923.0,7860000.0
2002-02-06,1477,1602,1451,1451,725051,82530.0,7860000.0
2002-02-07,1409,1422,1350,1368,359623,77814.0,7860000.0
2002-02-08,1353,1395,1353,1382,162844,78600.0,7860000.0
2002-02-14,1388,1436,1369,1382,203149,78600.0,7860000.0
2002-02-15,1369,1395,1363,1379,172370,78443.0,7860000.0
2002-02-18,1374,1374,1334,1341,180586,76242.0,7860000.0
2002-02-19,1315,1377,1291,1375,209736,78207.0,7860000.0
2002-02-20,1380,1492,1380,1458,556086,82923.0,7860000.0
2002-02-21,1478,1484,1409,1424,328675,80958.0,7860000.0
2002-02-22,1422,1526,1350,1351,769739,76871.0,7860000.0
2002-02-25,1378,1422,1353,1382,357161,78600.0,7860000.0
2002-02-26,1369,1477,1367,1445,553397,82137.0,7860000.0
2002-02-27,1464,1615,1451,1617,1520390,91962.0,7860000.0
2002-02-28,1615,1678,1574,1658,764978,94320.0,7860000.0
2002-03-04,1657,1719,1615,1686,476388,95892.0,7860000.0
2002-03-05,1678,1713,1582,1617,491709,91962.0,7860000.0
2002-03-06,1615,1685,1574,1617,322015,91962.0,7860000.0
2002-03-07,1615,1664,1547,1603,432638,91176.0,7860000.0
2002-03-08,1602,1775,1587,1665,935324,94713.0,7860000.0
2002-03-11,1699,1726,1636,1728,323854,98250.0,7860000.0
2002-03-12,1719,1796,1692,1769,675675,100608.0,7860000.0
2002-03-13,1796,1975,1796,1865,1269955,106110.0,7860000.0
2002-03-14,1865,1899,1809,1901,278873,108075.0,7860000.0
2002-03-15,1899,2093,1872,2011,802760,114363.0,7860000.0
2002-03-18,2037,2121,1954,2011,530854,114363.0,7860000.0
2002-03-19,2030,2245,2009,2246,961206,127725.0,7860000.0
2002-03-20,2349,2501,2307,2405,950440,136764.0,7860000.0
2002-03-21,2349,2417,2231,2418,569167,137550.0,7860000.0
2002-03-22,2473,2555,2390,2446,518144,139122.0,7860000.0
2002-03-25,2417,2466,2245,2349,682859,133620.0,7860000.0
2002-03-26,2403,2417,2293,2294,519216,130476.0,7860000.0
2002-03-27,2278,2328,2189,2253,478297,128118.0,7860000.0
2002-03-28,2320,2396,2155,2183,695206,124188.0,7860000.0
2002-03-29,2182,2231,2072,2171,378878,123402.0,7860000.0
2002-04-01,2155,2265,2044,2045,255295,116328.0,7860000.0
2002-04-02,2037,2182,1933,2183,317607,124188.0,7860000.0
2002-04-03,2141,2286,2121,2246,278749,127725.0,7860000.0
2002-04-04,2258,2314,2182,2267,274828,128904.0,7860000.0
2002-04-08,2286,2459,2265,2267,417354,128904.0,7860000.0
2002-04-09,2307,2313,2182,2183,239947,124188.0,7860000.0
2002-04-10,2182,2203,2030,2129,244714,121044.0,7860000.0
2002-04-11,2141,2320,2058,2129,532895,121044.0,7860000.0
2002-04-12,2051,2085,1878,1880,615834,106896.0,7860000.0
2002-04-15,1864,1864,1657,1789,715260,101787.0,7860000.0
2002-04-16,1767,1844,1747,1810,319369,102966.0,7860000.0
2002-04-17,1816,1851,1740,1742,372615,99036.0,7860000.0
2002-04-18,1719,1844,1706,1796,472348,102180.0,7860000.0
2002-04-19,1864,1892,1713,1754,502888,99822.0,7860000.0
2002-04-22,1740,1740,1547,1548,381925,88032.0,7860000.0
2002-04-23,1409,1463,1367,1368,725946,77814.0,7860000.0
2002-04-24,1340,1395,1270,1299,492612,73884.0,7860000.0
2002-04-25,1228,1353,1228,1261,291871,71683.0,7860000.0
2002-04-26,1272,1318,1263,1278,295116,72705.0,7860000.0
2002-04-29,1228,1263,1228,1237,285470,70347.0,7860000.0
2002-04-30,1242,1288,1240,1244,344280,70740.0,7860000.0
2002-05-02,1270,1388,1266,1388,466451,78993.0,7860000.0
2002-05-03,1380,1395,1319,1332,357552,75770.0,7860000.0
2002-05-06,1313,1341,1278,1304,376410,74198.0,7860000.0
2002-05-07,1326,1430,1318,1362,728445,77421.0,7860000.0
2002-05-08,1353,1422,1335,1341,431824,76242.0,7860000.0
2002-05-09,1380,1380,1300,1332,223791,75770.0,7860000.0
2002-05-10,1313,1331,1289,1311,170145,74591.0,7860000.0
2002-05-13,1333,1380,1327,1369,447235,77893.0,7860000.0
2002-05-14,1369,1369,1338,1341,237263,76242.0,7860000.0
2002-05-15,1357,1367,1326,1348,222348,76635.0,7860000.0
2002-05-16,1361,1422,1333,1424,323409,80958.0,7860000.0
2002-05-17,1436,1471,1409,1430,469128,81351.0,7860000.0
2002-05-20,1436,1451,1378,1403,237400,79779.0,7860000.0
2002-05-21,1388,1430,1319,1325,296856,75377.0,7860000.0
2002-05-22,1284,1324,1263,1272,386918,72391.0,7860000.0
2002-05-23,1324,1337,1249,1251,491181,71133.0,7860000.0
2002-05-24,1249,1263,1191,1216,257929,69168.0,7860000.0
2002-05-27,1185,1194,1070,1071,493598,60915.0,7860000.0
2002-05-28,1118,1123,1067,1085,365061,61701.0,7860000.0
2002-05-29,1076,1076,1001,1023,199772,58164.0,7860000.0
2002-05-30,966,1032,966,986,150675,56042.0,7860000.0
2002-05-31,984,1020,984,992,117920,56435.0,7860000.0
2002-06-03,991,1008,941,991,141788,56356.0,7860000.0
2002-06-04,941,986,941,986,93482,56120.0,7860000.0
2002-06-05,995,1052,995,1023,142088,58164.0,7860000.0
2002-06-07,1006,1019,989,989,75409,56278.0,7860000.0
2002-06-10,991,1021,989,1023,114299,58164.0,7860000.0
2002-06-11,1024,1078,1021,1062,156119,60365.0,7860000.0
2002-06-12,1042,1092,1042,1093,109726,62173.0,7860000.0
2002-06-14,1070,1123,1070,1093,172253,62173.0,7860000.0
2002-06-17,1118,1160,1110,1133,121307,64452.0,7860000.0
2002-06-18,1174,1174,1078,1112,210993,63273.0,7860000.0
2002-06-19,1118,1118,1011,1011,138208,57535.0,7860000.0
2002-06-20,1001,1032,1001,1023,112494,58164.0,7860000.0
2002-06-21,904,1014,904,1007,91780,57299.0,7860000.0
2002-06-24,980,1001,935,951,68544,54077.0,7860000.0
2002-06-25,952,973,904,905,69076,51483.0,7860000.0
2002-06-26,885,885,797,797,130818,45352.0,7860000.0
2002-06-27,825,831,801,809,108209,45981.0,7860000.0
2002-06-28,814,872,814,860,102158,48889.0,7860000.0
2002-07-02,841,847,810,836,98408,47553.0,7860000.0
2002-07-03,827,877,822,864,98911,49125.0,7860000.0
2002-07-04,938,938,878,905,135366,51483.0,7860000.0
2002-07-05,904,940,902,915,176735,52033.0,7860000.0
2002-07-08,960,960,862,882,144972,50147.0,7860000.0
2002-07-09,888,921,877,924,111544,52505.0,7860000.0
2002-07-10,925,1032,911,1034,432211,58793.0,7860000.0
2002-07-11,1032,1100,1012,1020,510533,58007.0,7860000.0
2002-07-12,1062,1063,979,1062,208910,60443.0,7860000.0
2002-07-15,1062,1062,1025,1029,121405,58557.0,7860000.0
2002-07-16,1016,1032,956,967,124463,55020.0,7860000.0
2002-07-18,973,1032,959,995,213719,56592.0,7860000.0
2002-07-19,966,980,902,940,88266,53448.0,7860000.0
2002-07-22,829,883,827,843,81860,47946.0,7860000.0
2002-07-23,827,886,822,886,92415,50383.0,7860000.0
2002-07-24,858,864,832,844,61343,48025.0,7860000.0
2002-07-25,877,904,860,861,127771,48968.0,7860000.0
2002-07-26,959,962,888,930,479168,52898.0,7860000.0
2002-07-29,953,1014,843,872,444704,49597.0,7860000.0
2002-07-30,893,909,871,872,183125,49597.0,7860000.0
2002-07-31,871,890,853,861,109888,48968.0,7860000.0
2002-08-01,832,877,832,843,64468,47946.0,7860000.0
2002-08-02,827,835,818,826,81890,47003.0,7860000.0
2002-08-05,825,825,780,781,107758,44409.0,7860000.0
2002-08-06,724,755,687,715,316501,40636.0,7860000.0
2002-08-07,728,746,717,718,136596,40872.0,7860000.0
2002-08-08,717,736,717,738,88898,41972.0,7860000.0
2002-08-09,746,762,726,732,109344,41658.0,7860000.0
2002-08-12,724,777,724,756,153323,42994.0,7860000.0
2002-08-13,774,797,766,792,230830,45038.0,7860000.0
2002-08-14,770,787,755,781,125624,44409.0,7860000.0
2002-08-16,786,825,786,821,146175,46688.0,7860000.0
2002-08-19,808,916,807,853,500847,48575.0,7860000.0
2002-08-20,867,869,834,846,180317,48103.0,7860000.0
2002-08-21,869,869,841,855,126910,48653.0,7860000.0
2002-08-22,856,880,856,861,141377,48968.0,7860000.0
2002-08-23,860,872,829,831,103235,47239.0,7860000.0
2002-08-26,821,823,806,812,103934,46138.0,7860000.0
2002-08-27,810,822,810,823,41959,46767.0,7860000.0
2002-08-28,822,822,773,778,76880,44252.0,7860000.0
2002-08-29,762,817,759,815,60109,46374.0,7860000.0
2002-08-30,815,820,803,809,40732,45981.0,7860000.0
2002-09-02,834,834,797,804,49110,45745.0,7860000.0
2002-09-03,807,821,789,795,81600,45274.0,7860000.0
2002-09-04,764,793,764,779,54514,44330.0,7860000.0
2002-09-05,766,790,766,767,82696,43623.0,7860000.0
2002-09-06,746,773,717,732,70342,41658.0,7860000.0
2002-09-09,717,743,707,731,61212,41579.0,7860000.0
2002-09-10,724,767,717,761,111070,43309.0,7860000.0
2002-09-11,747,794,747,774,88888,44016.0,7860000.0
2002-09-12,765,778,757,766,63879,43544.0,7860000.0
2002-09-13,746,752,719,732,68491,41658.0,7860000.0
2002-09-16,743,759,731,760,60173,43230.0,7860000.0
2002-09-17,780,780,757,760,74176,43230.0,7860000.0
2002-09-18,757,762,735,746,62875,42444.0,7860000.0
2002-09-19,746,766,740,755,75420,42916.0,7860000.0
2002-09-23,731,744,720,725,68930,41265.0,7860000.0
2002-09-24,704,722,689,692,68640,39379.0,7860000.0
2002-09-25,696,722,634,660,121713,37571.0,7860000.0
2002-09-26,665,687,642,645,55686,36706.0,7860000.0
2002-09-27,634,651,586,611,74107,34741.0,7860000.0
2002-09-30,589,591,544,558,67063,31754.0,7860000.0
2002-10-01,524,579,524,567,34552,32226.0,7860000.0
2002-10-02,579,586,553,554,45724,31519.0,7860000.0
2002-10-04,534,564,534,550,27542,31283.0,7860000.0
2002-10-07,536,551,528,539,34229,30654.0,7860000.0
2002-10-08,536,549,528,546,48214,31047.0,7860000.0
2002-10-09,549,610,549,611,270308,34741.0,7860000.0
2002-10-10,619,623,541,553,247579,31440.0,7860000.0
2002-10-11,573,614,570,605,268808,34427.0,7860000.0
2002-10-14,643,676,623,663,337903,37728.0,7860000.0
2002-10-15,659,684,653,670,246209,38121.0,7860000.0
2002-10-16,682,707,656,663,159021,37728.0,7860000.0
2002-10-17,659,680,633,669,166956,38042.0,7860000.0
2002-10-18,685,685,666,678,140579,38514.0,7860000.0
2002-10-21,664,679,625,631,92823,35920.0,7860000.0
2002-10-22,633,649,607,619,101673,35213.0,7860000.0
2002-10-23,604,646,604,636,87263,36156.0,7860000.0
2002-10-24,625,644,623,639,81967,36313.0,7860000.0
2002-10-25,632,654,625,649,71813,36863.0,7860000.0
2002-10-28,656,672,651,652,99896,37099.0,7860000.0
2002-10-29,635,646,626,628,74654,35684.0,7860000.0
2002-10-30,619,632,605,608,50970,34584.0,7860000.0
2002-10-31,610,615,589,595,56222,33798.0,7860000.0
2002-11-01,579,616,579,605,54587,34427.0,7860000.0
2002-11-04,604,609,592,598,41226,33955.0,7860000.0
2002-11-05,586,602,586,598,33409,33955.0,7860000.0
2002-11-06,595,607,592,607,54438,34505.0,7860000.0
2002-11-07,626,677,612,676,308245,38435.0,7860000.0
2002-11-08,665,666,634,657,137459,37335.0,7860000.0
2002-11-11,655,673,653,666,133777,37885.0,7860000.0
2002-11-12,643,656,634,636,122622,36156.0,7860000.0
2002-11-13,642,646,606,607,108632,34505.0,7860000.0
2002-11-14,595,629,595,622,73016,35370.0,7860000.0
2002-11-15,618,634,616,624,49112,35527.0,7860000.0
2002-11-18,615,631,615,628,23578,35684.0,7860000.0
2002-11-19,616,640,616,641,70480,36470.0,7860000.0
2002-11-20,637,652,634,649,74490,36942.0,7860000.0
2002-11-21,661,717,651,678,386885,38514.0,7860000.0
2002-11-22,701,701,670,671,123675,38200.0,7860000.0
2002-11-25,676,750,676,752,307087,42758.0,7860000.0
2002-11-26,756,814,726,788,317687,44802.0,7860000.0
2002-11-27,760,811,760,788,153741,44802.0,7860000.0
2002-11-28,807,841,786,811,171039,46060.0,7860000.0
2002-11-29,827,841,794,840,148754,47789.0,7860000.0
2002-12-02,835,860,822,851,133983,48339.0,7860000.0
2002-12-03,848,862,827,837,112505,47632.0,7860000.0
2002-12-04,802,822,766,774,119620,44016.0,7860000.0
2002-12-05,766,810,766,778,82111,44252.0,7860000.0
2002-12-06,760,794,759,781,106753,44409.0,7860000.0
2002-12-09,781,839,781,831,178981,47239.0,7860000.0
2002-12-10,827,929,807,861,518680,48968.0,7860000.0
2002-12-11,868,883,843,857,135200,48732.0,7860000.0
2002-12-12,869,877,850,865,88391,49204.0,7860000.0
2002-12-13,867,932,862,897,265391,51011.0,7860000.0
2002-12-16,894,896,818,839,126800,47710.0,7860000.0
2002-12-17,837,913,837,864,246067,49125.0,7860000.0
2002-12-18,835,856,827,834,156057,47474.0,7860000.0
2002-12-20,844,850,817,836,90722,47553.0,7860000.0
2002-12-23,843,875,740,743,144451,42287.0,7860000.0
2002-12-24,698,756,673,699,100205,39693.0,7860000.0
2002-12-26,679,716,655,689,119893,39143.0,7860000.0
2002-12-27,649,696,649,678,61814,38514.0,7860000.0
2002-12-30,663,675,634,636,50396,36156.0,7860000.0
2003-01-02,634,677,634,664,52050,37807.0,7860000.0
2003-01-03,694,717,690,708,66854,40243.0,7860000.0
2003-01-06,731,741,693,730,57395,41501.0,7860000.0
2003-01-07,738,746,694,709,44027,40322.0,7860000.0
2003-01-08,703,717,699,703,44409,40007.0,7860000.0
2003-01-09,691,701,669,675,55652,38357.0,7860000.0
2003-01-10,707,707,621,663,80353,37728.0,7860000.0
2003-01-13,652,693,652,681,33321,38750.0,7860000.0
2003-01-14,689,762,666,762,141096,43387.0,7860000.0
2003-01-15,766,776,717,734,215253,41737.0,7860000.0
2003-01-16,717,723,693,699,97570,39772.0,7860000.0
2003-01-17,701,707,666,670,88461,38121.0,7860000.0
2003-01-20,642,663,642,649,55557,36942.0,7860000.0
2003-01-21,642,672,634,669,76547,38042.0,7860000.0
2003-01-22,663,672,634,649,39910,36942.0,7860000.0
2003-01-23,622,649,622,638,56387,36235.0,7860000.0
2003-01-24,658,658,592,622,68196,35370.0,7860000.0
2003-01-27,586,604,579,586,112560,33326.0,7860000.0
2003-01-28,579,598,562,586,68483,33326.0,7860000.0
2003-01-29,581,592,553,556,59664,31597.0,7860000.0
2003-01-30,549,572,549,563,35879,31990.0,7860000.0
2003-02-03,554,579,554,581,35365,33012.0,7860000.0
2003-02-04,582,649,582,622,300440,35370.0,7860000.0
2003-02-05,610,619,600,607,64490,34505.0,7860000.0
2003-02-06,604,606,579,595,44511,33798.0,7860000.0
2003-02-07,599,599,567,575,17169,32698.0,7860000.0
2003-02-10,562,575,560,565,41459,32069.0,7860000.0
2003-02-11,560,579,551,567,36307,32226.0,7860000.0
2003-02-12,579,579,559,565,27997,32147.0,7860000.0
2003-02-13,567,570,554,556,44954,31597.0,7860000.0
2003-02-14,546,569,546,556,27938,31597.0,7860000.0
2003-02-17,568,585,564,586,39666,33326.0,7860000.0
2003-02-18,583,592,573,593,28531,33719.0,7860000.0
2003-02-19,592,610,588,601,44939,34191.0,7860000.0
2003-02-20,600,604,572,584,41448,33248.0,7860000.0
2003-02-21,592,592,570,575,30916,32698.0,7860000.0
2003-02-24,570,642,570,626,426609,35606.0,7860000.0
2003-02-25,621,621,575,588,229310,33405.0,7860000.0
2003-02-26,600,600,572,593,68936,33719.0,7860000.0
2003-02-27,582,586,573,588,44495,33405.0,7860000.0
2003-02-28,586,590,565,581,57293,33012.0,7860000.0
2003-03-03,567,579,565,577,50677,32855.0,7860000.0
2003-03-04,564,576,562,577,33755,32855.0,7860000.0
2003-03-05,565,565,544,567,42272,32226.0,7860000.0
2003-03-06,558,586,557,567,38015,32226.0,7860000.0
2003-03-07,538,552,538,539,43951,30654.0,7860000.0
2003-03-10,508,566,508,548,46367,31204.0,7860000.0
2003-03-11,525,548,524,548,29009,31204.0,7860000.0
2003-03-12,532,562,531,563,44797,31990.0,7860000.0
2003-03-13,562,600,551,553,87212,31440.0,7860000.0
2003-03-14,586,586,558,560,43228,31833.0,7860000.0
2003-03-17,543,562,524,553,48162,31440.0,7860000.0
2003-03-18,553,569,553,558,30530,31754.0,7860000.0
2003-03-19,572,578,557,560,41050,31833.0,7860000.0
2003-03-20,572,595,565,596,138872,33877.0,7860000.0
2003-03-21,595,616,586,608,96020,34584.0,7860000.0
2003-03-24,642,644,579,581,109835,33012.0,7860000.0
2003-03-25,551,578,544,567,61859,32226.0,7860000.0
2003-03-26,572,583,562,567,58363,32226.0,7860000.0
2003-03-27,559,570,559,570,37692,32462.0,7860000.0
2003-03-28,564,575,562,567,30462,32305.0,7860000.0
2003-03-31,558,567,549,567,40088,32226.0,7860000.0
2003-04-01,549,572,549,570,31346,32462.0,7860000.0
2003-04-02,562,572,562,565,24417,32147.0,7860000.0
2003-04-03,581,621,572,615,227631,34977.0,7860000.0
2003-04-04,621,621,585,607,81002,34505.0,7860000.0
2003-04-07,623,625,607,617,141190,35056.0,7860000.0
2003-04-08,615,615,599,609,64963,34663.0,7860000.0
2003-04-09,597,632,581,600,322145,34112.0,7860000.0
2003-04-10,604,616,586,595,86890,33798.0,7860000.0
2003-04-11,612,612,588,590,65205,33562.0,7860000.0
2003-04-14,585,600,585,593,85930,33719.0,7860000.0
2003-04-15,604,647,601,638,321608,36235.0,7860000.0
2003-04-16,642,649,623,633,165744,35999.0,7860000.0
2003-04-17,629,637,612,617,91568,35056.0,7860000.0
2003-04-18,623,669,621,652,137517,37099.0,7860000.0
2003-04-21,674,707,659,679,338414,38593.0,7860000.0
2003-04-22,687,687,646,651,147730,37021.0,7860000.0
2003-04-23,672,672,649,654,124439,37178.0,7860000.0
2003-04-24,663,722,663,715,647251,40636.0,7860000.0
2003-04-25,716,716,628,629,333059,35763.0,7860000.0
2003-04-28,594,616,579,588,141659,33405.0,7860000.0
2003-04-29,600,612,595,607,120921,34505.0,7860000.0
2003-04-30,606,616,592,593,68631,33719.0,7860000.0
2003-05-02,588,610,581,598,108924,34034.0,7860000.0
2003-05-06,598,607,592,596,68878,33877.0,7860000.0
2003-05-07,597,602,591,596,61468,33877.0,7860000.0
2003-05-09,592,602,582,598,90527,33955.0,7860000.0
2003-05-12,602,612,597,608,129973,34584.0,7860000.0
2003-05-13,618,618,583,595,81795,33798.0,7860000.0
2003-05-14,586,594,572,593,87244,33719.0,7860000.0
2003-05-15,602,602,576,582,58013,33091.0,7860000.0
2003-05-16,567,583,567,581,41523,33012.0,7860000.0
2003-05-19,570,578,554,570,56495,32462.0,7860000.0
2003-05-20,555,573,555,575,41185,32698.0,7860000.0
2003-05-21,565,583,562,572,31492,32540.0,7860000.0
2003-05-22,569,578,562,565,52446,32069.0,7860000.0
2003-05-23,572,573,562,565,39337,32069.0,7860000.0
2003-05-26,565,583,565,569,80999,32383.0,7860000.0
2003-05-27,573,579,562,574,35483,32619.0,7860000.0
2003-05-28,576,605,574,582,91305,33091.0,7860000.0
2003-05-29,592,592,574,582,40538,33091.0,7860000.0
2003-05-30,586,588,572,584,54273,33169.0,7860000.0
2003-06-02,582,592,581,586,52641,33326.0,7860000.0
2003-06-03,582,612,582,596,161978,33877.0,7860000.0
2003-06-04,602,604,592,595,52664,33798.0,7860000.0
2003-06-05,604,604,582,584,41908,33169.0,7860000.0
2003-06-09,578,586,564,579,53446,32933.0,7860000.0
2003-06-10,570,579,565,572,62162,32540.0,7860000.0
2003-06-11,582,639,572,603,542584,34270.0,7860000.0
2003-06-12,595,607,579,584,100846,33248.0,7860000.0
2003-06-13,592,602,583,598,74070,33955.0,7860000.0
2003-06-16,589,607,589,595,62976,33798.0,7860000.0
2003-06-17,600,626,600,614,122982,34898.0,7860000.0
2003-06-18,618,619,602,604,54730,34348.0,7860000.0
2003-06-19,607,616,595,598,51114,34034.0,7860000.0
2003-06-20,597,601,582,598,95082,34034.0,7860000.0
2003-06-23,592,606,592,607,84050,34505.0,7860000.0
2003-06-24,618,646,612,622,288777,35370.0,7860000.0
2003-06-25,623,630,607,624,81275,35527.0,7860000.0
2003-06-26,625,658,625,639,172594,36313.0,7860000.0
2003-06-27,629,640,619,622,112178,35370.0,7860000.0
2003-06-30,607,610,599,600,68972,34112.0,7860000.0
2003-07-01,588,610,586,603,102500,34270.0,7860000.0
2003-07-02,594,613,594,603,44482,34270.0,7860000.0
2003-07-03,601,612,600,614,70271,34898.0,7860000.0
2003-07-04,615,643,604,642,98985,36549.0,7860000.0
2003-07-07,642,649,629,649,74017,36942.0,7860000.0
2003-07-08,649,704,639,663,170386,37728.0,7860000.0
2003-07-09,669,684,655,663,62069,37728.0,7860000.0
2003-07-10,651,661,637,639,64712,36313.0,7860000.0
2003-07-11,632,661,622,661,66564,37649.0,7860000.0
2003-07-14,662,701,662,684,108639,38907.0,7860000.0
2003-07-15,680,717,623,630,231531,35842.0,7860000.0
2003-07-16,629,640,621,622,46011,35370.0,7860000.0
2003-07-18,600,621,591,593,51226,33719.0,7860000.0
2003-07-21,582,600,582,591,33394,33641.0,7860000.0
2003-07-22,586,596,572,581,26983,33012.0,7860000.0
2003-07-23,579,598,572,577,48953,32776.0,7860000.0
2003-07-24,560,591,560,573,44775,32580.0,7860000.0
2003-07-25,578,579,569,570,27921,32462.0,7860000.0
2003-07-28,567,586,567,576,35017,32737.0,7860000.0
2003-07-29,574,584,574,577,16842,32776.0,7860000.0
2003-07-30,573,592,573,584,31901,33248.0,7860000.0
2003-07-31,583,626,583,622,75167,35370.0,7860000.0
2003-08-01,612,670,612,663,100409,37728.0,7860000.0
2003-08-04,663,690,628,635,62846,36077.0,7860000.0
2003-08-05,661,663,628,629,35935,35763.0,7860000.0
2003-08-06,633,645,621,642,42381,36549.0,7860000.0
2003-08-07,655,655,634,649,54486,36942.0,7860000.0
2003-08-08,639,726,639,727,413071,41344.0,7860000.0
2003-08-11,786,813,747,813,464526,46295.0,7860000.0
2003-08-12,829,869,794,813,337763,46295.0,7860000.0
2003-08-13,813,877,786,851,264573,48339.0,7860000.0
2003-08-14,848,881,838,861,214493,48968.0,7860000.0
2003-08-18,844,952,822,919,279827,52269.0,7860000.0
2003-08-19,930,952,898,938,144453,53369.0,7860000.0
2003-08-20,931,956,835,874,156556,49754.0,7860000.0
2003-08-21,890,938,856,871,335785,49518.0,7860000.0
2003-08-22,871,911,766,767,372173,43623.0,7860000.0
2003-08-25,704,717,674,676,907337,38435.0,7860000.0
2003-08-26,674,678,642,664,274479,37767.0,7860000.0
2003-08-27,673,680,640,641,221327,36470.0,7860000.0
2003-08-28,632,656,629,647,254260,36785.0,7860000.0
2003-08-29,649,661,628,642,175529,36549.0,7860000.0
2003-09-01,655,655,607,622,248099,35370.0,7860000.0
2003-09-02,618,632,607,618,183322,35134.0,7860000.0
2003-09-03,626,637,612,618,128247,35134.0,7860000.0
2003-09-04,616,626,602,607,88587,34505.0,7860000.0
2003-09-05,594,616,594,607,106655,34505.0,7860000.0
2003-09-08,594,610,592,598,38471,33955.0,7860000.0
