바이오스마트(038460),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-08-04,33003,34048,30119,31296,512257,34858.0,7292500.0
2000-08-07,31625,31690,28155,29004,287424,32306.0,7292500.0
2000-08-08,27568,29855,27568,27891,260364,31066.0,7292500.0
2000-08-09,27243,28814,27243,28677,144216,31941.0,7292500.0
2000-08-10,27561,28677,27495,27955,169489,31139.0,7292500.0
2000-08-11,27499,28025,26257,26711,109382,29753.0,7292500.0
2000-08-14,26716,27373,25539,27301,165821,30410.0,7292500.0
2000-08-16,27307,29469,26913,29135,343148,32452.0,7292500.0
2000-08-17,30974,31302,28155,29004,366622,32306.0,7292500.0
2000-08-18,28677,28808,27495,27692,167293,30847.0,7292500.0
2000-08-21,26910,27238,26253,26647,184470,29680.0,7292500.0
2000-08-22,26252,26843,25858,26122,243195,29097.0,7292500.0
2000-08-23,26123,26780,23633,23634,234610,26326.0,7292500.0
2000-08-24,22591,24424,21021,21803,334443,24284.0,7292500.0
2000-08-25,21348,22590,20625,22130,176653,24649.0,7292500.0
2000-08-28,22263,23445,21809,23374,248005,26034.0,7292500.0
2000-08-29,22719,24683,21608,24224,524418,26982.0,7292500.0
2000-08-30,23576,27111,23116,25141,886759,28003.0,7292500.0
2000-08-31,24489,24555,22590,23570,186750,26253.0,7292500.0
2000-09-01,23900,24486,22784,22916,165951,25524.0,7292500.0
2000-09-04,22261,23180,21019,21473,208123,23919.0,7292500.0
2000-09-05,21480,22137,21283,21672,221896,24138.0,7292500.0
2000-09-06,21540,21802,21086,21146,278492,23555.0,7292500.0
2000-09-07,20819,20951,18658,18790,325847,20929.0,7292500.0
2000-09-08,18856,19381,17220,18068,239566,20127.0,7292500.0
2000-09-14,17684,18138,16567,17219,127837,19179.0,7292500.0
2000-09-15,16436,17881,16436,17219,118833,19179.0,7292500.0
2000-09-18,15780,16956,15189,15190,73321,16919.0,7292500.0
2000-09-19,13813,14142,13425,13420,245889,14950.0,7292500.0
2000-09-20,12506,14076,12506,13551,173862,15095.0,7292500.0
2000-09-21,13163,13754,11986,12375,294705,13783.0,7292500.0
2000-09-22,12377,12443,10937,10932,233823,12178.0,7292500.0
2000-09-25,10935,11526,10152,10804,192556,12033.0,7292500.0
2000-09-26,10614,12053,10614,12048,191172,13418.0,7292500.0
2000-09-27,12967,13493,12316,13487,132155,15023.0,7292500.0
2000-09-28,14335,15058,14078,15058,591360,16773.0,7292500.0
2000-09-29,15388,16307,14080,14863,570024,16554.0,7292500.0
2000-10-02,14730,14927,13685,14337,160253,15971.0,7292500.0
2000-10-04,13886,15850,13426,15517,368994,17283.0,7292500.0
2000-10-05,16436,17356,15785,17350,168945,19325.0,7292500.0
2000-10-06,18334,19385,18077,19380,807073,21586.0,7292500.0
2000-10-09,19639,21406,18397,19771,848499,22023.0,7292500.0
2000-10-10,18988,20821,17811,18594,995003,20711.0,7292500.0
2000-10-11,18660,19120,16439,16696,486589,18596.0,7292500.0
2000-10-12,15719,18013,15062,17350,480057,19325.0,7292500.0
2000-10-13,15717,16434,15323,15712,327733,17502.0,7292500.0
2000-10-16,17354,17551,16632,17546,382098,19544.0,7292500.0
2000-10-17,17681,19186,16696,18004,1046568,20054.0,7292500.0
2000-10-18,18331,18987,17023,18068,673887,20127.0,7292500.0
2000-10-19,18076,19515,17681,18136,619497,20200.0,7292500.0
2000-10-20,19317,20296,17352,20297,1026879,22607.0,7292500.0
2000-10-23,19645,20953,19120,20297,675652,22607.0,7292500.0
2000-10-24,20626,22722,19838,22717,592869,25305.0,7292500.0
2000-10-25,23050,25409,22590,25404,1109073,28295.0,7292500.0
2000-10-26,25340,27830,24421,24618,1152756,27420.0,7292500.0
2000-10-27,25278,25870,21677,21672,695179,24138.0,7292500.0
2000-10-30,22128,23179,20295,22194,478463,24722.0,7292500.0
2000-10-31,21604,24094,20559,23175,597969,25815.0,7292500.0
2000-11-01,23698,25926,23698,25926,356844,28878.0,7292500.0
2000-11-02,27695,29008,26190,27038,1982749,30118.0,7292500.0
2000-11-03,27239,28809,26188,28481,1010307,31722.0,7292500.0
2000-11-06,30707,31883,29459,30116,1571198,33546.0,7292500.0
2000-11-07,29984,30116,26515,26516,1144504,29535.0,7292500.0
2000-11-08,26516,29466,25012,28481,990143,31722.0,7292500.0
2000-11-09,27826,30710,27826,29462,834791,32816.0,7292500.0
2000-11-10,27823,29394,27495,27824,571662,30993.0,7292500.0
2000-11-13,27828,29404,26520,26843,496980,29899.0,7292500.0
2000-11-14,26056,28020,26056,27824,708051,30993.0,7292500.0
2000-11-15,27823,29919,26056,27692,1078822,30847.0,7292500.0
2000-11-16,27571,27696,24424,25272,576403,28149.0,7292500.0
2000-11-17,23965,25016,22657,22980,614469,25597.0,7292500.0
2000-11-20,22061,23769,21411,22784,758603,25378.0,7292500.0
2000-11-21,22985,23774,20955,21803,558646,24284.0,7292500.0
2000-11-22,21610,22720,19842,20297,911026,22607.0,7292500.0
2000-11-23,19646,20231,17872,17873,731450,19909.0,7292500.0
2000-11-24,17089,19448,16629,18857,872631,21002.0,7292500.0
2000-11-27,18461,20294,18461,20229,630368,22534.0,7292500.0
2000-11-28,19647,20954,19055,19970,654817,22242.0,7292500.0
2000-11-29,18986,19643,17876,18790,374778,20929.0,7292500.0
2000-11-30,18792,20954,18333,19575,640901,21805.0,7292500.0
2000-12-01,18001,18986,17935,18658,325024,20784.0,7292500.0
2000-12-04,18989,20297,18464,19575,711475,21805.0,7292500.0
2000-12-05,20099,20821,19448,20034,606205,22315.0,7292500.0
2000-12-06,20560,20823,19055,19970,565262,22242.0,7292500.0
2000-12-07,19709,20037,18987,19184,191851,21367.0,7292500.0
2000-12-08,19316,19513,17811,18594,235007,20711.0,7292500.0
2000-12-11,18001,19052,18001,18658,164308,20784.0,7292500.0
2000-12-12,18267,18923,17813,18136,142571,20200.0,7292500.0
2000-12-13,17814,18793,17157,17546,237095,19544.0,7292500.0
2000-12-14,16958,17681,16433,16433,208130,18304.0,7292500.0
2000-12-15,16300,17673,16103,16366,259215,18231.0,7292500.0
2000-12-18,16173,16370,15325,15385,185481,17137.0,7292500.0
2000-12-19,15325,15325,13688,13946,235838,15533.0,7292500.0
2000-12-20,13161,14271,12307,12307,218611,13710.0,7292500.0
2000-12-21,11063,12114,10866,11326,267036,12616.0,7292500.0
2000-12-22,11129,12180,10741,11721,394411,13054.0,7292500.0
2000-12-26,11458,13094,11458,13029,253871,14512.0,7292500.0
2001-01-02,13096,14541,13096,14536,195950,16189.0,7292500.0
2001-01-03,14799,16245,14148,15779,612785,17575.0,7292500.0
2001-01-04,17022,17613,16437,17613,392032,19617.0,7292500.0
2001-01-05,17613,18987,15518,16497,523586,18377.0,7292500.0
2001-01-08,16168,16957,15452,16366,400721,18231.0,7292500.0
2001-01-09,16695,18331,16038,18331,781840,20419.0,7292500.0
2001-01-10,18660,19448,16170,16170,1345409,18012.0,7292500.0
2001-01-11,16366,16825,15058,16497,672556,18377.0,7292500.0
2001-01-12,17026,17617,16243,16238,871484,18085.0,7292500.0
2001-01-15,16436,17684,16107,17087,1195186,19033.0,7292500.0
2001-01-16,17025,17025,15455,15712,688541,17502.0,7292500.0
2001-01-17,15718,17551,15061,17546,1000396,19544.0,7292500.0
2001-01-18,17943,19645,17943,18726,2122726,20857.0,7292500.0
2001-01-19,19315,19900,18395,18658,708438,20784.0,7292500.0
2001-01-22,19578,20886,18724,20886,974642,23263.0,7292500.0
2001-01-26,20950,22783,18461,18527,1396951,20638.0,7292500.0
2001-01-29,18989,19969,18398,19312,818984,21513.0,7292500.0
2001-01-30,19968,21604,19645,21604,1625065,24065.0,7292500.0
2001-01-31,21608,23244,20295,20755,1502836,23117.0,7292500.0
2001-02-01,19514,22589,19382,20165,1149909,22461.0,7292500.0
2001-02-02,20430,21547,19905,20819,909549,23190.0,7292500.0
2001-02-05,19637,20491,18395,18658,500706,20784.0,7292500.0
2001-02-06,18658,19381,18330,19053,368396,21221.0,7292500.0
2001-02-07,18857,19710,18594,18726,577727,20857.0,7292500.0
2001-02-08,18728,20956,18728,20950,1814109,23336.0,7292500.0
2001-02-09,22200,22588,20301,20886,2434420,23263.0,7292500.0
2001-02-12,20495,23380,20298,23374,2218257,26034.0,7292500.0
2001-02-13,24487,25407,23574,23897,1698099,26618.0,7292500.0
2001-02-14,23438,25862,23115,24746,1415596,27566.0,7292500.0
2001-02-15,24749,25603,23829,24355,948287,27128.0,7292500.0
2001-02-16,24879,25208,22587,22653,750025,25232.0,7292500.0
2001-02-19,21149,23896,21018,23897,659290,26618.0,7292500.0
2001-02-20,23895,25143,23698,24224,734184,26982.0,7292500.0
2001-02-21,23303,25136,23303,23961,443479,26691.0,7292500.0
2001-02-22,23896,24421,21215,22326,643466,24867.0,7292500.0
2001-02-23,22262,23505,21606,22717,320614,25305.0,7292500.0
2001-02-26,24031,24688,23051,24551,619301,27347.0,7292500.0
2001-02-27,24880,25990,23566,23961,868819,26691.0,7292500.0
2001-02-28,23501,26451,22719,25795,1624014,28732.0,7292500.0
2001-03-02,26718,28026,23643,24682,2745652,27493.0,7292500.0
2001-03-05,23633,24422,22917,23765,444019,26472.0,7292500.0
2001-03-06,23905,24359,20955,21803,599867,24284.0,7292500.0
2001-03-07,21803,23768,21803,22980,758279,25597.0,7292500.0
2001-03-08,23180,25013,22852,24291,812616,27055.0,7292500.0
2001-03-09,24686,25869,24101,25535,842713,28441.0,7292500.0
2001-03-12,25541,25541,22985,23243,689924,25888.0,7292500.0
2001-03-13,21147,23237,20950,22258,568496,24794.0,7292500.0
2001-03-14,22590,23963,22590,23570,436390,26253.0,7292500.0
2001-03-15,21938,24422,21938,24028,407909,26763.0,7292500.0
2001-03-16,24223,25405,24026,24224,544608,26982.0,7292500.0
2001-03-19,24356,25210,23048,24160,486827,26909.0,7292500.0
2001-03-20,24617,25274,24026,24224,402167,26982.0,7292500.0
2001-03-21,23569,24883,23438,24878,390866,27712.0,7292500.0
2001-03-22,25208,27823,24551,27824,832376,30993.0,7292500.0
2001-03-23,29464,29792,26191,26843,1328075,29899.0,7292500.0
2001-03-26,27234,27825,26320,27365,498484,30483.0,7292500.0
2001-03-27,27496,30249,26845,27365,1418586,30483.0,7292500.0
2001-03-28,27571,28419,25343,25535,556346,28441.0,7292500.0
2001-03-29,25212,25534,24555,24878,187001,27712.0,7292500.0
2001-03-30,25800,27825,25275,26189,1099771,29170.0,7292500.0
2001-04-02,26581,27041,25530,26122,453491,29097.0,7292500.0
2001-04-03,25469,27499,24752,26449,815340,29462.0,7292500.0
2001-04-04,25605,26847,25342,25862,339093,28805.0,7292500.0
2001-04-06,26844,27632,26319,26647,723291,29680.0,7292500.0
2001-04-09,26844,27692,25859,26516,792127,29535.0,7292500.0
2001-04-10,26845,27042,25663,25663,541998,28587.0,7292500.0
2001-04-11,26518,26518,25605,25993,380182,28951.0,7292500.0
2001-04-12,25863,27505,25863,26843,872064,29899.0,7292500.0
2001-04-13,27435,27823,26056,26384,526288,29389.0,7292500.0
2001-04-16,27892,29529,27373,29004,2369013,32306.0,7292500.0
2001-04-17,29138,29138,27108,27497,860482,30628.0,7292500.0
2001-04-18,28222,28551,27434,28282,813158,31504.0,7292500.0
2001-04-19,28874,29722,27429,27824,1173371,30993.0,7292500.0
2001-04-20,27435,28480,26515,26516,758313,29535.0,7292500.0
2001-04-23,26060,27105,25994,26449,491265,29462.0,7292500.0
2001-04-24,25533,26649,24225,25336,646524,28222.0,7292500.0
2001-04-25,24358,25797,24358,25272,639952,28149.0,7292500.0
2001-04-26,25540,26651,24883,25404,764572,28295.0,7292500.0
2001-04-27,24688,25542,24556,24814,365683,27639.0,7292500.0
2001-04-30,25204,25861,24882,25205,723445,28076.0,7292500.0
2001-05-02,25537,26648,25209,26057,1143668,29024.0,7292500.0
2001-05-03,26254,27174,25538,26189,844626,29170.0,7292500.0
2001-05-04,26123,26977,25794,26057,607534,29024.0,7292500.0
2001-05-07,26517,28285,25992,27497,2088290,30628.0,7292500.0
2001-05-08,27434,28419,26257,26711,849257,29753.0,7292500.0
2001-05-09,26257,27045,24883,24878,886148,27712.0,7292500.0
2001-05-10,24885,25930,23965,24551,748592,27347.0,7292500.0
2001-05-11,24552,24814,23895,24224,435895,26982.0,7292500.0
2001-05-14,23898,25212,23898,24878,458451,27712.0,7292500.0
2001-05-15,24882,25401,24882,25336,461794,28222.0,7292500.0
2001-05-16,25341,26911,25209,26320,881756,29316.0,7292500.0
2001-05-17,26520,27374,26389,26843,619027,29899.0,7292500.0
2001-05-18,26517,27890,26451,27497,636336,30628.0,7292500.0
2001-05-21,27824,28349,27304,28218,558904,31431.0,7292500.0
2001-05-22,28483,29791,28221,28609,930450,31868.0,7292500.0
2001-05-23,28153,30380,27365,27497,1583065,30628.0,7292500.0
2001-05-24,26914,29010,26914,28282,658752,31504.0,7292500.0
2001-05-25,28810,31622,28416,31623,887324,35223.0,7292500.0
2001-05-28,32737,33065,29787,30379,1695151,33837.0,7292500.0
2001-05-29,30775,31098,29265,30639,924603,34129.0,7292500.0
2001-05-30,30643,31300,29335,30184,475655,33618.0,7292500.0
2001-05-31,26586,29727,26586,28151,576086,31358.0,7292500.0
2001-06-01,28156,29010,26651,26974,449265,30045.0,7292500.0
2001-06-04,26647,28809,26187,27824,433537,30993.0,7292500.0
2001-06-05,27833,28352,27504,27564,311679,30701.0,7292500.0
2001-06-07,26517,28284,24946,25795,593526,28732.0,7292500.0
2001-06-08,26189,26714,25603,26320,395902,29316.0,7292500.0
2001-06-11,26188,26583,25603,26189,332866,29170.0,7292500.0
2001-06-12,25669,26517,25669,26057,316619,29024.0,7292500.0
2001-06-13,26384,27369,26253,26779,564502,29826.0,7292500.0
2001-06-14,27177,27177,26126,26843,368413,29899.0,7292500.0
2001-06-15,26517,28350,26320,27760,959615,30920.0,7292500.0
2001-06-18,27567,28152,26713,26779,402481,29826.0,7292500.0
2001-06-19,26385,27239,26123,26189,312684,29170.0,7292500.0
2001-06-20,25862,26716,24883,24878,449383,27712.0,7292500.0
2001-06-21,25211,26321,24816,25862,423143,28805.0,7292500.0
2001-06-22,26845,26845,25406,26189,359163,29170.0,7292500.0
2001-06-25,25925,27173,25663,25795,310238,28732.0,7292500.0
2001-06-26,25733,25930,24293,24551,363281,27347.0,7292500.0
2001-06-27,24553,24882,22983,24028,288988,26763.0,7292500.0
2001-06-28,24037,24228,23380,23374,198652,26034.0,7292500.0
2001-06-29,23511,23905,23183,23374,275040,26034.0,7292500.0
2001-07-02,23638,24617,23507,24487,477404,27274.0,7292500.0
2001-07-03,24223,24683,24092,24487,273595,27274.0,7292500.0
2001-07-04,24684,26977,24618,26320,1430388,29316.0,7292500.0
2001-07-05,26844,27954,26318,26384,1037843,29389.0,7292500.0
2001-07-06,26191,26651,24883,25404,457393,28295.0,7292500.0
2001-07-09,24881,25210,22391,22589,435767,25159.0,7292500.0
2001-07-10,22324,23440,22324,22653,338680,25232.0,7292500.0
2001-07-11,21865,21865,20229,20229,395675,22534.0,7292500.0
2001-07-12,20820,22654,20820,22063,1040403,24576.0,7292500.0
2001-07-13,22062,22456,20623,20623,336962,22971.0,7292500.0
2001-07-16,20623,21674,20623,20755,215324,23117.0,7292500.0
2001-07-18,20885,21016,18789,18790,218434,20929.0,7292500.0
2001-07-19,18334,19385,17880,19248,369731,21440.0,7292500.0
2001-07-20,18987,19315,18461,19184,163732,21367.0,7292500.0
2001-07-23,18728,21219,18203,20819,426835,23190.0,7292500.0
2001-07-24,20305,20956,19320,19643,1431236,21878.0,7292500.0
2001-07-25,19840,20163,18855,18921,271117,21075.0,7292500.0
2001-07-26,19579,20493,19054,20297,612448,22607.0,7292500.0
2001-07-27,21150,21281,20302,20428,545156,22753.0,7292500.0
2001-07-30,20560,20889,19646,19838,175919,22096.0,7292500.0
2001-07-31,19975,19975,19449,19838,149683,22096.0,7292500.0
2001-08-01,19974,20690,19908,20428,249251,22753.0,7292500.0
2001-08-02,20493,22130,19974,21867,683416,24357.0,7292500.0
2001-08-03,22065,22591,21086,21277,1391186,23701.0,7292500.0
2001-08-06,21152,21934,21086,21277,295735,23701.0,7292500.0
2001-08-07,21477,21477,20426,20623,192732,22971.0,7292500.0
2001-08-08,20294,20623,20097,20229,198587,22534.0,7292500.0
2001-08-09,19713,20167,19254,19248,177626,21440.0,7292500.0
2001-08-10,18989,19772,18989,19444,123808,21659.0,7292500.0
2001-08-13,20042,20174,19320,19643,111978,21878.0,7292500.0
2001-08-14,19449,19772,19252,19444,100058,21659.0,7292500.0
2001-08-16,19056,19451,18991,19117,159362,21294.0,7292500.0
2001-08-17,19320,19976,19122,19643,195250,21878.0,7292500.0
2001-08-20,18991,19516,18531,19117,103825,21294.0,7292500.0
2001-08-21,19385,19451,18662,18985,61578,21148.0,7292500.0
2001-08-22,18658,18855,18198,18658,221379,20784.0,7292500.0
2001-08-23,18792,18923,18004,18004,117494,20054.0,7292500.0
2001-08-24,18005,18399,17157,17414,163369,19398.0,7292500.0
2001-08-27,18002,18659,17351,18068,145839,20127.0,7292500.0
2001-08-28,18013,18144,17159,17350,202630,19325.0,7292500.0
2001-08-29,16763,17025,15849,15843,140036,17648.0,7292500.0
2001-08-30,15456,15456,14734,15385,171119,17137.0,7292500.0
2001-08-31,14732,14994,13752,13878,133401,15460.0,7292500.0
2001-09-03,13487,15058,13487,15058,234705,16773.0,7292500.0
2001-09-04,14992,16497,14992,16497,304150,18377.0,7292500.0
2001-09-05,15782,16630,15782,16170,138245,18012.0,7292500.0
2001-09-06,16044,17023,15715,17023,128568,18960.0,7292500.0
2001-09-07,15785,17684,15785,17482,186288,19471.0,7292500.0
2001-09-10,17354,18991,16763,18985,225007,21148.0,7292500.0
2001-09-11,19512,19703,18461,18658,340268,20784.0,7292500.0
2001-09-12,16433,16433,16433,16433,104209,18304.0,7292500.0
2001-09-13,15058,16628,14729,16366,340189,18231.0,7292500.0
2001-09-14,16376,17159,14411,15779,393095,17575.0,7292500.0
2001-09-17,15719,16370,13951,13946,441198,15533.0,7292500.0
2001-09-18,14145,15256,14145,14863,166280,16554.0,7292500.0
2001-09-19,14731,15387,14665,14731,132876,16408.0,7292500.0
2001-09-20,14732,15191,13490,13878,114823,15460.0,7292500.0
2001-09-21,13097,13951,12900,13814,113260,15387.0,7292500.0
2001-09-24,14079,15452,13882,15452,337738,17210.0,7292500.0
2001-09-25,16370,17224,15193,15517,474567,17283.0,7292500.0
2001-09-26,16040,16434,15323,15581,213800,17356.0,7292500.0
2001-09-27,15783,15909,15258,15712,123849,17502.0,7292500.0
2001-09-28,16369,16960,15849,16106,307356,17940.0,7292500.0
2001-10-04,17356,17553,16699,16956,308434,18888.0,7292500.0
2001-10-05,16960,16960,15915,15975,173789,17794.0,7292500.0
2001-10-08,15653,16239,15128,15385,101471,17137.0,7292500.0
2001-10-09,16048,16573,15719,15911,172394,17721.0,7292500.0
2001-10-10,16366,17154,16043,16892,269330,18815.0,7292500.0
2001-10-11,18078,18210,17224,17350,568456,19325.0,7292500.0
2001-10-12,18004,18266,16893,17741,462334,19763.0,7292500.0
2001-10-15,17680,19382,17680,18857,789966,21002.0,7292500.0
2001-10-16,19578,20754,19118,20361,1110388,22680.0,7292500.0
2001-10-17,20756,21150,19842,20428,876589,22753.0,7292500.0
2001-10-18,19967,21478,19514,20034,1068868,22315.0,7292500.0
2001-10-19,20297,20560,19778,19838,474557,22096.0,7292500.0
2001-10-22,20429,21611,20429,21277,1308057,23701.0,7292500.0
2001-10-23,21610,22195,20690,21736,863496,24211.0,7292500.0
2001-10-24,21937,22002,20689,20755,920244,23117.0,7292500.0
2001-10-25,20758,20955,18991,18985,719863,21148.0,7292500.0
2001-10-26,19582,19773,18728,19117,470117,21294.0,7292500.0
2001-10-29,18986,19315,18658,18790,255026,20929.0,7292500.0
2001-10-30,18465,18662,17814,17940,314037,19981.0,7292500.0
2001-10-31,17813,18404,17090,18399,340930,20492.0,7292500.0
2001-11-01,18400,19385,18268,19248,346746,21440.0,7292500.0
2001-11-02,19645,19645,18206,18594,403318,20711.0,7292500.0
2001-11-05,17943,18857,17943,18726,128253,20857.0,7292500.0
2001-11-06,18794,19911,18466,19643,980608,21878.0,7292500.0
2001-11-07,19512,19774,18789,18790,286962,20929.0,7292500.0
2001-11-08,18461,19315,18461,18790,269535,20929.0,7292500.0
2001-11-09,18526,19052,18329,18527,179418,20638.0,7292500.0
2001-11-12,18329,18789,18329,18527,207767,20638.0,7292500.0
2001-11-13,18201,18595,17878,18004,239138,20054.0,7292500.0
2001-11-14,18132,19118,18132,18790,349434,20929.0,7292500.0
2001-11-15,18594,19053,18397,18594,149553,20711.0,7292500.0
2001-11-16,18659,18922,18397,18726,145821,20857.0,7292500.0
2001-11-19,18728,18991,18662,18985,239436,21148.0,7292500.0
2001-11-20,19188,19779,18859,19248,453256,21440.0,7292500.0
2001-11-21,19183,19183,18789,18790,137835,20929.0,7292500.0
2001-11-22,18857,18857,18462,18726,127922,20857.0,7292500.0
2001-11-23,18531,19319,18531,19117,341735,21294.0,7292500.0
2001-11-26,18987,19512,18790,19184,284461,21367.0,7292500.0
2001-11-27,19385,19976,19254,19643,359732,21878.0,7292500.0
2001-11-28,19967,20033,18331,18331,286962,20419.0,7292500.0
2001-11-29,18201,18464,17747,18136,100210,20200.0,7292500.0
2001-11-30,18075,20296,18075,20297,417957,22607.0,7292500.0
2001-12-03,20885,21733,19966,20229,702488,22534.0,7292500.0
2001-12-04,20041,20041,19581,19970,228967,22242.0,7292500.0
2001-12-05,20164,20690,19902,19902,284816,22169.0,7292500.0
2001-12-06,19975,22006,19844,21540,600016,23992.0,7292500.0
2001-12-07,21602,24092,21602,24092,1062781,26836.0,7292500.0
2001-12-10,26978,26978,25211,25862,1993112,28805.0,7292500.0
2001-12-11,25013,26715,24034,24160,1070463,26909.0,7292500.0
2001-12-12,23903,26190,23640,25993,696035,28951.0,7292500.0
2001-12-13,24555,25994,24489,25009,350951,27857.0,7292500.0
2001-12-14,24816,25795,24553,25205,355266,28076.0,7292500.0
2001-12-17,25532,25663,22982,23502,297855,26180.0,7292500.0
2001-12-18,23634,23831,21735,21736,272663,24211.0,7292500.0
2001-12-19,21798,22915,20753,22258,234469,24794.0,7292500.0
2001-12-20,22719,22719,21931,22194,177425,24722.0,7292500.0
2001-12-21,22324,23572,22133,22916,449904,25524.0,7292500.0
2001-12-24,22916,23179,22062,22063,178900,24576.0,7292500.0
2001-12-26,22131,22131,21020,21540,174055,23992.0,7292500.0
2001-12-27,21609,22325,21083,22194,135064,24722.0,7292500.0
2001-12-28,22197,24819,22000,24814,714842,27639.0,7292500.0
2002-01-02,25400,26648,24486,25663,628779,28587.0,7292500.0
2002-01-03,26060,26060,24489,24878,595517,27712.0,7292500.0
2002-01-04,25864,25864,24425,24814,402770,27639.0,7292500.0
2002-01-07,24486,25202,23895,23961,471143,26691.0,7292500.0
2002-01-08,23574,24487,23574,23897,269446,26618.0,7292500.0
2002-01-09,25276,25795,24685,25336,731140,28222.0,7292500.0
2002-01-10,25337,25665,24292,24878,396957,27712.0,7292500.0
2002-01-11,24884,27111,24884,25535,1090622,28441.0,7292500.0
2002-01-14,25212,26454,24884,25535,617178,28441.0,7292500.0
2002-01-15,25465,25662,23895,23961,337785,26691.0,7292500.0
2002-01-16,24160,24555,23575,23701,259904,26399.0,7292500.0
2002-01-17,23569,23766,22655,23307,230252,25961.0,7292500.0
2002-01-18,22981,23900,22850,22916,125706,25524.0,7292500.0
2002-01-21,22390,23441,22133,23047,126233,25670.0,7292500.0
2002-01-22,23047,23901,22915,23047,180736,25670.0,7292500.0
2002-01-23,22920,23248,22394,23111,259467,25743.0,7292500.0
2002-01-24,23244,24552,22916,24224,469502,26982.0,7292500.0
2002-01-25,24354,25596,24026,24092,414323,26836.0,7292500.0
2002-01-28,24489,25409,24161,25272,539477,28149.0,7292500.0
2002-01-29,24950,25601,24293,24551,505084,27347.0,7292500.0
2002-01-30,23963,24357,23247,23570,350348,26253.0,7292500.0
2002-01-31,23895,24748,23435,23961,499724,26691.0,7292500.0
2002-02-01,24292,24817,23707,23701,315427,26399.0,7292500.0
2002-02-04,23765,24224,23502,23634,170077,26326.0,7292500.0
2002-02-05,23569,24095,23247,23307,137321,25961.0,7292500.0
2002-02-06,23248,23839,23117,23243,111013,25888.0,7292500.0
2002-02-07,22723,23380,22657,23243,180752,25888.0,7292500.0
2002-02-08,23244,23506,22784,22916,77392,25524.0,7292500.0
2002-02-14,23115,23569,22918,23307,79065,25961.0,7292500.0
2002-02-15,23314,23971,23117,23374,102592,26034.0,7292500.0
2002-02-18,23707,25606,23707,25404,596815,28295.0,7292500.0
2002-02-19,26387,27307,25473,25993,1484410,28951.0,7292500.0
2002-02-20,25539,25796,25145,25599,349592,28514.0,7292500.0
2002-02-21,26123,28088,25867,27891,2000878,31066.0,7292500.0
2002-02-22,27307,27695,26519,27170,720367,30264.0,7292500.0
2002-02-25,27308,28747,26848,26843,903426,29899.0,7292500.0
2002-02-26,26912,27306,25539,25599,868506,28514.0,7292500.0
2002-02-27,25603,26254,25078,26189,497212,29170.0,7292500.0
2002-02-28,26188,26714,25728,25926,470790,28878.0,7292500.0
2002-03-04,27111,28879,26520,28414,1258805,31649.0,7292500.0
2002-03-05,30449,31822,30186,30837,2561229,34348.0,7292500.0
2002-03-06,30843,32282,30120,30443,968158,33910.0,7292500.0
2002-03-07,31423,31686,29524,29853,835554,33254.0,7292500.0
2002-03-08,29857,30580,29135,30312,373645,33764.0,7292500.0
2002-03-11,29467,31168,29467,30184,559928,33618.0,7292500.0
2002-03-12,30116,30641,29137,30248,638233,33691.0,7292500.0
