동신건설(025950),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-07-09,1102,1203,1090,1202,12000,8680.0,280000.0
1999-07-12,1059,1059,1059,1059,1140,7644.0,280000.0
1999-07-13,1164,1164,1164,1163,200,8400.0,280000.0
1999-07-14,1086,1086,1086,1086,0,7840.0,280000.0
1999-07-15,1086,1086,1086,1086,0,7840.0,280000.0
1999-07-16,1086,1086,1086,1086,0,,
1999-07-19,970,970,970,969,2000,7000.0,280000.0
1999-07-20,970,970,970,969,0,7000.0,280000.0
1999-07-21,1024,1024,1024,1024,0,7392.0,280000.0
1999-07-22,951,951,951,950,0,6860.0,280000.0
1999-07-23,838,838,838,838,20,6048.0,280000.0
1999-07-26,740,740,740,739,0,5334.0,280000.0
1999-07-27,652,826,652,826,160,5964.0,280000.0
1999-07-28,916,916,916,915,0,6608.0,280000.0
1999-07-29,916,916,916,915,0,6608.0,280000.0
1999-07-30,962,962,962,962,20,6944.0,280000.0
1999-08-02,962,962,962,962,0,6944.0,280000.0
1999-08-03,962,962,962,962,0,,
1999-08-04,861,861,861,861,120,6216.0,280000.0
1999-08-05,965,965,965,964,1380,6958.0,280000.0
1999-08-06,873,1079,873,1078,1420,7784.0,280000.0
1999-08-09,1203,1203,1203,1202,200,8680.0,280000.0
1999-08-10,1279,1279,1279,1278,40,9226.0,280000.0
1999-08-11,1319,1319,1319,1319,20,9520.0,280000.0
1999-08-12,1358,1358,1358,1357,20,9800.0,280000.0
1999-08-13,1195,1195,1195,1195,0,8624.0,280000.0
1999-08-16,1193,1193,1193,1193,0,8610.0,280000.0
1999-08-17,1160,1160,1160,1160,0,8372.0,280000.0
1999-08-18,1023,1023,1023,1022,0,7378.0,280000.0
1999-08-19,900,900,900,900,0,6496.0,280000.0
1999-08-20,794,794,794,793,0,5726.0,280000.0
1999-08-23,698,885,698,883,9640,6370.0,280000.0
1999-08-24,778,965,778,964,3660,6958.0,280000.0
1999-08-25,850,962,850,931,780,6720.0,280000.0
1999-08-26,821,892,821,892,980,6440.0,280000.0
1999-08-27,786,910,786,910,260,6566.0,280000.0
1999-08-30,892,892,892,892,0,6440.0,280000.0
1999-08-31,786,786,786,786,1300,5670.0,280000.0
1999-09-01,695,869,695,795,2860,5740.0,280000.0
1999-09-02,701,768,701,768,420,5544.0,280000.0
1999-09-03,850,850,850,849,20,6132.0,280000.0
1999-09-06,749,753,749,752,60,5432.0,280000.0
1999-09-07,795,795,663,775,360,5600.0,280000.0
1999-09-08,683,811,683,810,7800,5852.0,280000.0
1999-09-09,795,795,795,795,1000,5740.0,280000.0
1999-09-10,776,888,776,888,80,6412.0,280000.0
1999-09-13,896,896,896,896,20,6468.0,280000.0
1999-09-14,790,896,790,896,600,6468.0,280000.0
1999-09-15,790,904,790,904,680,6524.0,280000.0
1999-09-16,904,904,904,904,0,6524.0,280000.0
1999-09-17,927,927,927,927,20,6692.0,280000.0
1999-09-20,912,912,912,911,0,6580.0,280000.0
1999-09-21,927,927,803,925,2240,6678.0,280000.0
1999-09-22,968,968,968,968,20,6986.0,280000.0
1999-09-27,891,965,891,964,3800,6958.0,280000.0
1999-09-28,850,954,850,954,60,6888.0,280000.0
1999-09-29,840,926,840,925,360,6678.0,280000.0
1999-09-30,815,912,815,888,1260,6412.0,280000.0
1999-10-01,970,970,962,962,260,6944.0,280000.0
1999-10-04,848,961,848,960,1880,6930.0,280000.0
1999-10-05,846,846,846,845,1500,6104.0,280000.0
1999-10-06,745,745,745,744,1000,5376.0,280000.0
1999-10-07,656,795,656,795,60,5740.0,280000.0
1999-10-08,706,852,706,717,80,5180.0,280000.0
1999-10-11,698,795,698,795,380,5740.0,280000.0
1999-10-12,842,842,702,814,980,5880.0,280000.0
1999-10-13,718,844,718,735,2260,5306.0,280000.0
1999-10-14,660,764,648,737,2600,5320.0,280000.0
1999-10-15,737,737,737,737,0,5320.0,280000.0
1999-10-18,650,656,650,650,1660,4690.0,280000.0
1999-10-19,573,656,573,655,940,4732.0,280000.0
1999-10-20,586,695,586,694,2000,5012.0,280000.0
1999-10-21,757,757,757,756,20,5460.0,280000.0
1999-10-22,667,813,667,810,3820,5852.0,280000.0
1999-10-25,714,857,714,826,3720,5964.0,280000.0
1999-10-26,732,813,732,805,3000,5810.0,280000.0
1999-10-27,710,815,710,795,1780,5740.0,280000.0
1999-10-28,702,830,702,822,2440,5936.0,280000.0
1999-10-29,729,830,726,807,10740,5824.0,280000.0
1999-11-01,726,764,718,725,4440,5236.0,280000.0
1999-11-02,726,749,662,748,640,5404.0,280000.0
1999-11-03,745,813,662,813,2120,5866.0,280000.0
1999-11-04,834,910,834,910,400,6566.0,280000.0
1999-11-05,1019,1019,1017,1018,8960,7350.0,280000.0
1999-11-08,1137,1141,1121,1121,1300,8092.0,280000.0
1999-11-09,1203,1242,988,987,3200,7126.0,280000.0
1999-11-10,1001,1001,869,890,1120,6426.0,280000.0
1999-11-11,786,970,784,852,2540,6146.0,280000.0
1999-11-12,753,753,751,751,2500,5418.0,280000.0
1999-11-15,662,662,662,661,4960,4774.0,280000.0
1999-11-16,601,740,584,694,8960,5012.0,280000.0
1999-11-17,613,737,613,613,3840,4424.0,280000.0
1999-11-18,543,683,543,581,3380,4200.0,280000.0
1999-11-19,526,621,512,609,1340,4396.0,280000.0
1999-11-22,538,543,538,543,2520,3920.0,280000.0
1999-11-23,485,601,485,601,100,4340.0,280000.0
1999-11-24,582,582,582,581,440,4200.0,280000.0
1999-11-25,582,582,526,543,1780,3920.0,280000.0
1999-11-26,543,543,543,543,20,3920.0,280000.0
1999-11-29,582,608,582,607,340,4382.0,280000.0
1999-11-30,617,679,563,620,1060,4480.0,280000.0
1999-12-01,547,629,547,613,1060,4424.0,280000.0
1999-12-02,563,582,563,581,60,4200.0,280000.0
1999-12-03,543,582,512,512,240,3696.0,280000.0
1999-12-06,466,543,466,535,220,3864.0,280000.0
1999-12-07,473,582,472,539,300,3892.0,280000.0
1999-12-08,601,604,601,603,400,4354.0,280000.0
1999-12-09,532,609,532,580,1220,4186.0,280000.0
1999-12-10,640,640,512,581,1840,4200.0,280000.0
1999-12-13,520,520,520,519,200,3752.0,280000.0
1999-12-14,469,543,458,487,2720,3514.0,280000.0
1999-12-15,485,546,485,545,540,3934.0,280000.0
1999-12-16,504,551,504,543,1480,3920.0,280000.0
1999-12-17,563,574,480,574,860,4144.0,280000.0
1999-12-20,582,608,551,605,1280,4368.0,280000.0
1999-12-21,677,677,534,599,380,4326.0,280000.0
1999-12-22,528,528,528,527,200,3808.0,280000.0
1999-12-23,466,466,466,465,640,3360.0,280000.0
1999-12-24,411,520,411,519,260,3752.0,280000.0
1999-12-27,466,582,458,457,880,3304.0,280000.0
1999-12-28,458,458,404,407,660,2940.0,280000.0
2000-01-04,407,407,407,407,0,2940.0,280000.0
2000-01-05,359,407,359,384,2280,2772.0,280000.0
2000-01-06,341,384,341,384,620,2772.0,280000.0
2000-01-07,384,429,349,429,340,3094.0,280000.0
2000-01-10,380,380,379,378,600,2730.0,280000.0
2000-01-11,379,379,379,378,0,2730.0,280000.0
2000-01-12,338,386,338,386,40,2786.0,280000.0
2000-01-13,423,423,423,422,20,3052.0,280000.0
2000-01-14,469,469,469,469,20,3388.0,280000.0
2000-01-17,524,524,414,413,6060,2982.0,280000.0
2000-01-18,367,438,367,368,60,2660.0,280000.0
2000-01-19,341,411,324,399,4300,2884.0,280000.0
2000-01-20,423,423,423,422,40,3052.0,280000.0
2000-01-21,466,466,466,465,2020,3360.0,280000.0
2000-01-24,411,464,411,464,1120,3346.0,280000.0
2000-01-25,410,503,410,498,1720,3598.0,280000.0
2000-01-26,441,555,441,440,860,3178.0,280000.0
2000-01-27,388,425,388,425,640,3066.0,280000.0
2000-01-28,375,441,375,374,4520,2702.0,280000.0
2000-01-31,357,384,357,384,1060,2772.0,280000.0
2000-02-01,423,423,343,386,520,2786.0,280000.0
2000-02-02,411,411,349,376,960,2716.0,280000.0
2000-02-03,341,365,341,364,200,2632.0,280000.0
2000-02-07,362,402,341,387,300,2794.0,280000.0
2000-02-08,367,367,341,341,620,2464.0,280000.0
2000-02-09,341,383,301,304,3360,2198.0,280000.0
2000-02-10,305,341,305,341,2140,2461.0,280000.0
2000-02-11,380,382,300,300,6960,2167.0,280000.0
2000-02-14,336,336,291,290,7780,2100.0,280000.0
2000-02-15,326,326,326,325,6840,2352.0,280000.0
2000-02-16,363,363,322,325,460,2352.0,280000.0
2000-02-17,361,365,350,364,6500,2632.0,280000.0
2000-02-18,407,407,324,385,10840,2780.0,280000.0
2000-02-21,341,365,339,339,5140,2447.0,280000.0
2000-02-22,317,353,303,330,7080,2386.0,280000.0
2000-02-23,291,369,291,368,1840,2657.0,280000.0
2000-02-24,386,386,324,349,2680,2520.0,280000.0
2000-02-25,311,388,309,323,6100,2335.0,280000.0
2000-02-28,295,362,294,318,7000,2296.0,280000.0
2000-02-29,310,356,299,320,4960,2310.0,280000.0
2000-03-02,312,359,312,358,3600,2587.0,280000.0
2000-03-03,400,400,400,399,3260,2884.0,280000.0
2000-03-06,446,446,354,446,9060,3220.0,280000.0
2000-03-07,499,499,499,498,4220,3598.0,280000.0
2000-03-08,557,557,557,557,440,4018.0,280000.0
2000-03-09,623,623,623,623,20,4494.0,280000.0
2000-03-10,697,697,697,696,20,5026.0,280000.0
2000-03-13,780,780,780,779,380,5628.0,280000.0
2000-03-14,873,873,873,872,380,6300.0,280000.0
2000-03-15,978,978,978,977,400,7056.0,280000.0
2000-03-16,1094,1094,1086,1094,27080,7896.0,280000.0
2000-03-17,1224,1224,965,1224,32180,8834.0,280000.0
2000-03-20,1370,1370,1079,1365,33800,9856.0,280000.0
2000-03-21,1350,1358,1203,1319,16340,9520.0,280000.0
2000-03-22,1162,1358,1162,1162,16060,8386.0,280000.0
2000-03-23,1027,1211,1024,1024,12480,7392.0,280000.0
2000-03-24,902,1009,902,902,6700,6510.0,280000.0
2000-03-27,795,1009,795,989,281020,7140.0,280000.0
2000-03-28,1028,1108,892,1108,89160,7994.0,280000.0
2000-03-29,1160,1240,989,1240,203540,8946.0,280000.0
2000-03-30,1242,1387,1242,1387,96460,10010.0,280000.0
2000-03-31,1346,1552,1222,1222,168180,8820.0,280000.0
2000-04-03,1222,1222,1222,1222,0,8820.0,280000.0
2000-04-04,1222,1222,1222,1222,0,,
2000-04-06,1222,1222,1222,1222,0,,
2000-04-07,1077,1368,1077,1368,81280,9870.0,280000.0
2000-04-10,1531,1531,1531,1531,60,11046.0,280000.0
2000-04-11,1713,1713,1713,1713,640,12362.0,280000.0
2000-04-12,1917,1917,1917,1916,40,13832.0,280000.0
2000-04-14,2146,2146,2134,2145,39260,15484.0,280000.0
2000-04-17,2402,2402,1890,2401,300160,17332.0,280000.0
2000-04-18,2677,2689,2425,2688,75620,19404.0,280000.0
2000-04-19,2367,3011,2367,2556,402040,18452.0,280000.0
2000-04-20,2863,2863,2374,2863,244340,20664.0,280000.0
2000-04-21,2863,3015,2522,2595,217600,18732.0,280000.0
2000-04-24,2328,2503,2285,2285,90380,16492.0,280000.0
2000-04-25,2014,2328,2014,2013,98960,14532.0,280000.0
2000-04-26,1773,2254,1773,2254,149500,16268.0,280000.0
2000-04-27,2483,2522,2406,2521,47100,18200.0,280000.0
2000-04-28,2825,2825,2219,2327,191660,16800.0,280000.0
2000-05-02,2406,2607,2134,2560,104540,18480.0,280000.0
2000-05-03,2541,2774,2522,2638,65340,19040.0,280000.0
2000-05-04,2561,2790,2328,2677,74980,19320.0,280000.0
2000-05-08,2677,2832,2561,2754,39460,19880.0,280000.0
2000-05-09,2638,2898,2561,2867,38560,20692.0,280000.0
2000-05-10,2716,3209,2716,3208,42540,23156.0,280000.0
2000-05-12,3593,3593,3453,3592,9080,25928.0,280000.0
2000-05-15,4016,4016,3880,4015,22980,28980.0,280000.0
2000-05-16,4481,4481,4481,4481,5720,32340.0,280000.0
2000-05-17,5005,5005,5005,5005,1620,36120.0,280000.0
2000-05-18,5587,5587,5587,5587,1060,40320.0,280000.0
2000-05-19,6247,6247,4927,4927,78260,35560.0,280000.0
2000-05-22,4345,4345,4345,4345,3100,31360.0,280000.0
2000-05-23,3841,3841,3841,3841,1600,27720.0,280000.0
2000-05-24,3383,3383,3383,3383,780,24416.0,280000.0
2000-05-25,3026,3787,2980,3786,109320,27328.0,280000.0
2000-05-26,3791,4171,3333,3332,44540,24052.0,280000.0
2000-05-29,2933,3104,2933,2933,32920,21168.0,280000.0
2000-05-30,2739,3282,2600,3282,136740,23688.0,280000.0
2000-05-31,3674,3674,3418,3647,77120,26320.0,280000.0
2000-06-01,3531,3880,3213,3685,62380,26600.0,280000.0
2000-06-02,3337,3763,3298,3491,67180,25200.0,280000.0
2000-06-05,3492,3674,3473,3569,103820,25760.0,280000.0
2000-06-07,3919,3919,3337,3491,132660,25200.0,280000.0
2000-06-08,3317,3453,3073,3072,77540,22176.0,280000.0
2000-06-09,2964,3201,2704,2793,110900,20160.0,280000.0
2000-06-12,2638,3026,2600,2867,59180,20692.0,280000.0
2000-06-13,2867,2902,2534,2673,30100,19292.0,280000.0
2000-06-14,2603,2991,2541,2991,128260,21588.0,280000.0
2000-06-15,2774,3178,2634,2770,115440,19992.0,280000.0
2000-06-16,2697,2782,2440,2440,54460,17612.0,280000.0
2000-06-19,2192,2440,2149,2149,78620,15512.0,280000.0
2000-06-20,2060,2289,2060,2172,58640,15680.0,280000.0
2000-06-21,2250,2406,2060,2211,62160,15960.0,280000.0
2000-06-22,2231,2475,2173,2475,65140,17864.0,280000.0
2000-06-23,2518,2770,2475,2770,84520,19992.0,280000.0
2000-06-26,2813,2828,2440,2463,120060,17780.0,280000.0
2000-06-27,2522,2631,2289,2595,66240,18732.0,280000.0
2000-06-28,2444,2561,2285,2285,63500,16492.0,280000.0
2000-06-29,2138,2425,2138,2378,50920,17164.0,280000.0
2000-06-30,2254,2406,2192,2273,28060,16408.0,280000.0
2000-07-03,2134,2231,2134,2188,41320,15792.0,280000.0
2000-07-04,2231,2386,2095,2312,70420,16688.0,280000.0
2000-07-05,2215,2312,2041,2238,42320,16156.0,280000.0
2000-07-06,2212,2212,2064,2064,50980,14896.0,280000.0
2000-07-07,2115,2231,2076,2133,37800,15400.0,280000.0
2000-07-10,1959,2212,1959,2153,25220,15540.0,280000.0
2000-07-11,2076,2153,1940,2095,30160,15120.0,280000.0
2000-07-12,2014,2095,1944,2033,27580,14672.0,280000.0
2000-07-13,1948,2274,1948,2033,48640,14672.0,280000.0
2000-07-14,1987,2033,1963,2017,17400,14560.0,280000.0
2000-07-18,2076,2212,2018,2133,39400,15400.0,280000.0
2000-07-19,2390,2390,2390,2390,13560,17248.0,280000.0
2000-07-20,2673,2673,2673,2673,16980,19292.0,280000.0
2000-07-21,2991,2991,2991,2991,5760,21588.0,280000.0
2000-07-24,3348,3348,3182,3348,160760,24164.0,280000.0
2000-07-25,3356,3713,2949,2948,175920,21280.0,280000.0
2000-07-26,2910,3302,2638,3301,179240,23828.0,280000.0
2000-07-27,3337,3698,3337,3697,201020,26684.0,280000.0
2000-07-28,3868,4074,3255,3255,188040,23492.0,280000.0
2000-07-31,3123,3453,2879,2983,162600,21532.0,280000.0
2000-08-01,3046,3162,2627,2735,98100,19740.0,280000.0
2000-08-02,2743,3061,2735,3061,183100,22092.0,280000.0
2000-08-03,3100,3395,2716,2906,141600,20972.0,280000.0
2000-08-04,2720,3034,2720,2832,69840,20440.0,280000.0
2000-08-07,2949,3170,2949,3100,137380,22372.0,280000.0
2000-08-08,2832,3298,2832,3123,118560,22540.0,280000.0
2000-08-09,3182,3414,2871,2909,81520,21000.0,280000.0
2000-08-10,2929,3185,2929,3084,87760,22260.0,280000.0
2000-08-11,3259,3259,2949,3022,49220,21812.0,280000.0
2000-08-14,3026,3383,2871,3142,151900,22680.0,280000.0
2000-08-16,3201,3344,2910,2991,68560,21588.0,280000.0
2000-08-17,3065,3085,2918,2991,50680,21588.0,280000.0
2000-08-18,2991,3100,2766,3084,52680,22260.0,280000.0
2000-08-21,3065,3337,2968,3212,218980,23184.0,280000.0
2000-08-22,3127,3298,3026,3061,65980,22092.0,280000.0
2000-08-23,3026,3162,2999,3080,60420,22232.0,280000.0
2000-08-24,3081,3449,2999,3449,158720,24892.0,280000.0
2000-08-25,3608,3860,3476,3860,119340,27860.0,280000.0
2000-08-28,4307,4307,4229,4306,17200,31080.0,280000.0
2000-08-29,4811,4811,3802,3802,285880,27440.0,280000.0
2000-08-30,3880,4248,3802,4248,239540,30660.0,280000.0
2000-08-31,4753,4753,4229,4752,484960,34300.0,280000.0
2000-09-01,4365,4656,4190,4190,217680,30240.0,280000.0
2000-09-04,3767,3822,3705,3705,199860,26740.0,280000.0
2000-09-05,3531,3744,3263,3336,147480,24080.0,280000.0
2000-09-06,3310,3608,3147,3297,161540,23800.0,280000.0
2000-09-07,3263,3434,2906,2944,127160,21252.0,280000.0
2000-09-08,2910,2988,2697,2847,77100,20552.0,280000.0
2000-09-14,2739,2759,2510,2657,47900,19180.0,280000.0
2000-09-15,2522,2976,2522,2731,120100,19712.0,280000.0
2000-09-18,2638,2677,2406,2405,54240,17360.0,280000.0
2000-09-19,2250,2425,2118,2192,38800,15820.0,280000.0
2000-09-20,2192,2386,2192,2281,43460,16464.0,280000.0
2000-09-21,2138,2270,2010,2009,46560,14504.0,280000.0
2000-09-22,1855,1971,1769,1769,50260,12768.0,280000.0
2000-09-25,1574,1843,1571,1703,68880,12292.0,280000.0
2000-09-26,1703,1862,1703,1811,66480,13076.0,280000.0
2000-09-27,1746,2029,1746,2029,93020,14644.0,280000.0
2000-09-28,1940,2250,1940,2095,81760,15120.0,280000.0
2000-09-29,2134,2212,2029,2029,65640,14644.0,280000.0
2000-10-02,2029,2056,1905,1955,57760,14112.0,280000.0
2000-10-04,1824,2095,1824,2013,49980,14532.0,280000.0
2000-10-05,2099,2099,1998,2021,51580,14588.0,280000.0
2000-10-06,1979,2052,1952,1998,30280,14420.0,280000.0
2000-10-09,2010,2235,1994,2234,90220,16128.0,280000.0
2000-10-10,2421,2425,2018,2285,132720,16492.0,280000.0
2000-10-11,2328,2363,2014,2052,73480,14812.0,280000.0
2000-10-12,1924,2173,1924,2071,69220,14952.0,280000.0
2000-10-13,1959,1979,1826,1928,27840,13916.0,280000.0
2000-10-16,1944,2115,1944,1998,48220,14420.0,280000.0
2000-10-17,1998,2018,1777,1776,25900,12824.0,280000.0
2000-10-18,1827,1843,1746,1839,25520,13272.0,280000.0
2000-10-19,1769,1921,1769,1862,24280,13440.0,280000.0
2000-10-20,1824,1975,1824,1963,50780,14168.0,280000.0
2000-10-23,1940,2196,1905,1908,75240,13776.0,280000.0
2000-10-24,1897,2010,1882,1955,32680,14112.0,280000.0
2000-10-25,1901,2126,1901,2048,80060,14784.0,280000.0
2000-10-26,1987,2293,1983,2293,109400,16548.0,280000.0
2000-10-27,2487,2565,2464,2564,89560,18508.0,280000.0
2000-10-30,2871,2871,2258,2258,173100,16296.0,280000.0
2000-10-31,2134,2231,1990,1990,96420,14364.0,280000.0
2000-11-01,1990,2223,1901,2172,105420,15680.0,280000.0
2000-11-02,2080,2328,2076,2137,77560,15428.0,280000.0
2000-11-03,2212,2394,2138,2393,164320,17276.0,280000.0
2000-11-06,2402,2681,2351,2681,203140,19348.0,280000.0
2000-11-07,2755,2968,2456,2560,161240,18480.0,280000.0
2000-11-08,2561,2867,2526,2867,194400,20692.0,280000.0
2000-11-09,2910,3209,2910,3208,77720,23156.0,280000.0
2000-11-10,3550,3593,2825,2859,387020,20636.0,280000.0
2000-11-13,2910,3022,2518,2545,128020,18368.0,280000.0
2000-11-14,2545,2848,2545,2847,152020,20552.0,280000.0
2000-11-15,2887,3065,2607,2618,193280,18900.0,280000.0
2000-11-16,2642,2821,2448,2618,82360,18900.0,280000.0
2000-11-17,2677,2716,2561,2615,40600,18872.0,280000.0
2000-11-20,2576,2638,2495,2622,50100,18928.0,280000.0
2000-11-21,2549,2910,2549,2851,162660,20580.0,280000.0
2000-11-22,2914,2914,2596,2653,86600,19152.0,280000.0
2000-11-23,2716,2716,2336,2366,49080,17080.0,280000.0
2000-11-24,2262,2561,2095,2374,57060,17136.0,280000.0
2000-11-27,2328,2464,2328,2374,58220,17136.0,280000.0
2000-11-28,2374,2425,2254,2254,27840,16268.0,280000.0
2000-11-29,2180,2433,2076,2242,68640,16184.0,280000.0
2000-11-30,2289,2359,2138,2234,17780,16128.0,280000.0
2000-12-01,2173,2235,2095,2176,27620,15708.0,280000.0
2000-12-04,2118,2266,2118,2180,29580,15736.0,280000.0
2000-12-05,2134,2250,2134,2172,31620,15680.0,280000.0
2000-12-06,2173,2289,2153,2188,20860,15792.0,280000.0
2000-12-07,2142,2406,2087,2324,94080,16772.0,280000.0
2000-12-08,2320,2421,2212,2219,86880,16016.0,280000.0
2000-12-11,2250,2250,2146,2207,22060,15932.0,280000.0
2000-12-12,2142,2289,2142,2207,40400,15932.0,280000.0
2000-12-13,2018,2471,2018,2471,157260,17836.0,280000.0
2000-12-14,2487,2716,2367,2386,193360,17220.0,280000.0
2000-12-15,2382,2382,2212,2285,75720,16492.0,280000.0
2000-12-18,2328,2421,2215,2316,51440,16716.0,280000.0
2000-12-19,2254,2316,2165,2246,53800,16212.0,280000.0
2000-12-20,2060,2204,1979,2071,69300,14952.0,280000.0
2000-12-21,1901,1901,1824,1823,33100,13160.0,280000.0
2000-12-22,1824,1897,1606,1637,36880,11816.0,280000.0
2000-12-26,1637,1688,1494,1666,28480,12026.0,280000.0
2001-01-02,1519,1866,1519,1823,39060,13160.0,280000.0
2001-01-03,1746,1971,1746,1901,54960,13720.0,280000.0
2001-01-04,1975,2056,1940,2013,40980,14532.0,280000.0
2001-01-05,2041,2056,1905,1939,36940,14000.0,280000.0
2001-01-08,1831,2091,1831,2013,67360,14532.0,280000.0
