이지케어텍(099750),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-09-05,15150,15400,14850,15000,97749,95790.0,6386000.0
2019-09-06,15200,15700,15050,15150,97638,96748.0,6386000.0
2019-09-09,15250,15800,14800,15150,38661,96748.0,6386000.0
2019-09-10,15200,15400,14900,15150,16872,96748.0,6386000.0
2019-09-11,15100,16450,15100,16100,146488,102815.0,6386000.0
2019-09-16,16100,16250,15850,16100,34282,102815.0,6386000.0
2019-09-17,16000,16600,15750,16200,53048,103453.0,6386000.0
2019-09-18,16200,16750,15950,15950,53380,101857.0,6386000.0
2019-09-19,15950,16250,15550,15850,41954,101218.0,6386000.0
2019-09-20,15850,16350,15850,16050,31763,102495.0,6386000.0
2019-09-23,15600,15950,15450,15700,67897,100260.0,6386000.0
2019-09-24,15700,15950,15150,15300,58527,97706.0,6386000.0
2019-09-25,15300,15400,14600,14950,67496,95471.0,6386000.0
2019-09-26,14950,15250,14800,15050,40140,96109.0,6386000.0
2019-09-27,15050,15800,14500,14800,46164,94513.0,6386000.0
2019-09-30,14700,14750,14400,14500,15798,92597.0,6386000.0
2019-10-01,14550,14750,14300,14500,14827,92597.0,6386000.0
2019-10-02,14350,14500,14150,14300,23486,91320.0,6386000.0
2019-10-04,14800,14800,14100,14200,15746,90681.0,6386000.0
2019-10-07,14200,14700,14200,14450,18514,92278.0,6386000.0
