에프엔에스테크(083500),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-11-07,9120,9120,8950,9050,35335,59961.0,6625485.0
2017-11-08,9100,9260,8980,9040,73830,59894.0,6625485.0
2017-11-09,9040,9420,9010,9420,104662,62412.0,6625485.0
2017-11-10,9420,9560,9300,9400,75134,62280.0,6625485.0
2017-11-13,9410,9510,8990,9100,173820,60292.0,6625485.0
2017-11-14,9050,9100,8510,8510,310570,56383.0,6625485.0
2017-11-15,8550,8620,8290,8350,122138,55323.0,6625485.0
2017-11-16,8440,8500,8300,8320,86987,55124.0,6625485.0
2017-11-17,8360,8480,8280,8430,52298,55853.0,6625485.0
2017-11-20,8440,8450,8350,8390,79676,55588.0,6625485.0
2017-11-21,8390,8630,8320,8600,162144,56979.0,6625485.0
2017-11-22,8630,8730,8510,8730,112427,57840.0,6625485.0
2017-11-23,8730,9010,8700,8920,154503,59099.0,6625485.0
2017-11-24,8920,9000,8800,8950,87598,59298.0,6625485.0
2017-11-27,8990,9030,8800,8840,93981,58569.0,6625485.0
2017-11-28,8810,8900,8590,8600,100832,56979.0,6625485.0
2017-11-29,8600,8730,8550,8630,46182,57178.0,6625485.0
2017-11-30,8600,8880,8600,8660,81070,57377.0,6625485.0
2017-12-01,8710,8710,8570,8620,66692,57112.0,6625485.0
2017-12-04,8630,8690,8440,8490,62759,56250.0,6625485.0
2017-12-05,8400,8550,8380,8470,42349,56118.0,6625485.0
2017-12-06,8450,8700,8400,8430,69028,55853.0,6625485.0
2017-12-07,8390,8470,7760,8000,162105,53004.0,6625485.0
2017-12-08,8010,8050,7730,7750,86740,51348.0,6625485.0
2017-12-11,7670,7910,7570,7820,50468,51811.0,6625485.0
2017-12-12,7870,7960,7820,7880,43524,52209.0,6625485.0
2017-12-13,7880,8050,7830,8050,49340,53335.0,6625485.0
2017-12-14,8050,8060,7900,8020,24917,53136.0,6625485.0
2017-12-15,7950,8020,7720,7780,42012,51546.0,6625485.0
2017-12-18,7720,7780,7460,7510,74600,49757.0,6625485.0
2017-12-19,7480,7530,7170,7250,83747,48035.0,6625485.0
2017-12-20,7160,7370,7160,7250,33542,48035.0,6625485.0
2017-12-21,7170,7300,6800,6800,92441,45053.0,6625485.0
2017-12-22,6770,7000,6750,6920,41725,45848.0,6625485.0
2017-12-26,6920,7070,6880,6880,34931,45583.0,6625485.0
2017-12-27,6820,7180,6820,7070,28859,46842.0,6625485.0
2017-12-28,7180,7220,7070,7150,18263,47372.0,6625485.0
2018-01-02,7210,7380,7200,7370,29190,48830.0,6625485.0
2018-01-03,7470,7470,7250,7370,38602,48830.0,6625485.0
2018-01-04,7400,7430,7280,7300,26316,48366.0,6625485.0
2018-01-05,7300,7390,7130,7390,57533,48962.0,6625485.0
2018-01-08,7560,7600,7310,7360,74364,48764.0,6625485.0
2018-01-09,7360,7380,7230,7230,32543,47902.0,6625485.0
2018-01-10,7300,7300,7000,7020,64538,46511.0,6625485.0
2018-01-11,7020,7110,6970,7040,39362,46643.0,6625485.0
2018-01-12,7090,7090,6800,6840,55766,45318.0,6625485.0
2018-01-15,6830,6900,6570,6590,92521,43662.0,6625485.0
2018-01-16,6600,6970,6500,6930,70213,45915.0,6625485.0
2018-01-17,7040,7160,6910,7020,69450,46511.0,6625485.0
2018-01-18,7120,7130,6940,7010,48727,46445.0,6625485.0
2018-01-19,6960,7040,6830,6890,55660,45650.0,6625485.0
2018-01-22,6890,6890,6730,6730,38940,44590.0,6625485.0
2018-01-23,6730,6950,6640,6940,64308,45981.0,6625485.0
2018-01-24,7130,7250,6920,7130,76849,47240.0,6625485.0
2018-01-25,7150,7210,7060,7200,44984,47703.0,6625485.0
2018-01-26,7250,7520,7170,7440,91591,49294.0,6625485.0
2018-01-29,7460,7600,7350,7540,63272,49956.0,6625485.0
2018-01-30,7500,7520,7360,7470,40109,49492.0,6625485.0
2018-01-31,7400,7440,7290,7290,26179,48300.0,6625485.0
2018-02-01,7280,7390,7200,7320,18289,48499.0,6625485.0
2018-02-02,7380,7380,6990,7000,39379,46378.0,6625485.0
2018-02-05,6810,6950,6790,6830,44867,45252.0,6625485.0
2018-02-06,6700,6700,6410,6680,94187,44258.0,6625485.0
2018-02-07,6710,6820,6570,6580,27935,43596.0,6625485.0
2018-02-08,6600,6680,6540,6660,21488,44126.0,6625485.0
2018-02-09,6640,6640,6490,6560,26436,43463.0,6625485.0
2018-02-12,6790,6800,6560,6650,30385,44059.0,6625485.0
2018-02-13,6650,6780,6560,6600,20936,43728.0,6625485.0
2018-02-14,6500,6630,6490,6600,26790,43728.0,6625485.0
2018-02-19,6500,6680,6500,6560,43844,43463.0,6625485.0
2018-02-20,6600,6710,6490,6540,21622,43331.0,6625485.0
2018-02-21,6560,7090,6560,7020,71321,46511.0,6625485.0
2018-02-22,7020,7080,6770,6800,31004,45053.0,6625485.0
2018-02-23,6770,6950,6650,6810,35219,45120.0,6625485.0
2018-02-26,6820,6900,6750,6850,18269,45385.0,6625485.0
2018-02-27,6940,6940,6670,6680,13856,44258.0,6625485.0
2018-02-28,6610,6760,6600,6610,19315,43794.0,6625485.0
2018-03-02,6610,6770,6560,6690,22838,44324.0,6625485.0
2018-03-05,6760,6760,6510,6590,24511,43662.0,6625485.0
2018-03-06,6740,6740,6530,6560,13366,43463.0,6625485.0
2018-03-07,6540,6730,6510,6610,21678,43794.0,6625485.0
2018-03-08,6650,6950,6550,6870,44877,45517.0,6625485.0
2018-03-09,6930,7250,6780,6860,68558,45451.0,6625485.0
2018-03-12,6960,6960,6840,6900,26619,45716.0,6625485.0
2018-03-13,7010,7010,6850,6910,20471,45782.0,6625485.0
2018-03-14,6970,6970,6730,6910,18383,45782.0,6625485.0
2018-03-15,6910,6950,6830,6880,17939,45583.0,6625485.0
2018-03-16,6920,6920,6780,6890,10891,45650.0,6625485.0
2018-03-19,6870,7000,6840,6940,48155,45981.0,6625485.0
2018-03-20,6910,6960,6850,6870,25927,45517.0,6625485.0
2018-03-21,6940,6940,6700,6730,38041,44590.0,6625485.0
2018-03-22,6710,6790,6510,6570,41254,43529.0,6625485.0
2018-03-23,6460,6570,6310,6390,60752,42337.0,6625485.0
2018-03-26,6390,6400,6030,6240,56188,41343.0,6625485.0
2018-03-27,6380,6380,6110,6280,41782,41608.0,6625485.0
2018-03-28,6250,6250,6090,6230,26808,41277.0,6625485.0
2018-03-29,6160,6220,6100,6180,18227,40945.0,6625485.0
2018-03-30,6170,6300,6120,6250,17668,41409.0,6625485.0
2018-04-02,6250,6370,6180,6290,12746,41674.0,6625485.0
2018-04-03,6160,6290,6160,6230,17904,41277.0,6625485.0
2018-04-04,6230,6360,6120,6280,23348,41608.0,6625485.0
2018-04-05,6280,6340,6010,6030,45249,39952.0,6625485.0
2018-04-06,6030,6100,5630,5900,96713,39090.0,6625485.0
2018-04-09,5900,5910,5670,5810,29977,38494.0,6625485.0
2018-04-10,5750,5870,5650,5750,39994,38097.0,6625485.0
2018-04-11,5750,6040,5720,5890,46107,39024.0,6625485.0
2018-04-12,6000,6040,5890,5970,23618,39554.0,6625485.0
2018-04-13,6080,6080,5910,5910,17883,39157.0,6625485.0
2018-04-16,6040,6040,5840,5900,13001,39090.0,6625485.0
2018-04-17,5900,5980,5810,5910,23841,41462.0,7015485.0
2018-04-18,5910,6250,5910,6100,56248,42794.0,7015485.0
2018-04-19,6210,6280,6000,6160,64951,43215.0,7015485.0
2018-04-20,6130,6180,6030,6100,48133,42794.0,7015485.0
2018-04-23,6100,6150,6050,6050,52946,42444.0,7015485.0
2018-04-24,6200,6340,6060,6340,244816,44478.0,7015485.0
2018-04-25,6750,6950,6450,6500,322381,45601.0,7015485.0
2018-04-26,6450,6580,6410,6460,39255,45320.0,7015485.0
2018-04-27,6410,6540,6400,6490,33644,45530.0,7015485.0
2018-04-30,6400,6410,6170,6220,37660,43636.0,7015485.0
2018-05-02,6200,6210,5960,6080,46245,42654.0,7015485.0
2018-05-03,6090,6270,6080,6210,21567,43566.0,7015485.0
2018-05-04,6290,6520,6160,6430,45685,45110.0,7015485.0
2018-05-08,6350,6640,6350,6420,43400,45039.0,7015485.0
2018-05-09,6420,6570,6300,6570,78635,46092.0,7015485.0
2018-05-10,6580,6620,6470,6520,36126,45741.0,7015485.0
2018-05-11,6530,6600,6460,6580,34481,46162.0,7015485.0
2018-05-14,6650,6650,6430,6500,31239,45601.0,7015485.0
2018-05-15,6540,6540,6400,6500,18222,45601.0,7015485.0
2018-05-16,6500,6500,6320,6320,43042,44338.0,7015485.0
2018-05-17,6480,6480,6030,6120,42693,42935.0,7015485.0
2018-05-18,6120,6180,6050,6180,24981,43356.0,7015485.0
2018-05-21,6190,6200,6070,6090,9419,42724.0,7015485.0
2018-05-23,6090,6210,6070,6100,21103,42794.0,7015485.0
2018-05-24,6070,6320,6070,6140,15587,43075.0,7015485.0
2018-05-25,6140,6140,6020,6070,25547,42584.0,7015485.0
2018-05-28,6020,6190,5970,6030,32431,42303.0,7015485.0
2018-05-29,5970,6200,5970,6200,21486,43496.0,7015485.0
2018-05-30,6200,6200,6030,6030,11387,42303.0,7015485.0
2018-05-31,5970,6150,5930,6030,26601,42303.0,7015485.0
2018-06-01,6100,6150,6010,6070,8204,42584.0,7015485.0
2018-06-04,6000,6150,6000,6120,29665,42935.0,7015485.0
2018-06-05,6110,6150,6050,6050,12456,42444.0,7015485.0
2018-06-07,6140,6250,6050,6200,37014,43496.0,7015485.0
2018-06-08,6280,6280,6160,6200,10347,43496.0,7015485.0
2018-06-11,6260,6270,6170,6190,10954,43426.0,7015485.0
2018-06-12,6190,6360,6160,6360,22359,44618.0,7015485.0
2018-06-14,6360,6470,6330,6360,33545,44618.0,7015485.0
2018-06-15,6360,6470,6200,6290,11965,44127.0,7015485.0
2018-06-18,6290,6290,6000,6120,19021,42935.0,7015485.0
2018-06-19,6180,6180,5710,5850,23084,41041.0,7015485.0
2018-06-20,5650,5920,5650,5850,39714,41041.0,7015485.0
2018-06-21,5810,5950,5790,5850,17891,41041.0,7015485.0
2018-06-22,5920,6000,5800,5940,13826,41672.0,7015485.0
2018-06-25,6120,6120,5950,6040,10408,42374.0,7015485.0
2018-06-26,5960,6130,5960,6070,13246,42584.0,7015485.0
2018-06-27,6070,6200,6050,6080,10827,42654.0,7015485.0
2018-06-28,6170,6170,5870,5880,17128,41251.0,7015485.0
2018-06-29,5900,6030,5700,5790,11367,40620.0,7015485.0
2018-07-02,5700,5930,5570,5570,24430,39076.0,7015485.0
2018-07-03,5530,5760,5430,5580,39348,39146.0,7015485.0
2018-07-04,5500,5610,5480,5580,10484,39146.0,7015485.0
2018-07-05,5600,5650,5260,5440,25972,38164.0,7015485.0
2018-07-06,5560,5560,5300,5520,9330,38725.0,7015485.0
2018-07-09,5520,5530,5290,5500,18334,38585.0,7015485.0
2018-07-10,5450,5630,5450,5590,15492,39217.0,7015485.0
2018-07-11,5670,5750,5500,5600,17669,39287.0,7015485.0
2018-07-12,5690,5700,5590,5630,6734,39497.0,7015485.0
2018-07-13,5630,5750,5630,5740,9415,40269.0,7015485.0
2018-07-16,5840,6310,5710,6100,87753,42794.0,7015485.0
2018-07-17,6100,6280,6000,6140,22189,43075.0,7015485.0
2018-07-18,6140,6280,6070,6180,18632,43356.0,7015485.0
2018-07-19,6170,6300,6010,6240,36252,43777.0,7015485.0
2018-07-20,6160,6240,6000,6030,16149,42303.0,7015485.0
2018-07-23,6030,6040,5570,5600,37924,39287.0,7015485.0
2018-07-24,5610,5790,5600,5620,15049,39427.0,7015485.0
2018-07-25,5600,5700,5440,5440,11262,38164.0,7015485.0
2018-07-26,5460,5620,5450,5500,3806,38585.0,7015485.0
2018-07-27,5530,5650,5420,5600,13154,39287.0,7015485.0
2018-07-30,5600,5610,5490,5520,8600,38725.0,7015485.0
2018-07-31,5460,5590,5460,5580,9285,39146.0,7015485.0
2018-08-01,5660,5690,5560,5660,8461,39708.0,7015485.0
2018-08-02,5660,5920,5650,5820,15997,40830.0,7015485.0
2018-08-03,5800,5850,5670,5770,8549,40479.0,7015485.0
2018-08-06,5770,5790,5700,5730,4056,40199.0,7015485.0
2018-08-07,5680,5770,5660,5750,7596,40339.0,7015485.0
2018-08-08,5770,5900,5690,5900,6516,41391.0,7015485.0
2018-08-09,5900,5970,5850,5970,11482,41882.0,7015485.0
2018-08-10,5970,5970,5700,5720,11897,40129.0,7015485.0
2018-08-13,5690,5790,5550,5550,6113,38936.0,7015485.0
2018-08-14,5580,5620,5500,5610,5996,39357.0,7015485.0
2018-08-16,5610,5690,5490,5670,11505,39778.0,7015485.0
2018-08-17,5670,5700,5550,5650,12766,39637.0,7015485.0
2018-08-20,5650,5740,5580,5710,4742,40058.0,7015485.0
2018-08-21,5730,6170,5710,5920,37703,41532.0,7015485.0
2018-08-22,5830,5950,5830,5930,8299,41602.0,7015485.0
2018-08-23,5930,5990,5840,5840,5922,40970.0,7015485.0
2018-08-24,5870,5890,5780,5840,5556,40970.0,7015485.0
2018-08-27,5890,5890,5600,5840,11181,40970.0,7015485.0
2018-08-28,5830,5880,5720,5780,10788,40550.0,7015485.0
2018-08-29,5810,5920,5610,5810,26670,40760.0,7015485.0
2018-08-30,5810,5870,5710,5780,13621,40550.0,7015485.0
2018-08-31,5760,5820,5720,5770,4731,40479.0,7015485.0
2018-09-03,5810,5830,5650,5720,6270,40129.0,7015485.0
2018-09-04,5760,5770,5650,5710,4201,40058.0,7015485.0
2018-09-05,5710,5790,5600,5700,20468,39988.0,7015485.0
2018-09-06,5700,5730,5590,5620,10741,39427.0,7015485.0
2018-09-07,5690,5690,5510,5600,17165,39287.0,7015485.0
2018-09-10,5510,5610,5500,5610,6019,39357.0,7015485.0
2018-09-11,5670,5690,5600,5650,5399,39637.0,7015485.0
2018-09-12,5710,5720,5530,5570,9488,39076.0,7015485.0
2018-09-13,5570,5640,5540,5610,5681,39357.0,7015485.0
2018-09-14,5690,5870,5590,5660,19353,39708.0,7015485.0
2018-09-17,5770,5770,5600,5630,9716,39497.0,7015485.0
2018-09-18,5610,5660,5510,5600,8462,39287.0,7015485.0
2018-09-19,5600,5640,5470,5540,15427,38866.0,7015485.0
2018-09-20,5540,5660,5380,5460,12428,38305.0,7015485.0
2018-09-21,5450,5550,5320,5490,9131,38515.0,7015485.0
2018-09-27,5480,5490,5310,5310,9135,37252.0,7015485.0
2018-09-28,5260,5370,5200,5200,22655,36481.0,7015485.0
2018-10-01,5210,5250,5050,5100,26716,35779.0,7015485.0
2018-10-02,5060,5150,5060,5120,9770,35919.0,7015485.0
2018-10-04,5120,5120,4960,5080,27782,35639.0,7015485.0
2018-10-05,5050,5100,4950,4990,11146,35007.0,7015485.0
2018-10-08,4750,4985,4750,4900,40312,34376.0,7015485.0
2018-10-10,4815,4900,4645,4645,17595,32587.0,7015485.0
2018-10-11,4370,4690,4280,4280,48784,30026.0,7015485.0
2018-10-12,3985,4475,3985,4440,29782,31149.0,7015485.0
2018-10-15,4580,4580,4350,4350,10335,30517.0,7015485.0
2018-10-16,4285,4875,4285,4510,40482,31640.0,7015485.0
2018-10-17,4600,4990,4600,4795,46460,33639.0,7015485.0
2018-10-18,4800,4925,4750,4800,11117,33674.0,7015485.0
2018-10-19,4755,4830,4675,4760,5943,33394.0,7015485.0
2018-10-22,4800,4800,4745,4750,2114,33324.0,7015485.0
2018-10-23,4800,4800,4655,4695,4799,32938.0,7015485.0
2018-10-24,4700,4780,4555,4620,3692,32412.0,7015485.0
2018-10-25,4405,4495,4050,4330,31286,30377.0,7015485.0
2018-10-26,4215,4430,4000,4040,21084,28343.0,7015485.0
2018-10-29,3825,4020,3185,3185,70627,22344.0,7015485.0
2018-10-30,3005,3285,3005,3250,63550,22800.0,7015485.0
2018-10-31,3200,3515,3125,3500,24290,24554.0,7015485.0
2018-11-01,3500,3665,3485,3505,10835,24589.0,7015485.0
2018-11-02,3460,3870,3460,3870,17308,27150.0,7015485.0
2018-11-05,3870,3870,3710,3870,9976,27150.0,7015485.0
2018-11-06,4000,4000,3840,3955,3543,27746.0,7015485.0
2018-11-07,3955,4000,3790,4000,10862,28062.0,7015485.0
2018-11-08,4000,4100,3820,3950,8211,27711.0,7015485.0
2018-11-09,4000,4000,3765,3905,8262,27395.0,7015485.0
2018-11-12,4000,4000,3870,3910,1423,27431.0,7015485.0
2018-11-13,3915,4870,3915,4370,374178,30658.0,7015485.0
2018-11-14,4485,4485,4155,4155,62742,29149.0,7015485.0
2018-11-15,4155,4180,4100,4115,23525,28869.0,7015485.0
2018-11-16,4150,4150,4070,4070,18158,28553.0,7015485.0
2018-11-19,4070,4130,4000,4035,14654,28307.0,7015485.0
