알에스오토메이션(140670),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-10-24,12100,12300,11500,11550,83677,105141.0,9103140.0
2018-10-25,10950,11450,10500,11150,153788,101500.0,9103140.0
2018-10-26,11250,11350,10450,10500,104820,95583.0,9103140.0
2018-10-29,10250,10750,9550,9550,214798,86935.0,9103140.0
2018-10-30,9150,9920,8520,9800,165417,89211.0,9103140.0
2018-10-31,10000,10350,9810,10050,102548,91487.0,9103140.0
2018-11-01,10200,10900,10200,10600,115197,96493.0,9103140.0
2018-11-02,10800,11050,10750,11000,73164,100135.0,9103140.0
2018-11-05,10950,11050,10550,10900,37861,99224.0,9103140.0
2018-11-06,11050,11150,10700,10900,47926,99224.0,9103140.0
2018-11-07,11050,11150,10350,10400,50802,94673.0,9103140.0
2018-11-08,10800,11100,10650,10850,73149,98769.0,9103140.0
2018-11-09,10950,10950,10450,10750,29190,97859.0,9103140.0
2018-11-12,10600,10800,10350,10550,30570,96038.0,9103140.0
2018-11-13,10150,10500,9930,10450,83088,95128.0,9103140.0
2018-11-14,10450,10500,10000,10050,58594,91487.0,9103140.0
2018-11-15,9980,10200,9950,10200,40059,92852.0,9103140.0
2018-11-16,10200,10450,10200,10450,33371,95128.0,9103140.0
2018-11-19,10550,10700,10450,10600,24744,96493.0,9103140.0
2018-11-20,10450,10700,10250,10400,30446,94673.0,9103140.0
2018-11-21,10300,10400,9930,10350,47539,94217.0,9103140.0
2018-11-22,10550,12400,10550,11150,2228840,101500.0,9103140.0
2018-11-23,11100,11350,10850,11000,234372,100135.0,9103140.0
2018-11-26,11100,11650,11000,11450,379075,104231.0,9103140.0
2018-11-27,11550,11900,11300,11600,309086,105596.0,9103140.0
2018-11-28,11650,11650,11250,11300,95024,102865.0,9103140.0
2018-11-29,11450,11450,11050,11150,84884,101500.0,9103140.0
2018-11-30,11100,11250,10750,10800,93357,98314.0,9103140.0
2018-12-03,11050,11300,10900,11200,68447,101955.0,9103140.0
2018-12-04,11350,11550,11150,11200,81403,101955.0,9103140.0
2018-12-05,10900,11300,10650,11300,62946,102865.0,9103140.0
2018-12-06,11200,11300,10450,10650,116580,96948.0,9103140.0
2018-12-07,10700,10800,10450,10500,51123,95583.0,9103140.0
2018-12-10,10300,10450,10000,10050,84053,91487.0,9103140.0
2018-12-11,10050,10150,9900,10050,57317,91487.0,9103140.0
2018-12-12,10000,10400,10000,10350,39902,94217.0,9103140.0
2018-12-13,10350,11300,10300,10900,252852,99224.0,9103140.0
2018-12-14,11100,11300,10500,11000,166838,100135.0,9103140.0
