퓨전데이타(195440),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-03-15,2195,2248,2155,2208,58926,55663.0,3363300.0
2017-03-16,2235,2381,2195,2375,162348,59867.0,3363300.0
2017-03-17,2375,2375,2288,2349,92183,59194.0,3363300.0
2017-03-20,2348,2348,2201,2242,64953,56503.0,3363300.0
2017-03-21,2235,2295,2141,2208,103231,55663.0,3363300.0
2017-03-22,2208,2221,2168,2188,75698,55158.0,3363300.0
2017-03-23,2201,2275,2201,2242,68594,56503.0,3363300.0
2017-03-24,2248,2288,2181,2215,58736,55831.0,3363300.0
2017-03-27,2208,2235,2148,2148,40045,54149.0,3363300.0
2017-03-28,2188,2328,2168,2302,170779,58017.0,3363300.0
2017-03-29,2281,2315,2248,2262,79092,57008.0,3363300.0
2017-03-30,2315,2775,2315,2522,1303489,63566.0,3363300.0
2017-03-31,2528,2588,2495,2569,206905,64744.0,3363300.0
2017-04-03,2575,2748,2522,2676,264840,67434.0,3363300.0
2017-04-04,2648,2682,2568,2609,137139,65753.0,3363300.0
2017-04-05,2648,2715,2588,2682,131979,67602.0,3363300.0
2017-04-06,2668,2675,2535,2602,123032,65584.0,3363300.0
2017-04-07,2615,2735,2575,2676,166220,67434.0,3363300.0
2017-04-10,2688,2762,2602,2696,144310,67939.0,3363300.0
2017-04-11,2695,2762,2582,2602,142121,65584.0,3363300.0
2017-04-12,2595,2682,2548,2676,71966,67434.0,3363300.0
2017-04-13,2708,2728,2648,2662,87066,67098.0,3363300.0
2017-04-14,2622,2702,2568,2582,100059,65080.0,3363300.0
2017-04-17,2615,2742,2575,2722,109415,68611.0,3363300.0
2017-04-18,2748,2875,2688,2809,242461,70797.0,3363300.0
2017-04-19,2782,2849,2755,2769,69875,69788.0,3363300.0
2017-04-20,2802,2802,2715,2729,48568,68779.0,3363300.0
2017-04-21,2748,2748,2648,2669,72363,67266.0,3363300.0
2017-04-24,2668,2708,2628,2669,41570,67266.0,3363300.0
2017-04-25,2668,2755,2642,2649,51376,66762.0,3363300.0
2017-04-26,2662,2682,2562,2562,85649,64575.0,3363300.0
2017-04-27,2562,2588,2434,2489,91598,62726.0,3363300.0
2017-04-28,2508,2528,2388,2442,59613,61548.0,3363300.0
2017-05-02,2442,2515,2408,2475,31866,62389.0,3363300.0
2017-05-04,2462,2548,2442,2522,48497,63566.0,3363300.0
2017-05-08,2528,2548,2475,2522,50703,63566.0,3363300.0
2017-05-10,2535,2622,2522,2589,65526,65248.0,3363300.0
2017-05-11,2622,2628,2535,2582,59240,65080.0,3363300.0
2017-05-12,2548,2568,2415,2462,51641,62053.0,3363300.0
2017-05-15,2702,2715,2462,2509,130368,63230.0,3363300.0
2017-05-16,2542,2542,2381,2422,75343,61044.0,3363300.0
2017-05-17,2415,2495,2415,2482,37614,62557.0,3363300.0
2017-05-18,2421,2488,2408,2475,15549,62389.0,3363300.0
2017-05-19,2502,2502,2442,2462,20284,62053.0,3363300.0
2017-05-22,2462,2482,2361,2369,52942,59699.0,3363300.0
2017-05-23,2388,2442,2281,2355,86912,59362.0,3363300.0
2017-05-24,2355,2375,2321,2375,36500,59867.0,3363300.0
2017-05-25,2401,2401,2341,2369,20442,59699.0,3363300.0
2017-05-26,2355,2375,2328,2335,30129,58858.0,3363300.0
2017-05-29,2308,2328,2161,2222,152826,55999.0,3363300.0
2017-05-30,2221,2288,2201,2275,41231,57344.0,3363300.0
2017-05-31,2301,2395,2241,2322,71818,58521.0,3363300.0
2017-06-01,2335,2335,2248,2289,36776,57681.0,3363300.0
2017-06-02,2281,2295,2248,2269,25843,57176.0,3363300.0
2017-06-05,2295,2341,2261,2335,36757,58858.0,3363300.0
2017-06-07,2348,2375,2315,2375,36685,59867.0,3363300.0
2017-06-08,2361,2368,2275,2289,31784,57681.0,3363300.0
2017-06-09,2275,2301,2241,2302,24655,58017.0,3363300.0
2017-06-12,2301,2301,2241,2282,22919,57512.0,3363300.0
2017-06-13,2281,2335,2235,2289,34601,57681.0,3363300.0
2017-06-14,2315,2315,2268,2282,15977,57512.0,3363300.0
2017-06-15,2281,2301,2235,2275,16600,57344.0,3363300.0
2017-06-16,2275,2275,2208,2215,30753,55831.0,3363300.0
2017-06-19,2208,2215,2148,2162,43605,54485.0,3363300.0
2017-06-20,2135,2268,2088,2262,68121,57008.0,3363300.0
2017-06-21,2268,2288,2195,2255,33619,56840.0,3363300.0
2017-06-22,2221,2281,2221,2269,29628,57176.0,3363300.0
2017-06-23,2268,2361,2261,2322,44111,58521.0,3363300.0
2017-06-26,2315,2361,2295,2322,35913,58521.0,3363300.0
2017-06-27,2335,2335,2261,2295,23872,57849.0,3363300.0
2017-06-28,2301,2301,2228,2282,22019,57512.0,3363300.0
2017-06-29,2281,2428,2268,2329,32205,58690.0,3363300.0
2017-06-30,2361,2361,2268,2282,28534,57512.0,3363300.0
2017-07-03,2315,2315,2215,2228,13755,56167.0,3363300.0
2017-07-04,2201,2261,2128,2175,20650,54822.0,3363300.0
2017-07-05,2148,2221,2148,2175,17325,54822.0,3363300.0
2017-07-06,2155,2221,2148,2188,18454,55158.0,3363300.0
2017-07-07,2221,2228,2188,2222,11063,55999.0,3363300.0
2017-07-10,2355,2395,2201,2228,63773,56167.0,3363300.0
2017-07-11,2261,2268,2168,2269,33064,57176.0,3363300.0
2017-07-12,2308,2361,2241,2269,48123,57176.0,3363300.0
2017-07-13,2328,2328,2215,2215,20721,55831.0,3363300.0
2017-07-14,2201,2281,2168,2202,32254,55494.0,3363300.0
2017-07-17,2175,2221,2128,2162,18431,54485.0,3363300.0
2017-07-18,2195,2195,2121,2135,20461,53813.0,3363300.0
2017-07-19,2135,2161,2121,2135,9104,53813.0,3363300.0
2017-07-20,2155,2168,2101,2128,22481,53645.0,3363300.0
2017-07-21,2121,2161,2121,2128,9282,53645.0,3363300.0
2017-07-24,2128,2515,2095,2182,347800,54990.0,3363300.0
2017-07-25,2181,2215,2115,2115,59148,53308.0,3363300.0
2017-07-26,2108,2148,2068,2068,36582,52131.0,3363300.0
2017-07-27,2095,2108,2041,2048,19778,51627.0,3363300.0
2017-07-28,2021,2041,1908,1942,48709,48936.0,3363300.0
2017-07-31,1941,2021,1914,1962,22656,49441.0,3363300.0
2017-08-01,1941,2021,1934,1975,11459,49777.0,3363300.0
2017-08-02,1974,2075,1954,2035,24399,51290.0,3363300.0
2017-08-03,2014,2055,1961,1968,13742,49609.0,3363300.0
2017-08-04,2001,2001,1914,1968,11010,49609.0,3363300.0
2017-08-07,1974,2068,1974,2042,15717,51458.0,3363300.0
2017-08-08,2061,2081,2014,2028,14966,51122.0,3363300.0
2017-08-09,2055,2055,1974,1982,11530,49945.0,3363300.0
2017-08-10,1981,2028,1948,1988,11607,50113.0,3363300.0
2017-08-11,1948,1981,1894,1928,32894,48600.0,3363300.0
2017-08-14,1928,1941,1868,1875,31044,47254.0,3363300.0
2017-08-16,1868,1994,1868,1928,26136,48600.0,3363300.0
2017-08-17,1934,1968,1894,1948,9262,49104.0,3363300.0
2017-08-18,1961,1961,1908,1922,11305,48432.0,3363300.0
2017-08-21,1901,1928,1894,1915,16062,48263.0,3363300.0
2017-08-22,1928,1934,1908,1908,6693,48095.0,3363300.0
2017-08-23,1934,2448,1934,2155,2047412,54317.0,3363300.0
2017-08-24,2128,2195,2075,2115,340795,53308.0,3363300.0
2017-08-25,2101,2128,2061,2088,136719,52636.0,3363300.0
2017-08-28,2108,2175,2088,2102,142619,52972.0,3363300.0
2017-08-29,2068,2128,2041,2068,90575,52131.0,3363300.0
2017-08-30,2068,2135,2055,2108,73712,53140.0,3363300.0
2017-08-31,2141,2141,2061,2062,45059,51963.0,3363300.0
2017-09-01,2081,2101,2055,2068,37954,52131.0,3363300.0
2017-09-04,2048,2175,2021,2108,152210,53140.0,3363300.0
2017-09-05,2128,2148,2041,2042,128956,51458.0,3363300.0
2017-09-06,2041,2081,1974,1982,85727,49945.0,3363300.0
2017-09-07,1974,2001,1948,1968,29666,49609.0,3363300.0
2017-09-08,1968,1981,1928,1935,44571,48768.0,3363300.0
2017-09-11,1921,1948,1888,1915,54796,48263.0,3363300.0
2017-09-12,1934,1948,1901,1942,25237,48936.0,3363300.0
2017-09-13,1941,1948,1841,1862,57093,46918.0,3363300.0
2017-09-14,1874,1888,1841,1868,27056,47086.0,3363300.0
2017-09-15,1861,1868,1841,1842,21139,46414.0,3363300.0
2017-09-18,1834,1881,1808,1862,60954,46918.0,3363300.0
2017-09-19,1868,1908,1861,1908,31941,48095.0,3363300.0
2017-09-20,1881,1941,1868,1908,31317,48095.0,3363300.0
2017-09-21,1908,1934,1841,1862,42115,46918.0,3363300.0
2017-09-22,1861,1921,1808,1915,48106,48263.0,3363300.0
2017-09-25,1914,2081,1914,2008,182261,50618.0,3363300.0
2017-09-26,1968,2161,1968,2155,127121,54317.0,3363300.0
2017-09-27,2181,2235,2148,2228,100549,56167.0,3363300.0
2017-09-28,2228,2281,2188,2188,51079,55158.0,3363300.0
2017-09-29,2175,2268,2175,2228,43745,56167.0,3363300.0
2017-10-10,2261,2315,2228,2309,79862,58185.0,3363300.0
2017-10-11,2341,2535,2095,2122,429781,53476.0,3363300.0
2017-10-12,2135,2161,2095,2142,64450,53981.0,3363300.0
2017-10-13,2141,2161,2108,2108,47804,53140.0,3363300.0
2017-10-16,2068,2148,2068,2128,34046,53645.0,3363300.0
2017-10-17,2141,2155,2121,2128,14380,53645.0,3363300.0
2017-10-18,2135,2148,2048,2075,32821,52299.0,3363300.0
2017-10-19,2075,2195,2048,2102,20233,52972.0,3363300.0
2017-10-20,2175,2201,2088,2142,21847,53981.0,3363300.0
2017-10-23,2175,2175,2128,2148,34664,54149.0,3363300.0
2017-10-24,2161,2188,2135,2155,20546,54317.0,3363300.0
2017-10-25,2195,2241,2155,2215,37465,55831.0,3363300.0
2017-10-26,2228,2288,2221,2255,43047,56840.0,3363300.0
2017-10-27,2321,2321,2248,2249,54659,56672.0,3363300.0
2017-10-30,2268,2295,2221,2242,89468,56503.0,3363300.0
2017-10-31,2435,2468,2175,2228,229903,22467.0,3363300.0
2017-11-01,2228,2228,2168,2178,47931,21962.0,3363300.0
2017-11-02,2181,2181,2141,2155,28241,21727.0,3363300.0
2017-11-03,2158,2158,2068,2075,66443,20920.0,3363300.0
2017-11-06,2075,2098,2055,2068,20146,20852.0,3363300.0
2017-11-07,2068,2078,2038,2038,18495,20550.0,3363300.0
2017-11-08,2075,2075,2001,2025,36576,20415.0,3363300.0
2017-11-09,2024,2078,2018,2035,14840,20516.0,3363300.0
2017-11-10,2038,2038,2001,2025,19777,20415.0,3363300.0
2017-11-13,2028,2045,2011,2022,25630,20382.0,3363300.0
2017-11-14,2028,2185,2011,2122,59982,21391.0,3363300.0
2017-11-15,2101,2121,2035,2035,33641,20516.0,3363300.0
2017-11-16,2028,2045,2028,2042,10854,20583.0,3363300.0
2017-11-17,2028,2061,2014,2045,14888,20617.0,3363300.0
2017-11-20,2021,2051,2011,2012,22852,20281.0,3363300.0
2017-11-21,1978,2018,1968,2012,54303,20281.0,3363300.0
2017-11-22,1974,2045,1974,2042,43845,20583.0,3363300.0
2017-11-23,1968,2001,1944,1972,143825,49693.0,8408250.0
2017-11-24,1948,2004,1948,2005,64293,50534.0,8408250.0
2017-11-27,1984,2148,1984,2125,123651,53561.0,8408250.0
2017-11-28,2151,2185,2085,2085,112497,52552.0,8408250.0
2017-11-29,2058,2105,2051,2075,81097,52299.0,8408250.0
2017-11-30,2085,2108,1991,1995,88627,50281.0,8408250.0
2017-12-01,2058,2058,1901,1932,62580,48684.0,8408250.0
2017-12-04,1918,1971,1898,1898,46345,47843.0,8408250.0
2017-12-05,1848,1958,1844,1948,58251,49104.0,8408250.0
2017-12-06,1961,2168,1921,2088,295140,52636.0,8408250.0
2017-12-07,2088,2091,2001,2005,70977,50534.0,8408250.0
2017-12-08,2014,2602,2014,2112,2428812,53224.0,8408250.0
2017-12-11,2085,2148,2035,2132,266520,53729.0,8408250.0
2017-12-12,2131,2158,2075,2075,206494,52299.0,8408250.0
2017-12-13,2068,2151,2065,2152,128733,54233.0,8408250.0
2017-12-14,2151,2218,2131,2135,210849,53813.0,8408250.0
2017-12-15,2135,2388,2131,2232,520039,56251.0,8408250.0
2017-12-18,2245,2648,2245,2512,2395064,63314.0,8408250.0
2017-12-19,2462,2462,2255,2385,691717,60119.0,8408250.0
2017-12-20,2418,2452,2185,2269,358402,57176.0,8408250.0
2017-12-21,2288,2515,2251,2405,868496,60623.0,8408250.0
2017-12-22,2405,2445,2268,2352,173299,59278.0,8408250.0
2017-12-26,2502,2688,2345,2345,965920,59110.0,8408250.0
2017-12-27,2391,2618,2378,2452,830330,61801.0,8408250.0
2017-12-28,2452,2452,2291,2342,395852,59026.0,8408250.0
2018-01-02,2341,2442,2308,2435,213617,61380.0,8408250.0
2018-01-03,2468,2562,2401,2552,451381,64323.0,8408250.0
2018-01-04,2622,2668,2478,2535,252507,63903.0,8408250.0
2018-01-05,2535,2642,2472,2592,230969,65332.0,8408250.0
2018-01-08,2705,3005,2682,2856,1421944,71975.0,8408250.0
2018-01-09,2892,3029,2859,2969,583381,74833.0,8408250.0
2018-01-10,2985,3853,2985,3853,2039666,97115.0,8408250.0
2018-01-11,3602,4270,2702,2809,3964434,70797.0,8408250.0
2018-01-12,3022,3022,2652,2716,1163570,68443.0,8408250.0
2018-01-15,2752,3079,2705,2952,860590,74413.0,8408250.0
2018-01-16,2845,2935,2752,2786,316012,70209.0,8408250.0
2018-01-17,2688,3069,2635,2866,458157,72227.0,8408250.0
2018-01-18,2909,3252,2842,3129,720073,78869.0,8408250.0
2018-01-19,3189,4053,3182,3603,3895131,90809.0,8408250.0
2018-01-22,3803,4170,3486,3553,3107021,89548.0,8408250.0
2018-01-23,3652,3703,3452,3553,823617,89548.0,8408250.0
2018-01-24,3519,3736,3419,3553,1029124,89548.0,8408250.0
2018-01-25,3552,3569,3319,3353,446521,84503.0,8408250.0
2018-01-26,3352,3502,3352,3453,389016,87025.0,8408250.0
2018-01-29,3736,3819,3502,3620,830550,91230.0,8408250.0
2018-01-30,3552,3602,3452,3520,316748,88707.0,8408250.0
2018-01-31,3486,3486,3336,3419,263876,86185.0,8408250.0
2018-02-01,3452,3452,3252,3386,198201,85344.0,8408250.0
2018-02-02,3419,3419,3235,3266,165764,82317.0,8408250.0
2018-02-05,3145,3222,3002,3016,255210,76011.0,8408250.0
2018-02-06,2835,2895,2718,2779,387203,70041.0,8408250.0
2018-02-07,2885,2985,2602,2639,560749,66509.0,8408250.0
2018-02-08,2685,2798,2648,2779,184085,70041.0,8408250.0
2018-02-09,2695,2735,2648,2709,73369,68275.0,8408250.0
2018-02-12,2999,3129,2738,2779,383540,70041.0,8408250.0
2018-02-13,2772,2808,2708,2716,150210,68443.0,8408250.0
2018-02-14,2785,2785,2705,2759,72898,69536.0,8408250.0
2018-02-19,2785,2865,2718,2809,120900,70797.0,8408250.0
2018-02-20,2815,2942,2778,2809,132449,70797.0,8408250.0
2018-02-21,2802,2952,2798,2926,225852,73740.0,8408250.0
2018-02-22,2882,2919,2768,2806,92766,70713.0,8408250.0
2018-02-23,2818,2818,2725,2736,86436,68948.0,8408250.0
2018-02-26,2755,2778,2692,2699,100191,68023.0,8408250.0
2018-02-27,2695,2715,2585,2585,133371,65164.0,8408250.0
2018-02-28,2618,2748,2588,2749,121784,69284.0,8408250.0
2018-03-02,2708,2765,2678,2752,46688,69368.0,8408250.0
2018-03-05,2705,2738,2652,2659,66200,67014.0,8408250.0
2018-03-06,2638,2702,2638,2699,26172,68023.0,8408250.0
2018-03-07,2658,2705,2622,2622,76614,66089.0,8408250.0
2018-03-08,2625,2752,2625,2692,34429,67855.0,8408250.0
2018-03-09,2735,2735,2658,2682,37246,67602.0,8408250.0
2018-03-12,2682,2708,2658,2689,27673,67770.0,8408250.0
2018-03-13,2685,2688,2632,2662,38397,67098.0,8408250.0
2018-03-14,2662,2662,2545,2619,57658,66005.0,8408250.0
2018-03-15,2615,2615,2465,2549,120895,64239.0,8408250.0
2018-03-16,2548,2668,2502,2605,48828,65668.0,8408250.0
2018-03-19,2615,2625,2492,2522,50637,63566.0,8408250.0
2018-03-20,2558,2595,2495,2502,43312,63062.0,8408250.0
2018-03-21,2502,2535,2465,2469,33214,62221.0,8408250.0
2018-03-22,2468,2495,2328,2399,64208,60455.0,8408250.0
2018-03-23,2335,2348,2235,2235,56116,56335.0,8408250.0
2018-03-26,2198,2335,2171,2289,45006,57681.0,8408250.0
2018-03-27,2288,2808,2288,2465,604710,62137.0,8408250.0
2018-03-28,2418,2435,2295,2302,97511,58017.0,8408250.0
2018-03-29,2305,2318,2235,2269,49409,57176.0,8408250.0
2018-03-30,2295,2401,2295,2355,82840,59362.0,8408250.0
2018-04-02,2338,2418,2338,2339,32720,58942.0,8408250.0
2018-04-03,2338,2338,2251,2302,35298,58017.0,8408250.0
2018-04-04,2321,2321,2185,2205,86351,55579.0,8408250.0
2018-04-05,2205,2231,2168,2168,42203,54654.0,8408250.0
2018-04-06,2151,2211,2095,2128,29780,53645.0,8408250.0
2018-04-09,2085,2215,2075,2162,36386,54485.0,8408250.0
2018-04-10,2148,2245,2048,2228,57092,56167.0,8408250.0
2018-04-11,2228,2245,2185,2239,27315,56419.0,8408250.0
2018-04-12,2241,2365,2205,2302,51039,58017.0,8408250.0
2018-04-13,2341,2401,2268,2302,34785,58017.0,8408250.0
2018-04-16,2301,2338,2235,2339,30393,58942.0,8408250.0
2018-04-17,2361,2391,2341,2392,28971,60287.0,8408250.0
2018-04-18,2391,2398,2301,2392,21418,60287.0,8408250.0
2018-04-19,2405,2498,2358,2492,70536,62810.0,8408250.0
2018-04-20,2485,2502,2438,2502,46242,63062.0,8408250.0
2018-04-23,2502,2505,2431,2449,31835,61717.0,8408250.0
2018-04-24,2431,2662,2405,2569,66594,64744.0,8408250.0
2018-04-25,2575,2638,2368,2465,110109,62137.0,8408250.0
2018-04-26,2482,2598,2452,2475,25643,62389.0,8408250.0
2018-04-27,2468,2555,2405,2405,19309,60623.0,8408250.0
2018-04-30,2368,2468,2348,2395,16374,60371.0,8408250.0
2018-05-02,2431,2431,2318,2322,30456,58521.0,8408250.0
2018-05-03,2348,2378,2315,2335,23444,58858.0,8408250.0
2018-05-04,2351,2351,2271,2272,20778,57260.0,8408250.0
2018-05-08,2265,2368,2245,2285,39663,57597.0,8408250.0
2018-05-09,2318,2361,2278,2345,35971,59110.0,8408250.0
2018-05-10,2345,2398,2285,2345,15102,59110.0,8408250.0
2018-05-11,2398,2488,2325,2432,30943,61296.0,8408250.0
2018-05-14,2431,2502,2385,2469,60869,62221.0,8408250.0
2018-05-15,2468,2505,2421,2445,37877,61632.0,8408250.0
2018-05-16,2448,2485,2328,2389,26718,60203.0,8408250.0
2018-05-17,2435,2438,2361,2362,18338,59530.0,8408250.0
2018-05-18,2435,2435,2335,2352,15873,59278.0,8408250.0
2018-05-21,2375,2391,2345,2345,18729,59110.0,8408250.0
2018-05-23,2401,2401,2288,2309,22838,58185.0,8408250.0
2018-05-24,2385,2385,2265,2302,24854,58017.0,8408250.0
2018-05-25,2268,2348,2245,2319,23182,58437.0,8408250.0
2018-05-28,2341,2341,2201,2275,16018,57344.0,8408250.0
2018-05-29,2268,2268,2168,2205,44781,55579.0,8408250.0
2018-05-30,2205,2238,2125,2195,22981,55326.0,8408250.0
2018-05-31,2181,2238,2181,2235,18587,56335.0,8408250.0
2018-06-01,2245,2245,2185,2239,8459,56419.0,8408250.0
2018-06-04,2258,2258,2201,2228,7985,56167.0,8408250.0
2018-06-05,2228,2228,2175,2215,9199,55831.0,8408250.0
2018-06-07,2235,2255,2201,2249,9129,56672.0,8408250.0
2018-06-08,2248,2268,2225,2245,10764,56588.0,8408250.0
2018-06-11,2278,2285,2201,2232,14879,56251.0,8408250.0
2018-06-12,2231,2231,2058,2162,38114,54485.0,8408250.0
2018-06-14,2161,2165,2091,2162,15026,54485.0,8408250.0
2018-06-15,2161,2195,2085,2128,12909,53645.0,8408250.0
2018-06-18,2128,2128,2004,2042,22887,51458.0,8408250.0
2018-06-19,2041,2041,1868,1898,50473,47843.0,8408250.0
2018-06-20,1934,2001,1901,2002,9574,50450.0,8408250.0
2018-06-21,2004,2024,1964,1985,5472,50029.0,8408250.0
2018-06-22,2001,2011,1941,1992,6829,50197.0,8408250.0
2018-06-25,1951,1988,1934,1982,2980,49945.0,8408250.0
2018-06-26,1981,1981,1884,1898,22404,47843.0,8408250.0
2018-06-27,1898,1908,1834,1908,20625,48095.0,8408250.0
2018-06-28,1908,1908,1851,1868,9515,47086.0,8408250.0
2018-06-29,1871,1911,1794,1852,14206,46666.0,8408250.0
2018-07-02,1904,1911,1761,1888,17911,47591.0,8408250.0
2018-07-03,1894,1924,1771,1902,26369,47927.0,8408250.0
2018-07-04,1901,1948,1888,1935,18083,48768.0,8408250.0
2018-07-05,1981,1981,1858,1932,10559,48684.0,8408250.0
2018-07-06,1931,1934,1874,1925,9623,48516.0,8408250.0
2018-07-09,1951,1951,1841,1885,8755,47507.0,8408250.0
2018-07-10,1871,1941,1861,1935,7172,48768.0,8408250.0
2018-07-11,2021,2021,1901,2005,16071,50534.0,8408250.0
2018-07-12,2031,2165,1968,2045,30531,51543.0,8408250.0
2018-07-13,2051,2248,2008,2035,68598,51290.0,8408250.0
2018-07-16,2035,2075,1974,1975,23310,49777.0,8408250.0
2018-07-17,1974,2021,1948,2018,8309,50870.0,8408250.0
2018-07-18,2018,2041,1928,2018,12874,50870.0,8408250.0
2018-07-19,2018,2018,1948,1965,14773,49525.0,8408250.0
2018-07-20,2001,2001,1928,1948,18416,49104.0,8408250.0
2018-07-23,2001,2001,1801,1862,23422,46918.0,8408250.0
2018-07-24,1828,1934,1814,1872,15961,47170.0,8408250.0
2018-07-25,1848,2038,1848,1902,19274,47927.0,8408250.0
2018-07-26,1871,1951,1871,1935,2110,48768.0,8408250.0
2018-07-27,1918,1974,1918,1952,2703,49188.0,8408250.0
2018-07-30,2031,2031,1931,1938,17616,48852.0,8408250.0
2018-07-31,1998,2041,1934,1992,11512,50197.0,8408250.0
2018-08-01,2024,2048,1938,1998,13166,50365.0,8408250.0
2018-08-02,2028,2028,1931,1965,7692,49525.0,8408250.0
2018-08-03,2051,2051,1921,1982,5395,49945.0,8408250.0
2018-08-06,2001,2018,1968,1998,2922,50365.0,8408250.0
2018-08-07,2045,2045,1954,1988,10022,50113.0,8408250.0
2018-08-08,1988,2018,1961,2008,13061,50618.0,8408250.0
2018-08-09,2008,2048,1988,2045,18576,51543.0,8408250.0
2018-08-10,2051,2221,2038,2168,95158,54654.0,8408250.0
2018-08-13,2218,2305,2175,2275,145846,57344.0,8408250.0
2018-08-14,2201,2642,2115,2162,394357,54485.0,8408250.0
2018-08-16,2141,2168,2088,2165,68436,54570.0,8408250.0
2018-08-17,2185,2218,2088,2108,80764,53140.0,8408250.0
2018-08-20,2091,2111,2021,2068,37759,52131.0,8408250.0
2018-08-21,2045,2071,2035,2058,22855,51879.0,8408250.0
2018-08-22,2068,2125,2034,2088,28981,52636.0,8408250.0
2018-08-23,2068,2111,2038,2058,23608,51879.0,8408250.0
2018-08-24,2068,2165,2018,2125,55644,53561.0,8408250.0
2018-08-27,2121,2235,2071,2195,76648,55326.0,8408250.0
2018-08-28,2175,2298,2165,2282,107634,57512.0,8408250.0
2018-08-29,2301,2355,2161,2212,71117,55747.0,8408250.0
2018-08-30,2251,2251,2095,2115,82966,53308.0,8408250.0
2018-08-31,2115,2175,2111,2162,26841,54485.0,8408250.0
2018-09-03,2151,2168,2101,2128,21341,53645.0,8408250.0
2018-09-04,2145,2158,2098,2125,21902,53561.0,8408250.0
2018-09-05,2121,2158,2101,2128,16846,53645.0,8408250.0
2018-09-06,2128,2168,2078,2112,17022,53224.0,8408250.0
2018-09-07,2111,2118,2011,2055,39040,51795.0,8408250.0
2018-09-10,2048,2108,2028,2048,31031,51627.0,8408250.0
