DB금융스팩6호(306620),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-24,2005,2025,2005,2025,2114,9801.0,4840000.0
2018-12-26,2005,2025,2005,2025,1380,9801.0,4840000.0
2018-12-27,2010,2025,2010,2010,11051,9728.0,4840000.0
2018-12-28,2000,2025,2000,2025,24934,9801.0,4840000.0
2019-01-02,2005,2005,2000,2005,126387,9704.0,4840000.0
2019-01-03,2015,2020,2015,2020,400,9777.0,4840000.0
2019-01-04,2015,2015,2010,2010,1013,9728.0,4840000.0
2019-01-07,2005,2010,2005,2010,24001,9728.0,4840000.0
2019-01-08,2010,2015,2010,2010,4336,9728.0,4840000.0
2019-01-09,2020,2020,2015,2015,2001,9753.0,4840000.0
2019-01-10,2020,2020,2015,2020,15688,9777.0,4840000.0
2019-01-11,2010,2020,2010,2010,1911,9728.0,4840000.0
2019-01-14,2020,2020,2015,2015,2269,9753.0,4840000.0
2019-01-15,2025,2025,2025,2025,2,9801.0,4840000.0
2019-01-16,2025,2025,2025,2025,2000,9801.0,4840000.0
2019-01-17,2020,2020,2010,2020,455,9777.0,4840000.0
2019-01-18,2020,2025,2015,2020,40353,9777.0,4840000.0
2019-01-21,2020,2020,2020,2020,0,,
2019-01-22,2020,2020,2020,2020,0,,
2019-01-23,2020,2020,2010,2020,2503,9777.0,4840000.0
2019-01-24,2025,2025,2020,2020,2,9777.0,4840000.0
2019-01-25,2005,2020,2005,2020,28830,9777.0,4840000.0
2019-01-28,2020,2020,2020,2020,4,9777.0,4840000.0
2019-01-29,2020,2020,2020,2020,5206,9777.0,4840000.0
2019-01-30,2020,2020,2020,2020,5,9777.0,4840000.0
2019-01-31,2020,2020,2020,2020,2,9777.0,4840000.0
2019-02-01,2015,2020,2015,2020,5113,9777.0,4840000.0
2019-02-07,2020,2020,2015,2020,2902,9777.0,4840000.0
2019-02-08,2020,2020,2020,2020,5,,
2019-02-11,2020,2020,2020,2020,1,9777.0,4840000.0
2019-02-12,2020,2025,2015,2025,2159,9801.0,4840000.0
2019-02-13,2025,2025,2020,2020,365,9777.0,4840000.0
2019-02-14,2020,2020,2020,2020,2001,9777.0,4840000.0
2019-02-15,2025,2025,2020,2020,2537,9777.0,4840000.0
2019-02-18,2025,2025,2015,2020,503,9777.0,4840000.0
2019-02-19,2025,2025,2025,2025,1,9801.0,4840000.0
2019-02-20,2025,2025,2015,2020,9,9777.0,4840000.0
2019-02-21,2020,2025,2015,2015,442,9753.0,4840000.0
2019-02-22,2025,2025,2020,2020,1004,9777.0,4840000.0
2019-02-25,2025,2025,2025,2025,1,,
2019-02-26,2020,2020,2015,2020,1017,9777.0,4840000.0
2019-02-27,2025,2025,2015,2020,1413,9777.0,4840000.0
2019-02-28,2025,2025,2015,2025,214,9801.0,4840000.0
2019-03-04,2025,2025,2010,2010,411,9728.0,4840000.0
2019-03-05,2025,2025,2010,2015,646,9753.0,4840000.0
2019-03-06,2025,2025,2010,2020,204,9777.0,4840000.0
2019-03-07,2025,2025,2010,2020,2228,9777.0,4840000.0
2019-03-08,2025,2025,2025,2025,1,,
2019-03-11,2025,2025,2020,2025,2108,9801.0,4840000.0
2019-03-12,2025,2025,2020,2020,4288,9777.0,4840000.0
2019-03-13,2025,2025,2010,2020,16651,9777.0,4840000.0
2019-03-14,2025,2025,2025,2025,2,9801.0,4840000.0
2019-03-15,2025,2025,2020,2020,5929,9777.0,4840000.0
2019-03-18,2025,2025,2020,2025,404,9801.0,4840000.0
2019-03-19,2025,2025,2020,2020,9,9777.0,4840000.0
2019-03-20,2025,2025,2020,2025,2108,9801.0,4840000.0
2019-03-21,2025,2025,2025,2025,52,9801.0,4840000.0
2019-03-22,2025,2025,2015,2025,416,9801.0,4840000.0
2019-03-25,2025,2025,2020,2025,2004,9801.0,4840000.0
2019-03-26,2025,2025,2020,2025,5569,9801.0,4840000.0
2019-03-27,2025,2025,2015,2020,613,9777.0,4840000.0
2019-03-28,2025,2025,2015,2025,4,9801.0,4840000.0
2019-03-29,2025,2025,2020,2025,2824,9801.0,4840000.0
2019-04-01,2025,2025,2020,2025,12654,9801.0,4840000.0
2019-04-02,2025,2025,2020,2025,1959,9801.0,4840000.0
2019-04-03,2025,2025,2020,2025,11921,9801.0,4840000.0
2019-04-04,2030,2030,2020,2020,9276,9777.0,4840000.0
2019-04-05,2030,2070,2025,2070,17108,10019.0,4840000.0
2019-04-08,2055,2055,2035,2040,104,9874.0,4840000.0
2019-04-09,2060,2060,2020,2040,3390,9874.0,4840000.0
2019-04-10,2035,2035,2025,2035,19305,9849.0,4840000.0
2019-04-11,2035,2035,2025,2030,3760,9825.0,4840000.0
2019-04-12,2035,2040,2025,2040,107906,9874.0,4840000.0
2019-04-15,2040,2040,2020,2040,40627,9874.0,4840000.0
2019-04-16,2040,2040,2020,2040,26581,9874.0,4840000.0
2019-04-17,2040,2040,2020,2035,42539,9849.0,4840000.0
2019-04-18,2035,2040,2020,2035,8539,9849.0,4840000.0
2019-04-19,2040,2045,2025,2045,8731,9898.0,4840000.0
2019-04-22,2050,2050,2030,2040,8248,9874.0,4840000.0
2019-04-23,2050,2050,2030,2045,16015,9898.0,4840000.0
2019-04-24,2050,2050,2040,2045,9275,9898.0,4840000.0
2019-04-25,2035,2050,2035,2050,5392,9922.0,4840000.0
2019-04-26,2050,2060,2040,2045,11691,9898.0,4840000.0
2019-04-29,2060,2060,2045,2050,9393,9922.0,4840000.0
2019-04-30,2060,2060,2050,2050,4611,9922.0,4840000.0
2019-05-02,2065,2065,2040,2050,5528,9922.0,4840000.0
2019-05-03,2085,2085,2045,2055,31103,9946.0,4840000.0
2019-05-07,2090,2090,2045,2065,4406,9995.0,4840000.0
2019-05-08,2080,2080,2040,2075,205,10043.0,4840000.0
2019-05-09,2090,2090,2075,2085,19078,10091.0,4840000.0
2019-05-10,2110,2110,2085,2100,18158,10164.0,4840000.0
2019-05-13,2115,2120,2100,2115,16059,10237.0,4840000.0
2019-05-14,2130,2130,2090,2095,52985,10140.0,4840000.0
2019-05-15,2115,2115,2045,2080,12256,10067.0,4840000.0
2019-05-16,2120,2120,2095,2095,6,10140.0,4840000.0
2019-05-17,2115,2115,2095,2095,7880,10140.0,4840000.0
2019-05-20,2115,2115,2100,2100,1379,10164.0,4840000.0
2019-05-21,2115,2115,2100,2115,4181,10237.0,4840000.0
2019-05-22,2125,2125,2110,2120,1071,10261.0,4840000.0
2019-05-23,2110,2110,2080,2105,7214,10188.0,4840000.0
2019-05-24,2110,2110,2080,2110,12625,10212.0,4840000.0
2019-05-27,2110,2110,2080,2110,10005,10212.0,4840000.0
2019-05-28,2110,2130,2090,2115,10921,10237.0,4840000.0
2019-05-29,2130,2130,2110,2120,215122,10261.0,4840000.0
2019-05-30,2120,2120,2080,2115,5436,10237.0,4840000.0
2019-05-31,2110,2320,2090,2100,1763615,10164.0,4840000.0
2019-06-03,2130,2320,2090,2105,1410465,10188.0,4840000.0
2019-06-04,2125,2130,2075,2085,205630,10091.0,4840000.0
2019-06-05,2080,2090,2075,2080,61649,10067.0,4840000.0
2019-06-07,2100,2100,2080,2080,18599,10067.0,4840000.0
2019-06-10,2095,2095,2075,2085,69273,10091.0,4840000.0
2019-06-11,2090,2090,2085,2090,16412,10116.0,4840000.0
2019-06-12,2095,2095,2080,2085,7575,10091.0,4840000.0
2019-06-13,2090,2100,2080,2085,19455,10091.0,4840000.0
2019-06-14,2100,2100,2080,2100,51720,10164.0,4840000.0
2019-06-17,2095,2100,2090,2095,13686,10140.0,4840000.0
2019-06-18,2105,2105,2085,2100,4259,10164.0,4840000.0
2019-06-19,2105,2110,2095,2100,20294,10164.0,4840000.0
2019-06-20,2110,2120,2110,2120,21449,10261.0,4840000.0
2019-06-21,2125,2125,2095,2125,12379,10285.0,4840000.0
2019-06-24,2125,2130,2105,2125,10227,10285.0,4840000.0
2019-06-25,2130,2130,2120,2130,13829,10309.0,4840000.0
2019-06-26,2130,2220,2110,2115,60371,10237.0,4840000.0
2019-06-27,2130,2130,2110,2120,14871,10261.0,4840000.0
2019-06-28,2120,2120,2105,2120,10643,10261.0,4840000.0
2019-07-01,2095,2125,2095,2125,5255,10285.0,4840000.0
2019-07-02,2125,2125,2105,2125,1542,10285.0,4840000.0
2019-07-03,2125,2125,2100,2125,1880,10285.0,4840000.0
2019-07-04,2125,2125,2090,2120,33358,10261.0,4840000.0
2019-07-05,2120,2125,2100,2125,7033,10285.0,4840000.0
2019-07-08,2125,2125,2100,2100,12784,10164.0,4840000.0
2019-07-09,2125,2130,2115,2125,5158,10285.0,4840000.0
2019-07-10,2135,2140,2120,2140,16650,10358.0,4840000.0
2019-07-11,2140,2140,2115,2135,583,10333.0,4840000.0
2019-07-12,2135,2135,2115,2120,4251,10261.0,4840000.0
2019-07-15,2135,2140,2120,2140,9016,10358.0,4840000.0
2019-07-16,2135,2135,2115,2125,7516,10285.0,4840000.0
2019-07-17,2135,2135,2095,2100,12090,10164.0,4840000.0
2019-07-18,2125,2125,2095,2100,837,10164.0,4840000.0
2019-07-19,2135,2135,2110,2135,15042,10333.0,4840000.0
2019-07-22,2135,2135,2095,2110,17352,10212.0,4840000.0
2019-07-23,2110,2110,2110,2110,3,10212.0,4840000.0
2019-07-24,2130,2130,2130,2130,2,10309.0,4840000.0
2019-07-25,2140,2140,2115,2135,1018,10333.0,4840000.0
2019-07-26,2105,2125,2105,2110,2892,10212.0,4840000.0
2019-07-29,2135,2135,2100,2130,1206,10309.0,4840000.0
2019-07-30,2130,2130,2090,2125,2116,10285.0,4840000.0
2019-07-31,2140,2140,2100,2130,866,10309.0,4840000.0
2019-08-01,2130,2130,2115,2115,162,10237.0,4840000.0
2019-08-02,2100,2120,2095,2095,2016,10140.0,4840000.0
2019-08-05,2130,2130,2085,2085,13678,10091.0,4840000.0
2019-08-06,2085,2085,2080,2085,1163,10091.0,4840000.0
2019-08-07,2075,2110,2075,2095,3371,10140.0,4840000.0
2019-08-08,2080,2105,2080,2105,452,10188.0,4840000.0
2019-08-09,2085,2110,2080,2110,1001,10212.0,4840000.0
2019-08-12,2110,2110,2110,2110,89,10212.0,4840000.0
2019-08-13,2110,2110,2100,2110,786,10212.0,4840000.0
2019-08-14,2110,2110,2110,2110,1646,10212.0,4840000.0
2019-08-16,2105,2110,2105,2110,1040,10212.0,4840000.0
2019-08-19,2100,2100,2085,2085,5600,10091.0,4840000.0
2019-08-20,2090,2090,2070,2070,2091,10019.0,4840000.0
2019-08-21,2110,2110,2080,2080,1442,10067.0,4840000.0
2019-08-22,2105,2105,2105,2105,1028,10188.0,4840000.0
2019-08-23,2110,2110,2100,2105,2153,10188.0,4840000.0
2019-08-26,2100,2100,2090,2100,2543,10164.0,4840000.0
2019-08-27,2110,2110,2100,2100,391,10164.0,4840000.0
2019-08-28,2090,2100,2090,2100,4509,10164.0,4840000.0
2019-08-29,2110,2110,2100,2100,4833,10164.0,4840000.0
2019-08-30,2090,2095,2085,2095,2943,10140.0,4840000.0
2019-09-02,2090,2100,2090,2100,1570,10164.0,4840000.0
2019-09-03,2050,2100,2050,2100,11611,10164.0,4840000.0
2019-09-04,2090,2095,2090,2090,1704,10116.0,4840000.0
2019-09-05,2060,2265,2060,2150,174069,10406.0,4840000.0
2019-09-06,0,0,0,2150,0,10406.0,4840000.0
2019-09-09,0,0,0,2150,0,,
2019-09-10,0,0,0,2150,0,,
2019-09-11,0,0,0,2150,0,,
2019-09-16,0,0,0,2150,0,,
2019-09-17,0,0,0,2150,0,,
2019-09-18,0,0,0,2150,0,,
2019-09-19,0,0,0,2150,0,,
2019-09-20,0,0,0,2150,0,,
2019-09-23,0,0,0,2150,0,,
2019-09-24,0,0,0,2150,0,,
2019-09-25,0,0,0,2150,0,,
2019-09-26,0,0,0,2150,0,,
2019-09-27,0,0,0,2150,0,,
2019-09-30,0,0,0,2150,0,,
2019-10-01,0,0,0,2150,0,,
2019-10-02,0,0,0,2150,0,,
2019-10-04,0,0,0,2150,0,,
2019-10-07,0,0,0,2150,0,,
