컴퍼니케이(307930),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-08-13,12250,12450,11300,11400,1135383,177954.0,15610000.0
2019-08-14,11550,11700,11050,11250,649362,175612.0,15610000.0
2019-08-16,11050,11250,10250,10350,934082,161564.0,15610000.0
2019-08-19,10450,10550,9900,9900,663858,154539.0,15610000.0
2019-08-20,9850,10650,9850,10250,1104578,160002.0,15610000.0
2019-08-21,10350,10350,10000,10250,343007,160002.0,15610000.0
2019-08-22,10250,10700,10200,10250,475693,160002.0,15610000.0
2019-08-23,10000,10050,9020,9210,1327293,143768.0,15610000.0
2019-08-26,8800,8980,8400,8440,637350,131748.0,15610000.0
2019-08-27,8600,8960,8410,8480,478137,132373.0,15610000.0
2019-08-28,8480,8820,8480,8730,356712,136275.0,15610000.0
2019-08-29,8710,8730,8360,8370,236936,130656.0,15610000.0
2019-08-30,8440,8730,8440,8500,207823,132685.0,15610000.0
2019-09-02,8540,9100,8450,8800,458108,137368.0,15610000.0
2019-09-03,8840,9190,8690,8810,367716,137524.0,15610000.0
2019-09-04,8810,9060,8780,9030,264846,140958.0,15610000.0
2019-09-05,9120,9120,8850,8880,211530,138617.0,15610000.0
2019-09-06,8890,9280,8860,8910,413841,139085.0,15610000.0
2019-09-09,8840,8960,8420,8460,254885,132061.0,15610000.0
2019-09-10,8470,8620,8080,8080,302355,126129.0,15610000.0
2019-09-11,8100,8400,8040,8400,218441,131124.0,15610000.0
2019-09-16,8750,9210,8710,8850,982121,138148.0,15610000.0
2019-09-17,8720,8780,8480,8660,211784,135183.0,15610000.0
2019-09-18,8600,8780,8540,8700,168088,135807.0,15610000.0
2019-09-19,8720,8830,8600,8600,192912,134246.0,15610000.0
2019-09-20,8550,8710,8540,8580,119830,133934.0,15610000.0
2019-09-23,8510,9000,8500,8690,308985,135651.0,15610000.0
2019-09-24,8660,8960,8600,8880,233559,138617.0,15610000.0
2019-09-25,8860,9050,8520,8520,300992,132997.0,15610000.0
2019-09-26,8550,8790,8510,8590,102879,134090.0,15610000.0
2019-09-27,8540,8690,8480,8490,79935,132529.0,15610000.0
2019-09-30,8410,8530,8080,8140,167862,127065.0,15610000.0
2019-10-01,8140,8300,8070,8180,90973,127690.0,15610000.0
2019-10-02,8120,8250,8080,8080,112794,126129.0,15610000.0
2019-10-04,8080,8210,7900,7940,139337,123943.0,15610000.0
2019-10-07,7920,8180,7830,7910,131902,123475.0,15610000.0
