유앤아이(056090),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-05-11,22200,22750,21950,22200,30097,170444.0,7677642.0
2016-05-12,22450,22450,22050,22300,14248,171211.0,7677642.0
2016-05-13,22400,23200,22200,22800,41821,175050.0,7677642.0
2016-05-16,22800,23200,22300,22750,35554,174666.0,7677642.0
2016-05-17,22550,22850,22100,22200,32024,170444.0,7677642.0
2016-05-18,22350,22350,20900,21200,86578,162766.0,7677642.0
2016-05-19,21200,21400,20350,20600,49303,158159.0,7677642.0
2016-05-20,20550,21450,20450,21050,35718,161614.0,7677642.0
2016-05-23,21350,21700,21050,21550,24279,165453.0,7677642.0
2016-05-24,21700,21700,20800,21000,24177,161230.0,7677642.0
2016-05-25,21350,21350,20550,20700,39905,158927.0,7677642.0
2016-05-26,20600,20900,20550,20700,20460,158927.0,7677642.0
2016-05-27,20700,21600,20700,21600,42801,165837.0,7677642.0
2016-05-30,21600,21600,20900,21350,23500,163918.0,7677642.0
2016-05-31,21350,21550,21000,21500,17612,165069.0,7677642.0
2016-06-01,21300,21900,21200,21750,21139,166989.0,7677642.0
2016-06-02,21650,22300,21650,22100,38412,169676.0,7677642.0
2016-06-03,22100,22250,21850,22150,15122,170060.0,7677642.0
2016-06-07,22200,22900,21900,22850,41589,175434.0,7677642.0
2016-06-08,22850,23300,22400,23000,45069,176586.0,7677642.0
2016-06-09,22750,23650,22650,22750,42817,174666.0,7677642.0
2016-06-10,22750,22750,22200,22400,31902,171979.0,7677642.0
2016-06-13,22100,22850,22000,22250,33091,170828.0,7677642.0
2016-06-14,22450,22600,22200,22400,19289,171979.0,7677642.0
2016-06-15,22150,22500,22150,22200,11124,170444.0,7677642.0
2016-06-16,22200,22250,21100,21500,29837,165069.0,7677642.0
2016-06-17,21650,21700,20700,21000,32762,161230.0,7677642.0
2016-06-20,21000,21300,20900,21100,27198,161998.0,7677642.0
2016-06-21,21000,21800,21000,21600,19771,165837.0,7677642.0
2016-06-22,21350,21900,21350,21750,13900,166989.0,7677642.0
2016-06-23,21400,21700,21000,21400,27808,164302.0,7677642.0
2016-06-24,21500,21800,19450,20150,87575,154704.0,7677642.0
2016-06-27,18800,20100,18750,20000,58361,153553.0,7677642.0
2016-06-28,19650,21550,19650,21400,47063,164302.0,7677642.0
2016-06-29,21650,22400,21650,22000,45752,168908.0,7677642.0
2016-06-30,22300,22300,21600,22300,37868,171211.0,7677642.0
2016-07-01,22100,22300,22100,22100,24367,169676.0,7677642.0
2016-07-04,21950,22600,21850,22450,29710,172363.0,7677642.0
2016-07-05,22450,22550,21950,22150,19747,170060.0,7677642.0
2016-07-06,22150,23650,22150,22700,103539,174282.0,7677642.0
2016-07-07,23250,24000,22750,23700,88854,181960.0,7677642.0
2016-07-08,23950,24900,23500,23950,108362,183880.0,7677642.0
2016-07-11,24000,24700,23950,24450,69599,187718.0,7677642.0
2016-07-12,24450,24600,24000,24100,35132,185031.0,7677642.0
2016-07-13,24300,24350,23150,23500,57520,180425.0,7677642.0
2016-07-14,23800,24000,23500,23900,31739,183496.0,7677642.0
2016-07-15,24000,24500,23700,24150,64615,185415.0,7677642.0
2016-07-18,24150,24150,23000,24100,20900,185031.0,7677642.0
2016-07-19,24200,24500,23550,23950,38379,183880.0,7677642.0
2016-07-20,24850,25700,24150,25450,207286,195396.0,7677642.0
2016-07-21,25400,26450,25400,25800,143245,198083.0,7677642.0
2016-07-22,25850,26800,25850,26800,190805,205761.0,7677642.0
2016-07-25,27100,27850,26300,26900,164869,206529.0,7677642.0
2016-07-26,27550,27550,26000,26200,94424,201154.0,7677642.0
2016-07-27,26200,26850,25950,26500,58249,203458.0,7677642.0
2016-07-28,26600,26600,25700,26250,61150,201538.0,7677642.0
2016-07-29,26000,27200,25950,26900,117878,206529.0,7677642.0
2016-08-01,26850,27900,26750,26900,86025,206529.0,7677642.0
2016-08-02,26900,27500,26550,26950,51153,206912.0,7677642.0
2016-08-03,26700,28000,26150,27150,136791,208448.0,7677642.0
2016-08-04,27000,27350,26550,26800,32965,205761.0,7677642.0
2016-08-05,26700,27200,26000,26500,57526,203458.0,7677642.0
2016-08-08,26950,27200,24700,24850,261451,190789.0,7677642.0
2016-08-09,24500,24900,23800,24450,163503,187718.0,7677642.0
2016-08-10,24500,25200,23800,25200,134156,193477.0,7677642.0
2016-08-11,25150,25150,24000,24350,87647,186951.0,7677642.0
2016-08-12,24250,24550,23950,24000,42979,184263.0,7677642.0
2016-08-16,24200,24200,23700,24050,33980,184647.0,7677642.0
2016-08-17,23550,24000,22600,23050,89957,176970.0,7677642.0
2016-08-18,23050,23650,22600,23650,25627,181576.0,7677642.0
2016-08-19,23750,23800,22950,23100,26511,177354.0,7677642.0
2016-08-22,23300,23300,22100,22700,28756,174282.0,7677642.0
2016-08-23,22300,22700,22150,22400,22511,171979.0,7677642.0
2016-08-24,22150,22350,21750,22050,30921,169292.0,7677642.0
2016-08-25,21900,22900,21900,22900,45267,175818.0,7677642.0
2016-08-26,22700,22900,22200,22400,27779,171979.0,7677642.0
2016-08-29,22500,22500,21500,21600,38569,165837.0,7677642.0
2016-08-30,21800,22000,21500,21600,22165,165837.0,7677642.0
2016-08-31,22000,22000,21050,21800,41585,167373.0,7677642.0
2016-09-01,21550,22700,21300,22300,86369,171211.0,7677642.0
2016-09-02,22550,25900,22400,24250,202169,186183.0,7677642.0
2016-09-05,24150,24750,23800,24150,43908,185415.0,7677642.0
2016-09-06,23950,24150,22900,23350,62666,179273.0,7677642.0
2016-09-07,23500,23500,22500,22600,37169,173515.0,7677642.0
2016-09-08,22600,22600,21750,22150,46410,170060.0,7677642.0
2016-09-09,22150,22600,21850,22450,20947,172363.0,7677642.0
2016-09-12,21950,22350,21700,21800,24194,167373.0,7677642.0
2016-09-13,21900,22300,21700,22200,24317,170444.0,7677642.0
2016-09-19,22400,22800,22000,22500,13398,172747.0,7677642.0
2016-09-20,22600,22600,22000,22000,13148,168908.0,7677642.0
2016-09-21,22450,22450,21750,22050,24803,169292.0,7677642.0
2016-09-22,22000,22350,22000,22300,17195,171211.0,7677642.0
2016-09-23,22400,22850,22300,22700,18979,174282.0,7677642.0
2016-09-26,22700,23700,22450,23200,55601,178121.0,7677642.0
2016-09-27,22800,23400,22700,23050,27087,176970.0,7677642.0
2016-09-28,23250,23400,22700,22950,22769,176202.0,7677642.0
2016-09-29,22950,23150,22550,23100,32894,177354.0,7677642.0
2016-09-30,23100,23100,22400,22850,23617,175434.0,7677642.0
2016-10-04,22500,22600,22200,22250,28770,170828.0,7677642.0
2016-10-05,22400,22400,21800,21800,25275,167373.0,7677642.0
2016-10-06,21400,21800,21250,21400,40390,164302.0,7677642.0
2016-10-07,21300,21700,21000,21400,21784,164302.0,7677642.0
2016-10-10,21600,22150,21100,21400,15863,164302.0,7677642.0
2016-10-11,21600,21600,21100,21450,20251,164685.0,7677642.0
2016-10-12,21200,21550,21000,21400,13452,164302.0,7677642.0
2016-10-13,21450,21450,21050,21100,8618,161998.0,7677642.0
2016-10-14,21100,21350,21000,21100,8175,161998.0,7677642.0
2016-10-17,21350,21350,20500,20650,15128,158543.0,7677642.0
2016-10-18,20450,20600,19800,20100,50713,154321.0,7677642.0
2016-10-19,20000,20100,19750,20000,33754,153553.0,7677642.0
2016-10-20,20150,20200,19500,19650,41427,150866.0,7677642.0
2016-10-21,19750,20050,19250,20000,21409,153553.0,7677642.0
2016-10-24,19800,20200,19750,20100,12848,154321.0,7677642.0
2016-10-25,19950,20150,19650,19900,18028,152785.0,7677642.0
2016-10-26,19850,20100,19700,20050,21446,153937.0,7677642.0
2016-10-27,19900,20800,19750,20550,24089,157776.0,7677642.0
2016-10-28,20350,20650,19600,19600,25264,150482.0,7677642.0
2016-10-31,19600,19800,19100,19550,20953,150098.0,7677642.0
2016-11-01,19150,19500,19000,19450,23937,149330.0,7677642.0
2016-11-02,19450,19450,18500,18500,27084,142036.0,7677642.0
2016-11-03,18100,19150,18100,19000,17084,145875.0,7677642.0
2016-11-04,18700,19000,18600,18850,13114,144724.0,7677642.0
2016-11-07,18650,19500,18650,19300,12167,148178.0,7677642.0
2016-11-08,19200,19400,18900,19250,12663,147795.0,7677642.0
2016-11-09,19500,20250,18050,18900,46064,145107.0,7677642.0
2016-11-10,19350,20200,19350,19850,19164,152401.0,7677642.0
2016-11-11,19900,20050,19250,19500,16726,149714.0,7677642.0
2016-11-14,19250,19500,18150,18200,73303,139733.0,7677642.0
2016-11-15,18350,18350,16900,17450,81928,133975.0,7677642.0
2016-11-16,17300,17900,17250,17600,36804,135126.0,7677642.0
2016-11-17,17600,17800,17050,17500,24029,134359.0,7677642.0
2016-11-18,17500,18000,17300,17500,17973,134359.0,7677642.0
2016-11-21,17500,18000,17300,17700,20233,135894.0,7677642.0
2016-11-22,17650,17950,17050,17150,23860,131672.0,7677642.0
2016-11-23,17150,17700,17050,17100,18657,131288.0,7677642.0
2016-11-24,17000,17250,16450,16850,34803,129368.0,7677642.0
2016-11-25,16600,17200,16500,16500,30265,126681.0,7677642.0
2016-11-28,16400,16700,16250,16300,8445,125146.0,7677642.0
2016-11-29,16000,16500,16000,16300,28566,125146.0,7677642.0
2016-11-30,16300,16900,16150,16300,24640,125146.0,7677642.0
2016-12-01,16300,16800,16200,16250,7943,124762.0,7677642.0
2016-12-02,16200,16500,15950,16000,17403,122842.0,7677642.0
2016-12-05,15800,16100,14850,14950,34863,114781.0,7677642.0
2016-12-06,14650,15350,14650,15150,28242,116316.0,7677642.0
2016-12-07,15000,15200,13550,14250,116337,109406.0,7677642.0
2016-12-08,14300,14600,14150,14400,27246,110558.0,7677642.0
2016-12-09,14100,15000,14100,14700,26485,112861.0,7677642.0
2016-12-12,14550,15400,14550,15250,34518,117084.0,7677642.0
2016-12-13,15400,15500,15000,15150,24081,116316.0,7677642.0
2016-12-14,15350,15750,15350,15600,20693,119771.0,7677642.0
2016-12-15,15500,15900,15300,15800,29132,121307.0,7677642.0
2016-12-16,15950,16350,15650,15950,19050,122458.0,7677642.0
2016-12-19,15950,16300,15100,15400,37541,118236.0,7677642.0
2016-12-20,15250,15500,14600,14600,48443,112094.0,7677642.0
2016-12-21,14500,14900,14450,14650,16489,112477.0,7677642.0
2016-12-22,14650,15000,14600,14650,10597,112477.0,7677642.0
2016-12-23,14300,14850,14300,14650,13189,112477.0,7677642.0
2016-12-26,14800,15200,14700,15000,29343,115165.0,7677642.0
2016-12-27,15000,15050,14750,15050,15296,115549.0,7677642.0
2016-12-28,15000,15000,14450,14750,35239,113245.0,7677642.0
2016-12-29,14950,15450,14450,14550,22211,111710.0,7677642.0
2017-01-02,14550,14750,14450,14750,10584,113245.0,7677642.0
2017-01-03,14750,15000,14500,14650,21106,112477.0,7677642.0
2017-01-04,14850,15350,14600,15250,53720,117084.0,7677642.0
2017-01-05,15300,15800,15250,15550,49890,119387.0,7677642.0
2017-01-06,15650,15800,15300,15700,17709,120539.0,7677642.0
2017-01-09,15850,15850,15350,15400,25423,118236.0,7677642.0
2017-01-10,15200,15550,14950,15050,22765,115549.0,7677642.0
2017-01-11,15000,15300,14800,14950,16704,114781.0,7677642.0
2017-01-12,14850,15150,14850,15100,24686,115932.0,7677642.0
2017-01-13,15000,15350,15000,15150,13070,116316.0,7677642.0
2017-01-16,15150,15200,14750,14900,14985,114397.0,7677642.0
2017-01-17,14900,15150,14700,14950,18455,114781.0,7677642.0
2017-01-18,14750,14900,14650,14900,8999,114397.0,7677642.0
2017-01-19,14950,14950,14650,14700,12489,112861.0,7677642.0
2017-01-20,14800,14850,14550,14700,24818,112861.0,7677642.0
2017-01-23,14800,14800,14200,14250,21035,109406.0,7677642.0
2017-01-24,14100,14250,13700,13700,29011,105184.0,7677642.0
2017-01-25,14050,14250,13700,13800,19190,105951.0,7677642.0
2017-01-26,13800,14000,13650,13950,16513,107103.0,7677642.0
2017-01-31,14000,14050,13550,13600,21854,104416.0,7677642.0
2017-02-01,13650,14300,13600,14250,14928,109406.0,7677642.0
2017-02-02,14150,14350,13750,13850,12439,106335.0,7677642.0
2017-02-03,13850,14000,13300,13550,22731,104032.0,7677642.0
2017-02-06,13750,13750,13300,13600,7225,104416.0,7677642.0
2017-02-07,13450,14200,13450,13950,17792,107103.0,7677642.0
2017-02-08,13800,14200,13750,13800,18205,105951.0,7677642.0
2017-02-09,14000,14000,13650,13800,9157,105951.0,7677642.0
2017-02-10,13800,13950,13300,13350,26822,102497.0,7677642.0
2017-02-13,13350,13450,12550,12700,99892,97506.0,7677642.0
2017-02-14,12750,12850,12200,12700,69460,97506.0,7677642.0
2017-02-15,12800,13150,12750,13050,34689,100193.0,7677642.0
2017-02-16,13150,13600,13100,13300,47361,102113.0,7677642.0
2017-02-17,13200,13600,13050,13550,19985,104032.0,7677642.0
2017-02-20,13800,16850,13750,15000,852410,115165.0,7677642.0
2017-02-21,15050,15500,14850,15000,149438,115165.0,7677642.0
2017-02-22,15350,15450,14850,14850,76646,114013.0,7677642.0
2017-02-23,14850,15100,14350,14550,59493,111710.0,7677642.0
2017-02-24,14550,14800,14450,14750,33234,113245.0,7677642.0
2017-02-27,14750,15850,14700,15300,70089,117468.0,7677642.0
2017-02-28,15150,15300,14600,14850,43615,114013.0,7677642.0
2017-03-02,14850,15000,14400,14400,38887,110558.0,7677642.0
2017-03-03,14400,14400,13500,13550,73920,104032.0,7677642.0
2017-03-06,13600,14200,13500,14150,33237,108639.0,7677642.0
2017-03-07,14150,14150,13850,14100,18348,108255.0,7677642.0
2017-03-08,14200,14200,13600,13900,26106,106719.0,7677642.0
2017-03-09,14050,14200,13650,13650,27684,104800.0,7677642.0
2017-03-10,13800,13950,13400,13900,39173,106719.0,7677642.0
2017-03-13,13250,13600,13000,13450,75847,103264.0,7677642.0
2017-03-14,13450,13700,13300,13300,18241,102113.0,7677642.0
2017-03-15,13200,13400,12950,13000,43267,99809.0,7677642.0
2017-03-16,13050,13200,12800,12950,35566,99425.0,7677642.0
2017-03-17,13150,13150,12800,13000,19758,99809.0,7677642.0
2017-03-20,13050,13100,12900,13050,16435,100193.0,7677642.0
2017-03-21,12950,13050,12800,12850,23153,98658.0,7677642.0
2017-03-22,12850,13100,12350,12800,16630,98274.0,7677642.0
2017-03-23,12800,12950,12550,12650,20982,97122.0,7677642.0
2017-03-24,12600,12700,12450,12550,16032,96354.0,7677642.0
2017-03-27,12500,12750,12400,12450,18664,95587.0,7677642.0
2017-03-28,12550,12650,12350,12650,16188,97122.0,7677642.0
2017-03-29,12700,12700,12400,12550,14274,96354.0,7677642.0
2017-03-30,12550,12550,12250,12250,31062,94051.0,7677642.0
2017-03-31,12250,12550,12150,12550,22122,96354.0,7677642.0
2017-04-03,12800,13400,12750,13250,57702,101729.0,7677642.0
2017-04-04,13300,13350,13050,13100,12882,100577.0,7677642.0
2017-04-05,12900,13600,12900,13600,27718,104416.0,7677642.0
2017-04-06,13500,13650,13250,13600,15861,104416.0,7677642.0
2017-04-07,13700,13700,13350,13450,10226,103264.0,7677642.0
2017-04-10,13450,13500,13100,13300,25124,102113.0,7677642.0
2017-04-11,13200,13500,12800,13200,22520,101345.0,7677642.0
2017-04-12,13300,13350,12900,13250,13090,101729.0,7677642.0
2017-04-13,13200,13550,13150,13550,15688,104032.0,7677642.0
2017-04-14,13300,13550,13250,13350,9100,102497.0,7677642.0
2017-04-17,13350,13750,13350,13550,22460,104032.0,7677642.0
2017-04-18,13550,13550,13200,13500,11313,103648.0,7677642.0
2017-04-19,13350,14500,13350,14400,64625,110558.0,7677642.0
2017-04-20,14350,14350,13950,14100,39991,108255.0,7677642.0
2017-04-21,14100,14300,14000,14200,17338,109023.0,7677642.0
2017-04-24,14100,14100,13600,13800,33147,105951.0,7677642.0
2017-04-25,13700,14000,13700,13950,13529,107103.0,7677642.0
2017-04-26,14000,14200,13850,14150,15510,108639.0,7677642.0
2017-04-27,14300,14300,13900,13900,30137,106719.0,7677642.0
2017-04-28,13800,14200,13650,13700,27966,105252.0,7682642.0
2017-05-02,13700,13800,13300,13500,24790,103716.0,7682642.0
2017-05-04,13400,13700,13400,13600,16587,104484.0,7682642.0
2017-05-08,13650,14100,13600,14000,18894,107557.0,7682642.0
2017-05-10,13950,14400,13900,13900,20234,106789.0,7682642.0
2017-05-11,14000,14400,13900,14350,18092,110246.0,7682642.0
2017-05-12,14200,14350,13950,13950,29734,107173.0,7682642.0
2017-05-15,13950,14000,13550,13650,20779,104868.0,7682642.0
2017-05-16,13650,13750,13400,13650,32558,104868.0,7682642.0
2017-05-17,13500,13800,13450,13650,10068,104868.0,7682642.0
2017-05-18,13300,13650,13250,13650,23987,104868.0,7682642.0
2017-05-19,13450,13500,13300,13350,23271,102563.0,7682642.0
2017-05-22,13300,13300,13000,13100,32755,100643.0,7682642.0
2017-05-23,13050,13150,12950,13000,28370,99874.0,7682642.0
2017-05-24,13000,13250,13000,13250,16465,101795.0,7682642.0
2017-05-25,13250,13300,12800,12900,28987,99106.0,7682642.0
2017-05-26,12950,13350,12950,13250,14293,101795.0,7682642.0
2017-05-29,13250,13250,12950,13050,24950,100258.0,7682642.0
2017-05-30,13000,13600,13000,13400,23131,102947.0,7682642.0
2017-05-31,13400,13700,13200,13400,36768,102947.0,7682642.0
2017-06-01,13400,13950,13250,13900,24122,106789.0,7682642.0
2017-06-02,13900,14000,13700,13700,14897,105252.0,7682642.0
2017-06-05,13700,14250,13700,13950,48218,107173.0,7682642.0
2017-06-07,13800,14150,13600,13950,34600,107173.0,7682642.0
2017-06-08,13800,14150,13650,14000,56959,107557.0,7682642.0
2017-06-09,13850,14400,13850,14250,101306,109478.0,7682642.0
2017-06-12,14250,14250,13950,14000,26731,107557.0,7682642.0
2017-06-13,14150,14200,13900,14000,44453,107557.0,7682642.0
2017-06-14,14000,14100,13700,13900,37701,106789.0,7682642.0
2017-06-15,14100,14600,13700,14350,89997,110246.0,7682642.0
2017-06-16,14550,15000,14200,14750,99655,113319.0,7682642.0
2017-06-19,14700,15200,14700,14800,67192,113703.0,7682642.0
2017-06-20,14900,15000,14500,14850,46975,114087.0,7682642.0
2017-06-21,14850,14900,14500,14650,27763,112551.0,7682642.0
2017-06-22,14700,14750,14100,14250,46142,109478.0,7682642.0
2017-06-23,14450,14450,13950,14450,27795,111014.0,7682642.0
2017-06-26,14350,14900,14250,14900,34319,114471.0,7682642.0
2017-06-27,14950,15450,14700,14900,65488,114471.0,7682642.0
2017-06-28,14700,15100,14450,14700,40733,112935.0,7682642.0
2017-06-29,14900,14900,14450,14800,20971,113703.0,7682642.0
2017-06-30,14800,14900,14500,14850,21305,114087.0,7682642.0
2017-07-03,14850,16600,14450,15900,395890,122154.0,7682642.0
2017-07-04,15850,16050,15500,15500,70326,119081.0,7682642.0
2017-07-05,15400,15650,15350,15550,48035,119465.0,7682642.0
2017-07-06,15450,15750,15450,15750,29283,121002.0,7682642.0
2017-07-07,15750,16450,15400,15900,110161,122154.0,7682642.0
2017-07-10,15850,16300,15400,15400,35217,118313.0,7682642.0
2017-07-11,15400,15600,15050,15300,36192,117544.0,7682642.0
2017-07-12,15300,15400,15200,15400,18470,118313.0,7682642.0
2017-07-13,15450,15450,14550,14700,66548,112935.0,7682642.0
2017-07-14,14650,14700,14000,14150,62348,108709.0,7682642.0
2017-07-17,14150,15400,14000,14550,78605,111782.0,7682642.0
2017-07-18,14600,14600,14350,14400,27180,110630.0,7682642.0
2017-07-19,14400,15000,14400,14600,25339,112167.0,7682642.0
2017-07-20,14600,14850,14600,14750,18228,113319.0,7682642.0
2017-07-21,14900,15200,14650,14850,34935,114087.0,7682642.0
2017-07-24,14850,15100,14550,14550,25923,111782.0,7682642.0
2017-07-25,14450,14700,14200,14250,35289,109478.0,7682642.0
2017-07-26,14250,14400,14000,14200,37946,109094.0,7682642.0
2017-07-27,14200,14400,14100,14100,19624,108325.0,7682642.0
