아이진(185490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-02-13,6200,6400,6200,6400,8000,48642.0,7600288.0
2014-02-14,6400,6990,6400,6990,14400,53126.0,7600288.0
2014-02-17,6990,6990,6990,6990,500,53126.0,7600288.0
2014-02-18,6950,6950,6900,6900,2000,52442.0,7600288.0
2014-02-19,6900,7000,6900,7000,8000,53202.0,7600288.0
2014-02-20,6990,7090,6990,7090,9200,53886.0,7600288.0
2014-02-21,7090,7100,7090,7100,7180,53962.0,7600288.0
2014-02-24,7070,7070,6900,7050,6200,53582.0,7600288.0
2014-02-25,6910,7050,6910,7050,2500,53582.0,7600288.0
2014-02-26,7050,7200,7040,7200,7800,54722.0,7600288.0
2014-02-27,7000,7530,7000,7530,26300,57230.0,7600288.0
2014-02-28,8000,8200,8000,8200,3500,62322.0,7600288.0
2014-03-03,8400,8400,8400,8400,2500,63842.0,7600288.0
2014-03-04,8400,8500,8400,8500,1500,64602.0,7600288.0
2014-03-05,8100,8100,8000,8010,4300,60878.0,7600288.0
2014-03-06,8000,8100,7500,8100,6700,61562.0,7600288.0
2014-03-07,8000,8200,8000,8200,4700,62322.0,7600288.0
2014-03-10,8200,8400,8200,8400,7100,63842.0,7600288.0
2014-03-11,8400,9100,8400,9100,16500,69163.0,7600288.0
2014-03-12,8600,8600,8600,8600,1300,65362.0,7600288.0
2014-03-13,8600,9100,8600,9100,14000,69163.0,7600288.0
2014-03-14,9000,9200,9000,9200,4800,69923.0,7600288.0
2014-03-17,9190,9190,8900,8900,5000,67643.0,7600288.0
2014-03-18,8900,10200,8900,10200,52200,77523.0,7600288.0
2014-03-19,11400,11400,11000,11000,9100,83603.0,7600288.0
2014-03-20,11000,11000,10850,10850,1100,82463.0,7600288.0
2014-03-21,11550,11550,10500,10500,14000,79803.0,7600288.0
2014-03-24,10500,10500,10200,10200,4300,77523.0,7600288.0
2014-03-25,0,0,0,10100,0,76763.0,7600288.0
2014-03-26,9900,9900,9500,9500,6700,72203.0,7600288.0
2014-03-27,9500,9500,9200,9390,4900,71367.0,7600288.0
2014-03-28,9400,10100,9400,10100,2900,76763.0,7600288.0
2014-03-31,10000,10100,10000,10100,5000,76763.0,7600288.0
2014-04-01,9900,10000,9700,10000,4100,76003.0,7600288.0
2014-04-02,10000,10000,9600,10000,22200,76003.0,7600288.0
2014-04-03,10300,10300,9990,10150,21100,77143.0,7600288.0
2014-04-04,10200,10250,10150,10250,25800,77903.0,7600288.0
2014-04-07,10150,10150,9900,9900,3000,75243.0,7600288.0
2014-04-08,9900,10000,9900,9900,10000,75243.0,7600288.0
2014-04-09,10000,10000,10000,10000,100,76003.0,7600288.0
2014-04-10,0,0,0,10000,0,76003.0,7600288.0
2014-04-11,0,0,0,10000,0,,
2014-04-14,10000,10000,9810,10000,4200,76203.0,7620288.0
2014-04-15,10000,10000,10000,10000,6000,76203.0,7620288.0
2014-04-16,9950,9950,9950,9950,15000,75822.0,7620288.0
2014-04-17,10100,10100,10000,10000,5000,76203.0,7620288.0
2014-04-18,0,0,0,9900,0,75441.0,7620288.0
2014-04-21,9500,9850,9400,9840,23000,74984.0,7620288.0
2014-04-22,9740,9740,9740,9740,3000,74222.0,7620288.0
2014-04-23,9300,9600,9300,9600,12500,73155.0,7620288.0
2014-04-24,9800,9800,9700,9700,9300,73917.0,7620288.0
2014-04-25,0,0,0,9650,0,73536.0,7620288.0
2014-04-28,9650,9700,9600,9700,13600,73917.0,7620288.0
2014-04-29,9490,9800,9490,9650,8200,73536.0,7620288.0
2014-04-30,10000,10000,10000,10000,100,76203.0,7620288.0
2014-05-02,9000,10200,9000,10200,4100,77727.0,7620288.0
2014-05-07,9900,9900,9000,9000,11400,68583.0,7620288.0
2014-05-08,8990,9000,8600,8600,14100,65534.0,7620288.0
2014-05-09,8490,8700,7500,8700,22300,66297.0,7620288.0
2014-05-12,8500,9200,8500,9200,1500,70107.0,7620288.0
2014-05-13,0,0,0,9100,0,69345.0,7620288.0
2014-05-14,7800,9000,7800,9000,16100,68583.0,7620288.0
2014-05-15,9100,9100,8300,9100,5700,69345.0,7620288.0
2014-05-16,9200,9200,9200,9200,6000,70107.0,7620288.0
2014-05-19,0,0,0,9000,0,68583.0,7620288.0
2014-05-20,0,0,0,9000,0,68583.0,7620288.0
2014-05-21,8150,8850,8150,8250,20200,62867.0,7620288.0
2014-05-22,8500,8500,8500,8500,3000,64772.0,7620288.0
2014-05-23,8070,8070,8070,8070,2400,62061.0,7690288.0
2014-05-26,8000,8000,7700,7800,14000,59984.0,7690288.0
2014-05-27,7800,7910,7700,7900,7300,60753.0,7690288.0
2014-05-28,7900,8600,7810,8600,12900,66136.0,7690288.0
2014-05-29,8100,8100,8100,8100,5900,62291.0,7690288.0
2014-05-30,8300,8300,7900,8100,3700,62291.0,7690288.0
2014-06-02,7510,7510,7510,7510,8700,57754.0,7690288.0
2014-06-03,7950,7950,7950,7950,500,61138.0,7690288.0
2014-06-05,8150,8150,8150,8150,100,62676.0,7690288.0
2014-06-09,0,0,0,8150,0,62676.0,7690288.0
2014-06-10,0,0,0,8150,0,,
2014-06-11,8200,8300,8200,8300,10500,63829.0,7690288.0
2014-06-12,8800,8800,8800,8800,14000,67675.0,7690288.0
2014-06-13,9100,9100,9000,9000,26100,69213.0,7690288.0
2014-06-16,9000,9020,9000,9020,38800,69366.0,7690288.0
2014-06-17,9050,9050,8990,9000,7100,69213.0,7690288.0
2014-06-18,9000,9000,9000,9000,5700,69213.0,7690288.0
2014-06-19,8990,9090,8990,9000,14100,69213.0,7690288.0
2014-06-20,9000,9000,8800,9000,13300,69213.0,7690288.0
2014-06-23,8800,9700,8800,9200,19200,70751.0,7690288.0
2014-06-24,9200,10550,9130,10550,113900,81133.0,7690288.0
2014-06-25,10000,10600,9900,10600,137700,81517.0,7690288.0
2014-06-26,10400,10650,10200,10350,20350,79594.0,7690288.0
2014-06-27,10100,10800,10100,10200,25500,78441.0,7690288.0
2014-06-30,10200,10500,10200,10450,7400,80364.0,7690288.0
2014-07-01,10200,10450,10200,10200,18800,78441.0,7690288.0
2014-07-02,10000,10000,9700,9700,16000,74596.0,7690288.0
2014-07-03,9400,9700,9000,9700,40400,74596.0,7690288.0
2014-07-04,9600,9600,9580,9580,200,73673.0,7690288.0
2014-07-07,9000,9400,9000,9400,9300,72289.0,7690288.0
2014-07-08,9100,9200,9000,9000,32900,69213.0,7690288.0
2014-07-09,9300,9300,9300,9300,200,71520.0,7690288.0
2014-07-10,9300,9300,9300,9300,3000,71520.0,7690288.0
2014-07-11,9300,9300,9300,9300,1800,71520.0,7690288.0
2014-07-14,9700,9800,9700,9800,5000,75365.0,7690288.0
2014-07-15,9990,10000,9990,10000,900,76903.0,7690288.0
2014-07-16,9980,9980,9980,9980,1900,76749.0,7690288.0
2014-07-17,9660,10400,9660,10000,6800,76903.0,7690288.0
2014-07-18,9900,10000,9700,9700,7800,74596.0,7690288.0
2014-07-21,10000,10000,9700,9700,1700,74596.0,7690288.0
2014-07-22,9800,9800,9800,9800,600,75365.0,7690288.0
2014-07-23,9800,9800,9800,9800,1200,75365.0,7690288.0
2014-07-24,9100,9800,9100,9800,3600,75365.0,7690288.0
2014-07-25,9800,9800,9800,9800,200,75365.0,7690288.0
2014-07-28,9800,9800,9800,9800,0,75365.0,7690288.0
2014-07-29,9800,9800,9800,9800,0,,
2014-07-30,9300,9900,9300,9700,10300,74596.0,7690288.0
2014-07-31,9700,10400,9500,10400,6900,79979.0,7690288.0
2014-08-01,9990,10250,9980,10250,9600,78825.0,7690288.0
2014-08-04,10250,10250,9400,10200,62900,78441.0,7690288.0
2014-08-05,9800,10450,9800,10000,17700,76903.0,7690288.0
2014-08-06,10400,11300,10050,11300,4100,86900.0,7690288.0
2014-08-07,12300,12300,11000,12300,600,94591.0,7690288.0
2014-08-08,12700,12700,12450,12450,700,95744.0,7690288.0
2014-08-11,12500,12900,12500,12900,200,99205.0,7690288.0
2014-08-12,12900,12900,12900,12900,0,99205.0,7690288.0
2014-08-13,12500,12500,12500,12500,300,96129.0,7690288.0
2014-08-14,12600,12600,12450,12450,2000,95744.0,7690288.0
2014-08-18,11000,12450,11000,12450,6600,95744.0,7690288.0
2014-08-19,11750,12350,11750,12350,600,94975.0,7690288.0
2014-08-20,12500,14050,12000,12050,2500,92668.0,7690288.0
2014-08-21,12500,12500,12100,12100,700,93052.0,7690288.0
2014-08-22,11500,11500,11300,11500,7200,88438.0,7690288.0
2014-08-25,11700,11700,11700,11700,100,89976.0,7690288.0
2014-08-26,12500,12500,12500,12500,500,96129.0,7690288.0
2014-08-27,12400,12400,12400,12400,0,95360.0,7690288.0
2014-08-28,12400,12400,12400,12400,1000,95360.0,7690288.0
2014-08-29,11350,12500,11350,12500,2000,96129.0,7690288.0
2014-09-01,12500,12500,12500,12500,1800,96129.0,7690288.0
2014-09-02,12500,12500,12500,12500,0,96129.0,7690288.0
2014-09-03,12500,12500,12500,12500,0,,
2014-09-04,11550,12450,11550,11600,3300,89207.0,7690288.0
2014-09-05,12500,12500,12500,12500,1200,96129.0,7690288.0
2014-09-11,12500,12500,12500,12500,0,,
2014-09-12,12100,12900,12100,12900,2200,99205.0,7690288.0
2014-09-15,13000,13000,13000,13000,1000,99974.0,7690288.0
2014-09-16,12500,12500,11050,11050,8200,84978.0,7690288.0
2014-09-17,9400,9410,9400,9400,33400,72289.0,7690288.0
2014-09-18,9200,9200,8800,9000,10500,69213.0,7690288.0
2014-09-19,9000,9000,8900,8900,17800,68444.0,7690288.0
2014-09-22,8900,8900,8900,8900,1000,68444.0,7690288.0
2014-09-23,8900,8900,8900,8900,100,68444.0,7690288.0
2014-09-24,8900,9000,8900,9000,1100,69213.0,7690288.0
2014-09-25,9500,9990,8900,9990,8500,76826.0,7690288.0
2014-09-26,9700,9700,9700,9700,0,74596.0,7690288.0
2014-09-29,9500,9700,9000,9600,11600,73827.0,7690288.0
2014-09-30,9700,9700,9310,9600,1800,73827.0,7690288.0
2014-10-01,9600,9600,9600,9600,0,73827.0,7690288.0
2014-10-02,9000,9000,9000,9000,1000,69213.0,7690288.0
2014-10-06,8100,9500,8100,9500,200,73058.0,7690288.0
2014-10-07,9500,9500,9500,9500,200,73058.0,7690288.0
2014-10-08,9500,9500,9400,9500,9300,73058.0,7690288.0
2014-10-10,9500,9500,9500,9500,500,73058.0,7690288.0
2014-10-13,9500,9500,9300,9300,5800,71520.0,7690288.0
2014-10-14,9300,9300,9300,9300,0,71520.0,7690288.0
2014-10-15,9300,9300,9300,9300,1300,71520.0,7690288.0
2014-10-16,9300,9300,9300,9300,500,71520.0,7690288.0
2014-10-17,9300,9300,9300,9300,0,71752.0,7715288.0
2014-10-20,9300,9300,9300,9300,0,,
2014-10-21,9200,9200,9200,9200,0,70981.0,7715288.0
2014-10-22,9200,9400,9200,9400,2000,72524.0,7715288.0
2014-10-23,9300,9500,9300,9300,6500,71752.0,7715288.0
2014-10-24,9300,9300,9300,9300,0,,
2014-10-27,9300,9300,9300,9300,2000,71752.0,7715288.0
2014-10-28,9290,9290,9290,9290,2000,71675.0,7715288.0
2014-10-29,9000,9300,9000,9300,1400,71752.0,7715288.0
2014-10-30,9290,9290,8500,9280,2200,71598.0,7715288.0
2014-10-31,9100,9100,9100,9100,1000,70209.0,7715288.0
2014-11-03,8700,8700,8700,8700,6200,67123.0,7715288.0
2014-11-04,9000,9000,9000,9000,300,69438.0,7715288.0
2014-11-05,9200,9250,9190,9220,7100,71135.0,7715288.0
2014-11-06,9180,9180,9180,9180,2900,70826.0,7715288.0
2014-11-07,9200,9500,9200,9500,7200,73295.0,7715288.0
2014-11-10,9000,9300,9000,9300,800,71752.0,7715288.0
2014-11-11,9300,9400,9300,9400,1000,72524.0,7715288.0
2014-11-12,9700,9700,9400,9400,1300,74208.0,7894499.0
2014-11-13,9400,9400,9400,9400,300,74208.0,7894499.0
2014-11-14,9300,9300,9300,9300,500,73419.0,7894499.0
2014-11-17,9200,9300,9200,9300,1500,73419.0,7894499.0
2014-11-18,10600,10600,10600,10600,100,83682.0,7894499.0
2014-11-19,11000,11000,9050,9050,8200,71445.0,7894499.0
2014-11-20,9100,9200,9100,9100,1270,71840.0,7894499.0
2014-11-21,9000,9200,9000,9200,910,72629.0,7894499.0
2014-11-24,9500,9500,8800,9000,1211,71050.0,7894499.0
2014-11-25,9500,9500,8800,9300,6003,73419.0,7894499.0
2014-11-26,8850,9300,8800,9250,4632,73024.0,7894499.0
2014-11-27,9000,9200,9000,9200,5501,72629.0,7894499.0
2014-11-28,9300,9300,8900,9300,16002,73419.0,7894499.0
2014-12-01,9300,9300,8850,9200,1000,72629.0,7894499.0
2014-12-02,9300,9300,8850,9200,630,72629.0,7894499.0
2014-12-03,8900,9200,8850,9200,3472,72629.0,7894499.0
2014-12-04,9300,9300,9300,9300,1,73419.0,7894499.0
2014-12-05,9400,9400,8850,8980,10494,70893.0,7894499.0
2014-12-08,8980,8980,8980,8980,0,70893.0,7894499.0
2014-12-09,9300,9300,8700,8900,1703,70261.0,7894499.0
2014-12-10,9000,9000,8700,8940,2006,70577.0,7894499.0
2014-12-11,9200,9200,8610,8610,3,67972.0,7894499.0
2014-12-12,9300,9300,8400,8980,3010,70893.0,7894499.0
2014-12-15,8500,8900,8400,8890,4476,70182.0,7894499.0
2014-12-16,8200,8490,8200,8490,1002,67024.0,7894499.0
2014-12-17,8500,8900,8000,8900,1004,70261.0,7894499.0
2014-12-18,8900,8900,8900,8900,0,70261.0,7894499.0
2014-12-19,8200,8900,8000,8900,3003,70261.0,7894499.0
2014-12-22,9000,9000,9000,9000,1,71050.0,7894499.0
2014-12-23,9800,9800,9800,9800,1,77366.0,7894499.0
2014-12-24,8330,8330,8330,8330,1396,65761.0,7894499.0
2014-12-26,8900,9550,8340,8890,19503,70182.0,7894499.0
2014-12-29,9900,9900,7560,9480,32,74840.0,7894499.0
2014-12-30,9890,9890,9890,9890,1,78077.0,7894499.0
2015-01-02,9300,9300,8500,9000,2111,71050.0,7894499.0
2015-01-05,8800,8800,8800,8800,10,69472.0,7894499.0
2015-01-06,9700,9700,9700,9700,1,76577.0,7894499.0
2015-01-07,10000,10000,10000,10000,1,78945.0,7894499.0
2015-01-08,10500,10500,8500,9790,11697,77287.0,7894499.0
2015-01-09,9890,9890,8330,9310,5543,73498.0,7894499.0
2015-01-12,9390,9390,9390,9390,1,74129.0,7894499.0
2015-01-13,9590,9590,7990,9300,12123,73419.0,7894499.0
2015-01-14,9390,9390,7910,8980,7586,70893.0,7894499.0
2015-01-15,9000,9490,7660,9270,15269,73182.0,7894499.0
2015-01-16,9480,9480,8190,9190,16600,72550.0,7894499.0
2015-01-19,9390,9390,8160,8790,15553,72018.0,8193185.0
2015-01-20,8790,8790,8000,8000,11091,65545.0,8193185.0
2015-01-21,8790,8790,8000,8300,17004,68003.0,8193185.0
2015-01-22,8690,8690,8200,8370,23399,68577.0,8193185.0
2015-01-23,8990,8990,8300,8800,25818,72100.0,8193185.0
2015-01-26,8800,9500,8050,9500,133888,77835.0,8193185.0
2015-01-27,9200,9210,9200,9200,5310,75377.0,8193185.0
2015-01-28,9490,9490,9000,9350,15514,76606.0,8193185.0
2015-01-29,10000,10000,9000,9950,11425,81522.0,8193185.0
2015-01-30,10500,10500,9200,10300,18247,84390.0,8193185.0
2015-02-02,10500,10500,10300,10500,46337,86028.0,8193185.0
2015-02-03,10700,11400,10400,11300,16536,92583.0,8193185.0
2015-02-04,11700,11700,10900,11500,3502,94222.0,8193185.0
2015-02-05,11850,12000,11500,11800,17610,96680.0,8193185.0
2015-02-06,11800,12500,11800,12100,46209,99259.0,8203185.0
2015-02-09,12400,12400,11100,12100,18063,99259.0,8203185.0
2015-02-10,12500,13000,12500,12900,27864,105821.0,8203185.0
2015-02-11,13200,13400,13000,13200,12680,108282.0,8203185.0
2015-02-12,13500,13500,13000,13200,17153,108282.0,8203185.0
2015-02-13,13500,14000,13400,14000,32569,114845.0,8203185.0
2015-02-16,14400,15350,14000,14850,37315,121817.0,8203185.0
2015-02-17,15200,15600,14500,15500,17309,127149.0,8203185.0
2015-02-23,15700,15800,13800,14850,45987,121817.0,8203185.0
2015-02-24,14900,15000,14000,14750,11305,120997.0,8203185.0
2015-02-25,15000,15000,13200,14950,56862,122638.0,8203185.0
2015-02-26,15250,15900,14750,15900,8557,130431.0,8203185.0
2015-02-27,16200,16500,14750,14750,36575,120997.0,8203185.0
2015-03-02,15400,15700,14850,15400,24606,126329.0,8203185.0
2015-03-03,15700,15800,15450,15750,7944,129200.0,8203185.0
2015-03-04,15850,15900,15500,15750,7330,129200.0,8203185.0
2015-03-05,15850,15850,15700,15800,16163,130795.0,8278185.0
2015-03-06,15800,15800,15150,15750,7964,130381.0,8278185.0
2015-03-09,15800,15800,15050,15400,23785,127484.0,8278185.0
2015-03-10,15850,15850,15050,15200,9965,125828.0,8278185.0
2015-03-11,15700,15700,14900,15300,8862,126656.0,8278185.0
2015-03-12,15900,15900,14000,15250,6011,126547.0,8298185.0
2015-03-13,15450,15450,14000,14500,7890,120324.0,8298185.0
2015-03-16,15550,15550,13300,15000,3303,124473.0,8298185.0
2015-03-17,16300,16300,14000,15200,1703,126132.0,8298185.0
2015-03-18,16700,16700,14000,15450,4305,128207.0,8298185.0
2015-03-19,15850,15850,13900,14100,2098,117004.0,8298185.0
2015-03-20,14800,14800,13200,14000,11286,116175.0,8298185.0
2015-03-23,15000,15000,13800,15000,226,124473.0,8298185.0
2015-03-24,15900,15900,13300,14750,4056,122398.0,8298185.0
2015-03-25,15100,15100,13400,14750,9,122398.0,8298185.0
2015-03-26,14950,14950,12750,12750,3504,105802.0,8298185.0
2015-03-27,14100,14100,10850,10850,8044,90035.0,8298185.0
2015-03-30,12100,12400,11500,12300,5443,102068.0,8298185.0
2015-03-31,13300,13300,13300,13300,1,110366.0,8298185.0
2015-04-01,14100,14100,13500,13500,14465,112025.0,8298185.0
2015-04-02,14500,14500,13000,13600,6472,112855.0,8298185.0
2015-04-03,14100,14100,13450,13500,1312,112025.0,8298185.0
2015-04-06,13500,13500,12600,13200,1004,109536.0,8298185.0
2015-04-07,13800,13800,11250,12000,10824,99578.0,8298185.0
2015-04-08,12950,12950,11600,12850,1517,106632.0,8298185.0
2015-04-09,12900,12900,11200,11950,16432,99163.0,8298185.0
2015-04-10,12700,12700,11550,12200,3726,101238.0,8298185.0
2015-04-13,12900,12900,11700,11800,3238,97919.0,8298185.0
2015-04-14,12450,12450,11500,12050,10323,99993.0,8298185.0
2015-04-15,12700,12700,11500,12050,3824,99993.0,8298185.0
2015-04-16,11200,12100,11000,12000,11168,99578.0,8298185.0
2015-04-17,12200,13200,11800,12950,11744,107461.0,8298185.0
2015-04-20,14250,14250,12400,13800,5,114515.0,8298185.0
2015-04-21,14700,14700,12350,13700,3626,113685.0,8298185.0
2015-04-22,13800,14500,12650,13400,5996,111196.0,8298185.0
2015-04-23,12050,13200,12050,13000,2017,107876.0,8298185.0
2015-04-24,12500,13600,12500,13600,2809,112855.0,8298185.0
2015-04-27,13600,13800,12800,12900,9109,107047.0,8298185.0
2015-04-28,12900,13500,12000,13200,7886,109536.0,8298185.0
2015-04-29,12350,12800,11500,12400,6412,102897.0,8298185.0
2015-04-30,13400,13400,12200,12400,1205,102897.0,8298185.0
2015-05-04,11050,12200,10550,11650,7518,96674.0,8298185.0
2015-05-06,11800,11800,9950,11450,8449,95014.0,8298185.0
2015-05-07,10800,11000,9750,10000,3730,82982.0,8298185.0
2015-05-08,9450,10750,9450,10000,14126,82982.0,8298185.0
2015-05-11,10000,11000,9500,10950,7455,92270.0,8426485.0
2015-05-12,10950,11000,10650,11000,4734,92691.0,8426485.0
2015-05-13,11300,11950,10100,11950,1732,100696.0,8426485.0
2015-05-14,12850,12850,11800,12200,1704,102803.0,8426485.0
2015-05-15,12400,12450,12350,12450,701,105034.0,8436485.0
2015-05-18,13300,13300,11100,12200,8890,102925.0,8436485.0
2015-05-19,13100,13100,11800,12000,3404,101238.0,8436485.0
2015-05-20,11700,12100,11000,12100,13598,102081.0,8436485.0
2015-05-21,12500,13900,12500,13900,15293,117267.0,8436485.0
2015-05-22,14500,15750,14500,14600,2333,123173.0,8436485.0
2015-05-26,14650,14650,13000,14350,2054,121064.0,8436485.0
2015-05-27,12500,13850,12500,13850,4526,116845.0,8436485.0
2015-05-28,13000,14100,13000,14100,397,118954.0,8436485.0
2015-05-29,14400,15000,13700,14600,9906,123173.0,8436485.0
2015-06-01,15050,15050,13900,15000,98,126547.0,8436485.0
2015-06-02,13500,14800,13500,14650,5149,123595.0,8436485.0
2015-06-03,15500,15500,14000,15000,6503,126547.0,8436485.0
2015-06-04,14500,15400,14000,14850,27385,125282.0,8436485.0
2015-06-05,14900,14900,14100,14750,8187,124438.0,8436485.0
2015-06-08,15000,15000,13300,14200,7602,119798.0,8436485.0
2015-06-09,14500,14850,13800,14550,3210,122751.0,8436485.0
2015-06-10,14300,14550,13000,14400,11723,121514.0,8438485.0
2015-06-11,14400,14700,14300,14700,6301,124046.0,8438485.0
2015-06-12,15000,15500,14850,14850,600,125312.0,8438485.0
2015-06-15,15500,15500,13800,14500,30270,122358.0,8438485.0
2015-06-16,14800,14800,14250,14800,2546,124890.0,8438485.0
2015-06-17,14850,14950,14400,14800,7168,124890.0,8438485.0
2015-06-18,14450,14900,14200,14600,13462,123202.0,8438485.0
2015-06-19,14750,15100,14000,15000,28609,126577.0,8438485.0
2015-06-22,15800,16200,15350,16200,33243,136703.0,8438485.0
2015-06-23,17450,17450,15550,17000,31741,143454.0,8438485.0
2015-06-24,17600,18900,17000,18900,17397,159487.0,8438485.0
2015-06-25,19850,20800,19850,20550,31463,173411.0,8438485.0
2015-06-26,21000,23400,21000,21500,39877,181427.0,8438485.0
2015-06-29,23000,23700,21600,23500,62031,198304.0,8438485.0
2015-06-30,24100,24100,22000,23450,35625,197882.0,8438485.0
2015-07-01,23900,23900,21000,22750,18516,191976.0,8438485.0
2015-07-02,23200,26150,23200,26150,151330,220666.0,8438485.0
2015-07-03,27300,27600,25000,25300,53877,213494.0,8438485.0
2015-07-06,25900,25900,24700,25000,18132,210962.0,8438485.0
2015-07-07,25000,25000,21250,23150,20867,195351.0,8438485.0
2015-07-08,23000,23300,19700,22000,33325,185647.0,8438485.0
2015-07-09,22100,24000,19100,22900,53414,193241.0,8438485.0
2015-07-10,23100,23200,21750,21900,10806,184803.0,8438485.0
2015-07-13,21900,22500,20750,22450,4412,189444.0,8438485.0
2015-07-14,22400,23000,21800,22450,10224,189444.0,8438485.0
2015-07-15,22950,23000,21400,22650,9658,191132.0,8438485.0
2015-07-16,23050,23050,21300,22450,19282,189444.0,8438485.0
2015-07-17,23900,24600,23600,23700,25339,199992.0,8438485.0
2015-07-20,24800,24800,23200,24500,7561,206743.0,8438485.0
2015-07-21,24750,24750,24300,24500,4785,207520.0,8470185.0
2015-07-22,24750,24750,23500,24400,1054,206673.0,8470185.0
2015-07-23,24800,24800,23150,23950,4756,202861.0,8470185.0
2015-07-24,23950,26000,21500,22900,47220,193967.0,8470185.0
2015-07-27,25400,25400,21200,22700,7996,192273.0,8470185.0
2015-07-28,22500,23000,20300,22700,10846,192273.0,8470185.0
2015-07-29,23500,25000,22000,22000,16002,186344.0,8470185.0
2015-07-30,23150,23150,20000,20100,21476,170251.0,8470185.0
2015-07-31,21300,22500,20000,22500,3436,190579.0,8470185.0
2015-08-03,23500,23900,23000,23050,14037,195238.0,8470185.0
2015-08-04,23450,23450,23000,23150,5045,196085.0,8470185.0
2015-08-05,24000,24000,22700,23200,8051,196508.0,8470185.0
2015-08-06,23150,24000,22600,24000,21181,203284.0,8470185.0
2015-08-07,24000,24200,23300,24000,23500,203284.0,8470185.0
2015-08-10,24400,24850,24000,24700,20679,209214.0,8470185.0
2015-08-11,25400,25400,24500,24550,13290,207943.0,8470185.0
2015-08-12,24500,24900,23050,23500,6998,199049.0,8470185.0
2015-08-13,24450,24450,23550,24100,3094,204131.0,8470185.0
2015-08-17,25700,25700,23950,24000,8721,203284.0,8470185.0
2015-08-18,24600,24600,23000,23400,11509,198202.0,8470185.0
2015-08-19,23400,23400,21000,22500,5404,190579.0,8470185.0
2015-08-20,22950,22950,22000,22500,7543,190579.0,8470185.0
2015-08-21,21100,22000,19700,21100,6327,178721.0,8470185.0
2015-08-24,20500,20500,17950,19500,25159,165169.0,8470185.0
2015-08-25,19700,21700,17500,20150,21823,170674.0,8470185.0
2015-08-26,20000,21300,20000,20950,2586,177450.0,8470185.0
