코렌(078650),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-11-04,2068,2199,1950,2138,171243,16238.0,6209603.0
2011-11-07,2137,2158,1986,2024,42800,15369.0,6209603.0
2011-11-08,2040,2040,1892,1897,49202,14406.0,6209603.0
2011-11-09,1904,2003,1892,1938,34998,14717.0,6209603.0
2011-11-10,1871,1929,1786,1930,50324,14655.0,6209603.0
2011-11-11,1962,1999,1876,1962,15992,14903.0,6209603.0
2011-11-14,2003,2047,1945,2028,32562,15400.0,6209603.0
2011-11-15,2011,2047,1950,1991,16800,15120.0,6209603.0
2011-11-16,2023,2023,1921,1950,11234,14810.0,6209603.0
2011-11-17,1950,2044,1863,2044,19379,15524.0,6209603.0
2011-11-18,2044,2044,1888,2028,18744,15400.0,6209603.0
2011-11-21,2027,2031,1938,1991,3667,15120.0,6209603.0
2011-11-22,1924,2019,1924,1926,14716,14624.0,6209603.0
2011-11-23,1958,1994,1823,1873,7190,14220.0,6209603.0
2011-11-24,1880,1945,1831,1836,11601,13941.0,6209603.0
2011-11-25,1880,1880,1757,1795,18046,13630.0,6209603.0
2011-11-28,1794,1839,1762,1771,16163,13444.0,6209603.0
2011-11-29,1782,1856,1716,1718,23956,13040.0,6209603.0
2011-11-30,1733,1733,1700,1733,13144,13164.0,6209603.0
2011-12-01,1757,1798,1716,1742,18040,13226.0,6209603.0
2011-12-02,1725,1778,1561,1733,12750,13164.0,6209603.0
2011-12-05,1733,1757,1680,1733,2606,13164.0,6209603.0
2011-12-06,1757,1941,1716,1759,228097,13351.0,6209603.0
2011-12-07,1765,1823,1741,1774,13228,13475.0,6209603.0
2011-12-08,1831,1831,1749,1779,29465,13506.0,6209603.0
2011-12-09,1794,1806,1716,1800,16561,13661.0,6209603.0
2011-12-12,1798,1863,1798,1856,19737,14096.0,6209603.0
2011-12-13,1856,1921,1806,1848,15112,14034.0,6209603.0
2011-12-14,1847,1933,1815,1909,8610,14499.0,6209603.0
2011-12-15,1839,1909,1790,1791,19480,13599.0,6209603.0
2011-12-16,1798,1880,1765,1774,9238,13475.0,6209603.0
2011-12-19,1798,1815,1634,1746,6689,13258.0,6209603.0
2011-12-20,1606,1790,1606,1652,80214,12543.0,6209603.0
2011-12-21,1700,1700,1634,1636,36079,12419.0,6209603.0
2011-12-22,1634,1651,1619,1640,14811,12450.0,6209603.0
2011-12-23,1667,1716,1619,1672,24856,12699.0,6209603.0
2011-12-26,1704,1704,1639,1701,13893,12916.0,6209603.0
2011-12-27,1692,1700,1639,1701,10364,12916.0,6209603.0
2011-12-28,1728,1728,1651,1701,4167,12916.0,6209603.0
2011-12-29,1737,1737,1655,1701,6904,12916.0,6209603.0
2012-01-02,1753,1835,1696,1836,24301,13941.0,6209603.0
2012-01-03,1831,1938,1831,1909,36136,14499.0,6209603.0
2012-01-04,1909,2084,1880,1996,68518,15151.0,6209603.0
2012-01-05,1994,2076,1970,2016,7731,15307.0,6209603.0
2012-01-06,2015,2015,1871,1897,16766,14406.0,6209603.0
2012-01-09,1897,1978,1839,1897,5559,14406.0,6209603.0
2012-01-10,1888,1970,1888,1962,15096,14903.0,6209603.0
2012-01-11,2003,2003,1892,1901,5775,14437.0,6209603.0
2012-01-12,1958,1958,1815,1918,7459,14562.0,6209603.0
2012-01-13,1953,1974,1876,1967,13945,14934.0,6209603.0
2012-01-16,1897,2003,1897,1950,4878,14810.0,6209603.0
2012-01-17,1950,2084,1897,2003,25700,15214.0,6209603.0
2012-01-18,2003,2076,1945,1996,3929,15151.0,6209603.0
2012-01-19,2027,2109,1958,1987,15008,15089.0,6209603.0
2012-01-20,2068,2068,1941,1950,1334,14810.0,6209603.0
2012-01-25,1950,2015,1917,1983,268,15058.0,6209603.0
2012-01-26,1991,2060,1945,2020,2384,15338.0,6209603.0
2012-01-27,1962,2040,1917,1942,21926,14748.0,6209603.0
2012-01-30,2027,2027,1884,1942,11544,14748.0,6209603.0
2012-01-31,2064,2064,1912,1971,954,14965.0,6209603.0
2012-02-01,2023,2023,1921,1922,4473,14593.0,6209603.0
2012-02-02,1921,1999,1667,1897,18607,14406.0,6209603.0
2012-02-03,1856,1929,1843,1914,2590,14530.0,6209603.0
2012-02-06,1912,1958,1839,1914,7999,14530.0,6209603.0
2012-02-07,1945,1945,1892,1930,51,14655.0,6209603.0
