옵티팜(153710),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-03-04,11700,12350,11550,12100,360484,172029.0,14217258.0
2019-03-05,12200,13000,12150,12650,649453,179848.0,14217258.0
2019-03-06,12850,12850,12250,12650,208003,179848.0,14217258.0
2019-03-07,12850,13250,11950,12350,486376,175583.0,14217258.0
2019-03-08,12250,12850,12100,12850,199356,182692.0,14217258.0
2019-03-11,13100,13700,12700,13250,616036,188379.0,14217258.0
2019-03-12,13400,14000,13200,14000,597122,199042.0,14217258.0
2019-03-13,14300,15000,13600,14000,1006074,199042.0,14217258.0
2019-03-14,13900,14450,13650,14200,324648,201885.0,14217258.0
2019-03-15,14450,15850,13850,14500,1428915,206150.0,14217258.0
2019-03-18,14550,15500,14200,15450,715022,219657.0,14217258.0
2019-03-19,15700,16000,13550,13900,820730,197620.0,14217258.0
2019-03-20,14000,14700,13350,14550,556262,206861.0,14217258.0
2019-03-21,14700,15450,14450,14900,712929,211837.0,14217258.0
2019-03-22,14700,15250,14450,15250,320032,216813.0,14217258.0
2019-03-25,15000,15250,11350,12850,1321155,182692.0,14217258.0
2019-03-26,13950,14700,12700,12750,1346559,181270.0,14217258.0
2019-03-27,12750,12750,11850,12050,526019,171318.0,14217258.0
2019-03-28,12200,12600,11600,12050,298610,171318.0,14217258.0
2019-03-29,11950,12400,11650,12050,252594,171318.0,14217258.0
2019-04-01,11850,12050,11400,11500,332421,163498.0,14217258.0
2019-04-02,11500,12500,11450,12300,383505,174872.0,14217258.0
2019-04-03,12400,12700,12150,12500,313758,177716.0,14217258.0
2019-04-04,12600,12800,12350,12650,266647,179848.0,14217258.0
2019-04-05,11900,12200,11550,11900,600114,169185.0,14217258.0
2019-04-08,12050,12100,11650,11650,189576,165631.0,14217258.0
2019-04-09,11650,12400,11550,12250,342022,174161.0,14217258.0
2019-04-10,12750,14000,12400,12500,1398321,177716.0,14217258.0
2019-04-11,12500,12800,12150,12450,227935,177005.0,14217258.0
2019-04-12,12450,12800,12400,12400,198309,176294.0,14217258.0
2019-04-15,12400,12550,12200,12400,183636,176294.0,14217258.0
2019-04-16,12350,12400,11800,11900,225170,169185.0,14217258.0
2019-04-17,12100,12250,11850,11850,173900,168475.0,14217258.0
2019-04-18,12000,12550,11750,12350,447367,175583.0,14217258.0
2019-04-19,12450,12550,12050,12050,260033,171318.0,14217258.0
2019-04-22,12150,12150,11900,12000,135060,170607.0,14217258.0
2019-04-23,12050,13200,11900,12750,1112972,181270.0,14217258.0
2019-04-24,12800,13100,12400,12550,507389,178427.0,14217258.0
2019-04-25,12650,13000,12500,12700,306895,182598.0,14377758.0
2019-04-26,12650,12900,12200,12200,284021,175409.0,14377758.0
2019-04-29,12150,12450,11900,12200,197160,175409.0,14377758.0
2019-04-30,12200,12250,11900,12050,202321,173252.0,14377758.0
2019-05-02,11950,12300,11800,12100,258903,173971.0,14377758.0
2019-05-03,11950,12150,11550,11700,322038,168220.0,14377758.0
2019-05-07,11400,11550,10750,10950,349318,157436.0,14377758.0
2019-05-08,10850,11100,10600,10600,181126,152404.0,14377758.0
2019-05-09,10600,10850,9910,9910,264782,142484.0,14377758.0
2019-05-10,9910,10300,9850,10050,243241,144496.0,14377758.0
2019-05-13,9940,10200,9610,9700,152370,139464.0,14377758.0
2019-05-14,9500,10600,9500,10050,310603,144496.0,14377758.0
2019-05-15,10150,10550,10050,10300,146547,148091.0,14377758.0
2019-05-16,10400,10600,9930,10000,163152,143778.0,14377758.0
2019-05-17,10100,10500,10100,10400,201315,149529.0,14377758.0
2019-05-20,10400,10750,10150,10250,158924,147372.0,14377758.0
2019-05-21,10250,10800,10250,10700,131587,153842.0,14377758.0
2019-05-22,10850,11150,10600,10900,157547,156718.0,14377758.0
2019-05-23,10950,11100,10700,10700,128388,153842.0,14377758.0
2019-05-24,10650,10950,10450,10700,103681,153842.0,14377758.0
2019-05-27,10900,11300,10700,10800,175568,155280.0,14377758.0
2019-05-28,10750,11100,10650,10900,110285,156718.0,14377758.0
2019-05-29,10900,10900,10500,10700,117652,153842.0,14377758.0
2019-05-30,10900,10950,10400,10600,111137,152404.0,14377758.0
2019-05-31,10850,11600,10700,11100,450141,159593.0,14377758.0
2019-06-03,11050,11800,11050,11350,381623,163188.0,14377758.0
2019-06-04,11300,11650,10850,11600,327008,166782.0,14377758.0
2019-06-05,11850,12200,11250,11300,857915,162469.0,14377758.0
2019-06-07,11350,11550,11000,11100,320441,159593.0,14377758.0
2019-06-10,11100,11300,10750,10750,186299,154561.0,14377758.0
2019-06-11,10700,11100,10550,11000,221931,158155.0,14377758.0
2019-06-12,11000,11200,10750,10950,144650,157436.0,14377758.0
2019-06-13,10950,11400,10900,11300,254593,162469.0,14377758.0
2019-06-14,11300,11600,11200,11400,196229,163906.0,14377758.0
2019-06-17,11350,11450,11050,11250,164378,161750.0,14377758.0
2019-06-18,11250,11450,11000,11100,204051,159593.0,14377758.0
2019-06-19,11100,11250,11000,11150,152844,160312.0,14377758.0
2019-06-20,11250,11600,11250,11300,189058,162469.0,14377758.0
2019-06-21,11300,11600,11200,11450,315712,164625.0,14377758.0
2019-06-24,11450,11450,11050,11300,149131,162469.0,14377758.0
2019-06-25,11300,11550,11150,11300,214312,162469.0,14377758.0
2019-06-26,11200,11350,11100,11150,85419,160312.0,14377758.0
2019-06-27,11150,11150,10450,10650,233259,153123.0,14377758.0
2019-06-28,10600,10850,10100,10750,215271,154561.0,14377758.0
2019-07-01,10650,10900,10600,10700,95660,153842.0,14377758.0
2019-07-02,10650,10650,10350,10550,77847,151685.0,14377758.0
2019-07-03,10450,10650,10350,10400,87851,149529.0,14377758.0
2019-07-04,10300,10500,10100,10200,98903,146653.0,14377758.0
2019-07-05,10100,10400,10100,10350,82015,148810.0,14377758.0
2019-07-08,10350,10500,9950,10000,115947,143778.0,14377758.0
2019-07-09,9860,10150,9770,9950,118207,143059.0,14377758.0
2019-07-10,9900,10250,9900,10250,71505,147372.0,14377758.0
2019-07-11,10250,10450,10100,10350,72244,148810.0,14377758.0
2019-07-12,10550,11050,10450,10750,224552,154561.0,14377758.0
2019-07-15,10800,10900,10550,10650,123848,153123.0,14377758.0
2019-07-16,10750,11200,10550,11200,294327,161031.0,14377758.0
2019-07-17,11600,11850,11050,11150,628897,160312.0,14377758.0
2019-07-18,10850,10900,10500,10850,258504,155999.0,14377758.0
2019-07-19,10700,10950,10550,10700,165442,153842.0,14377758.0
2019-07-22,10750,10850,10500,10700,117820,153842.0,14377758.0
2019-07-23,10650,10850,10450,10450,71366,150248.0,14377758.0
2019-07-24,10550,10550,10050,10050,103350,144496.0,14377758.0
2019-07-25,10100,10150,9900,9900,101390,142340.0,14377758.0
2019-07-26,9940,10250,9840,10000,90831,143778.0,14377758.0
2019-07-29,9990,10100,9210,9210,140825,132419.0,14377758.0
2019-07-30,9640,10800,9610,10550,357905,151685.0,14377758.0
2019-07-31,10650,11250,10150,11200,460064,161031.0,14377758.0
2019-08-01,11450,11600,10450,10800,448602,155280.0,14377758.0
2019-08-02,10650,11050,10300,10950,182405,157436.0,14377758.0
2019-08-05,11000,11050,9350,9380,386268,134863.0,14377758.0
2019-08-06,8920,9350,8100,8100,335096,116460.0,14377758.0
2019-08-07,8120,8410,8000,8180,257962,117610.0,14377758.0
2019-08-08,8240,8700,8240,8620,107747,123936.0,14377758.0
2019-08-09,8850,8850,8590,8630,64845,124080.0,14377758.0
2019-08-12,8560,8740,8520,8630,43272,124080.0,14377758.0
2019-08-13,8580,8650,8510,8630,38867,124080.0,14377758.0
2019-08-14,8700,8760,8570,8620,52203,123936.0,14377758.0
2019-08-16,8510,8510,8360,8390,70101,120629.0,14377758.0
2019-08-19,8350,8520,8310,8390,41472,120629.0,14377758.0
2019-08-20,8480,8630,8410,8630,41348,124080.0,14377758.0
2019-08-21,8630,9060,8580,8950,107650,128681.0,14377758.0
2019-08-22,8910,9170,8910,9000,71665,129400.0,14377758.0
2019-08-23,8950,9030,8820,8970,39412,128968.0,14377758.0
2019-08-26,8800,8800,8480,8550,51209,122930.0,14377758.0
2019-08-27,8570,8710,8470,8470,30099,121780.0,14377758.0
2019-08-28,8470,8790,8410,8780,126933,126237.0,14377758.0
2019-08-29,9690,11400,9100,9230,3169749,132707.0,14377758.0
2019-08-30,9280,9390,9030,9230,312864,132707.0,14377758.0
2019-09-02,9210,9420,9080,9320,169976,134001.0,14377758.0
2019-09-03,9230,9400,9160,9240,129460,132850.0,14377758.0
2019-09-04,9160,9340,9120,9320,98122,134001.0,14377758.0
2019-09-05,9320,9600,9230,9380,139128,134863.0,14377758.0
2019-09-06,9390,9440,9280,9340,64025,134288.0,14377758.0
2019-09-09,9340,9450,9300,9300,73808,133713.0,14377758.0
2019-09-10,9220,9320,9150,9160,62705,131700.0,14377758.0
2019-09-11,9280,9290,9160,9180,28696,131988.0,14377758.0
2019-09-16,9260,9340,9120,9300,47289,133713.0,14377758.0
2019-09-17,10200,11100,10100,10400,1215287,149529.0,14377758.0
2019-09-18,10900,10900,9740,9900,456393,142340.0,14377758.0
2019-09-19,9900,9990,9560,9610,153328,138170.0,14377758.0
2019-09-20,9720,10100,9500,9750,201667,140183.0,14377758.0
2019-09-23,9760,9850,9590,9680,61548,139177.0,14377758.0
2019-09-24,10050,10200,9710,10050,232076,144496.0,14377758.0
2019-09-25,10200,10350,9950,10000,166901,143778.0,14377758.0
2019-09-26,10150,10400,9980,10000,149950,143778.0,14377758.0
2019-09-27,10000,10300,9810,9870,115957,141908.0,14377758.0
2019-09-30,9750,10050,9740,9760,70182,140327.0,14377758.0
2019-10-01,9630,9760,9300,9520,141340,136876.0,14377758.0
2019-10-02,9440,9690,9440,9530,48727,137020.0,14377758.0
2019-10-04,9580,9810,9580,9680,85364,139177.0,14377758.0
2019-10-07,9730,9860,9650,9780,78980,,
