노바텍(285490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-03-12,19300,19650,19000,19200,33751,88835.0,4626800.0
2019-03-13,19400,19600,19200,19200,21797,88835.0,4626800.0
2019-03-14,19200,19600,19200,19250,19187,89066.0,4626800.0
2019-03-15,19250,19400,18700,18700,65840,86521.0,4626800.0
2019-03-18,18700,19900,18600,19550,75268,90454.0,4626800.0
2019-03-19,19800,20650,19500,20400,89672,94387.0,4626800.0
2019-03-20,20650,20700,20050,20200,43161,93461.0,4626800.0
2019-03-21,20200,20500,19800,19850,45528,91842.0,4626800.0
2019-03-22,20000,20500,19850,20000,43035,92536.0,4626800.0
2019-03-25,19750,19800,19100,19100,38038,88372.0,4626800.0
2019-03-26,19400,19500,18900,19000,18028,87909.0,4626800.0
2019-03-27,19000,19500,18800,18900,30320,87447.0,4626800.0
2019-03-28,19000,19000,17200,17800,114252,82357.0,4626800.0
2019-03-29,18000,18000,16950,17400,54672,80506.0,4626800.0
2019-04-01,17400,17750,17000,17700,34431,81894.0,4626800.0
2019-04-02,17800,18150,17550,17600,27726,81432.0,4626800.0
2019-04-03,17700,18100,17500,17900,28397,82820.0,4626800.0
2019-04-04,18000,18750,17850,18550,51797,85827.0,4626800.0
2019-04-05,18850,21850,18400,20450,567130,94618.0,4626800.0
2019-04-08,20600,21400,20000,20450,187128,94618.0,4626800.0
2019-04-09,20300,21300,19800,21000,214263,97163.0,4626800.0
2019-04-10,20900,21650,20450,20500,144500,94849.0,4626800.0
2019-04-11,20800,20850,20250,20500,66319,94849.0,4626800.0
2019-04-12,20550,20700,19850,20050,55173,92767.0,4626800.0
2019-04-15,20250,20850,20100,20350,66409,94155.0,4626800.0
2019-04-16,20700,20750,19750,20300,62524,93924.0,4626800.0
2019-04-17,20450,20550,20100,20200,33559,93461.0,4626800.0
2019-04-18,20350,20350,19600,19850,59038,91842.0,4626800.0
2019-04-19,19750,19900,19250,19400,75917,89760.0,4626800.0
2019-04-22,19400,19600,19350,19350,33981,89529.0,4626800.0
2019-04-23,19350,19450,18900,19300,25747,89297.0,4626800.0
2019-04-24,19350,19350,18650,18800,34002,86984.0,4626800.0
2019-04-25,18750,18850,18350,18400,22731,85133.0,4626800.0
2019-04-26,18300,18500,17850,17900,31773,82820.0,4626800.0
2019-04-29,17900,18200,17600,17850,40384,82588.0,4626800.0
2019-04-30,17900,18500,17900,18450,34364,85364.0,4626800.0
2019-05-02,18550,19050,18450,18750,34427,86752.0,4626800.0
2019-05-03,18750,18850,18350,18750,16490,86752.0,4626800.0
2019-05-07,18350,18550,17800,18000,33696,83282.0,4626800.0
2019-05-08,17750,18000,17450,17700,31911,81894.0,4626800.0
2019-05-09,17700,17900,16650,17100,36735,79118.0,4626800.0
2019-05-10,16900,17300,16550,17100,30656,79118.0,4626800.0
2019-05-13,16700,17050,16400,16400,19861,75880.0,4626800.0
2019-05-14,16300,16800,16000,16400,23008,75880.0,4626800.0
2019-05-15,16350,17100,16350,16900,25325,78193.0,4626800.0
2019-05-16,16650,16850,15950,16300,45912,75417.0,4626800.0
2019-05-17,16300,16600,16000,16100,26422,74491.0,4626800.0
2019-05-20,16100,16300,15300,15750,33471,72872.0,4626800.0
2019-05-21,15950,20450,15800,17800,1673136,82357.0,4626800.0
2019-05-22,18800,20200,18000,18500,773770,85596.0,4626800.0
2019-05-23,19500,19550,17900,18650,431162,86290.0,4626800.0
2019-05-24,18250,18700,17850,17900,150539,82820.0,4626800.0
2019-05-27,18000,18100,16700,16850,109856,77962.0,4626800.0
2019-05-28,16700,17300,16500,17300,84795,80044.0,4626800.0
2019-05-29,18000,22450,17800,22450,2012380,103872.0,4626800.0
2019-05-30,25800,26850,21200,21800,3677354,100864.0,4626800.0
2019-05-31,22400,22900,20800,22350,1128598,103409.0,4626800.0
2019-06-03,22500,29050,21550,29050,5341605,134409.0,4626800.0
2019-06-04,30050,31000,27600,29050,1862026,134409.0,4626800.0
2019-06-05,28000,28750,26750,26950,805799,124692.0,4626800.0
2019-06-07,27200,28800,25800,26000,846687,120297.0,4626800.0
2019-06-10,26050,27200,25600,26750,546922,123767.0,4626800.0
2019-06-11,26650,26650,25100,25100,333547,116133.0,4626800.0
2019-06-12,25500,27650,25000,27000,1513475,124924.0,4626800.0
2019-06-13,27000,27450,25750,26400,391415,122148.0,4626800.0
2019-06-14,26350,26400,23300,23850,527890,110349.0,4626800.0
2019-06-17,23700,24700,23000,24700,492511,114282.0,4626800.0
2019-06-18,25400,26200,23600,23600,495413,109192.0,4626800.0
2019-06-19,22500,22700,21700,21900,321090,101327.0,4626800.0
2019-06-20,21650,22400,21650,21800,128814,100864.0,4626800.0
2019-06-21,21750,21950,21000,21150,124732,97857.0,4626800.0
2019-06-24,21050,21200,20700,21050,95646,97394.0,4626800.0
2019-06-25,21150,21650,20800,21250,130919,98320.0,4626800.0
2019-06-26,21350,22200,18550,19000,503536,87909.0,4626800.0
2019-06-27,19100,19150,18200,18500,176340,85596.0,4626800.0
2019-06-28,18350,19300,18300,19050,216830,88141.0,4626800.0
2019-07-01,18300,19400,18100,18700,226924,86521.0,4626800.0
2019-07-02,18700,18900,18450,18800,72554,86984.0,4626800.0
2019-07-03,18750,20300,18650,19300,481405,89297.0,4626800.0
2019-07-04,19300,19600,18350,18850,137451,87215.0,4626800.0
2019-07-05,19000,19000,18500,18800,66589,86984.0,4626800.0
2019-07-08,19050,19300,18050,18200,98049,84208.0,4626800.0
2019-07-09,18100,18400,17300,17350,102054,80275.0,4626800.0
2019-07-10,17350,18100,17350,18000,69458,83282.0,4626800.0
2019-07-11,18000,18450,18000,18350,36957,84902.0,4626800.0
2019-07-12,18600,18600,18050,18300,47225,84670.0,4626800.0
2019-07-15,18400,18400,17700,18000,33255,83282.0,4626800.0
2019-07-16,17750,18600,17700,18200,58952,84208.0,4626800.0
2019-07-17,18300,18300,17350,17800,55537,82357.0,4626800.0
2019-07-18,17750,18400,17550,18400,58924,85133.0,4626800.0
2019-07-19,19600,20700,18250,18250,456381,84439.0,4626800.0
2019-07-22,18400,19900,18400,19050,293026,88141.0,4626800.0
2019-07-23,18950,19450,18700,19450,106898,89991.0,4626800.0
2019-07-24,19450,19550,18700,18700,93617,86521.0,4626800.0
2019-07-25,18650,18900,17700,18150,80570,83976.0,4626800.0
2019-07-26,18050,18050,17350,17450,81225,80738.0,4626800.0
2019-07-29,17500,17650,16300,16300,94695,75417.0,4626800.0
2019-07-30,16000,16950,16000,16750,47055,77499.0,4626800.0
2019-07-31,16750,17100,15850,17050,38932,78887.0,4626800.0
2019-08-01,16700,17000,16150,16200,56335,74954.0,4626800.0
2019-08-02,16150,18900,16100,17900,624513,82820.0,4626800.0
2019-08-05,18000,18700,17600,18500,308760,85596.0,4626800.0
2019-08-06,18100,18950,16800,17800,247156,82357.0,4626800.0
2019-08-07,18200,18650,17950,18200,232992,84208.0,4626800.0
2019-08-08,18750,19500,18400,19050,384574,88141.0,4626800.0
2019-08-09,22750,22750,20450,21350,1031835,98782.0,4626800.0
2019-08-12,22450,22750,20300,21000,624401,97163.0,4626800.0
2019-08-13,20650,20850,19850,20100,179784,92999.0,4626800.0
2019-08-14,19050,19100,17500,17600,310829,81432.0,4626800.0
2019-08-16,17150,17850,17000,17300,92509,80044.0,4626800.0
2019-08-19,17300,17500,16850,17000,72514,78656.0,4626800.0
2019-08-20,17000,17250,16750,17250,53207,86109.0,4991804.0
2019-08-21,17200,17450,17100,17300,38235,86358.0,4991804.0
2019-08-22,17300,17300,16650,16900,61229,84361.0,4991804.0
2019-08-23,17050,17550,16750,17300,65625,86358.0,4991804.0
2019-08-26,18600,19400,17650,18300,434652,91350.0,4991804.0
2019-08-27,17550,17700,17250,17550,110290,87606.0,4991804.0
2019-08-28,17350,17550,17100,17350,61710,86608.0,4991804.0
2019-08-29,17550,18450,17400,18050,197920,90102.0,4991804.0
2019-08-30,17400,17650,17150,17600,86249,87856.0,4991804.0
2019-09-02,17600,17750,17300,17500,51711,87357.0,4991804.0
2019-09-03,17600,17600,17150,17250,54361,86109.0,4991804.0
2019-09-04,17300,17350,16850,16950,69996,84611.0,4991804.0
2019-09-05,16950,17100,16800,16900,66484,84361.0,4991804.0
2019-09-06,16850,17250,16700,16700,64555,83363.0,4991804.0
2019-09-09,16600,16850,16250,16250,84455,81117.0,4991804.0
2019-09-10,16550,16750,16350,16400,51716,81866.0,4991804.0
2019-09-11,16350,16700,16300,16600,40428,82864.0,4991804.0
2019-09-16,16600,16950,16500,16650,31196,83114.0,4991804.0
2019-09-17,16750,16900,16550,16650,31248,83114.0,4991804.0
2019-09-18,16600,16800,16550,16600,38294,82864.0,4991804.0
2019-09-19,16700,16700,16450,16450,37041,82115.0,4991804.0
2019-09-20,16400,16750,16400,16650,26422,83114.0,4991804.0
2019-09-23,16700,17000,16450,16950,48870,84611.0,4991804.0
2019-09-24,17150,17300,16600,16750,78875,83613.0,4991804.0
2019-09-25,16700,16700,16200,16250,33900,81117.0,4991804.0
2019-09-26,16300,16450,16100,16100,20904,80368.0,4991804.0
2019-09-27,16000,16550,16000,16400,24854,81866.0,4991804.0
2019-09-30,16200,16400,15950,16050,30664,80118.0,4991804.0
2019-10-01,15950,16750,15950,16400,44659,81866.0,4991804.0
2019-10-02,16100,16500,16100,16150,17505,80618.0,4991804.0
2019-10-04,16200,16350,15650,15800,28360,78871.0,4991804.0
2019-10-07,15900,16000,15350,15400,39949,76874.0,4991804.0
