헬릭스미스(084990),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-03-02,14525,14908,13644,13722,1088436,171546.0,9583550.0
2006-03-03,13375,13950,12877,13185,805361,164837.0,9583550.0
2006-03-06,13183,13873,12800,13453,959966,168191.0,9583550.0
2006-03-07,13107,13413,12455,12572,678714,157170.0,9583550.0
2006-03-08,12302,12877,11880,12533,530669,156691.0,9583550.0
2006-03-09,12915,13528,12762,13300,1106876,166275.0,9583550.0
2006-03-10,13413,13452,12877,13031,470198,162920.0,9583550.0
2006-03-13,13145,13797,12915,13798,791383,172504.0,9583550.0
2006-03-14,13797,13873,13068,13338,495520,166754.0,9583550.0
2006-03-15,13489,13528,12646,12648,402679,158129.0,9583550.0
2006-03-16,12455,12800,12148,12456,375255,155733.0,9583550.0
2006-03-17,12264,12724,12225,12265,284556,153337.0,9583550.0
2006-03-20,12264,12608,11995,11996,291986,149983.0,9583550.0
2006-03-21,12877,13489,12493,12495,941307,156212.0,9583550.0
2006-03-22,12493,12532,11803,11805,376033,147587.0,9583550.0
2006-03-23,11957,12110,11343,11652,435150,145670.0,9583550.0
2006-03-24,11535,11650,10807,11038,368385,138054.0,9587050.0
2006-03-27,11037,11343,10807,10808,209765,135177.0,9587050.0
2006-03-28,10730,10845,10347,10502,259414,131343.0,9587050.0
2006-03-29,10271,10730,10232,10502,192759,131343.0,9587050.0
2006-03-30,10654,11075,10500,10847,218863,135657.0,9587050.0
2006-03-31,11037,11037,10845,10962,187057,137095.0,9587050.0
2006-04-03,11114,11305,11037,11230,249180,140450.0,9587050.0
2006-04-04,11152,11459,11037,11115,151386,139012.0,9587050.0
2006-04-05,11229,11266,10769,10885,200541,136136.0,9587050.0
2006-04-06,10999,11075,10616,10693,216872,133739.0,9587050.0
2006-04-07,10730,10960,10616,10693,153032,133739.0,9587050.0
2006-04-10,10538,11190,10538,10885,263078,136725.0,9628550.0
2006-04-11,10999,11075,10807,11038,149646,138651.0,9628550.0
2006-04-12,11114,11842,10960,11536,422703,144910.0,9628550.0
2006-04-13,11535,11688,11266,11613,187464,145873.0,9628550.0
2006-04-14,11574,11765,11305,11345,212256,142503.0,9628550.0
2006-04-17,11266,11727,11152,11498,219399,144428.0,9628550.0
2006-04-18,11535,11535,11190,11230,137573,141058.0,9628550.0
2006-04-19,11497,12532,11343,11958,678519,150205.0,9628550.0
2006-04-20,11957,12033,11421,11421,190852,143465.0,9628550.0
2006-04-21,11574,11612,11266,11345,149876,142503.0,9628550.0
2006-04-24,11305,11727,11114,11728,204771,147317.0,9628550.0
2006-04-25,11612,11803,10960,11038,186761,138651.0,9628550.0
2006-04-26,11075,11229,10577,10616,214972,133355.0,9628550.0
2006-04-27,10730,10960,10654,10655,126664,133837.0,9628550.0
2006-04-28,10538,10730,10347,10616,157189,133355.0,9628550.0
2006-05-02,10616,11421,10616,10962,302301,137688.0,9628550.0
2006-05-03,11152,11152,10500,10579,137193,132874.0,9628550.0
2006-05-04,10884,11574,10769,11498,436087,144428.0,9628550.0
2006-05-08,11727,11842,10769,11652,474083,146354.0,9628550.0
2006-05-09,11497,11497,11075,11076,155453,139133.0,9628550.0
2006-05-10,11075,11114,10730,10731,136112,134800.0,9628550.0
2006-05-11,11650,12341,11574,12341,824955,155020.0,9628550.0
2006-05-12,12646,12838,11842,12456,1379906,156464.0,9628550.0
2006-05-15,12417,13375,12148,12610,1090974,158390.0,9628550.0
2006-05-16,14487,14487,14180,14487,1461523,181980.0,9628550.0
2006-05-17,14487,16595,13989,15254,2673132,191608.0,9628550.0
2006-05-18,14487,17361,14487,15216,2612514,191127.0,9628550.0
2006-05-19,15675,16019,14487,15254,1035421,191608.0,9628550.0
2006-05-22,15406,15483,12991,12993,1236455,163204.0,9628550.0
2006-05-23,12455,13336,12417,12801,943888,160797.0,9628550.0
2006-05-24,12762,13989,12646,12993,1356782,163204.0,9628550.0
2006-05-25,13222,13336,11152,11269,654600,141540.0,9628550.0
2006-05-26,11612,12033,11075,11269,562634,141540.0,9628550.0
2006-05-29,11574,12302,11497,11958,792336,150205.0,9628550.0
2006-05-30,12148,13183,11190,12418,1370787,155983.0,9628550.0
2006-06-01,12110,12646,11497,11498,628554,144428.0,9628550.0
2006-06-02,11842,11880,10960,11115,390695,139614.0,9628550.0
2006-06-05,11114,11382,10769,10771,285432,135281.0,9628550.0
2006-06-07,10424,10538,9351,9544,403705,119875.0,9628550.0
2006-06-08,9542,10002,9197,9582,344037,120357.0,9628550.0
2006-06-09,9887,10194,9734,10042,292971,126134.0,9628550.0
2006-06-12,9926,10271,9657,10080,166958,126615.0,9628550.0
2006-06-13,9810,10385,9657,10042,240026,126134.0,9628550.0
2006-06-14,9963,10577,9963,10463,235329,131430.0,9628550.0
2006-06-15,10616,10960,10500,10885,317856,136725.0,9628550.0
2006-06-16,11114,11190,10654,10771,247321,135281.0,9628550.0
2006-06-19,10769,10769,10079,10080,170972,126615.0,9628550.0
2006-06-20,10500,10769,10079,10157,414348,127578.0,9628550.0
2006-06-21,10194,10347,9849,10234,197768,128541.0,9628550.0
2006-06-22,10500,10692,10002,10004,213531,125653.0,9628550.0
2006-06-23,9810,10040,9734,9850,137177,123727.0,9628550.0
2006-06-26,10040,10271,9810,9888,169233,124208.0,9628550.0
2006-06-27,9926,10155,9887,10118,141761,127097.0,9628550.0
2006-06-28,9887,10079,9695,9850,155490,123727.0,9628550.0
2006-06-29,10040,10577,9963,10579,349681,132874.0,9628550.0
2006-06-30,10807,10807,10424,10731,228779,134800.0,9628550.0
2006-07-03,10730,10921,10577,10693,156432,134318.0,9628550.0
2006-07-04,10884,12186,10692,11766,969550,147798.0,9628550.0
2006-07-05,11343,11650,11075,11345,521152,142503.0,9628550.0
2006-07-06,11343,11842,10960,10962,505377,137688.0,9628550.0
2006-07-07,10960,11152,10730,10808,248152,135763.0,9628550.0
2006-07-10,10577,10960,10424,10962,230501,137688.0,9628550.0
2006-07-11,10884,10960,10730,10731,166883,134800.0,9628550.0
2006-07-12,10769,11229,10769,11230,257936,141058.0,9628550.0
2006-07-13,11114,11535,10769,10885,248505,136725.0,9628550.0
2006-07-14,10654,11305,10538,11153,529107,140095.0,9628550.0
2006-07-18,11190,11842,11037,11307,442947,142021.0,9628550.0
2006-07-19,11459,11995,11343,11345,517821,142503.0,9628550.0
2006-07-20,11535,11919,11343,11919,383568,149724.0,9628550.0
2006-07-21,11765,11957,11497,11498,270034,144428.0,9628550.0
2006-07-24,11382,11382,10884,11269,253707,141540.0,9628550.0
2006-07-25,11497,11535,11075,11383,209165,142984.0,9628550.0
2006-07-26,11497,11842,11343,11766,317369,147798.0,9628550.0
2006-07-27,11842,11957,11612,11728,212776,147317.0,9628550.0
2006-07-28,11650,12302,11650,12150,425113,152613.0,9628550.0
2006-07-31,12264,12341,12033,12303,202027,154538.0,9628550.0
2006-08-01,12186,12302,11919,11958,327183,150205.0,9628550.0
2006-08-02,11842,12072,11803,11843,141406,148761.0,9628550.0
2006-08-03,11803,12072,11688,11728,190605,147317.0,9628550.0
2006-08-04,11688,11803,11421,11498,222405,144428.0,9628550.0
2006-08-07,11497,11803,11421,11498,179585,144428.0,9628550.0
2006-08-08,11574,11688,11382,11574,158234,145391.0,9628550.0
2006-08-09,11497,11765,11421,11766,142963,147798.0,9628550.0
2006-08-10,11919,12225,11765,12111,258028,152131.0,9628550.0
2006-08-11,12186,12302,11919,12111,182630,152131.0,9628550.0
2006-08-14,12341,12417,12033,12111,181921,152131.0,9628550.0
2006-08-16,12186,12225,11152,11345,253381,142503.0,9628550.0
2006-08-17,11421,12915,11266,11690,893652,146835.0,9628550.0
2006-08-18,11765,12532,11535,12265,365333,154057.0,9628550.0
2006-08-21,12953,14103,12686,13567,1623855,170425.0,9628550.0
2006-08-22,13260,13950,12953,13951,591504,175240.0,9628550.0
2006-08-23,14026,14180,13605,13722,533468,172351.0,9628550.0
2006-08-24,13567,13758,12838,13031,399045,163685.0,9628550.0
2006-08-25,13183,13681,13030,13261,532977,166574.0,9628550.0
2006-08-28,13183,13260,12417,12418,349437,155983.0,9628550.0
2006-08-29,12532,12953,12417,12878,379090,161760.0,9628550.0
2006-08-30,12877,13222,12686,12724,350519,159834.0,9628550.0
2006-08-31,12800,13107,12646,12763,244295,160315.0,9628550.0
2006-09-01,12877,13605,12838,13567,561201,170425.0,9628550.0
2006-09-04,13720,13835,13298,13644,534653,171388.0,9628550.0
2006-09-05,13489,13528,13145,13377,379435,168018.0,9628550.0
2006-09-06,13375,13605,13107,13108,367799,164648.0,9628550.0
2006-09-07,13030,13489,12953,13377,417367,168018.0,9628550.0
2006-09-08,13222,13336,13030,13146,308940,165130.0,9628550.0
2006-09-11,13145,13183,12493,12495,329963,156945.0,9628550.0
2006-09-12,12570,12838,12378,12572,299017,159169.0,9705450.0
2006-09-13,12608,12724,12148,12188,181353,154317.0,9705450.0
2006-09-14,12110,12417,12033,12188,220763,154317.0,9705450.0
2006-09-15,12225,12724,12148,12724,369986,161110.0,9705450.0
2006-09-18,13107,13413,12646,12724,712141,161110.0,9705450.0
2006-09-19,12762,12915,12570,12801,183705,162081.0,9705450.0
2006-09-20,12724,13183,12646,12763,315934,161596.0,9705450.0
2006-09-21,12953,13145,12800,13108,211251,165963.0,9705450.0
2006-09-22,13068,13107,12341,12495,224131,158199.0,9705450.0
2006-09-25,12264,12493,12225,12227,174605,154802.0,9705450.0
2006-09-26,12378,12532,12148,12227,153785,154802.0,9705450.0
2006-09-27,12302,12493,12225,12418,113271,157228.0,9705450.0
2006-09-28,12532,12838,12455,12610,185954,159655.0,9705450.0
2006-09-29,12800,13030,12608,12878,184518,163052.0,9705450.0
2006-10-02,12915,12991,12570,12572,116543,159169.0,9705450.0
2006-10-04,12417,12493,11919,11919,175320,150920.0,9705450.0
2006-10-09,11957,12072,10155,10157,522245,128597.0,9705450.0
2006-10-10,10040,11305,10002,10885,290227,137817.0,9705450.0
2006-10-11,10616,11037,10424,10808,127587,136847.0,9705450.0
2006-10-12,10730,11229,10730,10924,112788,138303.0,9705450.0
2006-10-13,11152,11305,10960,10962,126203,138788.0,9705450.0
2006-10-16,11190,11343,10960,11115,165052,140729.0,9705450.0
2006-10-17,11114,11459,10692,11460,169242,145096.0,9705450.0
2006-10-18,11727,12724,11650,12533,744797,158684.0,9705450.0
2006-10-19,12608,13030,12225,12572,394555,159169.0,9705450.0
2006-10-20,12724,13183,11957,11996,941830,151890.0,9705450.0
2006-10-23,12072,12186,11765,11996,203916,151890.0,9705450.0
2006-10-24,12148,12532,11880,12035,558512,152376.0,9705450.0
2006-10-25,11995,12341,11919,11958,184302,151405.0,9705450.0
2006-10-26,11957,12341,11880,12150,258654,153831.0,9705450.0
2006-10-27,12264,12302,11919,12150,200485,153831.0,9705450.0
2006-10-30,12186,12264,11880,12074,280620,152861.0,9705450.0
2006-10-31,12186,13068,12148,13031,761421,164993.0,9705450.0
2006-11-01,13030,13298,12762,13300,940579,168390.0,9705450.0
2006-11-02,13107,13107,12800,12917,347399,163537.0,9705450.0
2006-11-03,12877,12915,12493,12763,282317,161596.0,9705450.0
2006-11-06,12838,13489,12608,12648,1552619,160206.0,9709450.0
2006-11-07,12646,12762,12186,12341,459201,156322.0,9709450.0
2006-11-08,12417,12493,12072,12074,361169,152924.0,9709450.0
2006-11-09,12264,12341,11919,12188,340046,154380.0,9709450.0
2006-11-10,12186,12186,11842,11882,281152,150496.0,9709450.0
2006-11-13,11919,12033,11688,11690,288259,148069.0,9709450.0
2006-11-14,11650,12148,11497,12111,449187,153409.0,9709450.0
2006-11-15,12186,12186,11842,11919,166382,150982.0,9709450.0
2006-11-16,11957,12033,11650,11690,267660,148069.0,9709450.0
2006-11-17,11688,12033,11612,11805,164550,149526.0,9709450.0
2006-11-20,11765,11803,11343,11383,336109,144185.0,9709450.0
2006-11-21,11382,11459,11037,11230,230957,142243.0,9709450.0
2006-11-22,11229,11343,11152,11230,192913,142243.0,9709450.0
2006-11-23,11650,11688,11305,11307,366491,143214.0,9709450.0
2006-11-24,11305,11688,11152,11460,236337,145156.0,9709450.0
2006-11-27,11535,11688,11421,11498,177399,145642.0,9709450.0
2006-11-28,11266,11266,11037,11153,174256,141272.0,9709450.0
2006-11-29,11152,11266,11037,11038,118007,139816.0,9709450.0
2006-11-30,11114,11305,11037,11076,123138,140302.0,9709450.0
2006-12-01,11229,11229,10960,11038,120520,139816.0,9709450.0
2006-12-04,10960,11152,10884,11153,100941,141272.0,9709450.0
2006-12-05,11190,11190,10921,11115,96262,140787.0,9709450.0
2006-12-06,11114,11535,10999,11000,228242,139331.0,9709450.0
2006-12-07,11114,11152,10960,11000,93775,139331.0,9709450.0
2006-12-08,10999,11075,10616,10616,151494,134476.0,9709450.0
2006-12-11,10577,10884,10500,10693,118768,135447.0,9709450.0
2006-12-12,10692,10769,10232,10387,124493,131563.0,9709450.0
2006-12-13,10309,10730,10194,10502,136658,133019.0,9709450.0
2006-12-14,10462,10692,10424,10579,92338,133990.0,9709450.0
2006-12-15,10577,10884,10577,10655,114986,134961.0,9709450.0
2006-12-18,10884,11075,10654,10693,211526,135447.0,9709450.0
2006-12-19,10692,10730,10385,10425,135165,132049.0,9709450.0
2006-12-20,10500,10500,10271,10349,156008,131078.0,9709450.0
2006-12-21,10347,10347,10079,10118,160034,128165.0,9709450.0
2006-12-22,10117,10194,9887,9927,110575,125737.0,9709450.0
2006-12-26,9810,9963,9351,9390,264969,118941.0,9709450.0
2006-12-27,9427,9581,9082,9505,175827,120397.0,9709450.0
2006-12-28,9542,9887,9427,9659,201147,122339.0,9709450.0
2007-01-02,9695,10040,9657,9927,149361,125737.0,9709450.0
2007-01-03,9926,10347,9734,9850,263369,124766.0,9709450.0
2007-01-04,9849,9926,9618,9735,99710,123310.0,9709450.0
2007-01-05,9734,9887,9235,9582,146639,121368.0,9709450.0
2007-01-08,9427,9657,9427,9467,66710,119912.0,9709450.0
2007-01-09,9504,9773,9313,9696,97067,122825.0,9709450.0
2007-01-10,9657,9773,9427,9428,98008,119426.0,9709450.0
2007-01-11,9581,9618,9427,9544,88050,120883.0,9709450.0
2007-01-12,9657,9657,9465,9505,86061,120397.0,9709450.0
2007-01-15,9542,9887,9504,9812,97624,124281.0,9709450.0
2007-01-16,9810,10117,9734,10042,147011,127194.0,9709450.0
2007-01-17,10117,10117,9618,9620,89146,121854.0,9709450.0
2007-01-18,9581,9926,9581,9735,132362,123310.0,9709450.0
2007-01-19,9581,9618,9235,9237,110704,116999.0,9709450.0
2007-01-22,9235,9235,7894,7972,556625,100978.0,9709450.0
2007-01-23,7970,8162,7664,7703,210238,97580.0,9709450.0
2007-01-24,7741,7856,7358,7398,303526,93696.0,9709450.0
2007-01-25,7464,7633,7419,7567,151433,95832.0,9709450.0
2007-01-26,7442,7549,7380,7382,103197,93502.0,9709450.0
2007-01-29,7380,7618,7380,7436,114733,94182.0,9709450.0
2007-01-30,7419,7542,7327,7436,80178,94182.0,9709450.0
2007-01-31,7496,7641,7426,7466,74002,94570.0,9709450.0
2007-02-01,7472,7564,7388,7458,93309,94473.0,9709450.0
2007-02-02,7472,7741,7457,7643,156634,96803.0,9709450.0
2007-02-05,7664,8048,7641,7819,240445,99036.0,9709450.0
2007-02-06,7894,7894,7519,7651,146793,96900.0,9709450.0
2007-02-07,7664,7703,7503,7550,66792,95638.0,9709450.0
2007-02-08,7496,7626,7457,7474,81434,94667.0,9709450.0
2007-02-09,7450,7549,7434,7482,45965,94764.0,9709450.0
2007-02-12,7450,7450,6958,7067,202917,89521.0,9709450.0
2007-02-13,7089,7089,6859,7021,131588,88939.0,9709450.0
2007-02-14,7028,7564,7005,7229,453538,91560.0,9709450.0
2007-02-15,7281,7327,7105,7206,148759,91269.0,9709450.0
2007-02-16,7266,7266,6936,6961,103660,88162.0,9709450.0
2007-02-20,7012,7970,6890,7972,206006,100978.0,9709450.0
2007-02-21,8278,8354,7856,8048,585310,101949.0,9709450.0
2007-02-22,8201,8239,7856,8125,213912,102920.0,9709450.0
2007-02-23,8124,8852,7894,8356,549637,105833.0,9709450.0
2007-02-26,8201,8392,7817,7972,176373,100978.0,9709450.0
2007-02-27,7970,8086,7664,7665,170359,97094.0,9709450.0
2007-02-28,7204,7388,7059,7344,160549,93017.0,9709450.0
2007-03-02,7358,8430,7358,8432,401582,106804.0,9709450.0
2007-03-05,8737,8929,8086,8164,579146,103406.0,9709450.0
2007-03-06,8162,9273,8048,8930,1120861,113115.0,9709450.0
2007-03-07,9273,9351,8661,8854,444602,112144.0,9709450.0
2007-03-08,8775,9044,8661,8777,380771,111173.0,9709450.0
2007-03-09,8737,8814,8278,8279,339496,104862.0,9709450.0
2007-03-12,8392,8430,8048,8394,248614,106318.0,9709450.0
2007-03-13,8392,8699,8162,8164,301648,103406.0,9709450.0
2007-03-14,8048,8661,7932,8662,351337,109717.0,9709450.0
2007-03-15,8737,9044,8507,8892,356383,112630.0,9709450.0
2007-03-16,8968,9082,8775,8892,264985,112630.0,9709450.0
2007-03-19,9006,9197,8814,9045,266153,114572.0,9709450.0
2007-03-20,9082,9504,8968,9160,382908,116028.0,9709450.0
2007-03-21,9235,9351,8814,8815,247302,111659.0,9709450.0
2007-03-22,8891,8968,8775,8854,137011,112144.0,9709450.0
2007-03-23,8968,9427,8891,8968,438716,113601.0,9709450.0
2007-03-26,9044,9197,8968,9045,141987,114572.0,9709450.0
2007-03-27,9197,9197,8775,8815,156369,111659.0,9709450.0
2007-03-28,8737,8891,8507,8585,114891,108746.0,9709450.0
2007-03-29,8584,8775,8584,8662,68985,109717.0,9709450.0
2007-03-30,8584,8929,8392,8739,157031,110688.0,9709450.0
2007-04-02,8737,8814,8623,8623,104354,109231.0,9709450.0
2007-04-03,8584,8661,8162,8317,171470,105348.0,9709450.0
2007-04-04,8239,8430,8239,8356,115391,105833.0,9709450.0
2007-04-05,8354,8430,8239,8432,84779,106804.0,9709450.0
2007-04-06,8507,8814,8470,8547,215587,108260.0,9709450.0
2007-04-09,8546,8584,8201,8317,125655,105348.0,9709450.0
2007-04-10,8315,8584,8239,8432,102977,106804.0,9709450.0
2007-04-11,8546,8584,8392,8470,66498,107289.0,9709450.0
2007-04-12,8546,9159,8470,8892,265118,112630.0,9709450.0
2007-04-13,8814,8968,8737,8854,137497,112144.0,9709450.0
2007-04-16,8891,8929,8737,8815,81011,111659.0,9709450.0
2007-04-17,8891,8929,8584,8623,114574,109231.0,9709450.0
2007-04-18,8470,8699,8392,8509,116177,107775.0,9709450.0
2007-04-19,8507,8699,8392,8701,136106,110202.0,9709450.0
2007-04-20,8775,9197,8699,8854,240123,112837.0,9769450.0
2007-04-23,8891,8968,8699,8701,78658,110883.0,9769450.0
2007-04-24,8737,8852,8470,8585,82795,109418.0,9769450.0
2007-04-25,8507,8584,8315,8394,80131,106975.0,9769450.0
2007-04-26,8430,8623,8315,8547,89096,108929.0,9769450.0
2007-04-27,8584,8623,8354,8432,75413,107464.0,9769450.0
2007-04-30,8546,8623,8392,8432,53286,107464.0,9769450.0
2007-05-02,8470,8699,8392,8394,166445,107370.0,9805450.0
2007-05-03,8507,8661,8392,8623,116903,110311.0,9805450.0
2007-05-04,8699,9006,8699,8854,257394,113253.0,9805450.0
2007-05-07,8891,8968,8737,8892,100132,113743.0,9805450.0
2007-05-08,8968,9120,8775,8892,128339,113743.0,9805450.0
2007-05-09,8891,9313,8814,9314,358883,119136.0,9805450.0
2007-05-10,9389,9926,9273,9659,386864,123549.0,9805450.0
2007-05-11,9581,10654,9504,10118,521306,129432.0,9805450.0
2007-05-14,10309,10385,9773,9888,223797,126490.0,9805450.0
2007-05-15,9887,10040,9542,9544,167180,122078.0,9805450.0
2007-05-16,9465,9887,9465,9735,108033,124529.0,9805450.0
2007-05-17,9849,10155,9504,9659,133789,123549.0,9805450.0
2007-05-18,9465,9773,9389,9582,122445,122568.0,9805450.0
2007-05-21,9581,9810,8852,8892,255697,113743.0,9805450.0
2007-05-22,8891,9197,8775,8815,153349,112763.0,9805450.0
2007-05-23,8852,9044,8737,8815,132984,112763.0,9805450.0
2007-05-25,8814,9159,8737,9006,144638,115214.0,9805450.0
2007-05-28,9159,9351,8929,9006,109064,115214.0,9805450.0
2007-05-29,9120,9159,8929,9045,89377,115704.0,9805450.0
2007-05-30,9044,9159,8737,8854,892841,113253.0,9805450.0
2007-05-31,9120,9235,8546,8623,457281,110311.0,9805450.0
2007-06-01,8584,8699,7933,7972,405269,101977.0,9805450.0
2007-06-04,8009,8201,7664,8011,138066,102467.0,9805450.0
2007-06-05,8009,8048,7633,7742,236071,99035.0,9805450.0
2007-06-07,7656,7933,7618,7934,138424,101486.0,9805450.0
2007-06-08,7817,8201,7779,7857,172572,100506.0,9805450.0
2007-06-11,8009,8507,7894,8087,370752,103447.0,9805450.0
2007-06-12,8086,8086,7894,7972,83782,101977.0,9805450.0
2007-06-13,7856,8124,7856,8048,109656,102957.0,9805450.0
2007-06-14,8124,8315,8048,8164,160900,104428.0,9805450.0
2007-06-15,8278,8278,7970,8125,139394,103938.0,9805450.0
2007-06-18,8201,8315,7933,8087,233588,103447.0,9805450.0
2007-06-19,8009,8048,7779,7819,161802,100016.0,9805450.0
2007-06-20,7817,8009,7741,7780,178571,99525.0,9805450.0
2007-06-21,7817,7894,7656,7780,118414,99525.0,9805450.0
2007-06-22,7856,8009,7703,7819,136237,100016.0,9805450.0
2007-06-25,7856,7970,7703,7780,89495,99525.0,9805450.0
2007-06-26,7817,7856,7358,7436,184807,95113.0,9805450.0
2007-06-27,7511,8048,7197,7474,371719,95603.0,9805450.0
2007-06-28,7588,7741,7472,7635,73791,97662.0,9805450.0
2007-06-29,7741,7779,7587,7643,73317,97760.0,9805450.0
2007-07-02,7595,7641,7404,7450,89533,95309.0,9805450.0
2007-07-03,7472,7618,7472,7581,53229,96976.0,9805450.0
2007-07-04,7633,7970,7633,7857,199266,100506.0,9805450.0
2007-07-05,8048,8162,7894,7895,206699,100996.0,9805450.0
2007-07-06,7970,8009,7664,7857,98054,100506.0,9805450.0
2007-07-09,7779,7779,7633,7703,77170,98545.0,9805450.0
2007-07-10,7703,7703,7588,7627,45698,97564.0,9805450.0
2007-07-11,7626,7626,7519,7520,75036,96191.0,9805450.0
2007-07-12,7556,7603,7426,7436,85387,95113.0,9805450.0
2007-07-13,7472,7603,7235,7336,123930,93838.0,9805450.0
2007-07-16,7303,7388,7243,7251,57333,92760.0,9805450.0
2007-07-18,7211,7442,7211,7320,68558,93642.0,9805450.0
2007-07-19,7358,7404,7266,7328,28361,93740.0,9805450.0
2007-07-20,7243,7358,7197,7221,75261,92367.0,9805450.0
2007-07-23,7296,7457,7219,7328,73788,93740.0,9805450.0
2007-07-24,7342,7534,7289,7474,113002,95603.0,9805450.0
2007-07-25,7472,7856,7472,7558,149850,96682.0,9805450.0
2007-07-26,7648,8661,7556,8394,1037116,107370.0,9805450.0
2007-07-27,8048,8699,7741,8356,366111,106879.0,9805450.0
2007-07-30,8507,8699,8086,8547,256094,109331.0,9805450.0
2007-07-31,8507,8623,8124,8394,131886,107370.0,9805450.0
2007-08-01,8162,8315,7603,7780,185922,99525.0,9805450.0
2007-08-02,7856,7932,7472,7589,93673,97074.0,9805450.0
2007-08-03,8086,8470,7933,7934,202977,101486.0,9805450.0
2007-08-06,7779,8048,7664,8048,47796,102957.0,9805450.0
2007-08-07,8086,8124,7741,7780,94081,99525.0,9805450.0
2007-08-08,7779,7933,7626,7819,85382,100016.0,9805450.0
2007-08-09,7933,7933,7648,7651,77274,97858.0,9805450.0
2007-08-10,7549,7648,7480,7651,75642,97858.0,9805450.0
2007-08-13,7741,7779,7556,7558,49099,104507.0,10599101.0
2007-08-14,7556,7556,7311,7412,82583,102493.0,10599101.0
2007-08-16,7059,7166,6744,6822,110223,94332.0,10599101.0
2007-08-17,6822,6822,5802,6669,65479,92212.0,10599101.0
2007-08-20,6683,7012,6667,6976,59546,96452.0,10599101.0
2007-08-21,6936,7112,6844,7014,39172,96982.0,10599101.0
2007-08-22,6958,7204,6958,7206,32120,99632.0,10599101.0
2007-08-23,7204,7281,7166,7206,32023,99632.0,10599101.0
2007-08-24,7219,7457,7204,7336,32023,101433.0,10599101.0
2007-08-27,7434,7464,6238,7298,29753,100903.0,10599101.0
2007-08-28,7358,8124,7166,7398,385140,102281.0,10599101.0
2007-08-29,7412,8009,7204,7436,170182,102811.0,10599101.0
2007-08-30,7434,7595,7358,7436,52823,102811.0,10599101.0
2007-08-31,7434,7511,7327,7328,37994,101327.0,10599101.0
2007-09-03,7373,7380,7082,7129,76662,98572.0,10599101.0
2007-09-04,7075,7197,7075,7159,27972,98996.0,10599101.0
2007-09-05,7173,7281,7043,7053,24018,97512.0,10599101.0
2007-09-06,7051,7127,7005,7037,28416,97300.0,10599101.0
2007-09-07,7043,7273,7036,7214,33355,99738.0,10599101.0
