해성산업(034810),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-10-11,4792,4888,4408,4590,15720,46846.0,978000.0
1999-10-12,4418,5070,4408,4791,202070,48900.0,978000.0
1999-10-13,4840,4840,4504,4619,124020,47140.0,978000.0
1999-10-14,4619,4619,4619,4619,0,47140.0,978000.0
1999-10-15,4619,4619,4619,4619,0,,
1999-10-18,4312,4887,4217,4552,163030,46455.0,9780000.0
1999-10-19,4887,4887,4006,4005,119234,40880.0,9780000.0
1999-10-20,4121,4303,3833,3957,140491,40391.0,9780000.0
1999-10-21,4025,4198,3728,3823,156638,39022.0,9780000.0
1999-10-22,3843,4274,3738,4274,152207,43619.0,9780000.0
1999-10-25,4782,4782,4552,4782,464392,48802.0,9780000.0
1999-10-26,4974,5348,4782,5347,561752,54572.0,9780000.0
1999-10-27,5549,5836,4983,5261,710773,53692.0,9780000.0
1999-10-28,5252,5252,4744,5127,205993,52323.0,9780000.0
1999-10-29,5223,5415,5050,5318,325818,54279.0,9780000.0
1999-11-01,5367,5654,5271,5347,279652,54572.0,9780000.0
1999-11-02,5271,5271,4888,5060,263116,51638.0,9780000.0
1999-11-03,4974,5664,4926,5663,729089,57800.0,9780000.0
1999-11-04,5760,6162,5462,5903,603523,60245.0,9780000.0
1999-11-05,5990,5990,5482,5558,229748,56724.0,9780000.0
1999-11-08,5472,5788,5271,5462,578893,55746.0,9780000.0
1999-11-09,5367,5415,4811,4810,416341,49096.0,9780000.0
1999-11-10,4811,5175,4696,4868,238303,49682.0,9780000.0
1999-11-11,4868,4983,4677,4695,298452,47922.0,9780000.0
1999-11-12,4744,4926,4140,4216,278016,43032.0,9780000.0
1999-11-15,4226,4715,4217,4715,199852,48118.0,9780000.0
1999-11-16,4983,5280,4983,5280,337088,53888.0,9780000.0
1999-11-17,5740,5740,4715,5079,316083,51834.0,9780000.0
1999-11-18,4983,5127,4562,4657,106357,47531.0,9780000.0
1999-11-19,4887,5213,4801,5213,130484,53203.0,9780000.0
1999-11-22,5750,5817,5165,5625,374242,57409.0,9780000.0
1999-11-23,5625,5625,5175,5175,126757,52812.0,9780000.0
1999-11-24,5089,5156,4744,4877,165045,49780.0,9780000.0
1999-11-25,4955,5367,4945,5270,328645,53790.0,9780000.0
1999-11-26,5271,5271,4638,4695,258561,47922.0,9780000.0
1999-11-29,4313,5031,4313,4600,116056,46944.0,9780000.0
1999-11-30,4610,4744,4274,4446,257609,45379.0,9780000.0
1999-12-01,4313,4408,3920,4044,401717,41272.0,9780000.0
1999-12-02,4217,4226,3738,3814,153434,38924.0,9780000.0
1999-12-03,3546,4169,3546,4015,97698,40978.0,9780000.0
1999-12-06,3738,4198,3738,3900,197158,39805.0,9780000.0
1999-12-07,4063,4063,3546,3622,166113,36968.0,9780000.0
1999-12-08,3642,3642,3239,3402,184925,34719.0,9780000.0
1999-12-09,3354,3805,3115,3632,197843,37066.0,9780000.0
1999-12-10,3373,3670,3354,3450,136688,35208.0,9780000.0
1999-12-13,3354,3431,3163,3239,164616,33056.0,9780000.0
1999-12-14,3163,3623,3163,3622,217603,36968.0,9780000.0
1999-12-15,4054,4054,3479,3507,352655,35795.0,9780000.0
1999-12-16,3594,3642,3316,3392,92374,34621.0,9780000.0
1999-12-17,3268,3498,3057,3210,96359,32763.0,9780000.0
1999-12-20,2885,3258,2885,3210,93197,32763.0,9780000.0
1999-12-21,3067,3297,2827,3210,227909,32763.0,9780000.0
1999-12-22,3249,3249,2971,3162,279835,32274.0,9780000.0
1999-12-23,3258,3258,2789,2788,243593,28460.0,9780000.0
1999-12-24,2683,2722,2463,2491,240288,25428.0,9780000.0
1999-12-27,2310,2492,2195,2194,210067,22396.0,9780000.0
1999-12-28,2041,2386,1936,2300,127578,23472.0,9780000.0
2000-01-04,2060,2250,2060,2200,59071,21516.0,9780000.0
2000-01-05,2000,2310,1980,2230,129944,21809.0,9780000.0
2000-01-06,2390,2460,2250,2370,120617,23179.0,9780000.0
2000-01-07,2450,2450,2230,2380,69478,23276.0,9780000.0
2000-01-10,2450,2450,2200,2320,54644,22690.0,9780000.0
2000-01-11,2320,2330,2110,2250,84021,22005.0,9780000.0
2000-01-12,2150,2200,2030,2130,64688,20831.0,9780000.0
2000-01-13,2010,2050,1880,2000,79815,19560.0,9780000.0
2000-01-14,2000,2230,1900,2200,76444,21516.0,9780000.0
2000-01-17,2260,2340,2100,2340,59251,22885.0,9780000.0
2000-01-18,2420,2420,2150,2300,44673,22494.0,9780000.0
2000-01-19,2050,2200,2030,2030,69045,19853.0,9780000.0
2000-01-20,1990,2000,1800,1910,41954,18680.0,9780000.0
2000-01-21,2000,2000,1820,1950,25715,19071.0,9780000.0
2000-01-24,1850,2000,1850,1990,23284,19462.0,9780000.0
2000-01-25,1880,1980,1840,1940,42045,18973.0,9780000.0
2000-01-26,1860,2000,1810,1960,66006,19169.0,9780000.0
2000-01-27,2010,2010,1850,1910,59369,18680.0,9780000.0
2000-01-28,1870,1980,1830,1940,74664,18973.0,9780000.0
2000-01-31,1980,2170,1900,2170,186391,21223.0,9780000.0
2000-02-01,2400,2430,2210,2430,199338,23765.0,9780000.0
2000-02-02,2570,2720,2570,2720,122246,26602.0,9780000.0
2000-02-03,2900,3040,2700,2740,191457,26797.0,9780000.0
2000-02-07,2900,2900,2520,2800,144379,27384.0,9780000.0
2000-02-08,2800,2830,2470,2470,173433,24157.0,9780000.0
2000-02-09,2220,2690,2220,2550,190755,24939.0,9780000.0
2000-02-10,2490,2490,2250,2340,90924,22885.0,9780000.0
2000-02-11,2250,2420,2150,2240,76997,21907.0,9780000.0
2000-02-14,2100,2230,1980,2010,110056,19658.0,9780000.0
2000-02-15,2000,2250,2000,2250,120643,22005.0,9780000.0
2000-02-16,2480,2500,2280,2280,136544,22298.0,9780000.0
2000-02-17,2280,2460,2200,2450,130727,23961.0,9780000.0
2000-02-18,2510,2740,2510,2650,174387,25917.0,9780000.0
2000-02-21,2590,2590,2360,2400,110109,23472.0,9780000.0
2000-02-22,2400,2480,2150,2310,92072,22592.0,9780000.0
2000-02-23,2370,2370,2110,2230,86771,21809.0,9780000.0
2000-02-24,2230,2490,2230,2490,146836,24352.0,9780000.0
2000-02-25,2480,2740,2380,2460,239998,24059.0,9780000.0
2000-02-28,2750,2750,2750,2750,174264,26895.0,9780000.0
2000-02-29,3080,3080,3080,3080,21701,30122.0,9780000.0
2000-03-02,3440,3440,3440,3440,17071,33643.0,9780000.0
2000-03-03,3850,3850,3030,3850,449851,37653.0,9780000.0
2000-03-06,4270,4310,3800,4000,832625,39120.0,9780000.0
2000-03-07,3600,3930,3520,3520,279948,34426.0,9780000.0
2000-03-08,3260,3700,3110,3560,197977,34817.0,9780000.0
2000-03-09,3560,3980,3410,3980,330607,38924.0,9780000.0
2000-03-10,4250,4280,3800,3810,250833,37262.0,9780000.0
2000-03-13,3700,4200,3600,3900,347718,38142.0,9780000.0
2000-03-14,4000,4360,3950,4360,394226,42641.0,9780000.0
2000-03-15,4710,4880,4500,4880,231612,47726.0,9780000.0
2000-03-16,5000,5000,4300,4300,629114,42054.0,9780000.0
2000-03-17,3910,3950,3790,3790,112289,37066.0,9780000.0
2000-03-20,3340,3340,3340,3340,15585,32665.0,9780000.0
2000-03-21,2940,3080,2940,2940,338839,28753.0,9780000.0
2000-03-22,3010,3290,2900,3200,334578,31296.0,9780000.0
2000-03-23,3300,3380,2820,2980,228303,29144.0,9780000.0
2000-03-24,2980,3000,2770,2890,149024,28264.0,9780000.0
2000-03-27,2930,3200,2850,3120,181764,30514.0,9780000.0
2000-03-28,3110,3390,2950,3170,207680,31003.0,9780000.0
2000-03-29,3050,3160,2930,3000,126657,29340.0,9780000.0
2000-03-30,2820,2940,2640,2850,63380,27873.0,9780000.0
2000-03-31,2850,3150,2720,3040,134567,29731.0,9780000.0
2000-04-03,3140,3200,2750,2870,114478,28069.0,9780000.0
2000-04-04,2650,2700,2530,2600,54726,25428.0,9780000.0
2000-04-06,2600,2800,2520,2590,65197,25330.0,9780000.0
2000-04-07,2330,2900,2330,2900,134984,28362.0,9780000.0
2000-04-10,3100,3120,2940,3010,163773,29438.0,9780000.0
2000-04-11,2750,2750,2650,2650,79420,25917.0,9780000.0
2000-04-12,2650,2950,2510,2670,100817,26113.0,9780000.0
2000-04-14,2600,2630,2450,2550,60709,24939.0,9780000.0
2000-04-17,2250,2250,2250,2250,21302,22005.0,9780000.0
2000-04-18,2150,2430,2150,2320,90790,22690.0,9780000.0
2000-04-19,2470,2490,2310,2360,83598,23081.0,9780000.0
2000-04-20,2210,2640,2210,2640,155650,25819.0,9780000.0
2000-04-21,2800,2950,2640,2940,226846,28753.0,9780000.0
2000-04-24,2850,2850,2590,2590,112383,25330.0,9780000.0
2000-04-25,2480,2650,2460,2600,45185,25428.0,9780000.0
2000-04-26,2650,2800,2350,2400,52696,23472.0,9780000.0
2000-04-27,2420,2440,2300,2410,29467,23570.0,9780000.0
2000-04-28,2450,2550,2310,2490,33676,24352.0,9780000.0
2000-05-02,2400,2540,2370,2440,47571,23863.0,9780000.0
2000-05-03,2400,2550,2370,2490,29584,24352.0,9780000.0
2000-05-04,2450,2650,2420,2590,73800,25330.0,9780000.0
2000-05-08,2600,2750,2530,2620,122605,25624.0,9780000.0
2000-05-09,2650,2660,2430,2580,75470,25232.0,9780000.0
2000-05-10,2580,2830,2580,2760,268222,26993.0,9780000.0
2000-05-12,2770,3080,2670,2860,353708,27971.0,9780000.0
2000-05-15,2790,2890,2560,2700,149560,26406.0,9780000.0
2000-05-16,2670,2700,2450,2540,145672,24841.0,9780000.0
2000-05-17,2430,2600,2350,2410,116925,23570.0,9780000.0
2000-05-18,2350,2400,2130,2190,102515,21418.0,9780000.0
2000-05-19,2000,2190,1950,2150,77717,21027.0,9780000.0
2000-05-22,2000,2200,1900,1990,106122,19462.0,9780000.0
2000-05-23,2000,2030,1760,1920,117228,18778.0,9780000.0
2000-05-24,1700,1990,1700,1970,63948,19267.0,9780000.0
2000-05-25,1900,2200,1900,2160,164518,21125.0,9780000.0
2000-05-26,2060,2100,1910,2000,144620,19560.0,9780000.0
2000-05-29,1910,2010,1820,2000,59082,19560.0,9780000.0
2000-05-30,2090,2130,2000,2110,88793,20636.0,9780000.0
2000-05-31,2190,2300,2150,2300,140911,22494.0,9780000.0
2000-06-01,2120,2400,2120,2350,113815,22983.0,9780000.0
2000-06-02,2400,2400,2200,2260,82179,22103.0,9780000.0
2000-06-05,2430,2430,2290,2350,128277,22983.0,9780000.0
2000-06-07,2340,2600,2250,2530,281249,24743.0,9780000.0
2000-06-08,2580,2600,2270,2300,94328,22494.0,9780000.0
2000-06-09,2450,2450,2050,2270,94334,22201.0,9780000.0
2000-06-12,2200,2450,2100,2340,139420,22885.0,9780000.0
2000-06-13,2360,2620,2200,2620,327910,25624.0,9780000.0
2000-06-14,2900,2920,2310,2560,539639,25037.0,9780000.0
2000-06-15,2600,2600,2360,2590,100462,25330.0,9780000.0
2000-06-16,2430,2640,2370,2580,128880,25232.0,9780000.0
2000-06-19,2500,2880,2430,2880,707673,28166.0,9780000.0
2000-06-20,2960,3080,2540,2680,936805,26210.0,9780000.0
2000-06-21,2940,3000,2760,3000,380601,29340.0,9780000.0
2000-06-22,3180,3360,2810,2890,1421717,28264.0,9780000.0
2000-06-23,2800,3150,2780,2970,490223,29047.0,9780000.0
2000-06-26,2970,3180,2910,3000,541488,29340.0,9780000.0
2000-06-27,2960,3060,2730,2860,250600,27971.0,9780000.0
2000-06-28,2940,2940,2720,2740,146733,26797.0,9780000.0
2000-06-29,2660,3060,2660,3060,573681,29927.0,9780000.0
2000-06-30,3060,3240,2750,2820,434186,27580.0,9780000.0
2000-07-03,2830,2950,2780,2910,253020,28460.0,9780000.0
2000-07-04,2860,3220,2810,3030,445171,29633.0,9780000.0
2000-07-05,2910,2990,2670,2720,265352,26602.0,9780000.0
2000-07-06,2670,2670,2470,2600,125802,25428.0,9780000.0
2000-07-07,2430,2630,2430,2530,132259,24743.0,9780000.0
2000-07-10,2410,2530,2380,2430,205590,23765.0,9780000.0
2000-07-11,2430,2490,2300,2320,129025,22690.0,9780000.0
2000-07-12,2250,2430,2250,2340,103320,22885.0,9780000.0
2000-07-13,2360,2430,2320,2330,79506,22787.0,9780000.0
2000-07-14,2330,2390,2270,2310,85476,22592.0,9780000.0
2000-07-18,2310,2350,2200,2240,46364,21907.0,9780000.0
2000-07-19,2200,2340,2150,2270,107051,22201.0,9780000.0
2000-07-20,2210,2290,2170,2270,36475,22201.0,9780000.0
2000-07-21,2290,2500,2270,2340,74550,22885.0,9780000.0
2000-07-24,2400,2400,2230,2270,76828,22201.0,9780000.0
2000-07-25,2210,2270,2100,2170,42032,21223.0,9780000.0
2000-07-26,2100,2270,2100,2180,54829,21320.0,9780000.0
2000-07-27,2150,2230,2150,2220,58244,21712.0,9780000.0
2000-07-28,2260,2310,2160,2300,106996,22494.0,9780000.0
2000-07-31,2300,2300,2210,2230,46903,21809.0,9780000.0
2000-08-01,2250,2390,2220,2330,137164,22787.0,9780000.0
2000-08-02,2600,2600,2600,2600,139431,25428.0,9780000.0
2000-08-03,2910,2910,2910,2910,67542,28460.0,9780000.0
2000-08-04,3250,3250,2650,2860,1083509,27971.0,9780000.0
2000-08-07,2900,3200,2800,3200,649406,31296.0,9780000.0
2000-08-08,3290,3580,3130,3230,1747130,31589.0,9780000.0
2000-08-09,3200,3280,2850,2850,446380,27873.0,9780000.0
2000-08-10,2860,2980,2660,2840,496176,27775.0,9780000.0
2000-08-11,2850,3040,2670,2680,357368,26210.0,9780000.0
2000-08-14,2650,2720,2500,2600,258450,25428.0,9780000.0
2000-08-16,2600,2730,2570,2700,271505,26406.0,9780000.0
2000-08-17,2700,2900,2630,2710,332679,26504.0,9780000.0
2000-08-18,2710,2730,2580,2660,116224,26015.0,9780000.0
2000-08-21,2660,2970,2560,2970,532572,29047.0,9780000.0
2000-08-22,3040,3100,2760,2860,401032,27971.0,9780000.0
2000-08-23,2810,2930,2760,2770,193288,27091.0,9780000.0
2000-08-24,2720,2850,2590,2640,137355,25819.0,9780000.0
2000-08-25,2600,2700,2570,2630,85300,25721.0,9780000.0
2000-08-28,2590,2760,2590,2690,140831,26308.0,9780000.0
2000-08-29,2700,2700,2510,2550,153094,24939.0,9780000.0
2000-08-30,2590,2610,2460,2490,121168,24352.0,9780000.0
2000-08-31,2450,2570,2390,2450,106810,23961.0,9780000.0
2000-09-01,2420,2520,2410,2480,80690,24254.0,9780000.0
2000-09-04,2540,2620,2500,2620,115238,25624.0,9780000.0
2000-09-05,2620,2700,2540,2540,101575,24841.0,9780000.0
2000-09-06,2540,2580,2490,2520,57807,24646.0,9780000.0
2000-09-07,2470,2620,2350,2400,150815,23472.0,9780000.0
2000-09-08,2360,2450,2360,2420,47852,23668.0,9780000.0
2000-09-14,2320,2470,2320,2450,32298,23961.0,9780000.0
2000-09-15,2410,2500,2380,2450,37690,23961.0,9780000.0
2000-09-18,2490,2490,2160,2180,57822,21320.0,9780000.0
2000-09-19,2150,2250,2000,2090,37284,20440.0,9780000.0
2000-09-20,2000,2300,2000,2300,41639,22494.0,9780000.0
2000-09-21,2320,2320,2110,2110,31305,20636.0,9780000.0
2000-09-22,2200,2200,1950,2060,56123,20147.0,9780000.0
2000-09-25,2000,2150,2000,2140,29491,20929.0,9780000.0
2000-09-26,2050,2240,2040,2210,65544,21614.0,9780000.0
2000-09-27,2170,2470,2170,2400,62811,23472.0,9780000.0
2000-09-28,2320,2480,2320,2410,37962,23570.0,9780000.0
2000-09-29,2350,2450,2340,2380,70820,23276.0,9780000.0
2000-10-02,2380,2380,2100,2300,44009,22494.0,9780000.0
2000-10-04,2280,2540,2250,2480,149581,24254.0,9780000.0
2000-10-05,2500,2640,2400,2560,95047,25037.0,9780000.0
2000-10-06,2570,2640,2500,2610,93468,25526.0,9780000.0
2000-10-09,2640,2660,2570,2620,86714,25624.0,9780000.0
2000-10-10,2660,2930,2580,2930,738854,28655.0,9780000.0
2000-10-11,2930,3050,2580,2690,560515,26308.0,9780000.0
2000-10-12,2550,2790,2480,2790,206639,27286.0,9780000.0
2000-10-13,2700,2750,2480,2690,147229,26308.0,9780000.0
2000-10-16,2690,2920,2690,2830,186291,27677.0,9780000.0
2000-10-17,2710,2860,2620,2650,107172,25917.0,9780000.0
2000-10-18,2560,2560,2400,2500,138118,24450.0,9780000.0
2000-10-19,2480,2620,2480,2550,118102,24939.0,9780000.0
2000-10-20,2650,2680,2520,2580,96354,25232.0,9780000.0
2000-10-23,2540,2670,2450,2630,90844,25721.0,9780000.0
2000-10-24,2800,2940,2670,2940,112160,28753.0,9780000.0
2000-10-25,3200,3240,2760,2860,439418,27971.0,9780000.0
2000-10-26,2900,3200,2880,3200,1112665,31296.0,9780000.0
2000-10-27,3200,3350,2950,2990,1040897,29242.0,9780000.0
2000-10-30,2880,3070,2640,2680,326909,26210.0,9780000.0
2000-10-31,2530,2680,2360,2450,346580,23961.0,9780000.0
2000-11-01,2450,2600,2450,2480,218349,24254.0,9780000.0
2000-11-02,2480,2740,2480,2690,212673,26308.0,9780000.0
2000-11-03,2560,2770,2560,2670,135350,26113.0,9780000.0
2000-11-06,2670,2750,2580,2680,138735,26210.0,9780000.0
2000-11-07,2690,2840,2630,2720,138870,26602.0,9780000.0
2000-11-08,2780,2780,2600,2620,128361,25624.0,9780000.0
2000-11-09,2640,2720,2570,2660,107721,26015.0,9780000.0
2000-11-10,2650,2740,2580,2670,142767,26113.0,9780000.0
2000-11-13,2670,2990,2580,2800,279777,27384.0,9780000.0
2000-11-14,2720,2890,2720,2780,115339,27188.0,9780000.0
2000-11-15,2890,3050,2830,2950,320024,28851.0,9780000.0
2000-11-16,2990,3290,2870,3060,559376,29927.0,9780000.0
2000-11-17,3170,3420,3030,3420,382551,33448.0,9780000.0
2000-11-20,3830,3830,3800,3830,168607,37457.0,9780000.0
2000-11-21,3840,4280,3380,4000,1658162,39120.0,9780000.0
2000-11-22,4000,4300,3530,3550,966866,34719.0,9780000.0
2000-11-23,3400,3450,3130,3130,704688,30611.0,9780000.0
2000-11-24,2910,3100,2770,2790,385212,27286.0,9780000.0
2000-11-27,2870,3120,2860,3120,779995,30514.0,9780000.0
2000-11-28,3000,3100,2810,2860,295954,27971.0,9780000.0
2000-11-29,2820,2940,2660,2850,374282,27873.0,9780000.0
2000-11-30,2900,2970,2730,2860,208646,27971.0,9780000.0
2000-12-01,2710,2900,2700,2850,149969,27873.0,9780000.0
2000-12-04,2850,3090,2820,3020,274399,29536.0,9780000.0
2000-12-05,3060,3340,3020,3150,321591,30807.0,9780000.0
2000-12-06,3190,3280,2850,2920,228446,28558.0,9780000.0
2000-12-07,2900,3050,2800,2900,215531,28362.0,9780000.0
2000-12-08,2800,2930,2800,2910,133151,28460.0,9780000.0
2000-12-11,2820,3150,2820,2930,215362,28655.0,9780000.0
2000-12-12,2950,3020,2890,2970,110812,29047.0,9780000.0
2000-12-13,3000,3140,2870,2950,176368,28851.0,9780000.0
2000-12-14,2950,2950,2840,2940,161489,28753.0,9780000.0
2000-12-15,2870,2960,2840,2880,64412,28166.0,9780000.0
2000-12-18,2810,2920,2810,2920,50151,28558.0,9780000.0
2000-12-19,2920,2920,2570,2580,264910,25232.0,9780000.0
2000-12-20,2580,2580,2300,2410,125297,23570.0,9780000.0
2000-12-21,2310,2370,2130,2340,86797,22885.0,9780000.0
2000-12-22,2060,2380,2060,2330,62419,22787.0,9780000.0
2000-12-26,2110,2400,2110,2350,73777,22983.0,9780000.0
2001-01-02,2310,2560,2310,2480,30222,24254.0,9780000.0
2001-01-03,2480,2530,2370,2490,69496,24352.0,9780000.0
2001-01-04,2630,2680,2510,2600,103790,25428.0,9780000.0
2001-01-05,2600,2700,2530,2610,81871,25526.0,9780000.0
