대보마그네틱(290670),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-02-08,61000,61900,59900,60000,34223,193956.0,3232600.0
2019-02-11,60400,61400,59600,61000,23650,197189.0,3232600.0
2019-02-12,60300,61300,59600,59900,20308,193633.0,3232600.0
2019-02-13,60300,60800,59700,60200,18885,194603.0,3232600.0
2019-02-14,60000,60200,59000,59500,23423,192340.0,3232600.0
2019-02-15,58900,58900,57500,57900,52963,187168.0,3232600.0
2019-02-18,58200,60300,57600,60100,45646,194279.0,3232600.0
2019-02-19,60100,61400,59300,60000,21483,193956.0,3232600.0
2019-02-20,60000,60000,58800,59100,22193,191047.0,3232600.0
2019-02-21,59300,62600,58200,62100,61364,200744.0,3232600.0
2019-02-22,62200,64200,61900,64200,56987,207533.0,3232600.0
2019-02-25,64600,65700,63000,65300,38125,211089.0,3232600.0
2019-02-26,65000,65200,63300,63800,29220,206240.0,3232600.0
2019-02-27,63700,64600,63600,63700,15516,205917.0,3232600.0
2019-02-28,64800,65100,58400,60300,58209,194926.0,3232600.0
2019-03-04,61200,62600,60900,61800,23746,199775.0,3232600.0
2019-03-05,61800,64800,61500,64800,37723,209472.0,3232600.0
2019-03-06,66400,66900,65200,65600,48425,212059.0,3232600.0
2019-03-07,66200,68100,65200,65500,53976,211735.0,3232600.0
2019-03-08,64800,68500,64600,67600,36797,218524.0,3232600.0
2019-03-11,67500,67500,65000,66400,31808,214645.0,3232600.0
2019-03-12,66600,66600,64400,64500,49907,208503.0,3232600.0
2019-03-13,64400,67800,64400,66200,37732,213998.0,3232600.0
2019-03-14,66500,67200,65600,67000,22909,216584.0,3232600.0
2019-03-15,67400,68600,65500,66500,48617,214968.0,3232600.0
2019-03-18,67900,68000,66400,67100,39440,216907.0,3232600.0
2019-03-19,67500,69000,66200,67600,75007,218524.0,3232600.0
2019-03-20,68300,68300,65100,66600,34533,215291.0,3232600.0
2019-03-21,67000,67900,65900,66700,47896,215614.0,3232600.0
2019-03-22,67900,67900,65400,66200,27547,213998.0,3232600.0
2019-03-25,64700,64800,60700,60800,50497,196542.0,3232600.0
2019-03-26,61100,61600,60100,61000,18754,197189.0,3232600.0
2019-03-27,61800,62100,60700,61400,18456,198482.0,3232600.0
2019-03-28,61000,61900,59200,60300,23948,194926.0,3232600.0
2019-03-29,60200,60500,58500,59100,18783,191047.0,3232600.0
2019-04-01,59300,60000,58600,59300,18423,191693.0,3232600.0
2019-04-02,59900,59900,58600,59300,18187,191693.0,3232600.0
2019-04-03,59100,60200,59000,60200,29031,194603.0,3232600.0
2019-04-04,60700,60700,59400,60100,18874,194279.0,3232600.0
2019-04-05,59700,60100,57900,58200,47875,188137.0,3232600.0
2019-04-08,58200,59000,57900,58700,10647,189754.0,3232600.0
2019-04-09,59000,60000,58500,59700,21178,192986.0,3232600.0
2019-04-10,59700,60100,58600,59000,17718,190723.0,3232600.0
2019-04-11,59200,59700,58700,58800,11999,190077.0,3232600.0
2019-04-12,58900,60500,58800,59400,42097,192016.0,3232600.0
2019-04-15,59400,59600,58200,58200,26537,188137.0,3232600.0
2019-04-16,59100,59200,57500,58100,16339,187814.0,3232600.0
2019-04-17,58400,58900,57600,58000,22191,187491.0,3232600.0
2019-04-18,58500,58600,56400,56400,26156,182319.0,3232600.0
2019-04-19,56500,58300,56500,58100,20506,187814.0,3232600.0
2019-04-22,58700,58700,56700,57100,25914,184581.0,3232600.0
2019-04-23,56900,57400,56600,56800,11540,183612.0,3232600.0
2019-04-24,57300,57400,56000,56000,17499,181026.0,3232600.0
2019-04-25,56200,56500,51700,53700,55253,173591.0,3232600.0
2019-04-26,53500,53600,49850,51000,46494,164863.0,3232600.0
2019-04-29,50500,51600,50400,51400,12873,166156.0,3232600.0
2019-04-30,51400,52100,50600,51700,11711,167125.0,3232600.0
2019-05-02,51500,52300,50800,52300,23926,169065.0,3232600.0
2019-05-03,52700,52700,52000,52500,12094,169712.0,3232600.0
2019-05-07,50000,51400,48550,48600,97043,157104.0,3232600.0
2019-05-08,47900,49200,47450,48500,34060,156781.0,3232600.0
2019-05-09,48100,48450,44550,44800,41155,144820.0,3232600.0
2019-05-10,45450,46950,43850,44800,40565,144820.0,3232600.0
2019-05-13,44850,45000,42750,42750,21225,138194.0,3232600.0
2019-05-14,42750,44550,41150,44200,30618,142881.0,3232600.0
2019-05-15,44050,47150,44050,46700,25396,150962.0,3232600.0
2019-05-16,48100,48100,46000,46200,23695,149346.0,3232600.0
2019-05-17,46250,47850,46050,46100,12259,149023.0,3232600.0
2019-05-20,46050,46600,44200,44350,12393,143366.0,3232600.0
2019-05-21,43700,45350,43650,44800,9192,144820.0,3232600.0
2019-05-22,45700,45700,44500,44750,8203,144659.0,3232600.0
2019-05-23,45000,45000,42650,43300,22072,139972.0,3232600.0
2019-05-24,43200,43200,41500,41850,14757,135284.0,3232600.0
2019-05-27,41900,46050,41900,43650,37157,141103.0,3232600.0
2019-05-28,43800,45300,43500,44600,13856,144174.0,3232600.0
2019-05-29,44500,44500,43000,43550,12650,140780.0,3232600.0
2019-05-30,43600,45650,43600,45650,23454,147568.0,3232600.0
2019-05-31,45250,46450,45000,45400,14075,146760.0,3232600.0
2019-06-03,45100,46250,44800,45950,9853,148538.0,3232600.0
2019-06-04,46200,49000,45500,49000,39190,158397.0,3232600.0
2019-06-05,49000,49800,48650,48650,15808,157266.0,3232600.0
2019-06-07,48650,49350,48400,49300,18476,159367.0,3232600.0
2019-06-10,50100,50200,47700,48250,21295,155973.0,3232600.0
2019-06-11,47400,48900,47250,48100,17114,155488.0,3232600.0
2019-06-12,48250,48250,46950,46950,12716,151771.0,3232600.0
2019-06-13,46950,49800,46950,47750,35713,154357.0,3232600.0
2019-06-14,47750,48400,46100,46300,20528,149669.0,3232600.0
2019-06-17,45850,46600,45500,46150,14695,149184.0,3232600.0
2019-06-18,46350,46500,45650,45750,8138,147891.0,3232600.0
2019-06-19,47000,47300,46200,47100,15132,152255.0,3232600.0
2019-06-20,47150,47950,46800,47800,10115,154518.0,3232600.0
2019-06-21,48050,48300,46600,47250,8715,152740.0,3232600.0
2019-06-24,47700,47700,46800,47000,8860,151932.0,3232600.0
2019-06-25,46500,48100,46500,47000,10030,151932.0,3232600.0
2019-06-26,46600,47000,45600,45600,12804,147407.0,3232600.0
2019-06-27,45700,46150,44900,45000,7236,145467.0,3232600.0
2019-06-28,44850,46050,43300,44400,19077,143527.0,3232600.0
2019-07-01,44450,45450,44250,44800,5180,144820.0,3232600.0
2019-07-02,44800,47300,44800,45950,14335,148538.0,3232600.0
2019-07-03,46350,46650,45300,45700,10893,147730.0,3232600.0
2019-07-04,45700,46150,45300,45700,6881,147730.0,3232600.0
2019-07-05,47000,47700,46050,46900,17082,151609.0,3232600.0
2019-07-08,46900,47200,44100,44400,13704,143527.0,3232600.0
2019-07-09,44000,45150,43150,43600,10494,140941.0,3232600.0
2019-07-10,43200,44400,43200,43850,6038,141750.0,3232600.0
2019-07-11,44100,44600,43850,44500,5418,143851.0,3232600.0
2019-07-12,44500,47200,44050,46500,19732,150316.0,3232600.0
2019-07-15,46150,49600,46150,49600,52486,160337.0,3232600.0
2019-07-16,49450,51400,48800,49700,33075,160660.0,3232600.0
2019-07-17,49500,50000,48000,49050,16805,158559.0,3232600.0
2019-07-18,48950,48950,47500,47650,11458,154033.0,3232600.0
2019-07-19,47750,48800,47450,47800,6377,154518.0,3232600.0
2019-07-22,47900,49700,47900,48900,18900,158074.0,3232600.0
2019-07-23,48550,49750,48050,48400,7563,156458.0,3232600.0
2019-07-24,47750,49450,45950,46500,12212,150316.0,3232600.0
2019-07-25,45100,46000,42900,43200,39688,139648.0,3232600.0
2019-07-26,42250,43900,42250,43650,17370,141103.0,3232600.0
2019-07-29,43000,45450,42900,43650,17309,141103.0,3232600.0
2019-07-30,42650,44000,42650,43900,6657,141911.0,3232600.0
2019-07-31,43300,44950,43300,44950,7710,145305.0,3232600.0
2019-08-01,45200,46800,44200,44500,14974,143851.0,3232600.0
2019-08-02,44000,44900,43500,44000,10759,142234.0,3232600.0
2019-08-05,43200,43700,38950,39000,30572,126071.0,3232600.0
2019-08-06,37400,39000,35800,36000,40054,116374.0,3232600.0
2019-08-07,35150,37000,35150,36700,23820,118636.0,3232600.0
2019-08-08,36700,38950,36700,37750,11888,122031.0,3232600.0
2019-08-09,37850,39000,37600,37650,8424,121707.0,3232600.0
2019-08-12,38250,38800,37500,38250,6828,123647.0,3232600.0
2019-08-13,38250,38600,37750,38100,6540,123162.0,3232600.0
2019-08-14,39000,39100,37200,37200,8053,120253.0,3232600.0
2019-08-16,36150,37400,36000,36250,10180,117182.0,3232600.0
2019-08-19,36600,37250,36200,36650,5397,118475.0,3232600.0
2019-08-20,36650,39300,36650,38950,15891,125910.0,3232600.0
2019-08-21,38850,40200,38100,38900,6178,125748.0,3232600.0
2019-08-22,39100,39600,38650,39000,7992,126071.0,3232600.0
2019-08-23,38900,38900,38100,38300,5858,123809.0,3232600.0
2019-08-26,37000,37400,35000,35450,23772,114596.0,3232600.0
2019-08-27,36400,38200,36250,36950,23555,119445.0,3232600.0
2019-08-28,36950,37600,36700,37300,10193,120576.0,3232600.0
2019-08-29,37350,38650,37350,37850,7709,122354.0,3232600.0
2019-08-30,38750,38750,37850,37850,6998,122354.0,3232600.0
2019-09-02,37800,37850,36500,37600,13490,121546.0,3232600.0
2019-09-03,38700,38950,37600,38950,19441,125910.0,3232600.0
2019-09-04,39000,40200,39000,40200,16036,129951.0,3232600.0
2019-09-05,40900,41850,40400,40850,17184,132052.0,3232600.0
2019-09-06,41600,41800,40650,41000,8800,132537.0,3232600.0
2019-09-09,41600,41600,40500,41250,9716,133345.0,3232600.0
2019-09-10,41300,41700,40900,41200,7378,133183.0,3232600.0
2019-09-11,41200,41700,40950,41500,4887,134153.0,3232600.0
2019-09-16,41700,42500,41500,42000,8610,135769.0,3232600.0
2019-09-17,41650,42300,41600,42150,5054,136254.0,3232600.0
2019-09-18,42500,42500,41700,41700,7235,134799.0,3232600.0
2019-09-19,42000,42850,41700,42400,6386,137062.0,3232600.0
2019-09-20,42450,42450,41950,42350,4032,136901.0,3232600.0
2019-09-23,42350,42350,41650,41900,5064,135446.0,3232600.0
2019-09-24,41900,42450,41650,41800,2763,135123.0,3232600.0
2019-09-25,41700,42200,40300,40800,13200,131890.0,3232600.0
2019-09-26,40800,41000,40300,40700,4888,131567.0,3232600.0
2019-09-27,40700,40900,39850,40550,3969,131082.0,3232600.0
2019-09-30,40200,40550,39350,40000,6413,129304.0,3232600.0
2019-10-01,40350,40350,39450,40100,3582,129627.0,3232600.0
2019-10-02,40000,40100,39500,39650,1658,128173.0,3232600.0
2019-10-04,39900,40250,38400,38850,10175,125587.0,3232600.0
2019-10-07,38850,39300,38050,38400,4145,124132.0,3232600.0
