파멥신(208340),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-01-07,76600,77300,69500,71100,365797,488671.0,6873012.0
2019-01-08,70700,71500,67100,69400,221047,476987.0,6873012.0
2019-01-09,69500,71400,67300,70900,191410,487297.0,6873012.0
2019-01-10,71000,72000,70100,70100,72947,481798.0,6873012.0
2019-01-11,70900,72200,69600,70300,96804,483173.0,6873012.0
2019-01-14,70100,70200,65900,67000,183811,460492.0,6873012.0
2019-01-15,66900,68000,66000,67100,98488,461179.0,6873012.0
2019-01-16,67300,67600,63200,66600,207863,457743.0,6873012.0
2019-01-17,66200,69300,65000,65400,175721,449495.0,6873012.0
2019-01-18,66000,68400,64600,68000,137198,467365.0,6873012.0
2019-01-21,68000,68000,65100,65200,92422,448120.0,6873012.0
2019-01-22,65600,68800,64500,67100,176289,461179.0,6873012.0
2019-01-23,66300,69200,66300,66600,134616,457743.0,6873012.0
2019-01-24,66700,67400,65600,66800,93980,459117.0,6873012.0
2019-01-25,66900,67400,65800,66800,84902,459117.0,6873012.0
2019-01-28,67200,70800,66800,68800,226814,472863.0,6873012.0
2019-01-29,69000,70400,68500,69100,79367,474925.0,6873012.0
2019-01-30,69900,70700,67700,69000,101700,474238.0,6873012.0
2019-01-31,69300,70800,69100,70400,112587,483860.0,6873012.0
2019-02-01,71000,72000,69100,71600,112039,492108.0,6873012.0
2019-02-07,71100,74300,70300,73400,147547,504479.0,6873012.0
2019-02-08,73000,75800,72800,75100,148915,516163.0,6873012.0
2019-02-11,76500,77700,74700,75300,186513,517538.0,6873012.0
2019-02-12,75100,75600,71600,72000,182020,494857.0,6873012.0
2019-02-13,72500,73400,71700,72600,101273,498981.0,6873012.0
2019-02-14,72700,73000,70100,70200,120234,482485.0,6873012.0
2019-02-15,70300,71700,70200,70600,58117,485235.0,6873012.0
2019-02-18,71400,73000,70400,72300,104109,496919.0,6873012.0
2019-02-19,72800,74000,72300,73000,112008,501730.0,6873012.0
2019-02-20,73200,74000,71800,74000,92278,508603.0,6873012.0
2019-02-21,75200,75300,73500,73700,97625,506541.0,6873012.0
2019-02-22,73700,73800,71500,72000,74825,494857.0,6873012.0
2019-02-25,72500,72600,70200,71300,95941,490046.0,6873012.0
2019-02-26,71500,71700,70100,70200,92634,482485.0,6873012.0
2019-02-27,70800,72900,70600,72700,100788,499668.0,6873012.0
2019-02-28,73700,75300,71300,72000,316724,494857.0,6873012.0
2019-03-04,75300,78200,74700,78200,411419,537470.0,6873012.0
2019-03-05,79400,83400,78500,82500,527569,567023.0,6873012.0
2019-03-06,83800,84300,79900,82200,373530,564962.0,6873012.0
2019-03-07,81200,82300,76500,77400,345751,531971.0,6873012.0
2019-03-08,77000,81300,77000,80500,282976,553277.0,6873012.0
2019-03-11,80500,81700,78600,81700,205177,561525.0,6873012.0
2019-03-12,82000,90000,81500,90000,974791,618571.0,6873012.0
2019-03-13,89000,91700,86800,90000,485153,618571.0,6873012.0
2019-03-14,93000,93400,85900,88500,416665,608262.0,6873012.0
2019-03-15,87900,91000,83900,87200,658106,599327.0,6873012.0
2019-03-18,88400,90500,85500,87700,388214,602763.0,6873012.0
2019-03-19,89300,93700,81000,82400,828519,566336.0,6873012.0
2019-03-20,81900,84000,80000,84000,261591,577333.0,6873012.0
2019-03-21,84300,84400,78900,79300,303868,545030.0,6873012.0
2019-03-22,79700,81200,78000,79900,172386,549154.0,6873012.0
2019-03-25,77900,79200,75600,76700,189042,527160.0,6873012.0
2019-03-26,77700,81400,77200,79800,215354,548466.0,6873012.0
2019-03-27,80500,80900,75800,75800,144291,520974.0,6873012.0
2019-03-28,75900,77800,74700,76500,119607,525785.0,6873012.0
2019-03-29,76900,79200,75700,78900,126884,542281.0,6873012.0
2019-04-01,77400,78400,76500,78000,105966,536095.0,6873012.0
2019-04-02,78900,79900,76700,77000,101901,529222.0,6873012.0
2019-04-03,76600,78100,76600,77600,81731,533346.0,6873012.0
2019-04-04,77700,78000,74900,75800,151195,520974.0,6873012.0
2019-04-05,75100,75800,71300,71900,288215,494170.0,6873012.0
2019-04-08,72000,74200,71500,72400,109779,497606.0,6873012.0
2019-04-09,72600,73300,70800,73300,101057,503792.0,6873012.0
2019-04-10,73300,76300,72000,74500,159944,512039.0,6873012.0
2019-04-11,74500,75400,73500,74800,64250,514101.0,6873012.0
2019-04-12,75300,76400,74300,75100,91707,516163.0,6873012.0
2019-04-15,75500,75700,72900,74600,103992,512727.0,6873012.0
2019-04-16,74900,74900,72300,73200,84450,503104.0,6873012.0
2019-04-17,73600,74100,71800,72500,85748,498293.0,6873012.0
2019-04-18,71800,72000,69500,69500,116630,477674.0,6873012.0
2019-04-19,69600,71900,69600,70800,74868,486609.0,6873012.0
2019-04-22,70800,72700,70800,71700,64661,492795.0,6873012.0
2019-04-23,71600,72800,71200,71500,43964,491420.0,6873012.0
2019-04-24,71800,72800,71000,71500,43993,491420.0,6873012.0
2019-04-25,71100,71600,70100,70600,47622,485235.0,6873012.0
2019-04-26,70200,71100,69000,70000,55675,481111.0,6873012.0
2019-04-29,70000,71400,69500,70700,35388,485922.0,6873012.0
2019-04-30,70500,73300,70500,72900,83996,501043.0,6873012.0
2019-05-02,72900,74100,72100,72800,70917,500355.0,6873012.0
2019-05-03,72700,73300,71500,72000,51165,494857.0,6873012.0
2019-05-07,70800,74200,69600,73400,129271,504479.0,6873012.0
2019-05-08,73000,77500,73000,75400,246968,518225.0,6873012.0
2019-05-09,75800,76500,71000,71400,137512,490733.0,6873012.0
2019-05-10,72200,73300,69700,71200,115493,489358.0,6873012.0
2019-05-13,70500,70900,66500,66500,133947,457055.0,6873012.0
2019-05-14,64300,67600,64000,66100,81177,454306.0,6873012.0
2019-05-15,66400,68100,64700,66100,91803,454306.0,6873012.0
2019-05-16,67000,67700,65500,66500,51367,457055.0,6873012.0
2019-05-17,67200,68700,66200,66800,54751,459117.0,6873012.0
2019-05-20,67000,68500,66600,67700,86003,465303.0,6873012.0
2019-05-21,67400,69600,67400,67600,73061,464616.0,6873012.0
2019-05-22,68400,70000,67500,70000,109613,481111.0,6873012.0
2019-05-23,71400,71400,67500,68500,110523,470801.0,6873012.0
2019-05-24,69500,70100,67600,69000,77707,474238.0,6873012.0
2019-05-27,69000,69500,66000,67900,82786,466678.0,6873012.0
2019-05-28,67800,68000,64000,64800,248893,445371.0,6873012.0
2019-05-29,64300,66600,57900,65500,381968,450182.0,6873012.0
2019-05-30,65300,66100,61200,61200,98586,420628.0,6873012.0
2019-05-31,61700,63800,61200,62500,70038,429563.0,6873012.0
2019-06-03,61700,63400,61500,62500,41081,429563.0,6873012.0
2019-06-04,63500,64300,62400,62600,43287,430251.0,6873012.0
2019-06-05,63000,63400,61500,62600,45224,430251.0,6873012.0
2019-06-07,62400,62600,60200,60300,96521,414443.0,6873012.0
2019-06-10,60400,60800,58600,59700,106268,410319.0,6873012.0
2019-06-11,60400,60700,59600,59600,63434,409632.0,6873012.0
2019-06-12,59600,60200,58900,59700,35265,410319.0,6873012.0
2019-06-13,60000,60300,58600,59500,52435,408944.0,6873012.0
2019-06-14,59100,59500,58200,59100,51107,406195.0,6873012.0
2019-06-17,58700,58900,57000,57000,63095,391762.0,6873012.0
2019-06-18,57000,57900,55500,56200,89962,386263.0,6873012.0
2019-06-19,56600,58400,55800,57200,58641,393136.0,6873012.0
2019-06-20,57200,58700,56600,58600,43295,402759.0,6873012.0
2019-06-21,58600,59200,58000,59000,37133,405508.0,6873012.0
2019-06-24,58300,58500,54600,55000,119012,378016.0,6873012.0
2019-06-25,54600,55000,49450,50700,243832,348462.0,6873012.0
2019-06-26,50500,51400,49650,49900,85317,342963.0,6873012.0
2019-06-27,49900,51100,45200,46200,181578,317533.0,6873012.0
2019-06-28,46100,47000,45100,46300,145515,318220.0,6873012.0
2019-07-01,46350,48050,46350,47050,103575,323375.0,6873012.0
2019-07-02,46650,47250,46000,46150,60617,317190.0,6873012.0
2019-07-03,46200,46700,45500,46450,49665,319251.0,6873012.0
2019-07-04,45950,46300,42800,43950,172863,302069.0,6873012.0
2019-07-05,43800,46300,43800,46300,98286,318220.0,6873012.0
2019-07-08,46300,47250,43350,43700,90472,300351.0,6873012.0
2019-07-09,43700,44350,41650,42500,91146,292103.0,6873012.0
2019-07-10,42800,43800,41950,43550,68264,299320.0,6873012.0
2019-07-11,43300,44150,42500,43600,52154,299663.0,6873012.0
2019-07-12,43600,43600,42800,43350,26278,297945.0,6873012.0
2019-07-15,43500,44050,42500,43200,32077,296914.0,6873012.0
2019-07-16,42800,44200,42100,43250,45650,297258.0,6873012.0
2019-07-17,43450,43450,40500,42150,44580,289697.0,6873012.0
2019-07-18,41650,42450,40750,41800,52291,287292.0,6873012.0
2019-07-19,41800,42500,41700,42250,21327,290385.0,6873012.0
2019-07-22,42000,44450,41950,43900,64711,301725.0,6873012.0
2019-07-23,43700,44100,41950,42000,47965,288667.0,6873012.0
2019-07-24,42000,42500,40750,41000,35504,281793.0,6873012.0
2019-07-25,40700,40750,39350,40000,48768,274920.0,6873012.0
2019-07-26,39750,40400,37250,37250,78557,256020.0,6873012.0
2019-07-29,37100,37900,36300,37550,63462,259501.0,6910809.0
2019-07-30,36900,38250,35700,36150,72191,249826.0,6910809.0
2019-07-31,36050,37350,35150,37050,53518,256045.0,6910809.0
2019-08-01,37150,38900,36650,36950,72772,255354.0,6910809.0
2019-08-02,34600,36000,33950,34300,134687,237041.0,6910809.0
2019-08-05,33800,34250,29850,29900,172788,206633.0,6910809.0
2019-08-06,28550,30700,27450,28050,176878,193848.0,6910809.0
2019-08-07,28150,29500,28000,29500,114787,203869.0,6910809.0
2019-08-08,30600,32900,30150,32100,129004,221837.0,6910809.0
2019-08-09,31950,32950,31650,32200,61819,222528.0,6910809.0
2019-08-12,31850,32600,31250,32100,41465,221837.0,6910809.0
2019-08-13,31600,32350,31600,31900,36765,220455.0,6910809.0
2019-08-14,32500,32850,31700,31900,55187,220455.0,6910809.0
2019-08-16,31000,33450,30000,32500,46617,224601.0,6910809.0
2019-08-19,33850,34650,32000,32000,85051,221146.0,6910809.0
2019-08-20,32000,32550,32000,32350,40096,223565.0,6910809.0
2019-08-21,32400,35800,32150,35800,144045,247407.0,6910809.0
2019-08-22,35800,36450,34450,35000,131917,241878.0,6910809.0
2019-08-23,34350,36400,34200,34950,145042,241533.0,6910809.0
2019-08-26,33650,34250,29850,30050,161231,207670.0,6910809.0
2019-08-27,31100,32100,30600,31400,83142,216999.0,6910809.0
2019-08-28,31400,40600,31050,38000,609638,262611.0,6910809.0
2019-08-29,38250,39850,36550,37300,238194,257773.0,6910809.0
2019-08-30,38850,41000,36650,37450,316214,258810.0,6910809.0
2019-09-02,37050,39500,37000,38650,144932,267103.0,6910809.0
2019-09-03,38650,38650,36500,37050,115664,256045.0,6910809.0
2019-09-04,36800,38000,36450,38000,69914,262611.0,6910809.0
2019-09-05,38400,38400,36950,37050,106893,256045.0,6910809.0
2019-09-06,37300,37850,36850,37250,90219,257428.0,6910809.0
2019-09-09,37250,38300,36000,36000,87167,248789.0,6910809.0
2019-09-10,36400,36400,35000,35000,51025,241878.0,6910809.0
2019-09-11,35300,37900,34750,37000,97729,255700.0,6910809.0
2019-09-16,37300,37850,36300,37600,60336,259846.0,6910809.0
2019-09-17,37050,40450,37000,38900,184320,268830.0,6910809.0
2019-09-18,39300,39750,38200,38450,70464,265721.0,6910809.0
2019-09-19,38500,39150,37350,37450,63658,258810.0,6910809.0
2019-09-20,38200,38200,36850,36950,56955,255354.0,6910809.0
2019-09-23,37000,37200,36150,36150,38754,249826.0,6910809.0
2019-09-24,34550,36150,34200,34950,107200,241533.0,6910809.0
2019-09-25,34750,35700,33800,34050,69848,235313.0,6910809.0
2019-09-26,34750,35550,33500,34850,56918,240842.0,6910809.0
2019-09-27,34950,37100,34400,36750,87308,253972.0,6910809.0
2019-09-30,37750,39500,35300,35450,146513,244988.0,6910809.0
2019-10-01,35450,36850,35050,36750,76770,253972.0,6910809.0
2019-10-02,36400,36950,35450,35600,57832,246025.0,6910809.0
2019-10-04,35200,36100,34850,35250,53095,243606.0,6910809.0
2019-10-07,35750,38250,35500,37950,186389,262265.0,6910809.0
