케이맥(043290),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-05-25,11500,11850,11400,11650,36033,74865.0,6426140.0
2012-05-29,11600,11900,11500,11800,48701,75828.0,6426140.0
2012-05-30,12000,12000,11550,11700,35172,75186.0,6426140.0
2012-05-31,11450,11550,11300,11500,33945,73901.0,6426140.0
2012-06-01,11650,11800,11500,11500,27047,73901.0,6426140.0
2012-06-04,11000,11000,10300,10450,88605,67153.0,6426140.0
2012-06-05,10550,10650,10400,10450,42947,67153.0,6426140.0
2012-06-07,10800,11050,10650,10700,45107,68760.0,6426140.0
2012-06-08,10700,10950,10450,10450,32416,67153.0,6426140.0
2012-06-11,10600,10900,10600,10750,27707,69081.0,6426140.0
2012-06-12,10600,11650,10550,11400,156801,73258.0,6426140.0
2012-06-13,11400,11650,10900,10900,48764,70045.0,6426140.0
2012-06-14,10900,11550,10800,11500,57371,73901.0,6426140.0
2012-06-15,11600,11650,11100,11200,27035,71973.0,6426140.0
2012-06-18,11450,11550,11300,11500,33440,73901.0,6426140.0
2012-06-19,11400,11700,11300,11600,35594,74543.0,6426140.0
2012-06-20,11800,12350,11700,12000,154924,77114.0,6426140.0
2012-06-21,12000,12200,11650,11850,44059,76150.0,6426140.0
2012-06-22,11550,11900,11500,11750,32521,75507.0,6426140.0
2012-06-25,11950,12000,11650,11750,25809,75507.0,6426140.0
2012-06-26,11500,11750,11350,11700,29762,75186.0,6426140.0
2012-06-27,11650,11800,11400,11650,28706,74865.0,6426140.0
2012-06-28,11750,11750,11400,11500,27023,73901.0,6426140.0
2012-06-29,11900,12150,11650,11900,94096,76471.0,6426140.0
2012-07-02,12150,12150,11750,11750,44530,75507.0,6426140.0
2012-07-03,11750,11950,11750,11900,36436,76471.0,6426140.0
2012-07-04,12050,12950,12000,12550,255157,80648.0,6426140.0
2012-07-05,12650,13150,12450,12800,99534,82255.0,6426140.0
2012-07-06,13000,13000,12550,12550,51829,80648.0,6426140.0
2012-07-09,12400,12750,12400,12450,41393,80005.0,6426140.0
2012-07-10,12550,12650,12050,12150,37159,78078.0,6426140.0
2012-07-11,12100,12350,11950,12350,31780,79363.0,6426140.0
2012-07-12,12450,12450,12100,12100,18414,77756.0,6426140.0
2012-07-13,12000,12150,11100,11650,46099,74865.0,6426140.0
2012-07-16,11750,11850,11550,11600,19482,74543.0,6426140.0
2012-07-17,11600,11750,11300,11400,33650,73258.0,6426140.0
2012-07-18,11500,11500,11000,11000,45408,70688.0,6426140.0
2012-07-19,11150,11250,10900,11000,30484,70688.0,6426140.0
2012-07-20,11100,11300,10900,11050,22397,71009.0,6426140.0
2012-07-23,10800,11350,10750,10950,32900,70366.0,6426140.0
2012-07-24,10750,10950,10600,10950,39894,70366.0,6426140.0
2012-07-25,10850,11550,10850,10850,63222,69724.0,6426140.0
