에이디테크놀로지(200710),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-03-20,11565,11667,11489,11540,73134,92666.0,4082195.0
2015-03-23,11692,12912,11616,12760,306226,102463.0,4082195.0
2015-03-24,12734,13065,12429,12658,173117,101647.0,4082195.0
2015-03-25,12556,13217,12505,13091,159510,105117.0,4082195.0
2015-03-26,12963,13522,12861,13268,148103,106545.0,4082195.0
2015-03-27,13268,14056,12963,12963,184955,104096.0,4082195.0
2015-03-30,13319,13370,12455,12862,109618,103280.0,4082195.0
2015-03-31,12963,14158,12887,13929,337411,111852.0,4082195.0
2015-04-01,13954,14742,13827,14336,322262,115118.0,4082195.0
2015-04-02,14386,14691,14107,14438,114821,116076.0,4087195.0
2015-04-03,14590,14742,14005,14056,97339,113011.0,4087195.0
2015-04-06,14234,14437,13929,14082,69431,113215.0,4087195.0
2015-04-07,14234,15454,14081,15277,361208,122820.0,4087195.0
2015-04-08,15429,15581,14895,15200,178181,122207.0,4087195.0
2015-04-09,15276,15530,14920,15226,165273,122411.0,4087195.0
2015-04-10,15047,15225,14717,15022,153197,120777.0,4087195.0
2015-04-13,15200,15251,13980,13980,205141,112398.0,4087195.0
2015-04-14,14183,14488,13700,14031,139302,112807.0,4087195.0
2015-04-15,14386,14590,14031,14133,162606,113624.0,4087195.0
2015-04-16,14285,15479,14031,15149,321735,121798.0,4087195.0
2015-04-17,15403,15505,14641,15099,128022,121390.0,4087195.0
2015-04-20,14793,14996,14463,14565,133200,117098.0,4087195.0
2015-04-21,14895,14920,14336,14743,99591,118529.0,4087195.0
2015-04-22,14895,14895,12912,13624,224896,109537.0,4087195.0
2015-04-23,13929,13929,13166,13396,115889,107698.0,4087195.0
2015-04-24,13344,13827,13293,13523,42048,108719.0,4087195.0
2015-04-27,13776,13802,12938,13243,88488,106471.0,4087195.0
2015-04-28,13268,14056,13039,13929,78112,111989.0,4087195.0
2015-04-29,14564,14818,13980,14082,186025,113215.0,4087195.0
2015-04-30,13980,14234,13268,13370,78467,107493.0,4087195.0
2015-05-04,13166,13319,12709,12811,79502,102997.0,4087195.0
2015-05-06,12505,13166,11768,11896,147390,95640.0,4087195.0
2015-05-07,11692,12556,11234,12455,135312,100136.0,4087195.0
2015-05-08,12353,12734,12175,12201,65965,98093.0,4087195.0
2015-05-11,12455,12505,11794,12150,129678,97684.0,4087195.0
2015-05-12,12022,12099,11362,11693,177664,94005.0,4087195.0
2015-05-13,11641,11946,11540,11769,59624,94619.0,4087195.0
2015-05-14,11921,13522,11921,13523,236783,108719.0,4087195.0
2015-05-15,14132,15530,13980,15531,744698,124864.0,4087195.0
2015-05-18,15810,16064,15073,15988,450779,128542.0,4087195.0
2015-05-19,15988,16623,15734,16446,263727,132221.0,4087195.0
2015-05-20,16572,18758,15886,17666,307414,142030.0,4087195.0
2015-05-21,17386,18275,17386,18149,145906,145913.0,4087195.0
2015-05-22,17894,18275,17538,17793,80392,143052.0,4087195.0
2015-05-26,17589,19546,16827,18556,136752,149183.0,4087195.0
2015-05-27,18708,18708,17665,17793,72114,143052.0,4087195.0
2015-05-28,17792,19267,17742,18911,148672,152044.0,4087195.0
2015-05-29,18657,19013,18225,18962,91145,152452.0,4087195.0
2015-06-01,18708,19216,18402,18657,47222,150000.0,4087195.0
2015-06-02,18657,19445,18402,18810,78793,151226.0,4087195.0
2015-06-03,18657,21631,18657,21631,304638,173910.0,4087195.0
2015-06-04,21631,22114,20436,20945,135676,168392.0,4087195.0
2015-06-05,21046,21046,19928,20767,84151,166962.0,4087195.0
2015-06-08,20588,21046,20233,20767,57123,166962.0,4087195.0
2015-06-09,20817,20868,20106,20716,51661,166553.0,4087195.0
2015-06-10,20766,21910,20436,21021,127900,169006.0,4087195.0
2015-06-11,21122,21554,20588,20589,43856,165531.0,4087195.0
2015-06-12,20639,21300,19724,20233,104425,162670.0,4087195.0
2015-06-15,20233,21097,19419,20386,81807,163897.0,4087195.0
2015-06-16,20207,20334,19089,19572,153015,157357.0,4087195.0
2015-06-17,19419,19470,18402,19293,437459,155109.0,4087195.0
2015-06-18,19572,19928,18936,19369,143863,155722.0,4087195.0
2015-06-19,19368,20207,19013,20208,86916,162466.0,4087195.0
2015-06-22,20258,20309,19114,19649,102863,157970.0,4087195.0
2015-06-23,19801,21122,19165,21072,211712,169414.0,4087195.0
2015-06-24,20843,21834,20741,21301,80526,171253.0,4087195.0
2015-06-25,21097,21402,20792,20970,53392,168597.0,4087195.0
2015-06-26,20970,22546,20741,22190,162536,178406.0,4087195.0
2015-06-29,21809,21910,20461,20894,76981,167984.0,4087195.0
2015-06-30,20741,21376,19572,21352,95392,171662.0,4087195.0
2015-07-01,21300,21707,20919,21555,42955,173297.0,4087195.0
2015-07-02,21732,22114,20385,21555,76585,173933.0,4102195.0
2015-07-03,21554,21580,20512,21148,49435,170651.0,4102195.0
2015-07-06,20690,20843,19495,19496,103696,157319.0,4102195.0
2015-07-07,19750,20487,19063,19115,64906,154243.0,4102195.0
2015-07-08,19318,20283,19038,19572,83936,157935.0,4102195.0
2015-07-09,19597,19597,18606,19572,54910,157935.0,4102195.0
2015-07-10,19978,20106,19572,19877,46037,160396.0,4102195.0
2015-07-13,19902,20334,19572,20309,46922,163883.0,4102195.0
2015-07-14,20716,20766,20029,20208,31695,163062.0,4102195.0
2015-07-15,20207,20639,19978,19979,41150,161216.0,4102195.0
2015-07-16,19928,20131,19318,19903,47955,160601.0,4102195.0
2015-07-17,19902,19928,19089,19394,48654,156499.0,4102195.0
2015-07-20,19343,19521,18733,18733,54344,151166.0,4102195.0
2015-07-21,18809,19190,18580,18759,32218,151371.0,4102195.0
2015-07-22,18911,19572,18758,19089,49531,154037.0,4102195.0
2015-07-23,18987,19419,18555,18886,29137,152397.0,4102195.0
2015-07-24,18657,19013,18072,18149,46227,146448.0,4102195.0
2015-07-27,18148,18301,17030,17640,38045,142346.0,4102195.0
2015-07-28,17640,17640,16064,17259,31190,139270.0,4102195.0
2015-07-29,17487,17640,16445,16751,31031,135167.0,4102195.0
2015-07-30,16776,17259,15098,15099,65463,121909.0,4104695.0
2015-07-31,15047,15759,14412,15683,60258,126630.0,4104695.0
2015-08-03,15403,16064,14946,15531,30071,125398.0,4104695.0
2015-08-04,15530,16420,14768,16217,68140,130940.0,4104695.0
2015-08-05,16242,16699,16115,16293,13947,131555.0,4104695.0
2015-08-06,16140,16522,15861,16090,20471,129914.0,4104695.0
2015-08-07,16089,16547,15784,16319,24433,131761.0,4104695.0
2015-08-10,16344,16445,16064,16242,9479,131145.0,4104695.0
2015-08-11,16242,16369,14946,15505,32105,125193.0,4104695.0
2015-08-12,15429,15505,12302,12786,184890,103233.0,4104695.0
2015-08-13,13065,13420,12785,12938,58797,104464.0,4104695.0
2015-08-17,13039,13446,12810,12862,41746,103849.0,4104695.0
2015-08-18,11946,12251,9862,9862,389921,79631.0,4104695.0
2015-08-19,9836,9836,8261,8973,312188,72448.0,4104695.0
2015-08-20,8972,9354,8591,8693,157270,70190.0,4104695.0
2015-08-21,8159,8464,7854,8464,157489,68343.0,4104695.0
2015-08-24,8261,8794,7879,7981,174100,64444.0,4104695.0
2015-08-25,8337,9023,8032,8744,208519,70601.0,4104695.0
2015-08-26,8667,9074,8489,8998,164190,72653.0,4104695.0
2015-08-27,9277,9887,8972,9125,277537,73679.0,4104695.0
2015-08-28,9404,9557,8896,8896,245345,71832.0,4104695.0
2015-08-31,9074,10319,8947,9837,583341,79426.0,4104695.0
2015-09-01,9811,9913,9328,9354,230715,75526.0,4104695.0
2015-09-02,9023,9277,8794,9176,248092,74090.0,4104695.0
2015-09-03,9404,9887,9226,9430,292647,76142.0,4104695.0
2015-09-04,9506,9582,8667,9151,187049,73885.0,4104695.0
2015-09-07,9048,9226,8794,8973,62005,72448.0,4104695.0
2015-09-08,8998,9328,8769,8896,93362,71832.0,4104695.0
2015-09-09,9150,9328,8947,9201,83382,74295.0,4104695.0
2015-09-10,9048,9455,8871,9456,121358,76347.0,4104695.0
2015-09-11,9455,9786,9303,9557,126670,77168.0,4104695.0
2015-09-14,9633,9862,9379,9430,65846,76142.0,4104695.0
2015-09-15,9506,9659,9226,9252,64930,74705.0,4104695.0
2015-09-16,9379,9430,9201,9303,67303,75116.0,4104695.0
2015-09-17,9404,9557,9099,9303,94785,75116.0,4104695.0
2015-09-18,9404,9684,9176,9684,101985,78194.0,4104695.0
2015-09-21,9557,9684,9404,9557,67190,77168.0,4104695.0
2015-09-22,9735,9735,9277,9278,118430,74911.0,4104695.0
2015-09-23,9150,9176,8769,8769,149857,70806.0,4104695.0
2015-09-24,8794,8896,8540,8693,91348,70190.0,4104695.0
2015-09-25,8642,8743,8311,8541,64947,68959.0,4104695.0
2015-09-30,8337,8438,8184,8388,62880,67727.0,4104695.0
2015-10-01,8515,8642,8362,8515,49881,68754.0,4104695.0
2015-10-02,8515,9023,8489,8795,133201,71011.0,4104695.0
2015-10-05,8896,9201,8794,8947,89175,72243.0,4104695.0
2015-10-06,8947,9048,8769,8871,31754,71627.0,4104695.0
2015-10-07,8845,9150,8845,9024,64940,72858.0,4104695.0
2015-10-08,9099,9099,8616,8744,45455,70601.0,4104695.0
2015-10-12,8820,8820,8464,8490,56366,68548.0,4104695.0
2015-10-13,8464,8642,8464,8566,43062,69164.0,4104695.0
2015-10-14,8540,8616,8388,8388,41446,67727.0,4104695.0
2015-10-15,8388,8591,8388,8515,25016,68754.0,4104695.0
2015-10-16,8591,8591,8388,8490,20321,68548.0,4104695.0
2015-10-19,8591,8591,8235,8337,32547,67317.0,4104695.0
2015-10-20,8311,8311,8032,8109,77380,65470.0,4104695.0
2015-10-21,8286,9048,8210,8566,245416,69164.0,4104695.0
2015-10-22,8693,8693,8362,8363,49185,67522.0,4104695.0
2015-10-23,8438,8566,8133,8236,72405,66496.0,4104695.0
2015-10-26,8235,8388,8032,8363,60361,67522.0,4104695.0
2015-10-27,8311,8337,8108,8159,46803,65880.0,4104695.0
2015-10-28,8159,8261,7955,7981,75094,64444.0,4104695.0
2015-10-29,8032,8032,7854,7880,56982,63623.0,4104695.0
2015-10-30,7955,8083,7625,7676,62905,61981.0,4104695.0
2015-11-02,7625,7828,7574,7676,45510,61981.0,4104695.0
2015-11-03,7701,7930,7650,7803,34088,63007.0,4104695.0
2015-11-04,7828,7828,7625,7727,28052,62391.0,4104695.0
2015-11-05,7752,7778,7549,7651,49362,61776.0,4104695.0
2015-11-06,7625,7854,7574,7803,43340,63007.0,4104695.0
2015-11-09,7854,8006,7701,7880,42332,63623.0,4104695.0
2015-11-10,7879,7930,7498,7498,67591,60544.0,4104695.0
2015-11-11,7371,7574,7269,7321,51935,59108.0,4104695.0
2015-11-12,7320,7447,7193,7244,31739,58492.0,4104695.0
2015-11-13,7193,7244,6710,6761,123692,54592.0,4104695.0
2015-11-16,6659,6659,6151,6202,81300,50077.0,4104695.0
2015-11-17,6303,6532,6252,6431,60134,51924.0,4104695.0
2015-11-18,6430,6456,6151,6304,86021,50898.0,4104695.0
2015-11-19,6329,6659,6278,6583,64485,53156.0,4104695.0
2015-11-20,6608,6761,6481,6609,30709,53361.0,4104695.0
2015-11-23,6659,6913,6557,6660,34414,53772.0,4104695.0
2015-11-24,6685,6786,6634,6736,25137,54387.0,4104695.0
2015-11-25,6812,6812,6456,6533,38122,52745.0,4104695.0
2015-11-26,6532,6913,6456,6736,47623,54387.0,4104695.0
2015-11-27,6888,6990,6685,6787,36675,54798.0,4104695.0
2015-11-30,6761,6837,6456,6456,44992,52130.0,4104695.0
2015-12-01,6456,6532,6380,6405,39931,51719.0,4104695.0
2015-12-02,6507,6507,6354,6431,27175,51924.0,4104695.0
2015-12-03,6430,6430,6125,6253,41883,50488.0,4104695.0
2015-12-04,6176,6252,6049,6151,45272,49667.0,4104695.0
2015-12-07,6252,6913,6151,6609,107987,53361.0,4104695.0
2015-12-08,6557,6710,6380,6431,68031,51924.0,4104695.0
2015-12-09,6430,6557,6252,6278,37262,50693.0,4104695.0
2015-12-10,6252,6354,6125,6253,31712,50488.0,4104695.0
2015-12-11,6202,6303,6125,6126,25629,49462.0,4104695.0
2015-12-14,6024,6049,5592,5592,71584,45152.0,4104695.0
2015-12-15,5566,6024,5566,5973,44161,48230.0,4104695.0
2015-12-16,6075,6100,5871,5948,36632,48025.0,4104695.0
2015-12-17,5973,6456,5973,6405,67821,51719.0,4104695.0
2015-12-18,6380,6507,6227,6507,54409,52540.0,4104695.0
2015-12-21,6507,6557,6380,6482,32386,52335.0,4104695.0
2015-12-22,6532,6710,6456,6710,38823,54182.0,4104695.0
2015-12-23,6761,6761,6557,6634,36422,53566.0,4104695.0
2015-12-24,6634,6710,6507,6533,20195,52745.0,4104695.0
2015-12-28,6481,6659,6456,6558,35901,52951.0,4104695.0
2015-12-29,6557,6557,6354,6431,28485,51924.0,4104695.0
2015-12-30,6405,6964,6354,6787,122721,54798.0,4104695.0
2016-01-04,6812,7778,6786,7321,292093,59108.0,4104695.0
2016-01-05,7320,7676,7168,7371,231241,59518.0,4104695.0
2016-01-06,7396,7396,7040,7270,113143,58697.0,4104695.0
2016-01-07,7142,7320,6837,6888,109898,55619.0,4104695.0
2016-01-08,6761,6761,6456,6685,97829,53977.0,4104695.0
2016-01-11,6812,7727,6786,7371,449860,59518.0,4104695.0
2016-01-12,7447,7650,7117,7371,179093,59518.0,4104695.0
2016-01-13,7523,7574,7218,7321,103216,59108.0,4104695.0
2016-01-14,7117,7142,6812,7066,112836,57055.0,4104695.0
2016-01-15,7168,7345,6964,6990,120077,56440.0,4104695.0
2016-01-18,6837,7396,6812,7371,92116,59518.0,4104695.0
2016-01-19,7269,7422,7015,7117,110006,57466.0,4104695.0
2016-01-20,7218,7218,6151,6151,278362,49667.0,4104695.0
2016-01-21,6202,6405,6049,6100,93338,49256.0,4104695.0
2016-01-22,6176,6202,5871,5973,131086,48230.0,4104695.0
2016-01-25,6024,6202,5947,6126,57478,49462.0,4104695.0
2016-01-26,6075,6151,5973,6075,43043,49051.0,4104695.0
2016-01-27,6100,6278,5998,6024,52883,48641.0,4104695.0
2016-01-28,6024,6100,5973,6100,24393,49256.0,4104695.0
2016-01-29,6151,6151,5770,5923,105286,47820.0,4104695.0
2016-02-01,5922,5973,5744,5795,59265,46794.0,4104695.0
2016-02-02,5744,5820,5617,5770,56532,46588.0,4104695.0
2016-02-03,5617,5719,5464,5465,74294,44125.0,4104695.0
2016-02-04,5464,5693,5414,5643,63673,45562.0,4104695.0
2016-02-05,5541,5642,5388,5490,89373,44331.0,4104695.0
2016-02-11,5210,5464,5078,5135,66416,41457.0,4104695.0
2016-02-12,4895,5017,4478,4672,167440,37722.0,4104695.0
2016-02-15,4687,4905,4671,4824,41927,38954.0,4104695.0
2016-02-16,4788,4951,4788,4926,40822,39774.0,4104695.0
2016-02-17,4946,4982,4844,4901,27044,39569.0,4104695.0
2016-02-18,4931,5159,4931,5002,50653,40390.0,4104695.0
2016-02-19,4966,5109,4966,5063,18979,40883.0,4104695.0
2016-02-22,5083,5109,4966,5053,28745,40801.0,4104695.0
2016-02-23,5048,5134,5002,5084,26781,41047.0,4104695.0
2016-02-24,5017,5592,5017,5389,143384,43510.0,4104695.0
2016-02-25,5414,5490,5134,5185,51676,41868.0,4104695.0
2016-02-26,5210,5287,5134,5160,35542,41663.0,4104695.0
2016-02-29,5236,5363,5159,5236,36172,42278.0,4104695.0
2016-03-02,5287,5388,5261,5363,39745,43305.0,4104695.0
2016-03-03,5337,5337,5185,5236,38188,42278.0,4104695.0
2016-03-04,5236,5312,5083,5262,61280,42484.0,4104695.0
2016-03-07,5337,5642,5312,5541,107241,44741.0,4104695.0
2016-03-08,5490,5820,5464,5795,81805,46794.0,4104695.0
2016-03-09,5744,5846,5668,5795,42915,46794.0,4104695.0
2016-03-10,5744,5973,5693,5795,97331,46794.0,4104695.0
2016-03-11,5871,6075,5820,6024,98933,48641.0,4104695.0
2016-03-14,6075,6329,5769,5872,90599,47409.0,4104695.0
2016-03-15,5871,5973,5642,5719,60430,46178.0,4104695.0
2016-03-16,5744,5795,5668,5745,25938,46383.0,4104695.0
2016-03-17,5744,5820,5642,5694,37437,45973.0,4104695.0
2016-03-18,5693,5795,5592,5745,48919,46383.0,4104695.0
2016-03-21,5693,5922,5668,5795,43901,46794.0,4104695.0
2016-03-22,5795,5897,5668,5668,38580,45767.0,4104695.0
2016-03-23,5693,5744,5592,5719,53850,46178.0,4104695.0
2016-03-24,5719,5770,5617,5668,35211,45767.0,4104695.0
2016-03-25,5642,5693,5337,5338,88694,43099.0,4104695.0
2016-03-28,5363,6252,5261,5897,374771,47614.0,4104695.0
2016-03-29,5947,5947,5693,5694,119425,46325.0,4136195.0
2016-03-30,5770,5846,5592,5770,102236,46946.0,4136195.0
2016-03-31,5795,7498,5795,7498,2115668,61009.0,4136195.0
2016-04-01,7320,7905,7117,7829,1110166,63697.0,4136195.0
2016-04-04,7625,8032,7396,8032,650860,65352.0,4136195.0
2016-04-05,8235,8235,7218,7219,479001,58734.0,4136195.0
2016-04-06,7345,7549,7015,7270,490700,59148.0,4136195.0
2016-04-07,7345,7345,6837,7016,360000,57079.0,4136195.0
2016-04-08,7015,7422,6964,7168,415473,58320.0,4136195.0
2016-04-11,7168,7269,6786,6863,226159,55839.0,4136195.0
2016-04-12,6964,7320,6786,7168,294171,58320.0,4136195.0
2016-04-14,6659,6837,6456,6583,318111,53564.0,4136195.0
2016-04-15,6583,6761,6303,6660,168031,54184.0,4136195.0
2016-04-18,6786,6990,6659,6660,131973,54184.0,4136195.0
2016-04-19,6913,6913,6608,6710,61162,54598.0,4136195.0
2016-04-20,6761,6837,6481,6609,82908,53771.0,4136195.0
2016-04-21,6583,7066,6532,6812,208854,55425.0,4136195.0
2016-04-22,6862,7523,6862,7346,491568,59768.0,4136195.0
2016-04-25,7269,7320,7040,7219,164889,58734.0,4136195.0
2016-04-26,7218,7422,6812,6990,166968,56873.0,4136195.0
2016-04-27,7066,7091,6786,6812,88709,55425.0,4136195.0
2016-04-28,6862,6990,6761,6787,84760,55218.0,4136195.0
2016-04-29,6812,7015,6786,6965,122044,56666.0,4136195.0
2016-05-02,7015,7117,6634,6634,102915,53977.0,4136195.0
2016-05-03,6659,6761,6405,6710,96987,54598.0,4136195.0
2016-05-04,6685,6862,6608,6710,53556,54598.0,4136195.0
2016-05-09,6735,6812,6557,6558,37505,53357.0,4136195.0
2016-05-10,6507,6685,6507,6609,53113,53771.0,4136195.0
2016-05-11,6634,6685,6532,6558,49036,53357.0,4136195.0
2016-05-12,6557,6557,6252,6355,156063,51702.0,4136195.0
2016-05-13,6329,6380,6202,6304,99282,51289.0,4136195.0
2016-05-16,6329,6608,6227,6583,116552,53564.0,4136195.0
2016-05-17,6430,6837,6278,6685,184734,54391.0,4136195.0
2016-05-18,6735,6735,6481,6482,74210,52736.0,4136195.0
2016-05-19,6430,6685,6354,6609,71656,53771.0,4136195.0
2016-05-20,6659,6964,6608,6634,114363,53977.0,4136195.0
2016-05-23,6735,6786,6456,6482,62061,52736.0,4136195.0
2016-05-24,6507,6685,6380,6685,69934,54391.0,4136195.0
2016-05-25,6786,6812,6481,6482,60287,52736.0,4136195.0
2016-05-26,6481,6634,6278,6355,93592,51702.0,4136195.0
2016-05-27,6380,6456,6329,6405,60794,52116.0,4136195.0
2016-05-30,6456,6481,6278,6405,47783,52116.0,4136195.0
2016-05-31,6380,6456,6329,6355,43738,51702.0,4136195.0
2016-06-01,6354,6608,6354,6456,69023,52530.0,4136195.0
2016-06-02,6557,7320,6507,7066,660231,57493.0,4136195.0
2016-06-03,7142,7422,6990,7295,311699,59354.0,4136195.0
2016-06-07,7295,7549,7168,7219,179694,58734.0,4136195.0
2016-06-08,7117,7295,7040,7219,118334,58734.0,4136195.0
2016-06-09,7142,7701,7091,7371,385701,59975.0,4136195.0
2016-06-10,7396,7523,7244,7371,131069,59975.0,4136195.0
2016-06-13,7295,7574,7193,7321,137330,59561.0,4136195.0
2016-06-14,7142,7269,6812,6812,209811,55425.0,4136195.0
2016-06-15,6812,6964,6634,6838,87646,55632.0,4136195.0
2016-06-16,6761,6939,5846,5973,354564,48600.0,4136195.0
2016-06-17,6049,6202,5795,5846,110253,47566.0,4136195.0
2016-06-20,5846,5947,5719,5872,106030,47773.0,4136195.0
2016-06-21,5871,5947,5515,5567,182153,45291.0,4136195.0
2016-06-22,5592,5642,5414,5414,95983,44050.0,4136195.0
2016-06-23,5439,5439,5134,5236,154600,42603.0,4136195.0
2016-06-24,5337,5388,4743,4860,303581,39542.0,4136195.0
2016-06-27,4641,4921,4626,4845,107277,39418.0,4136195.0
2016-06-28,4793,4982,4758,4952,80431,40287.0,4136195.0
2016-06-29,5012,5159,4951,5084,119513,41362.0,4136195.0
2016-06-30,5134,5134,4982,5018,94099,40824.0,4136195.0
2016-07-01,5017,5261,5007,5211,74281,42396.0,4136195.0
2016-07-04,5210,5287,5109,5236,63021,42603.0,4136195.0
2016-07-05,5236,5566,5185,5363,130570,43637.0,4136195.0
2016-07-06,5464,5490,5210,5211,52512,42396.0,4136195.0
2016-07-07,5236,5388,5210,5389,37069,43844.0,4136195.0
2016-07-08,5363,5414,5134,5211,52057,42396.0,4136195.0
2016-07-11,5261,5363,5185,5312,45594,43223.0,4136195.0
2016-07-12,5337,5363,5210,5211,47632,42396.0,4136195.0
2016-07-13,5236,5744,5236,5567,219307,45291.0,4136195.0
2016-07-14,5642,5642,5490,5643,51296,45912.0,4136195.0
2016-07-15,5693,5770,5515,5592,82895,45498.0,4136195.0
2016-07-18,5592,5642,5541,5617,32112,45705.0,4136195.0
2016-07-19,5744,6049,5719,5795,304230,47153.0,4136195.0
2016-07-20,5820,5947,5693,5795,74471,47153.0,4136195.0
2016-07-21,5871,5922,5617,5617,80782,45705.0,4136195.0
2016-07-22,5566,5693,5541,5643,27182,45912.0,4136195.0
2016-07-25,5668,5846,5592,5694,37572,46325.0,4136195.0
2016-07-26,5744,6354,5744,6202,508397,50462.0,4136195.0
2016-07-27,6176,6176,5947,5948,103926,48393.0,4136195.0
2016-07-28,5973,6100,5897,6075,88615,49428.0,4136195.0
2016-07-29,6125,6329,6024,6253,143370,50875.0,4136195.0
2016-08-01,6252,6354,5973,5999,98751,48807.0,4136195.0
2016-08-02,5973,6024,5642,5694,156828,46325.0,4136195.0
2016-08-03,5642,5668,5363,5363,125196,43637.0,4136195.0
2016-08-04,5439,5490,5287,5389,61849,43844.0,4136195.0
2016-08-05,5414,5566,5414,5440,58231,44257.0,4136195.0
2016-08-08,5515,5693,5337,5567,88329,45291.0,4136195.0
2016-08-09,5592,5744,5490,5694,54629,46325.0,4136195.0
2016-08-10,5693,5820,5617,5694,47406,46325.0,4136195.0
2016-08-11,5642,5693,5515,5516,37154,44878.0,4136195.0
2016-08-12,5592,5617,5439,5541,38453,45085.0,4136195.0
2016-08-16,5541,5592,5388,5414,34488,44050.0,4136195.0
2016-08-17,5337,5464,5185,5465,72964,44464.0,4136195.0
2016-08-18,5490,5515,5337,5490,31006,44671.0,4136195.0
2016-08-19,5439,5566,5414,5440,30138,44257.0,4136195.0
2016-08-22,5439,5515,5363,5414,30227,44050.0,4136195.0
2016-08-23,5414,5515,5363,5389,21250,43844.0,4136195.0
2016-08-24,5464,5490,5261,5363,25558,43637.0,4136195.0
2016-08-25,5337,5414,5287,5389,20701,43844.0,4136195.0
2016-08-26,5363,5439,5287,5287,31623,43016.0,4136195.0
2016-08-29,5287,5337,5007,5043,76394,41031.0,4136195.0
2016-08-30,5043,5159,5043,5084,31980,41362.0,4136195.0
