SK4호스팩(307070),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-02-20,2025,2025,2020,2020,2001,10423.0,5160000.0
2019-02-21,2025,2025,2010,2010,8,10372.0,5160000.0
2019-02-22,2035,2035,2035,2035,1,10501.0,5160000.0
2019-02-25,2030,2030,2010,2010,610,10372.0,5160000.0
2019-02-26,2030,2030,2010,2010,58258,10372.0,5160000.0
2019-02-27,2015,2015,2010,2010,1001,10372.0,5160000.0
2019-02-28,2020,2020,2010,2010,771,10372.0,5160000.0
2019-03-04,2015,2015,2010,2010,2103,10372.0,5160000.0
2019-03-05,2020,2020,2010,2010,5206,10372.0,5160000.0
2019-03-06,2020,2020,2010,2010,781,10372.0,5160000.0
2019-03-07,2020,2020,2010,2010,725,10372.0,5160000.0
2019-03-08,2015,2015,2010,2015,1661,10397.0,5160000.0
2019-03-11,2015,2020,2015,2020,2182,10423.0,5160000.0
2019-03-12,2020,2020,2020,2020,2317,10423.0,5160000.0
2019-03-13,2020,2020,2015,2015,298,10397.0,5160000.0
2019-03-14,2020,2020,2015,2015,5083,10397.0,5160000.0
2019-03-15,2025,2025,2020,2020,302,10423.0,5160000.0
2019-03-18,2025,2025,2020,2025,1147,10449.0,5160000.0
2019-03-19,2025,2025,2025,2025,3459,10449.0,5160000.0
2019-03-20,2030,2030,2025,2030,1413,10475.0,5160000.0
2019-03-21,2035,2035,2020,2020,2747,10423.0,5160000.0
2019-03-22,2030,2030,2020,2020,2460,10423.0,5160000.0
2019-03-25,2030,2030,2015,2015,52,10397.0,5160000.0
2019-03-26,2055,2055,2020,2020,5493,10423.0,5160000.0
2019-03-27,2045,2045,2020,2020,530,10423.0,5160000.0
2019-03-28,2030,2030,2020,2020,435,10423.0,5160000.0
2019-03-29,2030,2030,2025,2025,4778,10449.0,5160000.0
2019-04-01,2025,2025,2020,2020,2916,10423.0,5160000.0
2019-04-02,2025,2025,2020,2020,312,10423.0,5160000.0
2019-04-03,2025,2025,2020,2020,1391,10423.0,5160000.0
2019-04-04,2035,2035,2020,2020,5340,10423.0,5160000.0
2019-04-05,2030,2030,2030,2030,2,10475.0,5160000.0
2019-04-08,2030,2030,2030,2030,1240,10475.0,5160000.0
2019-04-09,2035,2035,2030,2030,3797,10475.0,5160000.0
2019-04-10,2035,2035,2035,2035,2,10501.0,5160000.0
2019-04-11,2035,2035,2030,2030,14289,10475.0,5160000.0
2019-04-12,2030,2075,2030,2040,50502,10526.0,5160000.0
2019-04-15,2040,2040,2025,2025,6,10449.0,5160000.0
2019-04-16,2040,2040,2040,2040,2123,10526.0,5160000.0
2019-04-17,2050,2050,2040,2040,16011,10526.0,5160000.0
2019-04-18,2050,2050,2050,2050,10,10578.0,5160000.0
2019-04-19,2060,2060,2045,2045,81,10552.0,5160000.0
2019-04-22,2045,2055,2045,2055,108,10604.0,5160000.0
2019-04-23,2055,2055,2055,2055,2687,10604.0,5160000.0
2019-04-24,2055,2055,2055,2055,4404,10604.0,5160000.0
2019-04-25,2060,2060,2055,2055,3027,10604.0,5160000.0
2019-04-26,2060,2065,2050,2065,921,10655.0,5160000.0
2019-04-29,2070,2070,2065,2065,27,10655.0,5160000.0
2019-04-30,2075,2075,2075,2075,5,10707.0,5160000.0
2019-05-02,2070,2070,2070,2070,10000,10681.0,5160000.0
2019-05-03,2085,2085,2065,2070,35914,10681.0,5160000.0
2019-05-07,2090,2090,2065,2080,8581,10733.0,5160000.0
2019-05-08,2085,2085,2070,2085,846,10759.0,5160000.0
2019-05-09,2090,2090,2065,2085,2907,10759.0,5160000.0
2019-05-10,2090,2090,2070,2075,2204,10707.0,5160000.0
2019-05-13,2090,2380,2080,2115,191545,10913.0,5160000.0
2019-05-14,2240,2680,2045,2115,8336973,10913.0,5160000.0
2019-05-15,2105,2145,2050,2050,967705,10578.0,5160000.0
2019-05-16,2065,2100,2045,2085,379924,10759.0,5160000.0
2019-05-17,2075,2120,2060,2060,172285,10630.0,5160000.0
2019-05-20,2060,2075,2055,2055,72240,10604.0,5160000.0
2019-05-21,2055,2090,2055,2075,121566,10707.0,5160000.0
2019-05-22,2080,2080,2065,2080,119948,10733.0,5160000.0
2019-05-23,2085,2085,2065,2070,35051,10681.0,5160000.0
2019-05-24,2060,2085,2060,2075,44643,10707.0,5160000.0
2019-05-27,2070,2075,2060,2060,63741,10630.0,5160000.0
2019-05-28,2060,2070,2060,2065,22131,10655.0,5160000.0
2019-05-29,2080,2080,2060,2070,95270,10681.0,5160000.0
2019-05-30,2080,2085,2060,2080,15157,10733.0,5160000.0
2019-05-31,2085,2090,2065,2090,18452,10784.0,5160000.0
2019-06-03,2090,2105,2075,2080,41241,10733.0,5160000.0
2019-06-04,2095,2100,2075,2090,52122,10784.0,5160000.0
2019-06-05,2095,2095,2080,2090,30513,10784.0,5160000.0
2019-06-07,2085,2090,2075,2085,16250,10759.0,5160000.0
2019-06-10,2080,2095,2080,2085,22872,10759.0,5160000.0
2019-06-11,2100,2105,2080,2090,19354,10784.0,5160000.0
2019-06-12,2100,2100,2085,2090,10794,10784.0,5160000.0
2019-06-13,2110,2110,2085,2100,42251,10836.0,5160000.0
2019-06-14,2110,2115,2090,2100,15403,10836.0,5160000.0
2019-06-17,2120,2120,2100,2120,18961,10939.0,5160000.0
2019-06-18,2115,2170,2105,2170,74329,11197.0,5160000.0
2019-06-19,2175,2175,2115,2150,40164,11094.0,5160000.0
2019-06-20,2140,2175,2130,2165,46283,11171.0,5160000.0
2019-06-21,2165,2280,2145,2270,312871,11713.0,5160000.0
2019-06-24,2270,2300,2200,2235,138492,11533.0,5160000.0
2019-06-25,2240,2240,2130,2140,97975,11042.0,5160000.0
2019-06-26,2130,2165,2130,2135,29574,11017.0,5160000.0
2019-06-27,2135,2170,2130,2145,33448,11068.0,5160000.0
2019-06-28,2145,2150,2135,2140,13359,11042.0,5160000.0
2019-07-01,2170,2170,2130,2160,39912,11146.0,5160000.0
2019-07-02,2130,2160,2130,2140,12446,11042.0,5160000.0
2019-07-03,2130,2140,2125,2140,28906,11042.0,5160000.0
2019-07-04,2175,2175,2110,2120,37686,10939.0,5160000.0
2019-07-05,2125,2140,2110,2135,32287,11017.0,5160000.0
2019-07-08,2140,2140,2110,2125,30910,10965.0,5160000.0
2019-07-09,2140,2160,2105,2105,86926,10862.0,5160000.0
2019-07-10,2125,2125,2105,2125,14560,10965.0,5160000.0
2019-07-11,2125,2125,2110,2120,23382,10939.0,5160000.0
2019-07-12,2120,2120,2105,2115,14737,10913.0,5160000.0
2019-07-15,2135,2135,2095,2115,55121,10913.0,5160000.0
2019-07-16,2125,2125,2095,2110,7725,10888.0,5160000.0
2019-07-17,2115,2115,2090,2100,8785,10836.0,5160000.0
2019-07-18,2120,2120,2090,2095,9336,10810.0,5160000.0
2019-07-19,2105,2110,2090,2100,19667,10836.0,5160000.0
2019-07-22,2105,2105,2085,2095,55996,10810.0,5160000.0
2019-07-23,2095,2100,2080,2090,41401,10784.0,5160000.0
2019-07-24,2095,2100,2085,2095,14540,10810.0,5160000.0
2019-07-25,2095,2100,2080,2090,15842,10784.0,5160000.0
2019-07-26,2095,2095,2080,2085,50439,10759.0,5160000.0
2019-07-29,2090,2095,2080,2085,5681,10759.0,5160000.0
2019-07-30,2095,2095,2075,2090,6501,10784.0,5160000.0
2019-07-31,2095,2120,2085,2115,27214,10913.0,5160000.0
2019-08-01,2115,2115,2095,2110,1935,10888.0,5160000.0
2019-08-02,2090,2100,2085,2100,24729,10836.0,5160000.0
2019-08-05,2090,2100,2080,2095,30412,10810.0,5160000.0
2019-08-06,2090,2105,2070,2085,11296,10759.0,5160000.0
2019-08-07,2100,2100,2070,2090,7056,10784.0,5160000.0
2019-08-08,2070,2100,2070,2095,7065,10810.0,5160000.0
2019-08-09,2075,2090,2075,2080,6670,10733.0,5160000.0
2019-08-12,2105,2105,2075,2075,1946,10707.0,5160000.0
2019-08-13,2100,2100,2080,2090,521,10784.0,5160000.0
2019-08-14,2100,2100,2085,2100,11223,10836.0,5160000.0
2019-08-16,2090,2100,2085,2095,7521,10810.0,5160000.0
2019-08-19,2095,2095,2080,2080,7544,10733.0,5160000.0
2019-08-20,2095,2100,2080,2090,39622,10784.0,5160000.0
2019-08-21,2100,2100,2085,2090,2065,10784.0,5160000.0
2019-08-22,2075,2090,2075,2080,6785,10733.0,5160000.0
2019-08-23,2080,2080,2075,2080,11373,10733.0,5160000.0
2019-08-26,2075,2085,2075,2075,3249,10707.0,5160000.0
2019-08-27,2085,2095,2075,2090,2054,10784.0,5160000.0
2019-08-28,2100,2100,2100,2100,10,10836.0,5160000.0
2019-08-29,2085,2100,2085,2095,1607,10810.0,5160000.0
2019-08-30,2100,2100,2085,2090,15880,10784.0,5160000.0
2019-09-02,2090,2100,2075,2095,7248,10810.0,5160000.0
2019-09-03,2075,2095,2070,2075,31073,10707.0,5160000.0
2019-09-04,2095,2095,2070,2095,10734,10810.0,5160000.0
2019-09-05,2080,2095,2080,2080,1031,10733.0,5160000.0
2019-09-06,2070,2100,2070,2100,7218,10836.0,5160000.0
2019-09-09,2100,2100,2095,2100,8011,10836.0,5160000.0
2019-09-10,2100,2100,2090,2090,6001,10784.0,5160000.0
2019-09-11,2100,2110,2090,2100,13672,10836.0,5160000.0
2019-09-16,2110,2115,2095,2115,7867,10913.0,5160000.0
2019-09-17,2110,2110,2090,2105,1542,10862.0,5160000.0
2019-09-18,2080,2105,2080,2100,2589,10836.0,5160000.0
2019-09-19,2110,2110,2085,2085,864,10759.0,5160000.0
2019-09-20,2105,2105,2095,2095,494,10810.0,5160000.0
2019-09-23,2080,2090,2080,2090,1499,10784.0,5160000.0
2019-09-24,2085,2105,2085,2090,7662,10784.0,5160000.0
2019-09-25,2090,2110,2085,2095,5059,10810.0,5160000.0
2019-09-26,2100,2100,2100,2100,10,10836.0,5160000.0
2019-09-27,2085,2095,2085,2095,18848,10810.0,5160000.0
2019-09-30,2100,2100,2090,2090,18812,10784.0,5160000.0
2019-10-01,2100,2100,2090,2095,5591,10810.0,5160000.0
2019-10-02,2100,2100,2090,2100,5959,10836.0,5160000.0
2019-10-04,2095,2100,2095,2100,1405,10836.0,5160000.0
2019-10-07,2090,2100,2090,2095,50794,10810.0,5160000.0
