이노테라피(246960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-05-17,16750,17150,16350,16350,60143,82472.0,5044184.0
2019-05-20,16350,16700,15700,15700,91321,79194.0,5044184.0
2019-05-21,15650,15850,15250,15550,78880,78437.0,5044184.0
2019-05-22,15800,15800,15450,15550,39128,78437.0,5044184.0
2019-05-23,15700,16050,15400,15400,44374,77680.0,5044184.0
2019-05-24,15350,15350,14400,14850,92986,74906.0,5044184.0
2019-05-27,14850,14850,14200,14350,70817,72384.0,5044184.0
2019-05-28,14350,14750,14150,14550,45187,73393.0,5044184.0
2019-05-29,14450,14500,13750,13750,63688,69358.0,5044184.0
2019-05-30,13750,13850,12850,13250,120575,66835.0,5044184.0
2019-05-31,13250,13300,12700,13050,57291,65827.0,5044184.0
2019-06-03,13000,13500,12850,13250,49935,66835.0,5044184.0
2019-06-04,13150,13650,13150,13600,29260,68601.0,5044184.0
2019-06-05,13700,14300,13500,14050,42583,70871.0,5044184.0
2019-06-07,14250,14700,14150,14400,38323,72636.0,5044184.0
2019-06-10,14550,14600,14000,14300,23118,72132.0,5044184.0
2019-06-11,14350,14450,14150,14300,26928,72132.0,5044184.0
2019-06-12,14300,14450,13750,13950,39129,70366.0,5044184.0
2019-06-13,14050,14100,13750,13950,21191,70366.0,5044184.0
2019-06-14,14100,14100,13600,13700,19382,69105.0,5044184.0
2019-06-17,13850,13850,13150,13300,26584,67088.0,5044184.0
2019-06-18,13350,13650,12800,13000,47062,65574.0,5044184.0
2019-06-19,13050,13400,13000,13150,33029,66331.0,5044184.0
2019-06-20,13050,13650,13050,13450,24815,67844.0,5044184.0
2019-06-21,13450,13600,12900,13250,37545,66835.0,5044184.0
2019-06-24,13150,13400,13100,13200,17037,66583.0,5044184.0
2019-06-25,13200,13300,12800,13050,33719,65827.0,5044184.0
2019-06-26,13000,13050,12750,12950,19578,65322.0,5044184.0
2019-06-27,12900,13000,11550,11700,194789,59017.0,5044184.0
2019-06-28,11750,12150,11100,11350,73429,57251.0,5044184.0
2019-07-01,11350,11900,11350,11700,34276,59017.0,5044184.0
2019-07-02,11650,12250,11600,11950,34890,60278.0,5044184.0
2019-07-03,11900,12150,11600,11700,20686,59017.0,5044184.0
2019-07-04,11700,11700,10700,11100,90705,55990.0,5044184.0
2019-07-05,11150,11650,11000,11450,37865,57756.0,5044184.0
2019-07-08,11300,11450,10700,10700,31741,53973.0,5044184.0
2019-07-09,10600,10900,10150,10200,67718,51451.0,5044184.0
2019-07-10,10250,10750,10200,10450,40164,52712.0,5044184.0
2019-07-11,10450,10850,10250,10700,18011,53973.0,5044184.0
2019-07-12,10650,11050,10600,11050,17870,55738.0,5044184.0
2019-07-15,11000,11200,10700,10800,10393,54477.0,5044184.0
2019-07-16,10700,10950,10650,10750,13010,54225.0,5044184.0
2019-07-17,10700,10850,10350,10600,26512,53468.0,5044184.0
2019-07-18,10650,10700,10400,10500,11290,52964.0,5044184.0
2019-07-19,10500,12350,10450,11200,118809,56495.0,5044184.0
2019-07-22,11250,11950,11200,11800,35196,59521.0,5044184.0
2019-07-23,11900,12850,11700,12650,121218,63809.0,5044184.0
2019-07-24,12500,12750,12100,12550,52792,63305.0,5044184.0
2019-07-25,12650,13200,12150,12750,81077,64313.0,5044184.0
2019-07-26,12700,12850,11700,12000,62143,60530.0,5044184.0
2019-07-29,11850,12150,10750,10900,38777,54982.0,5044184.0
2019-07-30,10950,11600,10700,11450,27181,57756.0,5044184.0
2019-07-31,11450,11500,10500,11500,39327,58008.0,5044184.0
2019-08-01,11500,11700,11000,11050,21525,55738.0,5044184.0
2019-08-02,10800,11150,10350,11000,40519,55486.0,5044184.0
2019-08-05,10650,10950,9510,9510,74588,47970.0,5044184.0
2019-08-06,8900,9310,8510,8670,86749,43733.0,5044184.0
2019-08-07,8490,8880,8490,8690,53831,43834.0,5044184.0
2019-08-08,8810,9100,8760,8910,23058,44944.0,5044184.0
2019-08-09,8990,9240,8870,9090,19539,45852.0,5044184.0
2019-08-12,9090,9300,8900,9200,21434,46406.0,5044184.0
2019-08-13,9180,9350,9080,9260,11572,46709.0,5044184.0
2019-08-14,9350,9480,9080,9260,14392,46709.0,5044184.0
2019-08-16,9190,9190,8850,9100,10318,45902.0,5044184.0
2019-08-19,9180,9220,8990,9020,12035,45499.0,5044184.0
2019-08-20,9010,9180,8900,9080,17984,45801.0,5044184.0
2019-08-21,9010,9350,9000,9200,16150,46406.0,5044184.0
2019-08-22,9300,9530,9100,9380,20908,47314.0,5044184.0
2019-08-23,9320,9480,9180,9360,10880,47214.0,5044184.0
2019-08-26,9000,9150,8880,8910,20513,44944.0,5044184.0
2019-08-27,8920,9280,8920,9090,10588,45852.0,5044184.0
2019-08-28,9100,9500,9030,9410,18978,47466.0,5044184.0
2019-08-29,9420,9600,9240,9360,11919,47214.0,5044184.0
2019-08-30,9520,9700,9370,9640,17083,48626.0,5044184.0
2019-09-02,9880,9880,9390,9520,7891,48021.0,5044184.0
2019-09-03,9490,9600,9360,9530,10992,48071.0,5044184.0
2019-09-04,9540,9700,9350,9420,17597,47516.0,5044184.0
2019-09-05,9400,9640,9250,9460,25709,47718.0,5044184.0
2019-09-06,9410,9720,9300,9570,35269,48273.0,5044184.0
2019-09-09,9560,9590,9380,9450,12492,47668.0,5044184.0
2019-09-10,9600,10000,9380,9640,82873,48626.0,5044184.0
2019-09-11,9560,9840,9560,9840,16968,49635.0,5044184.0
2019-09-16,9890,9890,9690,9800,7258,49433.0,5044184.0
2019-09-17,9800,10350,9720,10200,26079,51451.0,5044184.0
2019-09-18,10100,11400,9970,10950,158621,55234.0,5044184.0
2019-09-19,10950,11850,10800,11000,97233,55486.0,5044184.0
2019-09-20,10950,11250,10500,10650,39414,53721.0,5044184.0
2019-09-23,10600,10900,10150,10250,33102,51703.0,5044184.0
2019-09-24,10300,10800,10000,10250,43693,51703.0,5044184.0
2019-09-25,10300,10600,10100,10150,16656,51198.0,5044184.0
2019-09-26,10250,10400,9940,10250,28297,51703.0,5044184.0
2019-09-27,10250,10300,10000,10200,10503,51451.0,5044184.0
2019-09-30,10200,10400,9920,10050,13031,50694.0,5044184.0
2019-10-01,10100,10400,9910,10150,19993,51198.0,5044184.0
2019-10-02,10150,11100,9940,10350,184357,52207.0,5044184.0
2019-10-04,10300,11100,10100,10450,126632,52712.0,5044184.0
2019-10-07,10450,11300,10450,10900,151989,54982.0,5044184.0
