로고스바이오(238120),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-12-15,17200,18450,16950,17450,60122,62152.0,3561724.0
2016-12-16,17650,18200,17300,17700,49020,63043.0,3561724.0
2016-12-19,17700,18100,17200,17300,21723,61618.0,3561724.0
2016-12-20,17500,17550,16450,16450,35855,58590.0,3561724.0
2016-12-21,16550,16750,16400,16450,12388,58590.0,3561724.0
2016-12-22,16450,16700,16100,16100,11642,57344.0,3561724.0
2016-12-23,16300,16850,16000,16850,20363,60015.0,3561724.0
2016-12-26,17000,17700,16900,17500,40494,62330.0,3561724.0
2016-12-27,17500,17900,17200,17200,24375,61262.0,3561724.0
2016-12-28,17350,17600,17150,17150,9442,61084.0,3561724.0
2016-12-29,16900,17400,16800,17050,12827,60727.0,3561724.0
2017-01-02,16900,17300,16400,16500,24235,58768.0,3561724.0
2017-01-03,16700,16900,16450,16900,22214,60193.0,3561724.0
2017-01-04,16800,17700,16800,17200,34109,61262.0,3561724.0
2017-01-05,17350,17750,17150,17450,18625,62152.0,3561724.0
2017-01-06,17350,17500,17150,17250,11675,61440.0,3561724.0
2017-01-09,17250,17500,17050,17050,12060,60727.0,3561724.0
2017-01-10,16900,17200,16400,16500,19713,58768.0,3561724.0
2017-01-11,16500,16700,15750,15750,39452,56097.0,3561724.0
2017-01-12,16150,16200,15650,15850,12803,56453.0,3561724.0
2017-01-13,15850,16050,15700,15850,24650,56453.0,3561724.0
2017-01-16,15950,16600,15850,16150,18836,57522.0,3561724.0
2017-01-17,16100,16200,15950,16000,11343,56988.0,3561724.0
2017-01-18,16250,16600,15950,16100,9596,57344.0,3561724.0
2017-01-19,16150,16400,15800,15800,12743,56275.0,3561724.0
2017-01-20,15850,16050,15500,15650,10814,55741.0,3561724.0
2017-01-23,15800,15800,15400,15600,7740,55563.0,3561724.0
2017-01-24,15500,15650,15150,15150,20245,53960.0,3561724.0
2017-01-25,15100,15400,14600,14650,16961,52179.0,3561724.0
2017-01-26,15000,15100,14600,14800,7119,52714.0,3561724.0
2017-01-31,14750,15450,14750,15350,3344,54672.0,3561724.0
2017-02-01,15400,15700,15250,15350,7624,54672.0,3561724.0
2017-02-02,15350,15500,14900,15100,10463,53782.0,3561724.0
2017-02-03,15100,15150,14600,14700,9911,52357.0,3561724.0
2017-02-06,15100,15100,14500,14800,13699,52714.0,3561724.0
2017-02-07,14850,15000,14650,14850,4045,52892.0,3561724.0
2017-02-08,14750,14950,14450,14550,14989,51823.0,3561724.0
2017-02-09,14550,14550,14350,14550,11209,51823.0,3561724.0
2017-02-10,14600,15000,14400,14450,10939,51467.0,3561724.0
2017-02-13,14450,14550,14350,14500,19761,51645.0,3561724.0
2017-02-14,14500,14650,14300,14600,6126,52001.0,3561724.0
2017-02-15,14450,14800,14400,14650,4646,52179.0,3561724.0
2017-02-16,14800,14800,14350,14400,4726,51289.0,3561724.0
2017-02-17,14400,14650,13800,13800,10809,49152.0,3561724.0
2017-02-20,13800,13950,13500,13600,5690,48439.0,3561724.0
2017-02-21,13650,14250,13550,13550,9917,48261.0,3561724.0
2017-02-22,13600,14050,13350,13550,11948,48261.0,3561724.0
2017-02-23,13750,13800,13300,13400,9569,47727.0,3561724.0
2017-02-24,13350,13500,12900,13200,13949,47015.0,3561724.0
2017-02-27,13150,13200,12800,12850,5364,45768.0,3561724.0
2017-02-28,13050,13100,12850,13100,7123,46659.0,3561724.0
2017-03-02,13150,13700,13100,13100,10295,46659.0,3561724.0
2017-03-03,13300,13300,12500,13000,15403,46302.0,3561724.0
2017-03-06,12950,13000,12000,12100,35710,43097.0,3561724.0
2017-03-07,12150,15050,12150,12800,507684,45590.0,3561724.0
2017-03-08,13150,13250,12650,12850,46921,45768.0,3561724.0
2017-03-09,12950,12950,12450,12500,27899,44522.0,3561724.0
2017-03-10,12550,12850,12200,12400,17393,44165.0,3561724.0
2017-03-13,12600,12600,12350,12450,9800,44343.0,3561724.0
2017-03-14,12550,12550,12050,12350,17534,43987.0,3561724.0
2017-03-15,12400,12400,11900,12100,15666,43097.0,3561724.0
2017-03-16,12150,12200,11900,12100,9311,43097.0,3561724.0
2017-03-17,12300,12500,12150,12450,17188,44343.0,3561724.0
2017-03-20,12250,12500,12050,12200,7741,43453.0,3561724.0
2017-03-21,12300,12450,12000,12000,9820,42741.0,3561724.0
2017-03-22,11950,12250,11900,12100,7581,43097.0,3561724.0
2017-03-23,12100,12200,11900,11900,6534,42385.0,3561724.0
2017-03-24,11950,12100,11500,12050,15708,42919.0,3561724.0
2017-03-27,12100,12300,11950,12200,9479,43453.0,3561724.0
2017-03-28,12200,12350,12000,12350,6853,43987.0,3561724.0
2017-03-29,12350,12500,12050,12100,11303,43097.0,3561724.0
2017-03-30,12100,12300,12000,12000,4868,42741.0,3561724.0
2017-03-31,11900,12200,11700,12200,22056,43453.0,3561724.0
2017-04-03,12200,12900,12200,12450,20972,44343.0,3561724.0
2017-04-04,12450,12650,12400,12400,9391,44165.0,3561724.0
2017-04-05,12400,12650,12200,12550,8080,44700.0,3561724.0
2017-04-06,12550,12750,12400,12650,4626,45056.0,3561724.0
2017-04-07,12700,12900,12400,12700,7658,45234.0,3561724.0
2017-04-10,12900,16500,12800,13950,644564,49686.0,3561724.0
2017-04-11,14600,16100,13950,14900,352400,53070.0,3561724.0
2017-04-12,15200,15200,14350,14750,76769,52535.0,3561724.0
2017-04-13,14950,18500,14800,16500,1345232,58768.0,3561724.0
2017-04-14,16250,16850,15900,15900,224825,56631.0,3561724.0
2017-04-17,16200,16450,15600,16050,100546,57166.0,3561724.0
2017-04-18,16050,16200,15700,16100,61622,57344.0,3561724.0
2017-04-19,16050,16500,14950,15000,108201,53426.0,3561724.0
2017-04-20,15050,15100,14450,14550,58452,51823.0,3561724.0
2017-04-21,14750,15700,14350,15300,127461,54494.0,3561724.0
2017-04-24,15250,15750,14700,14850,38410,52892.0,3561724.0
2017-04-25,14900,15050,14300,14850,21900,52892.0,3561724.0
2017-04-26,14900,15300,14650,15200,28748,54138.0,3561724.0
2017-04-27,15300,15300,14650,14650,35285,52179.0,3561724.0
2017-04-28,14550,15000,14350,14350,17537,51111.0,3561724.0
2017-05-02,14600,14600,13950,14550,17118,51823.0,3561724.0
2017-05-04,14700,14750,14300,14550,4034,51823.0,3561724.0
2017-05-08,14400,15050,14400,14950,31867,53248.0,3561724.0
2017-05-10,15000,15200,14700,15000,17669,53426.0,3561724.0
2017-05-11,15250,15400,14750,14750,18611,52535.0,3561724.0
2017-05-12,14750,14800,13350,13950,135266,49686.0,3561724.0
2017-05-15,13950,14050,13200,13200,40918,47015.0,3561724.0
2017-05-16,13300,13700,12500,12550,42930,44700.0,3561724.0
2017-05-17,12600,12750,12400,12600,21970,44878.0,3561724.0
2017-05-18,12450,13150,12450,13150,13152,46837.0,3561724.0
2017-05-19,13000,15450,13000,13800,99284,49152.0,3561724.0
2017-05-22,13850,14050,13300,13400,19693,47727.0,3561724.0
2017-05-23,13400,13900,13250,13900,22606,49508.0,3561724.0
2017-05-24,13900,14450,13750,14050,16600,50042.0,3561724.0
2017-05-25,14050,14400,13450,13600,17600,48439.0,3561724.0
2017-05-26,13700,14500,13450,13900,23700,49508.0,3561724.0
2017-05-29,13950,14050,13650,13850,11220,49330.0,3561724.0
2017-05-30,13750,14100,13600,13900,9141,49508.0,3561724.0
2017-05-31,14000,14600,13700,13950,31638,49686.0,3561724.0
2017-06-01,14000,16000,14000,14400,298418,51289.0,3561724.0
2017-06-02,14500,14650,14050,14450,32513,51467.0,3561724.0
2017-06-05,14700,14700,14150,14550,31300,51823.0,3561724.0
2017-06-07,14500,15900,14400,14950,130318,53248.0,3561724.0
2017-06-08,14900,15200,14550,14950,33533,53248.0,3561724.0
2017-06-09,15100,15850,14750,15200,82400,54138.0,3561724.0
2017-06-12,15100,15100,14400,14400,29292,51289.0,3561724.0
2017-06-13,14400,14550,13650,14300,54208,50933.0,3561724.0
2017-06-14,15300,15650,13900,14000,177560,49864.0,3561724.0
2017-06-15,14200,15600,13900,15200,169851,54640.0,3594724.0
2017-06-16,15100,15650,14950,15500,58814,55718.0,3594724.0
2017-06-19,15700,15800,14900,15350,44732,55179.0,3594724.0
2017-06-20,15300,15350,14600,14750,40917,53022.0,3594724.0
2017-06-21,14650,15700,14650,15500,50448,55718.0,3594724.0
2017-06-22,15650,16000,15200,15200,58176,54640.0,3594724.0
2017-06-23,15200,15400,14900,15200,25198,54640.0,3594724.0
2017-06-26,15050,15500,15000,15050,22032,54101.0,3594724.0
2017-06-27,15050,15450,14950,15100,31952,54280.0,3594724.0
2017-06-28,15150,15150,14850,14900,12375,53561.0,3594724.0
2017-06-29,15150,15200,14750,15050,13047,54101.0,3594724.0
2017-06-30,15000,15100,14800,14850,13561,53382.0,3594724.0
2017-07-03,15100,15100,14550,14800,15435,53202.0,3594724.0
2017-07-04,14800,14800,14300,14500,24052,52123.0,3594724.0
2017-07-05,14700,15100,14550,14900,16449,53561.0,3594724.0
2017-07-06,15100,15100,14700,14850,10448,53382.0,3594724.0
2017-07-07,14850,14850,14600,14600,20510,52483.0,3594724.0
2017-07-10,14600,14750,14450,14500,10600,52123.0,3594724.0
2017-07-11,14700,14700,14450,14600,8229,52483.0,3594724.0
2017-07-12,14700,14700,14100,14100,23278,50686.0,3594724.0
2017-07-13,14300,14300,13550,13650,31139,49068.0,3594724.0
2017-07-14,13650,14100,13550,14000,12212,50326.0,3594724.0
2017-07-17,13950,14100,13650,13700,12966,49248.0,3594724.0
2017-07-18,13900,13900,13650,13850,9065,49787.0,3594724.0
2017-07-19,13850,14250,13750,14250,6950,51225.0,3594724.0
2017-07-20,14100,14450,14100,14450,9615,51944.0,3594724.0
2017-07-21,14300,15000,14300,14800,23874,53202.0,3594724.0
2017-07-24,14800,15300,14650,14800,16995,53202.0,3594724.0
2017-07-25,14750,14900,14200,14200,17073,51045.0,3594724.0
2017-07-26,14200,14300,13900,14000,15421,50326.0,3594724.0
2017-07-27,14250,14250,14000,14250,2406,51225.0,3594724.0
2017-07-28,14050,14350,13950,14100,3106,50686.0,3594724.0
2017-07-31,13850,14000,13600,13750,6070,49427.0,3594724.0
2017-08-01,13750,14100,13650,13950,4383,50146.0,3594724.0
2017-08-02,13900,14250,13750,13950,6930,50146.0,3594724.0
2017-08-03,14200,14200,13650,13650,12129,49068.0,3594724.0
2017-08-04,13900,13900,13250,13600,14440,48888.0,3594724.0
2017-08-07,13600,13850,13450,13850,5319,49787.0,3594724.0
2017-08-08,14000,14100,13650,13800,6523,49607.0,3594724.0
2017-08-09,13800,13900,13500,13550,6364,48709.0,3594724.0
2017-08-10,13550,13550,13150,13250,15958,47630.0,3594724.0
2017-08-11,13250,13400,12500,13100,30263,47091.0,3594724.0
2017-08-14,12900,13300,12900,12900,17820,46372.0,3594724.0
2017-08-16,13200,13200,12750,13050,6286,46911.0,3594724.0
2017-08-17,12950,13150,12900,12900,3246,46372.0,3594724.0
2017-08-18,12800,13100,12800,13050,9639,46911.0,3594724.0
2017-08-21,12950,13250,12900,13150,3821,47271.0,3594724.0
2017-08-22,13250,13250,13050,13200,2967,47450.0,3594724.0
2017-08-23,13250,13550,13150,13350,3896,47990.0,3594724.0
2017-08-24,13400,13400,13250,13400,2827,48169.0,3594724.0
2017-08-25,13400,13400,13250,13400,3163,48169.0,3594724.0
2017-08-28,13550,13550,13000,13250,5947,47630.0,3594724.0
2017-08-29,13250,13250,12850,13100,7108,47091.0,3594724.0
2017-08-30,13250,13250,12700,12800,9036,46012.0,3594724.0
2017-08-31,12800,12900,12650,12700,6451,45653.0,3594724.0
2017-09-01,13200,13200,12700,12900,2752,46372.0,3594724.0
2017-09-04,12400,12750,12350,12550,12905,45114.0,3594724.0
2017-09-05,12700,12850,12300,12750,14362,45833.0,3594724.0
2017-09-06,12600,12900,12550,12600,5556,45294.0,3594724.0
2017-09-07,12800,13000,12750,12900,3526,46372.0,3594724.0
2017-09-08,13000,13000,12650,12950,5648,46552.0,3594724.0
2017-09-11,12950,13600,12750,13500,12500,48529.0,3594724.0
2017-09-12,13700,13700,13050,13150,7207,47271.0,3594724.0
2017-09-13,13250,13300,12850,13200,3923,47450.0,3594724.0
2017-09-14,13250,13600,12900,13550,10918,48709.0,3594724.0
2017-09-15,13350,13550,13300,13450,2717,48349.0,3594724.0
2017-09-18,13400,13600,13200,13500,9615,48529.0,3594724.0
2017-09-19,13350,15800,13350,14100,101007,50686.0,3594724.0
2017-09-20,14150,14950,13900,14700,39195,52842.0,3594724.0
2017-09-21,14700,15200,14450,14700,24740,52842.0,3594724.0
2017-09-22,14700,14700,13250,13450,44892,48349.0,3594724.0
2017-09-25,13350,13550,12700,12850,26524,46192.0,3594724.0
2017-09-26,12850,13200,12500,12850,8561,46192.0,3594724.0
2017-09-27,13100,13200,12850,13200,4753,47450.0,3594724.0
2017-09-28,13000,13250,12300,12400,32411,44575.0,3594724.0
2017-09-29,12500,12700,12400,12550,12876,45114.0,3594724.0
2017-10-10,12850,12850,12350,12650,4478,45473.0,3594724.0
2017-10-11,12650,12700,12350,12650,7123,45473.0,3594724.0
2017-10-12,12450,12650,12350,12350,10146,44395.0,3594724.0
2017-10-13,12300,12600,11950,12300,15133,44215.0,3594724.0
2017-10-16,12300,12450,12050,12300,3754,44215.0,3594724.0
2017-10-17,12150,12600,12150,12500,4831,44934.0,3594724.0
2017-10-18,12500,12500,12250,12250,4648,44035.0,3594724.0
2017-10-19,12450,12550,12400,12500,10583,44934.0,3594724.0
2017-10-20,12400,12650,12400,12450,1746,44754.0,3594724.0
2017-10-23,12600,12600,12350,12500,2355,44934.0,3594724.0
2017-10-24,12300,12550,12250,12450,3599,44754.0,3594724.0
2017-10-25,12350,12550,12150,12550,3495,45114.0,3594724.0
2017-10-26,12650,12650,12450,12650,4213,45473.0,3594724.0
2017-10-27,12650,12650,12450,12600,1030,45294.0,3594724.0
2017-10-30,12700,13100,12500,12900,6953,46372.0,3594724.0
2017-10-31,12850,12900,12700,12900,2984,46372.0,3594724.0
2017-11-01,13050,13050,12700,12950,2593,46552.0,3594724.0
2017-11-02,13100,13100,12800,12950,2270,46552.0,3594724.0
2017-11-03,13000,13000,12650,12900,4635,46372.0,3594724.0
2017-11-06,12750,12900,12600,12900,6424,46372.0,3594724.0
2017-11-07,12850,12850,12450,12500,10059,44934.0,3594724.0
2017-11-08,12650,12850,12500,12800,4045,46012.0,3594724.0
2017-11-09,13150,14350,13000,13400,62444,48169.0,3594724.0
2017-11-10,13400,13500,13100,13400,12247,48169.0,3594724.0
2017-11-13,13550,13650,13400,13600,11492,48888.0,3594724.0
2017-11-14,13500,14100,13350,14000,20432,50326.0,3594724.0
2017-11-15,14200,14300,13750,14000,33088,50326.0,3594724.0
2017-11-16,14150,14150,13700,13950,8110,50146.0,3594724.0
2017-11-17,14000,14150,13750,13900,8480,49967.0,3594724.0
2017-11-20,13950,14650,13850,14500,29655,52123.0,3594724.0
2017-11-21,14650,14650,14150,14250,15718,51225.0,3594724.0
2017-11-22,14350,14500,13400,13450,29038,48349.0,3594724.0
2017-11-23,13550,13800,13150,13600,7380,48888.0,3594724.0
2017-11-24,13650,14050,13650,13900,5240,49967.0,3594724.0
2017-11-27,14250,14400,14000,14250,8714,51225.0,3594724.0
2017-11-28,14100,14300,13900,13900,7090,49967.0,3594724.0
2017-11-29,14000,14100,13700,13700,6834,49248.0,3594724.0
2017-11-30,13600,13900,13500,13600,6666,48888.0,3594724.0
2017-12-01,13750,15000,13650,14450,58035,51944.0,3594724.0
2017-12-04,14700,14700,14200,14550,18314,52303.0,3594724.0
2017-12-05,14550,14600,14000,14250,26217,51225.0,3594724.0
2017-12-06,14400,14500,14000,14250,16041,51225.0,3594724.0
2017-12-07,14200,14400,13000,13600,34494,48888.0,3594724.0
2017-12-08,13800,13800,13250,13250,6759,47630.0,3594724.0
2017-12-11,13450,13500,12200,12600,40839,45294.0,3594724.0
2017-12-12,12600,12800,12100,12250,23727,44035.0,3594724.0
2017-12-13,12350,12700,12300,12650,7920,45473.0,3594724.0
2017-12-14,12700,12800,12500,12700,7644,45653.0,3594724.0
2017-12-15,12500,13000,12300,12600,11598,45294.0,3594724.0
2017-12-18,12500,12700,12300,12500,11373,44934.0,3594724.0
2017-12-19,12400,12400,12150,12400,9658,44575.0,3594724.0
2017-12-20,12400,12500,12050,12150,7201,43676.0,3594724.0
2017-12-21,12150,12250,11850,11850,5748,42597.0,3594724.0
2017-12-22,11850,12450,11800,12000,5103,43137.0,3594724.0
2017-12-26,12100,12300,11950,12200,6717,43856.0,3594724.0
2017-12-27,12350,12350,12000,12200,7501,43856.0,3594724.0
2017-12-28,12250,12500,12100,12450,4903,44754.0,3594724.0
2018-01-02,12650,12650,12300,12500,8790,44934.0,3594724.0
2018-01-03,12550,12600,12300,12500,7085,44934.0,3594724.0
2018-01-04,12550,12700,11900,11950,37828,42957.0,3594724.0
2018-01-05,11800,12400,11800,12400,15352,44575.0,3594724.0
2018-01-08,12400,12400,12050,12150,4943,43676.0,3594724.0
2018-01-09,12250,12250,12000,12050,7116,43316.0,3594724.0
2018-01-10,12050,12150,11900,12100,4923,43496.0,3594724.0
2018-01-11,11900,12200,11850,12050,6621,43316.0,3594724.0
2018-01-12,11950,13750,11900,13250,109308,47630.0,3594724.0
2018-01-15,13200,13550,12950,13150,29486,47271.0,3594724.0
2018-01-16,13150,13750,13000,13300,33504,47810.0,3594724.0
2018-01-17,13300,13450,13000,13100,10162,47091.0,3594724.0
2018-01-18,13100,13250,12900,12900,14803,46372.0,3594724.0
2018-01-19,12850,13100,12850,12900,5675,46372.0,3594724.0
2018-01-22,13050,13050,12800,13000,7350,46731.0,3594724.0
2018-01-23,13050,15250,13050,13850,144636,49787.0,3594724.0
2018-01-24,13950,14000,13550,13550,23203,48709.0,3594724.0
2018-01-25,13500,13900,13400,13900,14877,49967.0,3594724.0
2018-01-26,13800,14100,13750,13850,10465,49787.0,3594724.0
2018-01-29,14050,14350,13900,13950,12783,50146.0,3594724.0
2018-01-30,13950,14050,13450,13800,36592,49607.0,3594724.0
2018-01-31,13600,13750,13350,13750,19561,49427.0,3594724.0
2018-02-01,13650,13800,13600,13750,3683,49427.0,3594724.0
2018-02-02,13900,15250,13500,13500,114608,48529.0,3594724.0
2018-02-05,13500,13500,12800,12800,27081,46012.0,3594724.0
2018-02-06,12500,12850,12000,12700,20659,45653.0,3594724.0
2018-02-07,12750,13000,12450,12450,6128,44754.0,3594724.0
2018-02-08,13000,13000,12500,12900,3041,46372.0,3594724.0
2018-02-09,12700,12850,12600,12750,1791,45833.0,3594724.0
2018-02-12,13000,13100,12650,12750,8508,45833.0,3594724.0
2018-02-13,12750,13150,12750,13000,2901,46731.0,3594724.0
2018-02-14,13000,13000,12650,12850,1526,46192.0,3594724.0
2018-02-19,12750,13000,12700,12850,2842,46192.0,3594724.0
2018-02-20,12800,13400,12800,13100,12296,47091.0,3594724.0
2018-02-21,13300,13300,12800,12800,6851,46012.0,3594724.0
2018-02-22,12700,13300,12650,12950,19667,46552.0,3594724.0
2018-02-23,13150,13150,13000,13000,4106,46731.0,3594724.0
2018-02-26,13050,13700,13050,13250,13788,47630.0,3594724.0
2018-02-27,13300,13400,12950,13150,9018,47271.0,3594724.0
2018-02-28,13150,13150,12700,12900,6799,46372.0,3594724.0
2018-03-02,12650,13000,12550,13000,6669,46731.0,3594724.0
2018-03-05,12800,13000,12750,12850,10348,46192.0,3594724.0
2018-03-06,12850,13100,12850,13100,5557,47091.0,3594724.0
2018-03-07,13300,13300,12700,12700,16354,45653.0,3594724.0
2018-03-08,12950,13150,12950,13100,11436,47091.0,3594724.0
2018-03-09,13200,13200,12950,13200,7525,47450.0,3594724.0
2018-03-12,13200,13600,13200,13450,18178,48349.0,3594724.0
2018-03-13,13500,14150,13350,13600,56557,48888.0,3594724.0
2018-03-14,13800,15900,13700,15350,148836,55179.0,3594724.0
2018-03-15,15350,15350,14500,14600,68537,52483.0,3594724.0
2018-03-16,14400,14750,14100,14600,61577,52483.0,3594724.0
2018-03-19,14450,17350,14150,15650,249072,56257.0,3594724.0
2018-03-20,15650,17700,15650,16500,324603,59313.0,3594724.0
2018-03-21,16600,16700,15550,15550,87592,55898.0,3594724.0
2018-03-22,15400,20200,15300,20200,559691,72613.0,3594724.0
2018-03-23,21400,22400,18050,18550,1071363,66682.0,3594724.0
2018-03-26,18450,18750,17000,17650,302610,63447.0,3594724.0
2018-03-27,17800,18600,17650,18050,248734,64885.0,3594724.0
2018-03-28,18050,19450,17300,17400,374956,62548.0,3594724.0
2018-03-29,17300,17500,16500,17150,119729,61650.0,3594724.0
2018-03-30,17450,17650,16700,17450,78894,62728.0,3594724.0
2018-04-02,17550,17900,16900,16950,78777,60931.0,3594724.0
2018-04-03,16600,17200,16500,16900,47618,60751.0,3594724.0
2018-04-04,16900,17900,16700,17700,75543,63627.0,3594724.0
2018-04-05,17700,18850,17000,18000,166935,64705.0,3594724.0
2018-04-06,18250,19000,17650,17700,93293,63627.0,3594724.0
2018-04-09,17700,18300,17400,18200,54643,65424.0,3594724.0
2018-04-10,19000,20700,18400,20000,382337,71894.0,3594724.0
2018-04-11,20100,23500,19550,19750,660741,70996.0,3594724.0
2018-04-12,19750,20350,18350,18500,98337,66502.0,3594724.0
2018-04-13,18800,19000,17900,19000,64532,68300.0,3594724.0
2018-04-16,19050,19300,18600,18850,37731,67761.0,3594724.0
2018-04-17,18650,19050,18300,18300,37345,65783.0,3594724.0
2018-04-18,18650,18700,17600,17700,32392,63627.0,3594724.0
2018-04-19,17550,17550,15850,15950,97615,57336.0,3594724.0
2018-04-20,16000,16550,15700,16400,35989,58953.0,3594724.0
2018-04-23,16100,17000,15850,16600,80165,59672.0,3594724.0
2018-04-24,16500,16900,16400,16400,28268,58953.0,3594724.0
2018-04-25,16400,16750,16100,16550,27801,59493.0,3594724.0
2018-04-26,16850,17000,16250,16700,22164,60032.0,3594724.0
2018-04-27,16650,16900,16550,16800,14428,60391.0,3594724.0
2018-04-30,16600,16650,16100,16500,48278,59313.0,3594724.0
2018-05-02,16450,16950,15850,16200,27300,58235.0,3594724.0
2018-05-03,16550,16550,16000,16250,18401,58414.0,3594724.0
2018-05-04,16450,16450,15750,15850,30582,56976.0,3594724.0
2018-05-08,15750,16150,15200,15300,25198,54999.0,3594724.0
2018-05-09,15300,15700,14550,15700,27281,56437.0,3594724.0
2018-05-10,15700,16100,15500,16100,10801,57875.0,3594724.0
2018-05-11,16350,16550,16000,16350,20805,58774.0,3594724.0
2018-05-14,16350,17650,16100,17650,82591,63447.0,3594724.0
2018-05-15,17300,17300,16450,16600,37601,59672.0,3594724.0
2018-05-16,16500,16900,16200,16450,50478,59133.0,3594724.0
2018-05-17,16450,17500,16050,16350,74240,58774.0,3594724.0
2018-05-18,16500,16900,16300,16550,37427,59493.0,3594724.0
2018-05-21,17000,17350,16650,16800,93307,60391.0,3594724.0
2018-05-23,16900,17200,16350,16550,30330,59493.0,3594724.0
2018-05-24,16400,16800,15350,15450,43188,55538.0,3594724.0
2018-05-25,15450,15450,14700,14800,33104,53202.0,3594724.0
2018-05-28,14700,15450,14600,14900,13132,53561.0,3594724.0
2018-05-29,14900,15600,14900,15600,29715,56078.0,3594724.0
2018-05-30,15600,15750,14850,15100,19525,54280.0,3594724.0
2018-05-31,15350,15350,14600,15000,12729,53921.0,3594724.0
2018-06-01,14950,15000,14500,14800,17663,53202.0,3594724.0
2018-06-04,15150,15150,14450,14550,13184,52303.0,3594724.0
2018-06-05,14750,14750,14250,14600,14061,52483.0,3594724.0
2018-06-07,14500,14800,14500,14700,9510,52842.0,3594724.0
2018-06-08,14800,15150,14600,15000,23680,53921.0,3594724.0
2018-06-11,14800,15500,14800,15050,23697,54101.0,3594724.0
2018-06-12,15300,15300,14350,14750,27919,53022.0,3594724.0
2018-06-14,14950,14950,13700,14000,33035,50326.0,3594724.0
2018-06-15,14100,14150,13500,13950,26446,50146.0,3594724.0
2018-06-18,13750,13900,12950,13250,27922,47630.0,3594724.0
2018-06-19,13400,13500,12900,13050,12494,46911.0,3594724.0
2018-06-20,12850,13350,12850,13350,6465,47990.0,3594724.0
2018-06-21,13550,13650,13000,13000,4189,46731.0,3594724.0
2018-06-22,12850,13250,12850,13000,4862,46731.0,3594724.0
2018-06-25,13050,13400,13050,13350,3147,47990.0,3594724.0
2018-06-26,13450,13500,13050,13200,4766,47450.0,3594724.0
2018-06-27,13200,13350,12950,13100,5241,47091.0,3594724.0
2018-06-28,13300,14450,12950,13250,77235,47630.0,3594724.0
2018-06-29,13450,13850,13300,13550,9385,48709.0,3594724.0
2018-07-02,13800,15150,13450,14150,129828,50865.0,3594724.0
2018-07-03,14300,15650,13800,14800,95948,53202.0,3594724.0
2018-07-04,14800,15450,14700,15350,107379,55179.0,3594724.0
2018-07-05,15800,16100,15050,15450,99917,55538.0,3594724.0
2018-07-06,15350,15650,14350,14650,38076,52663.0,3594724.0
2018-07-09,14750,14850,14250,14400,18061,51764.0,3594724.0
2018-07-10,14600,15400,14400,14850,24253,53382.0,3594724.0
2018-07-11,14800,14800,14150,14350,20838,51584.0,3594724.0
2018-07-12,14350,14700,14100,14250,23965,51225.0,3594724.0
2018-07-13,14450,14500,14150,14350,11290,51584.0,3594724.0
2018-07-16,14700,15000,14150,14400,21704,51764.0,3594724.0
2018-07-17,14400,14650,14150,14500,5657,52123.0,3594724.0
2018-07-18,14450,14650,14200,14650,17667,52663.0,3594724.0
2018-07-19,14700,14750,13900,14400,34862,51764.0,3594724.0
2018-07-20,14400,14500,14050,14350,18547,51584.0,3594724.0
2018-07-23,14400,14400,13300,13600,28506,48888.0,3594724.0
