미투온(201490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-12-06,7180,8040,7000,7000,13087790,210883.0,30126122.0
2016-12-07,6950,7460,6860,7460,4384812,224741.0,30126122.0
2016-12-08,7450,7720,7280,7280,3089056,219318.0,30126122.0
2016-12-09,7400,7460,7250,7420,2423311,223536.0,30126122.0
2016-12-12,7630,7920,7490,7910,5006233,238298.0,30126122.0
2016-12-13,7870,8190,7660,8120,4830071,244624.0,30126122.0
2016-12-14,8300,10250,8100,10050,23833674,302768.0,30126122.0
2016-12-15,9950,10650,9830,10050,7354150,302768.0,30126122.0
2016-12-16,10050,11150,9680,10800,8964005,325362.0,30126122.0
2016-12-19,11000,13800,10800,12650,16135827,381095.0,30126122.0
2016-12-20,11850,13200,11500,12650,12846007,381095.0,30126122.0
2016-12-21,13000,14250,12250,12850,12299807,387121.0,30126122.0
2016-12-22,12900,13250,12250,13250,4522940,399171.0,30126122.0
2016-12-23,13350,13600,12550,12550,4029296,378083.0,30126122.0
2016-12-26,12350,12600,11350,11800,5058216,355488.0,30126122.0
2016-12-27,11950,13150,11800,12800,7746392,385614.0,30126122.0
2016-12-28,12900,13400,12500,12550,4232978,378083.0,30126122.0
2016-12-29,12550,12650,11900,12000,2504410,361513.0,30126122.0
2017-01-02,12000,12300,11500,11900,2060850,358501.0,30126122.0
2017-01-03,11850,12300,11800,12200,1842269,367539.0,30126122.0
2017-01-04,12250,12350,11650,11650,1411516,350969.0,30126122.0
2017-01-05,11550,12050,11400,11650,1552550,350969.0,30126122.0
2017-01-06,11800,12250,11550,12050,2378895,363020.0,30126122.0
2017-01-09,12050,12200,11700,11800,1092065,355488.0,30126122.0
2017-01-10,12150,13450,12000,12500,6600063,376577.0,30126122.0
2017-01-11,12600,12750,12300,12450,1433627,375070.0,30126122.0
2017-01-12,12350,12400,11300,11300,2696301,340425.0,30126122.0
2017-01-13,11200,11450,10300,10600,4413001,319337.0,30126122.0
2017-01-16,10550,10550,9800,9810,3239276,295537.0,30126122.0
2017-01-17,9980,10250,9510,9580,3542629,288608.0,30126122.0
2017-01-18,9740,10300,9420,10100,3806880,304274.0,30126122.0
2017-01-19,10150,10350,9950,9970,1553872,300357.0,30126122.0
2017-01-20,9880,9950,9250,9470,1869367,285294.0,30126122.0
2017-01-23,9340,10100,9080,9740,2844890,293428.0,30126122.0
2017-01-24,10100,11000,9850,10100,6584446,304274.0,30126122.0
2017-01-25,10100,10150,9300,9300,1918292,280173.0,30126122.0
2017-01-26,9300,9640,9240,9460,1338923,284993.0,30126122.0
2017-01-31,9650,9760,9300,9370,1000785,282282.0,30126122.0
2017-02-01,9380,10100,9380,9870,2939540,297345.0,30126122.0
2017-02-02,9750,9850,9440,9490,1220085,285897.0,30126122.0
2017-02-03,9500,10200,9500,9980,2348309,300659.0,30126122.0
2017-02-06,10550,11300,10200,11050,4869732,332894.0,30126122.0
2017-02-07,11000,11700,10900,11700,3509932,352476.0,30126122.0
2017-02-08,11600,11900,11300,11800,2160678,355488.0,30126122.0
2017-02-09,11800,11800,11150,11200,1841253,337413.0,30126122.0
2017-02-10,11200,11500,10600,11350,2742437,341931.0,30126122.0
2017-02-13,11200,11600,11150,11400,1367971,343438.0,30126122.0
2017-02-14,11500,11550,11050,11100,1235704,334400.0,30126122.0
2017-02-15,10900,11100,10500,10550,1445210,317831.0,30126122.0
2017-02-16,10450,11150,10350,10800,2155480,325362.0,30126122.0
2017-02-17,10650,11900,10550,11600,3527989,349463.0,30126122.0
2017-02-20,11500,11850,11400,11600,1333781,349463.0,30126122.0
2017-02-21,11600,12350,11600,12000,3218362,361513.0,30126122.0
2017-02-22,12050,12450,11800,11800,1857423,355488.0,30126122.0
2017-02-23,11700,12400,11400,12400,1891882,373564.0,30126122.0
2017-02-24,12600,12750,12200,12200,1865928,367539.0,30126122.0
2017-02-27,12200,12300,11700,11700,1312735,352476.0,30126122.0
2017-02-28,11700,12350,11650,12050,1685323,363020.0,30126122.0
2017-03-02,12000,12200,11800,11800,1380074,355488.0,30126122.0
2017-03-03,11600,11700,10850,11500,2053976,346450.0,30126122.0
2017-03-06,11400,11750,11200,11350,1024354,341931.0,30126122.0
2017-03-07,11450,11450,10950,11200,1275195,337413.0,30126122.0
2017-03-08,11150,11700,11150,11300,1168375,340425.0,30126122.0
2017-03-09,11250,11550,9990,10000,4287255,301261.0,30126122.0
2017-03-10,10050,10750,9500,10350,2854505,311805.0,30126122.0
2017-03-13,10450,10750,10350,10650,1177885,320843.0,30126122.0
2017-03-14,10750,10850,10300,10400,947634,313312.0,30126122.0
2017-03-15,10650,10650,9860,9980,1404321,300659.0,30126122.0
2017-03-16,10050,10150,9580,9690,1584847,291922.0,30126122.0
2017-03-17,9910,10450,9810,10100,2078878,304274.0,30126122.0
2017-03-20,9230,9530,8800,8910,2899978,268424.0,30126122.0
2017-03-21,8750,9620,8590,9140,3942828,275353.0,30126122.0
2017-03-22,8990,9180,8740,8770,1088492,264206.0,30126122.0
2017-03-23,8850,10450,8850,9800,9915723,295236.0,30126122.0
2017-03-24,9880,10100,9340,9560,2312905,288006.0,30126122.0
2017-03-27,9640,9970,9470,9470,2008446,285294.0,30126122.0
2017-03-28,9460,9610,9210,9270,1303276,279269.0,30126122.0
2017-03-29,9380,9490,9150,9170,787224,276257.0,30126122.0
2017-03-30,9170,9270,8870,8900,1019761,268122.0,30126122.0
2017-03-31,8990,9100,8740,8760,787587,263905.0,30126122.0
2017-04-03,8870,8930,8430,8480,1227979,255470.0,30126122.0
2017-04-04,8350,8390,7660,7700,2209938,231971.0,30126122.0
2017-04-05,7720,8490,7720,7840,2155372,236189.0,30126122.0
2017-04-06,7900,8170,7840,7970,1055841,240105.0,30126122.0
2017-04-07,8050,8080,7740,7740,863298,233176.0,30126122.0
2017-04-10,7700,8700,7370,8120,4224555,244624.0,30126122.0
2017-04-11,8060,8530,7960,8120,1764758,244624.0,30126122.0
2017-04-12,8120,8260,8050,8050,721443,242515.0,30126122.0
2017-04-13,8040,8220,7780,7810,885661,235285.0,30126122.0
2017-04-14,7770,7930,7490,7640,815135,230164.0,30126122.0
2017-04-17,7740,7980,7710,7900,675770,237996.0,30126122.0
2017-04-18,8160,9750,8040,9200,18964439,277160.0,30126122.0
2017-04-19,9200,9210,8630,8670,3548682,261193.0,30126122.0
2017-04-20,8700,8830,8450,8750,1771857,263604.0,30126122.0
2017-04-21,8870,9720,8810,9150,10667048,275654.0,30126122.0
2017-04-24,9290,9700,9210,9380,3688285,282583.0,30126122.0
2017-04-25,9950,10100,9350,9350,5543728,281679.0,30126122.0
2017-04-26,9410,9520,8960,9100,1790008,274148.0,30126122.0
2017-04-27,9030,9230,8660,8720,1880709,262700.0,30126122.0
2017-04-28,8710,8990,8630,8810,1238807,265411.0,30126122.0
2017-05-02,8940,9080,8830,8920,989326,268725.0,30126122.0
2017-05-04,8930,9150,8840,9030,844300,272039.0,30126122.0
2017-05-08,9190,9240,9000,9050,1101359,272641.0,30126122.0
2017-05-10,9110,9230,9040,9120,912843,274750.0,30126122.0
2017-05-11,9160,9310,9060,9150,1401512,275654.0,30126122.0
2017-05-12,9210,9220,8880,8910,1094674,268424.0,30126122.0
2017-05-15,8960,9080,8810,8810,911639,265411.0,30126122.0
2017-05-16,9430,9450,8940,8990,2067614,270834.0,30126122.0
2017-05-17,9050,9090,8750,8770,872298,264206.0,30126122.0
2017-05-18,8520,8690,8400,8440,787506,254264.0,30126122.0
2017-05-19,8440,8580,8350,8570,477526,258181.0,30126122.0
2017-05-22,8520,8710,8430,8590,473405,258783.0,30126122.0
2017-05-23,8570,8630,8510,8530,423240,256976.0,30126122.0
2017-05-24,8500,8540,8100,8230,795877,247938.0,30126122.0
2017-05-25,8210,8260,7970,8060,596539,242817.0,30126122.0
2017-05-26,8110,8530,8110,8510,591617,256373.0,30126122.0
2017-05-29,8480,8630,8340,8470,490333,255168.0,30126122.0
2017-05-30,8390,8510,8380,8380,306266,252457.0,30126122.0
2017-05-31,8250,8290,8110,8230,559626,247938.0,30126122.0
2017-06-01,10200,10650,10000,10650,5387969,320843.0,30126122.0
2017-06-02,11200,11350,10400,10650,8925595,330233.0,31007770.0
2017-06-05,10600,10700,9880,9980,3754782,309458.0,31007770.0
2017-06-07,9950,10500,9950,10350,3158979,320930.0,31007770.0
2017-06-08,10250,10800,10050,10400,2116097,322481.0,31007770.0
2017-06-09,10500,11600,10300,11350,8090231,351938.0,31007770.0
2017-06-12,11200,11850,11150,11800,4505719,365892.0,31007770.0
2017-06-13,11850,11900,11500,11700,2159975,362791.0,31007770.0
2017-06-14,11700,12500,11500,12400,4211042,384496.0,31007770.0
2017-06-15,12750,12800,10500,10500,6210816,325582.0,31007770.0
2017-06-16,10500,10750,10150,10450,3002439,324031.0,31007770.0
2017-06-19,10350,10400,9920,9920,2757251,307597.0,31007770.0
2017-06-20,9720,9770,9130,9230,3688135,286202.0,31007770.0
2017-06-21,9370,9470,8640,8640,3948754,267907.0,31007770.0
2017-06-22,8640,8840,8610,8670,1685827,268837.0,31007770.0
2017-06-23,8700,8860,8620,8690,1350707,269458.0,31007770.0
2017-06-26,8670,10550,8480,9860,13964851,305737.0,31007770.0
2017-06-27,10050,10100,9150,9290,3619983,288062.0,31007770.0
2017-06-28,9150,9970,9150,9300,4361040,288372.0,31007770.0
2017-06-29,9380,9750,9380,9570,1628130,296744.0,31007770.0
2017-06-30,9470,9530,9310,9400,993097,291473.0,31007770.0
2017-07-03,9550,10450,9550,10250,6234547,317830.0,31007770.0
2017-07-04,10200,10650,9850,10150,3535390,314729.0,31007770.0
2017-07-05,10550,10750,10000,10300,2587232,319380.0,31007770.0
2017-07-06,10350,10450,9790,9810,1315298,304186.0,31007770.0
2017-07-07,9750,10200,9550,10200,1253773,316279.0,31007770.0
2017-07-10,10200,10300,9810,9860,939153,305737.0,31007770.0
2017-07-11,9910,10350,9860,10050,1867256,311628.0,31007770.0
2017-07-12,10050,10100,9850,10050,984423,311628.0,31007770.0
2017-07-13,10200,10250,9830,9960,1295182,308837.0,31007770.0
2017-07-14,10000,10150,9350,9430,2382221,292403.0,31007770.0
2017-07-17,9650,9780,9480,9510,775774,294884.0,31007770.0
2017-07-18,9560,9620,9300,9300,713151,288372.0,31007770.0
2017-07-19,9270,9370,9130,9270,706228,287442.0,31007770.0
2017-07-20,9270,9390,9200,9290,529642,288062.0,31007770.0
2017-07-21,9260,9620,9260,9450,1192318,293023.0,31007770.0
2017-07-24,9440,9470,9110,9110,809793,282481.0,31007770.0
2017-07-25,9180,9200,8850,8850,798789,274419.0,31007770.0
2017-07-26,8830,9030,8750,8900,612871,275969.0,31007770.0
2017-07-27,8900,9080,8810,8830,598945,273799.0,31007770.0
2017-07-28,8750,8860,8340,8360,1439094,259225.0,31007770.0
2017-07-31,8370,8780,8360,8400,755004,260465.0,31007770.0
2017-08-01,8400,8660,8400,8470,425140,262636.0,31007770.0
2017-08-02,8590,8720,8480,8510,468652,263876.0,31007770.0
2017-08-03,8550,8700,8400,8440,416596,261706.0,31007770.0
2017-08-04,8490,8540,8290,8310,386906,257675.0,31007770.0
2017-08-07,8240,8450,8210,8390,370655,260155.0,31007770.0
2017-08-08,8450,8540,8370,8480,362272,262946.0,31007770.0
2017-08-09,8530,8540,8290,8350,333402,258915.0,31007770.0
2017-08-10,8250,8340,7970,8130,617967,252093.0,31007770.0
2017-08-11,7890,8070,7780,7780,589898,241240.0,31007770.0
2017-08-14,7710,9260,7600,8350,5777810,258915.0,31007770.0
2017-08-16,8350,8380,8110,8170,780819,253333.0,31007770.0
2017-08-17,8220,8290,8050,8070,668034,250233.0,31007770.0
2017-08-18,8100,8780,8090,8410,2486730,260775.0,31007770.0
2017-08-21,8440,8670,8400,8450,779255,262016.0,31007770.0
2017-08-22,8480,8630,8410,8440,769445,261706.0,31007770.0
2017-08-23,8520,8590,8400,8400,481368,260465.0,31007770.0
2017-08-24,8450,8480,8200,8280,471613,256744.0,31007770.0
2017-08-25,8350,8440,8260,8260,352876,256124.0,31007770.0
2017-08-28,8260,8350,8180,8250,339303,255814.0,31007770.0
2017-08-29,8200,8270,8150,8230,382122,255194.0,31007770.0
2017-08-30,8270,8400,8190,8330,583169,258295.0,31007770.0
2017-08-31,8460,8920,8430,8440,3108017,261706.0,31007770.0
2017-09-01,8420,8510,8360,8420,565674,261085.0,31007770.0
2017-09-04,8160,8510,8040,8330,759468,258295.0,31007770.0
2017-09-05,8360,8500,8240,8250,627274,255814.0,31007770.0
2017-09-06,8220,8330,8190,8210,313239,254574.0,31007770.0
2017-09-07,8240,8340,8160,8220,380490,254884.0,31007770.0
2017-09-08,8210,8450,8130,8450,520301,262016.0,31007770.0
2017-09-11,8540,8560,8330,8390,457978,260155.0,31007770.0
2017-09-12,8440,8490,8340,8350,529711,258915.0,31007770.0
2017-09-13,8400,8620,8380,8410,1010452,260775.0,31007770.0
2017-09-14,8480,8610,8370,8570,565858,265737.0,31007770.0
2017-09-15,8610,8960,8490,8910,1934987,276279.0,31007770.0
2017-09-18,8970,9440,8900,9000,2428298,279070.0,31007770.0
2017-09-19,9080,9130,8720,8860,783107,274729.0,31007770.0
2017-09-20,8980,9370,8970,9140,2195020,283411.0,31007770.0
2017-09-21,9070,9240,8790,8800,953972,272868.0,31007770.0
2017-09-22,8750,8970,8480,8480,744580,262946.0,31007770.0
2017-09-25,8480,9000,8000,8010,1272619,248372.0,31007770.0
2017-09-26,7850,8050,7700,7820,843318,242481.0,31007770.0
2017-09-27,7830,8100,7820,7830,581789,242791.0,31007770.0
2017-09-28,7890,8040,7800,7800,385285,241861.0,31007770.0
2017-09-29,7800,7930,7660,7690,508959,238450.0,31007770.0
2017-10-10,7750,7840,7680,7720,367060,239380.0,31007770.0
2017-10-11,7710,7890,7690,7830,348593,242791.0,31007770.0
2017-10-12,7860,7990,7800,7820,339379,242481.0,31007770.0
2017-10-13,7880,7880,7660,7670,377228,237830.0,31007770.0
2017-10-16,7680,7850,7630,7740,329976,240000.0,31007770.0
2017-10-17,7750,8220,7650,7860,992743,243721.0,31007770.0
2017-10-18,7860,8000,7760,7780,503082,241240.0,31007770.0
2017-10-19,7810,7900,7730,7790,346720,241551.0,31007770.0
2017-10-20,7790,7910,7710,7780,358138,241240.0,31007770.0
2017-10-23,7700,7700,7220,7220,2972671,223876.0,31007770.0
2017-10-24,7250,7350,7200,7210,899975,223566.0,31007770.0
2017-10-25,7220,7290,7060,7060,651922,218915.0,31007770.0
2017-10-26,7020,7150,6970,7000,627631,217054.0,31007770.0
2017-10-27,7080,7290,7080,7210,878041,223566.0,31007770.0
2017-10-30,7280,7280,7150,7190,384444,222946.0,31007770.0
2017-10-31,7290,7330,7190,7220,614505,223876.0,31007770.0
2017-11-01,7220,7360,7170,7330,581798,227287.0,31007770.0
2017-11-02,7400,7890,7340,7580,2565896,235039.0,31007770.0
2017-11-03,7550,7600,7410,7560,614801,234419.0,31007770.0
2017-11-06,7700,7840,7590,7690,711915,238450.0,31007770.0
2017-11-07,7750,7930,7710,7830,618482,242791.0,31007770.0
2017-11-08,7810,7890,7680,7750,485003,240310.0,31007770.0
2017-11-09,7820,8150,7780,8090,1529369,250853.0,31007770.0
2017-11-10,8130,8200,7980,8050,513922,249613.0,31007770.0
2017-11-13,8290,9240,8100,8530,5761444,264496.0,31007770.0
2017-11-14,8500,8570,8370,8470,838472,262636.0,31007770.0
2017-11-15,8500,8810,8420,8520,1373009,264186.0,31007770.0
2017-11-16,8500,8900,8430,8850,1436920,274419.0,31007770.0
2017-11-17,8950,9080,8850,8980,1108619,278450.0,31007770.0
2017-11-20,9050,9240,8960,9000,987566,279070.0,31007770.0
2017-11-21,9010,9190,8870,8910,895016,276279.0,31007770.0
2017-11-22,9000,9280,8920,9130,1407976,283101.0,31007770.0
2017-11-23,9320,9880,9220,9510,3357456,294884.0,31007770.0
2017-11-24,9550,9760,9510,9540,871711,295814.0,31007770.0
2017-11-27,9550,9910,9550,9740,1014897,302016.0,31007770.0
2017-11-28,9670,9950,9670,9940,1175162,308217.0,31007770.0
2017-11-29,11700,11750,8740,8900,11169704,275969.0,31007770.0
2017-11-30,9020,9030,8250,8470,2860323,262636.0,31007770.0
2017-12-01,8580,8840,8460,8490,1806086,263256.0,31007770.0
2017-12-04,8490,8710,8440,8450,899151,262016.0,31007770.0
2017-12-05,8450,9900,8220,8710,9157631,270078.0,31007770.0
2017-12-06,8870,9260,8770,8820,2437140,273489.0,31007770.0
2017-12-07,8890,9420,8720,9160,2631936,284031.0,31007770.0
2017-12-08,9190,9550,9190,9500,2110152,294574.0,31007770.0
2017-12-11,9550,9740,9360,9360,1220403,290233.0,31007770.0
2017-12-12,9400,9460,9240,9270,821019,287442.0,31007770.0
2017-12-13,9270,9400,9150,9270,1142459,287442.0,31007770.0
2017-12-14,9320,9340,9180,9220,649355,285892.0,31007770.0
2017-12-15,9300,9320,8760,9020,1592700,279690.0,31007770.0
2017-12-18,9100,9520,8960,9240,1842508,286512.0,31007770.0
2017-12-19,9910,10150,9150,9300,7837814,288372.0,31007770.0
2017-12-20,9200,9300,8800,8800,5411059,272868.0,31007770.0
2017-12-21,8920,9220,8110,8350,2785672,258915.0,31007770.0
2017-12-22,8200,8450,8170,8250,878381,255814.0,31007770.0
2017-12-26,8370,8380,7830,7850,837813,243411.0,31007770.0
2017-12-27,7850,8070,7840,7870,902386,244031.0,31007770.0
2017-12-28,8000,8170,7890,7970,997376,247132.0,31007770.0
2018-01-02,8100,8160,7990,8120,555394,251783.0,31007770.0
2018-01-03,8200,8240,8090,8150,660170,252713.0,31007770.0
2018-01-04,8210,8300,8080,8100,512188,251163.0,31007770.0
2018-01-05,8100,8180,7980,8010,531966,248372.0,31007770.0
2018-01-08,8070,8290,8040,8190,578589,253954.0,31007770.0
2018-01-09,8260,8750,8190,8540,1641090,264806.0,31007770.0
2018-01-10,8700,8960,8660,8960,1573984,277830.0,31007770.0
2018-01-11,8960,8960,8510,8560,805989,265427.0,31007770.0
2018-01-12,8550,8710,8250,8620,732560,267287.0,31007770.0
2018-01-15,8630,8880,8600,8600,515427,266667.0,31007770.0
2018-01-16,8630,8950,8410,8710,935843,270078.0,31007770.0
2018-01-17,8750,9100,8720,9000,1096138,279070.0,31007770.0
2018-01-18,9130,9400,9030,9050,1000356,280620.0,31007770.0
2018-01-19,9080,9250,9010,9050,597576,280620.0,31007770.0
2018-01-22,9200,9320,9050,9090,653487,281861.0,31007770.0
2018-01-23,9090,10500,9070,10500,5063218,325582.0,31007770.0
2018-01-24,10400,11500,10350,11400,7107284,353489.0,31007770.0
2018-01-25,11300,11650,10300,10900,4458980,337985.0,31007770.0
2018-01-26,10900,12000,10700,11800,4949184,365892.0,31007770.0
2018-01-29,12000,12150,11450,11700,2071733,362791.0,31007770.0
2018-01-30,11600,11650,10700,11100,2400759,344186.0,31007770.0
2018-01-31,10900,11250,10100,10400,2353275,322481.0,31007770.0
2018-02-01,10400,10850,10200,10600,1360874,328682.0,31007770.0
2018-02-02,11000,11450,10200,10500,3211942,325582.0,31007770.0
2018-02-05,10200,10950,10100,10450,1241870,324031.0,31007770.0
2018-02-06,10000,10250,9200,9610,2589054,297985.0,31007770.0
2018-02-07,9800,9850,8840,8840,1196494,274109.0,31007770.0
2018-02-08,8920,9440,8870,9230,860929,286202.0,31007770.0
2018-02-09,8850,9040,8790,8960,624703,277830.0,31007770.0
2018-02-12,9050,9240,8900,9050,660061,280620.0,31007770.0
2018-02-13,9160,9390,8920,8950,636746,277520.0,31007770.0
2018-02-14,9000,9110,8690,8730,720287,270698.0,31007770.0
2018-02-19,8840,9590,8800,9590,1233294,297365.0,31007770.0
2018-02-20,9650,9780,9340,9400,730880,291473.0,31007770.0
2018-02-21,9430,9550,9300,9470,400148,293644.0,31007770.0
2018-02-22,9530,9900,9390,9510,1057281,294884.0,31007770.0
2018-02-23,9640,9720,9450,9550,519256,296124.0,31007770.0
2018-02-26,9800,9850,9510,9540,390410,295814.0,31007770.0
2018-02-27,9540,10350,9540,10000,3239983,310078.0,31007770.0
2018-02-28,10000,10400,9710,10100,1429512,313178.0,31007770.0
2018-03-02,9900,10100,9610,9660,1155748,299535.0,31007770.0
2018-03-05,9670,9760,9100,9100,1170823,282171.0,31007770.0
2018-03-06,9240,9270,8930,9110,577642,282481.0,31007770.0
2018-03-07,9200,9240,8870,8900,595436,275969.0,31007770.0
2018-03-08,8870,9080,8870,9020,352893,279690.0,31007770.0
2018-03-09,9100,9340,9000,9260,566609,287132.0,31007770.0
2018-03-12,9320,9530,9270,9350,534045,289923.0,31007770.0
2018-03-13,9330,9360,9170,9200,433532,285271.0,31007770.0
2018-03-14,9190,9330,9150,9240,364924,286512.0,31007770.0
2018-03-15,9210,9250,8950,9010,718756,279380.0,31007770.0
2018-03-16,9020,9050,8930,9000,386257,279070.0,31007770.0
2018-03-19,8980,9140,8900,8900,400179,275969.0,31007770.0
2018-03-20,8850,8880,8510,8700,870610,269768.0,31007770.0
2018-03-21,8730,8850,8670,8750,356710,271318.0,31007770.0
2018-03-22,8750,8850,8500,8600,775576,266667.0,31007770.0
2018-03-23,8300,8450,7800,7800,1415222,241861.0,31007770.0
2018-03-26,7700,8340,7700,8210,684314,254574.0,31007770.0
2018-03-27,8300,8560,8300,8470,439682,262636.0,31007770.0
2018-03-28,8410,8710,8290,8530,533971,264496.0,31007770.0
2018-03-29,8530,8700,8530,8570,245386,265737.0,31007770.0
2018-03-30,8630,8780,8580,8640,426108,267907.0,31007770.0
2018-04-02,8730,8780,8600,8630,248140,267597.0,31007770.0
2018-04-03,8650,8920,8630,8840,709211,274109.0,31007770.0
2018-04-04,8930,8930,8490,8550,562819,265116.0,31007770.0
2018-04-05,8620,8810,8410,8410,601354,260775.0,31007770.0
2018-04-06,8410,8530,8250,8330,335545,258295.0,31007770.0
2018-04-09,8330,8480,8290,8400,199388,260465.0,31007770.0
2018-04-10,8410,8720,8200,8540,644342,264806.0,31007770.0
2018-04-11,8550,8790,8550,8750,540907,271318.0,31007770.0
2018-04-12,8810,8810,8600,8720,374615,270388.0,31007770.0
2018-04-13,8780,9210,8780,8880,1686373,275349.0,31007770.0
2018-04-16,8780,8850,8630,8780,608197,272248.0,31007770.0
2018-04-17,8800,8890,8720,8830,379145,273799.0,31007770.0
2018-04-18,8870,8890,8630,8670,472463,268837.0,31007770.0
2018-04-19,8670,8780,8390,8430,482322,261396.0,31007770.0
2018-04-20,8430,8640,8300,8590,405734,266357.0,31007770.0
2018-04-23,8620,9050,8500,9040,1325880,280310.0,31007770.0
2018-04-24,9140,9200,8940,8940,912881,277209.0,31007770.0
2018-04-25,8940,8980,8650,8660,738908,268527.0,31007770.0
2018-04-26,8700,8730,8590,8600,305508,266667.0,31007770.0
2018-04-27,8790,8970,8660,8690,650266,270891.0,31172770.0
2018-04-30,8680,8790,8450,8520,544646,265592.0,31172770.0
2018-05-02,8510,8540,8210,8250,518972,257175.0,31172770.0
2018-05-03,8300,8460,8260,8370,223048,260916.0,31172770.0
2018-05-04,8370,8500,8210,8480,328849,264345.0,31172770.0
2018-05-08,8580,8800,8500,8700,548539,271203.0,31172770.0
2018-05-09,8650,9050,8580,8680,1789437,270580.0,31172770.0
2018-05-10,8800,8820,8620,8700,492700,271203.0,31172770.0
2018-05-11,8750,8930,8680,8750,800327,272762.0,31172770.0
2018-05-14,8830,8840,8350,8430,813383,262786.0,31172770.0
2018-05-15,8470,8470,8260,8260,625110,257487.0,31172770.0
2018-05-16,8250,8250,7980,8020,833839,250006.0,31172770.0
2018-05-17,8000,8160,7970,7980,371637,248759.0,31172770.0
2018-05-18,8010,8070,7910,7970,356339,248447.0,31172770.0
2018-05-21,8010,8230,7970,8100,366882,252499.0,31172770.0
2018-05-23,8140,8140,7970,7970,327900,248447.0,31172770.0
2018-05-24,7960,8040,7950,7960,260653,248135.0,31172770.0
2018-05-25,7900,7950,7750,7840,509795,244395.0,31172770.0
2018-05-28,7760,8000,7690,7830,502207,244083.0,31172770.0
2018-05-29,7830,7950,7780,7810,331212,243459.0,31172770.0
2018-05-30,7750,7780,7400,7500,794067,233796.0,31172770.0
2018-05-31,7520,7840,7520,7780,500592,242524.0,31172770.0
2018-06-01,7770,7800,7580,7630,286618,237848.0,31172770.0
2018-06-04,7620,7940,7600,7930,427653,247200.0,31172770.0
2018-06-05,7930,8930,7930,8300,3906810,258734.0,31172770.0
2018-06-07,8300,8300,8080,8080,498084,251876.0,31172770.0
2018-06-08,8150,8460,8100,8300,738187,258734.0,31172770.0
2018-06-11,8290,8430,8270,8280,322851,258111.0,31172770.0
2018-06-12,8310,8320,8010,8060,483511,251253.0,31172770.0
2018-06-14,8000,8070,7770,7800,413640,243148.0,31172770.0
2018-06-15,7800,7940,7700,7700,193862,240030.0,31172770.0
2018-06-18,7570,7780,7450,7450,391881,232237.0,31172770.0
