줌인터넷(239340),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-09-08,2100,2100,2049,2055,55174,9816.0,4800000.0
2016-09-09,2100,2100,2054,2055,7533,9816.0,4800000.0
2016-09-12,2089,2089,2059,2070,1372,9888.0,4800000.0
2016-09-13,2059,2095,2059,2095,210,10008.0,4800000.0
2016-09-19,2150,2150,2054,2070,14827,9888.0,4800000.0
2016-09-20,2115,2115,2049,2065,11093,9864.0,4800000.0
2016-09-21,2125,2125,2044,2060,4768,9840.0,4800000.0
2016-09-22,2039,2059,2039,2060,1257,9840.0,4800000.0
2016-09-23,2079,2079,2074,2075,51,9912.0,4800000.0
2016-09-26,2059,2064,2059,2065,2814,9864.0,4800000.0
2016-09-27,2135,2135,2054,2065,52317,9864.0,4800000.0
2016-09-28,2069,2069,2044,2065,5211,9864.0,4800000.0
2016-09-29,2054,2100,2049,2055,18169,9816.0,4800000.0
2016-09-30,2059,2059,2049,2050,15102,9792.0,4800000.0
2016-10-04,2074,2074,2039,2040,2838,9744.0,4800000.0
2016-10-05,2039,2059,2034,2050,4656,9792.0,4800000.0
2016-10-06,2044,2049,2034,2045,3404,9768.0,4800000.0
2016-10-07,2059,2059,2044,2055,9727,9816.0,4800000.0
2016-10-10,2069,2069,2049,2050,3995,9792.0,4800000.0
2016-10-11,2059,2059,2044,2055,21013,9816.0,4800000.0
2016-10-12,2059,2059,2044,2060,28177,9840.0,4800000.0
2016-10-13,2064,2064,2024,2050,27466,9792.0,4800000.0
2016-10-14,2059,2059,2024,2050,7299,9792.0,4800000.0
2016-10-17,2059,2059,2029,2050,304,9792.0,4800000.0
2016-10-18,2034,2059,2029,2055,2095,9816.0,4800000.0
2016-10-19,2029,2064,2029,2050,2265,9792.0,4800000.0
2016-10-20,2029,2054,2029,2055,2004,9816.0,4800000.0
2016-10-21,2039,2059,2019,2045,14284,9768.0,4800000.0
2016-10-24,2054,2054,2054,2055,1,9816.0,4800000.0
2016-10-25,2059,2059,2019,2055,282,9816.0,4800000.0
2016-10-26,2054,2054,2024,2055,983,9816.0,4800000.0
2016-10-27,2029,2039,2004,2035,57517,9720.0,4800000.0
2016-10-28,2014,2049,2014,2050,801,9792.0,4800000.0
2016-10-31,2044,2044,2009,2010,16647,9600.0,4800000.0
2016-11-01,2049,2049,2004,2030,9623,9696.0,4800000.0
2016-11-02,2029,2029,2004,2025,1504,9672.0,4800000.0
2016-11-03,2019,2019,2004,2020,1302,9648.0,4800000.0
2016-11-04,2049,2049,1999,2015,7208,9624.0,4800000.0
2016-11-07,2009,2014,2004,2015,3,9624.0,4800000.0
2016-11-08,2044,2044,2004,2035,17282,9720.0,4800000.0
2016-11-09,2009,2014,1994,2005,6670,9576.0,4800000.0
2016-11-10,2004,2009,2004,2010,16217,9600.0,4800000.0
2016-11-11,2009,2009,1999,2010,4257,9600.0,4800000.0
2016-11-14,2009,2044,1999,2045,5356,9768.0,4800000.0
2016-11-15,2004,2049,2004,2020,12012,9648.0,4800000.0
2016-11-16,2014,2014,1994,2015,2509,9624.0,4800000.0
2016-11-17,2054,2054,2014,2020,2501,9648.0,4800000.0
2016-11-18,1999,2029,1999,2025,3773,9672.0,4800000.0
2016-11-21,2019,2019,2009,2015,9002,9624.0,4800000.0
2016-11-22,2014,2024,1989,2015,30380,9624.0,4800000.0
2016-11-23,2014,2019,2014,2015,5498,9624.0,4800000.0
2016-11-24,2074,2074,2009,2010,15976,9600.0,4800000.0
2016-11-25,2064,2064,2009,2010,2608,9600.0,4800000.0
2016-11-28,2009,2029,2004,2005,2503,9576.0,4800000.0
2016-11-29,2004,2009,1999,2000,3506,9552.0,4800000.0
2016-11-30,2004,2064,1999,2065,3233,9864.0,4800000.0
2016-12-01,1999,2029,1999,2025,1363,9672.0,4800000.0
2016-12-02,2024,2024,2024,2025,1,9672.0,4800000.0
2016-12-05,2004,2009,1999,2000,23328,9552.0,4800000.0
2016-12-06,2014,2014,2009,2010,15003,9600.0,4800000.0
2016-12-07,2039,2039,2014,2015,10001,9624.0,4800000.0
2016-12-08,2014,2019,2014,2020,8252,9648.0,4800000.0
2016-12-09,2009,2014,2004,2010,3307,9600.0,4800000.0
2016-12-12,2019,2019,2004,2005,10551,9576.0,4800000.0
2016-12-13,1999,2009,1994,2010,24630,9600.0,4800000.0
2016-12-14,2009,2009,1999,2000,6041,9552.0,4800000.0
2016-12-15,2009,2009,1999,2005,26398,9576.0,4800000.0
2016-12-16,1994,2004,1994,2005,1374,9576.0,4800000.0
2016-12-19,1999,2004,1994,2000,13030,9552.0,4800000.0
2016-12-20,1999,2029,1999,2000,58407,9552.0,4800000.0
2016-12-21,1999,2004,1994,2000,12294,9552.0,4800000.0
2016-12-22,1999,2009,1994,2010,33601,9600.0,4800000.0
2016-12-23,1994,2004,1974,2005,15434,9576.0,4800000.0
2016-12-26,2004,2004,2004,2005,0,9576.0,4800000.0
2016-12-27,2004,2009,1999,2005,62886,9576.0,4800000.0
2016-12-28,1994,2059,1979,2000,6503,9552.0,4800000.0
2016-12-29,2004,2105,1999,2105,5098,10056.0,4800000.0
2017-01-02,2044,2044,2044,2045,0,9768.0,4800000.0
2017-01-03,2014,2014,2014,2015,4203,9624.0,4800000.0
2017-01-04,2014,2014,1994,2000,10311,9552.0,4800000.0
2017-01-05,2009,2009,2009,2010,1,9600.0,4800000.0
2017-01-06,1999,1999,1999,2000,1186,9552.0,4800000.0
2017-01-09,1974,1994,1974,1995,1001,9528.0,4800000.0
2017-01-10,1994,1994,1994,1995,6337,9528.0,4800000.0
2017-01-11,1994,2009,1989,2010,53020,9600.0,4800000.0
2017-01-12,1989,1989,1989,1989,31,9504.0,4800000.0
2017-01-13,1989,1989,1989,1989,0,9504.0,4800000.0
2017-01-16,1999,2034,1994,2035,4972,9720.0,4800000.0
2017-01-17,1999,2009,1999,2010,4435,9600.0,4800000.0
2017-01-18,2009,2009,2009,2010,5925,9600.0,4800000.0
2017-01-19,2004,2009,2004,2010,8402,9600.0,4800000.0
2017-01-20,2009,2009,2009,2010,2605,9600.0,4800000.0
2017-01-23,1994,1994,1989,1995,4089,9528.0,4800000.0
2017-01-24,1999,1999,1999,2000,505,9552.0,4800000.0
2017-01-25,2009,2009,2004,2005,571,9576.0,4800000.0
2017-01-26,2009,2009,2004,2005,10003,9576.0,4800000.0
2017-01-31,2019,2019,1999,2015,501,9624.0,4800000.0
2017-02-01,2004,2004,2004,2005,0,9576.0,4800000.0
2017-02-02,2004,2004,2004,2005,2029,9576.0,4800000.0
2017-02-03,1974,2004,1974,2005,1416,9576.0,4800000.0
2017-02-06,1974,1989,1974,1989,1554,9504.0,4800000.0
2017-02-07,1969,2014,1969,2015,696,9624.0,4800000.0
2017-02-08,1979,2009,1974,2010,4160,9600.0,4800000.0
2017-02-09,1979,2004,1979,1979,1450,9456.0,4800000.0
2017-02-10,1969,1984,1969,1984,4573,9480.0,4800000.0
2017-02-13,1974,2004,1974,2005,2,9576.0,4800000.0
2017-02-14,1999,1999,1999,2000,501,9552.0,4800000.0
2017-02-15,1999,1999,1999,2000,0,9552.0,4800000.0
2017-02-16,1999,1999,1999,2000,55,9552.0,4800000.0
2017-02-17,1999,1999,1999,2000,0,,
2017-02-20,1999,1999,1999,2000,0,,
2017-02-21,1999,1999,1999,2000,0,,
2017-02-22,1979,2019,1959,2020,15210,9648.0,4800000.0
2017-02-23,1994,2004,1994,2005,1200,9576.0,4800000.0
2017-02-24,2004,2004,1994,2000,14591,9552.0,4800000.0
2017-02-27,1999,1999,1999,2000,0,,
2017-02-28,2009,2009,1969,1995,1630,9528.0,4800000.0
2017-03-02,2074,2074,1999,2005,820,9576.0,4800000.0
2017-03-03,2019,2019,1964,2005,20551,9576.0,4800000.0
2017-03-06,2069,2069,1974,2000,1434,9552.0,4800000.0
2017-03-07,1994,1994,1994,1995,1,9528.0,4800000.0
2017-03-08,1964,2024,1964,1974,920,9432.0,4800000.0
2017-03-09,2004,2004,1979,1979,1388,9456.0,4800000.0
2017-03-10,1999,1999,1999,2000,900,9552.0,4800000.0
2017-03-13,1984,1984,1979,1979,2120,9456.0,4800000.0
2017-03-14,2009,2009,1969,2000,24041,9552.0,4800000.0
2017-03-15,2009,2009,1979,1989,2847,9504.0,4800000.0
2017-03-16,2004,2004,1979,1989,4237,9504.0,4800000.0
2017-03-17,1999,2074,1989,1989,23868,9504.0,4800000.0
2017-03-20,2004,2044,2004,2010,28863,9600.0,4800000.0
2017-03-21,2009,2014,2009,2010,5050,9600.0,4800000.0
2017-03-22,2009,2009,2009,2010,3113,9600.0,4800000.0
2017-03-23,2019,2044,2009,2035,10305,9720.0,4800000.0
2017-03-24,2009,2014,1989,2010,15538,9600.0,4800000.0
2017-03-27,1984,2004,1984,2005,904,9576.0,4800000.0
2017-03-28,2004,2004,1979,2005,3325,9576.0,4800000.0
2017-03-29,2044,2044,2004,2005,8122,9576.0,4800000.0
2017-03-30,2009,2014,1999,2005,12274,9576.0,4800000.0
2017-03-31,2009,2029,2004,2030,11308,9696.0,4800000.0
2017-04-03,2009,2019,2009,2015,5306,9624.0,4800000.0
2017-04-04,1984,2049,1984,2000,45050,9552.0,4800000.0
2017-04-05,1999,2004,1994,2000,6969,9552.0,4800000.0
2017-04-06,2034,2034,1999,2000,7677,9552.0,4800000.0
2017-04-07,1999,2029,1999,2010,17205,9600.0,4800000.0
2017-04-10,2009,2014,2004,2010,6205,9600.0,4800000.0
2017-04-11,1999,2009,1999,2010,30581,9600.0,4800000.0
2017-04-12,1999,2004,1999,2005,21600,9576.0,4800000.0
2017-04-13,2029,2029,1999,2000,12422,9552.0,4800000.0
2017-04-14,1999,1999,1999,2000,5000,9552.0,4800000.0
2017-04-17,2014,2014,2014,2015,1,9624.0,4800000.0
2017-04-18,1999,1999,1999,2000,18805,9552.0,4800000.0
2017-04-19,2029,2029,1994,2000,2500,9552.0,4800000.0
2017-04-20,1999,2014,1999,2000,3806,9552.0,4800000.0
2017-04-21,1994,2014,1994,2015,6981,9624.0,4800000.0
2017-04-24,1994,2019,1989,1995,28168,9528.0,4800000.0
2017-04-25,2004,2009,1999,2000,5701,9552.0,4800000.0
2017-04-26,1999,2004,1989,2000,22331,9552.0,4800000.0
2017-04-27,1999,2009,1994,2010,9152,9600.0,4800000.0
2017-04-28,1994,1994,1989,1989,3526,9504.0,4800000.0
2017-05-02,2004,2004,1989,1989,15081,9504.0,4800000.0
2017-05-04,2004,2004,2004,2005,10,9576.0,4800000.0
2017-05-08,1989,2009,1989,1995,3019,9528.0,4800000.0
2017-05-10,1984,2009,1984,2005,4285,9576.0,4800000.0
2017-05-11,1984,2004,1984,1995,9432,9528.0,4800000.0
2017-05-12,1999,2004,1989,2005,7187,9576.0,4800000.0
2017-05-15,2009,2009,1984,1995,1842,9528.0,4800000.0
2017-05-16,1994,2004,1994,1995,2933,9528.0,4800000.0
2017-05-17,1994,1999,1994,1995,16757,9528.0,4800000.0
2017-05-18,1989,1989,1984,1989,5372,9504.0,4800000.0
2017-05-19,1989,1994,1989,1989,2417,9504.0,4800000.0
2017-05-22,1984,2004,1984,2005,4739,9576.0,4800000.0
2017-05-23,2004,2004,2004,2005,2,9576.0,4800000.0
2017-05-24,1994,1999,1984,1989,6944,9504.0,4800000.0
2017-05-25,1984,1999,1984,1995,4,9528.0,4800000.0
2017-05-26,1984,1999,1979,2000,17159,9552.0,4800000.0
2017-05-29,1979,1994,1979,1979,30201,9456.0,4800000.0
2017-05-30,1974,1989,1974,1979,562,9456.0,4800000.0
2017-05-31,1979,1989,1979,1989,3603,9504.0,4800000.0
2017-06-01,1989,1989,1979,1989,7266,9504.0,4800000.0
2017-06-02,1989,1994,1979,1995,3601,9528.0,4800000.0
2017-06-05,1979,1984,1979,1979,2855,9456.0,4800000.0
2017-06-07,1979,1979,1974,1979,15738,9456.0,4800000.0
2017-06-08,1984,1984,1974,1979,1913,9456.0,4800000.0
2017-06-09,1984,1984,1979,1984,8421,9480.0,4800000.0
2017-06-12,1984,1989,1979,1989,1768,9504.0,4800000.0
2017-06-13,1989,1989,1979,1989,408,9504.0,4800000.0
2017-06-14,1984,1989,1979,1989,4716,9504.0,4800000.0
2017-06-15,1979,1994,1979,1984,5080,9480.0,4800000.0
2017-06-16,1989,1994,1989,1995,1421,9528.0,4800000.0
2017-06-19,1984,1999,1969,1984,21141,9480.0,4800000.0
2017-06-20,1969,1984,1969,1974,10161,9432.0,4800000.0
2017-06-21,1969,1989,1969,1979,10828,9456.0,4800000.0
2017-06-22,1989,1999,1979,1995,15712,9528.0,4800000.0
2017-06-23,1974,1994,1974,1989,3401,9504.0,4800000.0
2017-06-26,1999,1999,1989,1995,600,9528.0,4800000.0
2017-06-27,1994,1994,1994,1995,1,9528.0,4800000.0
2017-06-28,1979,1999,1979,2000,56,9552.0,4800000.0
2017-06-29,1979,1999,1979,2000,5340,9552.0,4800000.0
2017-06-30,1989,2009,1989,2010,15503,9600.0,4800000.0
2017-07-03,2009,2009,1999,2005,5750,9576.0,4800000.0
2017-07-04,2004,2014,2004,2010,41970,9600.0,4800000.0
2017-07-05,1999,2024,1999,2025,12814,9672.0,4800000.0
2017-07-06,1999,2024,1999,2025,2635,9672.0,4800000.0
2017-07-07,2009,2034,2009,2020,10896,9648.0,4800000.0
2017-07-10,2014,2029,2009,2020,37267,9648.0,4800000.0
2017-07-11,2014,2024,2014,2025,1905,9672.0,4800000.0
2017-07-12,2039,2044,2029,2045,2133,9768.0,4800000.0
2017-07-13,2054,2054,2039,2045,863,9768.0,4800000.0
2017-07-14,2024,2049,2024,2045,3993,9768.0,4800000.0
2017-07-17,2044,2044,2034,2035,2437,9720.0,4800000.0
2017-07-18,2034,2049,2029,2050,6147,9792.0,4800000.0
2017-07-19,2049,2059,2049,2060,31956,9840.0,4800000.0
2017-07-20,2054,2089,2044,2090,83139,9984.0,4800000.0
2017-07-21,2089,2089,2054,2065,19769,9864.0,4800000.0
2017-07-24,2059,2059,2059,2060,146,9840.0,4800000.0
2017-07-25,2029,2049,2029,2040,13520,9744.0,4800000.0
2017-07-26,2034,2039,2034,2040,837,9744.0,4800000.0
2017-07-27,2039,2044,2039,2045,120,9768.0,4800000.0
2017-07-28,2039,2039,2034,2035,1910,9720.0,4800000.0
2017-07-31,2039,2039,2034,2040,49,9744.0,4800000.0
2017-08-01,2044,2084,2044,2050,98,9792.0,4800000.0
2017-08-02,2049,2079,2049,2060,22801,9840.0,4800000.0
2017-08-03,2059,2064,2049,2065,11304,9864.0,4800000.0
2017-08-04,2054,2059,2054,2055,3423,9816.0,4800000.0
2017-08-07,2049,2100,2049,2060,9950,9840.0,4800000.0
2017-08-08,2059,2064,2054,2055,10593,9816.0,4800000.0
2017-08-09,2019,2059,1999,2025,48580,9672.0,4800000.0
2017-08-10,2019,2039,2019,2040,1262,9744.0,4800000.0
2017-08-11,2034,2034,2034,2035,960,9720.0,4800000.0
2017-08-14,2049,2049,2049,2050,1,9792.0,4800000.0
2017-08-16,2049,2049,2049,2050,0,9792.0,4800000.0
2017-08-17,2049,2074,2029,2060,14900,9840.0,4800000.0
2017-08-18,2049,2074,2049,2075,4,9912.0,4800000.0
2017-08-21,2064,2074,2064,2070,4413,9888.0,4800000.0
2017-08-22,2034,2064,2029,2045,12009,9768.0,4800000.0
2017-08-23,2039,2054,2039,2055,8445,9816.0,4800000.0
2017-08-24,2054,2054,2054,2055,0,9816.0,4800000.0
2017-08-25,2034,2069,2034,2060,11641,9840.0,4800000.0
2017-08-28,2029,2089,2029,2075,1638,9912.0,4800000.0
2017-08-29,2084,2084,2074,2075,100,9912.0,4800000.0
2017-08-30,2074,2079,2054,2075,30665,9912.0,4800000.0
2017-08-31,2079,2079,2074,2075,53004,9912.0,4800000.0
2017-09-01,2064,2064,2064,2065,114,9864.0,4800000.0
2017-09-04,2054,2074,2049,2055,14564,9816.0,4800000.0
2017-09-05,2049,2054,2049,2055,3385,9816.0,4800000.0
2017-09-06,2054,2054,2049,2050,8472,9792.0,4800000.0
2017-09-07,2049,2059,2044,2060,10852,9840.0,4800000.0
2017-09-08,2054,2059,2049,2060,18275,9840.0,4800000.0
2017-09-11,2059,2059,2049,2055,5874,9816.0,4800000.0
2017-09-12,2049,2049,2044,2050,14076,9792.0,4800000.0
2017-09-13,2049,2054,2034,2040,19970,9744.0,4800000.0
2017-09-14,2034,2064,2034,2050,22274,9792.0,4800000.0
2017-09-15,2049,2064,2049,2065,14380,9864.0,4800000.0
2017-09-18,2064,2064,2064,2065,2952,9864.0,4800000.0
2017-09-19,2069,2069,2064,2070,7159,9888.0,4800000.0
2017-09-20,2089,2089,2064,2065,54,9864.0,4800000.0
2017-09-21,2054,2100,2054,2065,5924,9864.0,4800000.0
2017-09-22,2059,2064,2059,2065,2030,9864.0,4800000.0
2017-09-25,2054,2064,2054,2065,183,9864.0,4800000.0
2017-09-26,2059,2064,2059,2065,1111,9864.0,4800000.0
2017-09-27,2064,2064,2064,2065,5353,9864.0,4800000.0
2017-09-28,2064,2064,2059,2065,7194,9864.0,4800000.0
2017-09-29,2044,2064,2044,2060,6472,9840.0,4800000.0
2017-10-10,2089,2089,2049,2055,1002,9816.0,4800000.0
2017-10-11,2054,2074,2054,2075,101,9912.0,4800000.0
2017-10-12,2069,2069,2064,2065,201,9864.0,4800000.0
2017-10-13,2074,2074,2059,2060,2202,9840.0,4800000.0
2017-10-16,2069,2095,2064,2090,5564,9984.0,4800000.0
2017-10-17,2064,2069,2064,2070,2240,9888.0,4800000.0
2017-10-18,2069,2084,2059,2085,11198,9960.0,4800000.0
2017-10-19,2054,2054,2054,2055,355,9816.0,4800000.0
2017-10-20,2054,2054,2049,2050,21497,9792.0,4800000.0
2017-10-23,2029,2059,2029,2060,791,9840.0,4800000.0
2017-10-24,2059,2059,2059,2060,2000,9840.0,4800000.0
2017-10-25,2054,2054,2039,2045,4369,9768.0,4800000.0
2017-10-26,2039,2069,2039,2070,3077,9888.0,4800000.0
2017-10-27,2039,2039,2039,2040,1500,9744.0,4800000.0
2017-10-30,2039,2039,2034,2035,1341,9720.0,4800000.0
2017-10-31,2034,2054,2034,2055,801,9816.0,4800000.0
2017-11-01,2034,2054,2034,2055,161,9816.0,4800000.0
2017-11-02,2049,2049,2049,2050,1000,9792.0,4800000.0
2017-11-03,2034,2039,2034,2040,1050,9744.0,4800000.0
2017-11-06,2039,2039,2029,2030,7799,9696.0,4800000.0
2017-11-07,2029,2029,2029,2030,20002,9696.0,4800000.0
2017-11-08,2029,2029,2029,2030,1928,9696.0,4800000.0
2017-11-09,2029,2059,2024,2060,6003,9840.0,4800000.0
2017-11-10,2029,2029,2024,2025,4043,9672.0,4800000.0
2017-11-13,2024,2054,2024,2025,12029,9672.0,4800000.0
2017-11-14,2024,2029,2009,2015,35049,9624.0,4800000.0
2017-11-15,2014,2014,2014,2015,0,9624.0,4800000.0
2017-11-16,2049,2049,2049,2050,1,9792.0,4800000.0
2017-11-17,2029,2039,2029,2040,204,9744.0,4800000.0
2017-11-20,2009,2029,2009,2030,6301,9696.0,4800000.0
2017-11-21,2029,2029,2009,2010,2277,9600.0,4800000.0
2017-11-22,2004,2004,2004,2005,267,9576.0,4800000.0
2017-11-23,2039,2039,2004,2040,1288,9744.0,4800000.0
2017-11-24,2024,2024,2024,2025,0,9672.0,4800000.0
2017-11-27,2009,2009,2009,2010,6076,9600.0,4800000.0
2017-11-28,2009,2100,2009,2015,67986,9624.0,4800000.0
2017-11-29,2049,2049,1999,2025,12334,9672.0,4800000.0
2017-11-30,2029,2039,2009,2030,1008,9696.0,4800000.0
2017-12-01,2019,2024,2019,2025,1005,9672.0,4800000.0
2017-12-04,2009,2029,2009,2030,150,9696.0,4800000.0
2017-12-05,2004,2029,2004,2030,3541,9696.0,4800000.0
2017-12-06,2019,2019,2009,2020,1121,9648.0,4800000.0
2017-12-07,2009,2009,2009,2010,1,9600.0,4800000.0
2017-12-08,1994,2014,1989,2015,7814,9624.0,4800000.0
2017-12-11,2014,2014,2014,2015,3250,9624.0,4800000.0
2017-12-12,1994,2019,1994,2020,8318,9648.0,4800000.0
2017-12-13,2009,2024,2009,2025,7543,9672.0,4800000.0
2017-12-14,2009,2034,2009,2035,9635,9720.0,4800000.0
2017-12-15,2034,2034,2009,2015,3851,9624.0,4800000.0
2017-12-18,2014,2014,2014,2015,0,,
2017-12-19,2014,2029,2014,2030,2170,9696.0,4800000.0
2017-12-20,2029,2029,2009,2025,3960,9672.0,4800000.0
2017-12-21,2009,2009,1999,2000,3205,9552.0,4800000.0
2017-12-22,1994,1999,1994,2000,4350,9552.0,4800000.0
2017-12-26,1999,1999,1999,2000,0,,
2017-12-27,1999,1999,1999,2000,0,,
2017-12-28,1999,1999,1989,2000,2536,9552.0,4800000.0
2018-01-02,1984,2014,1984,1995,23280,9528.0,4800000.0
2018-01-03,1994,1994,1994,1995,5299,9528.0,4800000.0
2018-01-04,1994,2009,1994,2000,4130,9552.0,4800000.0
2018-01-05,1999,2009,1999,2000,5661,9552.0,4800000.0
2018-01-08,1999,2019,1999,2020,3481,9648.0,4800000.0
2018-01-09,1999,2009,1999,2000,6096,9552.0,4800000.0
2018-01-10,1999,2004,1999,2000,6161,9552.0,4800000.0
2018-01-11,1999,2029,1999,2030,4316,9696.0,4800000.0
2018-01-12,1999,2004,1999,2005,1500,9576.0,4800000.0
2018-01-15,1999,2034,1999,2010,12933,9600.0,4800000.0
2018-01-16,2009,2024,1999,2000,1385,9552.0,4800000.0
2018-01-17,1999,1999,1999,2000,3505,9552.0,4800000.0
2018-01-18,1994,2009,1994,2000,4678,9552.0,4800000.0
2018-01-19,1994,1999,1994,2000,2297,9552.0,4800000.0
2018-01-22,1999,2009,1999,2000,3793,9552.0,4800000.0
2018-01-23,1989,1994,1989,1995,4002,9528.0,4800000.0
2018-01-24,1999,2034,1999,2025,2331,9672.0,4800000.0
2018-01-25,1999,2019,1999,2020,14907,9648.0,4800000.0
2018-01-26,2019,2019,2004,2005,1588,9576.0,4800000.0
2018-01-29,1999,2029,1999,2030,3750,9696.0,4800000.0
2018-01-30,2009,2024,2009,2025,3607,9672.0,4800000.0
2018-01-31,2009,2024,2009,2010,4094,9600.0,4800000.0
2018-02-01,2009,2029,2009,2010,3023,9600.0,4800000.0
2018-02-02,2009,2009,2009,2010,343,9600.0,4800000.0
2018-02-05,2009,2039,2009,2040,145,9744.0,4800000.0
2018-02-06,2014,2014,2009,2010,2742,9600.0,4800000.0
2018-02-07,2014,2034,2014,2015,3,9624.0,4800000.0
2018-02-08,2014,2014,2014,2015,1,9624.0,4800000.0
2018-02-09,2014,2034,2014,2035,3,9720.0,4800000.0
2018-02-12,2034,2034,2034,2035,1,9720.0,4800000.0
2018-02-13,2009,2024,2009,2025,7945,9672.0,4800000.0
2018-02-14,2014,2029,2009,2015,3561,9624.0,4800000.0
2018-02-19,2034,2034,2009,2015,10,9624.0,4800000.0
2018-02-20,2029,2029,2019,2020,1612,9648.0,4800000.0
2018-02-21,2029,2029,2024,2025,5,9672.0,4800000.0
2018-02-22,2029,2034,2024,2025,2854,9672.0,4800000.0
2018-02-23,2034,2039,2019,2020,9207,9648.0,4800000.0
2018-02-26,2014,2029,2014,2030,4855,9696.0,4800000.0
2018-02-27,2034,2034,2029,2030,2688,9696.0,4800000.0
2018-02-28,2029,2029,2019,2030,1928,9696.0,4800000.0
2018-03-02,2014,2034,2014,2025,2241,9672.0,4800000.0
2018-03-05,2034,2034,2029,2030,2600,9696.0,4800000.0
