상상인이안1호스팩(307870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-02-21,2005,2005,1995,2000,1557,9500.0,4750000.0
2019-02-22,2010,2010,2000,2000,5215,9500.0,4750000.0
2019-02-25,2010,2010,2000,2000,458,9500.0,4750000.0
2019-02-26,2010,2010,1990,2005,37021,9524.0,4750000.0
2019-02-27,2005,2005,2000,2005,2301,9524.0,4750000.0
2019-02-28,2005,2005,1995,1995,2003,9476.0,4750000.0
2019-03-04,2005,2005,1995,2005,1269,9524.0,4750000.0
2019-03-05,2005,2005,2000,2000,905,9500.0,4750000.0
2019-03-06,2005,2005,1995,1995,901,9476.0,4750000.0
2019-03-07,2005,2005,2000,2000,1434,9500.0,4750000.0
2019-03-08,2005,2005,2005,2005,1,9524.0,4750000.0
2019-03-11,2005,2005,2005,2005,1044,9524.0,4750000.0
2019-03-12,2005,2005,2005,2005,2,9524.0,4750000.0
2019-03-13,2005,2010,2005,2005,6316,9524.0,4750000.0
2019-03-14,2010,2010,2005,2010,1203,9548.0,4750000.0
2019-03-15,2010,2010,2005,2005,21433,9524.0,4750000.0
2019-03-18,2010,2010,2000,2005,11013,9524.0,4750000.0
2019-03-19,2010,2010,2010,2010,4022,9548.0,4750000.0
2019-03-20,2010,2010,2005,2005,4259,9524.0,4750000.0
2019-03-21,2010,2010,2000,2000,1209,9500.0,4750000.0
2019-03-22,2010,2010,2000,2010,11104,9548.0,4750000.0
2019-03-25,2010,2010,2005,2010,10499,9548.0,4750000.0
2019-03-26,2010,2010,2010,2010,1508,9548.0,4750000.0
2019-03-27,2010,2010,2005,2010,91,9548.0,4750000.0
2019-03-28,2010,2010,2010,2010,7,9548.0,4750000.0
2019-03-29,2010,2010,2000,2010,46,9548.0,4750000.0
2019-04-01,2010,2010,1995,2005,15965,9524.0,4750000.0
2019-04-02,2005,2005,2000,2000,905,,
2019-04-03,2005,2005,1995,2000,12416,9500.0,4750000.0
2019-04-04,2005,2005,2000,2000,12746,9500.0,4750000.0
2019-04-05,2005,2005,2000,2000,23025,9500.0,4750000.0
2019-04-08,2005,2005,2000,2005,5487,9524.0,4750000.0
2019-04-09,2005,2005,1995,2005,24005,9524.0,4750000.0
2019-04-10,2005,2005,2000,2005,12209,9524.0,4750000.0
2019-04-11,2005,2005,2000,2000,6493,9500.0,4750000.0
2019-04-12,2005,2010,2000,2010,48398,9548.0,4750000.0
2019-04-15,2010,2010,2000,2000,12016,9500.0,4750000.0
2019-04-16,2005,2005,2000,2000,34179,9500.0,4750000.0
2019-04-17,2010,2010,2000,2000,2406,9500.0,4750000.0
2019-04-18,2010,2010,2000,2000,2561,9500.0,4750000.0
2019-04-19,2010,2010,1995,2000,99592,9500.0,4750000.0
2019-04-22,2010,2010,2000,2000,3105,9500.0,4750000.0
2019-04-23,2010,2010,2000,2005,3881,9524.0,4750000.0
2019-04-24,2010,2010,2000,2005,13097,9524.0,4750000.0
2019-04-25,2005,2010,2000,2005,23301,9524.0,4750000.0
2019-04-26,2010,2010,2000,2005,40212,9524.0,4750000.0
2019-04-29,2010,2010,2000,2000,16314,9500.0,4750000.0
2019-04-30,2010,2010,2000,2005,7869,9524.0,4750000.0
2019-05-02,2010,2010,2005,2005,4105,9524.0,4750000.0
2019-05-03,2010,2010,2005,2010,45528,9548.0,4750000.0
2019-05-07,2015,2015,2010,2010,11340,9548.0,4750000.0
2019-05-08,2010,2020,2010,2020,42091,9595.0,4750000.0
2019-05-09,2020,2035,2015,2015,32978,9571.0,4750000.0
2019-05-10,2040,2040,2020,2030,872,9642.0,4750000.0
2019-05-13,2035,2045,2020,2040,16065,9690.0,4750000.0
2019-05-14,2040,2075,2035,2040,30574,9690.0,4750000.0
2019-05-15,2055,2055,2050,2050,34,9738.0,4750000.0
2019-05-16,2055,2060,2050,2060,14115,9785.0,4750000.0
2019-05-17,2060,2060,2050,2050,5593,9738.0,4750000.0
2019-05-20,2045,2045,2035,2035,4520,9666.0,4750000.0
2019-05-21,2055,2055,2035,2055,5106,9761.0,4750000.0
2019-05-22,2055,2055,2030,2050,3251,9738.0,4750000.0
2019-05-23,2055,2055,2030,2050,5750,9738.0,4750000.0
2019-05-24,2055,2055,2050,2055,11004,9761.0,4750000.0
2019-05-27,2055,2055,2025,2055,13221,9761.0,4750000.0
2019-05-28,2055,2055,2055,2055,71,9761.0,4750000.0
2019-05-29,2050,2055,2035,2055,93669,9761.0,4750000.0
2019-05-30,2050,2050,2030,2030,13156,9642.0,4750000.0
2019-05-31,2050,2050,2040,2045,2473,9714.0,4750000.0
2019-06-03,2040,2055,2040,2055,24528,9761.0,4750000.0
2019-06-04,2055,2055,2040,2045,3668,9714.0,4750000.0
2019-06-05,2055,2060,2050,2055,32919,9761.0,4750000.0
2019-06-07,2065,2070,2055,2070,5013,9832.0,4750000.0
2019-06-10,2070,2085,2070,2075,16764,9856.0,4750000.0
2019-06-11,2080,2085,2070,2080,7028,9880.0,4750000.0
2019-06-12,2080,2085,2080,2085,5208,9904.0,4750000.0
2019-06-13,2090,2095,2080,2095,11420,9951.0,4750000.0
2019-06-14,2100,2100,2065,2095,7414,9951.0,4750000.0
2019-06-17,2095,2100,2090,2090,33409,9928.0,4750000.0
2019-06-18,2100,2100,2090,2095,2562,9951.0,4750000.0
2019-06-19,2100,2105,2095,2100,8570,9975.0,4750000.0
2019-06-20,2110,2110,2085,2110,7171,10022.0,4750000.0
2019-06-21,2110,2110,2100,2110,16629,10022.0,4750000.0
2019-06-24,2125,2125,2115,2115,12685,10046.0,4750000.0
2019-06-25,2125,2125,2095,2095,10023,9951.0,4750000.0
2019-06-26,2120,2120,2100,2105,24453,9999.0,4750000.0
2019-06-27,2125,2125,2105,2120,4984,10070.0,4750000.0
2019-06-28,2120,2120,2100,2115,2947,10046.0,4750000.0
2019-07-01,2125,2130,2100,2125,3049,10094.0,4750000.0
2019-07-02,2135,2135,2125,2130,28076,10118.0,4750000.0
2019-07-03,2135,2140,2115,2115,25301,10046.0,4750000.0
2019-07-04,2140,2140,2095,2100,36312,9975.0,4750000.0
2019-07-05,2130,2130,2095,2095,22910,9951.0,4750000.0
2019-07-08,2100,2120,2095,2100,10604,9975.0,4750000.0
2019-07-09,2130,2130,2095,2120,10928,10070.0,4750000.0
2019-07-10,2125,2125,2110,2120,14957,10070.0,4750000.0
2019-07-11,2120,2120,2105,2110,13272,10022.0,4750000.0
2019-07-12,2120,2120,2100,2120,19440,10070.0,4750000.0
2019-07-15,2120,2120,2100,2100,12112,9975.0,4750000.0
2019-07-16,2105,2105,2075,2075,17603,9856.0,4750000.0
2019-07-17,2100,2100,2060,2085,45029,9904.0,4750000.0
2019-07-18,2085,2095,2085,2095,12637,9951.0,4750000.0
2019-07-19,2090,2100,2065,2100,26570,9975.0,4750000.0
2019-07-22,2100,2120,2095,2120,20597,10070.0,4750000.0
2019-07-23,2115,2115,2075,2085,25273,9904.0,4750000.0
2019-07-24,2100,2100,2070,2095,4460,9951.0,4750000.0
2019-07-25,2095,2095,2075,2090,1024,9928.0,4750000.0
2019-07-26,2095,2095,2070,2095,25565,9951.0,4750000.0
2019-07-29,2095,2095,2070,2090,32025,9928.0,4750000.0
2019-07-30,2090,2090,2070,2080,10320,9880.0,4750000.0
2019-07-31,2090,2090,2045,2085,21228,9904.0,4750000.0
2019-08-01,2090,2090,2070,2090,2147,9928.0,4750000.0
2019-08-02,2070,2090,2070,2090,1842,9928.0,4750000.0
2019-08-05,2065,2080,2065,2080,1635,9880.0,4750000.0
2019-08-06,2060,2080,2045,2060,11600,9785.0,4750000.0
2019-08-07,2070,2070,2050,2060,20607,9785.0,4750000.0
2019-08-08,2060,2075,2055,2075,6390,9856.0,4750000.0
2019-08-09,2060,2070,2060,2070,2,9832.0,4750000.0
2019-08-12,2070,2075,2060,2075,1273,9856.0,4750000.0
2019-08-13,2060,2080,2060,2075,50,9856.0,4750000.0
2019-08-14,2080,2080,2065,2065,74,9809.0,4750000.0
2019-08-16,2055,2065,2055,2065,6411,9809.0,4750000.0
2019-08-19,2055,2065,2055,2055,26995,9761.0,4750000.0
2019-08-20,2065,2065,2055,2060,15386,9785.0,4750000.0
2019-08-21,2065,2065,2055,2060,9612,9785.0,4750000.0
2019-08-22,2060,2070,2050,2070,5090,9832.0,4750000.0
2019-08-23,2070,2070,2060,2070,2930,9832.0,4750000.0
2019-08-26,2065,2070,2050,2070,666,9832.0,4750000.0
2019-08-27,2070,2070,2070,2070,3013,9832.0,4750000.0
2019-08-28,2070,2090,2065,2085,1004,9904.0,4750000.0
2019-08-29,2090,2095,2050,2060,24126,9785.0,4750000.0
2019-08-30,2060,2060,2045,2060,49003,9785.0,4750000.0
2019-09-02,2065,2065,2065,2065,2895,9809.0,4750000.0
2019-09-03,2060,2065,2055,2065,60002,9809.0,4750000.0
2019-09-04,2065,2065,2065,2065,3153,9809.0,4750000.0
2019-09-05,2065,2065,2065,2065,0,9809.0,4750000.0
2019-09-06,2055,2080,2055,2060,90,9785.0,4750000.0
2019-09-09,2070,2070,2060,2060,103,9785.0,4750000.0
2019-09-10,2055,2075,2055,2075,14100,9856.0,4750000.0
2019-09-11,2075,2075,2055,2060,700,9785.0,4750000.0
2019-09-16,2065,2065,2065,2065,0,9809.0,4750000.0
2019-09-17,2060,2060,2060,2060,510,9785.0,4750000.0
2019-09-18,2065,2065,2065,2065,1,9809.0,4750000.0
2019-09-19,2060,2065,2060,2065,1055,9809.0,4750000.0
2019-09-20,2060,2065,2060,2060,2574,9785.0,4750000.0
2019-09-23,2060,2060,2060,2060,300,9785.0,4750000.0
2019-09-24,2060,2065,2060,2065,317,9809.0,4750000.0
2019-09-25,2065,2070,2065,2070,74,9832.0,4750000.0
2019-09-26,2075,2075,2075,2075,25412,9856.0,4750000.0
2019-09-27,2075,2075,2070,2070,2911,9832.0,4750000.0
2019-09-30,2075,2080,2075,2080,3202,9880.0,4750000.0
2019-10-01,2080,2080,2080,2080,48,9880.0,4750000.0
2019-10-02,2070,2080,2065,2080,6500,9880.0,4750000.0
2019-10-04,2080,2080,2080,2080,0,9880.0,4750000.0
2019-10-07,2060,2085,2060,2075,2112,9856.0,4750000.0
