미래에셋벤처투자(100790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-05-29,6820,7050,6690,6690,501168,205164.0,30667215.0
2019-05-30,6620,6780,6470,6700,229920,205470.0,30667215.0
2019-05-31,6610,6740,6530,6530,208557,200257.0,30667215.0
2019-06-03,6450,6530,6180,6200,435625,190137.0,30667215.0
2019-06-04,6210,6380,6200,6200,223016,190137.0,30667215.0
2019-06-05,6270,6290,6210,6210,144734,190443.0,30667215.0
2019-06-07,6210,6390,6160,6210,250973,190443.0,30667215.0
2019-06-10,6300,6350,6240,6260,183706,191977.0,30667215.0
2019-06-11,6350,6470,6260,6390,312176,195964.0,30667215.0
2019-06-12,6440,6610,6340,6530,349240,200257.0,30667215.0
2019-06-13,6550,6560,6400,6410,205013,196577.0,30667215.0
2019-06-14,6430,6450,6160,6160,420095,188910.0,30667215.0
2019-06-17,6200,6260,6110,6120,197658,187683.0,30667215.0
2019-06-18,6090,6160,5940,5940,356592,182163.0,30667215.0
2019-06-19,6010,6070,5870,5870,278771,180017.0,30667215.0
2019-06-20,5910,6530,5910,6190,920095,189830.0,30667215.0
2019-06-21,6190,6240,6070,6100,174234,187070.0,30667215.0
2019-06-24,6130,6140,5970,5970,234346,183083.0,30667215.0
2019-06-25,6040,6040,5450,5710,596122,175110.0,30667215.0
2019-06-26,5640,5840,5570,5770,216559,176950.0,30667215.0
2019-06-27,5770,5820,5650,5670,184850,173883.0,30667215.0
2019-06-28,5550,5770,5540,5550,200486,170203.0,30667215.0
2019-07-01,5500,5680,5460,5600,154554,171736.0,30667215.0
2019-07-02,5630,5810,5550,5790,244055,177563.0,30667215.0
2019-07-03,5780,5780,5640,5660,104026,173576.0,30667215.0
2019-07-04,5660,5660,5430,5480,195580,168056.0,30667215.0
2019-07-05,5480,5650,5480,5510,140721,168976.0,30667215.0
2019-07-08,5460,5500,5250,5250,228806,161003.0,30667215.0
2019-07-09,5150,5430,5100,5120,150673,157016.0,30667215.0
2019-07-10,5120,5290,5070,5230,130175,160390.0,30667215.0
2019-07-11,5250,5290,4930,5210,122649,159776.0,30667215.0
2019-07-12,5270,5290,5180,5210,197680,159776.0,30667215.0
2019-07-15,5620,5910,5230,5240,677118,160696.0,30667215.0
2019-07-16,5240,5760,5170,5630,657781,172656.0,30667215.0
2019-07-17,5560,5670,5380,5670,247604,173883.0,30667215.0
2019-07-18,5570,5750,5560,5650,124523,173270.0,30667215.0
2019-07-19,5670,5940,5630,5860,393253,179710.0,30667215.0
2019-07-22,5850,5900,5730,5880,161050,180323.0,30667215.0
2019-07-23,5980,5980,5670,5830,189716,178790.0,30667215.0
2019-07-24,5840,5940,5710,5730,148858,175723.0,30667215.0
2019-07-25,5790,5840,5680,5760,105314,176643.0,30667215.0
2019-07-26,5720,5970,5700,5820,266929,178483.0,30667215.0
2019-07-29,5740,5790,5400,5400,225246,165603.0,30667215.0
2019-07-30,5300,5460,5180,5300,228839,162536.0,30667215.0
2019-07-31,5230,5750,5180,5640,322810,172963.0,30667215.0
2019-08-01,5520,6120,5450,5950,783649,182470.0,30667215.0
2019-08-02,5910,6000,5770,5880,376469,180323.0,30667215.0
2019-08-05,5760,6100,5190,5280,474915,161923.0,30667215.0
2019-08-06,5140,5340,4700,4805,536192,147356.0,30667215.0
2019-08-07,4805,5060,4805,4855,291004,148889.0,30667215.0
2019-08-08,4910,5140,4855,5140,261446,157629.0,30667215.0
2019-08-09,5270,5270,5000,5030,217795,154256.0,30667215.0
2019-08-12,5030,5150,5010,5020,137045,153949.0,30667215.0
2019-08-13,4985,5080,4945,4965,154448,152263.0,30667215.0
2019-08-14,5060,5080,4955,4955,184803,151956.0,30667215.0
2019-08-16,4865,4910,4745,4765,185459,146129.0,30667215.0
2019-08-19,4850,4870,4765,4805,93792,147356.0,30667215.0
2019-08-20,4840,4965,4825,4950,170906,151803.0,30667215.0
2019-08-21,4950,5150,4900,5060,225066,155176.0,30667215.0
2019-08-22,5110,5130,5010,5040,108193,154563.0,30667215.0
2019-08-23,5050,5090,4820,4895,259752,150116.0,30667215.0
2019-08-26,4705,4770,4485,4550,259681,139536.0,30667215.0
2019-08-27,4620,4670,4465,4480,128764,137389.0,30667215.0
2019-08-28,4530,4675,4450,4650,171863,142603.0,30667215.0
2019-08-29,4650,4780,4535,4560,106951,139843.0,30667215.0
2019-08-30,4640,4905,4610,4815,278906,147663.0,30667215.0
2019-09-02,4795,4915,4700,4815,67208,147663.0,30667215.0
2019-09-03,4905,4905,4750,4780,98299,146589.0,30667215.0
2019-09-04,4780,4920,4675,4850,126245,148736.0,30667215.0
2019-09-05,4850,4945,4850,4930,94493,151189.0,30667215.0
2019-09-06,4940,4990,4905,4930,54411,151189.0,30667215.0
2019-09-09,4955,4990,4785,4800,63298,147203.0,30667215.0
2019-09-10,4770,4860,4770,4775,75254,146436.0,30667215.0
2019-09-11,4770,5150,4770,4940,209885,151496.0,30667215.0
2019-09-16,4965,5040,4895,4920,107233,150883.0,30667215.0
2019-09-17,4885,4925,4785,4820,234303,147816.0,30667215.0
2019-09-18,4825,4825,4725,4775,193745,146436.0,30667215.0
2019-09-19,4825,4895,4720,4770,253436,146283.0,30667215.0
2019-09-20,4790,4820,4745,4760,104367,145976.0,30667215.0
2019-09-23,4765,4780,4685,4695,90934,143983.0,30667215.0
2019-09-24,4680,4735,4640,4660,112282,142909.0,30667215.0
2019-09-25,4640,4670,4500,4515,158535,138462.0,30667215.0
2019-09-26,4505,4605,4385,4480,127354,137389.0,30667215.0
2019-09-27,4450,4485,4425,4450,70547,136469.0,30667215.0
2019-09-30,4425,4470,4280,4315,116883,132329.0,30667215.0
2019-10-01,4315,4370,4205,4310,91929,132176.0,30667215.0
2019-10-02,4310,4445,4255,4310,80592,132176.0,30667215.0
2019-10-04,4310,4405,4240,4275,90160,131102.0,30667215.0
2019-10-07,4280,4420,4265,4340,138827,,
