웹케시(053580),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-05-22,63500,66000,62800,65000,56102,439638.0,6763655.0
2019-05-23,66000,67900,63500,66500,76490,449783.0,6763655.0
2019-05-24,66500,66500,64300,65400,51472,442343.0,6763655.0
2019-05-27,65000,66500,63000,64000,40550,432874.0,6763655.0
2019-05-28,63500,65700,63500,64300,40347,434903.0,6763655.0
2019-05-29,65000,65000,62500,63800,58200,431521.0,6763655.0
2019-05-30,63200,64200,56900,60900,253924,411907.0,6763655.0
2019-05-31,59800,63500,59700,62200,87403,420699.0,6763655.0
2019-06-03,61600,63900,60900,63000,52523,426110.0,6763655.0
2019-06-04,63000,63000,59700,61100,114564,413259.0,6763655.0
2019-06-05,62000,62800,60000,60700,59277,410554.0,6763655.0
2019-06-07,60700,61100,58300,59100,79521,399732.0,6763655.0
2019-06-10,59100,60200,58600,58800,69806,397703.0,6763655.0
2019-06-11,59500,60200,57000,60000,130198,405819.0,6763655.0
2019-06-12,59400,59800,57300,59500,95336,402437.0,6763655.0
2019-06-13,58900,63700,58900,63500,130461,429492.0,6763655.0
2019-06-14,63500,64000,62400,63000,57643,426110.0,6763655.0
2019-06-17,62500,66800,62500,65200,143026,440990.0,6763655.0
2019-06-18,66000,67300,65000,66800,97725,451812.0,6763655.0
2019-06-19,68000,68000,61100,62800,228180,424758.0,6763655.0
2019-06-20,62500,63500,60100,61600,98985,416641.0,6763655.0
2019-06-21,61000,63000,60500,61900,54129,418670.0,6763655.0
2019-06-24,63000,63000,60000,60400,59306,408525.0,6763655.0
2019-06-25,60800,61200,59600,61000,50810,412583.0,6763655.0
2019-06-26,60500,61300,59800,60900,48626,411907.0,6763655.0
2019-06-27,60900,60900,59000,60800,59695,411230.0,6763655.0
2019-06-28,60600,61200,59200,59800,39253,404467.0,6763655.0
2019-07-01,59800,59900,55000,56300,116879,380794.0,6763655.0
2019-07-02,56300,56700,51900,53900,218394,364561.0,6763655.0
2019-07-03,53200,54300,48200,51600,157734,349005.0,6763655.0
2019-07-04,51200,52800,49050,52700,142625,356445.0,6763655.0
2019-07-05,52400,55700,50000,54400,165904,367943.0,6763655.0
2019-07-08,53600,54300,49450,50000,163973,338183.0,6763655.0
2019-07-09,49950,51900,46650,48500,171920,328037.0,6763655.0
2019-07-10,48050,52400,48050,51000,97474,344946.0,6763655.0
2019-07-11,51900,52200,50500,51200,48085,346299.0,6763655.0
2019-07-12,52000,52000,49550,50300,48837,340212.0,6763655.0
2019-07-15,50300,50300,47550,49200,81801,332772.0,6763655.0
2019-07-16,48550,49500,47450,48300,59935,326685.0,6763655.0
2019-07-17,48300,50400,47500,50200,56444,339535.0,6763655.0
2019-07-18,50200,51900,48600,49300,67690,333448.0,6763655.0
2019-07-19,50200,50200,47750,48500,69211,328037.0,6763655.0
2019-07-22,48900,48900,47650,48750,38198,329728.0,6763655.0
2019-07-23,48300,49700,47850,48000,52782,324655.0,6763655.0
2019-07-24,47500,48050,42800,46600,168161,315186.0,6763655.0
2019-07-25,46000,46450,44350,46000,85668,311128.0,6763655.0
2019-07-26,44200,46900,44200,45600,50869,308423.0,6763655.0
2019-07-29,45600,45600,42600,44650,64731,301997.0,6763655.0
2019-07-30,44650,46500,43300,45500,59474,307746.0,6763655.0
2019-07-31,45000,47500,44100,46750,44249,316201.0,6763655.0
2019-08-01,45900,46600,45050,45300,35336,306394.0,6763655.0
2019-08-02,43700,46000,43600,45250,70160,306055.0,6763655.0
2019-08-05,44250,45300,40350,41450,78894,280353.0,6763655.0
2019-08-06,39400,40700,37200,39250,141625,265473.0,6763655.0
2019-08-07,39250,43100,38550,39150,102630,264797.0,6763655.0
2019-08-08,39250,41550,39200,41550,59661,281030.0,6763655.0
2019-08-09,41250,42300,40300,40500,35971,273928.0,6763655.0
2019-08-12,40100,42600,39900,41900,52951,283397.0,6763655.0
2019-08-13,41650,44350,41650,42900,99820,290161.0,6763655.0
2019-08-14,43750,49350,43400,48000,214060,324655.0,6763655.0
2019-08-16,48050,49300,45600,47750,103913,322965.0,6763655.0
2019-08-19,47850,49800,46450,47600,62834,321950.0,6763655.0
2019-08-20,47600,47700,46350,47300,51821,319921.0,6763655.0
2019-08-21,47050,47050,44800,45600,67742,308423.0,6763655.0
2019-08-22,45600,45650,42150,42700,126396,288808.0,6763655.0
2019-08-23,42050,43200,41250,42550,64557,287794.0,6763655.0
2019-08-26,41400,41700,38500,39000,123591,263783.0,6763655.0
2019-08-27,39500,42350,39500,40450,76502,273590.0,6763655.0
2019-08-28,40450,42200,40350,40600,50048,274604.0,6763655.0
2019-08-29,40700,41800,39900,39950,33375,270208.0,6763655.0
2019-08-30,40050,41400,40050,41100,35567,277986.0,6763655.0
2019-09-02,41550,42400,40750,41400,27919,280015.0,6763655.0
2019-09-03,41000,43950,41000,43400,80385,293543.0,6763655.0
2019-09-04,43500,46450,43000,46000,134347,311128.0,6763655.0
2019-09-05,46300,46750,45500,46150,60334,312143.0,6763655.0
2019-09-06,46100,46400,44550,45850,32907,310114.0,6763655.0
2019-09-09,45100,46150,44500,45650,38076,308761.0,6763655.0
2019-09-10,46300,46300,44550,45400,29412,307070.0,6763655.0
2019-09-11,44900,46450,44550,46000,48071,311128.0,6763655.0
2019-09-16,46300,47850,45100,46550,55148,314848.0,6763655.0
2019-09-17,47100,47100,45950,46600,36582,315186.0,6763655.0
2019-09-18,46600,49200,46100,49200,202828,332772.0,6763655.0
2019-09-19,49900,51700,48000,49150,154384,332434.0,6763655.0
2019-09-20,49850,51300,48900,49850,108065,337168.0,6763655.0
2019-09-23,50000,50000,49100,49700,38087,336154.0,6763655.0
2019-09-24,49700,49950,48700,49700,34584,336154.0,6763655.0
2019-09-25,49700,51300,48750,50300,67533,340212.0,6763655.0
2019-09-26,50200,53300,50200,52100,129076,352386.0,6763655.0
2019-09-27,51800,55000,51000,52600,104610,355768.0,6763655.0
2019-09-30,52600,53800,50600,51200,53462,346299.0,6763655.0
2019-10-01,51200,52200,49900,51300,48606,346976.0,6763655.0
2019-10-02,50600,51900,49900,49950,38024,337845.0,6763655.0
2019-10-04,49500,50000,47600,47600,82389,321950.0,6763655.0
2019-10-07,48250,48900,47000,47200,36640,319245.0,6763655.0
