원익IPS(240810),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-06-14,23200,23600,22750,23550,301217,971989.0,41273436.0
2016-06-15,23750,24650,23600,24000,726199,990562.0,41273436.0
2016-06-16,24250,24350,23050,23450,238544,967862.0,41273436.0
2016-06-17,23800,23900,22500,22550,461013,930716.0,41273436.0
2016-06-20,22950,23100,22450,22600,276870,932780.0,41273436.0
2016-06-21,22850,23000,22500,22900,189942,945162.0,41273436.0
2016-06-22,22450,23000,22100,22600,350083,932780.0,41273436.0
2016-06-23,22850,23150,22250,22550,280974,930716.0,41273436.0
2016-06-24,22750,22950,21050,22300,497001,920398.0,41273436.0
2016-06-27,21700,22100,21650,22000,296732,908016.0,41273436.0
2016-06-28,21700,22350,21450,22300,294151,920398.0,41273436.0
2016-06-29,22600,23200,22350,22850,339833,943098.0,41273436.0
2016-06-30,23000,23150,22750,22850,284481,943098.0,41273436.0
2016-07-01,22850,23650,22700,22900,333336,945162.0,41273436.0
2016-07-04,23100,23300,22750,23300,288078,961671.0,41273436.0
2016-07-05,23300,23450,22550,22650,184234,934843.0,41273436.0
2016-07-06,22800,23300,22150,22450,296861,926589.0,41273436.0
2016-07-07,22700,22950,22300,22400,184446,924525.0,41273436.0
2016-07-08,22450,22550,21950,22350,219315,922461.0,41273436.0
2016-07-11,22450,23900,22450,23900,594821,986435.0,41273436.0
2016-07-12,23950,23950,23200,23650,421925,976117.0,41273436.0
2016-07-13,23700,24000,23350,23600,226383,974053.0,41273436.0
2016-07-14,23600,23750,23150,23300,254118,961671.0,41273436.0
2016-07-15,23400,23500,22600,22600,312231,932780.0,41273436.0
2016-07-18,22650,23000,22250,22500,242251,928652.0,41273436.0
2016-07-19,22300,22600,22050,22150,254937,914207.0,41273436.0
2016-07-20,22050,22500,21700,22350,278074,922461.0,41273436.0
2016-07-21,22550,24950,22550,24150,1602219,996753.0,41273436.0
2016-07-22,24150,24450,23550,23750,412753,980244.0,41273436.0
2016-07-25,24200,25250,24000,25100,889618,1035963.0,41273436.0
2016-07-26,25150,25200,24300,24450,459319,1009136.0,41273436.0
2016-07-27,24600,25400,24200,24550,406032,1013263.0,41273436.0
2016-07-28,24650,24650,23700,24200,362027,998817.0,41273436.0
2016-07-29,24000,24850,23750,24850,339079,1025645.0,41273436.0
2016-08-01,25300,25400,24700,25000,289146,1031836.0,41273436.0
2016-08-02,25000,26200,24850,26000,981461,1073109.0,41273436.0
2016-08-03,25750,26350,25600,25850,359170,1066918.0,41273436.0
2016-08-04,26100,26450,25050,25350,436433,1046282.0,41273436.0
2016-08-05,25400,25900,25150,25500,228034,1052473.0,41273436.0
2016-08-08,25700,25900,24400,24450,351643,1009136.0,41273436.0
2016-08-09,24500,24550,23550,23800,600728,982308.0,41273436.0
2016-08-10,23800,24150,23150,23850,481994,984371.0,41273436.0
2016-08-11,23700,23950,23450,23600,234004,974053.0,41273436.0
2016-08-12,23600,23900,23300,23500,185267,969926.0,41273436.0
2016-08-16,23350,23500,22500,22850,382397,943098.0,41273436.0
2016-08-17,22750,24250,22650,24050,690453,992626.0,41273436.0
2016-08-18,24250,24550,23750,24500,375226,1011199.0,41273436.0
2016-08-19,24500,24900,24300,24300,210521,1002944.0,41273436.0
2016-08-22,24350,25550,24250,25300,440267,1044218.0,41273436.0
2016-08-23,25450,25500,24900,25250,192448,1042154.0,41273436.0
2016-08-24,25400,25900,25300,25600,424411,1056600.0,41273436.0
2016-08-25,25600,25600,24750,25000,379993,1031836.0,41273436.0
2016-08-26,24850,24850,24250,24550,262369,1013263.0,41273436.0
2016-08-29,24450,24450,23100,23700,607102,978180.0,41273436.0
2016-08-30,23800,24550,23800,24000,274949,990562.0,41273436.0
2016-08-31,23650,23700,22850,23300,465312,961671.0,41273436.0
2016-09-01,22900,23650,22850,23500,285175,969926.0,41273436.0
2016-09-02,23500,23550,22750,23000,381725,949289.0,41273436.0
2016-09-05,23100,23750,22850,23650,311688,976117.0,41273436.0
2016-09-06,23800,24000,23500,23900,313367,986435.0,41273436.0
2016-09-07,23700,23900,22700,23000,713506,949289.0,41273436.0
2016-09-08,22800,23200,22450,22550,534611,930716.0,41273436.0
2016-09-09,22500,22800,22100,22600,262023,932780.0,41273436.0
2016-09-12,23050,24100,22900,23050,1166089,951353.0,41273436.0
2016-09-13,23600,23950,22450,23150,395360,955480.0,41273436.0
2016-09-19,22950,23650,22700,23350,279326,963735.0,41273436.0
2016-09-20,23350,23800,23150,23700,223867,978180.0,41273436.0
2016-09-21,23850,24000,23500,23900,187960,986435.0,41273436.0
2016-09-22,24500,25000,24000,24700,551139,1019454.0,41273436.0
2016-09-23,24950,25150,24550,25000,314963,1031836.0,41273436.0
2016-09-26,25200,25200,24550,24650,181003,1017390.0,41273436.0
2016-09-27,24300,24950,24050,24900,213380,1027709.0,41273436.0
2016-09-28,25000,25450,24400,24550,412808,1013263.0,41273436.0
2016-09-29,24800,24900,24450,24800,194647,1023581.0,41273436.0
2016-09-30,24550,25500,24500,25500,458141,1052473.0,41273436.0
2016-10-04,25750,25750,25150,25450,247749,1050409.0,41273436.0
2016-10-05,25350,25500,24600,24900,252152,1027709.0,41273436.0
2016-10-06,24900,25000,24250,24800,220853,1023581.0,41273436.0
2016-10-07,24650,24700,24350,24650,149276,1017390.0,41273436.0
2016-10-10,24500,24600,23650,23650,343228,976117.0,41273436.0
2016-10-11,23400,24100,23100,23400,196047,965798.0,41273436.0
2016-10-12,23100,23700,23100,23300,165295,961671.0,41273436.0
2016-10-13,23450,23550,22800,22850,159884,943098.0,41273436.0
2016-10-14,23050,23650,22800,23600,200255,974053.0,41273436.0
2016-10-17,23600,23750,22650,22900,281646,945162.0,41273436.0
2016-10-18,22800,23150,22650,22950,179059,947225.0,41273436.0
2016-10-19,22950,23000,22300,22350,314068,922461.0,41273436.0
2016-10-20,22400,22850,22400,22600,127200,932780.0,41273436.0
2016-10-21,22500,22850,22150,22500,185004,928652.0,41273436.0
2016-10-24,22400,22650,21850,22000,218978,908016.0,41273436.0
2016-10-25,22000,22050,20950,21000,454299,866742.0,41273436.0
2016-10-26,21000,21450,20100,21000,526610,866742.0,41273436.0
2016-10-27,21200,23300,21200,22750,601598,938971.0,41273436.0
2016-10-28,22800,23800,22650,23200,672649,957544.0,41273436.0
2016-10-31,23450,23600,23000,23300,317179,961671.0,41273436.0
2016-11-01,23200,23700,22900,23700,290851,978180.0,41273436.0
2016-11-02,23500,23600,23250,23400,258843,965798.0,41273436.0
2016-11-03,23400,23900,23100,23600,212502,974053.0,41273436.0
2016-11-04,23350,23900,23350,23550,172043,971989.0,41273436.0
2016-11-07,23850,23850,22100,23800,799083,982308.0,41273436.0
2016-11-08,24050,24100,23250,23400,356423,965798.0,41273436.0
2016-11-09,23500,23650,22200,23150,591786,955480.0,41273436.0
2016-11-10,23300,23700,22900,23400,270258,965798.0,41273436.0
2016-11-11,22900,23100,22350,22350,327106,922461.0,41273436.0
2016-11-14,22350,22900,22100,22600,227356,932780.0,41273436.0
2016-11-15,22250,22800,22200,22700,142113,936907.0,41273436.0
2016-11-16,22900,23350,22550,22950,376556,947225.0,41273436.0
2016-11-17,23200,23250,22950,23050,128952,951353.0,41273436.0
2016-11-18,23250,23350,22850,23050,173518,951353.0,41273436.0
2016-11-21,23150,23200,22200,23050,132257,951353.0,41273436.0
2016-11-22,23200,23250,22600,22600,117913,932780.0,41273436.0
2016-11-23,22700,22700,21900,21900,247053,903888.0,41273436.0
2016-11-24,21600,22300,21300,21950,294247,905952.0,41273436.0
2016-11-25,21500,22250,21500,22100,131821,912143.0,41273436.0
2016-11-28,22300,22300,21500,21600,168076,891506.0,41273436.0
2016-11-29,21600,21800,21250,21350,219141,881188.0,41273436.0
2016-11-30,21350,21600,21250,21250,152932,877061.0,41273436.0
2016-12-01,21300,21400,20600,21250,318317,877061.0,41273436.0
2016-12-02,20900,21600,20800,21150,178561,872933.0,41273436.0
2016-12-05,21050,21250,20550,20700,226077,854360.0,41273436.0
2016-12-06,20800,21200,20650,20800,228754,858487.0,41273436.0
2016-12-07,20850,21100,20650,20700,190893,854360.0,41273436.0
2016-12-08,21050,22100,20900,21750,572740,897697.0,41273436.0
2016-12-09,21750,22250,21500,22000,249643,908016.0,41273436.0
2016-12-12,22050,22450,22050,22300,272500,920398.0,41273436.0
2016-12-13,22400,23900,22350,23700,543017,978180.0,41273436.0
2016-12-14,23950,24400,23700,24350,446233,1005008.0,41273436.0
2016-12-15,24100,24900,24050,24100,380566,994690.0,41273436.0
2016-12-16,24350,24950,24050,24950,317785,1029772.0,41273436.0
2016-12-19,24850,24950,24350,24750,153029,1021518.0,41273436.0
2016-12-20,24750,24800,24150,24150,276988,996753.0,41273436.0
2016-12-21,24350,25200,24300,25000,418559,1031836.0,41273436.0
2016-12-22,25100,25850,24850,25600,474063,1056600.0,41273436.0
2016-12-23,25600,25800,24950,25500,246278,1052473.0,41273436.0
2016-12-26,25650,25700,24800,24850,228600,1025645.0,41273436.0
2016-12-27,24950,25600,24850,25250,331995,1042154.0,41273436.0
2016-12-28,25400,25600,25100,25450,170750,1050409.0,41273436.0
2016-12-29,25250,26350,25000,26200,403983,1081364.0,41273436.0
2017-01-02,26300,26450,25800,26000,245141,1073109.0,41273436.0
2017-01-03,26000,26250,25450,26250,345420,1083428.0,41273436.0
2017-01-04,26250,26350,25100,25450,414977,1050409.0,41273436.0
2017-01-05,25400,25400,24650,24750,372218,1021518.0,41273436.0
2017-01-06,25000,25350,24700,25000,256679,1031836.0,41273436.0
2017-01-09,25250,25700,24950,25600,198917,1056600.0,41273436.0
2017-01-10,25550,26150,25250,25800,366485,1064855.0,41273436.0
2017-01-11,26000,26250,25700,26200,266408,1081364.0,41273436.0
2017-01-12,26350,26350,25150,25400,281143,1048345.0,41273436.0
2017-01-13,25200,25500,24700,25450,320102,1050409.0,41273436.0
2017-01-16,25300,25350,23850,23950,542849,988499.0,41273436.0
2017-01-17,23850,24450,23850,24100,260935,994690.0,41273436.0
2017-01-18,24050,24550,23750,24200,286603,998817.0,41273436.0
2017-01-19,24550,24550,23650,23850,219003,984371.0,41273436.0
2017-01-20,23800,23950,22900,23050,469246,951353.0,41273436.0
2017-01-23,23050,23650,22950,23250,246330,959607.0,41273436.0
2017-01-24,23200,23400,22600,23000,327384,949289.0,41273436.0
2017-01-25,23000,23150,22450,22850,234685,943098.0,41273436.0
2017-01-26,23050,23950,22950,23950,416759,988499.0,41273436.0
2017-01-31,23950,24000,23400,23800,258556,982308.0,41273436.0
2017-02-01,24000,24100,23500,23650,326394,976117.0,41273436.0
2017-02-02,23700,23700,23050,23050,220566,951353.0,41273436.0
2017-02-03,23300,23450,22500,23350,299164,963735.0,41273436.0
2017-02-06,23300,23300,22700,23050,268882,951353.0,41273436.0
2017-02-07,22900,23200,22100,22350,344843,922461.0,41273436.0
2017-02-08,22350,22500,22000,22100,342531,912143.0,41273436.0
2017-02-09,22250,22600,22150,22350,196336,922461.0,41273436.0
2017-02-10,22450,22750,22400,22700,172132,936907.0,41273436.0
2017-02-13,22700,23400,22350,23400,261879,965798.0,41273436.0
2017-02-14,23200,23400,22900,22950,168856,947225.0,41273436.0
2017-02-15,22900,23200,22550,22600,167889,932780.0,41273436.0
2017-02-16,22600,23250,22600,22850,163515,943098.0,41273436.0
2017-02-17,22700,23200,22650,22900,98540,945162.0,41273436.0
2017-02-20,22850,23800,22850,23800,258378,982308.0,41273436.0
2017-02-21,23900,23900,23300,23750,142612,980244.0,41273436.0
2017-02-22,23800,24050,23500,23900,177129,986435.0,41273436.0
2017-02-23,23850,23850,22700,22750,293568,938971.0,41273436.0
2017-02-24,22750,22950,22200,22500,271002,928652.0,41273436.0
2017-02-27,22450,22650,22050,22500,145219,928652.0,41273436.0
2017-02-28,22600,22650,22250,22400,88587,924525.0,41273436.0
2017-03-02,22550,22600,22100,22200,159793,916270.0,41273436.0
2017-03-03,22250,22650,22250,22600,283709,932780.0,41273436.0
2017-03-06,22450,23400,22350,23400,260589,965798.0,41273436.0
2017-03-07,23450,23600,23050,23550,159709,971989.0,41273436.0
2017-03-08,23600,23650,23350,23500,102085,969926.0,41273436.0
2017-03-09,23650,24300,23500,24000,279883,990562.0,41273436.0
2017-03-10,24000,24200,23500,24000,153442,990562.0,41273436.0
2017-03-13,24000,24100,23850,24050,121127,992626.0,41273436.0
2017-03-14,24250,24900,24250,24750,405248,1021518.0,41273436.0
2017-03-15,24900,25700,24800,25050,630512,1033900.0,41273436.0
2017-03-16,25150,25500,24650,25050,272180,1033900.0,41273436.0
2017-03-17,25100,25450,24700,25450,254255,1050409.0,41273436.0
2017-03-20,25450,25500,25000,25100,70758,1035963.0,41273436.0
2017-03-21,25100,25250,24650,25200,192450,1040091.0,41273436.0
2017-03-22,24950,25050,24100,24300,278488,1002944.0,41273436.0
2017-03-23,24400,24950,24150,24400,151333,1007072.0,41273436.0
2017-03-24,24250,24850,24250,24750,168111,1021518.0,41273436.0
2017-03-27,24600,24900,24250,24500,75003,1011199.0,41273436.0
2017-03-28,24550,24650,24250,24600,105616,1015327.0,41273436.0
2017-03-29,24550,25600,24550,25400,304373,1048345.0,41273436.0
2017-03-30,25400,25400,24850,25200,121944,1040091.0,41273436.0
2017-03-31,25200,25250,24750,24900,92404,1027709.0,41273436.0
2017-04-03,25000,25600,24750,25500,167411,1052473.0,41273436.0
2017-04-04,25700,25950,25350,25600,230777,1056600.0,41273436.0
2017-04-05,25700,25850,25450,25750,140826,1062791.0,41273436.0
2017-04-06,25750,25750,25050,25300,149430,1044218.0,41273436.0
2017-04-07,25450,26150,25250,25900,280542,1068982.0,41273436.0
2017-04-10,26050,26200,25300,25300,201292,1044218.0,41273436.0
2017-04-11,25400,25600,24700,25100,180868,1035963.0,41273436.0
2017-04-12,25100,25300,24950,25200,64915,1040091.0,41273436.0
2017-04-13,25450,25600,25350,25600,107087,1056600.0,41273436.0
2017-04-14,25400,25700,25250,25400,89423,1048345.0,41273436.0
2017-04-17,25600,26400,25600,26200,230843,1081364.0,41273436.0
2017-04-18,26250,26900,26050,26600,325483,1097873.0,41273436.0
2017-04-19,26500,27000,26200,26200,365816,1081364.0,41273436.0
2017-04-20,26450,26800,25750,26400,288872,1089619.0,41273436.0
2017-04-21,26200,26300,25800,26050,152042,1075173.0,41273436.0
2017-04-24,26050,26350,25450,25700,155996,1060727.0,41273436.0
2017-04-25,25600,26100,25600,26000,111969,1073109.0,41273436.0
2017-04-26,26000,26050,25800,25900,135360,1068982.0,41273436.0
2017-04-27,25850,26050,25450,25900,230964,1068982.0,41273436.0
2017-04-28,25750,26200,25650,25900,324076,1068982.0,41273436.0
2017-05-02,26050,27050,26050,26750,343858,1104064.0,41273436.0
2017-05-04,26850,27100,26650,26900,201559,1110255.0,41273436.0
2017-05-08,26900,27300,26500,27250,267341,1124701.0,41273436.0
2017-05-10,27400,27750,27050,27050,231723,1116446.0,41273436.0
2017-05-11,27100,28300,27050,27850,446958,1149465.0,41273436.0
2017-05-12,28200,28300,27550,27850,252928,1149465.0,41273436.0
2017-05-15,27900,29400,27750,29200,498680,1205184.0,41273436.0
2017-05-16,29550,29650,28250,28500,434431,1176293.0,41273436.0
2017-05-17,28750,28850,28000,28450,251120,1174229.0,41273436.0
2017-05-18,27700,28250,27600,28200,286571,1163911.0,41273436.0
2017-05-19,28400,28600,28100,28200,153147,1163911.0,41273436.0
2017-05-22,28150,29500,28150,29100,259365,1201057.0,41273436.0
2017-05-23,29100,29300,28750,28800,146151,1188675.0,41273436.0
2017-05-24,28900,29300,28800,28950,211779,1194866.0,41273436.0
2017-05-25,28950,29000,28100,28300,417645,1168038.0,41273436.0
2017-05-26,28500,28800,28250,28300,261690,1168038.0,41273436.0
2017-05-29,28700,29500,28550,28900,449426,1192802.0,41273436.0
2017-05-30,29250,29400,28700,29050,138550,1198993.0,41273436.0
2017-05-31,28800,29400,28650,29300,222370,1209312.0,41273436.0
2017-06-01,29400,30750,29050,30750,568085,1269158.0,41273436.0
2017-06-02,31000,31250,30250,31250,330844,1289795.0,41273436.0
2017-06-05,31550,31600,30900,31550,213853,1302177.0,41273436.0
2017-06-07,31500,31500,30550,31250,406330,1289795.0,41273436.0
2017-06-08,31350,31700,31000,31400,230360,1295986.0,41273436.0
2017-06-09,31400,31500,30600,30850,236293,1273286.0,41273436.0
2017-06-12,30350,30350,29000,29000,560746,1196930.0,41273436.0
2017-06-13,28800,29600,28750,29300,362507,1209312.0,41273436.0
2017-06-14,29600,30950,29600,30100,499100,1242330.0,41273436.0
2017-06-15,30200,30200,29150,29550,217966,1219630.0,41273436.0
2017-06-16,29650,30050,29600,29700,160211,1225821.0,41273436.0
2017-06-19,29700,30300,29300,30300,200918,1250585.0,41273436.0
2017-06-20,30550,30550,29500,29700,181102,1225821.0,41273436.0
2017-06-21,29600,29600,28800,29500,174607,1217566.0,41273436.0
2017-06-22,29500,29950,29050,29300,184158,1209312.0,41273436.0
2017-06-23,29300,30350,29250,30200,317914,1246458.0,41273436.0
2017-06-26,30250,31250,30000,30900,361461,1275349.0,41273436.0
2017-06-27,31000,31550,30350,31100,306174,1283604.0,41273436.0
2017-06-28,30750,31250,30300,30400,259805,1254712.0,41273436.0
2017-06-29,30750,30800,29300,29750,343941,1227885.0,41273436.0
2017-06-30,29500,29650,29150,29650,231207,1223757.0,41273436.0
2017-07-03,29950,29950,28300,28800,325171,1188675.0,41273436.0
2017-07-04,28800,29400,27750,28000,506161,1155656.0,41273436.0
2017-07-05,28000,29100,27800,29100,271357,1201057.0,41273436.0
2017-07-06,29450,29450,28750,29250,191322,1207248.0,41273436.0
2017-07-07,29350,30400,28800,30400,361941,1254712.0,41273436.0
2017-07-10,30700,30700,29900,29950,190897,1236139.0,41273436.0
2017-07-11,30500,30650,30000,30200,135978,1246458.0,41273436.0
2017-07-12,30350,30600,29700,29750,194856,1227885.0,41273436.0
2017-07-13,29950,31050,29950,30750,373077,1269158.0,41273436.0
2017-07-14,31000,32550,30900,32550,919791,1343450.0,41273436.0
2017-07-17,33100,33100,32300,32750,353826,1351705.0,41273436.0
2017-07-18,32700,33900,32250,33500,498915,1382660.0,41273436.0
2017-07-19,33800,35100,33600,35000,529077,1444570.0,41273436.0
2017-07-20,35350,35700,34100,35650,404151,1471398.0,41273436.0
2017-07-21,35600,35750,34650,35600,254584,1469334.0,41273436.0
2017-07-24,36000,36200,35200,35400,211202,1461080.0,41273436.0
2017-07-25,35400,35650,34300,34600,266567,1428061.0,41273436.0
2017-07-26,34650,34700,33150,34100,427730,1407424.0,41273436.0
2017-07-27,33900,34400,33550,34150,256542,1409488.0,41273436.0
2017-07-28,33650,34050,32150,32400,387577,1337259.0,41273436.0
2017-07-31,31800,33200,31350,32700,285867,1349641.0,41273436.0
2017-08-01,32500,33200,32000,32000,149404,1320750.0,41273436.0
2017-08-02,32350,33750,32350,33200,296950,1370278.0,41273436.0
2017-08-03,33100,33100,30900,31100,456904,1283604.0,41273436.0
2017-08-04,31000,32050,30400,30900,548727,1275349.0,41273436.0
2017-08-07,31300,31550,30750,30850,233665,1273286.0,41273436.0
2017-08-08,31300,32300,31250,32200,326136,1329005.0,41273436.0
2017-08-09,31700,31800,30950,30950,299869,1277413.0,41273436.0
2017-08-10,30700,31500,30100,30500,264980,1258840.0,41273436.0
2017-08-11,29650,30550,29400,29550,354422,1219630.0,41273436.0
2017-08-14,29950,30100,29600,29800,186941,1229948.0,41273436.0
2017-08-16,30550,30650,30000,30650,241145,1265031.0,41273436.0
2017-08-17,30700,31450,30350,31150,175495,1285668.0,41273436.0
2017-08-18,30600,31600,30200,31450,281902,1298050.0,41273436.0
2017-08-21,31400,31500,30950,31050,178883,1281540.0,41273436.0
2017-08-22,31300,31400,30600,31300,162074,1291859.0,41273436.0
2017-08-23,31550,32050,31400,31950,249330,1318686.0,41273436.0
2017-08-24,32050,32050,30650,30650,404930,1265031.0,41273436.0
2017-08-25,30700,31000,30300,30500,212999,1258840.0,41273436.0
2017-08-28,30500,30900,29950,30150,162845,1244394.0,41273436.0
2017-08-29,29950,30650,29950,30300,244850,1250585.0,41273436.0
2017-08-30,30600,30600,30300,30550,175743,1260903.0,41273436.0
2017-08-31,30800,30800,30200,30400,156719,1254712.0,41273436.0
2017-09-01,30650,30950,30400,30600,144925,1262967.0,41273436.0
2017-09-04,29350,30000,29350,29500,204387,1217566.0,41273436.0
2017-09-05,29500,29900,28850,29750,215980,1227885.0,41273436.0
2017-09-06,29750,30150,29300,29700,220801,1225821.0,41273436.0
2017-09-07,29700,30900,29650,30500,307208,1258840.0,41273436.0
2017-09-08,30550,32600,30550,32600,978388,1345514.0,41273436.0
2017-09-11,32550,33400,32350,33050,485104,1364087.0,41273436.0
2017-09-12,33200,33900,32650,33350,392801,1376469.0,41273436.0
2017-09-13,33500,34950,33450,34350,538156,1417743.0,41273436.0
2017-09-14,34350,34600,33800,34400,337005,1419806.0,41273436.0
2017-09-15,34000,34650,33850,34550,185444,1425997.0,41273436.0
2017-09-18,34750,34800,34400,34800,221830,1436316.0,41273436.0
2017-09-19,34800,34900,33700,34400,319850,1419806.0,41273436.0
2017-09-20,34100,34800,34000,34350,270358,1417743.0,41273436.0
2017-09-21,34550,34550,33100,33900,264132,1399169.0,41273436.0
2017-09-22,33700,34700,33550,33700,255739,1390915.0,41273436.0
2017-09-25,33200,34400,33200,33950,198081,1401233.0,41273436.0
2017-09-26,33650,34250,33200,33400,182671,1378533.0,41273436.0
2017-09-27,33800,35700,33600,34850,567328,1438379.0,41273436.0
2017-09-28,35400,35400,34600,34750,234086,1434252.0,41273436.0
2017-09-29,34950,35250,33950,34100,187693,1407424.0,41273436.0
2017-10-10,34400,35500,34200,35400,261542,1461080.0,41273436.0
2017-10-11,35750,37000,35600,36900,437741,1522990.0,41273436.0
2017-10-12,36900,36950,36200,36450,200227,1504417.0,41273436.0
2017-10-13,36700,36700,34350,34950,426754,1442507.0,41273436.0
2017-10-16,34550,34600,31400,31500,794029,1300113.0,41273436.0
2017-10-17,32200,33850,32100,33050,628472,1364087.0,41273436.0
2017-10-18,33250,33300,32500,32900,157890,1357896.0,41273436.0
2017-10-19,32650,35000,32650,34600,316095,1428061.0,41273436.0
2017-10-20,34900,35900,34800,35300,199974,1456952.0,41273436.0
2017-10-23,35300,35300,34400,34850,159561,1438379.0,41273436.0
2017-10-24,34900,35550,34600,34900,128935,1440443.0,41273436.0
2017-10-25,35000,35500,33950,35350,207751,1459016.0,41273436.0
2017-10-26,35650,36350,33750,33850,273193,1397106.0,41273436.0
2017-10-27,33900,34450,33850,34350,164735,1417743.0,41273436.0
2017-10-30,34500,35500,34500,35250,263509,1454889.0,41273436.0
2017-10-31,35500,36350,35350,36250,256189,1496162.0,41273436.0
2017-11-01,36750,36750,35350,36000,257877,1485844.0,41273436.0
2017-11-02,35800,37250,35650,36750,289768,1516799.0,41273436.0
2017-11-03,36750,37300,36150,37250,191463,1537435.0,41273436.0
2017-11-06,37300,38050,36350,36500,395872,1506480.0,41273436.0
2017-11-07,36850,36900,35750,36850,245286,1520926.0,41273436.0
2017-11-08,37200,37200,36450,36900,92770,1522990.0,41273436.0
2017-11-09,37000,37100,36000,36200,149110,1494098.0,41273436.0
2017-11-10,36050,36900,36050,36750,313652,1516799.0,41273436.0
2017-11-13,37600,37600,36750,37500,299723,1547754.0,41273436.0
2017-11-14,37900,39850,37900,38900,908285,1605537.0,41273436.0
2017-11-15,39450,40400,38650,40150,468987,1657128.0,41273436.0
2017-11-16,39750,40000,38550,39300,478629,1622046.0,41273436.0
2017-11-17,38850,39000,37500,38100,474557,1572518.0,41273436.0
2017-11-20,38100,38450,37250,38100,216772,1572518.0,41273436.0
2017-11-21,38250,39300,37450,38350,313941,1582836.0,41273436.0
2017-11-22,38500,39300,38050,39050,293851,1611728.0,41273436.0
2017-11-23,38950,39150,38200,38700,210515,1597282.0,41273436.0
2017-11-24,38850,38950,38000,38750,203940,1599346.0,41273436.0
2017-11-27,39000,39250,37350,37600,265769,1551881.0,41273436.0
2017-11-28,37500,37600,35950,36200,415638,1494098.0,41273436.0
2017-11-29,36300,37250,35950,35950,335322,1483780.0,41273436.0
2017-11-30,35500,35500,34300,34600,417563,1428061.0,41273436.0
2017-12-01,34600,35750,34400,35050,276665,1446634.0,41273436.0
2017-12-04,35300,35400,34000,35200,200287,1452825.0,41273436.0
2017-12-05,34800,35800,34300,35250,162914,1454889.0,41273436.0
2017-12-06,34900,35600,33700,33700,254040,1390915.0,41273436.0
2017-12-07,34400,34600,33100,34200,304324,1411552.0,41273436.0
2017-12-08,34050,34600,33800,34050,110814,1405360.0,41273436.0
2017-12-11,34300,35400,33550,35400,223050,1461080.0,41273436.0
2017-12-12,35600,35650,34350,34350,143675,1417743.0,41273436.0
2017-12-13,34350,35250,34250,34700,160302,1432188.0,41273436.0
2017-12-14,34950,35500,34200,35500,312951,1465207.0,41273436.0
2017-12-15,35550,35550,33850,34500,329296,1423934.0,41273436.0
2017-12-18,34350,34450,32500,32500,324200,1341387.0,41273436.0
2017-12-19,32900,34000,32900,33550,353495,1384724.0,41273436.0
2017-12-20,33700,33950,33500,33800,222371,1395042.0,41273436.0
2017-12-21,34100,34100,31700,32000,327345,1320750.0,41273436.0
2017-12-22,32100,32650,31100,32650,318696,1347578.0,41273436.0
2017-12-26,32500,33650,32450,33550,229880,1384724.0,41273436.0
2017-12-27,33600,33700,32500,33700,144291,1390915.0,41273436.0
2017-12-28,33700,33700,32950,33400,120267,1378533.0,41273436.0
2018-01-02,33400,33400,32350,32550,224444,1343450.0,41273436.0
2018-01-03,32900,33850,32800,33400,268856,1378533.0,41273436.0
2018-01-04,33700,33900,32500,32600,221529,1345514.0,41273436.0
2018-01-05,32700,33200,32600,33000,220897,1362023.0,41273436.0
