현대해상(001450),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-03-31,2120,2155,2060,2070,950900,185058.0,8940000.0
1999-04-01,2070,2250,2050,2200,2192100,196680.0,8940000.0
1999-04-02,2200,2460,2200,2370,4034700,211878.0,8940000.0
1999-04-06,2500,2640,2450,2600,3067500,232440.0,8940000.0
1999-04-07,2690,2730,2550,2550,2720900,227970.0,8940000.0
1999-04-08,2500,2620,2450,2550,1745000,227970.0,8940000.0
1999-04-09,2590,2620,2465,2600,1629600,232440.0,8940000.0
1999-04-12,2580,2700,2580,2670,2162700,238698.0,8940000.0
1999-04-13,2620,2950,2400,2850,3071500,254790.0,8940000.0
1999-04-14,2850,2900,2800,2850,1651100,254790.0,8940000.0
1999-04-15,2860,3160,2850,3100,3235100,277140.0,8940000.0
1999-04-16,3150,3160,2950,3100,2734300,277140.0,8940000.0
1999-04-19,3100,3300,3010,3240,1590200,289656.0,8940000.0
1999-04-20,3160,3320,3150,3160,1241900,282504.0,8940000.0
1999-04-21,3140,3200,3005,3060,1109300,273564.0,8940000.0
1999-04-22,3080,3150,2910,2990,916000,267306.0,8940000.0
1999-04-23,3000,3080,2950,3000,873500,268200.0,8940000.0
1999-04-26,2990,3270,2980,3210,980800,286974.0,8940000.0
1999-04-27,3270,3500,3170,3440,1604100,307536.0,8940000.0
1999-04-28,3500,3880,3445,3620,2170400,323628.0,8940000.0
1999-04-29,3590,3690,3310,3370,1045900,301278.0,8940000.0
1999-04-30,3410,3800,3210,3540,1738000,316476.0,8940000.0
1999-05-03,3540,3610,3420,3450,1472200,308430.0,8940000.0
1999-05-04,3450,3650,3400,3600,1212000,321840.0,8940000.0
1999-05-06,3520,4090,3520,3950,2963100,353130.0,8940000.0
1999-05-07,4050,4250,3870,4010,3621600,358494.0,8940000.0
1999-05-10,4000,4600,3990,4350,3620800,388890.0,8940000.0
1999-05-11,4570,4570,3900,3900,1873300,348660.0,8940000.0
1999-05-12,3920,4000,3650,3810,2175400,340614.0,8940000.0
1999-05-13,3810,4100,3650,3710,2753800,331674.0,8940000.0
1999-05-14,3710,3760,3400,3440,1383200,307536.0,8940000.0
1999-05-17,3400,3450,3200,3200,1232000,286080.0,8940000.0
1999-05-18,3100,3380,3100,3380,1650700,302172.0,8940000.0
1999-05-19,3480,3590,3400,3550,1673000,317370.0,8940000.0
1999-05-20,3550,3550,3150,3350,728600,299490.0,8940000.0
1999-05-21,3360,3380,3190,3220,532500,287868.0,8940000.0
1999-05-24,3110,3300,3100,3110,422900,278034.0,8940000.0
1999-05-25,3000,3260,3000,3150,716000,281610.0,8940000.0
1999-05-26,3200,3320,3200,3250,658900,290550.0,8940000.0
1999-05-27,3340,3370,3280,3280,783700,293232.0,8940000.0
1999-05-28,3280,3320,3160,3250,572900,290550.0,8940000.0
1999-05-31,3220,3370,3220,3290,888300,294126.0,8940000.0
1999-06-01,3280,3290,3200,3280,530400,293232.0,8940000.0
1999-06-02,3330,3450,3210,3350,1668400,299490.0,8940000.0
1999-06-03,3440,3550,3330,3330,2442900,297702.0,8940000.0
1999-06-04,3380,3690,3200,3640,3301800,325416.0,8940000.0
1999-06-07,3710,3920,3655,3920,3265300,350448.0,8940000.0
1999-06-08,3920,3920,3680,3790,2133100,338826.0,8940000.0
1999-06-09,3700,3780,3510,3510,1402600,313794.0,8940000.0
1999-06-10,3310,3650,3310,3650,1064700,326310.0,8940000.0
1999-06-11,3550,3750,3510,3580,1143000,320052.0,8940000.0
1999-06-14,3500,3570,3500,3530,407100,315582.0,8940000.0
1999-06-15,3420,3500,3300,3400,569500,303960.0,8940000.0
1999-06-16,3400,3500,3350,3400,1045100,303960.0,8940000.0
1999-06-17,3430,3650,3430,3560,921900,318264.0,8940000.0
1999-06-18,3470,3600,3450,3570,720000,319158.0,8940000.0
1999-06-21,3600,3750,3600,3700,1765100,330780.0,8940000.0
1999-06-22,3720,4100,3700,4000,3387300,357600.0,8940000.0
1999-06-23,4000,4095,3850,4050,2345600,362070.0,8940000.0
1999-06-24,3920,4150,3920,4040,1431300,361176.0,8940000.0
1999-06-25,4100,4520,4040,4250,2687300,379950.0,8940000.0
1999-06-28,4450,4450,4210,4300,2041600,384420.0,8940000.0
1999-06-29,4250,4430,4210,4300,1300400,384420.0,8940000.0
1999-06-30,4025,4350,4025,4250,1462900,379950.0,8940000.0
1999-07-01,4300,4885,4300,4690,2990100,419286.0,8940000.0
1999-07-02,4690,4970,4690,4800,2182900,429120.0,8940000.0
1999-07-05,5100,5190,4780,4950,2164800,442530.0,8940000.0
1999-07-06,4950,4950,4820,4900,1299600,438060.0,8940000.0
1999-07-07,5010,5450,5000,5250,4349500,469350.0,8940000.0
1999-07-08,5250,5400,5100,5150,1616500,460410.0,8940000.0
1999-07-09,5160,5240,5010,5170,1373600,462198.0,8940000.0
1999-07-12,5210,5250,4700,4980,1330800,445212.0,8940000.0
1999-07-13,4750,4950,4550,4780,953800,427332.0,8940000.0
1999-07-14,4780,4790,4480,4550,544900,406770.0,8940000.0
1999-07-15,4500,4650,4400,4650,525500,415710.0,8940000.0
1999-07-16,4700,5100,4600,4825,1358100,431355.0,8940000.0
1999-07-19,5000,5000,4650,4770,429300,426438.0,8940000.0
1999-07-20,4620,4890,4510,4700,605500,420180.0,8940000.0
1999-07-21,4560,4680,4410,4450,812100,397830.0,8940000.0
1999-07-22,4200,4450,4150,4300,481400,384420.0,8940000.0
1999-07-23,4200,4200,3660,3730,865700,333462.0,8940000.0
1999-07-26,3700,3700,3250,3500,1258100,312900.0,8940000.0
1999-07-27,3520,3860,3400,3840,1806300,343296.0,8940000.0
1999-07-28,3840,4040,3700,3900,2288500,348660.0,8940000.0
1999-07-29,3900,4050,3850,4040,1117500,361176.0,8940000.0
1999-07-30,4100,4100,3680,3980,559000,355812.0,8940000.0
1999-08-02,3750,3950,3700,3800,360700,339720.0,8940000.0
1999-08-03,3650,4340,3650,4145,1801800,370563.0,8940000.0
1999-08-04,4250,4250,3920,3920,958500,350448.0,8940000.0
1999-08-05,3920,3920,3700,3700,511300,330780.0,8940000.0
1999-08-06,3750,3820,3620,3700,270900,330780.0,8940000.0
1999-08-09,3360,3820,3360,3710,319200,331674.0,8940000.0
1999-08-10,3750,3790,3610,3720,320300,332568.0,8940000.0
1999-08-11,3750,3900,3700,3750,587100,335250.0,8940000.0
1999-08-12,3660,3755,3660,3690,304200,329886.0,8940000.0
1999-08-13,3680,3680,3530,3555,284300,317817.0,8940000.0
1999-08-16,3400,3630,3400,3460,803100,309324.0,8940000.0
1999-08-17,3500,3600,3350,3450,177500,308430.0,8940000.0
1999-08-18,3350,3390,3200,3390,280700,303066.0,8940000.0
1999-08-19,3410,3440,2910,3340,747500,298596.0,8940000.0
1999-08-20,3350,3355,3280,3350,397400,299490.0,8940000.0
1999-08-23,3500,3550,3300,3490,907700,312006.0,8940000.0
1999-08-24,3620,3620,3380,3450,970400,308430.0,8940000.0
1999-08-25,3500,3790,3430,3580,1092700,320052.0,8940000.0
1999-08-26,3650,3720,3520,3550,885100,317370.0,8940000.0
1999-08-27,3565,3565,3380,3380,754900,302172.0,8940000.0
1999-08-30,3390,3460,3300,3300,578900,295020.0,8940000.0
1999-08-31,3310,3350,3210,3270,337400,292338.0,8940000.0
1999-09-01,3250,3250,3085,3085,2146000,275799.0,8940000.0
1999-09-02,2980,2980,2850,2980,720700,266412.0,8940000.0
1999-09-03,2920,3050,2800,2950,1007900,263730.0,8940000.0
1999-09-06,2900,3000,2900,2985,348000,266859.0,8940000.0
1999-09-07,2915,3050,2915,3020,2066300,269988.0,8940000.0
1999-09-08,3090,3140,2930,2970,1781200,265518.0,8940000.0
1999-09-09,2910,3030,2900,2950,470100,263730.0,8940000.0
1999-09-10,2960,3200,2960,3150,3188800,281610.0,8940000.0
1999-09-13,3110,3150,2950,2990,1110100,267306.0,8940000.0
1999-09-14,3040,3070,2990,3000,816100,268200.0,8940000.0
1999-09-15,2985,3050,2880,2900,943800,259260.0,8940000.0
1999-09-16,2850,2870,2700,2800,886500,250320.0,8940000.0
1999-09-17,2710,2800,2635,2700,1456100,241380.0,8940000.0
1999-09-20,2700,2760,2680,2690,1327300,240486.0,8940000.0
1999-09-21,2700,2730,2675,2680,881000,239592.0,8940000.0
1999-09-22,2730,2730,2615,2620,1618400,234228.0,8940000.0
1999-09-27,2630,2630,2460,2470,1094900,220818.0,8940000.0
1999-09-28,2425,2550,2425,2550,1647200,227970.0,8940000.0
1999-09-29,2500,2540,2440,2490,1033200,222606.0,8940000.0
1999-09-30,2500,2530,2400,2400,1069400,214560.0,8940000.0
1999-10-01,2425,2425,2200,2290,595700,204726.0,8940000.0
1999-10-04,2310,2410,2300,2305,763300,206067.0,8940000.0
1999-10-05,2310,2370,2100,2110,957000,188634.0,8940000.0
1999-10-06,2010,2300,2010,2280,834600,203832.0,8940000.0
1999-10-07,2300,2420,2280,2400,1136600,214560.0,8940000.0
1999-10-08,2430,2470,2355,2390,569500,213666.0,8940000.0
1999-10-11,2400,2465,2360,2390,475600,213666.0,8940000.0
1999-10-12,2450,2640,2420,2640,1994000,236016.0,8940000.0
1999-10-13,2700,2840,2600,2750,2299800,245850.0,8940000.0
1999-10-14,2750,2870,2720,2850,1827100,254790.0,8940000.0
1999-10-15,2870,2950,2780,2800,2188000,250320.0,8940000.0
1999-10-18,2710,2740,2600,2600,1193800,232440.0,8940000.0
1999-10-19,2700,2700,2530,2600,1108500,232440.0,8940000.0
1999-10-20,2680,2850,2640,2775,2968900,248085.0,8940000.0
1999-10-21,2850,2865,2690,2690,1519900,240486.0,8940000.0
1999-10-22,2640,2750,2620,2690,532700,240486.0,8940000.0
1999-10-25,2690,2740,2500,2500,721000,223500.0,8940000.0
1999-10-26,2420,2500,2400,2405,536500,215007.0,8940000.0
1999-10-27,2410,2540,2390,2450,558000,219030.0,8940000.0
1999-10-28,2400,2550,2400,2510,802100,224394.0,8940000.0
1999-10-29,2500,2570,2490,2530,862800,226182.0,8940000.0
1999-11-01,2590,2690,2545,2620,3816400,234228.0,8940000.0
1999-11-02,2650,2820,2640,2800,2130600,250320.0,8940000.0
1999-11-03,2800,2800,2710,2760,1127200,246744.0,8940000.0
1999-11-04,2750,2820,2730,2780,835800,248532.0,8940000.0
1999-11-05,2850,2880,2760,2800,1551800,250320.0,8940000.0
1999-11-08,2805,2930,2750,2780,1246600,248532.0,8940000.0
1999-11-09,2780,2950,2760,2950,1715300,263730.0,8940000.0
1999-11-10,3000,3190,2950,3020,2309500,269988.0,8940000.0
1999-11-11,3050,3100,2920,2975,2285300,265965.0,8940000.0
1999-11-12,3000,3070,2880,2940,2382300,262836.0,8940000.0
1999-11-15,3020,3100,2970,3045,1698900,272223.0,8940000.0
1999-11-16,3020,3350,2990,3220,3680600,287868.0,8940000.0
1999-11-17,3220,3270,3050,3110,1880900,278034.0,8940000.0
1999-11-18,2660,3160,2660,3000,690500,268200.0,8940000.0
1999-11-19,2990,3170,2965,3030,1413100,270882.0,8940000.0
1999-11-22,3000,3040,2900,2960,654700,264624.0,8940000.0
1999-11-23,2930,2960,2860,2890,575500,258366.0,8940000.0
1999-11-24,2850,2870,2700,2750,543000,245850.0,8940000.0
1999-11-25,2790,2800,2520,2570,824800,229758.0,8940000.0
1999-11-26,2520,2565,2435,2510,567600,224394.0,8940000.0
1999-11-29,2360,2495,2250,2290,809100,204726.0,8940000.0
1999-11-30,2310,2550,2310,2550,880800,227970.0,8940000.0
1999-12-01,2540,2650,2370,2400,430300,214560.0,8940000.0
1999-12-02,2400,2540,2330,2395,779600,214113.0,8940000.0
1999-12-03,2450,2470,2310,2350,558700,210090.0,8940000.0
1999-12-06,2330,2370,2260,2290,509300,204726.0,8940000.0
1999-12-07,2300,2340,2100,2110,860100,188634.0,8940000.0
1999-12-08,2110,2190,1970,2050,1142900,183270.0,8940000.0
1999-12-09,2070,2150,2050,2100,991100,187740.0,8940000.0
1999-12-10,2150,2400,2130,2360,1858300,210984.0,8940000.0
1999-12-13,2530,2530,2350,2350,1156500,210090.0,8940000.0
1999-12-14,2300,2360,2260,2300,894900,205620.0,8940000.0
1999-12-15,2300,2340,2155,2190,689600,195786.0,8940000.0
1999-12-16,2160,2300,2100,2190,1704700,195786.0,8940000.0
1999-12-17,2250,2250,2080,2135,1050100,190869.0,8940000.0
1999-12-20,2140,2140,2040,2050,848900,183270.0,8940000.0
1999-12-21,2080,2085,1960,2020,835800,180588.0,8940000.0
1999-12-22,1925,1990,1850,1940,674400,173436.0,8940000.0
1999-12-23,1875,1920,1825,1830,955200,163602.0,8940000.0
1999-12-24,1830,1920,1775,1840,1192600,164496.0,8940000.0
1999-12-27,1840,1890,1770,1770,1261200,158238.0,8940000.0
1999-12-28,1770,1770,1660,1720,1171300,153768.0,8940000.0
2000-01-04,1695,1950,1695,1900,1399200,169860.0,8940000.0
2000-01-05,1880,1900,1760,1840,580400,164496.0,8940000.0
2000-01-06,1860,1870,1655,1680,1226900,150192.0,8940000.0
2000-01-07,1700,1760,1690,1750,1363100,156450.0,8940000.0
2000-01-10,1840,2010,1840,2010,1275200,179694.0,8940000.0
2000-01-11,2080,2100,1910,2000,3951900,178800.0,8940000.0
2000-01-12,1980,2000,1900,1915,731800,171201.0,8940000.0
2000-01-13,1970,2100,1930,1960,1729700,175224.0,8940000.0
2000-01-14,1960,2000,1855,1875,806000,167625.0,8940000.0
2000-01-17,1885,1900,1850,1870,622500,167178.0,8940000.0
2000-01-18,1870,1890,1780,1820,532100,162708.0,8940000.0
2000-01-19,1780,1780,1685,1695,763700,151533.0,8940000.0
2000-01-20,1600,1685,1590,1675,816100,149745.0,8940000.0
2000-01-21,1600,1750,1600,1680,690200,150192.0,8940000.0
2000-01-24,1680,1730,1660,1685,385100,150639.0,8940000.0
2000-01-25,1650,1695,1635,1660,422600,148404.0,8940000.0
2000-01-26,1670,1750,1665,1700,520200,151980.0,8940000.0
2000-01-27,1700,1870,1700,1820,1790300,162708.0,8940000.0
2000-01-28,1830,1950,1820,1895,2199600,169413.0,8940000.0
2000-01-31,1895,1975,1865,1935,1466700,172989.0,8940000.0
2000-02-01,2050,2050,1915,1940,787700,173436.0,8940000.0
2000-02-02,1880,2020,1880,1970,1080300,176118.0,8940000.0
2000-02-03,2020,2170,1940,2150,2908000,192210.0,8940000.0
2000-02-07,2100,2130,2020,2030,2910600,181482.0,8940000.0
2000-02-08,2000,2050,1900,1920,1176000,171648.0,8940000.0
2000-02-09,1920,1985,1880,1890,754400,168966.0,8940000.0
2000-02-10,1830,1880,1800,1800,1094200,160920.0,8940000.0
2000-02-11,1760,1840,1695,1720,836500,153768.0,8940000.0
2000-02-14,1700,1800,1680,1800,960600,160920.0,8940000.0
2000-02-15,1740,1840,1735,1800,418100,160920.0,8940000.0
2000-02-16,1860,2030,1820,1950,4772200,174330.0,8940000.0
2000-02-17,1900,1920,1800,1850,854600,165390.0,8940000.0
2000-02-18,1790,1830,1750,1755,808900,156897.0,8940000.0
2000-02-21,1660,1740,1660,1710,652100,152874.0,8940000.0
2000-02-22,1730,1730,1640,1640,1091100,146616.0,8940000.0
2000-02-23,1640,1850,1640,1750,1606400,156450.0,8940000.0
2000-02-24,1700,1730,1650,1700,715400,151980.0,8940000.0
2000-02-25,1680,1730,1650,1700,519700,151980.0,8940000.0
2000-02-28,1660,1680,1640,1680,637500,150192.0,8940000.0
2000-02-29,1720,1730,1660,1690,452600,151086.0,8940000.0
2000-03-02,1670,1730,1640,1690,1049100,151086.0,8940000.0
2000-03-03,1730,1730,1670,1710,953200,152874.0,8940000.0
2000-03-06,1700,1780,1700,1765,1162400,157791.0,8940000.0
2000-03-07,1775,1790,1705,1745,873900,156003.0,8940000.0
2000-03-08,1730,1780,1700,1740,985300,155556.0,8940000.0
2000-03-09,1740,1780,1720,1745,1109300,156003.0,8940000.0
2000-03-10,1730,1755,1715,1750,642700,156450.0,8940000.0
2000-03-13,1750,1760,1720,1750,747500,156450.0,8940000.0
2000-03-14,1750,1770,1730,1760,1128000,157344.0,8940000.0
2000-03-15,1760,1820,1730,1760,1373800,157344.0,8940000.0
2000-03-16,1800,1810,1730,1760,603900,157344.0,8940000.0
2000-03-17,1790,1890,1735,1800,1882900,160920.0,8940000.0
2000-03-20,1815,1840,1755,1770,635700,158238.0,8940000.0
2000-03-21,1740,1755,1715,1745,792200,156003.0,8940000.0
2000-03-22,1720,1755,1695,1730,1193500,154662.0,8940000.0
2000-03-23,1700,1715,1660,1700,928600,151980.0,8940000.0
2000-03-24,1680,1700,1635,1650,1259600,147510.0,8940000.0
2000-03-27,1610,1695,1605,1670,1675400,149298.0,8940000.0
2000-03-28,1680,1680,1635,1675,1319700,149745.0,8940000.0
2000-03-29,1670,1670,1600,1665,802200,148851.0,8940000.0
2000-03-30,1550,1620,1480,1570,634800,140358.0,8940000.0
2000-03-31,1550,1550,1475,1500,357500,134100.0,8940000.0
2000-04-03,1480,1480,1290,1360,784900,121584.0,8940000.0
2000-04-04,1310,1360,1230,1235,1158200,110409.0,8940000.0
2000-04-06,1210,1215,1120,1120,818500,100128.0,8940000.0
2000-04-07,1100,1160,1050,1055,2599800,94317.0,8940000.0
2000-04-10,1105,1205,1070,1140,2787600,101916.0,8940000.0
2000-04-11,1170,1200,1090,1090,1531800,97446.0,8940000.0
2000-04-12,1100,1170,1100,1115,1167900,99681.0,8940000.0
2000-04-14,1100,1240,1100,1235,2161700,110409.0,8940000.0
2000-04-17,1055,1150,1050,1050,1944200,93870.0,8940000.0
2000-04-18,1120,1195,1085,1160,3606400,103704.0,8940000.0
2000-04-19,1175,1220,1105,1120,2372800,100128.0,8940000.0
2000-04-20,1130,1140,1060,1080,1068600,96552.0,8940000.0
2000-04-21,1080,1100,1060,1095,1084100,97893.0,8940000.0
2000-04-24,1100,1110,1060,1060,531200,94764.0,8940000.0
2000-04-25,1050,1050,1005,1020,567600,91188.0,8940000.0
2000-04-26,1030,1060,870,881,2328700,78761.0,8940000.0
2000-04-27,882,899,760,840,2195100,75096.0,8940000.0
2000-04-28,851,905,840,851,1605400,76079.0,8940000.0
2000-05-02,849,870,815,853,1003700,76258.0,8940000.0
2000-05-03,855,920,850,887,691500,79298.0,8940000.0
2000-05-04,900,940,890,910,947300,81354.0,8940000.0
2000-05-08,880,920,880,885,534300,79119.0,8940000.0
2000-05-09,870,885,863,880,495800,78672.0,8940000.0
2000-05-10,850,930,850,910,345600,81354.0,8940000.0
2000-05-12,910,920,880,914,390800,81712.0,8940000.0
2000-05-15,900,900,852,859,309200,76795.0,8940000.0
2000-05-16,843,850,830,844,286700,75454.0,8940000.0
2000-05-17,880,880,755,790,273700,70626.0,8940000.0
2000-05-18,760,760,690,739,403200,66067.0,8940000.0
2000-05-19,700,759,700,720,1357600,64368.0,8940000.0
2000-05-22,720,720,622,650,593800,58110.0,8940000.0
2000-05-23,601,720,601,660,838800,59004.0,8940000.0
2000-05-24,670,759,665,759,1006900,67855.0,8940000.0
2000-05-25,789,865,759,846,1709500,75632.0,8940000.0
2000-05-26,840,840,720,720,1309600,64368.0,8940000.0
2000-05-29,653,779,612,710,2102600,63474.0,8940000.0
2000-05-30,780,816,740,807,1857000,72146.0,8940000.0
2000-05-31,840,928,800,870,3772700,77778.0,8940000.0
2000-06-01,830,871,810,816,1344000,72950.0,8940000.0
2000-06-02,831,890,826,841,1366800,75185.0,8940000.0
2000-06-05,890,967,861,967,2093900,86450.0,8940000.0
2000-06-07,980,1060,950,1000,2488300,89400.0,8940000.0
2000-06-08,1030,1030,885,920,1206500,82248.0,8940000.0
2000-06-09,918,1010,905,962,2490800,86003.0,8940000.0
2000-06-12,990,990,930,950,902200,84930.0,8940000.0
2000-06-13,940,949,880,890,717300,79566.0,8940000.0
2000-06-14,870,935,860,870,394400,77778.0,8940000.0
2000-06-15,859,900,840,840,393500,75096.0,8940000.0
2000-06-16,810,840,810,820,373600,73308.0,8940000.0
2000-06-19,821,829,800,800,221300,71520.0,8940000.0
2000-06-20,850,860,790,850,453600,75990.0,8940000.0
2000-06-21,863,895,835,849,783200,75901.0,8940000.0
2000-06-22,860,880,837,848,413900,75811.0,8940000.0
2000-06-23,838,860,823,839,240800,75007.0,8940000.0
2000-06-26,835,860,835,852,373100,76169.0,8940000.0
2000-06-27,861,922,855,907,802800,81086.0,8940000.0
2000-06-28,910,945,890,890,718200,79566.0,8940000.0
2000-06-29,890,910,853,854,334900,76348.0,8940000.0
2000-06-30,850,880,850,875,302200,78225.0,8940000.0
2000-07-03,892,905,883,900,529300,80460.0,8940000.0
2000-07-04,931,1035,905,967,3200900,86450.0,8940000.0
2000-07-05,1000,1000,891,950,1174000,84930.0,8940000.0
2000-07-06,950,1050,930,1010,1708900,90294.0,8940000.0
2000-07-07,1040,1110,1035,1080,2370100,96552.0,8940000.0
2000-07-10,1100,1170,1100,1130,1837100,101022.0,8940000.0
2000-07-11,1145,1160,1030,1060,2006700,94764.0,8940000.0
2000-07-12,1070,1090,1005,1025,936600,91635.0,8940000.0
2000-07-13,1000,1030,980,1005,505100,89847.0,8940000.0
2000-07-14,1030,1030,960,966,459000,86360.0,8940000.0
2000-07-18,955,960,901,917,592500,81980.0,8940000.0
2000-07-19,921,940,901,928,912900,82963.0,8940000.0
2000-07-20,945,999,905,910,975100,81354.0,8940000.0
2000-07-21,941,941,895,915,487600,81801.0,8940000.0
2000-07-24,885,885,800,820,782900,73308.0,8940000.0
2000-07-25,760,840,760,816,521600,72950.0,8940000.0
2000-07-26,814,830,790,805,587400,71967.0,8940000.0
2000-07-27,790,820,790,806,248500,72056.0,8940000.0
2000-07-28,800,800,780,790,265400,70626.0,8940000.0
2000-07-31,750,799,750,781,210600,69821.0,8940000.0
2000-08-01,762,840,762,820,438500,73308.0,8940000.0
2000-08-02,820,829,802,825,284300,73755.0,8940000.0
2000-08-03,850,860,819,831,266800,74291.0,8940000.0
2000-08-04,830,830,801,825,191800,73755.0,8940000.0
2000-08-07,819,819,782,787,253500,70358.0,8940000.0
2000-08-08,798,800,781,786,105900,70268.0,8940000.0
2000-08-09,805,825,790,807,271900,72146.0,8940000.0
2000-08-10,820,830,807,825,328400,73755.0,8940000.0
2000-08-11,819,833,801,811,197800,72503.0,8940000.0
2000-08-14,932,932,858,866,611100,77420.0,8940000.0
2000-08-16,853,875,825,857,328400,76616.0,8940000.0
2000-08-17,840,870,832,834,196000,74560.0,8940000.0
2000-08-18,820,845,810,812,205500,72593.0,8940000.0
2000-08-21,780,825,780,793,243400,70894.0,8940000.0
2000-08-22,795,820,790,802,184800,71699.0,8940000.0
2000-08-23,819,819,801,801,307200,71609.0,8940000.0
2000-08-24,806,806,790,795,228300,71073.0,8940000.0
2000-08-25,783,800,783,790,262200,70626.0,8940000.0
2000-08-28,806,816,791,815,169600,72861.0,8940000.0
2000-08-29,826,848,810,820,285900,73308.0,8940000.0
2000-08-30,815,820,802,807,172400,72146.0,8940000.0
2000-08-31,825,825,782,785,189200,70179.0,8940000.0
2000-09-01,800,800,777,788,267000,70447.0,8940000.0
2000-09-04,800,800,770,783,281600,70000.0,8940000.0
2000-09-05,779,798,779,792,235600,70805.0,8940000.0
2000-09-06,780,824,780,814,450800,72772.0,8940000.0
2000-09-07,820,820,788,800,254700,71520.0,8940000.0
2000-09-08,800,810,789,809,197100,72325.0,8940000.0
2000-09-14,781,830,781,820,451200,73308.0,8940000.0
2000-09-15,820,850,810,810,720100,72414.0,8940000.0
2000-09-18,782,800,711,750,444300,67050.0,8940000.0
2000-09-19,701,760,691,740,198300,66156.0,8940000.0
2000-09-20,740,780,740,761,191000,68033.0,8940000.0
2000-09-21,755,760,716,745,341400,66603.0,8940000.0
2000-09-22,745,755,720,729,244100,65173.0,8940000.0
2000-09-25,720,770,720,765,310200,68391.0,8940000.0
2000-09-26,760,780,755,770,215000,68838.0,8940000.0
