아세아제지(002310),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-06-04,13100,14200,13100,13900,52290,61160.0,4400000.0
1999-06-07,13950,14800,13900,14500,54290,63800.0,4400000.0
1999-06-08,14900,15500,14250,15500,64390,68200.0,4400000.0
1999-06-09,15200,15200,14000,14200,27060,62480.0,4400000.0
1999-06-10,14200,15000,13900,14700,50620,64680.0,4400000.0
1999-06-11,14500,14900,14300,14350,65170,63140.0,4400000.0
1999-06-14,14350,14350,13750,13900,21400,61160.0,4400000.0
1999-06-15,13550,13600,13000,13500,49130,59400.0,4400000.0
1999-06-16,13500,13900,13450,13500,19050,59400.0,4400000.0
1999-06-17,13500,14200,13300,14000,83670,61600.0,4400000.0
1999-06-18,13700,14600,13700,14150,45280,62260.0,4400000.0
1999-06-21,14150,14500,13650,13800,23930,60720.0,4400000.0
1999-06-22,14150,14200,14000,14050,35470,61820.0,4400000.0
1999-06-23,14200,14500,13800,14400,88840,63360.0,4400000.0
1999-06-24,14800,15300,14550,14550,133190,64020.0,4400000.0
1999-06-25,14400,14500,14100,14500,35820,63800.0,4400000.0
1999-06-28,15200,15800,14800,15250,130880,67100.0,4400000.0
1999-06-29,15700,16100,15000,15700,120970,69080.0,4400000.0
1999-06-30,16000,16600,15700,16400,99970,72160.0,4400000.0
1999-07-01,16400,16400,15800,16350,104380,71940.0,4400000.0
1999-07-02,16500,17400,16450,17200,247890,75680.0,4400000.0
1999-07-05,17800,18000,16800,17000,200560,74800.0,4400000.0
1999-07-06,17200,18600,17000,17800,236160,78320.0,4400000.0
1999-07-07,17500,18100,17000,17400,129240,76560.0,4400000.0
1999-07-08,17400,17900,16800,16800,114130,79626.0,4739660.0
1999-07-09,17100,18000,17100,18000,276550,85314.0,4739660.0
1999-07-12,18900,18900,18000,18400,237560,87210.0,4739660.0
1999-07-13,18400,18400,17400,17500,107080,82944.0,4739660.0
1999-07-14,17300,17700,16300,16350,75800,77493.0,4739660.0
1999-07-15,16350,16550,15900,16500,58890,78204.0,4739660.0
1999-07-16,16100,17000,16100,17000,93110,80574.0,4739660.0
1999-07-19,16900,17400,16700,17200,110330,81522.0,4739660.0
1999-07-20,17000,17250,16800,17000,62260,80574.0,4739660.0
1999-07-21,17900,18000,16000,16900,54820,80100.0,4739660.0
1999-07-22,16400,16500,15600,15900,72140,75361.0,4739660.0
1999-07-23,16000,16300,14800,14800,87270,82017.0,5541660.0
1999-07-26,14500,14700,13300,13900,60540,77029.0,5541660.0
1999-07-27,14000,15200,13700,15200,29590,84233.0,5541660.0
1999-07-28,15000,15400,14500,15300,52990,84787.0,5541660.0
1999-07-29,15200,15500,14800,15000,57240,83125.0,5541660.0
1999-07-30,15000,15200,13700,14100,41990,78137.0,5541660.0
1999-08-02,13700,14350,13500,14200,64350,78692.0,5541660.0
1999-08-03,13800,14800,13800,14700,43630,81462.0,5541660.0
1999-08-04,14300,15450,14150,15300,62010,84787.0,5541660.0
1999-08-05,15000,15000,13750,13750,14740,76198.0,5541660.0
1999-08-06,13950,14200,13700,14200,20880,78692.0,5541660.0
1999-08-09,14000,14700,14000,14500,12380,80354.0,5541660.0
1999-08-10,14100,14500,13500,14150,12720,78414.0,5541660.0
1999-08-11,14200,14250,13550,13850,13740,76752.0,5541660.0
1999-08-12,13850,14400,13600,14000,15080,77583.0,5541660.0
1999-08-13,13200,14150,13200,13700,18720,75921.0,5541660.0
1999-08-16,13600,13750,13200,13500,6570,74812.0,5541660.0
1999-08-17,14700,14700,13500,13550,15750,75089.0,5541660.0
1999-08-18,13550,14200,13300,13900,22210,77029.0,5541660.0
1999-08-19,13700,14000,13650,13900,12620,77029.0,5541660.0
1999-08-20,14000,14500,13750,14400,120670,79800.0,5541660.0
1999-08-23,14850,14850,14100,14600,37670,80908.0,5541660.0
1999-08-24,14500,14500,13900,14200,157160,78692.0,5541660.0
1999-08-25,14200,14500,14050,14050,20230,77860.0,5541660.0
1999-08-26,14000,14650,14000,14500,39650,80354.0,5541660.0
1999-08-27,14200,14800,13700,14150,42890,78414.0,5541660.0
1999-08-30,13700,14150,13700,13800,13730,76475.0,5541660.0
1999-08-31,13300,13800,13300,13600,18200,75367.0,5541660.0
1999-09-01,13500,13500,12800,12800,28160,70933.0,5541660.0
1999-09-02,13000,13500,12900,13500,46450,74812.0,5541660.0
1999-09-03,13500,13500,12200,12850,19660,71210.0,5541660.0
1999-09-06,12500,12850,12200,12450,49240,68994.0,5541660.0
1999-09-07,12600,13450,12600,12750,46350,70656.0,5541660.0
1999-09-08,13100,13200,12300,12450,22680,68994.0,5541660.0
1999-09-09,12500,12800,12350,12550,41750,69548.0,5541660.0
1999-09-10,12400,13450,12400,13350,122130,73981.0,5541660.0
1999-09-13,13600,14300,13050,13100,51170,72596.0,5541660.0
1999-09-14,13300,13700,13000,13200,20110,73150.0,5541660.0
1999-09-15,13050,13700,13050,13300,23780,73704.0,5541660.0
1999-09-16,12850,13500,12800,12800,15720,70933.0,5541660.0
1999-09-17,12700,13150,12600,13100,25750,72596.0,5541660.0
1999-09-20,14300,14300,13400,13600,61180,75367.0,5541660.0
1999-09-21,13600,13950,13300,13600,85560,75367.0,5541660.0
1999-09-22,13750,13750,13150,13250,35050,73427.0,5541660.0
1999-09-27,13400,14200,13100,13500,468570,74812.0,5541660.0
1999-09-28,13900,13900,13250,13500,190020,74812.0,5541660.0
1999-09-29,13300,13400,12750,12750,39060,70656.0,5541660.0
1999-09-30,13050,13250,12250,12300,67000,68162.0,5541660.0
1999-10-01,12000,12300,10600,11300,140680,62621.0,5541660.0
1999-10-04,11400,11900,11000,11400,60920,63175.0,5541660.0
1999-10-05,11300,11650,10000,10100,104840,55971.0,5541660.0
1999-10-06,10100,10600,9900,10500,103500,58187.0,5541660.0
1999-10-07,10850,11050,10300,10800,169070,59850.0,5541660.0
1999-10-08,10800,11300,10700,11000,128630,60958.0,5541660.0
1999-10-11,11400,11400,10700,10950,58960,60681.0,5541660.0
1999-10-12,11000,11750,11000,11700,157460,64837.0,5541660.0
1999-10-13,11700,12550,11400,11900,255050,65946.0,5541660.0
1999-10-14,12600,12900,12000,12100,110880,67054.0,5541660.0
1999-10-15,12300,12600,12000,12200,73950,67608.0,5541660.0
1999-10-18,11850,12000,11000,11800,60760,65392.0,5541660.0
1999-10-19,11800,12300,11400,11650,26430,64560.0,5541660.0
1999-10-20,11850,12500,11600,12500,59260,69271.0,5541660.0
1999-10-21,12500,12700,12100,12450,44450,68994.0,5541660.0
1999-10-22,12200,12900,11900,12200,32980,67608.0,5541660.0
1999-10-25,12050,12200,11700,11850,29590,65669.0,5541660.0
1999-10-26,11500,11900,11400,11850,26720,65669.0,5541660.0
1999-10-27,11400,12000,11400,11600,23130,64283.0,5541660.0
1999-10-28,11800,12000,11400,11850,35320,65669.0,5541660.0
1999-10-29,11850,12500,11850,11950,16360,66223.0,5541660.0
1999-11-01,12200,12600,12000,12400,42570,68717.0,5541660.0
1999-11-02,12500,12600,12200,12450,105910,68994.0,5541660.0
1999-11-03,12600,12900,12450,12500,42400,69271.0,5541660.0
1999-11-04,12600,12900,12500,12500,56640,69271.0,5541660.0
1999-11-05,12750,13000,12300,12550,88540,69548.0,5541660.0
1999-11-08,12600,12850,12200,12200,54720,67608.0,5541660.0
1999-11-09,12200,13000,12100,13000,53150,72042.0,5541660.0
1999-11-10,12900,13200,12400,12400,104200,68717.0,5541660.0
1999-11-11,12450,12800,12150,12200,46750,67608.0,5541660.0
1999-11-12,12500,12500,11850,12000,71900,66500.0,5541660.0
1999-11-15,12000,12200,11650,11750,32190,65115.0,5541660.0
1999-11-16,11650,12100,11500,11900,33300,65946.0,5541660.0
1999-11-17,11750,12000,11450,11450,39350,63452.0,5541660.0
1999-11-18,11500,11750,11250,11250,19100,62344.0,5541660.0
1999-11-19,11200,12200,11050,11700,37060,64837.0,5541660.0
1999-11-22,11950,12000,11550,11700,80130,64837.0,5541660.0
1999-11-23,11750,11950,11600,11900,69270,65946.0,5541660.0
1999-11-24,12000,12200,11500,11800,97730,65392.0,5541660.0
1999-11-25,11750,11750,11200,11400,66260,63175.0,5541660.0
1999-11-26,11300,11800,10350,10600,58730,58742.0,5541660.0
1999-11-29,10300,11000,10100,10400,103420,57633.0,5541660.0
1999-11-30,10500,10700,10250,10500,24700,58187.0,5541660.0
1999-12-01,10500,10600,9820,10000,58070,55417.0,5541660.0
1999-12-02,9850,10600,9810,10050,138380,55694.0,5541660.0
1999-12-03,10050,10300,9500,9930,47230,55029.0,5541660.0
1999-12-06,10100,10100,9450,9550,60840,52923.0,5541660.0
1999-12-07,9550,9700,8700,8800,120060,48767.0,5541660.0
1999-12-08,8700,9100,7600,8940,193890,54012.0,6041660.0
1999-12-09,9350,9350,8600,8900,40750,53771.0,6041660.0
1999-12-10,8700,9300,8700,9290,68800,56127.0,6041660.0
1999-12-13,9540,9900,9510,9840,71240,59450.0,6041660.0
1999-12-14,9620,10400,9500,9900,127510,59812.0,6041660.0
1999-12-15,10000,10350,9200,9600,47160,58000.0,6041660.0
1999-12-16,9330,9700,9250,9600,46740,58000.0,6041660.0
1999-12-17,9250,9940,9020,9050,30670,54677.0,6041660.0
1999-12-20,9200,9200,8600,8790,39690,53106.0,6041660.0
1999-12-21,8560,8600,7800,7950,36940,48031.0,6041660.0
1999-12-22,7900,8000,7400,7900,54270,47729.0,6041660.0
1999-12-23,7900,7950,7210,7600,40000,45917.0,6041660.0
1999-12-24,7350,7800,7350,7600,19710,45917.0,6041660.0
1999-12-27,8000,8000,7460,7850,31400,47427.0,6041660.0
1999-12-28,7550,7850,7010,7500,28390,45312.0,6041660.0
2000-01-04,7400,7960,7100,7840,33440,47367.0,6041660.0
2000-01-05,8000,8100,7200,7630,44800,46098.0,6041660.0
2000-01-06,8000,8000,7300,7620,27640,46037.0,6041660.0
2000-01-07,7880,7880,7300,7510,8770,45373.0,6041660.0
2000-01-10,7520,7880,7500,7550,43420,45615.0,6041660.0
2000-01-11,7620,7980,7300,7800,44680,47125.0,6041660.0
2000-01-12,7770,8100,7500,8000,52570,48333.0,6041660.0
2000-01-13,8390,9000,8050,8150,62380,49240.0,6041660.0
2000-01-14,8170,8870,8000,8400,98420,50750.0,6041660.0
2000-01-17,8510,8700,8100,8200,43190,49542.0,6041660.0
2000-01-18,8200,8490,8150,8180,105100,49421.0,6041660.0
2000-01-19,8140,8140,7600,7710,130130,46581.0,6041660.0
2000-01-20,7350,7890,7100,7890,39720,47669.0,6041660.0
2000-01-21,7700,7700,7310,7360,51130,44467.0,6041660.0
2000-01-24,7410,7410,7170,7340,65800,44346.0,6041660.0
2000-01-25,7400,7400,7010,7010,46210,42352.0,6041660.0
2000-01-26,6820,7090,6820,7000,28120,42292.0,6041660.0
2000-01-27,7500,8050,7350,7990,228680,48273.0,6041660.0
2000-01-28,7980,8190,7670,7850,96990,47427.0,6041660.0
2000-01-31,7700,8000,7560,7800,43400,47125.0,6041660.0
2000-02-01,7810,8050,7660,7980,113880,48212.0,6041660.0
2000-02-02,8000,8300,7880,8000,285000,48333.0,6041660.0
2000-02-03,8200,8380,8010,8190,189350,49481.0,6041660.0
2000-02-07,8250,8250,7900,8000,71690,48333.0,6041660.0
2000-02-08,7700,7900,7500,7510,72570,45373.0,6041660.0
2000-02-09,7500,7590,7310,7440,54820,44950.0,6041660.0
2000-02-10,7210,7300,6850,6850,72410,41385.0,6041660.0
2000-02-11,6550,6850,6210,6240,146720,37700.0,6041660.0
2000-02-14,6350,6350,5900,6000,78210,36250.0,6041660.0
2000-02-15,6160,6160,5710,5750,62410,34740.0,6041660.0
2000-02-16,5810,5950,5470,5660,111360,34196.0,6041660.0
2000-02-17,5550,5700,5400,5440,129430,32867.0,6041660.0
2000-02-18,5540,5620,5440,5500,121260,33229.0,6041660.0
2000-02-21,5560,5560,4900,4900,126750,29604.0,6041660.0
2000-02-22,4810,5090,4515,4730,131130,28577.0,6041660.0
2000-02-23,5000,5430,4900,5430,133640,32806.0,6041660.0
2000-02-24,5600,5600,5120,5210,108730,31477.0,6041660.0
2000-02-25,5300,5790,5050,5720,108390,34558.0,6041660.0
2000-02-28,5620,6400,5510,5800,208710,35042.0,6041660.0
2000-02-29,5960,6400,5630,6100,311740,36854.0,6041660.0
2000-03-02,6100,6980,5910,6980,353480,42171.0,6041660.0
2000-03-03,6980,7100,6500,6800,125700,41083.0,6041660.0
2000-03-06,7000,7300,6600,6990,326810,42231.0,6041660.0
2000-03-07,6900,7300,6600,6620,154740,39996.0,6041660.0
2000-03-08,6430,6700,6200,6200,106930,37458.0,6041660.0
2000-03-09,6250,6590,6250,6300,87170,38062.0,6041660.0
2000-03-10,6350,7050,6350,6740,190470,40721.0,6041660.0
2000-03-13,7000,7600,6900,7400,353830,44708.0,6041660.0
2000-03-14,7800,7800,6830,6970,190020,42110.0,6041660.0
2000-03-15,6990,6990,6400,6590,67370,39815.0,6041660.0
2000-03-16,6720,6800,6150,6210,88420,37519.0,6041660.0
2000-03-17,6220,6480,6210,6320,58140,38183.0,6041660.0
2000-03-20,6320,6650,6300,6400,53630,38667.0,6041660.0
2000-03-21,6410,6410,6170,6300,38850,38062.0,6041660.0
2000-03-22,6250,6400,6010,6110,64190,36915.0,6041660.0
2000-03-23,6390,6400,6100,6100,59480,36854.0,6041660.0
2000-03-24,6170,6600,6150,6360,99220,38425.0,6041660.0
2000-03-27,6900,6900,6410,6600,105410,39875.0,6041660.0
2000-03-28,6510,6600,6360,6450,35190,38969.0,6041660.0
2000-03-29,6300,6650,6200,6260,206440,37821.0,6041660.0
2000-03-30,6120,6260,5920,5960,217930,36008.0,6041660.0
2000-03-31,5910,6100,5910,5910,72760,35706.0,6041660.0
2000-04-03,5950,6090,5600,5600,45650,33833.0,6041660.0
2000-04-04,5430,5800,5260,5330,41290,32202.0,6041660.0
2000-04-06,5350,5690,5150,5200,90740,31417.0,6041660.0
2000-04-07,5200,5400,5200,5380,73760,32504.0,6041660.0
2000-04-10,5500,5590,5230,5550,67190,33531.0,6041660.0
2000-04-11,5600,5600,4800,5250,96340,31719.0,6041660.0
2000-04-12,5250,5450,5150,5270,61510,31840.0,6041660.0
2000-04-14,5150,5980,5100,5980,86640,36129.0,6041660.0
2000-04-17,5230,5250,5090,5100,33060,30812.0,6041660.0
2000-04-18,5220,5390,5020,5200,93410,31417.0,6041660.0
2000-04-19,5260,5430,5130,5260,113010,31779.0,6041660.0
2000-04-20,5200,5370,5080,5150,102400,31115.0,6041660.0
2000-04-21,5240,5430,5200,5270,77680,31840.0,6041660.0
2000-04-24,5400,5500,5150,5500,193440,33229.0,6041660.0
2000-04-25,5500,5590,5300,5310,111010,32081.0,6041660.0
2000-04-26,5500,5500,5130,5140,141990,31054.0,6041660.0
2000-04-27,5260,5260,5020,5060,58010,30571.0,6041660.0
2000-04-28,5100,5250,5100,5100,71750,30812.0,6041660.0
2000-05-02,5120,5350,5120,5200,113520,31417.0,6041660.0
2000-05-03,5260,5650,5210,5430,254290,32806.0,6041660.0
2000-05-04,5500,5550,5280,5320,122030,32142.0,6041660.0
2000-05-08,5320,5590,5320,5400,155840,32625.0,6041660.0
2000-05-09,5490,5490,5320,5400,81360,32625.0,6041660.0
2000-05-10,5400,5430,5270,5400,78300,32625.0,6041660.0
2000-05-12,5440,5440,5160,5170,113800,31235.0,6041660.0
2000-05-15,4910,5050,4550,4570,79220,27610.0,6041660.0
2000-05-16,4800,4800,4200,4780,110270,28879.0,6041660.0
2000-05-17,4750,4830,4350,4780,232410,28879.0,6041660.0
2000-05-18,4650,4650,4070,4250,65200,25677.0,6041660.0
2000-05-19,4100,4230,4030,4210,47270,25435.0,6041660.0
2000-05-22,4420,4420,3910,3920,51660,23683.0,6041660.0
2000-05-23,3800,4120,3800,3950,46880,23865.0,6041660.0
2000-05-24,3890,4180,3800,4180,47640,25254.0,6041660.0
2000-05-25,4180,4550,4180,4400,125570,26583.0,6041660.0
2000-05-26,4350,4390,4000,4070,208420,24590.0,6041660.0
2000-05-29,3860,4100,3700,3950,281020,23865.0,6041660.0
2000-05-30,4100,4190,4010,4150,139860,25073.0,6041660.0
2000-05-31,4210,4450,4180,4380,281770,26462.0,6041660.0
2000-06-01,4135,4290,4100,4100,165040,24771.0,6041660.0
2000-06-02,4210,4260,4080,4150,253920,25073.0,6041660.0
2000-06-05,4220,4545,4210,4465,519980,26976.0,6041660.0
2000-06-07,4510,4890,4420,4800,430620,29000.0,6041660.0
2000-06-08,4800,4800,4310,4500,249550,27187.0,6041660.0
2000-06-09,4600,4630,4345,4440,166410,26825.0,6041660.0
2000-06-12,4510,4580,4360,4545,138290,27459.0,6041660.0
2000-06-13,4600,4750,4435,4460,325210,26946.0,6041660.0
2000-06-14,4425,4590,4310,4310,100040,26040.0,6041660.0
2000-06-15,4320,4380,4010,4010,121550,24227.0,6041660.0
2000-06-16,4190,4190,3930,3990,132500,24106.0,6041660.0
2000-06-19,4010,4095,3950,3950,110730,23865.0,6041660.0
2000-06-20,4020,4030,3920,3980,64030,24046.0,6041660.0
2000-06-21,4030,4250,4020,4040,157240,24408.0,6041660.0
2000-06-22,4090,4180,4050,4110,78030,24831.0,6041660.0
2000-06-23,4100,4160,4030,4080,70800,24650.0,6041660.0
2000-06-26,4150,4280,4100,4200,103360,25375.0,6041660.0
2000-06-27,4300,4600,4300,4400,299360,26583.0,6041660.0
2000-06-28,4420,4420,4310,4340,106720,26221.0,6041660.0
2000-06-29,4410,4490,4240,4265,139850,25768.0,6041660.0
2000-06-30,4300,4300,4220,4260,69170,25737.0,6041660.0
2000-07-03,4260,4530,4250,4500,159080,27187.0,6041660.0
2000-07-04,4600,4680,4405,4450,173050,26885.0,6041660.0
2000-07-05,4585,4800,4400,4700,264100,28396.0,6041660.0
2000-07-06,4850,5150,4630,4950,655540,29906.0,6041660.0
2000-07-07,5020,5100,4830,4850,313790,29302.0,6041660.0
2000-07-10,4980,5120,4850,4965,331720,29997.0,6041660.0
2000-07-11,5150,5280,4910,4930,421580,29785.0,6041660.0
2000-07-12,4950,5090,4685,4730,222890,28577.0,6041660.0
2000-07-13,4690,4740,4575,4600,190920,27792.0,6041660.0
2000-07-14,4630,4800,4510,4520,185340,27308.0,6041660.0
2000-07-18,4650,4880,4550,4650,311230,28094.0,6041660.0
2000-07-19,4670,4670,4360,4380,138380,26462.0,6041660.0
2000-07-20,4375,4375,4200,4260,120220,25737.0,6041660.0
2000-07-21,4300,4380,4250,4280,101850,25858.0,6041660.0
2000-07-24,4210,4250,4020,4050,122870,24469.0,6041660.0
2000-07-25,4140,4140,4005,4090,160210,24710.0,6041660.0
2000-07-26,4150,4270,4060,4130,126600,24952.0,6041660.0
2000-07-27,4130,4130,4030,4060,78260,24529.0,6041660.0
2000-07-28,4020,4090,3975,4010,74650,24227.0,6041660.0
2000-07-31,3920,4050,3900,4005,91520,24197.0,6041660.0
2000-08-01,4010,4080,3990,4050,87730,24469.0,6041660.0
2000-08-02,4050,4130,4010,4100,101020,24771.0,6041660.0
2000-08-03,4150,4280,4065,4210,149960,25435.0,6041660.0
2000-08-04,4215,4300,4120,4300,128480,25979.0,6041660.0
2000-08-07,4280,4295,4170,4170,74710,25194.0,6041660.0
2000-08-08,4200,4320,4110,4295,109140,25949.0,6041660.0
2000-08-09,4300,4370,4215,4320,50180,26100.0,6041660.0
2000-08-10,4350,4370,4250,4345,31470,26251.0,6041660.0
2000-08-11,4350,4530,4350,4495,108570,27157.0,6041660.0
2000-08-14,4650,4725,4500,4615,92680,27882.0,6041660.0
2000-08-16,4760,4760,4530,4700,121670,28396.0,6041660.0
2000-08-17,4600,4630,4420,4600,227380,27792.0,6041660.0
2000-08-18,4830,4830,4460,4480,57370,27067.0,6041660.0
2000-08-21,4400,4450,4310,4310,75870,26040.0,6041660.0
2000-08-22,4300,4385,4280,4320,41660,26100.0,6041660.0
2000-08-23,4250,4400,4250,4320,40670,26100.0,6041660.0
2000-08-24,4300,4300,4190,4250,33430,25677.0,6041660.0
2000-08-25,4250,4250,4200,4250,29510,25677.0,6041660.0
2000-08-28,4250,4270,4200,4250,30300,25677.0,6041660.0
2000-08-29,4300,4300,4250,4300,28440,25979.0,6041660.0
2000-08-30,4300,4300,4220,4250,19230,25677.0,6041660.0
2000-08-31,4230,4245,4150,4245,51360,25647.0,6041660.0
2000-09-01,4235,4390,4205,4265,29720,25768.0,6041660.0
2000-09-04,4265,4650,4265,4585,184260,27701.0,6041660.0
2000-09-05,4600,4630,4420,4540,71920,27429.0,6041660.0
2000-09-06,4620,4780,4570,4700,167750,28396.0,6041660.0
2000-09-07,4700,4890,4510,4555,275880,27520.0,6041660.0
2000-09-08,4645,4645,4310,4450,147190,26885.0,6041660.0
2000-09-14,4450,4450,4275,4300,46740,25979.0,6041660.0
2000-09-15,4210,4550,4210,4360,111810,26342.0,6041660.0
2000-09-18,4210,4210,3710,3730,196810,22535.0,6041660.0
