대우조선해양(042660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-03-15,15849,16675,15849,16525,692700,648798.0,196308140.0
2001-03-16,16525,16900,16450,16575,663740,650761.0,196308140.0
2001-03-19,16500,17050,16475,16800,711170,659595.0,196308140.0
2001-03-20,17000,17600,16850,17250,1532810,677263.0,196308140.0
2001-03-21,17050,18175,17000,17825,2313950,699839.0,196308140.0
2001-03-22,18000,20475,18000,20475,5697910,803882.0,196308140.0
2001-03-23,20925,22125,19750,19850,6727280,779343.0,196308140.0
2001-03-26,20700,22150,20600,21150,2985300,830383.0,196308140.0
2001-03-27,21250,24300,21250,23100,8835660,906944.0,196308140.0
2001-03-28,23550,24000,21700,22175,2900970,870627.0,196308140.0
2001-03-29,22175,23975,22175,23750,4088160,932464.0,196308140.0
2001-03-30,24350,24950,24075,24600,4443990,965836.0,196308140.0
2001-04-02,24900,24900,23650,24500,2169130,961910.0,196308140.0
2001-04-03,23649,24350,23250,23950,1705270,940316.0,196308140.0
2001-04-04,23050,23900,22750,22750,1141560,893202.0,196308140.0
2001-04-06,23850,26150,23750,26150,4268250,1026692.0,196308140.0
2001-04-09,27000,29000,26600,28050,4033220,1101289.0,196308140.0
2001-04-10,28500,28900,26799,27550,1679930,1081658.0,196308140.0
2001-04-11,28399,28699,27099,27750,1501640,1089510.0,196308140.0
2001-04-12,27100,30949,26349,29100,3023190,1142513.0,196308140.0
2001-04-13,29100,30350,28300,28900,1594800,1134661.0,196308140.0
2001-04-16,28999,29900,28449,28500,674400,1118956.0,196308140.0
2001-04-17,28500,29150,27499,27750,997820,1089510.0,196308140.0
2001-04-18,27899,28249,27000,27750,1341730,1089510.0,196308140.0
2001-04-19,29200,29700,27400,27550,3032360,1081658.0,196308140.0
2001-04-20,27550,27849,26200,26900,1596800,1056138.0,196308140.0
2001-04-23,26500,27750,26400,26950,1294590,1058101.0,196308140.0
2001-04-24,26499,28499,26499,27250,1590990,1069879.0,196308140.0
2001-04-25,28000,28200,27050,27100,990380,1063990.0,196308140.0
2001-04-26,27250,28000,27000,27200,1172190,1067916.0,196308140.0
2001-04-27,27100,30650,27000,30000,2684700,1177849.0,196308140.0
2001-04-30,30050,31300,29500,30000,1399510,1177849.0,196308140.0
2001-05-02,30350,32200,30350,30600,2011160,1201406.0,196308140.0
2001-05-03,30650,32400,30650,31500,1859050,1236741.0,196308140.0
2001-05-04,31000,31000,29850,30650,1359010,1203369.0,196308140.0
2001-05-07,32500,33250,31000,31150,2796380,1223000.0,196308140.0
2001-05-08,31150,31800,30250,31150,847540,1223000.0,196308140.0
2001-05-09,30350,30350,29250,29250,1146610,1148403.0,196308140.0
2001-05-10,29000,30750,29000,30150,969380,1183738.0,196308140.0
2001-05-11,30000,30650,29550,30600,748690,1201406.0,196308140.0
2001-05-14,30450,31000,30250,30550,469960,1199443.0,196308140.0
2001-05-15,30600,31599,30400,30550,740120,1199443.0,196308140.0
2001-05-16,30800,30950,29550,29550,824470,1160181.0,196308140.0
2001-05-17,30000,30150,28899,29250,978010,1148403.0,196308140.0
2001-05-18,29000,31050,28900,30750,1336720,1207295.0,196308140.0
2001-05-21,31250,35350,30400,35350,3575480,1387899.0,196308140.0
2001-05-22,35350,35800,33250,34500,1824710,1354526.0,196308140.0
2001-05-23,35000,35500,33600,34100,516670,1338822.0,196308140.0
2001-05-24,33600,34050,32600,33350,757090,1309375.0,196308140.0
2001-05-25,34000,34200,32500,33000,893930,1295634.0,196308140.0
2001-05-28,33000,33600,32499,32650,427990,1281892.0,196308140.0
2001-05-29,32749,35200,32749,33500,1503810,1315265.0,196308140.0
2001-05-30,33550,35800,33550,35000,1768540,1374157.0,196308140.0
2001-05-31,34000,36150,34000,35550,1106430,1395751.0,196308140.0
2001-06-01,35500,35500,34100,34750,513580,1364342.0,196308140.0
2001-06-04,34300,34500,33550,34100,750040,1338822.0,196308140.0
2001-06-05,35750,36000,34000,34100,870380,1338822.0,196308140.0
2001-06-07,34400,37900,34250,37000,2137950,1452680.0,196308140.0
2001-06-08,37850,42550,37500,42550,3139440,1670582.0,196308140.0
2001-06-11,41500,43100,40750,41500,1597230,1629358.0,196308140.0
2001-06-12,41000,41050,39400,39700,1162060,1558687.0,196308140.0
2001-06-13,40000,44000,40000,41500,1539640,1629358.0,196308140.0
2001-06-14,43000,43300,41650,41900,870360,1645062.0,196308140.0
2001-06-15,41250,44900,41250,43300,965110,1700028.0,196308140.0
2001-06-18,43300,48250,42800,44450,1932850,1745179.0,196308140.0
2001-06-19,44350,46500,43100,43400,1115010,1703955.0,196308140.0
2001-06-20,42500,42950,40600,42050,1612090,1650951.0,196308140.0
2001-06-21,41600,42500,39799,40750,1630900,1599911.0,196308140.0
2001-06-22,40750,42500,40750,42500,1167580,1668619.0,196308140.0
2001-06-25,42750,45500,42550,45000,1235930,1766773.0,196308140.0
2001-06-26,44750,45000,41000,41500,1173920,1629358.0,196308140.0
2001-06-27,41000,41000,36150,38000,1961740,1491942.0,196308140.0
2001-06-28,36150,40000,36150,38750,1755940,1521388.0,196308140.0
2001-06-29,39550,40450,39500,39850,867630,1564576.0,196308140.0
2001-07-02,39000,41299,38850,40900,762280,1605801.0,196308140.0
2001-07-03,41050,41350,40000,40350,424290,1584207.0,196308140.0
2001-07-04,40000,41250,38650,41150,469700,1615616.0,196308140.0
2001-07-05,40750,41600,40100,40150,325080,1576354.0,196308140.0
2001-07-06,39250,39699,39150,39300,224740,1542982.0,196308140.0
2001-07-09,38500,38700,36000,37000,624580,1452680.0,196308140.0
2001-07-10,37000,37950,36550,37500,529530,1472311.0,196308140.0
2001-07-11,36100,38750,36050,38450,599960,1509610.0,196308140.0
2001-07-12,39100,39749,38800,39000,804990,1531203.0,196308140.0
2001-07-13,39550,40000,37650,38850,356950,1525314.0,196308140.0
2001-07-16,38850,40750,38500,38850,443380,1525314.0,196308140.0
2001-07-18,39050,39450,38250,38750,292900,1521388.0,196308140.0
2001-07-19,38050,38700,37000,37300,344900,1464459.0,196308140.0
2001-07-20,37000,37750,36000,36000,327330,1413419.0,196308140.0
2001-07-23,36000,36250,31700,31900,557810,1252446.0,196308140.0
2001-07-24,30350,34250,29250,33650,653470,1321154.0,196308140.0
2001-07-25,33500,34800,33250,33500,292090,1315265.0,196308140.0
2001-07-26,32500,35250,32500,35000,286050,1374157.0,196308140.0
2001-07-27,35500,35850,34250,34600,663100,1358452.0,196308140.0
2001-07-30,35250,35250,34000,34200,436300,1342748.0,196308140.0
2001-07-31,34500,35750,34000,34900,514360,1370231.0,196308140.0
2001-08-01,35000,36800,35000,36450,786910,1431086.0,196308140.0
2001-08-02,36700,36950,35300,35500,491430,1393788.0,196308140.0
2001-08-03,35050,35950,34850,35050,320160,1376120.0,196308140.0
2001-08-06,34250,35600,34250,35150,268210,1380046.0,196308140.0
2001-08-07,35000,35550,34850,35500,366640,1393788.0,196308140.0
2001-08-08,35200,35900,35150,35250,189850,1383972.0,196308140.0
2001-08-09,34550,35500,34550,35150,204000,1380046.0,196308140.0
2001-08-10,35000,35550,34550,34800,179240,1366305.0,196308140.0
2001-08-13,36000,38000,35300,36400,514400,1429123.0,196308140.0
2001-08-14,36000,36750,35700,36450,346670,1431086.0,196308140.0
2001-08-16,36250,36300,34750,35000,777780,1374157.0,196308140.0
2001-08-17,35000,35500,34000,34100,477310,1338822.0,196308140.0
2001-08-20,35000,36950,33050,33200,1887400,1303486.0,196308140.0
2001-08-21,34000,34750,33150,33950,1148630,1332932.0,196308140.0
2001-08-22,33250,33500,32150,32200,1598540,1264224.0,196308140.0
2001-08-23,33000,33700,30550,30850,1736790,1211221.0,196308140.0
2001-08-24,30900,31449,28550,29300,1559910,1150366.0,196308140.0
2001-08-27,29300,30550,27750,30100,2716920,1181775.0,196308140.0
2001-08-28,29299,30250,29150,29250,753370,1148403.0,196308140.0
2001-08-29,28300,29050,25250,25450,2262990,999208.0,196308140.0
2001-08-30,24550,26750,24450,26150,1565940,1026692.0,196308140.0
2001-08-31,25000,27750,24900,27350,2277100,1073806.0,196308140.0
2001-09-03,27550,28700,27550,28200,1498070,1107178.0,196308140.0
2001-09-04,28750,29150,28400,28500,1037350,1118956.0,196308140.0
2001-09-05,28499,28750,27299,27400,589630,1075769.0,196308140.0
2001-09-06,27400,28400,26900,28400,1656080,1115030.0,196308140.0
2001-09-07,28399,30500,27550,30150,1979840,1183738.0,196308140.0
2001-09-10,29999,32250,29250,30950,1969240,1215147.0,196308140.0
2001-09-11,30750,31350,28250,28800,1525260,1130735.0,196308140.0
2001-09-12,24500,24500,24500,24500,373980,961910.0,196308140.0
2001-09-13,23250,26800,23250,26600,1573380,1044359.0,196308140.0
2001-09-14,25800,26949,23500,24175,1018000,949150.0,196308140.0
2001-09-17,23250,24250,21600,23600,1496570,926574.0,196308140.0
2001-09-18,25000,25500,24600,25150,745100,987430.0,196308140.0
2001-09-19,25000,25800,24399,25250,923820,991356.0,196308140.0
2001-09-20,25250,25250,23749,24250,613450,952094.0,196308140.0
2001-09-21,24250,26000,23500,24750,745270,971725.0,196308140.0
2001-09-24,26500,26500,25050,25200,1171270,989393.0,196308140.0
2001-09-25,25750,26150,24700,25000,721060,981541.0,196308140.0
2001-09-26,25200,25650,24550,25500,589680,1001172.0,196308140.0
2001-09-27,25250,27250,25099,27000,1261130,1060064.0,196308140.0
2001-09-28,27000,29099,27000,28950,1300230,1136624.0,196308140.0
2001-10-04,30100,30500,29250,30000,815850,1177849.0,196308140.0
2001-10-05,29750,29750,29250,29750,466090,1168033.0,196308140.0
2001-10-08,29000,29899,28550,29400,420940,1154292.0,196308140.0
2001-10-09,29500,29800,29250,29500,465430,1158218.0,196308140.0
2001-10-10,29249,29649,28800,29200,225450,1146440.0,196308140.0
2001-10-11,29650,30150,29400,29950,477160,1175886.0,196308140.0
2001-10-12,30000,30250,29000,29600,998710,1162144.0,196308140.0
2001-10-15,29350,30000,28950,29400,266230,1154292.0,196308140.0
2001-10-16,29200,29700,29200,29600,399940,1162144.0,196308140.0
2001-10-17,29600,30850,29600,30750,760500,1207295.0,196308140.0
2001-10-18,30499,31200,30000,30450,556010,1195517.0,196308140.0
2001-10-19,30450,31500,30450,31500,1000600,1236741.0,196308140.0
2001-10-22,32000,32650,31699,32250,864890,1266188.0,196308140.0
2001-10-23,32000,32250,31800,32050,325910,1258335.0,196308140.0
2001-10-24,31650,32250,31300,32150,678890,1262261.0,196308140.0
2001-10-25,32150,32400,31450,31550,421060,1238704.0,196308140.0
2001-10-26,31200,31550,30600,30850,456630,1224071.0,198390758.0
2001-10-29,30950,31500,30350,30850,413000,1224071.0,198390758.0
2001-10-30,30150,30750,30150,30250,277380,1200264.0,198390758.0
2001-10-31,30250,31500,30000,31500,333110,1249862.0,198390758.0
2001-11-01,31500,32400,31500,32000,553220,1269701.0,198390758.0
2001-11-02,32450,33500,32100,33000,1180110,1309379.0,198390758.0
2001-11-05,33000,33650,32649,33300,902880,1321282.0,198390758.0
2001-11-06,33750,34350,32800,32800,1307240,1301443.0,198390758.0
2001-11-07,32850,32900,32000,32500,545270,1289540.0,198390758.0
2001-11-08,32250,32800,32250,32450,293300,1287556.0,198390758.0
2001-11-09,31800,32400,31599,31750,346700,1259781.0,198390758.0
2001-11-12,31500,32650,31500,32650,1073820,1295492.0,198390758.0
2001-11-13,32049,32550,31700,32500,475050,1289540.0,198390758.0
2001-11-14,32550,33900,32250,33750,2452590,1339138.0,198390758.0
2001-11-15,33750,34000,33000,33950,564410,1347073.0,198390758.0
2001-11-16,33250,34200,33250,34000,1212200,1349057.0,198390758.0
2001-11-19,33750,34550,33750,34050,1642120,1351041.0,198390758.0
2001-11-20,34150,35250,33700,34100,1274390,1353025.0,198390758.0
2001-11-21,34100,35250,34000,35000,934680,1388735.0,198390758.0
2001-11-22,35100,35250,34250,34750,828260,1378816.0,198390758.0
2001-11-23,34100,34800,34000,34150,601690,1355009.0,198390758.0
2001-11-26,35250,35500,34550,34750,1608900,1378816.0,198390758.0
2001-11-27,34750,34750,33500,34400,3015100,1364928.0,198390758.0
2001-11-28,34200,34200,31500,32500,1277890,1289540.0,198390758.0
2001-11-29,31050,33900,31050,33900,963990,1345089.0,198390758.0
2001-11-30,33100,34050,33050,34000,521080,1349057.0,198390758.0
2001-12-03,33250,33900,32950,33250,374490,1319299.0,198390758.0
2001-12-04,32749,33250,31799,31900,1186080,1265733.0,198390758.0
2001-12-05,31900,32350,30499,30850,1589010,1224071.0,198390758.0
2001-12-06,31249,31849,29200,29700,2063000,1178441.0,198390758.0
2001-12-07,29750,31100,29750,30650,1134630,1216135.0,198390758.0
2001-12-10,30250,30650,28399,28750,1136990,1140747.0,198390758.0
2001-12-11,28149,28700,26850,27100,2085480,1075278.0,198390758.0
2001-12-12,27500,28250,27100,27500,1214710,1091149.0,198390758.0
2001-12-13,27499,28950,27150,28750,1109840,1140747.0,198390758.0
2001-12-14,27750,29750,27750,29400,1053950,1166538.0,198390758.0
2001-12-17,29750,29750,28450,28550,668710,1132811.0,198390758.0
2001-12-18,28550,28950,27800,28050,836990,1112972.0,198390758.0
2001-12-19,28000,28550,27350,28050,577730,1112972.0,198390758.0
2001-12-20,27850,29450,27500,29450,624050,1168522.0,198390758.0
2001-12-21,28449,29300,28449,29300,389770,1162570.0,198390758.0
2001-12-24,29300,30050,28800,29500,590840,1170505.0,198390758.0
2001-12-26,29600,29750,28850,29050,458310,1152650.0,198390758.0
2001-12-27,28750,29650,28750,29550,481900,1172489.0,198390758.0
2001-12-28,29600,31750,29600,31750,1232850,1259781.0,198390758.0
2002-01-02,31700,31700,30800,31300,583730,1241926.0,198390758.0
2002-01-03,31299,31299,29850,29850,702532,1184393.0,198390758.0
2002-01-04,30000,30499,29650,30250,719130,1200264.0,198390758.0
2002-01-07,30250,30799,30150,30250,689338,1200264.0,198390758.0
2002-01-08,30250,30900,29600,29750,1171916,1180425.0,198390758.0
2002-01-09,29500,29850,29200,29500,725965,1170505.0,198390758.0
2002-01-10,29500,30200,29250,29250,792821,1160586.0,198390758.0
2002-01-11,29300,29899,28699,28750,482489,1140747.0,198390758.0
2002-01-14,28550,29750,28550,29000,546275,1150666.0,198390758.0
2002-01-15,29700,29949,28749,29500,876090,1170505.0,198390758.0
2002-01-16,29499,29650,28500,28550,543077,1132811.0,198390758.0
2002-01-17,28200,29550,27499,29400,882430,1166538.0,198390758.0
2002-01-18,29650,30750,29499,30550,1404470,1212168.0,198390758.0
2002-01-21,30500,31000,29899,30750,666480,1220103.0,198390758.0
2002-01-22,30499,30899,30000,30250,485085,1200264.0,198390758.0
2002-01-23,29999,32800,29850,32350,2565250,1283588.0,198390758.0
2002-01-24,33500,36000,33100,35450,5210650,1406590.0,198390758.0
2002-01-25,36250,36550,35200,35750,4125847,1418494.0,198390758.0
2002-01-28,36000,37500,35400,36750,2361845,1458172.0,198390758.0
2002-01-29,36500,36850,35550,36400,1317280,1444285.0,198390758.0
2002-01-30,34000,35750,34000,35750,1058500,1418494.0,198390758.0
2002-01-31,36500,37499,35850,36300,1784990,1440317.0,198390758.0
2002-02-01,36550,36900,35500,36050,1045583,1430397.0,198390758.0
2002-02-04,35500,37200,35500,37000,1344460,1468092.0,198390758.0
2002-02-05,36450,38350,35650,37700,2338028,1495866.0,198390758.0
2002-02-06,37700,38500,37250,37900,1677178,1503802.0,198390758.0
2002-02-07,38350,39750,36550,37500,3273453,1487931.0,198390758.0
2002-02-08,37550,40150,37499,39500,2645432,1567287.0,198390758.0
2002-02-14,40000,41850,39500,41800,2118112,1658547.0,198390758.0
2002-02-15,41000,41650,40350,41250,1522120,1636724.0,198390758.0
2002-02-18,41300,43700,41300,42000,2250952,1666482.0,198390758.0
2002-02-19,42750,43050,40800,40800,1161454,1618869.0,198390758.0
2002-02-20,40000,40600,39499,39900,1069721,1583158.0,198390758.0
2002-02-21,40500,40750,38950,39900,914689,1583158.0,198390758.0
2002-02-22,39000,40500,38900,40000,756994,1587126.0,198390758.0
2002-02-25,40550,42250,40250,41500,982498,1646643.0,198390758.0
2002-02-26,42150,45500,41400,44250,2901931,1755758.0,198390758.0
2002-02-27,44150,45750,43700,44250,2671355,1755758.0,198390758.0
2002-02-28,44550,45400,43850,44500,1866927,1765678.0,198390758.0
2002-03-04,45000,48249,44850,47000,3007122,1864873.0,198390758.0
2002-03-05,48000,48050,45750,46750,1287667,1854954.0,198390758.0
2002-03-06,45900,46450,45350,45500,1263951,1805356.0,198390758.0
2002-03-07,45000,45700,44150,45400,1246367,1801388.0,198390758.0
2002-03-08,44600,45500,44100,45450,764297,1803372.0,198390758.0
2002-03-11,44250,45250,44100,44850,1161280,1779565.0,198390758.0
2002-03-12,44850,47250,44850,46500,940758,1845034.0,198390758.0
2002-03-13,46500,46550,45400,46500,667280,1845034.0,198390758.0
2002-03-14,46450,46500,45450,45500,367604,1805356.0,198390758.0
2002-03-15,45500,46900,45300,45800,773223,1817259.0,198390758.0
2002-03-18,46000,49500,46000,49500,2279123,1964069.0,198390758.0
2002-03-19,49500,49500,48000,48400,1136873,1920423.0,198390758.0
2002-03-20,48000,48500,45850,46750,1365217,1854954.0,198390758.0
2002-03-21,46250,46850,45750,46500,779872,1845034.0,198390758.0
2002-03-22,46750,48000,46600,47300,1459685,1876777.0,198390758.0
2002-03-25,46550,47050,45350,45500,986797,1805356.0,198390758.0
2002-03-26,45350,46500,45250,45500,765996,1805356.0,198390758.0
2002-03-27,46100,46800,45350,46250,1038272,1835115.0,198390758.0
2002-03-28,46500,46900,45750,46500,990291,1845034.0,198390758.0
2002-03-29,46999,46999,45750,46000,555092,1825195.0,198390758.0
2002-04-01,45600,45750,43650,43650,627337,1731951.0,198390758.0
2002-04-02,43650,44700,43650,44650,463210,1771629.0,198390758.0
2002-04-03,43650,44950,43500,44950,1139156,1783533.0,198390758.0
2002-04-04,43850,44950,43850,44350,474655,1759726.0,198390758.0
2002-04-08,44350,46250,44350,44800,1331409,1777581.0,198390758.0
2002-04-09,45300,45500,44300,44800,659925,1777581.0,198390758.0
2002-04-10,45400,46000,43750,43750,622463,1735919.0,198390758.0
2002-04-11,44000,46050,44000,45500,1602067,1805356.0,198390758.0
2002-04-12,44550,45850,44550,45500,624593,1805356.0,198390758.0
2002-04-15,45050,46250,45050,46000,820887,1825195.0,198390758.0
2002-04-16,46150,47500,46150,46450,1407662,1843050.0,198390758.0
2002-04-17,46900,48150,46550,47450,1864422,1882728.0,198390758.0
2002-04-18,47900,49250,47049,47050,2559560,1866857.0,198390758.0
2002-04-19,47500,47500,46200,47000,1273006,1864873.0,198390758.0
2002-04-22,47550,49100,47550,48700,2046478,1932326.0,198390758.0
2002-04-23,49700,49700,47950,49250,1305431,1954149.0,198390758.0
2002-04-24,49250,50500,48500,49750,1559606,1973988.0,198390758.0
2002-04-25,48950,49000,44800,44850,1153701,1779565.0,198390758.0
2002-04-26,44300,45500,43300,45450,1002583,1803372.0,198390758.0
2002-04-29,43150,45200,43150,43350,658899,1720048.0,198390758.0
2002-04-30,42200,44500,42200,44500,747991,1765678.0,198390758.0
2002-05-02,45000,45400,44050,45300,437504,1797420.0,198390758.0
2002-05-03,45300,46100,45000,45250,656652,1795436.0,198390758.0
2002-05-06,45650,46700,45000,45250,606441,1795436.0,198390758.0
2002-05-07,44800,45150,44000,44850,320926,1779565.0,198390758.0
2002-05-08,45000,46050,44500,45000,855753,1785517.0,198390758.0
2002-05-09,45500,45900,44850,45400,561470,1801388.0,198390758.0
2002-05-10,45750,46300,44500,44750,363092,1775597.0,198390758.0
2002-05-13,44500,44950,43500,44350,515780,1759726.0,198390758.0
2002-05-14,44500,44750,44050,44500,537660,1765678.0,198390758.0
2002-05-15,44700,46050,44350,45900,806982,1821227.0,198390758.0
2002-05-16,45450,45850,44450,44950,382490,1783533.0,198390758.0
2002-05-17,45050,45150,44150,45000,512870,1785517.0,198390758.0
2002-05-20,45250,45350,44250,44250,351502,1755758.0,198390758.0
2002-05-21,43350,43700,42100,43450,878992,1724016.0,198390758.0
2002-05-22,42450,43950,42250,43950,723910,1743855.0,198390758.0
2002-05-23,43000,44250,42200,42500,1142409,1686321.0,198390758.0
2002-05-24,42050,42800,39800,40500,1662820,1606965.0,198390758.0
2002-05-27,40000,40749,39600,40600,999305,1610933.0,198390758.0
2002-05-28,40000,40250,38650,39800,846331,1579190.0,198390758.0
2002-05-29,38750,40400,38750,39550,480661,1569271.0,198390758.0
2002-05-30,38600,39850,38550,38900,555500,1543480.0,198390758.0
2002-05-31,39350,39350,38450,38700,361636,1535544.0,198390758.0
2002-06-03,37600,38900,37150,38750,384660,1537528.0,198390758.0
2002-06-04,37700,38800,37600,38750,311831,1537528.0,198390758.0
2002-06-05,38750,39100,38499,38900,510250,1543480.0,198390758.0
2002-06-07,38499,39500,38000,38900,297280,1543480.0,198390758.0
2002-06-10,39250,39250,38550,38900,318940,1543480.0,198390758.0
2002-06-11,39250,40000,39200,39900,585020,1583158.0,198390758.0
2002-06-12,39900,45850,39850,45850,1056620,1819243.0,198390758.0
2002-06-14,44250,44400,42600,42900,605200,1702193.0,198390758.0
2002-06-17,43500,44700,42800,44300,445744,1757742.0,198390758.0
2002-06-18,44750,45200,43950,44300,676010,1757742.0,198390758.0
2002-06-19,44300,44700,41750,44150,384310,1751790.0,198390758.0
2002-06-20,42000,43950,42000,43600,542940,1729967.0,198390758.0
2002-06-21,42550,44100,41800,44000,1081840,1745839.0,198390758.0
2002-06-24,44000,44250,42600,44250,699850,1755758.0,198390758.0
2002-06-25,44000,44250,42800,44000,413930,1745839.0,198390758.0
2002-06-26,42650,42650,39000,40500,565240,1606965.0,198390758.0
2002-06-27,40500,42500,39950,41700,445940,1654579.0,198390758.0
2002-06-28,41700,43550,41100,43250,737090,1716080.0,198390758.0
2002-07-02,41000,43350,41000,43250,383590,1716080.0,198390758.0
2002-07-03,42650,43500,42050,43500,468580,1726000.0,198390758.0
2002-07-04,43350,44000,42400,42750,383390,1696241.0,198390758.0
2002-07-05,42750,43550,41900,43100,792721,1710128.0,198390758.0
2002-07-08,43300,43300,41300,42500,721940,1686321.0,198390758.0
2002-07-09,41750,43350,41650,42550,668745,1688305.0,198390758.0
2002-07-10,42500,42550,41600,42550,498590,1688305.0,198390758.0
2002-07-11,42450,42500,40750,40750,386160,1616885.0,198390758.0
2002-07-12,41050,42800,41050,42250,360770,1676402.0,198390758.0
2002-07-15,42000,42950,40650,41950,836157,1664498.0,198390758.0
2002-07-16,41950,42250,40500,41250,457830,1636724.0,198390758.0
2002-07-18,41250,41600,40099,40100,475400,1591094.0,198390758.0
2002-07-19,39250,39500,38500,39350,660090,1561335.0,198390758.0
2002-07-22,37550,38500,37250,38250,281850,1517689.0,198390758.0
2002-07-23,37300,39499,37300,39500,318310,1567287.0,198390758.0
2002-07-24,38250,39100,36500,38150,416078,1513721.0,198390758.0
2002-07-25,38749,40000,38149,39000,420080,1547448.0,198390758.0
2002-07-26,38999,40250,37399,39750,428150,1577207.0,198390758.0
2002-07-29,39000,39000,37600,38300,303370,1519673.0,198390758.0
2002-07-30,38500,39450,38200,38200,411763,1515705.0,198390758.0
2002-07-31,37600,37700,36500,37000,681430,1468092.0,198390758.0
2002-08-01,36550,37000,35250,35750,562912,1418494.0,198390758.0
2002-08-02,34150,35000,33150,35000,1311857,1388735.0,198390758.0
2002-08-05,34250,35000,33200,34950,633304,1386751.0,198390758.0
2002-08-06,33750,35900,33750,35450,589454,1406590.0,198390758.0
2002-08-07,36300,36300,34850,35500,478400,1408574.0,198390758.0
2002-08-08,35450,35450,33950,34500,719701,1368896.0,198390758.0
2002-08-09,34550,35150,33250,33900,1117030,1345089.0,198390758.0
2002-08-12,33400,33900,33100,33900,696840,1345089.0,198390758.0
2002-08-13,33900,35250,33550,35250,730780,1398655.0,198390758.0
2002-08-14,34500,35500,34400,35450,420310,1406590.0,198390758.0
2002-08-16,36000,36400,35600,36000,658338,1428413.0,198390758.0
2002-08-19,36500,36700,35150,36000,530180,1428413.0,198390758.0
2002-08-20,36650,36850,36300,36750,564950,1458172.0,198390758.0
2002-08-21,36500,37500,36300,37200,463690,1476027.0,198390758.0
2002-08-22,37500,37500,36750,37000,386460,1468092.0,198390758.0
2002-08-23,36999,37250,36200,36650,348740,1454204.0,198390758.0
2002-08-26,36500,37650,35950,37450,336930,1485947.0,198390758.0
2002-08-27,37050,37050,35950,36200,524880,1436349.0,198390758.0
2002-08-28,35800,36700,35800,36350,242200,1442301.0,198390758.0
2002-08-29,35600,36250,35350,35850,285320,1422462.0,198390758.0
2002-08-30,36499,36899,36100,36900,826710,1464124.0,198390758.0
2002-09-02,37000,37200,36500,37200,449160,1476027.0,198390758.0
2002-09-03,37150,37299,36100,36500,551490,1448253.0,198390758.0
2002-09-04,35950,36000,35250,35800,319900,1420478.0,198390758.0
2002-09-05,36000,36050,35100,35800,328994,1420478.0,198390758.0
2002-09-06,35150,35800,34800,35000,208980,1388735.0,198390758.0
2002-09-09,34850,35600,33850,34650,146946,1374848.0,198390758.0
2002-09-10,33700,35250,33700,35000,208130,1388735.0,198390758.0
2002-09-11,34950,35650,34650,35500,234414,1408574.0,198390758.0
2002-09-12,35150,36250,35050,36250,444216,1438333.0,198390758.0
2002-09-13,35750,35800,34650,35250,241740,1398655.0,198390758.0
2002-09-16,35000,35200,34100,34350,248730,1362945.0,198390758.0
2002-09-17,34900,36000,34500,36000,296220,1428413.0,198390758.0
2002-09-18,34850,35800,33900,35050,596630,1390719.0,198390758.0
2002-09-19,35100,36850,34800,34800,240828,1380800.0,198390758.0
2002-09-23,34600,35550,34200,34750,113990,1378816.0,198390758.0
2002-09-24,34650,35800,34600,35500,615410,1408574.0,198390758.0
2002-09-25,35800,35850,34750,35100,177600,1392703.0,198390758.0
2002-09-26,36250,36250,35150,35650,370860,1414526.0,198390758.0
