삼성공조(006660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-09-17,5850,6650,5850,6500,23200,52000.0,800000.0
1999-09-20,6680,6800,6400,6800,165500,54400.0,800000.0
1999-09-21,6700,6700,6600,6690,4400,53520.0,800000.0
1999-09-22,6800,6800,6800,6800,100,54400.0,800000.0
1999-09-27,6840,6840,6400,6450,4900,51600.0,800000.0
1999-09-28,6800,6800,6350,6350,26000,50800.0,800000.0
1999-09-29,6250,6400,6250,6300,2400,50400.0,800000.0
1999-09-30,6500,6500,6300,6380,400,51040.0,800000.0
1999-10-01,6280,6280,6000,6000,9900,48000.0,800000.0
1999-10-04,6000,6010,6000,6010,1800,48080.0,800000.0
1999-10-05,6000,6200,5800,6000,36800,48000.0,800000.0
1999-10-06,6010,6010,6010,6010,1500,48080.0,800000.0
1999-10-07,6010,6020,6000,6010,13500,48080.0,800000.0
1999-10-08,6010,6010,5560,5560,24900,44480.0,800000.0
1999-10-11,6300,6300,5680,5750,7600,46000.0,800000.0
1999-10-12,5660,5800,5660,5800,4600,46400.0,800000.0
1999-10-13,5700,5890,5610,5890,6200,47120.0,800000.0
1999-10-14,5900,5980,5600,5950,10700,47600.0,800000.0
1999-10-15,5900,5940,5900,5940,4000,47520.0,800000.0
1999-10-18,5780,5800,5600,5800,5200,46400.0,800000.0
1999-10-19,5800,5800,5600,5790,2300,46320.0,800000.0
1999-10-20,5550,5950,5550,5650,8400,45200.0,800000.0
1999-10-21,5800,5800,5700,5700,13200,45600.0,800000.0
1999-10-22,5700,5700,5650,5700,33000,45600.0,800000.0
1999-10-25,5700,5790,5650,5670,9300,45360.0,800000.0
1999-10-26,5510,5600,5510,5600,1000,44800.0,800000.0
1999-10-27,5600,5700,5490,5650,30900,45200.0,800000.0
1999-10-28,5650,5820,5650,5820,10700,46560.0,800000.0
1999-10-29,5900,5930,5900,5930,5200,47440.0,800000.0
1999-11-01,5950,6000,5930,5950,20800,47600.0,800000.0
1999-11-02,6000,6100,6000,6100,11900,48800.0,800000.0
1999-11-03,6200,6200,6000,6000,1000,48000.0,800000.0
1999-11-04,5760,6090,5760,6090,300,48720.0,800000.0
1999-11-05,6090,6090,5820,5820,1900,46560.0,800000.0
1999-11-08,5990,5990,5800,5850,2500,46800.0,800000.0
1999-11-09,5850,5850,5750,5850,5100,46800.0,800000.0
1999-11-10,5900,6000,5800,5950,12200,47600.0,800000.0
1999-11-11,5710,5960,5710,5960,1300,47680.0,800000.0
1999-11-12,5960,5960,5760,5860,8100,46880.0,800000.0
1999-11-15,5670,5830,5620,5800,3200,46400.0,800000.0
1999-11-16,5910,5910,5730,5740,1800,45920.0,800000.0
1999-11-17,5460,5650,5460,5520,2700,44160.0,800000.0
1999-11-18,5520,5740,5520,5740,1600,45920.0,800000.0
1999-11-19,5460,5700,5400,5650,3000,45200.0,800000.0
1999-11-22,5450,5600,5450,5600,1900,44800.0,800000.0
1999-11-23,5600,5600,5470,5590,1700,44720.0,800000.0
1999-11-24,5600,5600,5510,5510,900,44080.0,800000.0
1999-11-25,5310,5330,5200,5200,42400,41600.0,800000.0
1999-11-26,5050,5050,4900,4900,5300,39200.0,800000.0
1999-11-29,4900,4900,4400,4800,395500,38400.0,800000.0
1999-11-30,4800,4850,4600,4600,10800,36800.0,800000.0
1999-12-01,4650,4800,4450,4480,23200,35840.0,800000.0
1999-12-02,4900,4900,4700,4700,7500,37600.0,800000.0
1999-12-03,4700,4990,4460,4460,11200,35680.0,800000.0
1999-12-06,4460,4680,4400,4400,7800,35200.0,800000.0
1999-12-07,4500,4500,3740,3740,50300,29920.0,800000.0
1999-12-08,3890,4180,3700,4160,28400,33280.0,800000.0
1999-12-09,4160,4460,4160,4440,8100,35520.0,800000.0
1999-12-10,4460,4460,4460,4460,9400,35680.0,800000.0
1999-12-13,4160,4560,4160,4300,5200,34400.0,800000.0
1999-12-14,4020,4400,4020,4200,14700,33600.0,800000.0
1999-12-15,4400,4400,4200,4205,16800,33640.0,800000.0
1999-12-16,4220,4400,4220,4270,13800,34160.0,800000.0
1999-12-17,4280,4280,4100,4200,16700,33600.0,800000.0
1999-12-20,3910,4350,3910,4300,1900,34400.0,800000.0
1999-12-21,4280,4280,4280,4280,0,34240.0,800000.0
1999-12-22,4100,4100,3900,3900,9400,31200.0,800000.0
1999-12-23,3900,3900,3720,3885,14100,31080.0,800000.0
1999-12-24,3510,3950,3510,3920,3600,31360.0,800000.0
1999-12-27,3650,3910,3620,3900,2900,31200.0,800000.0
1999-12-28,3640,3890,3640,3640,2800,29120.0,800000.0
2000-01-04,3900,3900,3850,3900,5300,31200.0,800000.0
2000-01-05,3900,4150,3900,3900,4700,31200.0,800000.0
2000-01-06,3900,3900,3700,3710,5900,29680.0,800000.0
2000-01-07,3510,3800,3510,3750,6900,30000.0,800000.0
2000-01-10,3600,3880,3600,3620,4200,28960.0,800000.0
2000-01-11,3640,3900,3640,3650,37600,29200.0,800000.0
2000-01-12,3650,4100,3650,4100,326300,32800.0,800000.0
2000-01-13,4200,4400,3900,4000,24500,32000.0,800000.0
2000-01-14,3800,4000,3800,4000,2200,32000.0,800000.0
2000-01-17,3850,4250,3850,4000,2200,32000.0,800000.0
2000-01-18,4000,4000,3890,3890,2200,31120.0,800000.0
2000-01-19,3710,3730,3700,3700,7500,29600.0,800000.0
2000-01-20,3510,3510,3400,3510,9000,28080.0,800000.0
2000-01-21,3510,3510,3400,3500,23800,28000.0,800000.0
2000-01-24,3500,3700,3400,3500,29300,28000.0,800000.0
2000-01-25,3590,3590,3500,3570,11900,28560.0,800000.0
2000-01-26,3550,3560,3550,3560,3400,28480.0,800000.0
2000-01-27,3500,3700,3450,3700,19200,29600.0,800000.0
2000-01-28,3720,3790,3700,3790,35300,30320.0,800000.0
2000-01-31,3700,3790,3700,3790,7100,30320.0,800000.0
2000-02-01,3800,3900,3800,3900,2300,31200.0,800000.0
2000-02-02,3850,3900,3500,3900,38900,31200.0,800000.0
2000-02-03,3950,3950,3820,3900,14200,31200.0,800000.0
2000-02-07,3850,3900,3850,3900,8700,31200.0,800000.0
2000-02-08,3880,3880,3750,3760,5000,30080.0,800000.0
2000-02-09,3765,3765,3650,3750,13900,30000.0,800000.0
2000-02-10,3750,3750,3580,3600,4000,28800.0,800000.0
2000-02-11,3580,3580,3400,3490,12100,27920.0,800000.0
2000-02-14,3990,3990,3400,3500,58400,28000.0,800000.0
2000-02-15,3400,3400,3300,3300,9000,26400.0,800000.0
2000-02-16,3300,3480,3300,3480,10200,27840.0,800000.0
2000-02-17,3350,3400,3170,3170,4600,25360.0,800000.0
2000-02-18,3170,3400,3140,3240,15000,25920.0,800000.0
2000-02-21,3240,3240,3240,3240,100,25920.0,800000.0
2000-02-22,3110,3200,3110,3200,11200,25600.0,800000.0
2000-02-23,2920,3360,2920,3100,7600,24800.0,800000.0
2000-02-24,3400,3400,3000,3100,24700,24800.0,800000.0
2000-02-25,3110,3310,3110,3300,34200,26400.0,800000.0
2000-02-28,3300,3700,3200,3630,36600,29040.0,800000.0
2000-02-29,3800,3800,3230,3350,18600,26800.0,800000.0
2000-03-02,3380,3380,3190,3350,30800,26800.0,800000.0
2000-03-03,3300,3320,3210,3320,13100,26560.0,800000.0
2000-03-06,3400,3600,3390,3410,34900,27280.0,800000.0
2000-03-07,3610,3610,3310,3310,37400,26480.0,800000.0
2000-03-08,3210,3400,3210,3220,134700,25760.0,800000.0
2000-03-09,3320,3600,3220,3400,413800,27200.0,800000.0
2000-03-10,3510,3700,3400,3700,200100,29600.0,800000.0
2000-03-13,4255,4255,4225,4255,209900,34040.0,800000.0
2000-03-14,4890,4890,4800,4890,251900,39120.0,800000.0
2000-03-15,5010,5620,4410,5100,554900,40800.0,800000.0
2000-03-16,5000,5000,4600,4750,123200,38000.0,800000.0
2000-03-17,4900,5100,4550,4605,111900,36840.0,800000.0
2000-03-20,4300,4600,4250,4600,265100,36800.0,800000.0
2000-03-21,4700,4700,4310,4310,87300,34480.0,800000.0
2000-03-22,4360,4600,4360,4520,85400,36160.0,800000.0
2000-03-23,4500,4520,4300,4300,46300,34400.0,800000.0
2000-03-24,4410,4800,4410,4780,56200,38240.0,800000.0
2000-03-27,4780,5250,4560,5050,85800,40400.0,800000.0
2000-03-28,4990,5040,4840,4885,31700,39080.0,800000.0
2000-03-29,4800,4800,4500,4500,35800,36000.0,800000.0
2000-03-30,4500,4650,4350,4480,33800,35840.0,800000.0
2000-03-31,4000,5140,4000,5140,51600,41120.0,800000.0
2000-04-03,4900,4950,4600,4600,39400,36800.0,800000.0
2000-04-04,4400,4600,4350,4580,30200,36640.0,800000.0
2000-04-06,4600,4600,4370,4370,19900,34960.0,800000.0
2000-04-07,4220,4530,4220,4400,10400,35200.0,800000.0
2000-04-10,4310,4450,4100,4390,22200,35120.0,800000.0
2000-04-11,4210,4500,4200,4350,16400,34800.0,800000.0
2000-04-12,4400,4400,4210,4220,8000,33760.0,800000.0
2000-04-14,4225,4225,4020,4200,16500,33600.0,800000.0
2000-04-17,3780,4000,3670,3675,25000,29400.0,800000.0
2000-04-18,3900,3900,3670,3860,37300,30880.0,800000.0
2000-04-19,3890,3920,3790,3810,26900,30480.0,800000.0
2000-04-20,3830,4045,3500,3810,29800,30480.0,800000.0
2000-04-21,3980,4050,3800,3890,265900,31120.0,800000.0
2000-04-24,4090,4200,3890,3910,142400,31280.0,800000.0
2000-04-25,3860,3860,3630,3700,47200,29600.0,800000.0
2000-04-26,3700,3840,3565,3575,39800,28600.0,800000.0
2000-04-27,3400,3550,3350,3500,66300,28000.0,800000.0
2000-04-28,3500,3720,3500,3720,40400,29760.0,800000.0
2000-05-02,3510,3730,3510,3650,19100,29200.0,800000.0
2000-05-03,3510,3700,3510,3655,13900,29240.0,800000.0
2000-05-04,3555,3730,3555,3655,20000,29240.0,800000.0
2000-05-08,3680,3900,3680,3730,34300,29840.0,800000.0
2000-05-09,3920,3950,3710,3825,49700,30600.0,800000.0
2000-05-10,3825,3950,3765,3950,26900,31600.0,800000.0
2000-05-12,4200,4200,3870,4000,48000,32000.0,800000.0
2000-05-15,3850,3980,3600,3880,29500,31040.0,800000.0
2000-05-16,3750,3850,3750,3770,10000,30160.0,800000.0
2000-05-17,3770,3940,3770,3780,44600,30240.0,800000.0
2000-05-18,3555,3600,3215,3215,120200,25720.0,800000.0
2000-05-19,3100,3390,3100,3295,25400,26360.0,800000.0
2000-05-22,3150,3200,2810,2950,34300,23600.0,800000.0
2000-05-23,2820,2820,2540,2550,86600,20400.0,800000.0
2000-05-24,2400,2665,2360,2600,50800,20800.0,800000.0
2000-05-25,2700,2985,2700,2900,73400,23200.0,800000.0
2000-05-26,2800,2850,2700,2710,44200,21680.0,800000.0
2000-05-29,2700,2890,2700,2750,38400,22000.0,800000.0
2000-05-30,2870,3000,2870,2995,42700,23960.0,800000.0
2000-05-31,3150,3310,3110,3310,50600,26480.0,800000.0
2000-06-01,3015,3330,3015,3200,13600,25600.0,800000.0
2000-06-02,3050,3350,3050,3250,35600,26000.0,800000.0
2000-06-05,3255,3700,3150,3700,136100,29600.0,800000.0
2000-06-07,3900,3900,3650,3705,234700,29640.0,800000.0
2000-06-08,3705,3705,3705,3705,0,29640.0,800000.0
2000-06-09,3705,3705,3705,3705,0,,
2000-06-12,3850,4200,3600,3600,159250,28800.0,8000000.0
2000-06-13,3620,3620,3250,3265,139320,26120.0,8000000.0
2000-06-14,3200,3545,3200,3320,84510,26560.0,8000000.0
2000-06-15,3150,3540,3150,3210,107020,25680.0,8000000.0
2000-06-16,3355,3440,3120,3135,88770,25080.0,8000000.0
2000-06-19,3040,3140,2910,3140,97460,25120.0,8000000.0
2000-06-20,3250,3290,3005,3050,74780,24400.0,8000000.0
2000-06-21,3050,3150,3020,3065,107480,24520.0,8000000.0
2000-06-22,3100,3100,2965,3095,165330,24760.0,8000000.0
2000-06-23,3000,3080,2980,3020,52970,24160.0,8000000.0
2000-06-26,3250,3470,3070,3470,281500,27760.0,8000000.0
2000-06-27,3700,3990,3700,3990,527270,31920.0,8000000.0
2000-06-28,4150,4300,3830,4010,473280,32080.0,8000000.0
2000-06-29,3820,4060,3800,3900,140120,31200.0,8000000.0
2000-06-30,3990,4100,3850,4000,147050,32000.0,8000000.0
2000-07-03,4100,4390,4010,4200,325240,33600.0,8000000.0
2000-07-04,4200,4250,3780,3870,164430,30960.0,8000000.0
2000-07-05,3800,3900,3620,3830,97160,30640.0,8000000.0
2000-07-06,3830,4100,3750,4000,152650,32000.0,8000000.0
2000-07-07,4000,4150,4000,4100,155150,32800.0,8000000.0
2000-07-10,4110,4190,3950,3950,83870,31600.0,8000000.0
2000-07-11,4040,4040,3710,3710,113700,29680.0,8000000.0
2000-07-12,3710,3800,3500,3500,92600,28000.0,8000000.0
2000-07-13,3600,3750,3550,3620,120050,28960.0,8000000.0
2000-07-14,3600,3690,3500,3550,37600,28400.0,8000000.0
2000-07-18,3550,3650,3480,3480,47530,27840.0,8000000.0
2000-07-19,3230,3480,3220,3220,82620,25760.0,8000000.0
2000-07-20,3300,3430,3250,3350,66650,26800.0,8000000.0
2000-07-21,3400,3650,3400,3640,113190,29120.0,8000000.0
2000-07-24,3700,3700,3210,3240,31590,25920.0,8000000.0
2000-07-25,3250,3500,3150,3330,87530,26640.0,8000000.0
2000-07-26,3210,3340,3210,3300,123720,26400.0,8000000.0
2000-07-27,3240,3300,3155,3300,94780,26400.0,8000000.0
2000-07-28,3150,3500,3150,3350,251990,26800.0,8000000.0
2000-07-31,3440,3850,3440,3850,833850,30800.0,8000000.0
2000-08-01,4200,4400,3745,3800,938950,30400.0,8000000.0
2000-08-02,3750,3910,3570,3850,276690,30800.0,8000000.0
2000-08-03,3860,3930,3700,3750,218360,30000.0,8000000.0
2000-08-04,3620,3800,3610,3700,122560,29600.0,8000000.0
2000-08-07,3590,3600,3410,3450,76940,27600.0,8000000.0
2000-08-08,3320,3600,3320,3450,83360,27600.0,8000000.0
2000-08-09,3405,3900,3405,3730,182620,29840.0,8000000.0
2000-08-10,3780,3780,3510,3610,55740,28880.0,8000000.0
2000-08-11,3650,4090,3595,3950,287010,31600.0,8000000.0
2000-08-14,3990,4150,3850,3900,278600,31200.0,8000000.0
2000-08-16,3900,4100,3770,4100,260890,32800.0,8000000.0
2000-08-17,4040,4240,3950,4030,169710,32240.0,8000000.0
2000-08-18,4080,4350,4010,4080,269990,32640.0,8000000.0
2000-08-21,4080,4300,4050,4200,205280,33600.0,8000000.0
2000-08-22,4280,4700,4220,4310,538740,34480.0,8000000.0
2000-08-23,4350,4360,3950,4100,160670,32800.0,8000000.0
2000-08-24,4010,4180,3970,4130,201240,33040.0,8000000.0
2000-08-25,4080,4130,3980,4040,96170,32320.0,8000000.0
2000-08-28,4000,4100,3950,4060,87700,32480.0,8000000.0
2000-08-29,4000,4240,4000,4150,151850,33200.0,8000000.0
2000-08-30,4150,4220,4050,4100,84880,32800.0,8000000.0
2000-08-31,4200,4200,3930,3970,79070,31760.0,8000000.0
2000-09-01,3900,4150,3900,4050,104460,32400.0,8000000.0
2000-09-04,3960,4310,3960,4310,149660,34480.0,8000000.0
2000-09-05,4300,4460,4245,4330,127890,34640.0,8000000.0
2000-09-06,4250,4520,4250,4400,141180,35200.0,8000000.0
2000-09-07,4500,4500,4270,4450,124490,35600.0,8000000.0
2000-09-08,4460,4460,4250,4250,53780,34000.0,8000000.0
2000-09-14,4220,4430,4160,4430,75050,35440.0,8000000.0
2000-09-15,4500,4500,3950,4100,89290,32800.0,8000000.0
2000-09-18,4010,4010,3500,3790,78520,30320.0,8000000.0
2000-09-19,3570,3790,3570,3620,45740,28960.0,8000000.0
2000-09-20,3700,3820,3560,3720,218700,29760.0,8000000.0
2000-09-21,3610,3750,3580,3650,46010,29200.0,8000000.0
2000-09-22,3600,3600,3350,3350,34160,26800.0,8000000.0
2000-09-25,3175,3490,3175,3400,40650,27200.0,8000000.0
2000-09-26,3750,3910,3750,3910,233930,31280.0,8000000.0
2000-09-27,3905,4030,3780,3910,170530,31280.0,8000000.0
2000-09-28,3900,3900,3730,3820,49750,30560.0,8000000.0
2000-09-29,3890,3900,3700,3900,106850,31200.0,8000000.0
2000-10-02,3950,4485,3900,4485,612330,35880.0,8000000.0
2000-10-04,4600,5150,4420,5100,1305360,40800.0,8000000.0
2000-10-05,5050,5380,4800,4850,789690,38800.0,8000000.0
