아시아나IDT(267850),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-01-09,11550,11700,11450,11550,37162,128205.0,11100000.0
2019-01-10,11650,11650,11300,11300,13709,125430.0,11100000.0
2019-01-11,11300,11500,11250,11250,26292,124875.0,11100000.0
2019-01-14,11300,11600,11250,11500,36775,127650.0,11100000.0
2019-01-15,11500,12000,11500,11900,46351,132090.0,11100000.0
2019-01-16,12000,12300,11700,12200,67253,135420.0,11100000.0
2019-01-17,12200,12300,12000,12000,19065,133200.0,11100000.0
2019-01-18,12000,12250,11950,12250,23803,135975.0,11100000.0
2019-01-21,12200,12250,11950,11950,33564,132645.0,11100000.0
2019-01-22,11950,12250,11850,12200,34324,135420.0,11100000.0
2019-01-23,12200,13200,12050,13100,192526,145410.0,11100000.0
2019-01-24,13150,13250,12800,13250,67144,147075.0,11100000.0
2019-01-25,13650,14650,13550,14000,372061,155400.0,11100000.0
2019-01-28,14550,14550,13950,14250,75999,158175.0,11100000.0
2019-01-29,14000,14800,13450,13750,117557,152625.0,11100000.0
2019-01-30,13550,14200,13450,13900,63330,154290.0,11100000.0
2019-01-31,13800,13900,13300,13550,65562,150405.0,11100000.0
2019-02-01,13450,14300,13100,14250,89471,158175.0,11100000.0
2019-02-07,14450,14450,13850,14250,51199,158175.0,11100000.0
2019-02-08,14200,14250,13750,13900,47340,154290.0,11100000.0
2019-02-11,13900,14900,13850,14750,195887,163725.0,11100000.0
2019-02-12,14800,15100,14250,14500,68520,160950.0,11100000.0
2019-02-13,14350,14600,14150,14500,32901,160950.0,11100000.0
2019-02-14,14500,14550,14100,14500,49664,160950.0,11100000.0
2019-02-15,14800,16000,14600,15500,315936,172050.0,11100000.0
2019-02-18,15550,16900,15550,16400,227576,182040.0,11100000.0
2019-02-19,16400,17900,16250,16950,195782,188145.0,11100000.0
2019-02-20,16850,16850,15600,16500,148339,183150.0,11100000.0
2019-02-21,16450,17000,15750,16200,83304,179820.0,11100000.0
2019-02-22,16350,16400,15550,16250,64672,180375.0,11100000.0
2019-02-25,16300,16400,15650,15950,55244,177045.0,11100000.0
2019-02-26,16100,16550,15500,16050,59608,178155.0,11100000.0
2019-02-27,16100,16350,15800,16150,51469,179265.0,11100000.0
2019-02-28,16150,16400,15800,15800,21635,175380.0,11100000.0
2019-03-04,15800,15850,14950,15450,110083,171495.0,11100000.0
2019-03-05,15450,15500,14600,15100,80360,167610.0,11100000.0
2019-03-06,14950,16550,14900,16250,152343,180375.0,11100000.0
2019-03-07,16450,17200,15700,15850,88785,175935.0,11100000.0
2019-03-08,15850,16550,15550,16350,77742,181485.0,11100000.0
2019-03-11,16350,16650,16150,16450,20569,182595.0,11100000.0
2019-03-12,16450,16750,16100,16400,26642,182040.0,11100000.0
2019-03-13,16500,16500,15700,16100,55601,178710.0,11100000.0
2019-03-14,15950,16350,15850,15950,33073,177045.0,11100000.0
2019-03-15,15950,16150,15550,15850,31970,175935.0,11100000.0
2019-03-18,15650,16050,15550,15850,28549,175935.0,11100000.0
2019-03-19,15650,16100,15500,15600,16573,173160.0,11100000.0
2019-03-20,15600,15750,15050,15600,50385,173160.0,11100000.0
2019-03-21,15950,15950,15000,15150,116573,168165.0,11100000.0
2019-03-22,14000,14000,12650,13000,1112078,144300.0,11100000.0
2019-03-25,12200,13700,12150,13450,683189,149295.0,11100000.0
2019-03-26,14000,14050,12700,13250,365412,147075.0,11100000.0
2019-03-27,13300,13550,12850,13350,185752,148185.0,11100000.0
2019-03-28,13300,14200,12350,12650,527922,140415.0,11100000.0
2019-03-29,12600,13450,12400,13250,211949,147075.0,11100000.0
2019-04-01,13400,13450,12750,12900,137571,143190.0,11100000.0
2019-04-02,12900,13100,12700,12900,74717,143190.0,11100000.0
2019-04-03,13000,13000,12550,12700,94576,140970.0,11100000.0
2019-04-04,12700,12900,12500,12600,157157,139860.0,11100000.0
2019-04-05,12600,12600,11800,11900,229157,132090.0,11100000.0
2019-04-08,11950,12200,11850,12000,76827,133200.0,11100000.0
2019-04-09,12100,12150,11850,11900,41206,132090.0,11100000.0
2019-04-10,11850,12200,11800,12100,79871,134310.0,11100000.0
2019-04-11,12650,15700,12250,15700,5677704,174270.0,11100000.0
2019-04-12,16500,19950,16300,17800,6100182,197580.0,11100000.0
2019-04-15,21050,23100,20300,23100,2129209,256410.0,11100000.0
2019-04-16,24500,30000,21900,23350,6653157,259185.0,11100000.0
2019-04-17,22250,22400,19100,19900,1820857,220890.0,11100000.0
2019-04-18,19150,20800,18450,19750,1612257,219225.0,11100000.0
2019-04-19,19600,21650,18750,19550,2876269,217005.0,11100000.0
2019-04-22,20150,20300,17850,18500,619971,205350.0,11100000.0
2019-04-23,18700,18700,17150,17600,343284,195360.0,11100000.0
2019-04-24,17400,17550,16600,16850,333371,187035.0,11100000.0
2019-04-25,16700,17250,16300,17050,304041,189255.0,11100000.0
2019-04-26,16800,17150,16300,16550,219566,183705.0,11100000.0
2019-04-29,16300,16350,15600,15950,140353,177045.0,11100000.0
2019-04-30,16000,16600,15850,16300,256696,180930.0,11100000.0
2019-05-02,16000,16300,15700,16300,150500,180930.0,11100000.0
2019-05-03,16300,16900,15950,16600,247463,184260.0,11100000.0
2019-05-07,15900,16550,15800,16100,138947,178710.0,11100000.0
2019-05-08,15800,15950,15100,15250,137294,169275.0,11100000.0
2019-05-09,15400,15950,14800,15250,266891,169275.0,11100000.0
2019-05-10,14950,15500,14850,15200,103231,168720.0,11100000.0
2019-05-13,15050,15700,14800,14850,151495,164835.0,11100000.0
2019-05-14,14500,15000,14300,15000,93747,166500.0,11100000.0
2019-05-15,15150,15550,14450,15150,141290,168165.0,11100000.0
2019-05-16,15250,16750,14950,16050,582372,178155.0,11100000.0
2019-05-17,16050,17300,15800,17050,717073,189255.0,11100000.0
2019-05-20,17400,17400,14800,15700,305248,174270.0,11100000.0
2019-05-21,15300,15650,14600,15000,226298,166500.0,11100000.0
2019-05-22,15000,15850,14800,15400,132601,170940.0,11100000.0
2019-05-23,15300,16150,14900,16050,130626,178155.0,11100000.0
2019-05-24,16100,18300,15850,16650,956038,184815.0,11100000.0
2019-05-27,16700,16950,16200,16750,235001,185925.0,11100000.0
2019-05-28,16800,17500,16350,16650,488596,184815.0,11100000.0
2019-05-29,16700,17100,16150,17000,266430,188700.0,11100000.0
2019-05-30,17200,22100,17000,22100,6266893,245310.0,11100000.0
2019-05-31,21500,23800,20000,20200,3894992,224220.0,11100000.0
2019-06-03,19850,22100,19600,21100,2049874,234210.0,11100000.0
2019-06-04,21000,25950,21000,23350,6726051,259185.0,11100000.0
2019-06-05,23450,24050,22900,23000,1073901,255300.0,11100000.0
2019-06-07,22850,23250,22100,22700,700751,251970.0,11100000.0
2019-06-10,22700,25150,22500,23050,1741200,255855.0,11100000.0
2019-06-11,23450,24300,22900,23000,473932,255300.0,11100000.0
2019-06-12,23000,23500,22550,22800,351575,253080.0,11100000.0
2019-06-13,22750,23800,22650,23200,280580,257520.0,11100000.0
2019-06-14,23200,24650,22950,23100,809537,256410.0,11100000.0
2019-06-17,23100,23450,21200,21250,387228,235875.0,11100000.0
2019-06-18,21300,22350,20650,21300,375370,236430.0,11100000.0
2019-06-19,21300,21750,21100,21400,159689,237540.0,11100000.0
2019-06-20,21300,23150,21100,22350,541309,248085.0,11100000.0
2019-06-21,22650,23250,22050,22400,435737,248640.0,11100000.0
2019-06-24,22200,22300,21600,21800,201174,241980.0,11100000.0
2019-06-25,21900,22100,20500,20750,213528,230325.0,11100000.0
2019-06-26,20650,20700,19700,20150,184838,223665.0,11100000.0
2019-06-27,20250,23850,19650,21750,2223692,241425.0,11100000.0
2019-06-28,21550,22950,21300,22000,648183,244200.0,11100000.0
2019-07-01,21900,22700,21300,22400,492486,248640.0,11100000.0
2019-07-02,22250,23000,22150,22250,438535,246975.0,11100000.0
2019-07-03,23900,25200,22250,22250,1802687,246975.0,11100000.0
2019-07-04,21700,24600,20900,22350,2795373,248085.0,11100000.0
2019-07-05,22100,22750,21600,22350,457273,248085.0,11100000.0
2019-07-08,22100,22650,21650,21650,230669,240315.0,11100000.0
2019-07-09,21400,22100,21000,21500,179138,238650.0,11100000.0
2019-07-10,21450,21950,21100,21100,107007,234210.0,11100000.0
2019-07-11,21500,22450,21500,22300,369272,247530.0,11100000.0
2019-07-12,22050,22600,21650,21700,208182,240870.0,11100000.0
2019-07-15,22050,22400,21300,22400,175530,248640.0,11100000.0
2019-07-16,22850,23100,22200,22400,434693,248640.0,11100000.0
2019-07-17,22500,22500,21550,21650,185841,240315.0,11100000.0
2019-07-18,21550,21550,20600,20600,132930,228660.0,11100000.0
2019-07-19,20700,22350,20650,21650,243426,240315.0,11100000.0
2019-07-22,21500,22150,21400,21800,111258,241980.0,11100000.0
2019-07-23,22350,22800,20150,22250,614054,246975.0,11100000.0
2019-07-24,22700,24800,21700,24800,1292512,275280.0,11100000.0
2019-07-25,24600,25350,21950,21950,947048,243645.0,11100000.0
2019-07-26,21500,25700,20550,22150,1996941,245865.0,11100000.0
2019-07-29,21500,24200,21450,22000,850021,244200.0,11100000.0
2019-07-30,21750,23250,21750,22400,347726,248640.0,11100000.0
2019-07-31,22600,22950,21900,22350,289569,248085.0,11100000.0
2019-08-01,22100,22900,21650,21900,332787,243090.0,11100000.0
2019-08-02,21500,22000,21050,21500,167503,238650.0,11100000.0
2019-08-05,21300,21650,18600,19050,313741,211455.0,11100000.0
2019-08-06,18000,19750,16150,17700,415002,196470.0,11100000.0
2019-08-07,17800,19550,17750,18800,269920,208680.0,11100000.0
2019-08-08,18950,20100,18950,19750,232755,219225.0,11100000.0
2019-08-09,19700,20900,19700,20350,169466,225885.0,11100000.0
2019-08-12,20000,20350,19800,20100,88938,223110.0,11100000.0
2019-08-13,20000,20100,19300,19550,84426,217005.0,11100000.0
2019-08-14,19900,20000,19350,19350,67233,214785.0,11100000.0
2019-08-16,18800,19150,18400,18650,102095,207015.0,11100000.0
2019-08-19,18950,23500,18950,20850,2829219,231435.0,11100000.0
2019-08-20,20500,22350,20300,20600,839276,228660.0,11100000.0
2019-08-21,20400,21150,20250,20350,325319,225885.0,11100000.0
2019-08-22,20600,20750,20250,20250,232408,224775.0,11100000.0
2019-08-23,19900,20500,19900,20300,125199,225330.0,11100000.0
2019-08-26,19700,20500,19100,19300,191760,214230.0,11100000.0
2019-08-27,19900,20800,19500,19950,289820,221445.0,11100000.0
2019-08-28,19750,20300,19750,19950,88881,221445.0,11100000.0
2019-08-29,19950,20400,19800,20050,96685,222555.0,11100000.0
2019-08-30,20250,21100,20250,20700,252783,229770.0,11100000.0
2019-09-02,20550,20700,20050,20350,135918,225885.0,11100000.0
2019-09-03,21900,22200,19300,19650,944835,218115.0,11100000.0
2019-09-04,19500,19500,18500,18900,230358,209790.0,11100000.0
2019-09-05,19300,19950,18950,19050,154936,211455.0,11100000.0
2019-09-06,18950,19150,18700,18950,84022,210345.0,11100000.0
2019-09-09,19050,19050,18400,18400,69369,204240.0,11100000.0
2019-09-10,18200,18550,18000,18300,60009,203130.0,11100000.0
2019-09-11,18050,18750,18050,18750,92188,208125.0,11100000.0
2019-09-16,18500,18800,18350,18400,52738,204240.0,11100000.0
2019-09-17,18200,18550,18000,18200,75767,202020.0,11100000.0
2019-09-18,18150,18200,17800,17800,71519,197580.0,11100000.0
2019-09-19,17650,18150,17650,17750,70537,197025.0,11100000.0
2019-09-20,17900,19100,17450,17950,178093,199245.0,11100000.0
2019-09-23,17900,18050,17650,17650,45557,195915.0,11100000.0
2019-09-24,17800,17850,17450,17500,43349,194250.0,11100000.0
2019-09-25,17500,17600,17050,17150,52737,190365.0,11100000.0
2019-09-26,17150,17400,17050,17200,34853,190920.0,11100000.0
2019-09-27,17000,17300,16950,17000,27013,188700.0,11100000.0
2019-09-30,16800,17350,16750,16800,33365,186480.0,11100000.0
2019-10-01,16700,16900,16550,16650,43765,184815.0,11100000.0
2019-10-02,16500,16650,16200,16400,46963,182040.0,11100000.0
2019-10-04,16150,16550,16050,16400,30944,182040.0,11100000.0
2019-10-07,16250,16500,16000,16150,43982,179265.0,11100000.0
