조선선재(120030),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-04-12,110000,112000,95000,95000,219813,119477.0,1257651.0
2010-04-13,98000,109000,96500,100000,412949,125765.0,1257651.0
2010-04-14,99000,99000,85000,85000,178376,106900.0,1257651.0
2010-04-15,73300,76000,72300,72300,58897,90928.0,1257651.0
2010-04-16,66700,77300,66200,71800,385074,90299.0,1257651.0
2010-04-19,72200,82500,72200,82300,302168,103505.0,1257651.0
2010-04-20,85400,85400,70500,71800,203013,90299.0,1257651.0
2010-04-21,72700,76900,71900,72500,87012,91180.0,1257651.0
2010-04-22,74000,74800,71100,72200,51520,90802.0,1257651.0
2010-04-23,72500,73500,61600,62300,106815,78352.0,1257651.0
2010-04-26,62300,64000,57100,59100,121362,74327.0,1257651.0
2010-04-27,60000,66500,58300,62600,178235,78729.0,1257651.0
2010-04-28,60500,62300,59000,59300,54062,74579.0,1257651.0
2010-04-29,61000,62700,59300,60600,43639,76214.0,1257651.0
2010-04-30,61800,64500,58300,59300,68076,74579.0,1257651.0
2010-05-03,59300,60000,53100,55300,50929,69548.0,1257651.0
2010-05-04,56500,63500,56500,63500,198583,79861.0,1257651.0
2010-05-06,63500,73000,60200,73000,206966,91809.0,1257651.0
2010-05-07,78000,83900,75600,83900,119241,105517.0,1257651.0
2010-05-10,96000,96400,75700,77800,546972,97845.0,1257651.0
2010-05-11,79100,83800,74100,77500,236255,97468.0,1257651.0
2010-05-12,78400,80900,70000,70000,128688,88036.0,1257651.0
2010-05-13,69400,73000,66600,69500,138790,87407.0,1257651.0
2010-05-14,72000,79200,70900,73000,232345,91809.0,1257651.0
2010-05-17,73000,78700,70800,72400,96548,91054.0,1257651.0
2010-05-18,74400,74500,66700,67200,70999,84514.0,1257651.0
2010-05-19,67000,68000,62000,62300,58720,78352.0,1257651.0
2010-05-20,60100,68500,59600,61000,87793,76717.0,1257651.0
2010-05-24,60000,63100,60000,61500,34552,77346.0,1257651.0
2010-05-25,60100,62100,53800,58000,55485,72944.0,1257651.0
2010-05-26,58000,62700,57800,60100,43879,75585.0,1257651.0
2010-05-27,60000,67900,59100,64500,142646,81118.0,1257651.0
2010-05-28,66800,66900,61600,61700,60791,77597.0,1257651.0
2010-05-31,62200,64500,61500,62100,34444,78100.0,1257651.0
2010-06-01,62200,64200,61100,61700,38864,77597.0,1257651.0
2010-06-03,62100,63300,61600,61800,28322,77723.0,1257651.0
2010-06-04,62100,62500,60700,60800,25629,76465.0,1257651.0
2010-06-07,59000,59700,58000,58800,20303,73950.0,1257651.0
2010-06-08,58600,61700,58300,59200,19372,74453.0,1257651.0
2010-06-09,59900,60700,58000,58200,25448,73195.0,1257651.0
2010-06-10,58200,59600,57600,59200,29827,74453.0,1257651.0
2010-06-11,60300,67000,59400,61600,134977,77471.0,1257651.0
2010-06-14,61700,62800,60200,60500,27703,76088.0,1257651.0
2010-06-15,60900,61400,59900,61000,18523,76717.0,1257651.0
2010-06-16,61900,63300,60100,60400,24936,75962.0,1257651.0
2010-06-17,60500,60600,59500,59900,17552,75333.0,1257651.0
2010-06-18,59900,60400,59300,59700,12072,75082.0,1257651.0
2010-06-21,60100,60500,59500,59600,13081,74956.0,1257651.0
2010-06-22,59300,60000,58200,58900,18199,74076.0,1257651.0
2010-06-23,58600,58800,57600,57900,15701,72818.0,1257651.0
2010-06-24,57800,60000,57600,58500,18071,73573.0,1257651.0
2010-06-25,58100,58800,57600,58000,7841,72944.0,1257651.0
2010-06-28,56700,57500,56700,56900,19393,71560.0,1257651.0
2010-06-29,57400,58400,55300,55700,12566,70051.0,1257651.0
2010-06-30,54300,55000,52500,54000,15012,67913.0,1257651.0
2010-07-01,54600,57300,53800,54300,18962,68290.0,1257651.0
2010-07-02,54300,55300,46200,52000,28295,65398.0,1257651.0
2010-07-05,52000,52900,49400,49450,19324,62191.0,1257651.0
2010-07-06,49550,50300,48600,49250,9299,61939.0,1257651.0
2010-07-07,49100,49150,46400,46550,26468,58544.0,1257651.0
2010-07-08,46700,49200,46550,47200,25643,59361.0,1257651.0
2010-07-09,48400,54200,47450,54200,62238,68165.0,1257651.0
2010-07-12,61000,62300,60000,62300,79314,78352.0,1257651.0
2010-07-13,70000,71600,65000,71600,272454,90048.0,1257651.0
2010-07-14,71600,82000,67100,74000,337811,93066.0,1257651.0
2010-07-15,76800,79900,71000,74200,222390,93318.0,1257651.0
2010-07-16,74300,77300,63100,63100,192796,79358.0,1257651.0
2010-07-19,62000,71600,58800,67700,255506,85143.0,1257651.0
2010-07-20,67700,72400,64400,65400,121117,82250.0,1257651.0
2010-07-21,66900,69000,64900,65800,61602,82753.0,1257651.0
2010-07-22,66300,67500,63100,63200,45333,79484.0,1257651.0
2010-07-23,65000,66500,62100,63100,37437,79358.0,1257651.0
2010-07-26,64000,65200,62700,63500,26978,79861.0,1257651.0
2010-07-27,63500,64400,61300,61700,39373,77597.0,1257651.0
2010-07-28,61800,62100,59900,60500,36946,76088.0,1257651.0
2010-07-29,60900,69500,59200,69500,173815,87407.0,1257651.0
2010-07-30,77000,79800,72500,76200,277477,95833.0,1257651.0
2010-08-02,77000,78600,65200,66800,181001,84011.0,1257651.0
2010-08-03,67500,74000,67500,69900,143667,87910.0,1257651.0
2010-08-04,70400,71800,66200,67500,69970,84891.0,1257651.0
2010-08-05,68100,72000,67200,68800,75174,86526.0,1257651.0
2010-08-06,70100,71000,67100,67700,40111,85143.0,1257651.0
2010-08-09,68600,68800,65600,67100,26879,84388.0,1257651.0
2010-08-10,67300,73800,66100,68100,139979,85646.0,1257651.0
2010-08-11,70000,71700,67000,67300,64372,84640.0,1257651.0
2010-08-12,67200,69000,65800,67400,30202,84766.0,1257651.0
2010-08-13,68000,69800,67100,67500,34185,84891.0,1257651.0
2010-08-16,68700,68700,66100,66600,18093,83760.0,1257651.0
2010-08-17,67200,69600,66700,66800,29303,84011.0,1257651.0
2010-08-18,67500,68400,66300,67000,46147,84263.0,1257651.0
2010-08-19,67500,68200,66700,66900,26657,84137.0,1257651.0
2010-08-20,67000,67000,65700,66100,20542,83131.0,1257651.0
2010-08-23,66300,66500,64000,64100,26450,80615.0,1257651.0
2010-08-24,64100,69500,63500,65400,59498,82250.0,1257651.0
2010-08-25,65400,66800,64000,64000,18268,80490.0,1257651.0
2010-08-26,65100,65500,63000,63200,12488,79484.0,1257651.0
2010-08-27,62000,65000,62000,63000,15104,79232.0,1257651.0
2010-08-30,63600,66300,63500,63600,21405,79987.0,1257651.0
2010-08-31,63600,65400,62600,63600,14859,79987.0,1257651.0
2010-09-01,63700,64400,63000,63600,13689,79987.0,1257651.0
2010-09-02,63900,65500,63300,63600,19673,79987.0,1257651.0
2010-09-03,63800,64500,63200,63500,13981,79861.0,1257651.0
2010-09-06,63600,64300,63000,64000,9766,80490.0,1257651.0
2010-09-07,64500,64700,63000,63300,12407,79609.0,1257651.0
2010-09-08,63100,63200,62000,62100,13538,78100.0,1257651.0
2010-09-09,62300,63600,61700,62000,12564,77974.0,1257651.0
2010-09-10,62000,62900,61600,61700,10770,77597.0,1257651.0
2010-09-13,62200,63500,61000,62200,23589,78226.0,1257651.0
2010-09-14,62600,63200,61600,61600,13121,77471.0,1257651.0
2010-09-15,61700,61700,60100,60200,14328,75711.0,1257651.0
2010-09-16,60200,69200,59600,69200,114507,87029.0,1257651.0
2010-09-17,73000,75900,63600,63700,201219,80112.0,1257651.0
2010-09-20,64600,66500,63300,64200,37519,80741.0,1257651.0
2010-09-24,64200,64700,62500,63000,21147,79232.0,1257651.0
2010-09-27,62900,64000,62600,62800,18100,78980.0,1257651.0
2010-09-28,63500,71300,62600,64300,115270,80867.0,1257651.0
2010-09-29,66000,67700,64600,66000,51287,83005.0,1257651.0
2010-09-30,66600,68400,65100,65700,21200,82628.0,1257651.0
2010-10-01,65700,68000,65000,65000,23175,81747.0,1257651.0
2010-10-04,65700,66200,64800,65100,17178,81873.0,1257651.0
2010-10-05,65600,67000,64700,65000,16323,81747.0,1257651.0
2010-10-06,65100,65800,64600,65000,15180,81747.0,1257651.0
2010-10-07,65500,65500,64500,64500,13037,81118.0,1257651.0
2010-10-08,64500,65000,64000,64300,10378,80867.0,1257651.0
2010-10-11,64300,67500,64300,64800,36675,81496.0,1257651.0
2010-10-12,65300,65700,64000,64100,12427,80615.0,1257651.0
2010-10-13,64100,64600,63000,64000,14074,80490.0,1257651.0
2010-10-14,64200,64200,63000,63500,18813,79861.0,1257651.0
2010-10-15,63900,64200,63000,63500,10610,79861.0,1257651.0
2010-10-18,63500,63900,63300,63500,8215,79861.0,1257651.0
2010-10-19,63600,63600,62700,62800,9064,78980.0,1257651.0
2010-10-20,62000,66200,62000,63700,27414,80112.0,1257651.0
2010-10-21,63800,64000,62800,62900,13168,79106.0,1257651.0
2010-10-22,62900,63500,62600,62700,8601,78855.0,1257651.0
2010-10-25,63000,63500,62700,63000,12257,79232.0,1257651.0
2010-10-26,63500,63500,62700,62700,9182,78855.0,1257651.0
2010-10-27,63300,63400,62100,62300,9594,78352.0,1257651.0
2010-10-28,62900,63600,62100,62500,11045,78603.0,1257651.0
2010-10-29,63000,63000,61500,62200,9124,78226.0,1257651.0
2010-11-01,62700,62700,61000,61200,10334,76968.0,1257651.0
2010-11-02,61200,61500,60500,60800,10961,76465.0,1257651.0
2010-11-03,61400,63100,60500,60900,22752,76591.0,1257651.0
2010-11-04,60700,61300,60500,60900,10825,76591.0,1257651.0
2010-11-05,61500,66500,61000,61500,86774,77346.0,1257651.0
2010-11-08,62000,62500,60600,60900,17119,76591.0,1257651.0
2010-11-09,61000,61300,60100,60500,13248,76088.0,1257651.0
2010-11-10,60100,60900,60100,60400,7222,75962.0,1257651.0
2010-11-11,60500,61800,60200,60600,15736,76214.0,1257651.0
2010-11-12,60200,61000,58300,59000,15002,74201.0,1257651.0
2010-11-15,58600,59000,55000,55000,20003,69171.0,1257651.0
2010-11-16,55100,56000,53000,53200,13928,66907.0,1257651.0
2010-11-17,52000,55000,52000,53900,12999,67787.0,1257651.0
2010-11-18,53900,57500,53900,55800,15144,70177.0,1257651.0
2010-11-19,55900,57200,55400,55400,7137,69674.0,1257651.0
2010-11-22,55400,56000,54100,55000,8330,69171.0,1257651.0
2010-11-23,54600,55800,53300,53800,7423,67662.0,1257651.0
2010-11-24,49000,52700,48000,52600,10132,66152.0,1257651.0
2010-11-25,53000,54000,51500,52200,8199,65649.0,1257651.0
2010-11-26,52500,52500,49700,50100,11058,63008.0,1257651.0
2010-11-29,52300,52300,48600,49900,4894,62757.0,1257651.0
2010-11-30,50000,50900,49600,50400,4880,63386.0,1257651.0
2010-12-01,50600,50600,49900,50400,4244,63386.0,1257651.0
2010-12-02,50800,53000,50800,52000,14380,65398.0,1257651.0
2010-12-03,52000,52800,51100,51500,5277,64769.0,1257651.0
2010-12-06,51100,52000,50100,50500,6178,63511.0,1257651.0
2010-12-07,50000,51200,50000,50400,4979,63386.0,1257651.0
2010-12-08,50500,51300,49900,50000,5568,62883.0,1257651.0
2010-12-09,50200,51000,49950,50200,5148,63134.0,1257651.0
2010-12-10,50000,51200,50000,50000,6072,62883.0,1257651.0
2010-12-13,50200,50900,50200,50500,6096,63511.0,1257651.0
2010-12-14,50800,58000,50700,58000,89387,72944.0,1257651.0
2010-12-15,62000,62100,53600,54700,108098,68794.0,1257651.0
2010-12-16,55800,56500,53700,55300,28396,69548.0,1257651.0
2010-12-17,55000,55000,53000,53300,14348,67033.0,1257651.0
2010-12-20,52500,52500,50500,50800,13862,63889.0,1257651.0
2010-12-21,51100,53300,51100,52400,11725,65901.0,1257651.0
2010-12-22,52200,53300,51000,51700,6142,65021.0,1257651.0
2010-12-23,51900,52000,51100,51300,4480,64517.0,1257651.0
2010-12-24,52100,57000,51500,52900,33961,66530.0,1257651.0
2010-12-27,52100,52800,51200,51500,9526,64769.0,1257651.0
2010-12-28,51300,53700,51300,51600,10378,64895.0,1257651.0
2010-12-29,51800,52700,51300,51500,6195,64769.0,1257651.0
2010-12-30,52500,52500,51500,52000,3797,65398.0,1257651.0
2011-01-03,52500,53300,52000,52000,8924,65398.0,1257651.0
2011-01-04,52600,52600,51700,52000,8205,65398.0,1257651.0
2011-01-05,52200,52500,51300,51800,13752,65146.0,1257651.0
2011-01-06,51600,52000,51000,51100,10045,64266.0,1257651.0
2011-01-07,51100,54500,51000,51500,25342,64769.0,1257651.0
2011-01-10,51500,52500,51200,51500,8223,64769.0,1257651.0
2011-01-11,51700,52300,50500,51500,7571,64769.0,1257651.0
2011-01-12,51900,51900,50900,50900,8845,64014.0,1257651.0
2011-01-13,51400,51800,50600,51300,8052,64517.0,1257651.0
2011-01-14,50800,51500,50700,51000,6668,64140.0,1257651.0
2011-01-17,51400,51700,50600,50900,7035,64014.0,1257651.0
2011-01-18,50200,51200,50200,50800,3303,63889.0,1257651.0
2011-01-19,50700,52000,50700,50800,5569,63889.0,1257651.0
2011-01-20,50900,51400,50600,50900,3317,64014.0,1257651.0
2011-01-21,51400,51800,50000,50300,7477,63260.0,1257651.0
2011-01-24,50500,51200,50000,50500,5059,63511.0,1257651.0
2011-01-25,51200,51200,49800,50000,8207,62883.0,1257651.0
2011-01-26,50900,50900,49800,50000,4574,62883.0,1257651.0
2011-01-27,49200,50000,49150,49500,7940,62254.0,1257651.0
2011-01-28,49100,49200,48200,48350,7208,60807.0,1257651.0
2011-01-31,49000,49000,46500,47500,4748,59738.0,1257651.0
2011-02-01,46050,48300,46050,46700,3949,58732.0,1257651.0
2011-02-07,46800,48250,46800,47350,2620,59550.0,1257651.0
2011-02-08,46850,48100,46850,47750,3260,60053.0,1257651.0
2011-02-09,47350,48000,46800,47350,2819,59550.0,1257651.0
2011-02-10,46300,47450,46300,46350,3066,58292.0,1257651.0
2011-02-11,49000,53000,47100,50200,57833,63134.0,1257651.0
2011-02-14,51300,53000,45000,47150,35149,59298.0,1257651.0
2011-02-15,47550,47600,45100,46000,13739,57852.0,1257651.0
2011-02-16,46100,46100,45000,45100,10310,56720.0,1257651.0
2011-02-17,45100,45500,43550,43750,10444,55022.0,1257651.0
2011-02-18,43700,46200,43700,44400,12425,55840.0,1257651.0
2011-02-21,44450,45000,43500,44000,6906,55337.0,1257651.0
2011-02-22,43500,43650,42900,43100,5949,54205.0,1257651.0
2011-02-23,43550,43550,42650,42800,3628,53827.0,1257651.0
2011-02-24,42800,43400,42200,43000,3513,54079.0,1257651.0
2011-02-25,42200,43050,42150,42400,3206,53324.0,1257651.0
2011-02-28,41200,43750,40600,40900,5397,51438.0,1257651.0
2011-03-02,41900,41900,40100,40700,2731,51186.0,1257651.0
2011-03-03,40350,41400,40350,40700,4155,51186.0,1257651.0
2011-03-04,40700,43900,40700,42400,10275,53324.0,1257651.0
2011-03-07,43200,43950,42250,42500,6947,53450.0,1257651.0
2011-03-08,42400,43350,41900,42450,3146,53387.0,1257651.0
2011-03-09,43350,48800,43100,48800,42549,61373.0,1257651.0
2011-03-10,52300,56100,50500,56100,114744,70554.0,1257651.0
2011-03-11,57000,58100,50100,52200,107986,65649.0,1257651.0
2011-03-14,50900,50900,45500,46950,47430,59047.0,1257651.0
2011-03-15,46950,50900,40650,43350,55062,54519.0,1257651.0
2011-03-16,43050,45700,43050,44000,22942,55337.0,1257651.0
2011-03-17,42000,43500,41300,42400,19970,53324.0,1257651.0
2011-03-18,43000,44900,43000,43500,17063,54708.0,1257651.0
2011-03-21,43650,46000,43650,45500,21676,57223.0,1257651.0
2011-03-22,46100,46100,44000,44800,17000,56343.0,1257651.0
2011-03-23,44400,45050,43700,44150,7171,55525.0,1257651.0
2011-03-24,44200,47400,44200,45200,22211,56846.0,1257651.0
2011-03-25,45900,46300,45000,45300,6560,56972.0,1257651.0
2011-03-28,45450,45450,43750,44150,13657,55525.0,1257651.0
2011-03-29,44150,45000,43900,44450,7743,55903.0,1257651.0
2011-03-30,43950,44850,43950,44050,5157,55400.0,1257651.0
2011-03-31,44100,45800,44100,45300,11572,56972.0,1257651.0
2011-04-01,45000,45800,44800,45450,6935,57160.0,1257651.0
2011-04-04,45800,45850,44500,45200,6827,56846.0,1257651.0
2011-04-05,44950,45350,44900,45300,4836,56972.0,1257651.0
2011-04-06,45500,52000,45400,52000,59138,65398.0,1257651.0
2011-04-07,53500,55200,47500,47750,75001,60053.0,1257651.0
2011-04-08,48000,50200,46500,47550,27057,59801.0,1257651.0
2011-04-11,48200,53800,48200,50100,63275,63008.0,1257651.0
2011-04-12,50500,51500,48600,49000,20967,61625.0,1257651.0
2011-04-13,48900,49100,47800,48600,11561,61122.0,1257651.0
2011-04-14,48300,49900,48000,49000,14348,61625.0,1257651.0
2011-04-15,48550,50500,48550,48700,11400,61248.0,1257651.0
2011-04-18,49050,54200,49050,51800,94837,65146.0,1257651.0
2011-04-19,51700,51700,48750,48750,28342,61310.0,1257651.0
2011-04-20,49100,49350,48300,48750,16073,61310.0,1257651.0
2011-04-21,48850,50400,48200,48300,25955,60745.0,1257651.0
2011-04-22,48300,48500,47150,47500,13317,59738.0,1257651.0
2011-04-25,48850,48850,47150,47350,7465,59550.0,1257651.0
2011-04-26,47950,47950,46250,46400,14923,58355.0,1257651.0
2011-04-27,46450,46900,45200,45800,11777,57600.0,1257651.0
2011-04-28,45150,47150,45150,45800,11688,57600.0,1257651.0
2011-04-29,45900,47300,45600,45650,11053,57412.0,1257651.0
2011-05-02,45650,46650,45650,45850,5130,57663.0,1257651.0
2011-05-03,45600,46450,45000,45100,16020,56720.0,1257651.0
2011-05-04,45000,45300,44000,44400,9816,55840.0,1257651.0
2011-05-06,44900,44900,43550,43650,12212,54896.0,1257651.0
2011-05-09,43500,46900,43500,45650,43258,57412.0,1257651.0
2011-05-11,46000,46700,42300,44000,21023,55337.0,1257651.0
2011-05-12,43600,44700,43600,43950,4992,55274.0,1257651.0
2011-05-13,43950,44350,43350,43500,10413,54708.0,1257651.0
2011-05-16,42800,43400,42500,43000,9014,54079.0,1257651.0
2011-05-17,43000,44000,42000,42450,7490,53387.0,1257651.0
2011-05-18,42450,43000,42350,42600,8106,53576.0,1257651.0
2011-05-19,42600,42850,41400,41650,8201,52381.0,1257651.0
2011-05-20,41500,42400,41250,41450,4416,52130.0,1257651.0
2011-05-23,41700,42750,40500,40800,9965,51312.0,1257651.0
2011-05-24,40000,41000,39700,40200,8259,50558.0,1257651.0
2011-05-25,40850,40950,39800,39850,16887,50117.0,1257651.0
2011-05-26,40350,40400,39350,39850,10044,50117.0,1257651.0
2011-05-27,40300,40350,39500,39700,12275,49929.0,1257651.0
2011-05-30,40500,40500,39250,39750,8780,49992.0,1257651.0
2011-05-31,40000,40300,39100,39350,11926,49489.0,1257651.0
2011-06-01,39350,39950,39000,39200,11319,49300.0,1257651.0
2011-06-02,38800,39000,38050,38300,10952,48168.0,1257651.0
2011-06-03,38150,40700,37500,38500,13539,48420.0,1257651.0
2011-06-07,38100,39300,37500,37700,6932,47413.0,1257651.0
2011-06-08,38200,38300,37550,38000,4113,47791.0,1257651.0
2011-06-09,38000,39300,37600,38300,5163,48168.0,1257651.0
2011-06-10,38900,39200,37850,37850,4026,47602.0,1257651.0
2011-06-13,37150,37550,35900,36600,8488,46030.0,1257651.0
2011-06-14,35050,37200,34850,35600,7755,44772.0,1257651.0
2011-06-15,36000,37100,35800,36200,6161,45527.0,1257651.0
2011-06-16,35700,36750,35700,36200,4823,45527.0,1257651.0
2011-06-17,36200,36750,35000,36000,6520,45275.0,1257651.0
2011-06-20,35950,36700,35500,35950,4560,45213.0,1257651.0
2011-06-21,36000,36250,35150,36000,8630,45275.0,1257651.0
2011-06-22,36800,40700,36150,37600,60238,47288.0,1257651.0
2011-06-23,38000,39500,37650,38400,15340,48294.0,1257651.0
2011-06-24,38900,38900,37400,37950,9622,47728.0,1257651.0
2011-06-27,37950,37950,37050,37150,5055,46722.0,1257651.0
2011-06-28,37000,38100,36800,37250,7325,46847.0,1257651.0
2011-06-29,37400,39200,37200,37500,12142,47162.0,1257651.0
2011-06-30,37800,38500,37100,37500,8928,47162.0,1257651.0
2011-07-01,38150,39450,37700,38000,11000,47791.0,1257651.0
2011-07-04,38100,38800,37800,38350,4416,48231.0,1257651.0
2011-07-05,38250,38400,37500,38100,5143,47917.0,1257651.0
2011-07-06,38150,38150,37600,38000,5524,47791.0,1257651.0
2011-07-07,38100,39100,37550,38500,12250,48420.0,1257651.0
2011-07-08,39150,40000,38300,38850,16838,48860.0,1257651.0
2011-07-11,38850,39850,38200,38600,7130,48545.0,1257651.0
2011-07-12,38600,38600,37000,37050,10119,46596.0,1257651.0
2011-07-13,37600,37600,36850,36850,5356,46344.0,1257651.0
2011-07-14,36900,37700,36400,37150,5990,46722.0,1257651.0
2011-07-15,37150,37700,36550,37100,4170,46659.0,1257651.0
2011-07-18,37600,37600,36800,37100,5006,46659.0,1257651.0
2011-07-19,36900,37300,36600,36700,8825,46156.0,1257651.0
2011-07-20,37600,42200,37600,42200,130942,53073.0,1257651.0
2011-07-21,42600,42650,38700,39150,74325,49237.0,1257651.0
2011-07-22,39250,41900,39250,39300,56677,49426.0,1257651.0
2011-07-25,40000,40250,38400,38900,17348,48923.0,1257651.0
2011-07-26,38900,39300,38150,38750,18552,48734.0,1257651.0
2011-07-27,39000,39000,37700,38200,16833,48042.0,1257651.0
2011-07-28,37850,38700,37450,38350,12736,48231.0,1257651.0
2011-07-29,38700,38700,37900,38100,9100,47917.0,1257651.0
2011-08-01,38500,39700,38100,39200,10091,49300.0,1257651.0
2011-08-02,39500,39500,38200,38500,8741,48420.0,1257651.0
2011-08-03,37600,37850,37100,37700,11539,47413.0,1257651.0
2011-08-04,38250,38250,37000,37200,9616,46785.0,1257651.0
2011-08-05,35000,35050,33100,33450,22298,42068.0,1257651.0
2011-08-08,33000,33450,28500,30300,27381,38107.0,1257651.0
2011-08-09,27600,29150,25800,27300,22998,34334.0,1257651.0
2011-08-10,29400,30850,28450,29550,22069,37164.0,1257651.0
2011-08-11,27450,30550,26000,30000,13998,37730.0,1257651.0
2011-08-12,31100,32300,30000,30100,15051,37855.0,1257651.0
2011-08-16,31800,32500,30750,32000,7570,40245.0,1257651.0
2011-08-17,32000,33900,32000,32700,9119,41125.0,1257651.0
2011-08-18,32800,33400,31000,31600,9350,39742.0,1257651.0
2011-08-19,30000,30250,29000,29000,9624,36472.0,1257651.0
2011-08-22,28500,30200,27500,28000,9955,35214.0,1257651.0
2011-08-23,29150,30000,28350,29450,5804,37038.0,1257651.0
2011-08-24,30150,30500,27000,28900,9000,36346.0,1257651.0
2011-08-25,29700,30200,29000,29700,5120,37352.0,1257651.0
2011-08-26,29500,29950,29000,29350,4465,36912.0,1257651.0
2011-08-29,29400,30500,29400,30450,7455,38295.0,1257651.0
2011-08-30,30850,32350,30350,30850,9395,38799.0,1257651.0
2011-08-31,30850,31350,29700,30850,4982,38799.0,1257651.0
2011-09-01,31000,31800,30900,31150,10260,39176.0,1257651.0
2011-09-02,30550,31150,30200,30650,5020,38547.0,1257651.0
2011-09-05,30250,30300,29350,29350,7650,36912.0,1257651.0
2011-09-06,29350,33750,28400,33750,58798,42446.0,1257651.0
2011-09-07,35250,35400,32100,32950,48747,41440.0,1257651.0
2011-09-08,33550,37850,33100,35500,112143,44647.0,1257651.0
2011-09-09,37000,39900,35000,35550,70522,44709.0,1257651.0
2011-09-14,35600,36150,31700,31800,39569,39993.0,1257651.0
2011-09-15,33000,33850,31800,32350,16119,40685.0,1257651.0
2011-09-16,33500,34100,32400,33350,22794,41943.0,1257651.0
2011-09-19,32850,33000,31950,32000,13710,40245.0,1257651.0
2011-09-20,31100,32500,30550,31300,12110,39364.0,1257651.0
2011-09-21,31100,32850,31000,31750,10445,39930.0,1257651.0
2011-09-22,31400,31500,30050,30500,16870,38358.0,1257651.0
2011-09-23,28850,28900,28000,28050,17700,35277.0,1257651.0
2011-09-26,28100,28550,25050,26150,13665,32888.0,1257651.0
2011-09-27,26000,27750,26000,27750,11674,34900.0,1257651.0
2011-09-28,28050,28500,27850,28300,10511,35592.0,1257651.0
2011-09-29,27850,28450,27350,28350,4392,35654.0,1257651.0
2011-09-30,28150,29300,28000,29100,9938,36598.0,1257651.0
2011-10-04,27100,28300,26500,28100,5765,35340.0,1257651.0
2011-10-05,28000,28900,27150,27350,4084,34397.0,1257651.0
2011-10-06,28350,28800,27700,28400,3720,35717.0,1257651.0
2011-10-07,28900,29900,28600,28800,5720,36220.0,1257651.0
2011-10-10,28800,29650,28550,29000,6050,36472.0,1257651.0
2011-10-11,29900,30700,29300,29850,9640,37541.0,1257651.0
2011-10-12,29850,30250,28600,29550,5820,37164.0,1257651.0
2011-10-13,29700,30500,29700,29850,10284,37541.0,1257651.0
2011-10-14,29550,29900,29200,29600,3940,37226.0,1257651.0
2011-10-17,30400,30700,29700,30200,6307,37981.0,1257651.0
2011-10-18,29200,29700,29000,29300,6231,36849.0,1257651.0
2011-10-19,29650,30050,29050,29350,6450,36912.0,1257651.0
2011-10-20,29350,30450,29000,29000,8508,36472.0,1257651.0
2011-10-21,29050,29950,29000,29300,2991,36849.0,1257651.0
2011-10-24,29700,30600,29700,29900,6148,37604.0,1257651.0
2011-10-25,29900,34350,29800,34350,60421,43200.0,1257651.0
2011-10-26,35900,39500,35100,39500,109107,49677.0,1257651.0
2011-10-27,42500,45400,42000,45400,170381,57097.0,1257651.0
2011-10-28,47000,52000,43050,48950,282687,61562.0,1257651.0
