비상교육(100220),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-09-25,16470,16470,15559,15788,4300,203653.0,9791000.0
2008-09-26,15939,15939,15559,15598,6240,201205.0,9791000.0
2008-09-29,15863,15863,15332,15598,4570,201205.0,9791000.0
2008-09-30,14156,15712,14042,15712,8870,202674.0,9791000.0
2008-10-01,16091,16091,15256,15333,2000,197778.0,9791000.0
2008-10-02,15332,15559,15066,15181,2885,195820.0,9791000.0
2008-10-06,15370,15370,14042,14118,3338,182113.0,9791000.0
2008-10-07,14952,14952,13586,14346,1580,185050.0,9791000.0
2008-10-08,14345,14611,13662,13700,1836,176728.0,9791000.0
2008-10-09,13093,13965,13093,13777,1842,177707.0,9791000.0
2008-10-10,13282,13358,12144,13283,8596,171342.0,9791000.0
2008-10-13,13624,13965,13055,13321,3310,171832.0,9791000.0
2008-10-14,14042,14231,13358,13967,17189,180154.0,9791000.0
2008-10-15,13928,13928,13510,13853,2500,178686.0,9791000.0
2008-10-16,13093,13700,12751,12904,7210,166447.0,9791000.0
2008-10-17,13282,13624,12600,12638,6054,163020.0,9791000.0
2008-10-20,13207,13207,12068,12183,6692,157146.0,9791000.0
2008-10-21,12827,12827,11916,11955,6031,154208.0,9791000.0
2008-10-22,11992,12030,11385,11576,5850,149313.0,9791000.0
2008-10-23,11233,11309,9904,10855,7730,140011.0,9791000.0
2008-10-24,11157,11157,9260,9260,2970,119450.0,9791000.0
2008-10-27,9260,9260,7893,7894,22560,101826.0,9791000.0
2008-10-28,7339,9069,6831,8274,9511,106722.0,9791000.0
2008-10-29,8501,9108,7522,7553,8310,97420.0,9791000.0
2008-10-30,7969,8652,7741,8653,8146,111617.0,9791000.0
2008-10-31,8804,9943,8652,9867,9910,127283.0,9791000.0
2008-11-03,9867,10778,9487,10437,4585,134626.0,9791000.0
2008-11-04,10625,10702,9715,10399,19780,134137.0,9791000.0
2008-11-05,10398,10853,9981,10399,6620,134137.0,9791000.0
2008-11-06,10360,10360,8842,8843,18602,114065.0,9791000.0
2008-11-07,8234,9449,7893,9450,7178,121898.0,9791000.0
2008-11-10,9449,9449,8956,9146,7828,117982.0,9791000.0
2008-11-11,9108,9108,8501,8578,27587,110638.0,9791000.0
2008-11-12,8234,8804,8234,8578,9701,110638.0,9791000.0
2008-11-13,8311,8311,7817,8046,13000,103785.0,9791000.0
2008-11-14,8728,8728,8007,8008,11370,103295.0,9791000.0
2008-11-17,8007,8348,7741,8274,34570,106722.0,9791000.0
2008-11-18,7893,8273,7893,8160,4570,105253.0,9791000.0
2008-11-19,8539,8539,7855,7932,10040,102316.0,9791000.0
2008-11-20,7855,7855,7438,7439,12400,95952.0,9791000.0
2008-11-21,7210,8007,7210,7970,7210,102806.0,9791000.0
2008-11-24,8007,8197,7817,7970,4710,102806.0,9791000.0
2008-11-25,8045,9146,8045,9146,44255,117982.0,9791000.0
2008-11-26,9867,10246,9183,9488,46890,122388.0,9791000.0
2008-11-27,9715,9753,8918,9450,34190,121898.0,9791000.0
2008-11-28,9601,10474,9260,10474,30190,135116.0,9791000.0
2008-12-01,10550,11878,10360,11082,39860,142949.0,9791000.0
2008-12-02,10284,10625,9487,9526,78261,122877.0,9791000.0
2008-12-03,9753,9829,9183,9488,25620,122388.0,9791000.0
2008-12-04,9563,9943,9487,9867,23423,127283.0,9791000.0
2008-12-05,9867,10018,9335,9867,18670,127283.0,9791000.0
2008-12-08,10095,11347,9867,11348,50978,146375.0,9791000.0
2008-12-09,11460,12827,11081,12449,64204,160572.0,9791000.0
2008-12-10,12220,12637,11460,12638,39173,163020.0,9791000.0
2008-12-11,12447,12561,11688,11690,29784,150781.0,9791000.0
2008-12-12,11688,12295,11385,11955,18675,154208.0,9791000.0
2008-12-15,12144,12903,12144,12449,23000,160572.0,9791000.0
2008-12-16,12258,12637,11688,12600,18670,162531.0,9791000.0
2008-12-17,12713,13965,12713,12790,22034,164978.0,9791000.0
2008-12-18,12827,13282,12789,13132,6661,169384.0,9791000.0
2008-12-19,13130,14193,12447,12828,20572,165468.0,9791000.0
2008-12-22,12865,13358,12258,13360,16660,172322.0,9791000.0
2008-12-23,13244,13510,12713,12714,15695,163999.0,9791000.0
2008-12-24,12827,13055,12334,12979,13400,167426.0,9791000.0
2008-12-26,13055,13510,12637,13056,15050,168405.0,9791000.0
2008-12-29,12751,13055,12523,12979,3896,167426.0,9791000.0
2008-12-30,12979,13130,12523,12904,4670,166447.0,9791000.0
2009-01-02,12903,13093,12561,13093,7960,168895.0,9791000.0
2009-01-05,13282,13396,12713,12904,14820,166447.0,9791000.0
2009-01-06,12903,12979,12561,12752,19630,164489.0,9791000.0
2009-01-07,12827,12827,12372,12486,37590,161062.0,9791000.0
2009-01-08,12675,12751,12068,12714,21485,163999.0,9791000.0
2009-01-09,12713,12713,12295,12714,18850,163999.0,9791000.0
2009-01-12,12561,12827,12523,12828,9828,165468.0,9791000.0
2009-01-13,12751,12751,12447,12449,7910,160572.0,9791000.0
2009-01-14,12751,12751,12334,12335,3261,159104.0,9791000.0
2009-01-15,12144,12144,11385,11386,3310,146865.0,9791000.0
2009-01-16,11460,12030,11043,11386,10692,146865.0,9791000.0
2009-01-19,11423,11765,11423,11727,5420,151271.0,9791000.0
2009-01-20,11688,11916,11385,11917,2261,153719.0,9791000.0
2009-01-21,11385,12030,11309,12031,5319,155187.0,9791000.0
2009-01-22,12068,12295,11688,12107,8550,156166.0,9791000.0
2009-01-23,12258,12523,11878,12221,4830,157635.0,9791000.0
2009-01-28,12220,12334,11992,12335,7830,159104.0,9791000.0
2009-01-29,12220,12789,11802,11917,18060,153719.0,9791000.0
2009-01-30,11954,11954,11840,11955,3160,154208.0,9791000.0
2009-02-02,11765,11840,11460,11462,3280,147844.0,9791000.0
2009-02-03,11460,11688,11385,11690,8395,150781.0,9791000.0
2009-02-04,11688,11802,11574,11614,5165,149802.0,9791000.0
2009-02-05,11802,11802,11233,11234,7071,144907.0,9791000.0
2009-02-06,11423,11499,10778,10855,13365,140011.0,9791000.0
2009-02-09,10891,11119,10778,10816,7320,139522.0,9791000.0
2009-02-10,10853,10891,10512,10551,8601,136095.0,9791000.0
2009-02-11,10550,10778,10322,10779,4930,139032.0,9791000.0
2009-02-12,10778,10778,10512,10588,4860,136584.0,9791000.0
2009-02-13,10816,10891,10436,10892,9841,140501.0,9791000.0
2009-02-16,10816,11081,10816,10969,5511,141480.0,9791000.0
2009-02-17,11081,11081,10322,10551,5135,136095.0,9791000.0
2009-02-18,10284,10398,10018,10399,9284,134137.0,9791000.0
2009-02-19,10398,10436,9715,10057,27302,129731.0,9791000.0
2009-02-20,9867,9867,8576,8615,54363,111128.0,9791000.0
2009-02-23,8614,8728,8083,8464,152910,109170.0,9791000.0
2009-02-24,8348,8425,8045,8197,46166,105743.0,9791000.0
2009-02-25,8348,8462,8159,8274,46103,106722.0,9791000.0
2009-02-26,8197,8425,8045,8197,36212,105743.0,9791000.0
2009-02-27,8121,8387,8121,8197,33268,105743.0,9791000.0
2009-03-02,8311,9297,8197,8805,89750,113576.0,9791000.0
2009-03-03,8652,9374,8425,8805,69459,113576.0,9791000.0
2009-03-04,9069,9069,8804,8957,27379,115534.0,9791000.0
2009-03-05,9032,9146,8690,8692,41824,112107.0,9791000.0
2009-03-06,8387,8690,8311,8350,23868,107701.0,9791000.0
2009-03-09,8387,8956,8387,8957,28309,115534.0,9791000.0
2009-03-10,8728,8994,8690,8957,16613,115534.0,9791000.0
2009-03-11,9222,9411,8956,9299,31227,119940.0,9791000.0
2009-03-12,9297,9639,9183,9564,47954,123367.0,9791000.0
2009-03-13,9829,10930,9487,9678,107710,124835.0,9791000.0
2009-03-16,9829,10018,9639,9716,36290,125325.0,9791000.0
2009-03-17,9677,9981,9601,9792,28821,126304.0,9791000.0
2009-03-18,10018,10018,9715,9906,42152,127773.0,9791000.0
2009-03-19,10170,10170,9791,9830,23412,126793.0,9791000.0
2009-03-20,9829,9943,9487,9526,45765,122877.0,9791000.0
2009-03-23,9639,9753,9411,9716,20370,125325.0,9791000.0
2009-03-24,9904,10095,9791,9944,24655,128262.0,9791000.0
2009-03-25,10095,10398,9867,10248,82800,132178.0,9791000.0
2009-03-26,10246,10360,10018,10361,33420,133647.0,9791000.0
2009-03-27,10436,10436,9981,10209,31163,131689.0,9791000.0
2009-03-30,10209,10322,9829,9944,21360,128262.0,9791000.0
2009-03-31,9981,10209,9829,9867,30793,127283.0,9791000.0
2009-04-01,10018,10132,9677,10020,33580,129241.0,9791000.0
2009-04-02,10170,10398,9981,10399,64567,134137.0,9791000.0
2009-04-03,10702,10702,10132,10323,24800,133158.0,9791000.0
2009-04-06,10246,10436,10018,10171,39656,131199.0,9791000.0
2009-04-07,10095,10322,9981,10285,20438,132668.0,9791000.0
2009-04-08,10057,10322,10057,10248,31157,132178.0,9791000.0
2009-04-09,10284,11233,10284,11044,61517,142459.0,9791000.0
2009-04-10,11157,11385,10816,11044,32501,142459.0,9791000.0
2009-04-13,11157,11347,10853,11348,53060,146375.0,9791000.0
2009-04-14,11499,11613,11157,11348,36810,146375.0,9791000.0
2009-04-15,11157,11840,10930,11386,46960,146865.0,9791000.0
2009-04-16,11688,11688,11119,11348,55590,146375.0,9791000.0
2009-04-17,11271,11423,10664,10816,47710,139522.0,9791000.0
2009-04-20,10625,10891,10474,10741,27130,138543.0,9791000.0
2009-04-21,10588,10891,10474,10816,20741,139522.0,9791000.0
2009-04-22,10778,11005,10778,10930,20050,140990.0,9791000.0
2009-04-23,10967,11081,10625,10741,20277,138543.0,9791000.0
2009-04-24,10778,11005,10398,10474,32025,135116.0,9791000.0
2009-04-27,10588,10625,10170,10248,22365,132178.0,9791000.0
2009-04-28,10132,10398,9867,9867,27502,127283.0,9791000.0
2009-04-29,9943,10246,9829,10020,17731,129241.0,9791000.0
2009-04-30,10246,10512,10095,10361,17821,133647.0,9791000.0
2009-05-04,10398,10702,10360,10513,8963,135605.0,9791000.0
2009-05-06,10512,10588,10284,10437,11410,134626.0,9791000.0
2009-05-07,10625,11347,10474,11158,30761,143928.0,9791000.0
2009-05-08,11157,11309,10930,11082,18440,142949.0,9791000.0
2009-05-11,11005,11157,10778,10930,6790,140990.0,9791000.0
2009-05-12,10816,10930,10625,10930,13020,140990.0,9791000.0
2009-05-13,10930,11157,10816,11120,20528,143438.0,9791000.0
2009-05-14,11119,11157,10853,10969,15200,141480.0,9791000.0
2009-05-15,11005,11157,10739,10816,20128,139522.0,9791000.0
2009-05-18,10664,10853,10474,10588,19510,136584.0,9791000.0
2009-05-19,10816,10930,10588,10855,22522,140011.0,9791000.0
2009-05-20,10853,11081,10702,10969,19371,141480.0,9791000.0
2009-05-21,10778,10967,10588,10779,19320,139032.0,9791000.0
2009-05-22,10625,11043,10474,10855,20757,140011.0,9791000.0
2009-05-25,10853,11157,9411,10816,23823,139522.0,9791000.0
2009-05-26,10853,10853,10474,10588,12910,136584.0,9791000.0
2009-05-27,10512,10664,10209,10399,11100,134137.0,9791000.0
2009-05-28,10057,10398,9791,10323,31440,133158.0,9791000.0
2009-05-29,10398,10588,10209,10588,11810,136584.0,9791000.0
2009-06-01,10550,10778,10322,10551,5160,136095.0,9791000.0
2009-06-02,10702,10853,10398,10513,12631,135605.0,9791000.0
2009-06-03,10664,10664,10132,10399,7831,134137.0,9791000.0
2009-06-04,10474,10474,9829,9830,20682,126793.0,9791000.0
2009-06-05,10018,10018,9487,9944,18390,128262.0,9791000.0
2009-06-08,10018,10018,9791,9867,10216,127283.0,9791000.0
2009-06-09,9867,9943,9260,9867,28250,127283.0,9791000.0
2009-06-10,9639,9829,9601,9716,10298,125325.0,9791000.0
2009-06-11,9867,9904,9601,9640,5899,124346.0,9791000.0
2009-06-12,9715,9829,9639,9753,6250,125814.0,9791000.0
2009-06-15,9601,9791,9601,9753,7220,125814.0,9791000.0
2009-06-16,9639,9791,9563,9716,7820,125325.0,9791000.0
2009-06-17,9753,9753,9563,9678,2836,124835.0,9791000.0
2009-06-18,9753,9753,9487,9640,8107,124346.0,9791000.0
2009-06-19,9715,9791,9449,9602,7530,123856.0,9791000.0
2009-06-22,9791,9791,9487,9564,7260,123367.0,9791000.0
2009-06-23,9487,9487,9222,9450,13071,121898.0,9791000.0
2009-06-24,9449,9525,9146,9299,7090,119940.0,9791000.0
2009-06-25,9222,9639,9222,9640,9072,124346.0,9791000.0
2009-06-26,9715,9715,9449,9602,1131,123856.0,9791000.0
2009-06-29,9677,9677,9374,9488,3480,122388.0,9791000.0
2009-06-30,9563,10209,9449,10209,9780,131689.0,9791000.0
2009-07-01,10132,10132,9677,9867,5738,127283.0,9791000.0
2009-07-02,10057,10057,9829,9981,4190,128752.0,9791000.0
2009-07-03,9867,9867,9715,9867,2391,127283.0,9791000.0
2009-07-06,9753,10132,9753,9944,2140,128262.0,9791000.0
2009-07-07,9753,10018,9753,9944,8366,128262.0,9791000.0
2009-07-08,9904,9943,9677,9678,2860,124835.0,9791000.0
2009-07-09,9525,9829,9525,9792,1780,126304.0,9791000.0
2009-07-10,9563,9867,9563,9830,3660,126793.0,9791000.0
2009-07-13,9829,9943,9525,9716,4890,125325.0,9791000.0
2009-07-14,9791,9829,9183,9640,3925,124346.0,9791000.0
2009-07-15,9791,9791,9449,9526,3601,122877.0,9791000.0
2009-07-16,9639,9639,9411,9602,3799,123856.0,9791000.0
2009-07-17,9487,9639,9374,9526,6210,122877.0,9791000.0
2009-07-20,9335,9639,9335,9602,3242,123856.0,9791000.0
2009-07-21,9487,9639,9449,9564,8353,123367.0,9791000.0
2009-07-22,9449,9563,9449,9564,3360,123367.0,9791000.0
2009-07-23,9639,9677,9487,9526,1160,122877.0,9791000.0
2009-07-24,9487,9639,9335,9526,4440,122877.0,9791000.0
2009-07-27,9525,9639,9487,9564,5720,123367.0,9791000.0
2009-07-28,9563,9601,9487,9488,2692,122388.0,9791000.0
2009-07-29,9411,9563,9335,9450,7160,121898.0,9791000.0
2009-07-30,9411,9449,9374,9450,2910,121898.0,9791000.0
2009-07-31,9449,9449,9222,9413,5390,121408.0,9791000.0
2009-08-03,9374,9487,9297,9299,3159,119940.0,9791000.0
2009-08-04,9335,9374,9183,9336,4520,120429.0,9791000.0
2009-08-05,9260,9374,9183,9185,4579,118471.0,9791000.0
2009-08-06,9260,9297,9032,9222,4520,118961.0,9791000.0
2009-08-07,9260,9374,9108,9185,3931,118471.0,9791000.0
2009-08-10,9297,9487,9183,9413,18040,121408.0,9791000.0
2009-08-11,9411,9411,9260,9413,4405,121408.0,9791000.0
2009-08-12,9449,9449,9297,9413,3607,121408.0,9791000.0
2009-08-13,9411,9411,9108,9374,11530,120919.0,9791000.0
2009-08-14,9487,9525,9297,9374,4960,120919.0,9791000.0
2009-08-17,9260,9374,9032,9185,8130,118471.0,9791000.0
2009-08-18,9032,9108,8690,9032,19250,116513.0,9791000.0
2009-08-19,8804,8956,8766,8805,7030,113576.0,9791000.0
2009-08-20,8880,9449,8728,9032,21533,116513.0,9791000.0
2009-08-21,9032,9032,8462,8881,13030,114555.0,9791000.0
2009-08-24,8956,8956,8539,8881,10230,114555.0,9791000.0
2009-08-25,8994,8994,8880,8957,3890,115534.0,9791000.0
2009-08-26,9069,9069,8766,8881,3980,114555.0,9791000.0
2009-08-27,9183,9183,8652,8957,7370,115534.0,9791000.0
2009-08-28,8918,8918,8766,8881,5541,114555.0,9791000.0
2009-08-31,8804,8880,8690,8843,4200,114065.0,9791000.0
2009-09-01,8766,9069,8728,8881,7365,114555.0,9791000.0
2009-09-02,8766,8956,8690,8881,3995,114555.0,9791000.0
2009-09-03,8880,8880,8766,8843,2020,114065.0,9791000.0
2009-09-04,8728,8842,8652,8767,3060,113086.0,9791000.0
2009-09-07,8690,8766,8576,8578,7063,110638.0,9791000.0
2009-09-08,8576,8728,8501,8692,6012,112107.0,9791000.0
2009-09-09,8728,8880,8501,8881,8250,114555.0,9791000.0
2009-09-10,8994,8994,8804,8957,2020,115534.0,9791000.0
2009-09-11,8804,8956,8728,8843,1910,114065.0,9791000.0
2009-09-14,8956,8956,8766,8843,6620,114065.0,9791000.0
2009-09-15,8918,8918,8728,8881,3482,114555.0,9791000.0
2009-09-16,8880,8956,8652,8918,5968,115044.0,9791000.0
2009-09-17,8804,8918,8766,8805,6482,113576.0,9791000.0
2009-09-18,8728,8804,8576,8767,11268,113086.0,9791000.0
2009-09-21,8539,8728,8539,8692,3667,112107.0,9791000.0
2009-09-22,8690,8766,8614,8729,6370,112596.0,9791000.0
2009-09-23,8728,8728,8614,8729,2030,112596.0,9791000.0
2009-09-24,8728,8766,8652,8692,4580,112107.0,9791000.0
2009-09-25,8576,8690,8539,8653,5990,111617.0,9791000.0
2009-09-28,8614,8728,8576,8653,5300,111617.0,9791000.0
2009-09-29,8652,8690,8501,8692,5340,112107.0,9791000.0
2009-09-30,8728,8766,8576,8692,10810,112107.0,9791000.0
2009-10-01,8690,8690,8539,8653,6110,111617.0,9791000.0
2009-10-05,8652,8728,8614,8692,7670,112107.0,9791000.0
2009-10-06,8690,8766,8576,8653,18660,111617.0,9791000.0
2009-10-07,8652,8690,8614,8653,8900,111617.0,9791000.0
2009-10-08,8690,8690,8614,8692,6410,112107.0,9791000.0
2009-10-09,8728,9222,8652,9109,21460,117492.0,9791000.0
2009-10-12,9108,9108,8918,8995,3770,116023.0,9791000.0
2009-10-13,9108,9222,8956,8957,11960,115534.0,9791000.0
2009-10-14,8956,9108,8766,8918,8260,115044.0,9791000.0
2009-10-15,8918,9108,8918,9109,6300,117492.0,9791000.0
2009-10-16,9260,9374,8994,9109,6310,117492.0,9791000.0
2009-10-19,9108,9374,8766,9374,18430,120919.0,9791000.0
2009-10-20,9487,9563,9183,9450,8800,121898.0,9791000.0
2009-10-21,9449,9449,9222,9413,1550,121408.0,9791000.0
2009-10-22,9411,9449,9411,9413,1690,121408.0,9791000.0
2009-10-23,9449,9449,9335,9374,1150,120919.0,9791000.0
2009-10-26,9449,9449,9146,9336,8650,120429.0,9791000.0
2009-10-27,9335,9411,9108,9109,11070,117492.0,9791000.0
2009-10-28,9146,9449,8766,9450,13641,121898.0,9791000.0
2009-10-29,9563,10853,9563,10855,170681,140011.0,9791000.0
2009-10-30,11081,12334,10209,10323,244158,133158.0,9791000.0
2009-11-02,11157,11840,10930,11841,221848,152740.0,9791000.0
2009-11-03,12447,13472,10625,11765,767415,151760.0,9791000.0
2009-11-04,11347,12144,10550,10627,406751,137074.0,9791000.0
2009-11-05,10739,11954,10360,10892,473752,140501.0,9791000.0
2009-11-06,10778,10778,10170,10474,155456,135116.0,9791000.0
2009-11-09,10474,10625,9943,10323,76513,133158.0,9791000.0
2009-11-10,10322,11195,10095,10474,254009,135116.0,9791000.0
2009-11-11,10512,10550,10095,10095,59398,130220.0,9791000.0
2009-11-12,10018,10436,9867,10095,57445,130220.0,9791000.0
2009-11-13,10436,10436,10018,10134,21930,130710.0,9791000.0
2009-11-16,10095,10095,9563,9564,37180,123367.0,9791000.0
2009-11-17,9563,10018,9335,9564,44079,123367.0,9791000.0
2009-11-18,9449,9753,9297,9299,31192,119940.0,9791000.0
2009-11-19,9525,10246,9411,9906,56350,127773.0,9791000.0
2009-11-20,9904,10057,9677,10020,9121,129241.0,9791000.0
2009-11-23,9715,10132,9639,9944,10030,128262.0,9791000.0
2009-11-24,10057,10057,9715,9867,6040,127283.0,9791000.0
2009-11-25,9791,9867,9601,9640,5960,124346.0,9791000.0
2009-11-26,9715,10018,9601,9602,7136,123856.0,9791000.0
2009-11-27,9639,9639,9222,9450,20765,121898.0,9791000.0
2009-11-30,9563,9563,9335,9564,7830,123367.0,9791000.0
2009-12-01,9525,9563,9260,9450,15340,121898.0,9791000.0
2009-12-02,9487,9715,9297,9526,7195,122877.0,9791000.0
2009-12-03,9449,9791,9449,9678,5170,124835.0,9791000.0
2009-12-04,9829,9829,9563,9678,2960,124835.0,9791000.0
2009-12-07,9563,9753,9487,9564,23390,123367.0,9791000.0
2009-12-08,9449,9715,9297,9336,20072,120429.0,9791000.0
2009-12-09,9374,9791,9260,9716,18513,125325.0,9791000.0
2009-12-10,9715,9829,9374,9640,15681,124346.0,9791000.0
2009-12-11,9639,9943,9525,9830,13261,126793.0,9791000.0
2009-12-14,10512,10512,9791,10171,8971,131199.0,9791000.0
2009-12-15,10132,10436,9943,10209,8870,131689.0,9791000.0
2009-12-16,10322,10322,9867,10057,9190,129731.0,9791000.0
2009-12-17,9943,10246,9867,10134,6920,130710.0,9791000.0
2009-12-18,9943,10132,9904,10095,6310,130220.0,9791000.0
2009-12-21,10209,10436,10018,10134,9250,130710.0,9791000.0
2009-12-22,10132,10436,10095,10323,15340,133158.0,9791000.0
2009-12-23,10322,10853,10170,10551,10896,136095.0,9791000.0
2009-12-24,10474,10702,10322,10323,7699,133158.0,9791000.0
2009-12-28,10209,10322,9943,10057,21276,129731.0,9791000.0
2009-12-29,10018,10057,9829,9944,10830,128262.0,9791000.0
2009-12-30,9867,10018,9563,10020,4540,129241.0,9791000.0
2010-01-04,10018,10018,9791,9944,4910,128262.0,9791000.0
2010-01-05,10018,10209,9753,10209,12031,131689.0,9791000.0
2010-01-06,10474,10474,9981,10057,6510,129731.0,9791000.0
2010-01-07,10132,10284,9867,9906,15735,127773.0,9791000.0
2010-01-08,9867,10246,9715,10248,17112,132178.0,9791000.0
2010-01-11,10284,10474,10132,10285,7040,132668.0,9791000.0
2010-01-12,10322,10322,9943,10209,10330,131689.0,9791000.0
2010-01-13,9981,10209,9867,9867,12326,127283.0,9791000.0
2010-01-14,9904,10018,9867,9981,2564,128752.0,9791000.0
2010-01-15,10018,10057,9943,10020,8845,129241.0,9791000.0
2010-01-18,10018,10132,9867,9906,9772,127773.0,9791000.0
2010-01-19,9904,9981,9867,9944,4873,128262.0,9791000.0
2010-01-20,9943,9981,9867,9981,4510,128752.0,9791000.0
2010-01-21,9867,10018,9867,10020,3850,129241.0,9791000.0
2010-01-22,10018,10018,9715,9944,5770,128262.0,9791000.0
2010-01-25,9867,9943,9791,9867,5853,127283.0,9791000.0
2010-01-26,10018,10018,9715,9753,2827,125814.0,9791000.0
2010-01-27,9753,9829,9601,9792,12460,126304.0,9791000.0
2010-01-28,9791,9867,9677,9867,18840,127283.0,9791000.0
2010-01-29,9677,9904,9639,9867,15570,127283.0,9791000.0
2010-02-01,9867,10664,9867,10209,19711,131689.0,9791000.0
2010-02-02,10209,10398,10057,10134,9470,130710.0,9791000.0
2010-02-03,10398,10398,9867,10020,13640,129241.0,9791000.0
2010-02-04,10095,10095,9791,9792,5550,126304.0,9791000.0
2010-02-05,9715,9715,9374,9678,7210,124835.0,9791000.0
2010-02-08,9525,9715,9487,9602,4210,123856.0,9791000.0
2010-02-09,9601,9677,9525,9678,2780,124835.0,9791000.0
2010-02-10,9677,9677,9449,9640,2341,124346.0,9791000.0
2010-02-11,9563,9677,9487,9640,2520,124346.0,9791000.0
2010-02-12,9639,9639,9487,9640,1310,124346.0,9791000.0
2010-02-16,9525,9715,9487,9640,4929,124346.0,9791000.0
2010-02-17,9563,9677,9563,9640,1790,124346.0,9791000.0
2010-02-18,9677,9715,9601,9716,1900,125325.0,9791000.0
2010-02-19,9753,9904,9677,9678,8830,124835.0,9791000.0
2010-02-22,9791,10398,9677,10209,8800,131689.0,9791000.0
2010-02-23,9981,10436,9981,10095,14191,130220.0,9791000.0
2010-02-24,10095,10132,9791,9906,16116,127773.0,9791000.0
2010-02-25,9943,9943,9639,9640,11790,124346.0,9791000.0
2010-02-26,9715,9715,9525,9716,4150,125325.0,9791000.0
2010-03-02,9601,9791,9563,9640,12993,124346.0,9791000.0
