한국금융지주(071050),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-09-02,6770,6890,6750,6830,308664,361144.0,52876205.0
2003-09-03,6990,6990,6800,6810,589126,360087.0,52876205.0
2003-09-04,6810,7120,6810,7000,1152472,370133.0,52876205.0
2003-09-05,7010,7010,6790,6790,327928,359029.0,52876205.0
2003-09-08,6740,6740,6520,6530,535553,345282.0,52876205.0
2003-09-09,6570,6630,6530,6560,412036,346868.0,52876205.0
2003-09-15,6560,6630,6490,6540,281944,345810.0,52876205.0
2003-09-16,6510,6640,6510,6620,171317,350040.0,52876205.0
2003-09-17,6630,6700,6510,6520,256606,344753.0,52876205.0
2003-09-18,6570,6610,6450,6450,182779,341052.0,52876205.0
2003-09-19,6540,6600,6260,6300,316284,333120.0,52876205.0
2003-09-22,6120,6250,5820,5860,503276,309855.0,52876205.0
2003-09-23,5720,5780,5640,5710,574992,301923.0,52876205.0
2003-09-24,5800,5890,5760,5850,597004,309326.0,52876205.0
2003-09-25,5620,5760,5620,5690,223563,300866.0,52876205.0
2003-09-26,5570,5730,5560,5560,282446,293992.0,52876205.0
2003-09-29,5530,5610,5500,5530,191514,292405.0,52876205.0
2003-09-30,5610,5660,5500,5500,290937,290819.0,52876205.0
2003-10-01,5380,5480,5160,5280,397762,279186.0,52876205.0
2003-10-02,5360,5370,5080,5100,905845,269669.0,52876205.0
2003-10-06,5130,5200,5120,5170,392621,273370.0,52876205.0
2003-10-07,5200,5210,5050,5070,304634,268082.0,52876205.0
2003-10-08,5100,5130,5000,5000,300589,264381.0,52876205.0
2003-10-09,5000,5060,4980,4990,335587,263852.0,52876205.0
2003-10-10,5050,5440,5040,5400,796253,285532.0,52876205.0
2003-10-13,5300,5570,5250,5500,455370,290819.0,52876205.0
2003-10-14,5600,5670,5470,5530,335087,292405.0,52876205.0
2003-10-15,5600,5620,5460,5520,201414,291877.0,52876205.0
2003-10-16,5490,5550,5420,5500,285866,290819.0,52876205.0
2003-10-17,5430,5530,5290,5300,438804,280244.0,52876205.0
2003-10-20,5240,5360,5240,5300,212316,280244.0,52876205.0
2003-10-21,5370,5430,5260,5280,283528,279186.0,52876205.0
2003-10-22,5250,5280,5100,5110,233600,270197.0,52876205.0
2003-10-23,5020,5070,4980,5000,433152,264381.0,52876205.0
2003-10-24,4950,5150,4950,5060,461220,267554.0,52876205.0
2003-10-27,5130,5280,5130,5260,456301,278129.0,52876205.0
2003-10-28,5300,5390,5220,5260,465792,278129.0,52876205.0
2003-10-29,5380,5380,5130,5130,786675,271255.0,52876205.0
2003-10-30,5170,5210,5130,5210,429668,275485.0,52876205.0
2003-10-31,5200,5230,5030,5130,255840,271255.0,52876205.0
2003-11-03,5020,5170,5020,5130,290066,271255.0,52876205.0
2003-11-04,5160,5360,5160,5300,643144,280244.0,52876205.0
2003-11-05,5300,5500,5280,5470,553190,289233.0,52876205.0
2003-11-06,5520,5680,5460,5510,644502,291348.0,52876205.0
2003-11-07,5520,5770,5520,5740,604866,303509.0,52876205.0
2003-11-10,5820,5830,5580,5650,324083,298751.0,52876205.0
2003-11-11,5520,5590,5320,5400,468739,285532.0,52876205.0
2003-11-12,5390,5440,5340,5400,281664,285532.0,52876205.0
2003-11-13,5500,5530,5400,5480,355647,289762.0,52876205.0
2003-11-14,5430,5730,5430,5610,490113,296636.0,52876205.0
2003-11-17,5730,5890,5700,5800,1241957,306682.0,52876205.0
2003-11-18,5750,5930,5750,5870,607337,310383.0,52876205.0
2003-11-19,5730,5850,5700,5770,715017,305096.0,52876205.0
2003-11-20,5850,5960,5770,5800,437709,306682.0,52876205.0
2003-11-21,5750,5790,5530,5580,493780,295049.0,52876205.0
2003-11-24,5420,5490,5150,5160,417663,272841.0,52876205.0
2003-11-25,5300,5340,5250,5320,182611,281301.0,52876205.0
2003-11-26,5300,5420,5300,5360,166445,283416.0,52876205.0
2003-11-27,5410,5410,5230,5300,174690,280244.0,52876205.0
2003-11-28,5300,5460,5300,5380,228926,284474.0,52876205.0
2003-12-01,5500,5680,5430,5660,284067,299279.0,52876205.0
2003-12-02,5740,5790,5640,5670,205103,299808.0,52876205.0
2003-12-03,5690,5710,5580,5630,227318,297693.0,52876205.0
2003-12-04,5630,5800,5610,5700,250018,301394.0,52876205.0
2003-12-05,5730,5750,5610,5720,207730,302452.0,52876205.0
2003-12-08,5610,5720,5560,5590,227953,295578.0,52876205.0
2003-12-09,5650,5700,5610,5630,130881,297693.0,52876205.0
2003-12-10,5620,5750,5560,5750,204316,304038.0,52876205.0
2003-12-11,5740,5780,5680,5770,188526,305096.0,52876205.0
2003-12-12,5900,5930,5800,5830,387943,308268.0,52876205.0
2003-12-15,5940,5970,5880,5960,330604,315142.0,52876205.0
2003-12-16,5830,5910,5800,5830,341588,308268.0,52876205.0
2003-12-17,5900,5900,5580,5680,423543,300337.0,52876205.0
2003-12-18,5680,5850,5680,5760,271855,304567.0,52876205.0
2003-12-19,5820,5870,5760,5810,336320,307211.0,52876205.0
2003-12-22,5730,5870,5620,5620,342131,297164.0,52876205.0
2003-12-23,5750,5760,5610,5660,113690,299279.0,52876205.0
2003-12-24,5660,5660,5460,5500,140241,290819.0,52876205.0
2003-12-26,5400,5530,5400,5500,152968,290819.0,52876205.0
2003-12-29,5450,5610,5450,5610,207595,296636.0,52876205.0
2003-12-30,5670,5700,5620,5690,119788,300866.0,52876205.0
2004-01-02,5890,6090,5810,5880,665541,310912.0,52876205.0
2004-01-05,5800,5970,5780,5920,271951,313027.0,52876205.0
2004-01-06,5960,6000,5840,5900,290249,311970.0,52876205.0
2004-01-07,5830,5910,5710,5720,220891,302452.0,52876205.0
2004-01-08,5680,5770,5540,5540,425730,292934.0,52876205.0
2004-01-09,5570,5890,5570,5870,777899,310383.0,52876205.0
2004-01-12,5930,6160,5820,6110,789795,323074.0,52876205.0
2004-01-13,6190,6200,5990,6030,249102,318844.0,52876205.0
2004-01-14,6000,6100,5930,5930,135841,313556.0,52876205.0
2004-01-15,5950,6020,5880,5960,196156,315142.0,52876205.0
2004-01-16,6000,6020,5860,5880,104837,310912.0,52876205.0
2004-01-19,5880,5960,5850,5900,149267,311970.0,52876205.0
2004-01-20,5900,6110,5900,6050,267444,319901.0,52876205.0
2004-01-26,6050,6050,5960,6050,113001,319901.0,52876205.0
2004-01-27,6080,6090,5840,5840,182739,308797.0,52876205.0
2004-01-28,5890,5890,5700,5700,275722,301394.0,52876205.0
2004-01-29,5610,5650,5490,5530,447784,292405.0,52876205.0
2004-01-30,5480,5530,5220,5320,580560,281301.0,52876205.0
2004-02-02,5320,5410,5320,5350,162811,282888.0,52876205.0
2004-02-03,5300,5370,5210,5250,160671,277600.0,52876205.0
2004-02-04,5150,5350,5130,5130,383841,271255.0,52876205.0
2004-02-05,5150,5210,5100,5180,341271,273899.0,52876205.0
2004-02-06,5160,5230,5150,5200,217304,274956.0,52876205.0
2004-02-09,5230,5240,5130,5160,377312,272841.0,52876205.0
2004-02-10,5180,5270,5160,5170,345376,273370.0,52876205.0
2004-02-11,5200,5460,5110,5450,914831,288175.0,52876205.0
2004-02-12,5490,6260,5460,6260,2887782,331005.0,52876205.0
2004-02-13,6700,7180,6600,6900,4953204,364846.0,52876205.0
2004-02-16,7000,7000,6640,6910,1219309,365375.0,52876205.0
2004-02-17,6910,6910,6550,6590,941858,348454.0,52876205.0
2004-02-18,6600,6730,6570,6610,780484,349512.0,52876205.0
2004-02-19,6550,6650,6320,6550,812598,346339.0,52876205.0
2004-02-20,6480,7060,6450,6850,1313196,362202.0,52876205.0
2004-02-23,6850,7450,6710,7200,1206723,380709.0,52876205.0
2004-02-24,7250,7270,6980,7010,411531,370662.0,52876205.0
2004-02-25,7000,7150,6860,6900,430520,364846.0,52876205.0
2004-02-26,6890,6990,6550,6600,634097,348983.0,52876205.0
2004-02-27,6650,6690,6510,6590,378256,348454.0,52876205.0
2004-03-02,6630,6920,6550,6850,1027157,362202.0,52876205.0
2004-03-03,6750,6820,6650,6670,230216,352684.0,52876205.0
2004-03-04,6690,7010,6690,6870,668612,363260.0,52876205.0
2004-03-05,6860,6900,6710,6740,518082,356386.0,52876205.0
2004-03-08,6830,6830,6600,6640,453539,351098.0,52876205.0
2004-03-09,6560,6720,6560,6580,287375,347925.0,52876205.0
2004-03-10,6500,6500,6320,6470,333652,342109.0,52876205.0
2004-03-11,6330,6390,6230,6290,294520,332591.0,52876205.0
2004-03-12,6200,6200,5510,5810,1057672,307211.0,52876205.0
2004-03-15,5880,6050,5830,6040,393294,319372.0,52876205.0
2004-03-16,5920,5990,5850,5900,202226,311970.0,52876205.0
2004-03-17,5930,6290,5930,6180,362611,326775.0,52876205.0
2004-03-18,6300,6320,6130,6130,197584,324131.0,52876205.0
2004-03-19,6150,6220,6110,6160,154711,325717.0,52876205.0
2004-03-22,6170,6200,6000,6000,134172,317257.0,52876205.0
2004-03-23,5900,6120,5860,6100,132056,322545.0,52876205.0
2004-03-24,6020,6120,5980,6000,172058,317257.0,52876205.0
2004-03-25,5920,6070,5790,5800,247634,306682.0,52876205.0
2004-03-26,5950,5950,5800,5830,182404,308268.0,52876205.0
2004-03-29,5890,6060,5880,5950,314784,314613.0,52876205.0
2004-03-30,5970,6050,5850,5850,117534,309326.0,52876205.0
2004-03-31,5910,5950,5780,5880,160481,310912.0,52876205.0
2004-04-01,5830,5930,5800,5850,183369,309326.0,52876205.0
2004-04-02,5850,6000,5850,5940,285374,314085.0,52876205.0
2004-04-06,6090,6100,5920,6100,277473,322545.0,52876205.0
2004-04-07,6140,6800,6050,6630,1201360,350569.0,52876205.0
2004-04-08,6600,6660,6370,6500,281474,343695.0,52876205.0
2004-04-09,6410,6490,6270,6280,201819,332063.0,52876205.0
2004-04-12,6300,6480,6300,6390,287294,337879.0,52876205.0
2004-04-13,6420,6540,6290,6310,253390,333649.0,52876205.0
2004-04-14,6190,6230,6110,6170,136246,326246.0,52876205.0
2004-04-16,6140,6200,6110,6110,152570,323074.0,52876205.0
2004-04-19,6060,6100,6040,6090,131780,322016.0,52876205.0
2004-04-20,6100,6320,6100,6200,233298,327832.0,52876205.0
2004-04-21,6190,6240,6120,6150,233768,325189.0,52876205.0
2004-04-22,6240,6580,6100,6470,1045527,342109.0,52876205.0
2004-04-23,6630,7000,6620,7000,1404794,370133.0,52876205.0
2004-04-26,7000,7070,6790,6900,533800,364846.0,52876205.0
2004-04-27,6850,6880,6580,6670,501935,352684.0,52876205.0
2004-04-28,6610,6690,6490,6570,344710,347397.0,52876205.0
2004-04-29,6550,6570,6190,6430,1084345,339994.0,52876205.0
2004-04-30,6420,6590,6300,6500,372280,343695.0,52876205.0
2004-05-03,6400,6700,6400,6630,246820,350569.0,52876205.0
2004-05-04,6650,6710,6580,6600,261370,348983.0,52876205.0
2004-05-06,6640,6640,6200,6200,370691,327832.0,52876205.0
2004-05-07,6140,6200,5960,6050,267718,319901.0,52876205.0
2004-05-10,6000,6080,5700,5740,411114,303509.0,52876205.0
2004-05-11,5560,5850,5560,5750,452390,304038.0,52876205.0
2004-05-12,5850,5980,5750,5970,271344,315671.0,52876205.0
2004-05-13,5940,6000,5810,5960,441341,315142.0,52876205.0
2004-05-14,6000,6180,5900,5990,666080,316728.0,52876205.0
2004-05-17,6050,6100,5590,5850,369830,309326.0,52876205.0
2004-05-18,5700,5740,5500,5700,445281,301394.0,52876205.0
2004-05-19,5750,6040,5750,5960,524720,315142.0,52876205.0
2004-05-20,5900,5970,5640,5800,249400,306682.0,52876205.0
2004-05-21,5780,5990,5780,5970,279621,315671.0,52876205.0
2004-05-24,5900,6140,5900,6110,403520,323074.0,52876205.0
2004-05-25,5960,6140,5910,6030,285411,318844.0,52876205.0
2004-05-27,6090,6160,6010,6140,233862,324660.0,52876205.0
2004-05-28,6140,6270,5860,5870,387331,310383.0,52876205.0
2004-05-31,5870,5960,5820,5830,141904,308268.0,52876205.0
2004-06-01,5820,5960,5820,5920,74179,313027.0,52876205.0
2004-06-02,5870,6120,5850,6000,197860,317257.0,52876205.0
2004-06-03,6100,6230,5840,5840,504559,308797.0,52876205.0
2004-06-04,5940,5950,5800,5860,97990,309855.0,52876205.0
2004-06-07,5910,6350,5910,6350,457770,335764.0,52876205.0
2004-06-08,6380,6470,6230,6330,220336,334706.0,52876205.0
2004-06-09,6410,6650,6200,6270,369740,331534.0,52876205.0
2004-06-10,6290,6290,6160,6240,76243,329948.0,52876205.0
2004-06-11,6210,6240,6000,6040,134935,319372.0,52876205.0
2004-06-14,5920,6070,5850,5910,118000,312498.0,52876205.0
2004-06-15,5920,6240,5920,6150,254209,325189.0,52876205.0
2004-06-16,6240,6410,6200,6300,419590,333120.0,52876205.0
2004-06-17,6300,6300,6090,6200,193954,327832.0,52876205.0
2004-06-18,6130,6200,6000,6030,54722,318844.0,52876205.0
2004-06-21,5900,6070,5870,5900,142050,311970.0,52876205.0
2004-06-22,5880,5940,5800,5810,129770,307211.0,52876205.0
2004-06-23,5800,5820,5580,5660,306220,299279.0,52876205.0
2004-06-24,5740,5990,5740,5960,252813,315142.0,52876205.0
2004-06-25,5870,6060,5810,6050,205262,319901.0,52876205.0
2004-06-28,6000,6040,5900,5990,90640,316728.0,52876205.0
2004-06-29,5880,5980,5880,5980,71350,316200.0,52876205.0
2004-06-30,6010,6220,6010,6190,166090,327304.0,52876205.0
2004-07-01,6190,6250,6080,6150,225600,325189.0,52876205.0
2004-07-02,6040,6130,5970,6130,103023,324131.0,52876205.0
2004-07-05,6150,6480,6150,6410,245639,338936.0,52876205.0
2004-07-06,6480,6500,6250,6260,89826,331005.0,52876205.0
2004-07-07,6070,6200,6070,6140,83690,324660.0,52876205.0
2004-07-08,6060,6200,6050,6080,36600,321487.0,52876205.0
2004-07-09,6050,6240,6050,6210,86790,328361.0,52876205.0
2004-07-12,6170,6270,6160,6190,108578,327304.0,52876205.0
2004-07-13,6140,6180,5990,6020,251295,318315.0,52876205.0
2004-07-14,5970,6350,5960,6030,498944,318844.0,52876205.0
2004-07-15,6130,6150,5880,5990,143920,316728.0,52876205.0
2004-07-16,6000,6030,5870,5940,137118,314085.0,52876205.0
2004-07-19,5810,5900,5730,5860,581171,309855.0,52876205.0
2004-07-20,5920,5920,5750,5860,292370,309855.0,52876205.0
2004-07-21,5910,6060,5860,5920,430358,313027.0,52876205.0
2004-07-22,5820,5850,5760,5800,115531,306682.0,52876205.0
2004-07-23,5750,5820,5700,5710,153248,301923.0,52876205.0
2004-07-26,5620,5730,5620,5730,80971,302981.0,52876205.0
2004-07-27,5660,5900,5640,5850,172660,309326.0,52876205.0
2004-07-28,5890,6050,5850,5860,185590,309855.0,52876205.0
2004-07-29,5820,5940,5760,5930,128511,313556.0,52876205.0
2004-07-30,5870,5970,5830,5830,93984,308268.0,52876205.0
2004-08-02,5760,5870,5750,5860,120860,309855.0,52876205.0
2004-08-03,5820,5940,5820,5880,88843,310912.0,52876205.0
2004-08-04,5800,5900,5800,5870,72680,310383.0,52876205.0
2004-08-05,5870,5940,5700,5830,295131,308268.0,52876205.0
2004-08-06,5760,5830,5700,5700,238846,301394.0,52876205.0
2004-08-09,5700,5760,5670,5690,107264,300866.0,52876205.0
2004-08-10,5740,5740,5670,5680,69801,300337.0,52876205.0
2004-08-11,5730,5820,5710,5710,104451,301923.0,52876205.0
2004-08-12,5680,5820,5680,5760,67183,304567.0,52876205.0
2004-08-13,5750,6070,5750,6050,446580,319901.0,52876205.0
2004-08-16,6050,6100,5960,6010,126490,317786.0,52876205.0
2004-08-17,6090,6140,5950,5990,72851,316728.0,52876205.0
2004-08-18,5960,6080,5960,6020,80099,318315.0,52876205.0
2004-08-19,6090,6220,6020,6180,392610,326775.0,52876205.0
2004-08-20,6170,6180,6010,6050,93581,319901.0,52876205.0
2004-08-23,6090,6090,5980,5980,83540,316200.0,52876205.0
2004-08-24,5960,6030,5900,5990,118339,316728.0,52876205.0
2004-08-25,5950,6050,5900,6050,153720,319901.0,52876205.0
2004-08-26,6100,6140,6050,6080,230780,321487.0,52876205.0
2004-08-27,6100,6120,6040,6080,144003,321487.0,52876205.0
2004-08-30,6100,6100,6000,6000,99730,317257.0,52876205.0
2004-08-31,5970,6050,5970,6030,55487,318844.0,52876205.0
2004-09-01,6050,6200,6000,6200,190474,327832.0,52876205.0
2004-09-02,6190,6380,6110,6360,380450,336293.0,52876205.0
2004-09-03,6400,6460,6350,6450,636021,341052.0,52876205.0
2004-09-06,6500,6550,6350,6480,627390,342638.0,52876205.0
2004-09-07,6400,6430,6210,6260,224257,331005.0,52876205.0
2004-09-08,6270,6300,6190,6200,191630,327832.0,52876205.0
2004-09-09,6140,6280,6080,6140,95565,324660.0,52876205.0
2004-09-10,6190,6190,6030,6160,86775,325717.0,52876205.0
2004-09-13,6200,6630,6190,6560,665226,346868.0,52876205.0
2004-09-14,6700,6750,6530,6750,897492,356914.0,52876205.0
2004-09-15,6800,6800,6570,6650,411777,351627.0,52876205.0
2004-09-16,6450,6590,6450,6500,307340,343695.0,52876205.0
2004-09-17,6500,6540,6380,6400,53930,338408.0,52876205.0
2004-09-20,6420,6720,6420,6700,356051,354271.0,52876205.0
2004-09-21,6700,6940,6620,6850,337761,362202.0,52876205.0
2004-09-22,6830,6940,6630,6630,58932,350569.0,52876205.0
2004-09-23,6600,6840,6550,6820,153391,360616.0,52876205.0
2004-09-24,6800,6800,6670,6690,52535,353742.0,52876205.0
2004-09-30,6600,6650,6480,6540,96160,345810.0,52876205.0
2004-10-01,6600,6620,6540,6600,77000,348983.0,52876205.0
2004-10-04,6770,6850,6700,6850,364010,362202.0,52876205.0
2004-10-05,6900,6900,6720,6870,180370,363260.0,52876205.0
2004-10-06,6780,7000,6750,6900,282472,364846.0,52876205.0
2004-10-07,6820,7000,6820,6900,72610,364846.0,52876205.0
2004-10-08,6890,6890,6700,6740,160322,356386.0,52876205.0
2004-10-11,6700,6800,6600,6750,71962,356914.0,52876205.0
2004-10-12,6710,6810,6670,6740,136114,356386.0,52876205.0
2004-10-13,6710,6800,6710,6740,136530,356386.0,52876205.0
2004-10-14,6740,6750,6650,6650,129967,351627.0,52876205.0
2004-10-15,6400,6470,6340,6400,514710,338408.0,52876205.0
2004-10-18,6480,6480,6390,6400,169792,338408.0,52876205.0
2004-10-19,6470,6510,6420,6500,72227,343695.0,52876205.0
2004-10-20,6400,6560,6350,6350,112401,335764.0,52876205.0
2004-10-21,6380,6400,6330,6350,136190,335764.0,52876205.0
2004-10-22,6350,6420,6230,6280,88794,332063.0,52876205.0
2004-10-25,6200,6220,6060,6110,58903,323074.0,52876205.0
2004-10-26,6100,6310,6100,6310,43772,333649.0,52876205.0
2004-10-27,6260,6380,6170,6190,161014,327304.0,52876205.0
2004-10-28,6500,6680,6390,6450,216436,341052.0,52876205.0
2004-10-29,6550,6570,6370,6400,208252,338408.0,52876205.0
2004-11-01,6400,6490,6350,6400,59960,338408.0,52876205.0
2004-11-02,6410,6470,6410,6430,64975,339994.0,52876205.0
2004-11-03,6450,6520,6390,6520,88512,344753.0,52876205.0
2004-11-04,6690,6990,6540,6990,868910,369605.0,52876205.0
2004-11-05,7020,7450,7000,7450,1469990,393928.0,52876205.0
2004-11-08,7500,8100,7230,7890,1047930,417193.0,52876205.0
2004-11-09,7720,7960,7650,7920,388054,418780.0,52876205.0
2004-11-10,7850,7960,7800,7900,319692,417722.0,52876205.0
2004-11-11,8000,8290,8000,8290,639898,438344.0,52876205.0
2004-11-12,8410,8980,8410,8950,701618,473242.0,52876205.0
2004-11-15,9130,9900,9070,9400,1276286,497036.0,52876205.0
2004-11-16,9490,9650,9010,9350,753390,494393.0,52876205.0
2004-11-17,9500,9500,8780,8970,604740,474300.0,52876205.0
2004-11-18,8710,8910,8200,8360,1044330,442045.0,52876205.0
2004-11-19,8400,8630,8390,8420,432090,445218.0,52876205.0
2004-11-22,8180,8390,8180,8300,285400,438873.0,52876205.0
2004-11-23,8310,8630,8280,8500,417346,449448.0,52876205.0
2004-11-24,8500,9200,8500,9150,802887,483817.0,52876205.0
2004-11-25,9380,9380,8910,9150,368020,483817.0,52876205.0
2004-11-26,9150,9200,8990,9040,292950,478001.0,52876205.0
2004-11-29,9010,9100,8820,8900,150639,470598.0,52876205.0
2004-11-30,8870,9050,8680,8900,208738,470598.0,52876205.0
2004-12-01,8800,9230,8800,9150,190780,483817.0,52876205.0
2004-12-02,9290,9880,9290,9880,850726,522417.0,52876205.0
2004-12-03,9980,9980,9450,9570,158458,506025.0,52876205.0
2004-12-06,9560,9560,9200,9200,124674,486461.0,52876205.0
2004-12-07,9150,9410,9110,9200,117116,486461.0,52876205.0
2004-12-08,9050,9330,9050,9200,112142,486461.0,52876205.0
2004-12-09,9210,9250,8880,9100,294540,481173.0,52876205.0
2004-12-10,8990,9380,8980,8990,284384,475357.0,52876205.0
2004-12-13,8850,9000,8750,8820,151366,466368.0,52876205.0
2004-12-14,8910,8950,8680,8910,155124,471127.0,52876205.0
2004-12-15,8910,9070,8680,8780,176111,464253.0,52876205.0
2004-12-16,8800,8930,8720,8870,150815,469012.0,52876205.0
2004-12-17,9000,9950,9000,9480,850635,501266.0,52876205.0
2004-12-20,9450,9480,9120,9480,199330,501266.0,52876205.0
2004-12-21,9420,9510,9120,9120,163508,482231.0,52876205.0
2004-12-22,9200,9530,9200,9290,490244,491220.0,52876205.0
2004-12-23,9340,9430,9060,9060,374041,479058.0,52876205.0
2004-12-24,9100,9110,8970,9060,192043,479058.0,52876205.0
2004-12-27,9000,9060,8840,8990,144262,475357.0,52876205.0
2004-12-28,8770,9000,8770,8920,136792,471656.0,52876205.0
2004-12-29,8930,9370,8900,9360,270210,494921.0,52876205.0
2004-12-30,9390,9800,9280,9800,529668,518187.0,52876205.0
2005-01-03,9800,9800,9510,9550,109042,504968.0,52876205.0
2005-01-04,9600,9800,9380,9570,227573,506025.0,52876205.0
2005-01-05,9390,9730,9390,9590,136359,507083.0,52876205.0
2005-01-06,9670,9800,9510,9510,277642,502853.0,52876205.0
2005-01-07,9500,9790,9500,9790,584720,517658.0,52876205.0
2005-01-10,9630,9800,9510,9510,353467,502853.0,52876205.0
2005-01-11,9500,9700,9340,9680,227977,511842.0,52876205.0
2005-01-12,9630,9750,9470,9470,150005,500738.0,52876205.0
2005-01-13,9500,9630,9380,9620,99647,508669.0,52876205.0
2005-01-14,9540,9730,9540,9700,105863,512899.0,52876205.0
2005-01-17,9800,10600,9750,10500,777690,555200.0,52876205.0
2005-01-18,10500,10800,10350,10450,434880,552556.0,52876205.0
2005-01-19,10500,10550,10200,10300,247819,544625.0,52876205.0
2005-01-20,10500,10550,10250,10400,412400,549913.0,52876205.0
2005-01-21,10350,10950,10250,10800,254744,571063.0,52876205.0
2005-01-24,11000,11350,10800,11150,522990,589570.0,52876205.0
2005-01-25,11250,12350,11100,11200,1309038,592213.0,52876205.0
2005-01-26,11600,11950,11150,11300,744350,597501.0,52876205.0
2005-01-27,11450,12100,11200,11950,942572,631871.0,52876205.0
2005-01-28,11600,12200,11600,12050,223783,637158.0,52876205.0
2005-01-31,12100,12450,11850,12450,602984,658309.0,52876205.0
2005-02-01,12600,12600,12250,12500,272630,660953.0,52876205.0
2005-02-02,12500,12500,11800,12200,471103,645090.0,52876205.0
2005-02-03,12000,12200,11950,12000,203710,634514.0,52876205.0
2005-02-04,11850,12750,11850,12700,498980,671528.0,52876205.0
2005-02-07,12900,13100,12750,13100,251170,692678.0,52876205.0
2005-02-11,12800,13150,12700,13100,166318,692678.0,52876205.0
2005-02-14,13100,13200,12750,13000,475366,687391.0,52876205.0
2005-02-15,13200,13550,12800,13150,410700,695322.0,52876205.0
2005-02-16,13000,13150,12550,12650,563593,668884.0,52876205.0
2005-02-17,12600,12750,12300,12600,224975,666240.0,52876205.0
2005-02-18,12550,12800,12350,12800,276942,676815.0,52876205.0
2005-02-21,12950,13100,12600,12600,295728,666240.0,52876205.0
2005-02-22,12400,13100,12000,13000,1025239,687391.0,52876205.0
2005-02-23,13000,13000,12500,12900,309200,682103.0,52876205.0
2005-02-24,12650,13800,12500,13800,780420,729692.0,52876205.0
2005-02-25,13900,14300,13350,13350,437013,705897.0,52876205.0
2005-02-28,13700,15350,13650,15350,1711597,811650.0,52876205.0
2005-03-02,16000,16600,15100,16000,1448798,846019.0,52876205.0
2005-03-03,15600,15750,14700,15300,720611,809006.0,52876205.0
2005-03-04,15450,15450,14500,14700,406343,777280.0,52876205.0
2005-03-07,14600,15100,14600,15000,423432,793143.0,52876205.0
2005-03-08,15000,15950,14650,15200,717964,803718.0,52876205.0
2005-03-09,14900,15300,14700,14950,255415,790499.0,52876205.0
2005-03-10,14900,15350,14850,15200,280193,803718.0,52876205.0
2005-03-11,15350,15750,15200,15350,338194,811650.0,52876205.0
2005-03-14,15700,15750,15300,15750,504240,832800.0,52876205.0
2005-03-15,16000,16000,15100,15300,453555,809006.0,52876205.0
2005-03-16,15100,15800,14750,15550,343783,822225.0,52876205.0
2005-03-17,15300,15500,15000,15000,218762,793143.0,52876205.0
2005-03-18,14800,15350,14800,15300,262820,809006.0,52876205.0
2005-03-21,15350,15350,14600,15000,229290,793143.0,52876205.0
2005-03-22,15000,15150,14850,15050,148214,795787.0,52876205.0
2005-03-23,15050,15050,14450,14500,412650,766705.0,52876205.0
2005-03-24,14550,14650,13400,13700,649937,724404.0,52876205.0
2005-03-25,13850,14200,13400,14100,231024,745554.0,52876205.0
2005-03-28,14300,14600,14300,14400,190081,761417.0,52876205.0
2005-03-29,14300,14550,13600,13600,186315,719116.0,52876205.0
2005-03-30,13700,13900,13450,13700,143322,724404.0,52876205.0
2005-03-31,14050,14100,13600,13700,277881,724404.0,52876205.0
