이건산업(008250),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-03-10,6795,7691,6746,7106,151860,30251.0,4144005.0
1999-03-11,7107,7486,7009,7262,62380,30914.0,4144005.0
1999-03-12,7282,7545,7262,7262,80060,30914.0,4144005.0
1999-03-15,7262,7496,7107,7126,69360,30334.0,4144005.0
1999-03-16,7126,7253,7068,7096,32160,30210.0,4144005.0
1999-03-17,7155,7253,6961,6960,54840,29630.0,4144005.0
1999-03-18,6912,6990,6669,6678,35490,28428.0,4144005.0
1999-03-19,6630,7048,6630,7048,57060,30003.0,4144005.0
1999-03-22,6912,7116,6815,6960,56100,29630.0,4144005.0
1999-03-23,6951,7301,6912,6960,86590,29630.0,4144005.0
1999-03-24,7058,7486,6970,7262,157780,30914.0,4144005.0
1999-03-25,7262,7399,7068,7203,67970,30666.0,4144005.0
1999-03-26,7253,7739,7126,7398,231110,31494.0,4144005.0
1999-03-29,7399,7691,7253,7311,126810,31121.0,4144005.0
1999-03-30,7496,8255,7496,7934,348580,33774.0,4144005.0
1999-03-31,7934,8080,7691,7934,142720,33774.0,4144005.0
1999-04-01,7934,8080,7739,7797,132370,33193.0,4144005.0
1999-04-02,7905,8031,7593,7622,82160,32448.0,4144005.0
1999-04-06,7837,8022,7691,8021,129370,34147.0,4144005.0
1999-04-07,8022,8557,8022,8128,241700,34602.0,4144005.0
1999-04-08,8119,8158,7798,8080,67590,34395.0,4144005.0
1999-04-09,8080,8353,8080,8080,98210,34395.0,4144005.0
1999-04-12,7983,8080,7749,7788,87410,33152.0,4144005.0
1999-04-13,7963,8070,7710,7788,80020,33152.0,4144005.0
1999-04-14,7788,8460,7788,8226,220810,35017.0,4144005.0
1999-04-15,8275,8713,8275,8469,213380,36053.0,4144005.0
1999-04-16,8460,8596,7934,7982,141520,33981.0,4144005.0
1999-04-19,7895,8275,7895,7982,106220,33981.0,4144005.0
1999-04-20,8752,8956,8324,8810,284760,37503.0,4144005.0
1999-04-21,8956,10027,8956,9443,388890,40197.0,4144005.0
1999-04-22,9443,9930,9248,9384,231030,39948.0,4144005.0
1999-04-23,9385,9638,9054,9637,140870,41026.0,4144005.0
1999-04-26,9735,10125,9443,9540,177860,40611.0,4144005.0
1999-04-27,9540,10222,9540,10027,184910,42683.0,4144005.0
1999-04-28,10222,10806,9735,10611,222890,45170.0,4144005.0
1999-04-29,10709,11585,10611,10805,179630,45998.0,4144005.0
1999-04-30,11195,11195,10125,10416,120780,44341.0,4144005.0
1999-05-03,10222,10903,10222,10708,130060,45584.0,4144005.0
1999-05-04,11293,12169,11293,11487,273830,48899.0,4144005.0
1999-05-06,11828,12850,11682,12850,215620,54701.0,4144005.0
1999-05-07,13142,13532,12461,12655,178380,53872.0,4144005.0
1999-05-10,14554,14554,13921,14553,316800,61953.0,4144005.0
1999-05-11,15625,16209,14603,14602,353480,62160.0,4144005.0
1999-05-12,15187,15187,13142,14213,172520,60502.0,4144005.0
1999-05-13,14505,16306,14505,16306,437440,69412.0,4144005.0
1999-05-14,16404,16404,13873,13872,373410,59052.0,4144005.0
1999-05-17,12899,13434,11828,11828,260070,50350.0,4144005.0
1999-05-18,11487,12412,11244,12314,236400,52422.0,4144005.0
1999-05-19,12558,13288,12461,12655,223930,53872.0,4144005.0
1999-05-20,12656,13532,11682,11876,162520,50557.0,4144005.0
1999-05-21,12120,12364,11487,11876,105540,50557.0,4144005.0
1999-05-24,11633,12169,10903,12120,115880,51593.0,4144005.0
1999-05-25,12461,13045,12169,12168,277170,51800.0,4144005.0
1999-05-26,12656,13386,12218,12655,182700,53872.0,4144005.0
1999-05-27,12948,13824,12558,12947,305870,55115.0,4144005.0
1999-05-28,13240,13483,12461,12752,123670,54286.0,4144005.0
1999-05-31,12850,13045,12266,12363,99720,52629.0,4144005.0
1999-06-01,11925,12558,11925,12314,72650,52422.0,4144005.0
1999-06-02,12364,12656,12023,12412,85080,52836.0,4144005.0
1999-06-03,12656,12656,11974,12460,96980,53043.0,4144005.0
1999-06-04,12364,13240,12364,12655,198500,53872.0,4144005.0
1999-06-07,12266,12948,12266,12899,114420,54908.0,4144005.0
1999-06-08,12996,13142,12558,12801,126300,54494.0,4144005.0
1999-06-09,12850,13629,12558,12801,212010,54494.0,4144005.0
1999-06-10,12656,12850,12461,12801,62260,54494.0,4144005.0
1999-06-11,12607,13240,12461,12460,100550,53043.0,4144005.0
1999-06-14,12169,12558,12023,12022,55420,51178.0,4144005.0
1999-06-15,11731,12315,11001,11390,61360,48485.0,4144005.0
1999-06-16,11390,11877,11244,11876,63280,50557.0,4144005.0
1999-06-17,11877,12218,11585,11633,66250,49521.0,4144005.0
1999-06-18,11682,11682,11195,11487,45600,48899.0,4144005.0
1999-06-21,11244,11487,10222,10903,74270,46413.0,4144005.0
1999-06-22,10903,11195,10319,10903,56740,46413.0,4144005.0
1999-06-23,11195,11487,10611,11487,74400,48899.0,4144005.0
1999-06-24,11293,12315,11293,11974,111550,50971.0,4144005.0
1999-06-25,11974,12120,11779,11974,62560,50971.0,4144005.0
1999-06-28,11974,12266,11487,11876,52480,50557.0,4144005.0
1999-06-29,11682,12023,11195,11828,91640,50350.0,4144005.0
1999-06-30,11682,13337,11682,13045,227980,55530.0,4144005.0
1999-07-01,13434,14992,13142,14602,294820,62160.0,4144005.0
1999-07-02,14408,15089,14019,14213,198650,60502.0,4144005.0
1999-07-05,14700,15381,14311,14407,172550,61331.0,4144005.0
1999-07-06,14603,15089,14213,14261,105290,60710.0,4144005.0
1999-07-07,14311,14603,13629,14505,119200,61746.0,4144005.0
1999-07-08,14116,15187,14116,15089,154700,64232.0,4144005.0
1999-07-09,15576,15576,14603,14602,136150,62160.0,4144005.0
1999-07-12,14797,15041,14311,14505,135860,61746.0,4144005.0
1999-07-13,13824,14603,13532,13629,113550,58016.0,4144005.0
1999-07-14,13775,13921,12656,13531,80250,57602.0,4144005.0
1999-07-15,12753,13629,12753,13531,39010,57602.0,4144005.0
1999-07-16,13726,14116,13532,13531,91720,57602.0,4144005.0
1999-07-19,13532,14116,12948,13726,123090,58430.0,4144005.0
1999-07-20,14116,15089,13824,14018,247070,59674.0,4144005.0
1999-07-21,14408,14700,13240,13434,80900,57187.0,4144005.0
1999-07-22,13434,13629,12656,13337,86910,56773.0,4144005.0
1999-07-23,12899,13288,11779,11876,103850,50557.0,4144005.0
1999-07-26,11877,12461,11195,11195,60900,47656.0,4144005.0
1999-07-27,10903,11877,10903,11730,41220,49935.0,4144005.0
1999-07-28,11633,12364,11293,11876,58030,50557.0,4144005.0
1999-07-29,11390,12704,11390,12460,82670,53043.0,4144005.0
1999-07-30,12850,12850,11536,11779,54760,50142.0,4144005.0
1999-08-02,11779,11974,10903,11974,75240,50971.0,4144005.0
1999-08-03,11487,12169,11487,12120,41490,51593.0,4144005.0
1999-08-04,12266,12315,11877,12071,48790,51386.0,4144005.0
1999-08-05,11487,12169,11487,11487,57800,48899.0,4144005.0
1999-08-06,11487,11974,11293,11292,32610,48070.0,4144005.0
1999-08-09,11585,11585,11098,11292,33970,48070.0,4144005.0
1999-08-10,11585,11974,11293,11682,61010,49728.0,4144005.0
1999-08-11,11682,11682,11293,11584,28220,49314.0,4144005.0
1999-08-12,11244,11877,11244,11779,35590,50142.0,4144005.0
1999-08-13,11779,11779,11293,11292,21330,48070.0,4144005.0
1999-08-16,11293,11390,11098,11146,20840,47449.0,4144005.0
1999-08-17,11585,11585,9492,10513,36140,47793.0,4425265.0
1999-08-18,10319,10319,9102,10221,23610,46465.0,4425265.0
1999-08-19,10514,10514,10125,10221,51640,46465.0,4425265.0
1999-08-20,10417,10611,9735,10027,70720,45580.0,4425265.0
1999-08-23,9647,10611,9647,10513,80070,47793.0,4425265.0
1999-08-24,10514,10709,9735,10221,94420,46465.0,4425265.0
1999-08-25,10417,11098,10319,11049,141740,50227.0,4425265.0
1999-08-26,11098,12169,10806,11098,126280,50448.0,4425265.0
1999-08-27,11487,11487,10709,10708,50600,48678.0,4425265.0
1999-08-30,10806,10806,10417,10562,46470,48014.0,4425265.0
1999-08-31,10027,10709,10027,10562,31610,48014.0,4425265.0
1999-09-01,10611,10611,9930,10124,15790,46023.0,4425265.0
1999-09-02,8762,10027,8762,9735,55060,44253.0,4425265.0
1999-09-03,11195,11195,10125,10221,55190,46465.0,4425265.0
1999-09-06,10222,10319,10125,10221,18150,46465.0,4425265.0
1999-09-07,11098,11098,10319,10611,37960,48235.0,4425265.0
1999-09-08,10417,10417,10125,10173,22130,46244.0,4425265.0
1999-09-09,10222,10611,10125,10221,21590,46465.0,4425265.0
1999-09-10,10222,11487,10125,11000,99800,50005.0,4425265.0
1999-09-13,11001,11585,10611,11584,76360,52661.0,4425265.0
1999-09-14,11974,12558,11731,11779,321770,53546.0,4425265.0
1999-09-15,11779,11779,11001,11195,76770,50891.0,4425265.0
1999-09-16,11487,11487,10660,10805,51830,49120.0,4425265.0
1999-09-17,10903,11390,10611,11195,115220,50891.0,4425265.0
1999-09-20,11390,11585,11195,11195,38510,50891.0,4425265.0
1999-09-21,10903,11585,10903,11438,34170,51997.0,4425265.0
1999-09-22,11828,12412,11682,11682,190440,53103.0,4425265.0
1999-09-27,11779,11779,11195,11341,33180,51554.0,4425265.0
1999-09-28,11195,11585,10709,11049,41840,50227.0,4425265.0
1999-09-29,11001,11195,10465,10513,40740,47793.0,4425265.0
1999-09-30,10514,10514,9735,9735,30320,44253.0,4425265.0
1999-10-01,9735,9735,8567,9053,41170,41155.0,4425265.0
1999-10-04,9443,9618,8762,8761,23740,39827.0,4425265.0
1999-10-05,8567,9151,8177,8177,33050,37172.0,4425265.0
1999-10-06,7223,9248,7223,8615,92550,39164.0,4425265.0
1999-10-07,8586,8956,8586,8858,32230,40270.0,4425265.0
1999-10-08,9248,9540,9054,9258,37190,42084.0,4425265.0
1999-10-11,9229,9297,8762,9053,21470,41155.0,4425265.0
1999-10-12,9200,9511,9200,9297,53710,42261.0,4425265.0
1999-10-13,9297,9735,8762,9735,35350,44253.0,4425265.0
1999-10-14,9248,9540,9151,9540,31340,43368.0,4425265.0
1999-10-15,9930,10611,9443,9783,158140,44474.0,4425265.0
1999-10-18,9725,9725,9005,9034,33610,41066.0,4425265.0
1999-10-19,9034,9248,8791,8800,22960,40004.0,4425265.0
1999-10-20,9063,9102,8898,8966,26320,40757.0,4425265.0
1999-10-21,9054,9248,8888,8917,13500,40535.0,4425265.0
1999-10-22,8762,9443,8762,9443,49620,42925.0,4425265.0
1999-10-25,9443,9550,9005,9443,46210,42925.0,4425265.0
1999-10-26,9443,9930,9151,9637,91230,43810.0,4425265.0
1999-10-27,9735,9930,9511,9881,91770,44916.0,4425265.0
1999-10-28,9930,10125,9443,9511,51620,43235.0,4425265.0
1999-10-29,9316,9735,9316,9394,35310,42704.0,4425265.0
1999-11-01,9638,9638,9278,9462,45050,43014.0,4425265.0
1999-11-02,9589,10076,9550,9686,85320,44031.0,4425265.0
1999-11-03,9599,10417,9346,10416,121800,47350.0,4425265.0
1999-11-04,10417,10709,10076,10416,115510,47350.0,4425265.0
1999-11-05,10417,10611,9784,9881,81650,44916.0,4425265.0
1999-11-08,10076,10076,9540,9540,56200,43368.0,4425265.0
1999-11-09,9540,9735,9443,9540,69020,43368.0,4425265.0
1999-11-10,9735,9735,9375,9550,64420,43412.0,4425265.0
1999-11-11,9443,10027,9346,9686,111190,44031.0,4425265.0
1999-11-12,9784,9784,9180,9180,51620,41730.0,4425265.0
1999-11-15,9346,9589,8956,9063,53990,41199.0,4425265.0
1999-11-16,9336,9336,8830,8907,70520,40491.0,4425265.0
1999-11-17,9005,9005,8275,8469,51100,38500.0,4425265.0
1999-11-18,8470,8664,8275,8566,26080,38942.0,4425265.0
1999-11-19,8294,8567,8294,8381,37580,38102.0,4425265.0
1999-11-22,8304,8947,8187,8518,36660,38721.0,4425265.0
1999-11-23,8372,8664,8275,8323,30570,37836.0,4425265.0
1999-11-24,8187,8275,7788,7982,42550,36287.0,4425265.0
1999-11-25,7399,7963,7399,7612,24710,34606.0,4425265.0
1999-11-26,7496,7593,6961,6960,28560,31641.0,4425265.0
1999-11-29,6961,7993,6717,7778,52740,35358.0,4425265.0
1999-11-30,6863,7778,6863,7671,32530,34871.0,4425265.0
1999-12-01,7671,7788,7360,7398,19490,33632.0,4425265.0
1999-12-02,7399,7691,7214,7690,21790,34960.0,4425265.0
1999-12-03,7798,8275,7506,8167,50270,37128.0,4425265.0
1999-12-06,8177,8177,7691,8177,42990,37172.0,4425265.0
1999-12-07,8148,8158,7418,7418,15220,33721.0,4425265.0
1999-12-08,6338,7233,6338,7106,24680,32304.0,4425265.0
1999-12-09,6834,7885,6834,7739,37180,35181.0,4425265.0
1999-12-10,8177,8177,7311,7788,42450,35402.0,4425265.0
1999-12-13,8080,8080,7691,7690,14980,34960.0,4425265.0
1999-12-14,7506,7934,7506,7885,31630,35845.0,4425265.0
1999-12-15,7885,8177,7331,7408,34040,33676.0,4425265.0
1999-12-16,7584,7778,7116,7252,13500,32968.0,4425265.0
1999-12-17,7301,7467,6931,7019,39590,31906.0,4425265.0
1999-12-20,6941,7175,6863,6863,48710,31198.0,4425265.0
1999-12-21,6776,6815,6133,6619,52770,30092.0,4425265.0
1999-12-22,6912,7292,6620,6911,111480,31419.0,4425265.0
1999-12-23,6912,7009,6630,6863,54270,31198.0,4425265.0
1999-12-24,6571,7107,6571,6580,30510,29915.0,4425265.0
1999-12-27,6484,6717,5987,6395,31840,29074.0,4425265.0
1999-12-28,6425,6523,6036,6279,46330,28543.0,4425265.0
2000-01-04,5646,6201,5607,6094,14940,27702.0,4425265.0
2000-01-05,6036,6571,5666,6133,40870,27879.0,4425265.0
2000-01-06,6376,6376,5997,5996,10290,27260.0,4425265.0
2000-01-07,6289,6289,5938,6035,8780,27437.0,4425265.0
2000-01-10,6143,6464,6036,6191,24890,28145.0,4425265.0
2000-01-11,6240,6425,6036,6415,28470,29162.0,4425265.0
2000-01-12,6376,6669,6133,6327,48070,28764.0,4425265.0
2000-01-13,6328,7272,6143,7272,113870,33057.0,4425265.0
2000-01-14,6230,7691,6230,6999,98530,31818.0,4425265.0
2000-01-17,7107,7438,6912,7126,80530,32393.0,4425265.0
2000-01-18,6961,7399,6961,7194,59150,32703.0,4425265.0
2000-01-19,7019,7885,7019,7301,97880,33189.0,4425265.0
2000-01-20,7107,7399,6669,7009,31960,31862.0,4425265.0
2000-01-21,7009,7253,6815,6814,26660,30977.0,4425265.0
2000-01-24,6737,7593,6737,7009,24090,31862.0,4425265.0
2000-01-25,7301,7301,6922,7106,28630,32304.0,4425265.0
2000-01-26,7107,7292,7019,7106,29390,32304.0,4425265.0
2000-01-27,7136,7593,6931,7359,37060,33455.0,4425265.0
2000-01-28,7389,7691,7389,7418,21750,33721.0,4425265.0
2000-01-31,7301,7593,7107,7398,22360,33632.0,4425265.0
2000-02-01,7077,7574,7077,7496,17560,34075.0,4425265.0
2000-02-02,7496,8460,7496,7973,119870,36243.0,4425265.0
2000-02-03,7973,8080,7652,7788,34110,35402.0,4425265.0
2000-02-07,7983,7983,7399,7525,25560,34207.0,4425265.0
2000-02-08,7545,7837,7301,7768,27310,35314.0,4425265.0
2000-02-09,7788,7788,7204,7203,16240,32747.0,4425265.0
2000-02-10,7107,7107,6815,6941,16030,31552.0,4425265.0
2000-02-11,6649,7009,6630,6639,24600,30180.0,4425265.0
2000-02-14,6338,6620,6036,6035,13000,27437.0,4425265.0
2000-02-15,6084,6620,6084,6512,17010,29605.0,4425265.0
2000-02-16,6425,6727,6328,6668,11410,30313.0,4425265.0
2000-02-17,6669,6815,6328,6814,17280,30977.0,4425265.0
2000-02-18,6542,6902,6523,6814,11890,30977.0,4425265.0
2000-02-21,6523,6620,6474,6619,11310,30092.0,4425265.0
2000-02-22,6279,6669,6279,6668,16880,30313.0,4425265.0
2000-02-23,6815,7253,6338,6960,19390,31641.0,4425265.0
2000-02-24,6961,7496,6669,6678,16400,30357.0,4425265.0
2000-02-25,6970,6970,6484,6814,8300,30977.0,4425265.0
2000-02-28,6571,7467,6571,7301,45690,33189.0,4425265.0
2000-02-29,7253,7399,7126,7242,21450,32924.0,4425265.0
2000-03-02,7301,7477,7068,7203,26270,32747.0,4425265.0
2000-03-03,6824,7301,6824,6834,13170,31065.0,4425265.0
2000-03-06,6785,7253,6523,7184,82530,32658.0,4425265.0
2000-03-07,7204,7204,6912,7009,24970,31862.0,4425265.0
2000-03-08,6990,6990,6630,6717,20420,30534.0,4425265.0
2000-03-09,6815,7185,6737,7145,42300,32481.0,4425265.0
2000-03-10,7301,7593,6941,7155,40660,32526.0,4425265.0
2000-03-13,7545,8216,7496,8080,101680,36730.0,4425265.0
2000-03-14,8372,9278,7788,7788,153270,35402.0,4425265.0
2000-03-15,8080,8080,7214,8031,51940,36508.0,4425265.0
2000-03-16,7934,8080,7107,7106,40730,32304.0,4425265.0
2000-03-17,7399,7496,6863,7252,45560,32968.0,4425265.0
2000-03-20,6961,7885,6737,7106,30640,32304.0,4425265.0
2000-03-21,7204,7477,6863,6941,29380,31552.0,4425265.0
2000-03-22,6746,7107,6649,7106,30400,32304.0,4425265.0
2000-03-23,7272,7272,6727,6834,17030,31065.0,4425265.0
2000-03-24,6912,7379,6746,7184,27240,32658.0,4425265.0
2000-03-27,7301,7593,7204,7242,25800,32924.0,4425265.0
2000-03-28,7214,7496,7000,7194,20710,32703.0,4425265.0
2000-03-29,7175,7233,6863,6989,28610,31773.0,4425265.0
2000-03-30,6990,7146,6678,6678,14380,30357.0,4425265.0
2000-03-31,6435,6766,6435,6639,7500,30180.0,4425265.0
2000-04-03,6523,6717,6201,6220,12930,28277.0,4425265.0
2000-04-04,6328,6523,5938,6240,11860,28366.0,4425265.0
2000-04-06,6435,6435,6055,6094,5720,27702.0,4425265.0
2000-04-07,6036,6279,6036,6094,15600,27702.0,4425265.0
2000-04-10,6143,6600,6143,6503,62960,29561.0,4425265.0
2000-04-11,6610,6610,6240,6269,5390,28499.0,4425265.0
2000-04-12,6162,6308,6114,6142,13340,27923.0,4425265.0
2000-04-14,6055,6221,5948,6133,27450,27879.0,4425265.0
2000-04-17,5899,5899,5237,5373,24680,24427.0,4425265.0
2000-04-18,5831,5831,5384,5500,9040,25003.0,4425265.0
2000-04-19,5598,5841,5549,5568,21440,25313.0,4425265.0
2000-04-20,5384,5744,5384,5549,11250,25224.0,4425265.0
2000-04-21,5559,5695,5471,5695,20070,25888.0,4425265.0
2000-04-24,5744,5792,5646,5646,7800,25667.0,4425265.0
2000-04-25,5646,5695,5559,5636,5450,25622.0,4425265.0
2000-04-26,5549,5792,5403,5402,5910,24560.0,4425265.0
2000-04-27,5452,6036,5160,5792,30510,26330.0,4425265.0
2000-04-28,5822,5880,5549,5549,11660,25224.0,4425265.0
2000-05-02,5646,5646,5354,5451,24050,24781.0,4425265.0
2000-05-03,5491,5890,5452,5753,14650,26153.0,4425265.0
2000-05-04,5559,5938,5559,5665,9080,25755.0,4425265.0
2000-05-08,5578,6026,5578,5704,17480,25932.0,4425265.0
2000-05-09,5705,5938,5656,5656,10890,25711.0,4425265.0
2000-05-10,5783,5783,5646,5743,9520,26109.0,4425265.0
2000-05-12,5695,5831,5500,5782,17270,26286.0,4425265.0
2000-05-15,5773,5773,5306,5305,14490,24118.0,4425265.0
2000-05-16,5306,5724,5306,5568,23750,25313.0,4425265.0
2000-05-17,5646,5734,5452,5617,40870,25534.0,4425265.0
2000-05-18,5646,5705,5160,5256,37850,23896.0,4425265.0
2000-05-19,4945,6045,4858,6045,13970,27481.0,4425265.0
2000-05-22,5160,5549,5140,5140,11380,23365.0,4425265.0
2000-05-23,4829,4829,4410,4410,18670,20046.0,4425265.0
2000-05-24,4118,4478,3991,4458,8550,20268.0,4425265.0
2000-05-25,4478,5023,4459,4682,28820,21286.0,4425265.0
2000-05-26,4673,4770,4283,4283,4580,19471.0,4425265.0
2000-05-29,4381,4527,4147,4380,7000,19914.0,4425265.0
2000-05-30,4478,4868,4478,4828,25800,21949.0,4425265.0
2000-05-31,4809,5062,4809,4867,28550,22126.0,4425265.0
2000-06-01,4887,4906,4551,4590,10020,20865.0,4425265.0
2000-06-02,4692,4770,4575,4672,22990,21241.0,4425265.0
2000-06-05,4673,5062,4673,4955,41150,22525.0,4425265.0
2000-06-07,5033,5140,4877,5130,35280,23321.0,4425265.0
2000-06-08,5130,5130,4741,4867,31250,22126.0,4425265.0
2000-06-09,4868,4916,4707,4721,18330,21463.0,4425265.0
2000-06-12,4722,4936,4624,4818,18040,21905.0,4425265.0
2000-06-13,4799,4868,4624,4624,14310,21020.0,4425265.0
2000-06-14,4624,4770,4595,4643,10350,21109.0,4425265.0
2000-06-15,4527,4624,4303,4302,4630,19560.0,4425265.0
2000-06-16,4181,4439,4181,4380,8710,19914.0,4425265.0
2000-06-19,4429,4429,4235,4244,1610,19294.0,4425265.0
2000-06-20,4098,4361,4098,4205,10950,19117.0,4425265.0
2000-06-21,4235,4332,4215,4332,7250,19692.0,4425265.0
2000-06-22,4235,4770,4191,4458,22840,20268.0,4425265.0
2000-06-23,4429,4429,4240,4322,8460,19648.0,4425265.0
2000-06-26,4322,4468,4322,4361,11440,19825.0,4425265.0
2000-06-27,4361,4449,4361,4380,12730,19914.0,4425265.0
2000-06-28,4391,4751,4371,4478,18260,20356.0,4425265.0
2000-06-29,4381,4751,4381,4448,10970,20223.0,4425265.0
2000-06-30,4439,4614,4429,4614,17440,20976.0,4425265.0
2000-07-03,4614,5062,4614,4945,19440,22480.0,4425265.0
2000-07-04,4965,5111,4819,4867,11710,22126.0,4425265.0
2000-07-05,4731,5043,4683,4682,17750,21286.0,4425265.0
2000-07-06,4731,5384,4731,5062,27010,23011.0,4425265.0
2000-07-07,5111,5208,4702,4945,40990,22480.0,4425265.0
2000-07-10,4984,5091,4945,5003,14390,22746.0,4425265.0
2000-07-11,5004,5082,4868,4877,11290,22171.0,4425265.0
2000-07-12,4780,5062,4780,4964,15890,22569.0,4425265.0
2000-07-13,4926,4994,4916,4994,5790,22702.0,4425265.0
2000-07-14,4994,4994,4790,4945,6180,22480.0,4425265.0
2000-07-18,4760,4975,4673,4760,6450,21640.0,4425265.0
2000-07-19,4770,4770,4381,4468,4330,20312.0,4425265.0
2000-07-20,4391,4527,4381,4521,5840,20555.0,4425265.0
2000-07-21,4575,4663,4283,4487,2700,20400.0,4425265.0
2000-07-24,4386,4546,4381,4429,8160,20135.0,4425265.0
2000-07-25,4313,4478,4313,4439,2100,20179.0,4425265.0
2000-07-26,4361,4468,4235,4380,7550,19914.0,4425265.0
2000-07-27,4094,4293,4094,4259,6670,19361.0,4425265.0
2000-07-28,4283,4371,4157,4156,7460,18896.0,4425265.0
2000-07-31,4293,4293,4167,4195,2990,19073.0,4425265.0
2000-08-01,4196,4371,4196,4371,8510,19869.0,4425265.0
2000-08-02,4371,4381,4303,4322,6160,19648.0,4425265.0
2000-08-03,4283,4507,4283,4283,3340,19471.0,4425265.0
2000-08-04,4298,4347,4206,4205,4490,19117.0,4425265.0
2000-08-07,4176,4186,4089,4186,1830,19029.0,4425265.0
2000-08-08,4137,4381,4137,4380,11430,19914.0,4425265.0
2000-08-09,4381,4429,4283,4371,7390,19869.0,4425265.0
2000-08-10,4371,4371,4206,4322,7610,19648.0,4425265.0
2000-08-11,4235,4459,4235,4332,8440,19692.0,4425265.0
2000-08-14,4517,4945,4454,4721,19000,21463.0,4425265.0
2000-08-16,4741,4770,4673,4677,7280,21263.0,4425265.0
2000-08-17,4585,5062,4585,4585,8320,20843.0,4425265.0
2000-08-18,4639,4741,4585,4663,6720,21197.0,4425265.0
2000-08-21,4673,4751,4575,4672,1510,21241.0,4425265.0
2000-08-22,4673,4702,4575,4590,1670,20865.0,4425265.0
2000-08-23,4673,4673,4595,4594,1380,20887.0,4425265.0
2000-08-24,4624,4644,4507,4507,5570,20489.0,4425265.0
2000-08-25,4395,4926,4395,4760,5560,21640.0,4425265.0
2000-08-28,4527,4770,4527,4760,2290,21640.0,4425265.0
2000-08-29,4760,4916,4668,4867,22200,22126.0,4425265.0
2000-08-30,4887,4916,4692,4794,4110,21794.0,4425265.0
2000-08-31,4795,4858,4687,4692,4890,21330.0,4425265.0
2000-09-01,4868,4868,4634,4765,23720,21662.0,4425265.0
2000-09-04,4819,5471,4819,5422,136250,24649.0,4425265.0
2000-09-05,5393,5393,4897,4916,59830,22348.0,4425265.0
2000-09-06,5014,5306,4916,5013,31030,22790.0,4425265.0
2000-09-07,5014,5101,4770,4857,21710,22082.0,4425265.0
2000-09-08,4858,4945,4624,4702,24500,21374.0,4425265.0
2000-09-14,4614,4668,4580,4663,3350,21197.0,4425265.0
2000-09-15,4663,4848,4605,4711,20240,21418.0,4425265.0
2000-09-18,4673,4673,4006,4137,30520,18807.0,4425265.0
