엔케이물산(009810),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-03-05,1051288,1077353,1030436,1059976,506400,16915.0,2773024.0
1999-03-08,1126004,1126004,1077349,1103414,1283200,17609.0,2773024.0
1999-03-09,1120791,1120791,1068661,1077349,763200,17193.0,2773024.0
1999-03-10,1061710,1086037,1044333,1054760,519800,16832.0,2773024.0
1999-03-11,1059973,1084300,1054760,1077349,926100,17193.0,2773024.0
1999-03-12,1094728,1172923,1086039,1105154,1293700,17636.0,2773024.0
1999-03-15,1131218,1160758,1113841,1117317,820100,17831.0,2773024.0
1999-03-16,1103416,1146857,1094728,1120792,863500,17886.0,2773024.0
1999-03-17,1120794,1132957,1086040,1086041,613900,17331.0,2773024.0
1999-03-18,1061711,1094727,1042597,1042597,843200,16638.0,2773024.0
1999-03-19,1009584,1073878,1009584,1059976,533500,16915.0,2773024.0
1999-03-22,1047807,1075610,1025218,1033906,610200,16499.0,2773024.0
1999-03-23,1033908,1056497,1016531,1047808,537300,16721.0,2773024.0
1999-03-24,1033908,1096464,1028695,1077349,1018400,17193.0,2773024.0
1999-03-25,1077353,1094730,1058239,1063452,621800,16971.0,2773024.0
1999-03-26,1063449,1136431,1059974,1094727,1409300,17470.0,2773024.0
1999-03-29,1068661,1077349,1042596,1047808,910600,16721.0,2773024.0
1999-03-30,1051288,1073878,1047813,1059976,834700,16915.0,2773024.0
1999-03-31,1059977,1094730,1059977,1063452,656400,16971.0,2773024.0
1999-04-01,1072136,1084299,1051284,1051284,758900,16777.0,2773024.0
1999-04-02,1059973,1077350,1033908,1042597,1163100,16638.0,2773024.0
1999-04-06,1051285,1073875,1035646,1068662,1067900,17054.0,2773024.0
1999-04-07,1077349,1167707,1059973,1129479,2342200,18025.0,2773024.0
1999-04-08,1190300,1190300,1112105,1138170,2395500,18163.0,2773024.0
1999-04-09,1136431,1164234,1099940,1120792,1304100,17886.0,2773024.0
1999-04-12,1106891,1155546,1094728,1098203,1064800,17526.0,2773024.0
1999-04-13,1077350,1127742,1077350,1094727,1056000,17470.0,2773024.0
1999-04-14,1094727,1251116,1086038,1165971,2683400,18607.0,2773024.0
1999-04-15,1165972,1197249,1131219,1146857,1321800,18302.0,2773024.0
1999-04-16,1181612,1192038,1112105,1112106,1461200,17747.0,2773024.0
1999-04-19,1129481,1129481,1094728,1098203,935100,17526.0,2773024.0
1999-04-20,1094727,1145119,1079088,1094727,1432800,17470.0,2773024.0
1999-04-21,1126004,1172922,1094727,1110365,997600,17720.0,2773024.0
1999-04-22,1112106,1126007,1079090,1086041,917700,17331.0,2773024.0
1999-04-23,1086039,1129481,1080826,1098203,983900,17526.0,2773024.0
1999-04-26,1126007,1126007,1070401,1086041,1006400,17331.0,2773024.0
1999-04-27,1086040,1101680,1068663,1086041,1355700,17331.0,2773024.0
1999-04-28,1112102,1247640,1096464,1247640,3151700,19910.0,2773024.0
1999-04-29,1390129,1407505,1270230,1270230,4390400,20271.0,2773024.0
1999-04-30,1268496,1270234,1181613,1197252,2310300,19106.0,2773024.0
1999-05-03,1242428,1355376,1216363,1277181,2224800,20382.0,2773024.0
1999-05-04,1329315,1338004,1249383,1285873,2333100,20520.0,2773024.0
1999-05-06,1303249,1390133,1292823,1390132,2961600,22184.0,2773024.0
1999-05-07,1390128,1503077,1355375,1459635,4659200,23293.0,2773024.0
1999-05-10,1494388,1678581,1477012,1678580,6189100,26787.0,2773024.0
1999-05-11,1772418,1928807,1737664,1928807,5507100,30781.0,2773024.0
1999-05-12,1876674,1894051,1689006,1841920,5258600,29394.0,2773024.0
1999-05-13,1885365,1998313,1755040,1755040,3157700,28008.0,2773024.0
1999-05-14,1772417,1989626,1624716,1720288,6742000,27453.0,2773024.0
1999-05-17,1565633,1702909,1529143,1529143,2150400,24403.0,2773024.0
1999-05-18,1563896,1586486,1360590,1424883,1637800,22739.0,2773024.0
1999-05-19,1485701,1586485,1443997,1477013,1782200,23571.0,2773024.0
1999-05-20,1477016,1477016,1372755,1442262,1913100,23016.0,2773024.0
1999-05-21,1511765,1546518,1443996,1459635,1671800,23293.0,2773024.0
1999-05-24,1470059,1470059,1285866,1311932,793000,20936.0,2773024.0
1999-05-25,1311935,1381441,1277181,1329311,648300,21214.0,2773024.0
1999-05-26,1329314,1494392,1320625,1442262,1082600,23016.0,2773024.0
1999-05-27,1477011,1525665,1407504,1407505,2231400,22461.0,2773024.0
1999-05-28,1442261,1459637,1390131,1398819,1048000,22323.0,2773024.0
1999-05-31,1424882,1511765,1391866,1459635,2418600,23293.0,2773024.0
1999-06-01,1435312,1442262,1372756,1390132,863900,22184.0,2773024.0
1999-06-02,1390132,1407508,1325838,1353640,1510900,21602.0,2773024.0
1999-06-03,1388394,1393608,1216366,1216365,2306700,24167.0,3452445.0
1999-06-04,1268491,1320620,1207672,1207673,3574600,23994.0,3452445.0
1999-06-07,1233739,1277180,1207674,1225051,4137400,24340.0,3452445.0
1999-06-08,1233741,1249379,1120793,1120792,4826700,27123.0,4205129.0
1999-06-09,1172922,1232003,1146857,1146857,4710100,27754.0,4205129.0
1999-06-10,1183346,1212887,1146855,1162494,2200000,28132.0,4205129.0
1999-06-11,1167711,1212889,1141646,1183349,2154400,28637.0,4205129.0
1999-06-14,1132954,1285868,1132954,1218100,3003400,29478.0,4205129.0
1999-06-15,1266758,1266758,1129482,1171187,1805600,28343.0,4205129.0
1999-06-16,1188559,1225050,1172920,1214624,1967700,29394.0,4205129.0
1999-06-17,1198988,1216365,1172922,1179873,1318400,28553.0,4205129.0
1999-06-18,1155547,1198989,1155547,1171187,1125300,28343.0,4205129.0
1999-06-21,1181611,1216364,1146857,1146857,1100000,27754.0,4205129.0
1999-06-22,1146856,1284131,1129479,1251116,3171600,30277.0,4205129.0
1999-06-23,1318887,1318887,1202463,1209414,1582500,29268.0,4205129.0
1999-06-24,1211153,1390133,1198990,1390132,3863600,33641.0,4205129.0
1999-06-25,1381440,1581270,1358850,1485700,9029400,35954.0,4205129.0
1999-06-28,1546522,1546522,1358854,1386657,2836700,33557.0,4205129.0
1999-06-29,1424884,1511768,1372754,1372754,3561600,33221.0,4205129.0
1999-06-30,1381443,1424884,1320624,1372754,4279000,36048.0,4562997.0
1999-07-01,1337998,1423144,1337998,1355375,2529100,35591.0,4562997.0
1999-07-02,1364064,1537831,1364064,1477013,5858700,38785.0,4562997.0
1999-07-05,1529141,1629925,1511764,1616023,5739500,42436.0,4562997.0
1999-07-06,1616028,1650781,1581275,1598651,4006600,41980.0,4562997.0
1999-07-07,1616023,1616023,1511763,1534353,2875300,40291.0,4562997.0
1999-07-08,1537832,1612552,1511767,1543045,2927100,40519.0,4562997.0
1999-07-09,1598651,1682059,1549996,1598651,6555900,41980.0,4562997.0
1999-07-12,1598646,1668152,1537827,1556942,4511700,45558.0,5084646.0
1999-07-13,1539567,1598647,1477012,1485700,2665700,43474.0,5084646.0
1999-07-14,1494388,1537830,1433570,1485700,2652600,43474.0,5084646.0
1999-07-15,1485704,1503081,1390133,1390132,2381600,40677.0,5084646.0
1999-07-16,1416193,1468323,1372752,1459635,4756500,45417.0,5406728.0
1999-07-19,1494386,1614284,1426617,1530877,5075400,47633.0,5406728.0
1999-07-20,1555205,1581270,1494387,1508288,3546100,46930.0,5406728.0
1999-07-21,1487441,1546522,1433574,1442262,2504900,44876.0,5406728.0
1999-07-22,1426621,1499603,1355377,1398819,2479300,43524.0,5406728.0
1999-07-23,1407508,1477014,1372754,1372754,3926800,42713.0,5406728.0
1999-07-26,1355380,1372757,1233743,1285873,2331700,40010.0,5406728.0
1999-07-27,1303243,1355373,1233737,1311932,1794700,40821.0,5406728.0
1999-07-28,1320621,1494387,1320621,1407505,4271200,43794.0,5406728.0
1999-07-29,1424883,1617763,1407506,1617764,6211700,50337.0,5406728.0
1999-07-30,1652517,1807169,1581273,1666418,8716200,51851.0,5406728.0
1999-08-02,1685532,1702909,1591698,1629926,3917300,50715.0,5406728.0
1999-08-03,1616024,1859296,1616024,1763726,7355500,54878.0,5406728.0
1999-08-04,1781104,1946182,1763727,1859299,6167000,57852.0,5406728.0
1999-08-05,1841924,1859300,1685534,1720288,4872700,53527.0,5406728.0
1999-08-06,1687268,1972244,1687268,1972244,10953800,62416.0,5499207.0
1999-08-09,2067818,2267649,1998312,2059131,19545700,65166.0,5499207.0
1999-08-10,2076504,2293712,1998309,2146011,11363900,67915.0,5499207.0
1999-08-11,2067819,2397975,2067819,2258963,8978800,71490.0,5499207.0
1999-08-12,2319779,2363220,2206831,2215519,5738300,70115.0,5499207.0
1999-08-13,2215517,2285024,2076504,2119946,4550500,67090.0,5499207.0
1999-08-16,2119948,2241584,2033064,2041752,4090900,64616.0,5499207.0
1999-08-17,1998309,2102569,1737660,1737661,4331600,54992.0,5499207.0
1999-08-18,1720283,1824543,1581271,1789790,3717300,56642.0,5499207.0
1999-08-19,1824543,2050438,1824543,2050438,4461900,64891.0,5499207.0
1999-08-20,2137322,2354530,2085192,2354530,8786200,74514.0,5499207.0
1999-08-23,2467482,2693378,2397975,2467481,9457000,78089.0,5499207.0
1999-08-24,2467482,2823702,2397975,2641248,11298700,83588.0,5499207.0
1999-08-25,2641248,2849768,2467482,2467481,9758500,78089.0,5499207.0
1999-08-26,2623872,2693379,2467482,2693378,6902400,85297.0,5503014.0
1999-08-27,2728126,3006152,2675996,2815010,7637400,89149.0,5503014.0
1999-08-30,2858456,2927962,2623871,2641248,5210500,83646.0,5503014.0
1999-08-31,2606490,2754192,2467478,2658621,4117200,84196.0,5503014.0
1999-09-01,2710750,2728127,2484854,2484854,4368500,78693.0,5503014.0
1999-09-02,2119946,2536984,2119946,2484854,3470800,82789.0,5789445.0
1999-09-03,2571741,2849767,2519611,2849767,6706300,94947.0,5789445.0
1999-09-06,2884520,3006156,2710753,2745507,7861200,91473.0,5789445.0
1999-09-07,2745509,2815016,2536990,2536989,6321500,84526.0,5789445.0
1999-09-08,2554362,2710751,2450102,2502232,6287000,83368.0,5789445.0
1999-09-09,2441418,2563054,2441418,2458795,4929000,81921.0,5789445.0
1999-09-10,2450100,2502230,2363218,2406659,4205400,80184.0,5789445.0
1999-09-13,2432727,2484857,2224208,2389286,4060500,79605.0,5789445.0
1999-09-14,2389284,2571738,2345842,2502232,4327100,83368.0,5789445.0
1999-09-15,2545675,2554364,2380598,2415351,3308700,80473.0,5789445.0
1999-09-16,2380599,2397975,2172079,2258963,3204600,75263.0,5789445.0
1999-09-17,2258961,2397974,2206831,2293714,5748700,76421.0,5789445.0
1999-09-20,2258964,2345847,2154704,2154704,3840900,71789.0,5789445.0
1999-09-21,2172074,2172074,2015684,2050438,5634400,68315.0,5789445.0
1999-09-22,2119948,2137325,2050442,2059131,3340400,68605.0,5789445.0
1999-09-27,2059130,2119948,1998312,2007001,1695700,66868.0,5789445.0
1999-09-28,1928803,2041751,1850609,1867985,2310200,62237.0,5789445.0
1999-09-29,1867985,2146011,1702908,2146011,7051100,71500.0,5789445.0
1999-09-30,2172077,2258961,1998311,2015687,6997200,67575.0,5825436.0
1999-10-01,2015689,2067818,1763727,1859299,2971200,62332.0,5825436.0
1999-10-04,1911427,2102570,1885362,1963558,4635800,65827.0,5825436.0
1999-10-05,1876673,1980933,1737660,1737661,2583200,58254.0,5825436.0
1999-10-06,1755037,1928804,1702908,1841920,4283300,61750.0,5825436.0
1999-10-07,1850611,2111261,1841923,2111261,5786900,70779.0,5825436.0
1999-10-08,2154703,2337157,2111261,2111261,11919600,70779.0,5825436.0
1999-10-11,2128633,2189451,2015684,2050438,4597400,68740.0,5825436.0
1999-10-12,2093881,2302401,2015686,2146011,13790600,71944.0,5825436.0
1999-10-13,2119951,2267652,2102574,2154704,6097800,72235.0,5825436.0
1999-10-14,2119944,2215516,2024373,2050438,5831000,68740.0,5825436.0
1999-10-15,2033067,2076508,1937495,1954872,4806400,65536.0,5825436.0
1999-10-18,1859296,2024374,1859296,1946179,4512600,65245.0,5825436.0
1999-10-19,1972244,2024374,1859296,1946179,3142800,65245.0,5825436.0
1999-10-20,1954870,2076507,1954870,2033066,4192100,68158.0,5825436.0
1999-10-21,2093882,2102570,1946181,1963558,2704300,65827.0,5825436.0
1999-10-22,1928806,2033067,1911430,1980937,2525800,66410.0,5825436.0
1999-10-25,1937494,1980935,1824546,1859299,2338200,62332.0,5825436.0
1999-10-26,1798481,1954870,1798481,1859299,3011300,62332.0,5825436.0
1999-10-27,1876674,1954869,1833232,1841920,2545700,61750.0,5825436.0
1999-10-28,1876674,1894051,1815856,1867985,2033500,62623.0,5825436.0
1999-10-29,1876677,2059132,1833236,1928807,6183900,64662.0,5825436.0
1999-11-01,1946181,2015687,1911427,1963558,2788300,65827.0,5825436.0
1999-11-02,1946183,2015690,1902741,1980937,4909400,66410.0,5825436.0
1999-11-03,2015690,2076509,1928807,1928807,4913600,64662.0,5825436.0
1999-11-04,1963559,1980935,1859299,1911428,3893900,64080.0,5825436.0
1999-11-05,1911426,1972244,1876672,1894049,5176400,63497.0,5825436.0
1999-11-08,1859297,1911427,1815856,1815855,4574000,60876.0,5825436.0
1999-11-09,1833234,1998312,1824546,1911428,6897000,64080.0,5825436.0
1999-11-10,1876673,2059127,1841920,2024374,11873200,67866.0,5825436.0
1999-11-11,2050439,2276336,1972245,2146011,18440500,71944.0,5825436.0
1999-11-12,2224205,2258958,1911426,1998309,6791200,66993.0,5825436.0
1999-11-15,1998309,2024374,1859297,1867985,4730000,62623.0,5825436.0
1999-11-16,1876674,1972245,1859297,1867985,5027600,62623.0,5825436.0
1999-11-17,1833233,1876674,1685532,1711597,4956500,57381.0,5825436.0
1999-11-18,1650777,1720284,1583008,1616023,3244700,54177.0,5825436.0
1999-11-19,1567371,1676844,1567371,1617764,2963400,54235.0,5825436.0
1999-11-22,1598648,1772414,1598648,1678580,2908800,56274.0,5825436.0
1999-11-23,1685530,1735922,1600385,1600385,1851500,53652.0,5825436.0
1999-11-24,1607336,1621238,1450947,1492651,2842800,50040.0,5825436.0
1999-11-25,1459639,1459639,1357117,1390132,3632200,46603.0,5825436.0
1999-11-26,1304982,1405766,1181607,1207673,2764900,40487.0,5825436.0
1999-11-29,1131217,1303245,1131217,1251116,3083900,41943.0,5825436.0
1999-11-30,1165972,1301510,1165972,1271970,3544600,42642.0,5825436.0
1999-12-01,1256327,1285867,1172920,1185084,2190900,39729.0,5825436.0
1999-12-02,1190298,1362327,1190298,1362327,2566600,45671.0,5825436.0
1999-12-03,1494390,1511766,1271969,1320624,4830100,44273.0,5825436.0
1999-12-06,1303249,1369279,1251118,1304986,1915800,43749.0,5825436.0
1999-12-07,1301511,1304987,1165974,1171187,2322700,39263.0,5825436.0
1999-12-08,1148594,1346688,1079088,1303246,4287500,43691.0,5825436.0
1999-12-09,1337999,1372752,1225051,1251116,2970900,41943.0,5825436.0
1999-12-10,1259805,1299771,1207676,1291084,2907800,43283.0,5825436.0
1999-12-13,1322364,1457901,1277185,1390132,4139600,46603.0,5825436.0
1999-12-14,1477014,1598651,1424884,1598651,5045000,53594.0,5825436.0
1999-12-15,1617765,1668158,1407508,1468326,5735200,49225.0,5825436.0
1999-12-16,1442258,1640353,1442258,1581272,3574200,53011.0,5825436.0
1999-12-17,1650776,1668153,1511763,1511764,4425100,50681.0,5825436.0
1999-12-20,1511762,1511762,1364061,1364062,2754700,45730.0,5825436.0
1999-12-21,1303249,1355379,1181612,1216365,3307200,40778.0,5825436.0
1999-12-22,1216362,1303245,1183347,1225051,5313200,41069.0,5825436.0
1999-12-23,1129479,1278918,1129479,1225051,5117400,41069.0,5825436.0
1999-12-24,1301507,1301507,1146855,1159019,2378800,38856.0,5825436.0
1999-12-27,1096463,1181608,1077349,1099938,1780800,36875.0,5825436.0
1999-12-28,1059973,1167707,1026957,1129479,1790800,37865.0,5825436.0
2000-01-04,1112104,1298034,1112104,1298035,1953500,43516.0,5825436.0
2000-01-05,1337999,1492650,1285869,1443997,4149700,48409.0,5825436.0
2000-01-06,1442258,1511764,1304982,1351899,3582700,45322.0,5825436.0
2000-01-07,1351900,1511765,1337999,1459635,3009700,48934.0,5825436.0
2000-01-10,1497867,1650782,1461376,1609078,6355000,53944.0,5825436.0
2000-01-11,1633401,1682056,1529142,1626450,6167600,54526.0,5825436.0
2000-01-12,1650779,1867986,1600387,1669894,19044300,55982.0,5825436.0
2000-01-13,1704648,1807170,1616027,1728975,7096500,57963.0,5825436.0
2000-01-14,1737662,1963558,1737662,1833234,13804400,61458.0,5825436.0
2000-01-17,1859300,1998313,1859300,1980937,9365700,66410.0,5825436.0
2000-01-18,2015686,2276335,2015686,2276335,16117900,76313.0,5825436.0
2000-01-19,2172079,2302404,1946183,2085196,18152900,69905.0,5825436.0
2000-01-20,2033061,2076503,1772413,1772412,9490600,59419.0,5825436.0
2000-01-21,1650778,2015687,1598648,1963558,11972500,65827.0,5825436.0
2000-01-24,1998312,2154702,1998312,2137325,13285700,71653.0,5825436.0
2000-01-25,2085193,2215517,1911426,1998309,7806200,66993.0,5825436.0
2000-01-26,2033062,2067815,1841919,1894049,5212400,63497.0,5825436.0
2000-01-27,1824547,2050443,1824547,1876677,6621000,62915.0,5825436.0
2000-01-28,1807166,1911425,1746348,1772412,5932900,59419.0,5825436.0
2000-01-31,1824546,1894053,1789793,1850612,6144500,62041.0,5825436.0
2000-02-01,1859296,1946180,1772413,1789790,5721100,60002.0,5825436.0
2000-02-02,1789790,1859296,1734184,1789790,6449500,61845.0,6004370.0
2000-02-03,1815858,1946183,1815858,1850612,8105200,63947.0,6004370.0
2000-02-07,1850612,1989625,1833236,1928807,6356500,66649.0,6004370.0
2000-02-08,1963559,1980935,1833234,1885364,4804000,65147.0,6004370.0
2000-02-09,1911426,1989621,1876673,1972244,7336700,68150.0,6004370.0
2000-02-10,1998310,2198141,1972245,2093881,17104600,72353.0,6004370.0
2000-02-11,2102570,2172076,2015687,2172076,8939500,75055.0,6004370.0
2000-02-14,2172077,2172077,1963557,1963558,5918300,67849.0,6004370.0
2000-02-15,1928803,2015686,1911426,1998309,5785000,69050.0,6004370.0
2000-02-16,1859296,1972244,1772413,1894049,4927300,65448.0,6004370.0
2000-02-17,1876672,1963555,1781102,1894049,5441800,65448.0,6004370.0
2000-02-18,1998310,2172076,1963557,2172076,9218800,75055.0,6004370.0
2000-02-21,2172079,2493547,2172079,2493546,14578900,86163.0,6004370.0
2000-02-22,2728133,2815016,2493548,2536989,26363800,87664.0,6004370.0
2000-02-23,2536987,2641246,2276337,2397973,14204300,82860.0,6004370.0
2000-02-24,2450104,2728130,2302403,2623870,19213400,90666.0,6004370.0
2000-02-25,2606493,2832389,2519610,2519610,18108000,87063.0,6004370.0
2000-02-28,2519610,2571740,2293714,2293714,6298600,79258.0,6004370.0
2000-02-29,2345846,2397976,1954872,1954872,17647400,67549.0,6004370.0
2000-03-02,1954867,2119945,1824542,1946179,16180100,67249.0,6004370.0
2000-03-03,1980935,2050442,1876676,1911428,8814000,66048.0,6004370.0
2000-03-06,1928804,2198141,1920115,2198141,17199500,75955.0,6004370.0
2000-03-07,2198145,2302405,1946183,1980937,12443100,68450.0,6004370.0
2000-03-08,1980937,2102573,1928806,1980937,10952300,68450.0,6004370.0
2000-03-09,2033066,2085196,1859300,1902742,16525700,65748.0,6004370.0
2000-03-10,1902739,1998310,1833232,1963558,16841900,67849.0,6004370.0
2000-03-13,1963556,2137322,1902738,2024374,18738300,84062.0,7215598.0
2000-03-14,2041753,2102572,1841922,1859299,11048800,77207.0,7215598.0
2000-03-15,1894054,1954873,1702911,1720288,10452100,71434.0,7215598.0
2000-03-16,1737661,1789791,1463111,1463110,13735200,60755.0,7215598.0
2000-03-17,1494388,1682056,1409243,1682056,14585300,69847.0,7215598.0
2000-03-20,1716807,1867983,1635137,1668152,15763000,69270.0,7215598.0
2000-03-21,1616027,1657731,1477014,1510029,9447300,62704.0,7215598.0
2000-03-22,1511763,1596909,1478748,1508288,10280200,62631.0,7215598.0
2000-03-23,1553468,1579533,1494387,1511764,6863000,62776.0,7215598.0
2000-03-24,1520456,1649042,1503079,1536094,8813500,63786.0,7215598.0
2000-03-27,1530880,1581272,1511766,1525667,6541800,63353.0,7215598.0
2000-03-28,1496126,1537830,1442258,1459635,7403600,60611.0,7215598.0
2000-03-29,1426621,1442260,1271969,1294559,11493000,53756.0,7215598.0
2000-03-30,1259806,1259806,1117318,1131219,13551800,46974.0,7215598.0
2000-03-31,1167706,1259802,1164231,1178132,10691800,50696.0,7477339.0
2000-04-03,1063449,1164233,1009581,1042597,8235800,44864.0,7477339.0
2000-04-04,1073875,1110366,941813,1042597,7336400,44864.0,7477339.0
2000-04-06,1007845,1058237,978305,990468,5292700,42621.0,7477339.0
2000-04-07,992203,1061710,978302,1028695,8653700,45174.0,7630688.0
2000-04-10,1059971,1181607,1058234,1181608,9146600,51889.0,7630688.0
2000-04-11,1204198,1242427,1087775,1103414,8572700,48455.0,7630688.0
2000-04-12,1112104,1129481,1046072,1072138,3613600,47081.0,7630688.0
2000-04-14,1072138,1072138,999156,1013058,2890300,44487.0,7630688.0
2000-04-17,861879,917484,861879,861879,3267300,37848.0,7630688.0
2000-04-18,905322,955715,842767,879257,4215400,38611.0,7630688.0
2000-04-19,905321,990466,905321,914009,6570600,40137.0,7630688.0
2000-04-20,914013,948766,872309,893161,3521600,39319.0,7649669.0
2000-04-21,920961,1026959,920961,1013058,8800200,44598.0,7649669.0
2000-04-24,1059974,1066925,990468,1013058,6041700,44598.0,7649669.0
2000-04-25,1016531,1023482,929648,940074,2978400,41385.0,7649669.0
2000-04-26,981778,990466,868830,868830,3197500,38248.0,7649669.0
2000-04-27,844503,877518,834077,842765,2745300,37101.0,7649669.0
2000-04-28,851452,917483,851452,877517,2760800,38631.0,7649669.0
2000-05-02,877517,905320,865354,880993,2377300,38784.0,7649669.0
2000-05-03,886210,907062,853194,863620,2588700,38019.0,7649669.0
2000-05-04,870568,966140,846241,920960,7908900,40543.0,7649669.0
2000-05-08,955714,960926,912272,920960,4406500,40543.0,7649669.0
2000-05-09,920959,924434,875779,877517,2258200,38631.0,7649669.0
2000-05-10,850597,885314,850597,861012,2504600,37904.0,7649669.0
2000-05-12,868831,882733,816702,816701,3313100,35953.0,7649669.0
2000-05-15,816700,821913,696801,705490,3585000,31058.0,7649669.0
2000-05-16,702015,729818,648147,656836,2756800,28916.0,7649669.0
2000-05-17,659283,673163,558656,558655,4517100,24594.0,7649669.0
2000-05-18,487392,537692,475251,475250,4708200,20922.0,7649669.0
2000-05-19,477097,546493,404231,546493,11443300,24058.0,7649669.0
2000-05-22,582116,625558,538675,538674,11657200,23714.0,7649669.0
2000-05-23,599495,599495,556053,566480,7643100,24938.0,7649669.0
2000-05-24,546564,614234,525742,595147,4400700,26269.0,7669892.0
2000-05-25,577906,683769,577906,683769,6567700,30181.0,7669892.0
2000-05-26,676680,681885,581251,581250,4243900,25656.0,7669892.0
2000-05-29,529988,658575,514349,582118,4647900,25694.0,7669892.0
2000-05-30,601230,634245,590805,590804,2857500,26078.0,7669892.0
2000-05-31,608178,634243,594277,599490,7843800,26461.0,7669892.0
2000-06-01,559530,590809,543892,547367,4787100,24160.0,7669892.0
2000-06-02,564739,582116,531723,557788,4539100,24620.0,7669892.0
2000-06-05,573426,615129,573426,606442,7434700,26768.0,7669892.0
2000-06-07,606445,696803,590806,696804,11844200,30756.0,7669892.0
2000-06-08,721128,764569,672473,691588,11603400,30526.0,7669892.0
2000-06-09,684640,703754,629034,634248,4254600,27995.0,7669892.0
2000-06-12,675143,728946,650845,728947,8641500,32175.0,7669892.0
2000-06-13,695064,726342,637721,653360,4996400,28839.0,7669892.0
2000-06-14,653357,677685,618604,625555,3084000,27612.0,7669892.0
2000-06-15,608181,630771,557788,561264,2936300,24774.0,7669892.0
2000-06-16,521301,583857,521301,569955,2045600,25157.0,7669892.0
2000-06-19,529145,565577,529145,544759,2061100,24045.0,7669892.0
2000-06-20,549100,590804,545625,561264,2149500,24774.0,7669892.0
2000-06-21,590806,599495,573430,578642,3131700,25541.0,7669892.0
2000-06-22,564740,601230,559526,564739,2067000,24927.0,7669892.0
2000-06-23,566478,566478,547363,549101,2014700,24237.0,7669892.0
2000-06-26,568214,580378,550837,557788,2316900,24620.0,7669892.0
2000-06-27,559529,580380,556053,563004,3792400,24850.0,7669892.0
2000-06-28,585595,596021,569956,573431,4935600,25311.0,7669892.0
2000-06-29,582116,596017,556051,557788,3419900,24620.0,7669892.0
2000-06-30,552575,564738,540411,554312,2969300,24467.0,7669892.0
2000-07-03,563004,635987,552578,618610,8384500,27305.0,7669892.0
2000-07-04,648149,656837,604707,604707,6958300,26691.0,7669892.0
2000-07-05,608183,618609,564741,582118,4019300,25694.0,7669892.0
