삼천리(004690),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-04-07,27692,32024,27692,31854,62250,112500.0,3000000.0
1999-04-08,31260,33978,31175,33043,163420,116700.0,3000000.0
1999-04-09,31430,33129,31430,32279,31730,114000.0,3000000.0
1999-04-12,33129,33129,31515,32279,85290,114000.0,3000000.0
1999-04-13,31685,32704,31685,32279,41520,114000.0,3000000.0
1999-04-14,32279,33129,31855,33128,47140,117000.0,3000000.0
1999-04-15,33129,34998,33129,34997,84800,123600.0,3000000.0
1999-04-16,34828,35677,33129,33978,55770,120000.0,3000000.0
1999-04-19,34148,35252,33978,34318,44480,121200.0,3000000.0
1999-04-20,34828,36527,34318,36526,41530,129000.0,3000000.0
1999-04-21,36951,36951,34828,36271,50290,128100.0,3000000.0
1999-04-22,34870,36059,34403,34827,37340,123000.0,3000000.0
1999-04-23,35040,35592,33978,34063,29460,120300.0,3000000.0
1999-04-26,34063,35507,33978,35507,19170,125400.0,3000000.0
1999-04-27,36017,37716,35507,37715,55900,133200.0,3000000.0
1999-04-28,37716,39075,37376,37800,31370,133500.0,3000000.0
1999-04-29,38226,40434,38226,40349,52670,142500.0,3000000.0
1999-04-30,39500,45021,39075,45021,87870,159000.0,3000000.0
1999-05-03,45871,48334,45446,47144,73150,166500.0,3000000.0
1999-05-04,46975,47739,45871,47229,123790,166800.0,3000000.0
1999-05-06,47145,48419,42982,46720,66840,165000.0,3000000.0
1999-05-07,46635,46805,44172,44851,31870,158400.0,3000000.0
1999-05-10,45021,45276,43322,44171,30520,156000.0,3000000.0
1999-05-11,45021,45446,41368,41623,66450,147000.0,3000000.0
1999-05-12,41623,42048,39924,40773,26770,144000.0,3000000.0
1999-05-13,40349,41878,40009,40349,34140,142500.0,3000000.0
1999-05-14,42303,42303,37376,37376,22210,132000.0,3000000.0
1999-05-17,37716,37716,34573,35252,20460,124500.0,3000000.0
1999-05-18,35252,36527,33978,34827,72130,123000.0,3000000.0
1999-05-19,37291,38990,35295,38990,64930,137700.0,3000000.0
1999-05-20,38650,39500,35677,37800,34380,133500.0,3000000.0
1999-05-21,35762,39500,35762,37800,15770,133500.0,3000000.0
1999-05-24,37801,37801,36696,37800,9900,133500.0,3000000.0
1999-05-25,37801,39924,37376,39414,36950,139200.0,3000000.0
1999-05-26,40519,42048,39075,40519,71800,143100.0,3000000.0
1999-05-27,39924,41623,39924,40519,45780,143100.0,3000000.0
1999-05-28,40859,41199,39924,40773,14050,144000.0,3000000.0
1999-05-31,41623,41623,40094,40179,6840,141900.0,3000000.0
1999-06-01,36951,41368,36951,39074,9770,138000.0,3000000.0
1999-06-02,39075,40774,39075,39839,11600,140700.0,3000000.0
1999-06-03,39755,39924,38310,39499,16820,139500.0,3000000.0
1999-06-04,38226,39924,38226,39499,17060,139500.0,3000000.0
1999-06-07,40009,41114,39924,40179,23040,141900.0,3000000.0
1999-06-08,40179,43322,40094,42217,70830,149100.0,3000000.0
1999-06-09,39245,42218,39245,39244,15120,138600.0,3000000.0
1999-06-10,37801,41114,37801,39839,43640,140700.0,3000000.0
1999-06-11,39075,40689,38226,40349,18800,142500.0,3000000.0
1999-06-14,41453,41453,39245,41198,9040,145500.0,3000000.0
1999-06-15,39585,40774,35762,40773,9540,144000.0,3000000.0
1999-06-16,40689,40774,39924,40603,9050,143400.0,3000000.0
1999-06-17,40604,40604,39160,39924,23930,141000.0,3000000.0
1999-06-18,39924,39924,37801,37800,43750,133500.0,3000000.0
1999-06-21,38056,38310,36527,36951,29680,130500.0,3000000.0
1999-06-22,36527,36781,35337,35677,67170,126000.0,3000000.0
1999-06-23,36951,37376,36527,37036,33170,130800.0,3000000.0
1999-06-24,37376,37376,35932,36526,38350,129000.0,3000000.0
1999-06-25,36527,37376,36102,37376,14330,132000.0,3000000.0
1999-06-28,38013,38650,37461,38565,19230,136200.0,3000000.0
1999-06-29,39245,39245,37376,37545,31910,132600.0,3000000.0
1999-06-30,37631,42048,37376,41453,73870,146400.0,3000000.0
1999-07-01,41623,46295,41453,44256,133800,156300.0,3000000.0
1999-07-02,45871,48419,43832,45870,47390,162000.0,3000000.0
1999-07-05,45871,47570,43322,45191,59070,159600.0,3000000.0
1999-07-06,45786,50118,45786,49013,88310,173100.0,3000000.0
1999-07-07,49268,49268,47145,49013,25350,173100.0,3000000.0
1999-07-08,49268,53516,47824,51816,33660,183000.0,3000000.0
1999-07-09,51817,52242,49693,50967,34110,180000.0,3000000.0
1999-07-12,52666,52666,46720,46720,27560,165000.0,3000000.0
1999-07-13,45021,50118,45021,48418,47380,171000.0,3000000.0
1999-07-14,48419,51817,48419,48418,26350,171000.0,3000000.0
1999-07-15,49014,49014,45871,47739,29990,168600.0,3000000.0
1999-07-16,48419,49693,47145,47824,47730,168900.0,3000000.0
1999-07-19,48844,48844,46720,47569,17030,168000.0,3000000.0
1999-07-20,47570,48504,46720,47144,41280,166500.0,3000000.0
1999-07-21,47145,47145,44342,44426,15190,156900.0,3000000.0
1999-07-22,44427,45021,42643,43407,16200,153300.0,3000000.0
1999-07-23,43322,44172,41368,42472,16080,150000.0,3000000.0
1999-07-26,48844,48844,37206,41623,18290,147000.0,3000000.0
1999-07-27,41623,43322,41623,42472,5160,150000.0,3000000.0
1999-07-28,42473,45871,41793,45870,41250,162000.0,3000000.0
1999-07-29,44342,45701,44342,45360,4570,160200.0,3000000.0
1999-07-30,46635,46635,43322,43407,9130,153300.0,3000000.0
1999-08-02,42558,42898,40859,41963,30330,148200.0,3000000.0
1999-08-03,41114,45871,41114,45700,29530,161400.0,3000000.0
1999-08-04,45871,46550,45021,45021,17910,159000.0,3000000.0
1999-08-05,44596,44596,41199,42302,19010,149400.0,3000000.0
1999-08-06,41284,44002,41284,42302,63100,149400.0,3000000.0
1999-08-09,42558,43322,42218,43322,9110,153000.0,3000000.0
1999-08-10,44257,45871,44257,45615,25890,161100.0,3000000.0
1999-08-11,45021,45616,44851,45615,13180,161100.0,3000000.0
1999-08-12,46295,48929,45871,48418,16120,171000.0,3000000.0
1999-08-13,50118,50118,47570,48418,43630,171000.0,3000000.0
1999-08-16,45956,48419,45446,48418,12810,171000.0,3000000.0
1999-08-17,46890,48419,45021,45445,9270,160500.0,3000000.0
1999-08-18,44257,45786,42048,45445,4570,160500.0,3000000.0
1999-08-19,45446,45871,44596,45360,4730,160200.0,3000000.0
1999-08-20,45021,47994,44257,47569,10740,168000.0,3000000.0
1999-08-23,50118,50118,47824,48843,16160,172500.0,3000000.0
1999-08-24,48844,48844,47994,48418,22190,171000.0,3000000.0
1999-08-25,48419,48844,47145,48843,8930,172500.0,3000000.0
1999-08-26,48844,49693,47994,49098,22060,173400.0,3000000.0
1999-08-27,49268,49608,48334,48843,32420,172500.0,3000000.0
1999-08-30,49183,49183,47570,48503,8810,171300.0,3000000.0
1999-08-31,45871,49099,45871,48503,3670,171300.0,3000000.0
1999-09-01,48844,48844,45871,45870,14690,162000.0,3000000.0
1999-09-02,44172,46720,42558,46720,26290,165000.0,3000000.0
1999-09-03,43832,45021,43832,44171,4730,156000.0,3000000.0
1999-09-06,46550,46550,44172,45530,5400,160800.0,3000000.0
1999-09-07,43492,46295,43322,45530,16250,160800.0,3000000.0
1999-09-08,44172,47570,44172,46720,57700,165000.0,3000000.0
1999-09-09,48419,48844,46040,46974,14580,165900.0,3000000.0
1999-09-10,47145,48419,46720,46720,8600,165000.0,3000000.0
1999-09-13,46720,46890,42048,45106,7730,159300.0,3000000.0
1999-09-14,45106,45106,43832,44171,38980,156000.0,3000000.0
1999-09-15,44596,44596,43832,44171,17120,156000.0,3000000.0
1999-09-16,44427,44427,43322,44171,11320,156000.0,3000000.0
1999-09-17,44172,44172,42898,44086,4080,155700.0,3000000.0
1999-09-20,44172,44596,43917,44171,6480,156000.0,3000000.0
1999-09-21,45786,45786,44172,45021,5940,159000.0,3000000.0
1999-09-22,45446,45446,43407,44936,2310,158700.0,3000000.0
1999-09-27,45021,45021,43152,44851,390,158400.0,3000000.0
1999-09-28,44172,44172,42982,43746,1930,154500.0,3000000.0
1999-09-29,42728,43407,42728,42897,4640,151500.0,3000000.0
1999-09-30,41623,42133,40774,42133,17670,148800.0,3000000.0
1999-10-01,42133,42473,40349,42472,16940,150000.0,3000000.0
1999-10-04,42558,42558,40264,40264,3290,142200.0,3000000.0
1999-10-05,42473,42473,37631,37630,19120,132900.0,3000000.0
1999-10-06,37801,38056,36527,37800,36190,133500.0,3000000.0
1999-10-07,37801,37801,36144,37078,124290,130950.0,3000000.0
1999-10-08,42473,42558,37886,38055,26330,134400.0,3000000.0
1999-10-11,38990,38990,37461,38395,54250,135600.0,3000000.0
1999-10-12,38650,39415,38226,38310,8390,135300.0,3000000.0
1999-10-13,38310,38650,37631,38310,7160,135300.0,3000000.0
1999-10-14,38226,38735,38056,38650,5790,136500.0,3000000.0
1999-10-15,38226,38735,37971,38395,7160,135600.0,3000000.0
1999-10-18,38226,38735,38013,38225,14310,135000.0,3000000.0
1999-10-19,37971,38310,37801,38225,3380,135000.0,3000000.0
1999-10-20,38735,39075,37546,39074,45950,138000.0,3000000.0
1999-10-21,39500,39924,39075,39074,28260,138000.0,3000000.0
1999-10-22,39500,39500,38056,38225,9200,135000.0,3000000.0
1999-10-25,38650,38693,37546,37630,11350,132900.0,3000000.0
1999-10-26,35677,37716,35677,37121,2110,131100.0,3000000.0
1999-10-27,37121,37886,37121,37800,3180,133500.0,3000000.0
1999-10-28,37801,39415,37801,37800,2610,133500.0,3000000.0
1999-10-29,38226,39415,38226,39074,3140,138000.0,3000000.0
1999-11-01,39245,42388,38650,40349,14680,142500.0,3000000.0
1999-11-02,40349,40774,39670,39669,11340,140100.0,3000000.0
1999-11-03,39924,40774,39924,40349,2800,142500.0,3000000.0
1999-11-04,39075,45701,39075,45700,29980,161400.0,3000000.0
1999-11-05,43237,46635,41623,46635,34450,164700.0,3000000.0
1999-11-08,44596,46210,43322,44596,45870,157500.0,3000000.0
1999-11-09,43747,44596,43322,44596,41220,157500.0,3000000.0
1999-11-10,44596,44596,42473,42472,31470,150000.0,3000000.0
1999-11-11,43322,43322,42091,42090,12700,148650.0,3000000.0
1999-11-12,42048,42982,40519,40688,5510,143700.0,3000000.0
1999-11-15,40689,42006,39500,39924,5760,141000.0,3000000.0
1999-11-16,41199,41199,39924,40051,4580,141450.0,3000000.0
1999-11-17,39075,39500,36527,36526,20920,129000.0,3000000.0
1999-11-18,35677,36357,34828,35677,35210,126000.0,3000000.0
1999-11-19,36781,38650,36781,37376,99540,132000.0,3000000.0
1999-11-22,38480,38480,37376,38310,40020,135300.0,3000000.0
1999-11-23,38395,38480,37631,37758,4570,133350.0,3000000.0
1999-11-24,37376,38056,36527,36526,36820,129000.0,3000000.0
1999-11-25,35677,38650,35677,37376,47910,132000.0,3000000.0
1999-11-26,37376,37376,35592,35592,6360,125700.0,3000000.0
1999-11-29,35677,35677,33978,33978,10130,120000.0,3000000.0
1999-11-30,33978,34828,33129,33978,33640,120000.0,3000000.0
1999-12-01,33978,33978,31005,31939,107550,112800.0,3000000.0
1999-12-02,32449,34828,31515,31939,61590,112800.0,3000000.0
1999-12-03,31940,32449,31005,31939,16100,112800.0,3000000.0
1999-12-06,31940,32364,31430,32364,44910,114300.0,3000000.0
1999-12-07,31855,31940,30326,30920,31590,109200.0,3000000.0
1999-12-08,30580,33978,28542,33723,66500,119100.0,3000000.0
1999-12-09,32407,34828,32279,33808,62980,119400.0,3000000.0
1999-12-10,35507,36951,34233,34912,54220,123300.0,3000000.0
1999-12-13,35677,36102,33129,33128,18930,117000.0,3000000.0
1999-12-14,33129,34743,32279,33808,34710,119400.0,3000000.0
1999-12-15,34063,35252,31005,33978,72670,120000.0,3000000.0
1999-12-16,31090,33978,31090,32279,19790,114000.0,3000000.0
1999-12-17,32279,33129,29816,30750,17710,108600.0,3000000.0
1999-12-20,29986,31855,29731,30155,32780,106500.0,3000000.0
1999-12-21,30156,31345,29731,30920,34000,109200.0,3000000.0
1999-12-22,30326,31005,27183,30920,20950,109200.0,3000000.0
1999-12-23,30495,30580,28881,30580,22440,108000.0,3000000.0
1999-12-24,28881,30580,28881,30070,14340,106200.0,3000000.0
1999-12-27,29476,30580,29476,29815,48040,105300.0,3000000.0
1999-12-28,29731,31855,27947,31854,55890,112500.0,3000000.0
2000-01-04,29051,31217,29051,30750,5160,108600.0,3000000.0
2000-01-05,29731,30750,27777,28923,50790,102150.0,3000000.0
2000-01-06,29688,29688,26758,26757,6660,94500.0,3000000.0
2000-01-07,25908,27183,25908,26757,7520,94500.0,3000000.0
2000-01-10,27183,28457,26333,28286,67140,99900.0,3000000.0
2000-01-11,29731,29731,27183,27182,62860,96000.0,3000000.0
2000-01-12,27183,28202,27183,27989,12720,98850.0,3000000.0
2000-01-13,28372,29731,27352,29433,12520,103950.0,3000000.0
2000-01-14,28881,29731,28117,28201,21330,99600.0,3000000.0
2000-01-17,29731,31430,28966,31429,15540,111000.0,3000000.0
2000-01-18,30580,31430,28966,29730,10990,105000.0,3000000.0
2000-01-19,27607,30156,27607,28754,8830,101550.0,3000000.0
2000-01-20,27607,29646,27183,28796,4990,101700.0,3000000.0
2000-01-21,28797,29051,28032,28754,6200,101550.0,3000000.0
2000-01-24,28372,28584,27013,27225,62470,96150.0,3000000.0
2000-01-25,27310,27947,26461,27182,7520,96000.0,3000000.0
2000-01-26,26503,28032,26418,27352,9210,96600.0,3000000.0
2000-01-27,26503,31005,26503,30495,33660,107700.0,3000000.0
2000-01-28,29009,30580,29009,30155,8650,106500.0,3000000.0
2000-01-31,29051,31005,28881,30665,9760,108300.0,3000000.0
2000-02-01,29816,31090,29816,31005,19450,109500.0,3000000.0
2000-02-02,31005,31430,30071,31344,4730,110700.0,3000000.0
2000-02-03,30580,32704,30580,31939,11530,112800.0,3000000.0
2000-02-07,32279,32704,31770,32109,20270,113400.0,3000000.0
2000-02-08,32109,32704,31005,31429,37420,111000.0,3000000.0
2000-02-09,31430,31430,29731,30920,35480,109200.0,3000000.0
2000-02-10,29816,31005,29561,30580,10260,108000.0,3000000.0
2000-02-11,30580,30580,27607,28796,26130,101700.0,3000000.0
2000-02-14,28032,28881,27183,28881,16640,102000.0,3000000.0
2000-02-15,27352,33214,27352,28541,23340,100800.0,3000000.0
2000-02-16,28881,28881,26503,27904,18890,98550.0,3000000.0
2000-02-17,28032,28032,26758,27692,19910,97800.0,3000000.0
2000-02-18,28032,28032,26418,27607,21830,97500.0,3000000.0
2000-02-21,27183,28032,25484,26078,17480,92100.0,3000000.0
2000-02-22,24719,25908,24294,24889,18410,87900.0,3000000.0
2000-02-23,24889,26333,24209,26333,57040,93000.0,3000000.0
2000-02-24,25484,29306,25484,28032,22070,99000.0,3000000.0
2000-02-25,27183,28032,26588,28032,34820,99000.0,3000000.0
2000-02-28,27268,27947,26248,27607,8390,97500.0,3000000.0
2000-02-29,27183,28032,26673,27607,5090,97500.0,3000000.0
2000-03-02,26928,28032,26333,26333,25480,93000.0,3000000.0
2000-03-03,26248,26333,25059,26163,15640,92400.0,3000000.0
2000-03-06,25908,27607,25654,27267,15700,96300.0,3000000.0
2000-03-07,27862,27862,26928,27777,19600,98100.0,3000000.0
2000-03-08,26673,28202,26673,27522,6820,97200.0,3000000.0
2000-03-09,27735,27735,26843,27097,7430,95700.0,3000000.0
2000-03-10,27522,27650,26928,27012,18070,95400.0,3000000.0
2000-03-13,26758,29646,26758,29646,47820,104700.0,3000000.0
2000-03-14,29646,30835,28457,28881,40320,102000.0,3000000.0
2000-03-15,28457,30411,28032,29985,19050,105900.0,3000000.0
2000-03-16,30835,30835,29051,29051,7160,102600.0,3000000.0
2000-03-17,28881,29306,28117,28796,7580,101700.0,3000000.0
2000-03-20,29221,29221,28032,28796,12630,101700.0,3000000.0
2000-03-21,28627,28881,27862,28456,7340,100500.0,3000000.0
2000-03-22,28117,29731,28032,29730,16520,105000.0,3000000.0
2000-03-23,30580,30580,29391,29900,23380,105600.0,3000000.0
2000-03-24,30156,30580,29391,30070,16670,106200.0,3000000.0
2000-03-27,29731,30665,29731,30495,19910,107700.0,3000000.0
2000-03-28,30241,30241,28797,28796,12310,101700.0,3000000.0
2000-03-29,28881,29306,27607,27777,17900,98100.0,3000000.0
2000-03-30,27607,27777,26928,27777,6980,98100.0,3000000.0
2000-03-31,28032,28032,26843,27182,12570,96000.0,3000000.0
2000-04-03,27522,28032,26121,26757,6940,94500.0,3000000.0
2000-04-04,26333,27607,25993,27182,7150,96000.0,3000000.0
2000-04-06,26758,27437,24677,24676,15760,87150.0,3000000.0
2000-04-07,25484,26673,25101,26333,4030,93000.0,3000000.0
2000-04-10,27183,28202,26248,27182,26020,96000.0,3000000.0
2000-04-11,27183,27395,25569,25653,13010,90600.0,3000000.0
2000-04-12,24804,26078,24804,25653,4370,90600.0,3000000.0
2000-04-14,25993,26673,25229,25950,25280,91650.0,3000000.0
2000-04-17,24634,24804,23445,24804,19000,87600.0,3000000.0
2000-04-18,25569,26333,23530,23954,18170,84600.0,3000000.0
2000-04-19,24379,24507,23827,24124,62140,85200.0,3000000.0
2000-04-20,24294,25059,24082,24209,48550,85500.0,3000000.0
2000-04-21,23487,24507,23487,24294,19940,85800.0,3000000.0
2000-04-24,24634,24634,23912,23997,11770,84750.0,3000000.0
2000-04-25,24125,24337,23997,24209,16150,85500.0,3000000.0
2000-04-26,24337,24634,23997,23997,15250,84750.0,3000000.0
2000-04-27,23785,23785,23275,23614,16990,83400.0,3000000.0
2000-04-28,23063,24634,23063,24634,15380,87000.0,3000000.0
2000-05-02,24634,24974,23870,24804,7160,87600.0,3000000.0
2000-05-03,24294,25059,24294,24804,8500,87600.0,3000000.0
2000-05-04,25059,25908,24379,25908,12130,91500.0,3000000.0
2000-05-08,25908,26758,25059,26248,15880,92700.0,3000000.0
2000-05-09,25484,25484,24464,24549,23990,86700.0,3000000.0
2000-05-10,24252,25484,23955,24549,25260,86700.0,3000000.0
2000-05-12,24294,24762,24294,24676,7570,87150.0,3000000.0
2000-05-15,24040,24379,23785,24294,10160,85800.0,3000000.0
2000-05-16,23785,24464,23785,23954,7130,84600.0,3000000.0
2000-05-17,24464,24464,23785,23869,11530,84300.0,3000000.0
2000-05-18,23615,24549,23360,23997,4360,84750.0,3000000.0
2000-05-19,23275,23615,23190,23190,5760,81900.0,3000000.0
2000-05-22,22171,22511,21746,22000,4450,77700.0,3000000.0
2000-05-23,22001,22001,18730,18857,19640,66600.0,3000000.0
2000-05-24,18730,19453,18263,18772,16360,66300.0,3000000.0
2000-05-25,19113,19962,18773,19410,66460,68550.0,3000000.0
2000-05-26,19283,20344,18943,19707,54130,69600.0,3000000.0
2000-05-29,18943,19707,18688,18688,16480,66000.0,3000000.0
2000-05-30,19113,20217,18943,19962,22270,70500.0,3000000.0
2000-05-31,19962,21406,19962,20726,45380,73200.0,3000000.0
2000-06-01,20557,21449,20302,20514,23540,72450.0,3000000.0
2000-06-02,21151,21746,20005,20471,22360,72300.0,3000000.0
2000-06-05,20642,21067,20642,20896,11490,73800.0,3000000.0
2000-06-07,21067,22043,21067,21406,19750,75600.0,3000000.0
2000-06-08,20982,21406,20217,20811,35210,73500.0,3000000.0
2000-06-09,20260,20769,19665,20386,37780,72000.0,3000000.0
2000-06-12,20387,21067,20132,21024,43200,74250.0,3000000.0
2000-06-13,20897,21661,20387,21236,28820,75000.0,3000000.0
2000-06-14,21321,21831,21067,21066,13740,74400.0,3000000.0
2000-06-15,21067,21321,19792,20981,11420,74100.0,3000000.0
2000-06-16,20897,20897,20217,20811,5810,73500.0,3000000.0
2000-06-19,19792,20812,19792,20726,8850,73200.0,3000000.0
2000-06-20,20599,20982,20514,20641,4870,72900.0,3000000.0
2000-06-21,21151,21151,20217,20811,1090,73500.0,3000000.0
2000-06-22,21151,21151,19962,20811,7700,73500.0,3000000.0
2000-06-23,20557,20812,20047,20811,5300,73500.0,3000000.0
2000-06-26,20897,22511,20897,21236,15180,75000.0,3000000.0
2000-06-27,22511,22511,21491,21661,31890,76500.0,3000000.0
2000-06-28,22001,22511,21661,22255,13390,78600.0,3000000.0
2000-06-29,22935,22935,21916,22255,11370,78600.0,3000000.0
2000-06-30,22511,23785,22171,23784,11700,84000.0,3000000.0
2000-07-03,24209,27183,23615,25483,76320,90000.0,3000000.0
2000-07-04,25739,25908,24719,25483,30520,90000.0,3000000.0
2000-07-05,25314,25654,24889,25483,16750,90000.0,3000000.0
2000-07-06,24719,28542,24634,26248,20550,92700.0,3000000.0
2000-07-07,26248,26588,25569,25611,9040,90450.0,3000000.0
2000-07-10,25186,26248,24549,24549,8120,86700.0,3000000.0
2000-07-11,24634,25399,24040,24464,12780,86400.0,3000000.0
2000-07-12,24464,24974,23827,24209,6320,85500.0,3000000.0
2000-07-13,23870,25059,23785,24336,16560,85950.0,3000000.0
2000-07-14,24974,25144,23190,23784,8580,84000.0,3000000.0
2000-07-18,24209,24464,23020,23105,7220,81600.0,3000000.0
2000-07-19,22935,22935,21704,21831,6060,77100.0,3000000.0
2000-07-20,21321,21831,20897,21321,11630,75300.0,3000000.0
2000-07-21,21321,22086,21321,21406,3310,75600.0,3000000.0
2000-07-24,20982,21236,19707,19707,7860,69600.0,3000000.0
2000-07-25,20302,20642,19580,19962,17610,70500.0,3000000.0
2000-07-26,20132,22086,20132,21661,19470,76500.0,3000000.0
2000-07-27,21661,22001,20812,21236,17400,75000.0,3000000.0
2000-07-28,21067,21916,21067,21873,15590,77250.0,3000000.0
2000-07-31,22001,22935,21236,22935,17110,81000.0,3000000.0
2000-08-01,23785,23785,22765,22765,19340,80400.0,3000000.0
2000-08-02,23190,23360,22596,22765,13840,80400.0,3000000.0
2000-08-03,22765,24209,22765,23572,26050,83250.0,3000000.0
2000-08-04,23785,24167,23360,24039,31000,84900.0,3000000.0
2000-08-07,24209,24464,23615,24209,27810,85500.0,3000000.0
2000-08-08,24209,24634,23785,24251,12180,85650.0,3000000.0
2000-08-09,24379,24889,23997,24294,30000,85800.0,3000000.0
2000-08-10,23955,24464,23955,24421,28840,86250.0,3000000.0
2000-08-11,24422,24634,24379,24379,9310,86100.0,3000000.0
2000-08-14,25229,25484,24634,25058,31460,88500.0,3000000.0
2000-08-16,25484,26885,25484,26418,63770,93300.0,3000000.0
2000-08-17,27013,27352,25569,26418,36430,93300.0,3000000.0
2000-08-18,26418,26758,25993,26672,29320,94200.0,3000000.0
2000-08-21,26673,26928,26333,26757,9100,94500.0,3000000.0
2000-08-22,26758,27522,26673,27437,18840,96900.0,3000000.0
2000-08-23,27352,28287,26461,27352,64260,96600.0,3000000.0
2000-08-24,26503,27352,26503,27182,15140,96000.0,3000000.0
2000-08-25,26673,27183,26673,27182,6970,96000.0,3000000.0
2000-08-28,26588,27607,26588,27607,12490,97500.0,3000000.0
2000-08-29,27692,27777,26758,27607,17610,97500.0,3000000.0
2000-08-30,27183,27607,27013,27182,21660,96000.0,3000000.0
2000-08-31,26758,27522,26758,27267,10030,96300.0,3000000.0
2000-09-01,27522,30241,27268,29900,80400,105600.0,3000000.0
2000-09-04,29986,31260,29391,29730,32430,105000.0,3000000.0
2000-09-05,29773,29901,28457,29391,22820,103800.0,3000000.0
2000-09-06,29731,30156,29051,29730,10020,105000.0,3000000.0
2000-09-07,29306,31345,29221,31005,35390,109500.0,3000000.0
2000-09-08,30665,30665,29731,29730,6980,105000.0,3000000.0
2000-09-14,30580,30580,29731,30070,13550,106200.0,3000000.0
2000-09-15,28117,29986,28117,28881,8570,102000.0,3000000.0
2000-09-18,28881,28881,24549,28456,32800,100500.0,3000000.0
