롯데쇼핑(023530),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-04-13,369943,383237,368109,377736,54399,11965870.0,29043374.0
2006-04-14,371318,374068,369484,371777,20335,11777088.0,29043374.0
2006-04-17,372235,373610,371318,373611,14730,11835175.0,29043374.0
2006-04-18,371318,373610,370401,370402,20915,11733523.0,29043374.0
2006-04-19,369484,371318,364900,364901,68066,11559263.0,29043374.0
2006-04-20,364900,366734,352981,354357,60347,11225264.0,29043374.0
2006-04-21,361691,367192,360316,364442,40576,11544741.0,29043374.0
2006-04-24,364442,369484,364442,367193,38972,11631871.0,29043374.0
2006-04-25,366734,373152,365817,366734,43184,11617350.0,29043374.0
2006-04-26,374527,375444,368109,371318,46675,11762566.0,29043374.0
2006-04-27,371318,373152,370860,371777,25352,11777088.0,29043374.0
2006-04-28,371776,373152,352064,361233,89910,11443089.0,29043374.0
2006-05-02,357107,363066,355732,356191,104556,11283351.0,29043374.0
2006-05-03,355732,358482,354357,357566,64847,11326916.0,29043374.0
2006-05-04,356649,356649,349314,349314,102753,11065525.0,29043374.0
2006-05-08,350689,351148,343813,344272,90188,10905787.0,29043374.0
2006-05-09,342896,342896,337853,341063,101357,10804135.0,29043374.0
2006-05-10,341521,349772,341521,347939,59237,11021960.0,29043374.0
2006-05-11,343813,355732,343813,352065,43196,11152656.0,29043374.0
2006-05-12,349314,350689,346563,346564,21458,10978395.0,29043374.0
2006-05-15,346563,352981,344271,351148,54964,11123612.0,29043374.0
2006-05-16,348397,349772,345647,346564,42731,10978395.0,29043374.0
2006-05-17,346563,351148,345647,347022,39328,10992917.0,29043374.0
2006-05-18,344271,345647,340604,343813,46019,10891265.0,29043374.0
2006-05-19,343813,348397,342438,347481,37194,11007439.0,29043374.0
2006-05-22,344730,349314,326393,331436,79214,10499180.0,29043374.0
2006-05-23,327310,327768,310348,313099,121447,9918312.0,29043374.0
2006-05-24,313099,316766,300722,308057,86946,9758574.0,29043374.0
2006-05-25,310807,314016,308515,309890,106129,9816660.0,29043374.0
2006-05-26,307139,317683,307139,311266,149029,9860225.0,29043374.0
2006-05-29,315391,322726,314474,319517,36325,10121616.0,29043374.0
2006-05-30,321350,324559,319517,320893,46818,10165181.0,29043374.0
2006-06-01,313557,318142,312182,317225,75462,10049007.0,29043374.0
2006-06-02,320892,325476,319058,321809,64935,10194224.0,29043374.0
2006-06-05,324559,329144,323643,326394,53645,10339441.0,29043374.0
2006-06-07,322726,339687,322726,334187,73255,10586310.0,29043374.0
2006-06-08,338312,341062,322726,329144,124149,10426571.0,29043374.0
2006-06-09,326393,326393,315391,319976,60322,10136138.0,29043374.0
2006-06-12,315391,319058,312182,317225,44395,10049007.0,29043374.0
2006-06-13,316308,322267,311724,314933,38937,9976399.0,29043374.0
2006-06-14,309890,321809,309432,320893,34732,10165181.0,29043374.0
2006-06-15,320892,324101,320434,322726,42982,10223268.0,29043374.0
2006-06-16,323643,334186,323643,328227,29748,10397528.0,29043374.0
2006-06-19,326393,330060,326393,326394,17758,10339441.0,29043374.0
2006-06-20,330060,332811,325935,330061,22705,10455615.0,29043374.0
2006-06-21,333728,333728,323643,323643,23546,10252311.0,29043374.0
2006-06-22,325476,331436,324559,327310,19214,10368485.0,29043374.0
2006-06-23,328227,328227,320892,327310,6957,10368485.0,29043374.0
2006-06-26,323184,330060,323184,326852,13343,10353963.0,29043374.0
2006-06-27,324559,328227,323643,325477,12600,10310398.0,29043374.0
2006-06-28,322726,329602,322726,325477,14544,10310398.0,29043374.0
2006-06-29,330977,334645,326851,331895,31570,10513701.0,29043374.0
2006-06-30,333728,342896,333728,338312,53498,10717005.0,29043374.0
2006-07-03,338312,338312,330060,330519,29860,10470136.0,29043374.0
2006-07-04,333728,336937,330060,330061,11271,10455615.0,29043374.0
2006-07-05,330060,332811,325935,328686,15444,10412050.0,29043374.0
2006-07-06,330060,333728,327768,328686,19968,10412050.0,29043374.0
2006-07-07,330977,333728,329144,331895,34671,10513701.0,29043374.0
2006-07-10,331436,344271,330060,341521,56994,10818657.0,29043374.0
2006-07-11,344730,344730,336478,340604,18834,10789613.0,29043374.0
2006-07-12,344730,348856,340146,346564,30388,10978395.0,29043374.0
2006-07-13,346563,349772,341521,346564,31944,10978395.0,29043374.0
2006-07-14,341979,341979,334645,340146,26443,10775092.0,29043374.0
2006-07-18,338312,338312,331894,336020,27024,10644397.0,29043374.0
2006-07-19,330060,330977,318141,320893,92140,10165181.0,29043374.0
2006-07-20,320892,325476,320892,322268,94894,10208746.0,29043374.0
2006-07-21,316308,317225,307139,310807,72457,9845704.0,29043374.0
2006-07-24,308056,308515,289261,293846,142470,9308401.0,29043374.0
2006-07-25,293845,295679,291095,294304,130521,9322923.0,29043374.0
2006-07-26,295221,299805,294762,295680,98945,9366488.0,29043374.0
2006-07-27,294304,298430,289720,295680,82172,9366488.0,29043374.0
2006-07-28,295679,301638,295679,296596,53006,9395531.0,29043374.0
2006-07-31,301638,305764,295679,300722,75637,9526227.0,29043374.0
2006-08-01,300722,305306,299346,302097,71192,9569792.0,29043374.0
2006-08-02,300722,303931,290178,296596,51417,9395531.0,29043374.0
2006-08-03,291553,293387,275050,279635,185370,8858229.0,29043374.0
2006-08-04,281468,281468,276425,278260,179103,8814664.0,29043374.0
2006-08-07,278718,282843,278718,281469,109846,8916316.0,29043374.0
2006-08-08,281468,288803,280093,287886,116576,9119619.0,29043374.0
2006-08-09,288344,293387,287428,289720,74002,9177706.0,29043374.0
2006-08-10,291095,292012,288344,290637,44603,9206750.0,29043374.0
2006-08-11,293845,302555,293387,300722,78598,9526227.0,29043374.0
2006-08-14,302555,306223,301180,303473,130452,9613357.0,29043374.0
2006-08-16,303472,305764,297054,299805,41563,9497183.0,29043374.0
2006-08-17,300722,303472,297971,302097,127871,9569792.0,29043374.0
2006-08-18,307139,307598,302097,302556,121621,9584313.0,29043374.0
2006-08-21,299805,301638,296596,299347,85733,9482662.0,29043374.0
2006-08-22,302097,302555,297054,297055,48687,9410053.0,29043374.0
2006-08-23,296137,297054,294762,296138,27031,9381010.0,29043374.0
2006-08-24,293845,295221,292012,294304,25020,9322923.0,29043374.0
2006-08-25,296596,298430,290636,293387,29129,9293880.0,29043374.0
2006-08-28,293387,297971,292929,294304,23652,9322923.0,29043374.0
2006-08-29,294304,297513,292929,295221,20463,9351966.0,29043374.0
2006-08-30,293845,295221,291553,292471,77134,9264836.0,29043374.0
2006-08-31,294762,303014,293387,300264,43458,9511705.0,29043374.0
2006-09-01,299805,303472,297971,302556,31197,9584313.0,29043374.0
2006-09-04,299805,304847,299805,303931,30572,9627878.0,29043374.0
2006-09-05,304389,308056,303931,306223,34595,9700487.0,29043374.0
2006-09-06,304389,307139,303931,306223,37921,9700487.0,29043374.0
2006-09-07,305764,305764,303014,303931,29554,9627878.0,29043374.0
2006-09-08,302555,307139,302555,307140,27708,9729530.0,29043374.0
2006-09-11,307139,307139,298888,302556,15730,9584313.0,29043374.0
2006-09-12,300722,302555,296137,296596,33921,9395531.0,29043374.0
2006-09-13,300722,300722,292012,293387,33472,9293880.0,29043374.0
2006-09-14,293387,302555,292929,302556,84297,9584313.0,29043374.0
2006-09-15,297513,298888,295679,296138,102567,9381010.0,29043374.0
2006-09-18,294304,296137,290178,293846,98982,9308401.0,29043374.0
2006-09-19,292929,293387,291095,291095,149662,9221271.0,29043374.0
2006-09-20,288803,292470,288803,290637,96682,9206750.0,29043374.0
2006-09-21,293387,293845,291095,291554,62098,9235793.0,29043374.0
2006-09-22,291553,291553,288344,289262,112358,9163184.0,29043374.0
2006-09-25,286969,290178,286969,288803,69837,9148663.0,29043374.0
2006-09-26,288803,292929,286969,287428,100154,9105098.0,29043374.0
2006-09-27,289261,295221,289261,294304,91935,9322923.0,29043374.0
2006-09-28,292470,305306,292470,303473,80183,9613357.0,29043374.0
2006-09-29,304389,308056,304389,307140,75500,9729530.0,29043374.0
2006-10-02,308056,315391,308056,314933,74588,9976399.0,29043374.0
2006-10-04,315849,319517,307139,308057,81118,9758574.0,29043374.0
2006-10-09,308515,314474,299805,307598,67407,9744052.0,29043374.0
2006-10-10,303472,313557,302555,311724,38896,9874747.0,29043374.0
2006-10-11,312641,319058,312182,314475,39085,9961877.0,29043374.0
2006-10-12,319975,328685,316766,328686,61799,10412050.0,29043374.0
2006-10-13,328685,333269,322726,322726,34065,10223268.0,29043374.0
2006-10-16,330519,330977,318142,318142,25986,10078051.0,29043374.0
2006-10-17,320892,326393,316766,316767,19096,10034486.0,29043374.0
2006-10-18,316766,323643,311724,320434,46702,10150659.0,29043374.0
2006-10-19,323184,323643,317225,320434,19134,10150659.0,29043374.0
2006-10-20,316308,324559,316308,323643,30090,10252311.0,29043374.0
2006-10-23,323643,329144,316308,316308,39011,10019964.0,29043374.0
2006-10-24,320892,327310,317225,320893,39963,10165181.0,29043374.0
2006-10-25,320892,330977,320892,328227,44304,10397528.0,29043374.0
2006-10-26,327310,330977,323643,325018,39157,10295876.0,29043374.0
2006-10-27,325018,326393,318600,320893,11684,10165181.0,29043374.0
2006-10-30,322726,329144,319058,320893,25178,10165181.0,29043374.0
2006-10-31,321809,335103,321809,327310,35242,10368485.0,29043374.0
2006-11-01,330060,338312,328227,334645,40725,10600832.0,29043374.0
2006-11-02,335103,341062,335103,335103,34708,10615353.0,29043374.0
2006-11-03,337853,344730,331894,343813,37139,10891265.0,29043374.0
2006-11-06,343813,348397,342896,344730,51830,10920309.0,29043374.0
2006-11-07,347480,350231,346563,348398,71531,11036482.0,29043374.0
2006-11-08,348397,349314,339229,348398,54529,11036482.0,29043374.0
2006-11-09,347480,351148,346563,351148,52047,11123612.0,29043374.0
2006-11-10,351148,351148,342896,344730,52249,10920309.0,29043374.0
2006-11-13,344730,348856,344271,346564,20616,10978395.0,29043374.0
2006-11-14,348397,352523,348397,351148,42149,11123612.0,29043374.0
2006-11-15,351148,357107,351148,352982,28632,11181699.0,29043374.0
2006-11-16,351148,352523,349314,349773,50092,11080047.0,29043374.0
2006-11-17,348397,348855,342438,343355,70465,10876744.0,29043374.0
2006-11-20,347480,349314,341979,345647,27544,10949352.0,29043374.0
2006-11-21,343813,351148,343354,348398,35484,11036482.0,29043374.0
2006-11-22,348855,353440,346105,353440,41354,11196221.0,29043374.0
2006-11-23,347022,353440,344730,344730,52146,10920309.0,29043374.0
2006-11-24,345188,352064,343813,349314,33668,11065525.0,29043374.0
2006-11-27,348855,352981,345188,352982,29250,11181699.0,29043374.0
2006-11-28,351148,357107,341062,342897,65495,10862222.0,29043374.0
2006-11-29,344730,347939,343813,345189,34238,10934830.0,29043374.0
2006-11-30,341062,349314,341062,348856,58778,11051004.0,29043374.0
2006-12-01,346563,349314,343813,346105,19339,10963874.0,29043374.0
2006-12-04,347480,350689,342896,344730,24834,10920309.0,29043374.0
2006-12-05,350231,352064,338770,338771,33147,10731527.0,29043374.0
2006-12-06,341062,344271,337395,339229,26814,10746048.0,29043374.0
2006-12-07,341979,344730,331894,331895,23585,10513701.0,29043374.0
2006-12-08,332811,334186,328227,330061,31010,10455615.0,29043374.0
2006-12-11,330060,336020,326393,326394,43307,10339441.0,29043374.0
2006-12-12,326393,327310,315849,319059,58513,10107094.0,29043374.0
2006-12-13,316308,318141,311724,315391,61906,9990921.0,29043374.0
2006-12-14,316766,330977,314933,330978,77958,10484658.0,29043374.0
2006-12-15,331894,340146,329602,339229,38904,10746048.0,29043374.0
2006-12-18,336478,344730,336478,341063,32619,10804135.0,29043374.0
2006-12-19,341979,343813,337853,339229,27636,10746048.0,29043374.0
2006-12-20,338770,347480,337395,341063,36779,10804135.0,29043374.0
2006-12-21,341521,346563,341521,343813,42951,10891265.0,29043374.0
2006-12-22,343813,348855,341979,348398,38431,11036482.0,29043374.0
2006-12-26,349314,349314,343813,346564,19573,10978395.0,29043374.0
2006-12-27,346563,353440,342896,352065,28503,11152656.0,29043374.0
2006-12-28,351606,356649,351148,353899,42371,11210742.0,29043374.0
2007-01-02,352981,355732,346563,349314,34330,11065525.0,29043374.0
2007-01-03,352523,361233,352064,352982,44657,11181699.0,29043374.0
2007-01-04,354815,360316,347939,351607,71714,11138134.0,29043374.0
2007-01-05,348856,352064,339229,347939,33079,11021960.0,29043374.0
2007-01-08,346563,347022,341062,345647,40655,10949352.0,29043374.0
2007-01-09,343355,354357,342896,353899,63075,11210742.0,29043374.0
2007-01-10,352981,354815,348397,351148,29300,11123612.0,29043374.0
2007-01-11,348856,357565,348397,351607,28799,11138134.0,29043374.0
2007-01-12,349772,351606,348397,351607,33281,11138134.0,29043374.0
2007-01-15,352981,353898,348397,350690,25024,11109091.0,29043374.0
2007-01-16,348397,350231,348397,348398,22884,11036482.0,29043374.0
2007-01-17,348397,348397,337395,341980,51614,10833179.0,29043374.0
2007-01-18,340146,342896,335561,340146,27670,10775092.0,29043374.0
2007-01-19,339229,340146,332811,334645,16350,10600832.0,29043374.0
2007-01-22,327310,332811,325476,330978,32170,10484658.0,29043374.0
2007-01-23,333728,340146,330519,332811,37418,10542745.0,29043374.0
2007-01-24,336478,340604,335561,338771,33078,10731527.0,29043374.0
2007-01-25,339229,344271,339229,341980,40786,10833179.0,29043374.0
2007-01-26,345647,346563,339229,341980,53148,10833179.0,29043374.0
2007-01-29,337395,339229,331894,334645,26124,10600832.0,29043374.0
2007-01-30,328227,340604,328227,340604,21072,10789613.0,29043374.0
2007-01-31,340604,341062,334186,336020,29692,10644397.0,29043374.0
2007-02-01,336020,341521,336020,340604,20460,10789613.0,29043374.0
2007-02-02,337395,351148,336478,346564,52042,10978395.0,29043374.0
2007-02-05,346563,347939,340146,346564,26377,10978395.0,29043374.0
2007-02-06,347022,347939,343813,345647,25900,10949352.0,29043374.0
2007-02-07,342896,345647,338312,338312,31818,10717005.0,29043374.0
2007-02-08,337853,337853,327310,330978,70384,10484658.0,29043374.0
2007-02-09,330060,330977,327310,329144,54813,10426571.0,29043374.0
2007-02-12,327310,328227,319058,328227,45124,10397528.0,29043374.0
2007-02-13,326851,331436,325018,329144,36940,10426571.0,29043374.0
2007-02-14,329602,332352,326851,327310,39073,10368485.0,29043374.0
2007-02-15,326851,327310,320434,321809,39980,10194224.0,29043374.0
2007-02-16,322726,323643,319058,321809,45421,10194224.0,29043374.0
2007-02-20,321809,324559,321350,321809,26530,10194224.0,29043374.0
2007-02-21,321809,322726,319517,322268,31062,10208746.0,29043374.0
2007-02-22,320434,325476,320434,323643,34677,10252311.0,29043374.0
2007-02-23,322267,325476,322267,325477,36542,10310398.0,29043374.0
2007-02-26,325935,329602,324101,326394,35532,10339441.0,29043374.0
2007-02-27,320892,322726,317225,317225,58353,10049007.0,29043374.0
2007-02-28,309890,313099,303472,312183,115593,9889269.0,29043374.0
2007-03-02,307139,311724,306223,311724,53409,9874747.0,29043374.0
2007-03-05,305764,308973,297971,300722,40373,9526227.0,29043374.0
2007-03-06,300722,307139,297054,307140,78744,9729530.0,29043374.0
2007-03-07,307139,310807,305306,309890,40069,9816660.0,29043374.0
2007-03-08,307598,312641,307598,309432,56932,9802139.0,29043374.0
2007-03-09,309432,309890,307598,308974,43066,9787617.0,29043374.0
2007-03-12,308973,315391,308973,310807,42091,9845704.0,29043374.0
2007-03-13,311724,313099,304389,306682,42775,9715009.0,29043374.0
2007-03-14,303931,308973,302555,306682,22624,9715009.0,29043374.0
2007-03-15,308056,308515,303931,305306,55662,9671444.0,29043374.0
2007-03-16,306681,310348,303014,303931,44382,9627878.0,29043374.0
2007-03-19,304847,308056,304389,308057,48227,9758574.0,29043374.0
2007-03-20,308056,316766,306681,315850,41033,10005442.0,29043374.0
2007-03-21,315849,317225,310807,316308,19436,10019964.0,29043374.0
2007-03-22,313557,316308,310807,315391,35628,9990921.0,29043374.0
2007-03-23,312640,313099,309432,310349,21124,9831182.0,29043374.0
2007-03-26,308056,308515,303931,304848,51576,9656922.0,29043374.0
2007-03-27,304847,306223,303014,305306,73073,9671444.0,29043374.0
2007-03-28,305764,305764,300722,303473,52202,9613357.0,29043374.0
2007-03-29,300722,303472,299346,299805,50860,9497183.0,29043374.0
2007-03-30,300722,305764,298888,303473,43037,9613357.0,29043374.0
2007-04-02,302555,303472,300722,300722,30385,9526227.0,29043374.0
2007-04-03,302097,308973,301638,307140,70456,9729530.0,29043374.0
2007-04-04,307139,308973,304847,305306,67022,9671444.0,29043374.0
2007-04-05,305306,307139,302555,305765,28548,9685965.0,29043374.0
2007-04-06,305306,313099,305306,313099,89717,9918312.0,29043374.0
2007-04-09,311265,311724,306681,307140,62404,9729530.0,29043374.0
2007-04-10,308056,308515,301638,303473,70119,9613357.0,29043374.0
2007-04-11,302555,304389,301638,302097,61715,9569792.0,29043374.0
2007-04-12,303014,305764,302555,304389,83014,9642400.0,29043374.0
2007-04-13,305306,318141,304389,317684,112434,10063529.0,29043374.0
2007-04-16,319975,322267,313099,319059,81421,10107094.0,29043374.0
2007-04-17,320892,336478,320434,334645,164707,10600832.0,29043374.0
2007-04-18,339229,340146,329602,339229,91159,10746048.0,29043374.0
2007-04-19,337395,337395,328227,334187,63193,10586310.0,29043374.0
2007-04-20,334645,338770,332811,335562,106081,10629875.0,29043374.0
2007-04-23,335103,337853,332811,332811,56033,10542745.0,29043374.0
2007-04-24,330060,330977,324559,330061,66533,10455615.0,29043374.0
2007-04-25,329144,330060,320434,328227,57413,10397528.0,29043374.0
2007-04-26,328227,330060,319058,321809,85508,10194224.0,29043374.0
2007-04-27,322267,329602,319975,326394,83488,10339441.0,29043374.0
2007-04-30,326393,327768,320434,320893,46680,10165181.0,29043374.0
2007-05-02,320892,327310,319058,326394,54035,10339441.0,29043374.0
2007-05-03,323643,326851,323643,325477,27451,10310398.0,29043374.0
2007-05-04,325935,325935,320892,324560,48087,10281354.0,29043374.0
2007-05-07,323184,326851,322726,326852,39231,10353963.0,29043374.0
2007-05-08,329144,337395,326851,329144,79638,10426571.0,29043374.0
2007-05-09,334645,348397,331894,347939,134718,11021960.0,29043374.0
2007-05-10,346563,346563,337853,337854,83446,10702483.0,29043374.0
2007-05-11,335561,336478,330977,330978,58023,10484658.0,29043374.0
2007-05-14,331436,336937,330977,334645,49630,10600832.0,29043374.0
2007-05-15,334645,339229,331436,337854,46034,10702483.0,29043374.0
2007-05-16,335103,342438,331436,337396,29963,10687962.0,29043374.0
2007-05-17,340146,341062,334186,336937,29233,10673440.0,29043374.0
2007-05-18,339229,344730,336020,338312,43660,10717005.0,29043374.0
2007-05-21,336937,340146,334645,334645,30192,10600832.0,29043374.0
2007-05-22,332811,336020,330977,335562,45495,10629875.0,29043374.0
2007-05-23,333269,335561,326851,329144,47423,10426571.0,29043374.0
2007-05-25,323184,325935,322726,323643,61606,10252311.0,29043374.0
2007-05-28,322267,336478,322267,336479,54738,10658918.0,29043374.0
2007-05-29,336478,337395,331894,333728,38767,10571788.0,29043374.0
2007-05-30,336478,345647,331894,339229,99880,10746048.0,29043374.0
2007-05-31,347022,357565,343813,353899,168258,11210742.0,29043374.0
2007-06-01,352981,369026,348397,357566,125979,11326916.0,29043374.0
2007-06-04,362150,364900,355732,364901,103748,11559263.0,29043374.0
2007-06-05,360316,363983,355273,355274,101084,11254307.0,29043374.0
2007-06-07,352981,363066,350231,357566,74065,11326916.0,29043374.0
2007-06-08,354815,357565,347480,351148,59871,11123612.0,29043374.0
2007-06-11,347480,354357,346563,347939,34967,11021960.0,29043374.0
2007-06-12,346105,355273,346105,348856,35602,11051004.0,29043374.0
2007-06-13,353898,353898,346105,346564,51793,10978395.0,29043374.0
2007-06-14,350231,353898,347480,353899,84998,11210742.0,29043374.0
2007-06-15,356190,359399,348397,348398,56843,11036482.0,29043374.0
2007-06-18,348397,352064,347480,352065,35912,11152656.0,29043374.0
2007-06-19,356649,356649,348397,348398,42564,11036482.0,29043374.0
2007-06-20,348856,352981,347939,349314,100062,11065525.0,29043374.0
2007-06-21,346563,349314,345647,346105,53066,10963874.0,29043374.0
2007-06-22,345647,349314,343354,343355,50955,10876744.0,29043374.0
2007-06-25,341979,348397,341521,346105,43531,10963874.0,29043374.0
2007-06-26,346105,347022,341521,342897,31290,10862222.0,29043374.0
2007-06-27,345647,345647,332352,334187,61025,10586310.0,29043374.0
2007-06-28,334645,335561,332352,333270,59979,10557266.0,29043374.0
2007-06-29,333269,334186,330060,330061,51868,10455615.0,29043374.0
2007-07-02,325476,329144,322267,326394,62684,10339441.0,29043374.0
2007-07-03,334186,336937,327310,329602,61007,10441093.0,29043374.0
2007-07-04,332352,336020,330060,335103,37316,10615353.0,29043374.0
2007-07-05,333269,343813,332811,341980,68435,10833179.0,29043374.0
2007-07-06,342896,353898,342896,353440,81047,11196221.0,29043374.0
2007-07-09,345647,356190,344271,350231,68928,11094569.0,29043374.0
2007-07-10,351148,355732,349772,354357,70569,11225264.0,29043374.0
2007-07-11,350689,351148,344730,345647,52203,10949352.0,29043374.0
2007-07-12,350689,358024,346563,350231,48408,11094569.0,29043374.0
2007-07-13,354815,356649,350231,350231,48796,11094569.0,29043374.0
2007-07-16,351148,358941,349314,356649,51129,11297872.0,29043374.0
2007-07-18,356649,388738,352064,374069,192334,11849697.0,29043374.0
2007-07-19,374985,382320,367192,367193,67577,11631871.0,29043374.0
2007-07-20,372693,384612,367651,378653,52189,11994913.0,29043374.0
2007-07-23,378653,385987,373152,373152,55349,11820653.0,29043374.0
2007-07-24,378194,384612,371318,381862,50521,12096565.0,29043374.0
2007-07-25,376819,377277,372693,374069,69272,11849697.0,29043374.0
2007-07-26,369484,370401,353440,353440,128682,11196221.0,29043374.0
2007-07-27,344730,346563,325476,330061,193957,10455615.0,29043374.0
2007-07-30,330060,335561,329602,332353,77023,10528223.0,29043374.0
2007-07-31,333269,336937,327310,330061,104505,10455615.0,29043374.0
2007-08-01,330060,330060,313099,313099,149645,9918312.0,29043374.0
2007-08-02,319058,323643,311724,318142,90817,10078051.0,29043374.0
2007-08-03,320892,324559,320434,320893,95009,10165181.0,29043374.0
2007-08-06,316766,319975,310348,310349,133947,9831182.0,29043374.0
2007-08-07,315849,317225,308515,308515,116894,9773095.0,29043374.0
2007-08-08,311724,334645,311724,330061,119729,10455615.0,29043374.0
2007-08-09,335561,341521,327768,332353,92124,10528223.0,29043374.0
2007-08-10,322726,326851,319975,322726,64353,10223268.0,29043374.0
2007-08-13,324101,327768,317225,327769,35631,10383006.0,29043374.0
2007-08-14,323643,324559,318141,319976,37936,10136138.0,29043374.0
2007-08-16,311724,313557,295221,299805,120252,9497183.0,29043374.0
2007-08-17,306223,306223,284219,284219,122141,9003446.0,29043374.0
2007-08-20,295679,303472,294304,303473,70348,9613357.0,29043374.0
2007-08-21,302555,305764,297513,303473,68938,9613357.0,29043374.0
2007-08-22,303472,305764,301638,302556,53462,9584313.0,29043374.0
2007-08-23,308973,316308,308973,312641,75219,9903791.0,29043374.0
2007-08-24,311724,319517,311724,316308,55107,10019964.0,29043374.0
2007-08-27,318142,324559,315849,319517,41106,10121616.0,29043374.0
2007-08-28,320892,321809,312182,319976,51844,10136138.0,29043374.0
2007-08-29,313099,316308,309890,313099,30934,9918312.0,29043374.0
2007-08-30,317683,321350,313557,315391,26658,9990921.0,29043374.0
2007-08-31,316308,321350,314933,321351,44242,10179703.0,29043374.0
2007-09-03,324101,328685,321350,328227,41762,10397528.0,29043374.0
2007-09-04,327310,329602,323643,326394,34008,10339441.0,29043374.0
2007-09-05,322726,328227,316766,321351,46388,10179703.0,29043374.0
2007-09-06,321809,337395,321809,336479,64403,10658918.0,29043374.0
2007-09-07,339229,346105,334645,345647,93825,10949352.0,29043374.0
2007-09-10,334645,344730,334645,344730,87455,10920309.0,29043374.0
2007-09-11,347022,347480,334645,338312,52383,10717005.0,29043374.0
2007-09-12,336478,346563,336478,337396,46951,10687962.0,29043374.0
2007-09-13,341062,346563,337395,343355,46300,10876744.0,29043374.0
2007-09-14,346563,363525,346563,361692,104376,11457611.0,29043374.0
2007-09-17,359858,367651,359399,365359,75017,11573785.0,29043374.0
2007-09-18,364900,366734,361691,363984,79211,11530219.0,29043374.0
2007-09-19,368567,371776,366734,367193,67781,11631871.0,29043374.0
2007-09-20,367192,368109,354357,357566,72036,11326916.0,29043374.0
2007-09-21,352981,357565,345188,352982,62274,11181699.0,29043374.0
2007-09-27,359858,361233,354357,355732,51336,11268829.0,29043374.0
2007-09-28,357107,363525,355732,357566,49362,11326916.0,29043374.0
2007-10-01,355273,366734,355273,364442,39950,11544741.0,29043374.0
2007-10-02,365359,368567,359858,366734,52570,11617350.0,29043374.0
2007-10-04,362150,362608,356190,357566,53179,11326916.0,29043374.0
2007-10-05,361233,366275,354815,363984,57043,11530219.0,29043374.0
2007-10-08,365817,367651,358941,367193,33755,11631871.0,29043374.0
