엔에스쇼핑(138250),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-06-03,22850,23450,22700,22750,15948,766584.0,3369600.0
2015-06-04,22800,23149,22450,23050,6767,776693.0,3369600.0
2015-06-05,22900,23100,22150,22550,13449,759845.0,3369600.0
2015-06-08,22549,23150,22500,22550,12426,759845.0,3369600.0
2015-06-09,22450,22650,22100,22300,9145,751421.0,3369600.0
2015-06-10,22250,22400,21800,22100,12525,744682.0,3369600.0
2015-06-11,22150,22300,21400,22100,14954,744682.0,3369600.0
2015-06-12,21400,22100,21400,21600,11022,727834.0,3369600.0
2015-06-15,21400,21550,20150,20800,33736,700877.0,3369600.0
2015-06-16,21000,21050,20250,20350,13837,685714.0,3369600.0
2015-06-17,20350,20600,19500,19900,28920,670550.0,3369600.0
2015-06-18,20050,20050,19500,19550,18196,658757.0,3369600.0
2015-06-19,19700,19850,19400,19850,12181,668866.0,3369600.0
2015-06-22,19600,19900,19050,19050,30214,641909.0,3369600.0
2015-06-23,19200,20400,19000,20050,37338,675605.0,3369600.0
2015-06-24,20150,20450,19700,20450,10485,689083.0,3369600.0
2015-06-25,20250,20799,20150,20650,12473,695822.0,3369600.0
2015-06-26,20700,21800,20500,21550,25252,726149.0,3369600.0
2015-06-29,20800,22050,20800,21500,22890,724464.0,3369600.0
2015-06-30,21400,22250,20950,22150,21076,746366.0,3369600.0
2015-07-01,22100,23350,21900,23100,23468,778378.0,3369600.0
2015-07-02,23000,23100,21300,21550,27441,726149.0,3369600.0
2015-07-03,21400,21400,20350,21100,35103,710986.0,3369600.0
2015-07-06,20799,21150,19500,21050,17292,709301.0,3369600.0
2015-07-07,20750,21050,20250,21050,9686,709301.0,3369600.0
2015-07-08,21100,21199,20300,21000,8249,707616.0,3369600.0
2015-07-09,20750,20800,20000,20000,11188,673920.0,3369600.0
2015-07-10,20000,20600,20000,20050,4850,675605.0,3369600.0
2015-07-13,20050,20400,19650,19800,11440,667181.0,3369600.0
2015-07-14,19850,20400,19750,20100,7549,677290.0,3369600.0
2015-07-15,20400,20850,20000,20500,7585,690768.0,3369600.0
2015-07-16,20800,20800,20150,20500,13013,690768.0,3369600.0
2015-07-17,20350,21250,20350,21000,8101,707616.0,3369600.0
2015-07-20,20799,22800,20799,22050,19513,742997.0,3369600.0
2015-07-21,22100,23100,22100,22650,18128,763214.0,3369600.0
2015-07-22,22500,23449,22500,23100,22203,778378.0,3369600.0
2015-07-23,23100,23400,22700,22900,7662,771638.0,3369600.0
2015-07-24,22650,23000,21700,22400,9445,754790.0,3369600.0
2015-07-27,22400,22750,21550,21750,4457,732888.0,3369600.0
2015-07-28,21650,22900,21150,22750,4875,766584.0,3369600.0
2015-07-29,22750,23350,21900,22950,10188,773323.0,3369600.0
2015-07-30,22900,23150,22100,22850,4553,769954.0,3369600.0
2015-07-31,22700,23350,21900,23350,9053,786802.0,3369600.0
2015-08-03,23650,23650,22650,23350,7799,786802.0,3369600.0
2015-08-04,22850,23250,22800,23000,3503,775008.0,3369600.0
2015-08-05,23000,23450,22250,22650,7524,763214.0,3369600.0
2015-08-06,22599,22800,21200,21200,11796,714355.0,3369600.0
2015-08-07,21100,21550,21000,21500,4815,724464.0,3369600.0
2015-08-10,21600,22100,20799,22050,11248,742997.0,3369600.0
2015-08-11,22300,22950,21850,22800,16305,768269.0,3369600.0
2015-08-12,22200,23449,21350,23100,15531,778378.0,3369600.0
2015-08-13,22600,23200,22500,23150,10780,780062.0,3369600.0
2015-08-17,22700,22900,22150,22500,8022,758160.0,3369600.0
2015-08-18,22100,22500,21600,21600,5297,727834.0,3369600.0
2015-08-19,21600,22350,21250,22350,8418,753106.0,3369600.0
2015-08-20,21950,22550,21950,22200,4330,748051.0,3369600.0
2015-08-21,21900,21900,21200,21400,3546,721094.0,3369600.0
2015-08-24,21000,21650,20400,21500,8728,724464.0,3369600.0
2015-08-25,21300,21800,21100,21500,10024,724464.0,3369600.0
2015-08-26,21950,21950,20950,21400,9084,721094.0,3369600.0
2015-08-27,21600,22450,21400,22400,13647,754790.0,3369600.0
2015-08-28,22400,22750,21950,22400,8360,754790.0,3369600.0
2015-08-31,22699,22699,21499,21600,7265,727834.0,3369600.0
2015-09-01,21600,21700,21150,21600,6462,727834.0,3369600.0
2015-09-02,21600,22600,21150,22500,17818,758160.0,3369600.0
2015-09-03,22900,24850,22850,24300,58446,818813.0,3369600.0
2015-09-04,24050,24450,22850,23650,14573,796910.0,3369600.0
2015-09-07,23650,24200,22000,24050,16140,810389.0,3369600.0
2015-09-08,24050,24050,22800,23750,7172,800280.0,3369600.0
2015-09-09,24200,24400,23200,24300,18306,818813.0,3369600.0
2015-09-10,24200,24400,23850,24350,62221,820498.0,3369600.0
2015-09-11,24350,24400,23850,24400,3501,822182.0,3369600.0
2015-09-14,24450,24450,23700,23750,3623,800280.0,3369600.0
2015-09-15,23350,23650,22750,23300,8687,785117.0,3369600.0
2015-09-16,23550,24000,23250,23850,4143,803650.0,3369600.0
2015-09-17,23600,23950,23250,23950,4434,807019.0,3369600.0
2015-09-18,23950,23999,23200,23950,22694,807019.0,3369600.0
2015-09-21,23400,23950,23050,23600,5931,795226.0,3369600.0
2015-09-22,23500,23800,23200,23200,3886,781747.0,3369600.0
2015-09-23,23200,23400,23000,23000,4615,775008.0,3369600.0
2015-09-24,23250,23350,23100,23300,1533,785117.0,3369600.0
2015-09-25,23250,23400,22400,23150,4573,780062.0,3369600.0
2015-09-30,23000,23200,22099,23200,10784,781747.0,3369600.0
2015-10-01,23200,23350,22650,22650,9196,763214.0,3369600.0
2015-10-02,22650,22900,22150,22350,11298,753106.0,3369600.0
2015-10-05,22599,22700,21950,22150,17133,746366.0,3369600.0
2015-10-06,22300,22400,21950,22200,8275,748051.0,3369600.0
2015-10-07,22400,22400,21900,22200,4219,748051.0,3369600.0
2015-10-08,22100,22300,22000,22050,3457,742997.0,3369600.0
2015-10-12,22100,22550,22100,22250,11867,749736.0,3369600.0
2015-10-13,22100,22350,21750,22000,7215,741312.0,3369600.0
2015-10-14,21800,22000,20700,21100,25072,710986.0,3369600.0
2015-10-15,21199,21199,20750,21000,4414,707616.0,3369600.0
2015-10-16,21000,21200,20900,20900,4425,704246.0,3369600.0
2015-10-19,20850,21000,20250,20500,8034,690768.0,3369600.0
2015-10-20,20600,21249,19850,20900,23522,704246.0,3369600.0
2015-10-21,20850,21300,20650,21200,7440,714355.0,3369600.0
2015-10-22,20900,21150,20600,20600,3523,694138.0,3369600.0
2015-10-23,20600,20950,20300,20500,2869,690768.0,3369600.0
2015-10-26,20500,20800,20500,20600,3720,694138.0,3369600.0
2015-10-27,20450,20650,20250,20600,1285,694138.0,3369600.0
2015-10-28,20450,20450,20050,20150,3822,678974.0,3369600.0
2015-10-29,20400,20400,19350,19900,29299,670550.0,3369600.0
2015-10-30,19750,19850,19050,19450,18709,655387.0,3369600.0
2015-11-02,19400,19500,19050,19250,8080,648648.0,3369600.0
2015-11-03,19250,19450,18850,18950,7809,638539.0,3369600.0
2015-11-04,18950,20000,18850,19850,12112,668866.0,3369600.0
2015-11-05,19850,19950,19400,19750,4255,665496.0,3369600.0
2015-11-06,19500,19650,19150,19150,5962,645278.0,3369600.0
2015-11-09,19150,19650,18950,19500,4960,657072.0,3369600.0
2015-11-10,19350,19350,18500,18800,11203,633485.0,3369600.0
2015-11-11,18600,19200,18100,19100,20174,643594.0,3369600.0
2015-11-12,19100,19550,18950,19400,4033,653702.0,3369600.0
2015-11-13,19650,19650,19000,19650,6182,662126.0,3369600.0
2015-11-16,19500,19500,19000,19050,2727,641909.0,3369600.0
2015-11-17,19050,19400,18850,19300,3516,650333.0,3369600.0
2015-11-18,19500,19550,19050,19050,6723,641909.0,3369600.0
2015-11-19,19350,19500,19050,19300,4036,650333.0,3369600.0
2015-11-20,19200,19500,18950,19200,3117,646963.0,3369600.0
2015-11-23,19050,19350,19000,19100,2838,643594.0,3369600.0
2015-11-24,19200,19650,18900,19450,6009,655387.0,3369600.0
2015-11-25,19450,19950,19300,19950,7301,672235.0,3369600.0
2015-11-26,19950,20000,19450,19900,9479,670550.0,3369600.0
2015-11-27,19900,20300,19600,20200,5803,680659.0,3369600.0
2015-11-30,20300,20300,19150,19300,20844,650333.0,3369600.0
2015-12-01,19600,19700,19150,19150,4558,645278.0,3369600.0
2015-12-02,19150,19300,18900,19150,6291,645278.0,3369600.0
2015-12-03,19000,19400,19000,19200,17485,646963.0,3369600.0
2015-12-04,19150,19250,18800,19000,5257,640224.0,3369600.0
2015-12-07,19000,19200,18700,18700,2778,630115.0,3369600.0
2015-12-08,18650,18750,18200,18700,4945,630115.0,3369600.0
2015-12-09,18350,18900,18300,18650,2355,628430.0,3369600.0
2015-12-10,18750,18750,18250,18400,2584,620006.0,3369600.0
2015-12-11,18250,18600,18150,18400,2119,620006.0,3369600.0
2015-12-14,18200,18600,17950,18600,3594,626746.0,3369600.0
2015-12-15,18550,18750,18150,18500,2824,623376.0,3369600.0
2015-12-16,18550,18750,18350,18650,993,628430.0,3369600.0
2015-12-17,18750,19150,18650,19150,2800,645278.0,3369600.0
2015-12-18,19000,19250,18750,19250,3005,648648.0,3369600.0
2015-12-21,19250,19600,19050,19500,3004,657072.0,3369600.0
2015-12-22,19500,19650,18950,19550,7305,658757.0,3369600.0
2015-12-23,19550,19600,19100,19150,3287,645278.0,3369600.0
2015-12-24,19150,19250,18550,19200,9926,646963.0,3369600.0
2015-12-28,19150,19300,18700,19200,4996,646963.0,3369600.0
2015-12-29,19200,19250,18800,18850,2902,635170.0,3369600.0
2015-12-30,18950,19400,18500,18550,7424,625061.0,3369600.0
2016-01-04,18550,18700,18250,18250,4100,614952.0,3369600.0
2016-01-05,18450,18500,18100,18200,4145,613267.0,3369600.0
2016-01-06,18150,18300,17500,17600,16772,593050.0,3369600.0
2016-01-07,17500,17950,17050,17150,14951,577886.0,3369600.0
2016-01-08,17100,17450,16500,17300,17637,582941.0,3369600.0
2016-01-11,17150,17600,17000,17350,2113,584626.0,3369600.0
2016-01-12,17600,17600,17100,17550,3383,591365.0,3369600.0
2016-01-13,17500,17800,17350,17750,3830,598104.0,3369600.0
2016-01-14,17450,17800,17250,17550,2627,591365.0,3369600.0
2016-01-15,17800,17800,17350,17650,4605,594734.0,3369600.0
2016-01-18,17300,17800,17100,17650,6093,594734.0,3369600.0
2016-01-19,17650,17750,17300,17650,4204,594734.0,3369600.0
2016-01-20,17700,18000,17200,17950,4878,604843.0,3369600.0
2016-01-21,17900,18050,17600,18000,3688,606528.0,3369600.0
2016-01-22,18100,18100,17600,18000,5656,606528.0,3369600.0
2016-01-25,17800,18450,17700,18250,5872,614952.0,3369600.0
2016-01-26,18100,18300,17900,18100,3293,609898.0,3369600.0
2016-01-27,18300,18300,17800,17800,2065,599789.0,3369600.0
2016-01-28,18000,18250,17650,18000,2967,606528.0,3369600.0
2016-01-29,18250,18350,17950,18350,2344,618322.0,3369600.0
2016-02-01,18200,18500,18050,18500,2173,623376.0,3369600.0
2016-02-02,18250,18650,18100,18600,5527,626746.0,3369600.0
2016-02-03,18600,19350,18300,19200,8784,646963.0,3369600.0
2016-02-04,19100,19500,18700,18900,7413,636854.0,3369600.0
2016-02-05,18700,19150,18600,19100,2903,643594.0,3369600.0
2016-02-11,18700,19000,18250,18300,1455,616637.0,3369600.0
2016-02-12,18300,18300,17500,18000,5049,606528.0,3369600.0
2016-02-15,18000,18350,17650,17800,1216,599789.0,3369600.0
2016-02-16,17800,18300,17800,18200,3057,613267.0,3369600.0
2016-02-17,18300,18300,17700,17800,1807,599789.0,3369600.0
2016-02-18,17800,18500,17800,18350,5824,618322.0,3369600.0
2016-02-19,19050,19800,18400,18400,11205,620006.0,3369600.0
2016-02-22,18350,19050,18000,19000,7832,640224.0,3369600.0
2016-02-23,19400,19400,18750,19150,3377,645278.0,3369600.0
2016-02-24,18950,19300,18850,19150,2094,645278.0,3369600.0
2016-02-25,19150,19250,19050,19200,2687,646963.0,3369600.0
2016-02-26,19050,19400,18700,19350,3479,652018.0,3369600.0
2016-02-29,19150,19500,19050,19500,5282,657072.0,3369600.0
2016-03-02,19500,19550,19050,19100,5634,643594.0,3369600.0
2016-03-03,19150,19300,18700,19250,4818,648648.0,3369600.0
2016-03-04,19250,19300,18950,19200,6849,646963.0,3369600.0
2016-03-07,19250,19250,18800,18850,5332,635170.0,3369600.0
2016-03-08,18950,19050,18550,19000,5452,640224.0,3369600.0
2016-03-09,19000,19300,19000,19150,2594,645278.0,3369600.0
2016-03-10,19050,19300,18850,18900,3743,636854.0,3369600.0
2016-03-11,19100,19150,18800,19100,6074,643594.0,3369600.0
2016-03-14,19100,19200,18900,19200,4201,646963.0,3369600.0
2016-03-15,19200,19300,18950,19050,4438,641909.0,3369600.0
2016-03-16,19050,19100,18600,19050,10158,641909.0,3369600.0
2016-03-17,19000,19250,18650,19100,5730,643594.0,3369600.0
2016-03-18,19000,19300,18900,19250,5600,648648.0,3369600.0
2016-03-21,19100,19200,18950,19100,3968,643594.0,3369600.0
2016-03-22,18900,19400,18900,19400,5982,653702.0,3369600.0
2016-03-23,19400,19500,19150,19400,6673,653702.0,3369600.0
2016-03-24,19400,19450,19000,19400,6142,653702.0,3369600.0
2016-03-25,19400,19550,19200,19450,3494,655387.0,3369600.0
2016-03-28,19250,19400,19000,19000,2050,640224.0,3369600.0
2016-03-29,19000,19300,18900,18950,5198,638539.0,3369600.0
2016-03-30,18900,19050,18750,19000,4842,640224.0,3369600.0
2016-03-31,19000,19000,18700,18800,7955,633485.0,3369600.0
2016-04-01,18800,18800,18150,18400,12141,620006.0,3369600.0
2016-04-04,18400,18650,18150,18300,5955,616637.0,3369600.0
2016-04-05,18600,18650,18150,18400,6664,620006.0,3369600.0
2016-04-06,18450,18800,18300,18700,3886,630115.0,3369600.0
2016-04-07,18650,18900,18500,18850,2055,635170.0,3369600.0
2016-04-08,18750,18900,18300,18850,6757,635170.0,3369600.0
2016-04-11,18750,18750,18350,18350,4963,618322.0,3369600.0
2016-04-12,18400,18500,17750,17900,12615,603158.0,3369600.0
2016-04-14,17850,18050,17550,17850,9757,601474.0,3369600.0
2016-04-15,17650,17750,17150,17350,34314,584626.0,3369600.0
2016-04-18,17450,17500,17000,17150,11485,577886.0,3369600.0
2016-04-19,17200,17300,17050,17300,12921,582941.0,3369600.0
2016-04-20,17350,17700,17250,17550,14328,591365.0,3369600.0
2016-04-21,17550,18200,17350,18150,21518,611582.0,3369600.0
2016-04-22,18150,18300,17850,18200,5981,613267.0,3369600.0
2016-04-25,18100,18300,18000,18150,2682,611582.0,3369600.0
2016-04-26,18050,18150,17500,17500,12664,589680.0,3369600.0
2016-04-27,17600,17600,17300,17350,7977,584626.0,3369600.0
2016-04-28,17350,17500,16700,16800,48130,566093.0,3369600.0
2016-04-29,16650,16700,14649,15000,140404,505440.0,3369600.0
2016-05-02,15000,15700,14750,15600,45456,525658.0,3369600.0
2016-05-03,15600,16100,15550,16100,43320,542506.0,3369600.0
2016-05-04,16000,16100,15700,15850,21361,534082.0,3369600.0
2016-05-09,15950,16350,15700,16150,16753,544190.0,3369600.0
2016-05-10,16150,16349,16050,16200,8764,545875.0,3369600.0
2016-05-11,16200,16450,16100,16450,19117,554299.0,3369600.0
2016-05-12,16400,16550,16099,16400,12578,552614.0,3369600.0
2016-05-13,16250,17100,16200,17050,43221,574517.0,3369600.0
2016-05-16,16950,17050,16600,17000,9183,572832.0,3369600.0
2016-05-17,16800,17450,16750,17300,9305,582941.0,3369600.0
2016-05-18,17150,17300,16950,17200,10992,579571.0,3369600.0
2016-05-19,17200,17350,16900,17200,10232,579571.0,3369600.0
2016-05-20,17200,17250,16800,17150,8962,577886.0,3369600.0
2016-05-23,17100,17250,16950,17150,7108,577886.0,3369600.0
2016-05-24,17100,17300,16450,16700,9384,562723.0,3369600.0
2016-05-25,16750,17550,16350,17000,15387,572832.0,3369600.0
2016-05-26,16850,17400,16850,17300,12011,582941.0,3369600.0
2016-05-27,17200,17500,17100,17350,7070,584626.0,3369600.0
2016-05-30,17350,17350,17050,17100,7404,576202.0,3369600.0
2016-05-31,17200,17850,16950,17850,12609,601474.0,3369600.0
2016-06-01,17700,17750,17350,17650,9217,594734.0,3369600.0
2016-06-02,17600,17700,17450,17600,5571,593050.0,3369600.0
2016-06-03,17450,17600,17100,17150,7519,577886.0,3369600.0
2016-06-07,17000,17600,17000,17600,7222,593050.0,3369600.0
2016-06-08,17700,17700,16950,17050,12464,574517.0,3369600.0
2016-06-09,17100,17100,16550,16600,9948,559354.0,3369600.0
2016-06-10,16600,17100,16400,17000,13945,572832.0,3369600.0
2016-06-13,16800,17050,16400,16700,11202,562723.0,3369600.0
2016-06-14,16700,17250,16500,17100,7954,576202.0,3369600.0
2016-06-15,17000,17300,16750,16900,7301,569462.0,3369600.0
2016-06-16,16750,17200,16700,17100,7394,576202.0,3369600.0
2016-06-17,17050,17450,16950,17300,9686,582941.0,3369600.0
2016-06-20,17300,18050,17300,17850,19168,601474.0,3369600.0
2016-06-21,17900,18600,17850,18600,25919,626746.0,3369600.0
2016-06-22,18550,18600,17950,18300,15948,616637.0,3369600.0
2016-06-23,18250,18700,18100,18600,10183,626746.0,3369600.0
2016-06-24,18450,18750,17800,18550,16415,625061.0,3369600.0
2016-06-27,18450,18600,17600,18450,17607,621691.0,3369600.0
2016-06-28,18350,18500,17850,17850,32594,601474.0,3369600.0
2016-06-29,18000,19100,17500,18800,33654,633485.0,3369600.0
2016-06-30,18900,19600,18400,19250,36232,648648.0,3369600.0
2016-07-01,19250,19450,18800,19100,14067,643594.0,3369600.0
2016-07-04,19000,19000,18500,18650,12678,628430.0,3369600.0
2016-07-05,18800,18800,18350,18350,5416,618322.0,3369600.0
2016-07-06,18200,18500,17800,18050,17125,608213.0,3369600.0
2016-07-07,18050,18450,17900,18400,10069,620006.0,3369600.0
2016-07-08,18250,18350,17700,17800,19641,599789.0,3369600.0
2016-07-11,17700,18250,17650,18150,6078,611582.0,3369600.0
2016-07-12,18150,18750,17850,18650,16841,628430.0,3369600.0
2016-07-13,18700,19050,18650,18900,19121,636854.0,3369600.0
2016-07-14,18900,19000,18650,19000,10805,640224.0,3369600.0
2016-07-15,19000,19100,18750,19050,8204,641909.0,3369600.0
2016-07-18,19050,19050,18550,18800,13472,633485.0,3369600.0
2016-07-19,18750,18800,18000,18050,24659,608213.0,3369600.0
2016-07-20,18050,18450,17750,18350,14020,618322.0,3369600.0
2016-07-21,18350,18450,17950,18200,6865,613267.0,3369600.0
2016-07-22,18250,18350,17950,18150,11738,611582.0,3369600.0
2016-07-25,18150,18200,17850,18150,8792,611582.0,3369600.0
2016-07-26,18000,18150,17800,18000,12714,606528.0,3369600.0
2016-07-27,18000,18050,17600,17900,12964,603158.0,3369600.0
2016-07-28,17900,18100,17700,17850,8432,601474.0,3369600.0
2016-07-29,17750,17950,17450,17900,13623,603158.0,3369600.0
2016-08-01,17900,17900,17450,17650,12186,594734.0,3369600.0
2016-08-02,17550,17750,17350,17700,8090,596419.0,3369600.0
2016-08-03,17450,18050,17350,17950,13847,604843.0,3369600.0
2016-08-04,17850,18400,17750,18200,13293,613267.0,3369600.0
2016-08-05,18100,18850,18050,18800,17817,633485.0,3369600.0
2016-08-08,18850,18950,18050,18350,19890,618322.0,3369600.0
2016-08-09,18450,18450,17500,17800,41509,599789.0,3369600.0
2016-08-10,17750,17800,17400,17650,13469,594734.0,3369600.0
2016-08-11,17600,17650,17250,17450,14016,587995.0,3369600.0
2016-08-12,17450,17550,17250,17450,6983,587995.0,3369600.0
2016-08-16,17550,17550,17200,17200,8353,579571.0,3369600.0
2016-08-17,17250,17450,17000,17400,13390,586310.0,3369600.0
2016-08-18,17300,17400,17100,17150,13768,577886.0,3369600.0
2016-08-19,17150,17300,17050,17150,8684,577886.0,3369600.0
2016-08-22,17000,17150,16500,16750,14750,564408.0,3369600.0
2016-08-23,16550,16600,15800,16200,30362,545875.0,3369600.0
2016-08-24,16000,16450,15850,16200,25992,545875.0,3369600.0
2016-08-25,16200,16400,16000,16050,17536,540821.0,3369600.0
2016-08-26,16050,16200,15799,16050,10218,540821.0,3369600.0
2016-08-29,16000,16250,15799,16050,17269,540821.0,3369600.0
2016-08-30,16000,16150,15850,15950,16112,537451.0,3369600.0
2016-08-31,15900,16050,15400,15550,24811,523973.0,3369600.0
2016-09-01,15550,16150,15550,16050,12421,540821.0,3369600.0
2016-09-02,16099,16150,15749,15750,10631,530712.0,3369600.0
2016-09-05,15900,16100,15750,15800,11168,532397.0,3369600.0
2016-09-06,15799,16550,15799,16450,18561,554299.0,3369600.0
2016-09-07,16500,16500,16150,16450,15133,554299.0,3369600.0
2016-09-08,16200,16400,16100,16150,11003,544190.0,3369600.0
2016-09-09,16350,16450,16150,16300,11492,549245.0,3369600.0
2016-09-12,16400,16450,15500,16000,18025,539136.0,3369600.0
2016-09-13,16000,16450,16000,16400,5750,552614.0,3369600.0
2016-09-19,16200,16400,15900,15900,11564,535766.0,3369600.0
2016-09-20,15950,16100,15450,15500,19855,522288.0,3369600.0
2016-09-21,15550,15800,15300,15300,17800,515549.0,3369600.0
2016-09-22,15400,15750,15350,15550,16527,523973.0,3369600.0
2016-09-23,15550,15900,15550,15900,15787,535766.0,3369600.0
2016-09-26,15900,16099,15750,15900,6526,535766.0,3369600.0
2016-09-27,15850,16200,15749,16100,9768,542506.0,3369600.0
2016-09-28,16099,16300,15900,15900,8431,535766.0,3369600.0
2016-09-29,15850,16099,15750,15900,10021,535766.0,3369600.0
2016-09-30,16000,16000,15700,16000,7405,539136.0,3369600.0
2016-10-04,16000,16250,15800,16200,15334,545875.0,3369600.0
2016-10-05,16200,16300,15950,16150,8888,544190.0,3369600.0
2016-10-06,16199,16250,15949,16200,6880,545875.0,3369600.0
2016-10-07,16200,16200,15900,16000,5677,539136.0,3369600.0
2016-10-10,15950,16150,15749,16100,9094,542506.0,3369600.0
2016-10-11,16199,16300,16050,16200,6493,545875.0,3369600.0
2016-10-12,16050,16250,16000,16200,9925,545875.0,3369600.0
2016-10-13,16100,16250,15950,16150,7585,544190.0,3369600.0
2016-10-14,16100,16150,15800,15950,10340,537451.0,3369600.0
2016-10-17,16000,16000,15750,16000,9833,539136.0,3369600.0
2016-10-18,16000,16049,15800,15950,6766,537451.0,3369600.0
2016-10-19,15950,16049,15800,15950,6298,537451.0,3369600.0
2016-10-20,15950,16100,15850,16000,5209,539136.0,3369600.0
2016-10-21,15900,16199,15900,16200,5617,545875.0,3369600.0
2016-10-24,16250,16450,16150,16350,3916,550930.0,3369600.0
2016-10-25,16350,16450,16150,16350,6158,550930.0,3369600.0
2016-10-26,16450,16450,16200,16300,5967,549245.0,3369600.0
2016-10-27,16300,16400,16250,16400,3437,552614.0,3369600.0
2016-10-28,16400,16550,16350,16550,5331,557669.0,3369600.0
2016-10-31,16500,16600,16299,16500,4785,555984.0,3369600.0
2016-11-01,16500,16550,16299,16450,5092,554299.0,3369600.0
2016-11-02,16450,16450,16049,16100,6048,542506.0,3369600.0
2016-11-03,16250,16250,16000,16150,1535,544190.0,3369600.0
2016-11-04,16150,16200,15800,16000,5955,539136.0,3369600.0
2016-11-07,15950,16100,15899,15950,5393,537451.0,3369600.0
2016-11-08,16050,16150,15850,16050,5207,540821.0,3369600.0
2016-11-09,16000,16250,15600,15750,7582,530712.0,3369600.0
2016-11-10,15950,16000,15800,16000,2797,539136.0,3369600.0
2016-11-11,16000,16150,15800,15950,2557,537451.0,3369600.0
2016-11-14,16050,16050,15850,16000,1695,539136.0,3369600.0
2016-11-15,16050,16050,15850,16000,3159,539136.0,3369600.0
2016-11-16,15950,16049,15600,15650,7638,527342.0,3369600.0
2016-11-17,15750,15900,15500,15800,3584,532397.0,3369600.0
2016-11-18,15850,15900,15700,15900,3095,535766.0,3369600.0
2016-11-21,15950,16000,15700,15750,1982,530712.0,3369600.0
2016-11-22,15850,15950,15600,15850,5835,534082.0,3369600.0
2016-11-23,15750,15950,15700,15850,3007,534082.0,3369600.0
2016-11-24,15750,15750,15650,15700,2322,529027.0,3369600.0
2016-11-25,15750,15850,15400,15600,7206,525658.0,3369600.0
2016-11-28,15600,15650,15250,15250,5748,513864.0,3369600.0
2016-11-29,15249,15550,15150,15500,4972,522288.0,3369600.0
2016-11-30,15400,15550,15300,15500,4669,522288.0,3369600.0
2016-12-01,15500,15550,15250,15400,5385,518918.0,3369600.0
2016-12-02,15400,15450,14750,15250,10478,513864.0,3369600.0
2016-12-05,15100,15299,14699,14850,7919,500386.0,3369600.0
2016-12-06,14850,14900,14450,14450,15356,486907.0,3369600.0
2016-12-07,14450,14500,14300,14400,3446,485222.0,3369600.0
